,tickers,sector
36,APA,Energy
61,BKR,Energy
101,COP,Energy
115,CTRA,Energy
119,CVX,Energy
145,DVN,Energy
159,EOG,Energy
163,EQT,Energy
172,EXE,Energy
177,FANG,Energy
213,HAL,Energy
218,HES,Energy
268,KMI,Energy
315,MPC,Energy
349,OKE,Energy
355,OXY,Energy
383,PSX,Energy
407,SLB,Energy
440,TPL,Energy
442,TRGP,Energy
466,VLO,Energy
486,WMB,Energy
495,XOM,Energy
