,number,value,datetime_start,datetime_complete,duration,params_ADSK_XLNX_beta_win,params_ADSK_XLNX_stop_loss,params_ADSK_XLNX_trade_freq,params_ADSK_XLNX_z_entry,params_ADSK_XLNX_z_exit,params_ADSK_XLNX_z_stop_scaler,params_ADSK_XLNX_z_win,params_ALXN_CHTR_beta_win,params_ALXN_CHTR_stop_loss,params_ALXN_CHTR_trade_freq,params_ALXN_CHTR_z_entry,params_ALXN_CHTR_z_exit,params_ALXN_CHTR_z_stop_scaler,params_ALXN_CHTR_z_win,params_BIDU_PEP_beta_win,params_BIDU_PEP_stop_loss,params_BIDU_PEP_trade_freq,params_BIDU_PEP_z_entry,params_BIDU_PEP_z_exit,params_BIDU_PEP_z_stop_scaler,params_BIDU_PEP_z_win,params_CMCSA_QCOM_beta_win,params_CMCSA_QCOM_stop_loss,params_CMCSA_QCOM_trade_freq,params_CMCSA_QCOM_z_entry,params_CMCSA_QCOM_z_exit,params_CMCSA_QCOM_z_stop_scaler,params_CMCSA_QCOM_z_win,params_CPRT_ISRG_beta_win,params_CPRT_ISRG_stop_loss,params_CPRT_ISRG_trade_freq,params_CPRT_ISRG_z_entry,params_CPRT_ISRG_z_exit,params_CPRT_ISRG_z_stop_scaler,params_CPRT_ISRG_z_win,params_INTC_MU_beta_win,params_INTC_MU_stop_loss,params_INTC_MU_trade_freq,params_INTC_MU_z_entry,params_INTC_MU_z_exit,params_INTC_MU_z_stop_scaler,params_INTC_MU_z_win,params_MAR_INCY_beta_win,params_MAR_INCY_stop_loss,params_MAR_INCY_trade_freq,params_MAR_INCY_z_entry,params_MAR_INCY_z_exit,params_MAR_INCY_z_stop_scaler,params_MAR_INCY_z_win,params_MAR_QCOM_beta_win,params_MAR_QCOM_stop_loss,params_MAR_QCOM_trade_freq,params_MAR_QCOM_z_entry,params_MAR_QCOM_z_exit,params_MAR_QCOM_z_stop_scaler,params_MAR_QCOM_z_win,params_PTON_SGEN_beta_win,params_PTON_SGEN_stop_loss,params_PTON_SGEN_trade_freq,params_PTON_SGEN_z_entry,params_PTON_SGEN_z_exit,params_PTON_SGEN_z_stop_scaler,params_PTON_SGEN_z_win,params_PTON_XLNX_beta_win,params_PTON_XLNX_stop_loss,params_PTON_XLNX_trade_freq,params_PTON_XLNX_z_entry,params_PTON_XLNX_z_exit,params_PTON_XLNX_z_stop_scaler,params_PTON_XLNX_z_win,params_buffer_capital,params_pairs_to_trade,state
116,116,5.693734074716434,2025-06-15 00:23:50.273252,2025-06-15 00:23:53.345898,0 days 00:00:03.072646,,,,,,,,,,,,,,,,,,,,,,938,0.006,2m,3.5,1.5,1.4,946,,,,,,,,692.0,0.001,4m,3.5,3.0,1.2000000000000002,736.0,338.0,0.008,1m,1.5,1.5,1.7000000000000002,16.0,,,,,,,,244.0,0.007,1m,3.0,3.0,1.5,972.0,438.0,0.003,4m,3.0,2.5,0.7,860.0,0.1,5,COMPLETE
117,117,-1.9075569840237043,2025-06-15 00:23:53.452420,2025-06-15 00:23:57.909234,0 days 00:00:04.456814,,,,,,,,,,,,,,,,,,,,,,928,0.006,2m,3.5,1.5,1.4,948,,,,,,,,688.0,0.001,4m,3.5,3.0,1.2000000000000002,698.0,352.0,0.008,1m,1.5,1.5,1.7000000000000002,22.0,,,,,,,,256.0,0.007,1m,3.0,3.0,1.5,974.0,416.0,0.003,4m,3.0,2.5,0.7,846.0,0.1,5,COMPLETE
118,118,3.657378259068301,2025-06-15 00:23:58.004746,2025-06-15 00:24:04.109357,0 days 00:00:06.104611,,,,,,,,568.0,0.002,4m,1.0,3.0,0.7,618.0,,,,,,,,852,0.006,2m,3.5,1.5,1.4,968,1002.0,0.01,4m,4.0,2.5,1.2000000000000002,42.0,592.0,0.001,4m,3.5,3.0,1.1,742.0,250.0,0.007,1m,1.5,2.0,1.6,64.0,826.0,0.008,1m,2.5,2.0,0.9,336.0,118.0,0.005,1m,3.0,3.5,1.3,800.0,532.0,0.002,4m,2.5,2.5,0.8,902.0,0.15000000000000002,8,COMPLETE
119,119,-3.182422431691361,2025-06-15 00:24:04.227868,2025-06-15 00:24:07.206619,0 days 00:00:02.978751,,,,,,,,382.0,0.004,4m,2.0,2.5,0.9,822.0,,,,,,,,946,0.006,2m,3.0,1.5,1.2000000000000002,994,,,,,,,,738.0,0.001,4m,4.0,2.5,1.2000000000000002,656.0,426.0,0.01,1m,2.0,1.5,1.9000000000000001,36.0,,,,,,,,182.0,0.007,1m,3.5,3.0,1.5,712.0,732.0,0.003,4m,3.0,2.5,0.7,792.0,0.05,6,COMPLETE
120,120,7.303607743239035,2025-06-15 00:24:07.288130,2025-06-15 00:24:09.719096,0 days 00:00:02.430966,,,,,,,,,,,,,,,,,,,,,,1002,0.005,2m,3.0,1.5,1.0,1024,,,,,,,,774.0,0.002,4m,3.5,3.0,1.3,822.0,370.0,0.009000000000000001,1m,1.5,1.0,1.6,190.0,,,,,,,,226.0,0.006,1m,3.0,3.5,1.6,884.0,448.0,0.001,4m,3.5,3.0,1.1,724.0,0.1,5,COMPLETE
121,121,6.916248672673935,2025-06-15 00:24:09.805616,2025-06-15 00:24:12.334851,0 days 00:00:02.529235,,,,,,,,,,,,,,,,,,,,,,986,0.005,2m,3.0,1.5,1.0,932,,,,,,,,772.0,0.002,4m,3.5,3.0,1.3,828.0,338.0,0.009000000000000001,1m,1.5,1.0,1.6,188.0,,,,,,,,308.0,0.006,1m,3.0,3.5,1.6,880.0,434.0,0.001,4m,3.5,3.0,1.2000000000000002,726.0,0.1,5,COMPLETE
122,122,7.365834094327253,2025-06-15 00:24:12.409876,2025-06-15 00:24:15.033650,0 days 00:00:02.623774,,,,,,,,,,,,,,,,,,,,,,978,0.004,2m,3.0,1.5,1.0,1024,,,,,,,,794.0,0.002,4m,3.5,3.0,1.3,822.0,334.0,0.009000000000000001,1m,1.5,1.0,1.6,192.0,,,,,,,,230.0,0.006,1m,3.0,3.5,1.6,890.0,452.0,0.001,4m,3.5,3.0,1.2000000000000002,724.0,0.1,5,COMPLETE
123,123,8.08766562763439,2025-06-15 00:24:15.103160,2025-06-15 00:24:17.426877,0 days 00:00:02.323717,,,,,,,,,,,,,,,,,,,,,,896,0.003,2m,3.0,1.5,1.0,1020,,,,,,,,896.0,0.002,4m,3.5,3.0,1.3,794.0,334.0,0.009000000000000001,1m,1.5,1.0,1.6,202.0,,,,,,,,202.0,0.006,1m,3.0,3.5,1.6,888.0,434.0,0.001,4m,3.5,3.0,1.2000000000000002,658.0,0.1,5,COMPLETE
124,124,7.381150391977252,2025-06-15 00:24:17.491227,2025-06-15 00:24:19.808033,0 days 00:00:02.316806,,,,,,,,,,,,,,,,,,,,,,898,0.003,2m,3.0,1.5,1.0,1022,,,,,,,,884.0,0.002,4m,3.5,3.0,1.3,818.0,340.0,0.009000000000000001,1m,1.5,1.0,1.6,192.0,,,,,,,,230.0,0.006,1m,3.0,3.5,1.6,886.0,452.0,0.001,4m,3.5,3.0,1.2000000000000002,652.0,0.1,5,COMPLETE
125,125,7.2228345707422426,2025-06-15 00:24:19.883049,2025-06-15 00:24:22.195958,0 days 00:00:02.312909,,,,,,,,,,,,,,,,,,,,,,898,0.003,2m,3.0,1.5,1.0,1024,,,,,,,,898.0,0.002,4m,3.5,3.0,1.5,822.0,332.0,0.009000000000000001,1m,1.5,1.0,1.7000000000000002,180.0,,,,,,,,234.0,0.006,1m,3.0,3.5,1.7000000000000002,888.0,434.0,0.001,4m,3.5,3.0,1.2000000000000002,580.0,0.1,5,COMPLETE
126,126,7.942141634891333,2025-06-15 00:24:22.259957,2025-06-15 00:24:24.665861,0 days 00:00:02.405904,,,,,,,,,,,,,,,,,,,,,,900,0.003,2m,3.0,1.5,1.0,1002,,,,,,,,894.0,0.002,4m,3.5,3.5,1.4,824.0,332.0,0.009000000000000001,1m,1.5,1.0,1.7000000000000002,208.0,,,,,,,,240.0,0.006,1m,3.0,3.5,1.7000000000000002,890.0,440.0,0.001,4m,3.5,3.0,1.2000000000000002,582.0,0.05,5,COMPLETE
127,127,7.65391983192066,2025-06-15 00:24:24.747383,2025-06-15 00:24:27.282265,0 days 00:00:02.534882,,,,,,,,,,,,,,,,,,,,,,884,0.003,2m,3.5,1.5,1.0,990,,,,,,,,892.0,0.002,4m,3.5,3.5,1.4,822.0,338.0,0.009000000000000001,1m,1.5,1.0,1.7000000000000002,192.0,,,,,,,,238.0,0.006,1m,3.0,3.5,1.7000000000000002,874.0,444.0,0.001,4m,3.5,3.0,1.2000000000000002,600.0,0.05,5,COMPLETE
128,128,7.879752491822739,2025-06-15 00:24:27.357299,2025-06-15 00:24:29.753835,0 days 00:00:02.396536,,,,,,,,,,,,,,,,,,,,,,896,0.003,2m,3.0,1.5,1.0,1018,,,,,,,,922.0,0.002,4m,3.5,3.5,1.6,826.0,330.0,0.009000000000000001,1m,1.5,1.0,1.7000000000000002,192.0,,,,,,,,230.0,0.006,1m,3.0,3.5,1.7000000000000002,890.0,426.0,0.001,4m,3.5,3.0,1.2000000000000002,586.0,0.05,5,COMPLETE
129,129,8.528823683399448,2025-06-15 00:24:29.832361,2025-06-15 00:24:32.217327,0 days 00:00:02.384966,,,,,,,,,,,,,,,,,,,,,,806,0.003,2m,3.0,1.5,1.0,1020,,,,,,,,892.0,0.002,4m,3.5,3.5,1.5,822.0,330.0,0.009000000000000001,1m,1.5,1.0,1.8,194.0,,,,,,,,226.0,0.006,1m,3.0,3.5,1.7000000000000002,882.0,434.0,0.001,4m,3.5,3.0,1.2000000000000002,572.0,0.05,5,COMPLETE
130,130,7.473180189744305,2025-06-15 00:24:32.306845,2025-06-15 00:24:34.867999,0 days 00:00:02.561154,,,,,,,,,,,,,,,,,,,,,,824,0.003,2m,3.0,2.0,1.0,1024,,,,,,,,898.0,0.002,4m,3.5,3.5,1.5,822.0,288.0,0.009000000000000001,1m,1.5,1.0,1.8,180.0,,,,,,,,232.0,0.006,1m,3.0,3.5,1.7000000000000002,888.0,434.0,0.001,4m,3.5,3.0,1.2000000000000002,580.0,0.05,5,COMPLETE
131,131,7.986085601181931,2025-06-15 00:24:34.920512,2025-06-15 00:24:37.431030,0 days 00:00:02.510518,,,,,,,,,,,,,,,,,,,,,,820,0.003,2m,3.0,2.0,1.0,1020,,,,,,,,896.0,0.002,4m,3.5,3.5,1.6,824.0,334.0,0.009000000000000001,1m,1.5,1.0,1.8,194.0,,,,,,,,234.0,0.006,1m,3.0,3.5,1.7000000000000002,874.0,434.0,0.001,4m,3.5,3.0,1.2000000000000002,586.0,0.05,5,COMPLETE
132,132,7.385172072383298,2025-06-15 00:24:37.500547,2025-06-15 00:24:39.980055,0 days 00:00:02.479508,,,,,,,,,,,,,,,,,,,,,,860,0.003,2m,3.0,2.5,1.0,1022,,,,,,,,900.0,0.002,4m,3.5,3.5,1.6,818.0,328.0,0.009000000000000001,1m,1.5,1.0,1.8,196.0,,,,,,,,234.0,0.006,1m,3.0,3.5,1.7000000000000002,888.0,428.0,0.001,4m,3.5,3.0,1.2000000000000002,576.0,0.05,5,COMPLETE
133,133,6.656985070583686,2025-06-15 00:24:40.057127,2025-06-15 00:24:42.711702,0 days 00:00:02.654575,,,,,,,,,,,,,,,,,,,,,,866,0.003,2m,3.0,2.5,0.9,1018,,,,,,,,896.0,0.002,4m,3.5,3.5,1.6,824.0,328.0,0.009000000000000001,1m,1.5,1.0,1.9000000000000001,186.0,,,,,,,,230.0,0.006,1m,3.0,3.5,1.7000000000000002,882.0,420.0,0.001,4m,3.5,3.0,1.2000000000000002,578.0,0.05,5,COMPLETE
134,134,6.74825135276373,2025-06-15 00:24:42.785705,2025-06-15 00:24:45.333646,0 days 00:00:02.547941,,,,,,,,,,,,,,,,,,,,,,790,0.003,2m,3.0,2.5,1.0,1022,,,,,,,,956.0,0.002,4m,3.5,3.5,1.5,844.0,284.0,0.009000000000000001,1m,1.5,1.0,1.8,200.0,,,,,,,,168.0,0.006,1m,3.0,3.5,1.7000000000000002,870.0,464.0,0.001,4m,3.5,3.0,1.2000000000000002,592.0,0.05,5,COMPLETE
135,135,9.267231742381682,2025-06-15 00:24:45.401682,2025-06-15 00:24:48.066856,0 days 00:00:02.665174,,,,,,,,,,,,,,,,,,,,,,904,0.003,2m,3.0,2.5,1.0,998,,,,,,,,886.0,0.003,4m,3.5,3.5,1.6,824.0,302.0,0.009000000000000001,1m,1.5,1.0,1.8,162.0,,,,,,,,222.0,0.006,1m,3.0,3.5,1.7000000000000002,908.0,376.0,0.001,4m,3.5,3.0,1.3,552.0,0.05,5,COMPLETE
136,136,6.173854410200946,2025-06-15 00:24:48.164378,2025-06-15 00:24:50.903925,0 days 00:00:02.739547,,,,,,,,,,,,,,,,,,,,,,902,0.003,2m,3.5,2.5,1.0,1002,,,,,,,,920.0,0.003,4m,3.5,3.5,1.6,824.0,254.0,0.009000000000000001,1m,1.5,1.0,1.9000000000000001,216.0,,,,,,,,220.0,0.006,1m,3.0,3.5,1.7000000000000002,912.0,358.0,0.001,4m,3.5,3.0,1.3,550.0,0.05,5,COMPLETE
137,137,2.39557057212432,2025-06-15 00:24:50.975925,2025-06-15 00:24:53.531676,0 days 00:00:02.555751,,,,,,,,,,,,,,,,,,,,,,868,0.002,2m,3.0,3.0,0.9,990,,,,,,,,886.0,0.003,4m,3.5,3.5,1.7000000000000002,864.0,212.0,0.009000000000000001,1m,1.5,1.0,1.8,160.0,,,,,,,,248.0,0.006,1m,3.0,3.5,1.8,952.0,374.0,0.001,4m,3.5,3.0,1.3,620.0,0.05,5,COMPLETE
138,138,6.715556022480674,2025-06-15 00:24:53.604187,2025-06-15 00:24:56.280303,0 days 00:00:02.676116,,,,,,,,,,,,,,,,,,,,,,774,0.003,2m,3.0,2.5,0.9,1024,,,,,,,,840.0,0.002,4m,3.5,3.5,1.6,892.0,302.0,0.009000000000000001,1m,1.5,1.0,1.7000000000000002,236.0,,,,,,,,214.0,0.006,1m,3.0,3.5,1.7000000000000002,902.0,398.0,0.001,4m,3.5,3.5,1.2000000000000002,558.0,0.05,5,COMPLETE
139,139,-0.4449846147102227,2025-06-15 00:24:56.352819,2025-06-15 00:24:59.071786,0 days 00:00:02.718967,,,,,,,,,,,,,,,,,,,,,,810,0.003,2m,3.0,2.0,1.0,992,,,,,,,,996.0,0.003,4m,3.5,4.0,1.5,790.0,130.0,0.009000000000000001,1m,1.5,1.0,1.7000000000000002,152.0,,,,,,,,112.0,0.007,1m,3.0,3.5,1.7000000000000002,852.0,474.0,0.001,4m,3.5,3.0,1.1,610.0,0.05,5,COMPLETE
140,140,6.044928903820409,2025-06-15 00:24:59.136295,2025-06-15 00:25:01.840808,0 days 00:00:02.704513,,,,,,,,,,,,,,,,,,,,,,858,0.004,2m,3.0,2.5,1.0,1024,,,,,,,,934.0,0.002,4m,3.5,3.5,1.5,820.0,274.0,0.009000000000000001,2m,1.5,1.0,1.8,206.0,,,,,,,,174.0,0.006,1m,3.0,3.5,1.7000000000000002,898.0,324.0,0.001,4m,4.0,3.0,1.3,572.0,0.05,5,COMPLETE
141,141,7.419308625519186,2025-06-15 00:25:01.911848,2025-06-15 00:25:04.475240,0 days 00:00:02.563392,,,,,,,,,,,,,,,,,,,,,,1000,0.003,2m,3.0,2.0,1.0,998,,,,,,,,866.0,0.002,4m,3.5,3.5,1.4,836.0,340.0,0.009000000000000001,1m,1.5,1.0,1.9000000000000001,186.0,,,,,,,,256.0,0.006,1m,3.0,3.5,1.6,874.0,448.0,0.001,4m,3.5,3.0,1.2000000000000002,634.0,0.05,5,COMPLETE
142,142,9.05450950241787,2025-06-15 00:25:04.548758,2025-06-15 00:25:07.022141,0 days 00:00:02.473383,,,,,,,,,,,,,,,,,,,,,,896,0.003,2m,3.0,2.0,0.9,1002,,,,,,,,870.0,0.002,4m,3.5,3.5,1.4,854.0,314.0,0.009000000000000001,1m,1.5,1.0,1.9000000000000001,186.0,,,,,,,,256.0,0.006,1m,3.0,3.5,1.8,864.0,458.0,0.001,4m,3.5,3.0,1.2000000000000002,638.0,0.05,5,COMPLETE
143,143,9.552216352139808,2025-06-15 00:25:07.096664,2025-06-15 00:25:09.773731,0 days 00:00:02.677067,,,,,,,,,,,,,,,,,,,,,,890,0.002,2m,3.0,2.0,0.9,994,,,,,,,,872.0,0.002,4m,3.5,3.5,1.4,854.0,312.0,0.009000000000000001,1m,1.5,1.0,2.0,178.0,,,,,,,,252.0,0.006,1m,3.0,3.5,1.8,942.0,468.0,0.001,4m,3.5,3.0,1.2000000000000002,618.0,0.05,5,COMPLETE
144,144,8.541926064739187,2025-06-15 00:25:09.842257,2025-06-15 00:25:12.377988,0 days 00:00:02.535731,,,,,,,,,,,,,,,,,,,,,,880,0.002,2m,3.0,2.0,0.9,998,,,,,,,,870.0,0.002,4m,3.5,3.5,1.4,856.0,314.0,0.01,1m,1.5,1.0,2.0,260.0,,,,,,,,266.0,0.006,1m,3.0,3.5,1.9000000000000001,948.0,474.0,0.001,4m,3.5,3.0,1.2000000000000002,628.0,0.05,5,COMPLETE
145,145,8.812231572282586,2025-06-15 00:25:12.458523,2025-06-15 00:25:15.175176,0 days 00:00:02.716653,,,,,,,,,,,,,,,,,,,,,,884,0.002,2m,3.0,2.0,0.9,998,,,,,,,,870.0,0.002,4m,3.5,3.5,1.4,860.0,310.0,0.01,1m,1.5,1.0,2.0,248.0,,,,,,,,266.0,0.006,1m,3.0,3.5,1.9000000000000001,952.0,492.0,0.001,4m,3.5,3.5,1.2000000000000002,634.0,0.05,5,COMPLETE
146,146,3.426533937892618,2025-06-15 00:25:15.258693,2025-06-15 00:25:17.885245,0 days 00:00:02.626552,,,,,,,,,,,,,,,,,,,,,,884,0.002,2m,3.0,2.0,0.9,994,,,,,,,,872.0,0.002,4m,3.5,3.5,1.4,856.0,304.0,0.01,4m,1.5,1.0,2.0,252.0,,,,,,,,258.0,0.007,1m,3.5,3.5,1.9000000000000001,948.0,492.0,0.001,4m,4.0,3.5,1.4,632.0,0.05,5,COMPLETE
147,147,6.336098020809079,2025-06-15 00:25:17.971759,2025-06-15 00:25:20.596539,0 days 00:00:02.624780,,,,,,,,,,,,,,,,,,,,,,880,0.002,2m,3.0,2.0,0.9,998,,,,,,,,966.0,0.002,4m,3.5,3.5,1.6,898.0,234.0,0.01,1m,1.5,1.0,2.0,228.0,,,,,,,,264.0,0.006,1m,3.0,3.5,1.9000000000000001,1008.0,390.0,0.001,2m,3.5,3.0,1.3,636.0,0.05,5,COMPLETE
148,148,6.1997546714999,2025-06-15 00:25:20.655049,2025-06-15 00:25:23.470063,0 days 00:00:02.815014,,,,,,,,,,,,,,,,,,,,,,852,0.003,2m,3.5,2.0,0.9,978,,,,,,,,826.0,0.002,4m,3.5,3.5,1.4,852.0,284.0,0.01,1m,1.5,1.0,1.9000000000000001,268.0,,,,,,,,168.0,0.006,1m,3.0,3.5,1.8,966.0,482.0,0.001,4m,3.5,3.5,1.2000000000000002,602.0,0.05,5,COMPLETE
149,149,4.879750247804683,2025-06-15 00:25:23.548578,2025-06-15 00:25:26.135594,0 days 00:00:02.587016,,,,,,,,,,,,,,,,,,,,,,796,0.002,2m,3.0,2.0,0.9,998,,,,,,,,918.0,0.003,4m,3.5,3.5,1.6,796.0,262.0,0.008,1m,1.5,1.0,1.9000000000000001,306.0,,,,,,,,196.0,0.007,1m,3.0,3.5,1.9000000000000001,934.0,340.0,0.001,4m,3.5,3.0,1.2000000000000002,468.0,0.05,5,COMPLETE
