,number,value,datetime_start,datetime_complete,duration,params_ADI_INTC_beta_win,params_ADI_INTC_stop_loss,params_ADI_INTC_trade_freq,params_ADI_INTC_z_entry,params_ADI_INTC_z_exit,params_ADI_INTC_z_stop_scaler,params_ADI_INTC_z_win,params_AEP_TXN_beta_win,params_AEP_TXN_stop_loss,params_AEP_TXN_trade_freq,params_AEP_TXN_z_entry,params_AEP_TXN_z_exit,params_AEP_TXN_z_stop_scaler,params_AEP_TXN_z_win,params_AMGN_TXN_beta_win,params_AMGN_TXN_stop_loss,params_AMGN_TXN_trade_freq,params_AMGN_TXN_z_entry,params_AMGN_TXN_z_exit,params_AMGN_TXN_z_stop_scaler,params_AMGN_TXN_z_win,params_CTAS_INTC_beta_win,params_CTAS_INTC_stop_loss,params_CTAS_INTC_trade_freq,params_CTAS_INTC_z_entry,params_CTAS_INTC_z_exit,params_CTAS_INTC_z_stop_scaler,params_CTAS_INTC_z_win,params_GOOG_INTC_beta_win,params_GOOG_INTC_stop_loss,params_GOOG_INTC_trade_freq,params_GOOG_INTC_z_entry,params_GOOG_INTC_z_exit,params_GOOG_INTC_z_stop_scaler,params_GOOG_INTC_z_win,params_ILMN_PANW_beta_win,params_ILMN_PANW_stop_loss,params_ILMN_PANW_trade_freq,params_ILMN_PANW_z_entry,params_ILMN_PANW_z_exit,params_ILMN_PANW_z_stop_scaler,params_ILMN_PANW_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_MDLZ_TXN_beta_win,params_MDLZ_TXN_stop_loss,params_MDLZ_TXN_trade_freq,params_MDLZ_TXN_z_entry,params_MDLZ_TXN_z_exit,params_MDLZ_TXN_z_stop_scaler,params_MDLZ_TXN_z_win,params_MNST_TXN_beta_win,params_MNST_TXN_stop_loss,params_MNST_TXN_trade_freq,params_MNST_TXN_z_entry,params_MNST_TXN_z_exit,params_MNST_TXN_z_stop_scaler,params_MNST_TXN_z_win,params_SIRI_TXN_beta_win,params_SIRI_TXN_stop_loss,params_SIRI_TXN_trade_freq,params_SIRI_TXN_z_entry,params_SIRI_TXN_z_exit,params_SIRI_TXN_z_stop_scaler,params_SIRI_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-100.0,2025-06-15 00:36:28.276601,2025-06-15 00:36:29.100759,0 days 00:00:00.824158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660,0.006,3m,3.0,2.5,1.5,998,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
11,11,3.6793658780201888,2025-06-15 00:36:29.175272,2025-06-15 00:36:32.349355,0 days 00:00:03.174083,,,,,,,,336.0,0.003,1m,1.5,2.0,0.5,32.0,48.0,0.01,1m,4.0,1.5,0.5,76.0,684.0,0.002,3m,1.0,1.0,1.2000000000000002,520.0,,,,,,,,,,,,,,,964.0,0.003,3m,1.0,1.0,1.1,358.0,636,0.01,1m,1.0,3.5,1.4,424,534.0,0.01,3m,2.0,3.0,0.5,918.0,,,,,,,,0.5,6,COMPLETE
12,12,-3.0193684897313755,2025-06-15 00:36:32.404354,2025-06-15 00:36:41.660480,0 days 00:00:09.256126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526,0.006,1m,3.0,4.0,1.2000000000000002,494,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
13,13,2.8676968447883446,2025-06-15 00:36:41.717480,2025-06-15 00:36:43.337809,0 days 00:00:01.620329,,,,,,,,386.0,0.004,2m,1.0,4.0,1.5,972.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746.0,0.003,4m,4.0,1.5,1.2000000000000002,440.0,754,0.007,1m,2.0,3.0,1.5,236,,,,,,,,,,,,,,,0.25,3,COMPLETE
14,14,2.38765365225211,2025-06-15 00:36:43.407318,2025-06-15 00:36:46.239183,0 days 00:00:02.831865,,,,,,,,532.0,0.001,4m,1.0,1.0,1.8,714.0,,,,,,,,784.0,0.008,4m,2.5,2.5,1.2000000000000002,476.0,,,,,,,,,,,,,,,504.0,0.001,1m,2.0,2.0,2.0,328.0,398,0.01,3m,3.5,3.0,1.7000000000000002,576,364.0,0.004,3m,4.0,2.5,0.5,956.0,,,,,,,,0.05,5,COMPLETE
15,15,-0.5407730287906557,2025-06-15 00:36:46.310708,2025-06-15 00:36:47.266823,0 days 00:00:00.956115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.0,0.005,3m,4.0,3.5,1.4,620.0,20,0.004,1m,2.0,2.0,1.0,428,,,,,,,,,,,,,,,0.4,2,COMPLETE
16,16,-1.182430849931715,2025-06-15 00:36:47.320824,2025-06-15 00:36:50.545260,0 days 00:00:03.224436,,,,,,,,306.0,0.005,2m,3.0,2.0,0.8,188.0,714.0,0.001,3m,4.0,2.0,0.6,36.0,302.0,0.002,4m,3.0,1.0,1.4,62.0,,,,,,,,,,,,,,,846.0,0.003,4m,1.0,3.5,1.0,184.0,544,0.007,3m,1.5,3.5,1.1,188,832.0,0.001,1m,1.0,4.0,0.9,678.0,,,,,,,,0.5,6,COMPLETE
17,17,-0.5017881987616615,2025-06-15 00:36:50.599776,2025-06-15 00:36:52.521377,0 days 00:00:01.921601,,,,,,,,680.0,0.005,1m,1.5,2.5,1.3,872.0,,,,,,,,432.0,0.01,3m,2.0,2.5,1.0,382.0,,,,,,,,,,,,,,,1016.0,0.008,3m,3.0,4.0,0.5,470.0,760,0.001,2m,2.5,2.0,1.4,376,,,,,,,,,,,,,,,0.25,4,COMPLETE
18,18,-5.259802665971628,2025-06-15 00:36:52.594410,2025-06-15 00:36:56.216271,0 days 00:00:03.621861,,,,,,,,214.0,0.001,2m,3.0,2.0,0.8,626.0,34.0,0.01,1m,2.5,2.5,0.9,1024.0,830.0,0.004,4m,3.5,4.0,0.6,710.0,,,,,,,,1008.0,0.01,1m,4.0,4.0,0.5,30.0,656.0,0.005,4m,2.0,2.0,1.4,818.0,436,0.008,3m,3.5,3.5,1.4,154,326.0,0.008,2m,2.0,2.0,0.8,704.0,,,,,,,,0.15000000000000002,7,COMPLETE
19,19,1.6889254906144742,2025-06-15 00:36:56.275317,2025-06-15 00:36:58.460358,0 days 00:00:02.185041,,,,,,,,464.0,0.01,1m,2.0,4.0,1.6,378.0,,,,,,,,476.0,0.008,4m,2.0,2.0,1.5,304.0,,,,,,,,,,,,,,,824.0,0.006,1m,3.5,3.5,2.0,338.0,822,0.01,1m,1.5,2.5,1.7000000000000002,554,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
