,number,value,datetime_start,datetime_complete,duration,params_ADI_INTC_beta_win,params_ADI_INTC_stop_loss,params_ADI_INTC_trade_freq,params_ADI_INTC_z_entry,params_ADI_INTC_z_exit,params_ADI_INTC_z_stop_scaler,params_ADI_INTC_z_win,params_AEP_TXN_beta_win,params_AEP_TXN_stop_loss,params_AEP_TXN_trade_freq,params_AEP_TXN_z_entry,params_AEP_TXN_z_exit,params_AEP_TXN_z_stop_scaler,params_AEP_TXN_z_win,params_AMGN_TXN_beta_win,params_AMGN_TXN_stop_loss,params_AMGN_TXN_trade_freq,params_AMGN_TXN_z_entry,params_AMGN_TXN_z_exit,params_AMGN_TXN_z_stop_scaler,params_AMGN_TXN_z_win,params_CTAS_INTC_beta_win,params_CTAS_INTC_stop_loss,params_CTAS_INTC_trade_freq,params_CTAS_INTC_z_entry,params_CTAS_INTC_z_exit,params_CTAS_INTC_z_stop_scaler,params_CTAS_INTC_z_win,params_GOOG_INTC_beta_win,params_GOOG_INTC_stop_loss,params_GOOG_INTC_trade_freq,params_GOOG_INTC_z_entry,params_GOOG_INTC_z_exit,params_GOOG_INTC_z_stop_scaler,params_GOOG_INTC_z_win,params_ILMN_PANW_beta_win,params_ILMN_PANW_stop_loss,params_ILMN_PANW_trade_freq,params_ILMN_PANW_z_entry,params_ILMN_PANW_z_exit,params_ILMN_PANW_z_stop_scaler,params_ILMN_PANW_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_MDLZ_TXN_beta_win,params_MDLZ_TXN_stop_loss,params_MDLZ_TXN_trade_freq,params_MDLZ_TXN_z_entry,params_MDLZ_TXN_z_exit,params_MDLZ_TXN_z_stop_scaler,params_MDLZ_TXN_z_win,params_MNST_TXN_beta_win,params_MNST_TXN_stop_loss,params_MNST_TXN_trade_freq,params_MNST_TXN_z_entry,params_MNST_TXN_z_exit,params_MNST_TXN_z_stop_scaler,params_MNST_TXN_z_win,params_SIRI_TXN_beta_win,params_SIRI_TXN_stop_loss,params_SIRI_TXN_trade_freq,params_SIRI_TXN_z_entry,params_SIRI_TXN_z_exit,params_SIRI_TXN_z_stop_scaler,params_SIRI_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
30,30,1.5188055959172047,2025-06-15 00:37:36.345199,2025-06-15 00:37:41.051073,0 days 00:00:04.705874,,,,,,,,620.0,0.001,4m,1.0,1.5,0.7,256.0,130.0,0.009000000000000001,1m,3.0,1.5,0.7,636.0,550.0,0.002,3m,1.0,2.0,1.1,614.0,1018.0,0.005,2m,1.0,1.0,1.2000000000000002,998.0,474.0,0.003,2m,4.0,3.5,0.9,404.0,650.0,0.002,3m,2.0,2.0,0.6,520.0,692,0.003,1m,2.0,3.5,1.6,516,656.0,0.009000000000000001,2m,3.0,2.0,1.4,866.0,806.0,0.008,4m,3.0,2.0,1.6,242.0,0.5,9,COMPLETE
31,31,9.931701147084201,2025-06-15 00:37:41.135107,2025-06-15 00:37:45.742528,0 days 00:00:04.607421,,,,,,,,430.0,0.003,4m,2.0,2.0,0.5,62.0,314.0,0.007,1m,3.5,1.0,0.8,132.0,752.0,0.001,3m,1.0,1.0,0.9,778.0,556.0,0.008,1m,2.0,2.0,1.4,52.0,94.0,0.001,3m,3.5,4.0,1.0,878.0,924.0,0.004,3m,1.0,1.0,0.9,284.0,482,0.002,1m,1.0,4.0,1.2000000000000002,472,754.0,0.01,3m,2.0,2.5,0.7,794.0,302.0,0.003,3m,3.5,3.5,0.9,686.0,0.45,9,COMPLETE
32,32,6.282784322157428,2025-06-15 00:37:45.820047,2025-06-15 00:37:50.501957,0 days 00:00:04.681910,,,,,,,,470.0,0.002,4m,2.0,2.0,0.6,82.0,380.0,0.005,1m,3.0,1.0,0.7,142.0,680.0,0.002,3m,1.5,1.0,0.8,454.0,452.0,0.008,1m,2.0,2.0,1.4,146.0,172.0,0.002,3m,3.0,3.5,1.0,846.0,904.0,0.003,3m,1.0,1.0,0.9,388.0,570,0.002,1m,1.0,4.0,1.3,414,826.0,0.009000000000000001,3m,2.0,2.5,0.7,1020.0,254.0,0.004,3m,3.5,3.5,0.9,690.0,0.5,9,COMPLETE
33,33,6.188022173719633,2025-06-15 00:37:50.588485,2025-06-15 00:37:55.113496,0 days 00:00:04.525011,,,,,,,,394.0,0.004,4m,1.5,2.0,0.6,222.0,540.0,0.009000000000000001,1m,3.5,1.0,1.1,342.0,728.0,0.003,3m,1.0,1.0,1.0,650.0,614.0,0.007,1m,1.5,1.5,1.7000000000000002,692.0,148.0,0.002,3m,3.5,4.0,0.5,844.0,794.0,0.004,3m,1.0,1.5,0.7,406.0,500,0.002,2m,1.0,4.0,1.3,550,636.0,0.01,3m,2.0,2.5,0.7,844.0,340.0,0.003,3m,4.0,3.0,1.0,638.0,0.4,9,COMPLETE
34,34,5.760473658984448,2025-06-15 00:37:55.216026,2025-06-15 00:38:00.257442,0 days 00:00:05.041416,48.0,0.01,2m,2.5,3.5,0.5,20.0,280.0,0.002,4m,2.0,1.5,0.7,78.0,318.0,0.007,1m,4.0,1.5,0.7,132.0,828.0,0.001,3m,1.5,1.5,0.8,542.0,312.0,0.003,2m,3.5,3.5,1.0,24.0,316.0,0.004,3m,3.5,3.5,0.7,724.0,960.0,0.001,3m,1.5,1.0,1.2000000000000002,284.0,352,0.005,4m,1.5,3.5,1.2000000000000002,468,770.0,0.009000000000000001,3m,2.5,1.5,0.6,618.0,84.0,0.001,2m,3.0,3.0,1.7000000000000002,266.0,0.45,10,COMPLETE
35,35,10.921965185231636,2025-06-15 00:38:00.356965,2025-06-15 00:38:04.417336,0 days 00:00:04.060371,,,,,,,,386.0,0.003,4m,3.0,2.0,0.9,316.0,132.0,0.008,1m,2.0,2.0,0.5,36.0,892.0,0.002,3m,1.0,1.0,1.3,832.0,,,,,,,,122.0,0.002,3m,2.5,3.0,1.5,906.0,1016.0,0.002,1m,1.0,1.0,0.7,484.0,492,0.003,1m,1.0,4.0,1.5,366,588.0,0.008,4m,2.0,2.0,0.8,916.0,796.0,0.005,4m,3.5,4.0,1.1,818.0,0.3,8,COMPLETE
36,36,4.716687049256388,2025-06-15 00:38:04.472472,2025-06-15 00:38:08.673430,0 days 00:00:04.200958,,,,,,,,270.0,0.005,4m,3.0,2.0,1.0,306.0,128.0,0.007,1m,2.0,2.0,0.5,50.0,904.0,0.001,2m,1.0,1.5,1.3,1018.0,,,,,,,,16.0,0.001,3m,2.5,2.0,1.5,392.0,882.0,0.006,1m,1.5,1.5,0.9,556.0,272,0.003,1m,1.5,3.5,2.0,258,564.0,0.007,4m,2.5,2.5,1.0,932.0,778.0,0.005,3m,2.5,4.0,1.0,880.0,0.3,8,COMPLETE
37,37,-0.41874063888927715,2025-06-15 00:38:08.739429,2025-06-15 00:38:12.947561,0 days 00:00:04.208132,,,,,,,,394.0,0.003,3m,3.5,2.5,0.9,328.0,270.0,0.008,4m,2.0,2.5,1.1,16.0,1012.0,0.003,3m,2.0,1.0,1.1,844.0,,,,,,,,822.0,0.002,1m,2.5,3.0,1.8,926.0,952.0,0.003,1m,1.0,1.0,0.7,482.0,496,0.003,4m,1.0,4.0,1.5,328,438.0,0.008,4m,1.5,3.5,0.8,1012.0,476.0,0.003,4m,3.5,3.5,1.1,700.0,0.4,8,COMPLETE
38,38,4.87490670088004,2025-06-15 00:38:13.053090,2025-06-15 00:38:16.635502,0 days 00:00:03.582412,,,,,,,,556.0,0.006,4m,3.5,2.5,0.9,176.0,134.0,0.006,3m,2.0,2.0,0.8,152.0,904.0,0.004,2m,1.5,1.5,1.4,936.0,,,,,,,,120.0,0.008,4m,3.0,2.0,2.0,922.0,786.0,0.005,1m,1.5,1.5,0.9,142.0,296,0.009000000000000001,1m,1.5,3.5,1.8,386,934.0,0.01,4m,2.5,1.5,0.5,924.0,,,,,,,,0.3,7,COMPLETE
39,39,5.1316364132106225,2025-06-15 00:38:16.722020,2025-06-15 00:38:19.981557,0 days 00:00:03.259537,,,,,,,,142.0,0.004,4m,3.0,3.0,0.5,464.0,476.0,0.008,2m,2.5,1.5,0.5,136.0,786.0,0.005,3m,1.0,1.0,1.4,768.0,,,,,,,,,,,,,,,874.0,0.003,1m,1.0,2.0,1.1,312.0,476,0.001,2m,1.0,3.0,1.4,316,248.0,0.007,1m,2.0,3.0,0.6,506.0,,,,,,,,0.35000000000000003,6,COMPLETE
40,40,-0.2526169625671499,2025-06-15 00:38:20.050557,2025-06-15 00:38:23.999041,0 days 00:00:03.948484,,,,,,,,342.0,0.003,1m,3.5,2.0,1.1,372.0,124.0,0.01,1m,1.5,3.0,2.0,230.0,634.0,0.002,3m,1.5,1.5,1.2000000000000002,824.0,,,,,,,,416.0,0.004,2m,2.0,3.0,1.4,550.0,982.0,0.004,2m,1.5,1.0,1.3,544.0,360,0.003,4m,2.0,4.0,0.6,126,802.0,0.01,4m,3.0,2.0,0.8,770.0,808.0,0.005,3m,3.5,4.0,0.7,838.0,0.2,8,COMPLETE
41,41,8.485123375314434,2025-06-15 00:38:24.110565,2025-06-15 00:38:28.658789,0 days 00:00:04.548224,,,,,,,,490.0,0.002,4m,1.5,2.0,0.6,90.0,16.0,0.009000000000000001,1m,3.5,1.0,0.6,332.0,712.0,0.002,3m,1.0,1.0,0.9,674.0,794.0,0.008,1m,2.0,2.0,1.8,748.0,244.0,0.002,3m,4.0,3.5,1.0,738.0,1010.0,0.002,3m,1.0,1.0,0.6,388.0,578,0.002,1m,1.0,4.0,1.2000000000000002,680,670.0,0.009000000000000001,3m,2.0,2.0,0.6,842.0,926.0,0.008,4m,3.5,3.0,1.2000000000000002,554.0,0.5,9,COMPLETE
42,42,6.156324750249807,2025-06-15 00:38:28.755311,2025-06-15 00:38:33.250230,0 days 00:00:04.494919,,,,,,,,608.0,0.001,4m,1.5,1.5,0.6,74.0,116.0,0.009000000000000001,1m,4.0,1.0,0.6,88.0,942.0,0.001,3m,1.0,1.0,0.9,678.0,758.0,0.009000000000000001,1m,2.5,2.5,2.0,674.0,270.0,0.002,3m,3.5,4.0,1.1,744.0,974.0,0.002,3m,1.0,1.0,0.8,378.0,424,0.001,1m,1.0,4.0,1.0,660,600.0,0.009000000000000001,4m,2.0,2.0,0.6,896.0,902.0,0.008,4m,3.5,3.0,1.2000000000000002,552.0,0.45,9,COMPLETE
43,43,-3.8345277551837573,2025-06-15 00:38:33.336751,2025-06-15 00:38:35.944256,0 days 00:00:02.607505,,,,,,,,504.0,0.003,4m,1.0,2.0,0.6,216.0,,,,,,,,844.0,0.002,1m,1.0,1.5,1.3,736.0,,,,,,,,,,,,,,,876.0,0.001,1m,1.0,1.5,0.7,466.0,670,0.002,1m,1.5,3.5,1.4,770,492.0,0.008,3m,1.0,2.5,1.8,954.0,,,,,,,,0.5,5,COMPLETE
44,44,4.8529475788046055,2025-06-15 00:38:36.014772,2025-06-15 00:38:41.177808,0 days 00:00:05.163036,968.0,0.001,3m,4.0,1.0,1.8,796.0,420.0,0.002,3m,1.5,2.0,0.5,148.0,86.0,0.007,1m,3.5,1.5,0.6,292.0,754.0,0.001,3m,1.5,1.0,1.1,890.0,800.0,0.007,1m,2.0,2.0,1.7000000000000002,728.0,112.0,0.001,3m,2.5,3.5,1.1,902.0,294.0,0.003,2m,1.5,1.0,0.6,1024.0,550,0.009000000000000001,1m,1.0,4.0,1.5,302,690.0,0.01,3m,2.0,2.5,0.8,838.0,606.0,0.006,4m,2.5,3.5,0.8,498.0,0.45,10,COMPLETE
45,45,6.386724471258178,2025-06-15 00:38:41.274320,2025-06-15 00:38:44.980426,0 days 00:00:03.706106,,,,,,,,346.0,0.004,4m,2.5,1.5,0.6,72.0,260.0,0.008,1m,4.0,1.0,0.8,184.0,532.0,0.003,3m,1.0,2.0,1.0,548.0,,,,,,,,104.0,0.002,3m,4.0,4.0,1.6,934.0,38.0,0.004,3m,1.0,1.0,0.9,268.0,508,0.004,1m,1.5,4.0,1.2000000000000002,678,530.0,0.005,3m,2.5,1.5,0.6,1022.0,,,,,,,,0.5,7,COMPLETE
46,46,-2.2989966717328443,2025-06-15 00:38:45.092459,2025-06-15 00:38:49.148342,0 days 00:00:04.055883,,,,,,,,514.0,0.003,1m,1.0,2.5,0.8,208.0,726.0,0.004,3m,3.5,1.0,1.3,396.0,936.0,0.002,1m,2.0,3.0,2.0,666.0,,,,,,,,242.0,0.001,3m,3.0,3.0,1.3,754.0,832.0,0.002,3m,1.5,1.5,0.8,500.0,602,0.003,1m,1.0,4.0,1.6,820,608.0,0.009000000000000001,1m,1.5,3.5,1.0,964.0,712.0,0.004,4m,3.0,4.0,1.3,748.0,0.4,8,COMPLETE
47,47,3.357422323428088,2025-06-15 00:38:49.244858,2025-06-15 00:38:53.962410,0 days 00:00:04.717552,,,,,,,,694.0,0.001,4m,2.5,3.0,1.2000000000000002,506.0,172.0,0.009000000000000001,1m,2.5,1.5,0.6,88.0,596.0,0.005,3m,1.5,1.0,1.7000000000000002,790.0,504.0,0.01,1m,3.0,3.0,0.9,242.0,100.0,0.005,3m,3.5,3.5,1.0,636.0,934.0,0.001,3m,1.0,1.0,1.2000000000000002,598.0,638,0.001,1m,1.0,3.5,1.3,586,892.0,0.01,4m,2.0,2.5,1.1,746.0,896.0,0.008,1m,3.5,3.0,1.1,970.0,0.45,9,COMPLETE
48,48,6.352020050837397,2025-06-15 00:38:54.061923,2025-06-15 00:38:59.450518,0 days 00:00:05.388595,,,,,,,,884.0,0.002,3m,1.5,1.5,1.0,46.0,80.0,0.008,4m,3.5,1.0,0.8,294.0,980.0,0.001,2m,1.0,1.5,0.7,562.0,,,,,,,,,,,,,,,986.0,0.003,2m,2.0,1.5,0.7,366.0,206,0.008,1m,1.5,3.5,0.9,462,756.0,0.009000000000000001,3m,2.5,2.0,1.3,136.0,,,,,,,,0.25,6,COMPLETE
49,49,3.11258760274763,2025-06-15 00:38:59.562029,2025-06-15 00:39:03.905387,0 days 00:00:04.343358,,,,,,,,278.0,0.005,1m,1.0,2.0,0.7,112.0,,,,,,,,24.0,0.002,1m,1.5,1.5,1.2000000000000002,474.0,,,,,,,,,,,,,,,1024.0,0.006,1m,1.0,1.0,0.5,176.0,766,0.004,2m,1.0,1.5,1.3,396,412.0,0.006,2m,3.5,1.0,0.5,380.0,,,,,,,,0.3,5,COMPLETE
50,50,3.4075866593362094,2025-06-15 00:39:04.030899,2025-06-15 00:39:07.683115,0 days 00:00:03.652216,,,,,,,,84.0,0.004,4m,1.5,2.0,0.5,318.0,300.0,0.01,1m,3.0,4.0,1.0,444.0,872.0,0.006,3m,2.5,1.0,0.9,928.0,,,,,,,,342.0,0.002,3m,4.0,4.0,1.0,942.0,558.0,0.005,3m,1.5,2.0,0.9,668.0,452,0.009000000000000001,1m,2.0,3.0,1.4,530,558.0,0.008,3m,3.0,4.0,1.6,648.0,,,,,,,,0.35000000000000003,7,COMPLETE
51,51,7.333081013731044,2025-06-15 00:39:07.805144,2025-06-15 00:39:12.975393,0 days 00:00:05.170249,516.0,0.005,3m,1.0,2.5,1.4,508.0,458.0,0.002,4m,2.0,2.0,0.7,104.0,16.0,0.009000000000000001,1m,3.0,1.0,0.6,568.0,712.0,0.002,3m,1.0,1.0,0.8,592.0,900.0,0.006,3m,1.5,1.5,1.7000000000000002,822.0,196.0,0.003,3m,4.0,3.5,0.7,810.0,990.0,0.002,3m,1.0,1.0,0.6,416.0,574,0.002,1m,1.0,4.0,1.2000000000000002,492,670.0,0.009000000000000001,3m,2.0,2.0,0.7,858.0,922.0,0.009000000000000001,4m,4.0,2.5,1.5,608.0,0.5,10,COMPLETE
52,52,8.555312969540429,2025-06-15 00:39:13.076909,2025-06-15 00:39:17.803497,0 days 00:00:04.726588,,,,,,,,378.0,0.002,4m,2.5,2.0,0.6,56.0,24.0,0.009000000000000001,1m,3.5,1.0,1.5,370.0,812.0,0.002,3m,1.0,1.0,0.6,650.0,874.0,0.008,4m,2.0,2.0,1.5,890.0,90.0,0.003,3m,4.0,3.5,0.9,874.0,1024.0,0.002,3m,1.0,1.0,0.6,326.0,530,0.002,1m,1.0,4.0,1.1,624,658.0,0.009000000000000001,3m,2.0,1.5,0.7,842.0,950.0,0.009000000000000001,4m,4.0,2.0,1.8,394.0,0.5,9,COMPLETE
53,53,9.591510965315509,2025-06-15 00:39:17.916021,2025-06-15 00:39:22.660275,0 days 00:00:04.744254,,,,,,,,372.0,0.002,4m,2.5,1.5,0.6,48.0,80.0,0.008,2m,1.5,1.0,1.5,346.0,810.0,0.003,3m,1.0,1.0,0.6,732.0,832.0,0.008,4m,2.0,2.0,1.2000000000000002,840.0,84.0,0.002,3m,3.5,3.0,0.8,966.0,860.0,0.001,3m,1.0,1.0,0.7,340.0,534,0.001,1m,1.5,4.0,1.1,630,794.0,0.002,3m,2.5,1.5,0.6,968.0,904.0,0.007,4m,3.5,2.0,1.7000000000000002,410.0,0.45,9,COMPLETE
54,54,4.082181183208741,2025-06-15 00:39:22.746787,2025-06-15 00:39:27.369332,0 days 00:00:04.622545,,,,,,,,390.0,0.001,4m,2.5,1.0,0.8,152.0,82.0,0.006,2m,1.5,1.5,1.5,430.0,808.0,0.004,3m,1.0,1.5,0.5,736.0,806.0,0.008,4m,2.0,2.0,1.3,826.0,76.0,0.002,3m,3.5,3.0,0.8,1016.0,850.0,0.001,3m,1.0,1.0,0.6,320.0,528,0.001,1m,1.5,4.0,0.8,700,802.0,0.001,3m,2.5,1.5,0.8,806.0,906.0,0.007,4m,3.5,2.0,1.8,382.0,0.45,9,COMPLETE
55,55,4.938401146529803,2025-06-15 00:39:27.442847,2025-06-15 00:39:32.386699,0 days 00:00:04.943852,38.0,0.005,2m,2.5,2.5,1.3,524.0,600.0,0.002,4m,2.5,1.5,2.0,18.0,160.0,0.001,2m,1.0,3.0,1.5,324.0,772.0,0.003,3m,3.5,1.0,0.6,876.0,850.0,0.008,4m,2.0,2.0,1.1,846.0,92.0,0.001,4m,3.5,2.5,0.9,882.0,122.0,0.001,3m,1.0,1.5,0.7,352.0,402,0.002,4m,1.5,4.0,1.0,746,868.0,0.002,1m,3.0,1.5,0.9,28.0,844.0,0.007,4m,3.5,2.0,1.8,444.0,0.45,10,COMPLETE
56,56,5.433828309536534,2025-06-15 00:39:32.477210,2025-06-15 00:39:36.486787,0 days 00:00:04.009577,,,,,,,,496.0,0.001,4m,3.0,2.5,0.6,428.0,364.0,0.007,2m,1.5,1.0,1.7000000000000002,510.0,854.0,0.003,4m,1.0,3.0,0.6,144.0,,,,,,,,144.0,0.002,3m,4.0,3.0,1.0,964.0,802.0,0.001,4m,1.5,3.0,0.5,294.0,464,0.001,1m,1.0,4.0,1.1,618,716.0,0.003,3m,2.5,1.0,0.6,910.0,946.0,0.009000000000000001,4m,4.0,1.5,1.2000000000000002,344.0,0.2,8,COMPLETE
57,57,3.235751422239151,2025-06-15 00:39:36.573316,2025-06-15 00:39:41.253007,0 days 00:00:04.679691,,,,,,,,302.0,0.003,2m,2.5,1.5,0.6,50.0,252.0,0.008,2m,2.0,1.0,1.5,212.0,116.0,0.002,3m,2.0,4.0,0.5,820.0,668.0,0.009000000000000001,4m,1.5,1.5,1.5,514.0,16.0,0.001,3m,2.0,3.5,0.7,892.0,946.0,0.009000000000000001,3m,1.0,1.0,0.8,236.0,536,0.003,1m,2.5,4.0,1.1,650,770.0,0.004,2m,3.5,1.5,0.7,980.0,712.0,0.009000000000000001,4m,3.0,1.5,1.5,602.0,0.4,9,COMPLETE
58,58,-2.5547070117680173,2025-06-15 00:39:41.308529,2025-06-15 00:39:45.556864,0 days 00:00:04.248335,,,,,,,,422.0,0.002,4m,3.0,3.0,0.8,564.0,78.0,0.01,4m,1.5,1.5,1.6,374.0,422.0,0.001,2m,1.0,1.0,0.7,700.0,,,,,,,,234.0,0.003,4m,3.0,2.5,1.2000000000000002,958.0,690.0,0.002,1m,2.5,1.5,0.7,450.0,384,0.002,3m,1.0,3.5,0.9,802,632.0,0.007,3m,1.5,1.0,0.8,700.0,178.0,0.002,2m,3.5,2.0,1.8,758.0,0.5,8,COMPLETE
59,59,5.278809650715178,2025-06-15 00:39:45.614382,2025-06-15 00:39:50.369061,0 days 00:00:04.754679,,,,,,,,552.0,0.007,4m,2.5,1.0,0.5,170.0,1014.0,0.007,3m,1.0,3.5,1.4,846.0,656.0,0.003,3m,1.5,3.5,0.6,750.0,382.0,0.007,4m,2.5,2.5,1.8,876.0,82.0,0.002,3m,3.5,4.0,0.9,634.0,888.0,0.002,3m,1.5,1.0,0.6,344.0,320,0.001,1m,1.5,2.5,1.2000000000000002,566,698.0,0.002,4m,2.0,1.5,0.9,808.0,962.0,0.008,4m,4.0,3.5,1.0,442.0,0.45,9,COMPLETE
60,60,6.545581420557562,2025-06-15 00:39:50.437575,2025-06-15 00:39:55.579598,0 days 00:00:05.142023,740.0,0.01,1m,2.0,3.0,0.5,562.0,248.0,0.003,4m,3.0,2.5,0.6,244.0,186.0,0.008,1m,2.5,1.0,1.2000000000000002,570.0,810.0,0.004,3m,1.0,1.0,0.9,660.0,904.0,0.009000000000000001,1m,2.0,2.0,1.3,612.0,638.0,0.005,2m,4.0,3.0,1.1,776.0,998.0,0.007,3m,1.0,1.5,0.5,198.0,434,0.005,1m,1.0,4.0,1.0,864,864.0,0.005,3m,1.5,2.0,0.6,896.0,846.0,0.006,3m,3.5,3.0,1.1,550.0,0.4,10,COMPLETE
61,61,5.854491050771083,2025-06-15 00:39:55.655623,2025-06-15 00:39:59.740410,0 days 00:00:04.084787,,,,,,,,312.0,0.003,1m,2.0,2.0,0.5,58.0,16.0,0.009000000000000001,1m,4.0,1.0,0.5,92.0,706.0,0.001,3m,1.0,1.0,1.0,716.0,,,,,,,,266.0,0.001,3m,1.5,4.0,0.6,686.0,942.0,0.003,3m,1.0,1.0,1.1,394.0,642,0.002,1m,1.0,4.0,1.3,354,578.0,0.01,3m,2.0,3.0,0.5,974.0,734.0,0.007,4m,3.0,2.0,0.5,310.0,0.5,8,COMPLETE
62,62,7.426665766201333,2025-06-15 00:39:59.827921,2025-06-15 00:40:03.503806,0 days 00:00:03.675885,,,,,,,,172.0,0.003,1m,2.5,2.0,0.5,108.0,82.0,0.008,1m,3.5,1.0,1.4,236.0,754.0,0.001,3m,1.0,1.0,1.4,788.0,,,,,,,,546.0,0.007,1m,2.5,1.0,1.2000000000000002,988.0,920.0,0.003,3m,1.0,1.0,1.0,262.0,730,0.006,1m,1.0,3.5,1.1,436,744.0,0.01,3m,2.0,3.0,0.7,944.0,,,,,,,,0.5,7,COMPLETE
63,63,7.386425629136038,2025-06-15 00:40:03.588925,2025-06-15 00:40:07.862383,0 days 00:00:04.273458,,,,,,,,350.0,0.002,2m,2.0,2.0,0.7,644.0,68.0,0.01,1m,4.0,1.0,1.8,314.0,890.0,0.002,3m,1.0,1.5,1.3,636.0,,,,,,,,60.0,0.01,3m,3.5,3.5,0.8,850.0,872.0,0.002,3m,1.0,1.0,1.1,332.0,562,0.001,1m,1.0,4.0,1.5,630,508.0,0.009000000000000001,3m,2.5,3.0,0.5,868.0,454.0,0.004,4m,3.0,1.5,1.4,800.0,0.5,8,COMPLETE
64,64,4.365431985653622,2025-06-15 00:40:07.935549,2025-06-15 00:40:12.659781,0 days 00:00:04.724232,,,,,,,,422.0,0.002,1m,1.5,1.5,0.6,24.0,672.0,0.009000000000000001,1m,3.5,1.5,0.5,250.0,812.0,0.002,4m,1.5,1.0,1.1,678.0,592.0,0.008,4m,1.5,1.5,0.8,896.0,726.0,0.004,3m,1.0,4.0,1.3,968.0,970.0,0.003,3m,1.5,1.0,0.8,436.0,486,0.01,1m,1.0,3.5,1.2000000000000002,714,662.0,0.01,3m,2.0,2.5,0.7,972.0,638.0,0.009000000000000001,1m,1.0,1.0,0.9,890.0,0.45,9,COMPLETE
65,65,1.4069242347105924,2025-06-15 00:40:12.729299,2025-06-15 00:40:15.840055,0 days 00:00:03.110756,,,,,,,,376.0,0.004,4m,1.0,3.5,0.5,124.0,442.0,0.006,1m,3.5,2.5,1.0,180.0,974.0,0.001,3m,1.0,1.0,1.2000000000000002,422.0,,,,,,,,,,,,,,,914.0,0.004,4m,1.0,1.0,1.7000000000000002,518.0,676,0.003,1m,4.0,4.0,1.1,540,592.0,0.008,3m,2.5,3.5,0.6,996.0,,,,,,,,0.45,6,COMPLETE
66,66,4.257837585629087,2025-06-15 00:40:15.950571,2025-06-15 00:40:20.708163,0 days 00:00:04.757592,,,,,,,,308.0,0.001,4m,2.0,2.5,0.6,184.0,238.0,0.002,2m,4.0,2.0,0.6,56.0,640.0,0.002,3m,1.0,1.5,0.9,584.0,728.0,0.006,1m,2.5,3.0,1.2000000000000002,758.0,148.0,0.001,3m,4.0,3.5,1.7000000000000002,880.0,1024.0,0.001,3m,1.0,1.0,1.0,398.0,620,0.002,2m,1.0,3.5,1.4,468,546.0,0.01,3m,1.5,1.5,0.5,760.0,386.0,0.007,4m,2.0,3.5,1.7000000000000002,450.0,0.5,9,COMPLETE
67,67,6.2663919546451154,2025-06-15 00:40:20.831196,2025-06-15 00:40:24.355362,0 days 00:00:03.524166,,,,,,,,250.0,0.003,3m,1.5,1.5,1.4,84.0,164.0,0.007,1m,3.5,1.0,1.3,440.0,686.0,0.007,3m,1.5,1.0,1.5,498.0,,,,,,,,56.0,0.003,3m,3.0,3.0,1.4,164.0,834.0,0.004,2m,3.0,1.5,1.4,476.0,1022,0.004,1m,1.5,4.0,1.3,598,692.0,0.009000000000000001,3m,2.0,2.0,0.6,928.0,,,,,,,,0.35000000000000003,7,COMPLETE
68,68,1.851689333244783,2025-06-15 00:40:24.430881,2025-06-15 00:40:28.608260,0 days 00:00:04.177379,,,,,,,,176.0,0.002,1m,2.5,2.5,0.7,42.0,44.0,0.009000000000000001,1m,3.5,1.5,1.6,276.0,772.0,0.001,3m,3.0,2.0,0.7,840.0,,,,,,,,174.0,0.002,3m,3.5,4.0,0.9,1012.0,750.0,0.002,3m,1.5,2.5,0.6,552.0,518,0.001,3m,1.0,1.0,1.2000000000000002,404,452.0,0.006,3m,2.0,2.5,0.8,824.0,856.0,0.002,3m,4.0,4.0,1.4,672.0,0.45,8,COMPLETE
69,69,2.3700286144603586,2025-06-15 00:40:28.698267,2025-06-15 00:40:33.662077,0 days 00:00:04.963810,314.0,0.003,4m,3.5,1.5,1.0,270.0,424.0,0.006,4m,2.5,2.0,1.8,286.0,210.0,0.008,1m,3.0,1.0,0.8,124.0,834.0,0.002,1m,1.0,2.5,1.0,708.0,900.0,0.007,4m,3.0,2.0,1.6,596.0,64.0,0.003,2m,4.0,2.5,1.0,810.0,420.0,0.003,3m,1.0,1.0,0.9,308.0,586,0.002,1m,1.5,4.0,1.0,230,632.0,0.01,2m,1.5,3.0,0.5,866.0,952.0,0.005,1m,3.5,2.5,0.8,556.0,0.4,10,COMPLETE
70,70,3.5252479881718015,2025-06-15 00:40:33.722586,2025-06-15 00:40:38.413060,0 days 00:00:04.690474,,,,,,,,370.0,0.004,4m,3.5,1.5,0.9,142.0,50.0,0.005,4m,2.0,1.5,0.7,172.0,734.0,0.001,3m,1.5,1.0,0.8,630.0,240.0,0.009000000000000001,1m,2.0,2.5,1.9000000000000001,910.0,958.0,0.001,3m,3.0,3.5,1.1,584.0,994.0,0.002,1m,1.5,1.5,1.2000000000000002,370.0,408,0.007,1m,2.5,3.5,1.2000000000000002,1000,734.0,0.009000000000000001,4m,2.0,1.0,0.7,900.0,762.0,0.008,2m,4.0,3.5,1.9000000000000001,400.0,0.15000000000000002,9,COMPLETE
