,number,value,datetime_start,datetime_complete,duration,params_AAPL_FAST_beta_win,params_AAPL_FAST_stop_loss,params_AAPL_FAST_trade_freq,params_AAPL_FAST_z_entry,params_AAPL_FAST_z_exit,params_AAPL_FAST_z_stop_scaler,params_AAPL_FAST_z_win,params_ADSK_MELI_beta_win,params_ADSK_MELI_stop_loss,params_ADSK_MELI_trade_freq,params_ADSK_MELI_z_entry,params_ADSK_MELI_z_exit,params_ADSK_MELI_z_stop_scaler,params_ADSK_MELI_z_win,params_AEP_TMUS_beta_win,params_AEP_TMUS_stop_loss,params_AEP_TMUS_trade_freq,params_AEP_TMUS_z_entry,params_AEP_TMUS_z_exit,params_AEP_TMUS_z_stop_scaler,params_AEP_TMUS_z_win,params_AMZN_FAST_beta_win,params_AMZN_FAST_stop_loss,params_AMZN_FAST_trade_freq,params_AMZN_FAST_z_entry,params_AMZN_FAST_z_exit,params_AMZN_FAST_z_stop_scaler,params_AMZN_FAST_z_win,params_CSX_FAST_beta_win,params_CSX_FAST_stop_loss,params_CSX_FAST_trade_freq,params_CSX_FAST_z_entry,params_CSX_FAST_z_exit,params_CSX_FAST_z_stop_scaler,params_CSX_FAST_z_win,params_CTAS_FAST_beta_win,params_CTAS_FAST_stop_loss,params_CTAS_FAST_trade_freq,params_CTAS_FAST_z_entry,params_CTAS_FAST_z_exit,params_CTAS_FAST_z_stop_scaler,params_CTAS_FAST_z_win,params_DDOG_ILMN_beta_win,params_DDOG_ILMN_stop_loss,params_DDOG_ILMN_trade_freq,params_DDOG_ILMN_z_entry,params_DDOG_ILMN_z_exit,params_DDOG_ILMN_z_stop_scaler,params_DDOG_ILMN_z_win,params_DXCM_FAST_beta_win,params_DXCM_FAST_stop_loss,params_DXCM_FAST_trade_freq,params_DXCM_FAST_z_entry,params_DXCM_FAST_z_exit,params_DXCM_FAST_z_stop_scaler,params_DXCM_FAST_z_win,params_QCOM_MELI_beta_win,params_QCOM_MELI_stop_loss,params_QCOM_MELI_trade_freq,params_QCOM_MELI_z_entry,params_QCOM_MELI_z_exit,params_QCOM_MELI_z_stop_scaler,params_QCOM_MELI_z_win,params_ZM_MELI_beta_win,params_ZM_MELI_stop_loss,params_ZM_MELI_trade_freq,params_ZM_MELI_z_entry,params_ZM_MELI_z_exit,params_ZM_MELI_z_stop_scaler,params_ZM_MELI_z_win,params_buffer_capital,params_pairs_to_trade,state
105,105,6.200557897526736,2025-06-15 01:29:23.086148,2025-06-15 01:29:24.432611,0 days 00:00:01.346463,182.0,0.001,4m,2.5,3.5,0.6,118.0,418,0.005,4m,4.0,1.0,1.8,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.0,0.003,1m,3.5,3.0,1.7000000000000002,848.0,,,,,,,,,,,,,,,0.05,3,COMPLETE
106,106,1.6688167474141278,2025-06-15 01:29:24.496924,2025-06-15 01:29:26.112447,0 days 00:00:01.615523,118.0,0.001,4m,2.5,3.5,0.7,180.0,372,0.005,4m,4.0,1.0,1.8,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.0,0.003,1m,4.0,3.0,1.6,724.0,,,,,,,,,,,,,,,0.05,3,COMPLETE
107,107,-0.7358134893669793,2025-06-15 01:29:26.200854,2025-06-15 01:29:28.700649,0 days 00:00:02.499795,84.0,0.001,4m,3.0,3.5,0.6,166.0,366,0.005,4m,4.0,1.0,1.9000000000000001,278,930.0,0.008,4m,2.0,2.0,1.3,200.0,,,,,,,,,,,,,,,,,,,,,,532.0,0.007,3m,2.0,2.0,1.9000000000000001,1024.0,374.0,0.002,1m,3.5,3.0,1.6,800.0,,,,,,,,,,,,,,,0.05,5,COMPLETE
108,108,2.5770792614877296,2025-06-15 01:29:28.772679,2025-06-15 01:29:30.301349,0 days 00:00:01.528670,170.0,0.001,4m,2.5,3.5,0.6,76.0,424,0.004,4m,4.0,1.0,1.7000000000000002,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.0,0.002,1m,3.0,3.0,1.7000000000000002,818.0,,,,,,,,,,,,,,,0.2,3,COMPLETE
109,109,3.5162312652170287,2025-06-15 01:29:30.364193,2025-06-15 01:29:32.717958,0 days 00:00:02.353765,204.0,0.001,4m,3.0,3.5,0.5,130.0,522,0.003,4m,4.0,1.0,1.8,186,884.0,0.008,1m,2.0,2.0,1.5,308.0,,,,,,,,,,,,,,,,,,,,,,646.0,0.009000000000000001,4m,2.0,2.0,1.3,982.0,320.0,0.003,1m,3.5,3.0,1.4,764.0,,,,,,,,,,,,,,,0.3,5,COMPLETE
110,110,5.0845263159155865,2025-06-15 01:29:32.777261,2025-06-15 01:29:34.884342,0 days 00:00:02.107081,132.0,0.001,4m,2.5,3.5,0.7,232.0,510,0.005,4m,4.0,1.0,1.9000000000000001,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626.0,0.001,4m,2.5,3.0,1.8,946.0,270.0,0.002,1m,4.0,3.0,1.5,848.0,,,,,,,,,,,,,,,0.05,4,COMPLETE
111,111,5.730697086066262,2025-06-15 01:29:34.946706,2025-06-15 01:29:37.802955,0 days 00:00:02.856249,232.0,0.001,4m,2.0,3.0,0.6,206.0,410,0.004,4m,4.0,1.5,2.0,308,848.0,0.005,2m,2.5,2.5,1.1,236.0,,,,,,,,,,,,,,,,,,,,,,486.0,0.003,4m,2.5,4.0,1.4,930.0,222.0,0.002,1m,4.0,3.0,1.3,898.0,,,,,,,,,,,,,,,0.1,5,COMPLETE
112,112,6.946820589464488,2025-06-15 01:29:37.860362,2025-06-15 01:29:40.537380,0 days 00:00:02.677018,42.0,0.001,4m,2.5,3.5,0.6,162.0,476,0.005,4m,4.0,1.0,2.0,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432.0,0.002,1m,4.0,3.0,1.8,792.0,,,,,,,,,,,,,,,0.1,3,COMPLETE
113,113,7.3389225696618965,2025-06-15 01:29:40.637660,2025-06-15 01:29:43.204339,0 days 00:00:02.566679,50.0,0.001,4m,2.5,3.5,0.7,156.0,480,0.005,4m,4.0,1.0,1.7000000000000002,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.0,0.009000000000000001,1m,4.0,3.0,1.9000000000000001,790.0,,,,,,,,,,,,,,,0.1,3,COMPLETE
114,114,4.3366139141422435,2025-06-15 01:29:43.299986,2025-06-15 01:29:46.493507,0 days 00:00:03.193521,82.0,0.001,4m,2.5,3.5,0.7,102.0,448,0.004,4m,4.0,1.0,1.7000000000000002,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.0,0.002,2m,2.5,2.0,1.3,976.0,296.0,0.004,1m,4.0,3.0,1.9000000000000001,826.0,,,,,,,,,,,,,,,0.05,4,COMPLETE
115,115,-1.3373465386776187,2025-06-15 01:29:46.581606,2025-06-15 01:29:48.217962,0 days 00:00:01.636356,116.0,0.001,4m,2.5,3.5,0.5,146.0,532,0.005,4m,4.0,1.0,1.8,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.0,0.01,1m,4.0,3.0,1.6,750.0,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
116,116,5.934027036451835,2025-06-15 01:29:48.271770,2025-06-15 01:29:49.853360,0 days 00:00:01.581590,148.0,0.001,4m,2.0,3.5,1.4,190.0,498,0.004,4m,4.0,1.5,1.9000000000000001,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482.0,0.009000000000000001,3m,3.5,3.0,1.8,684.0,,,,,,,,,,,,,,,0.2,3,COMPLETE
117,117,-1.9132961035569616,2025-06-15 01:29:49.913109,2025-06-15 01:29:52.201823,0 days 00:00:02.288714,60.0,0.001,4m,3.0,4.0,0.7,68.0,316,0.003,4m,4.0,1.0,1.7000000000000002,218,1016.0,0.008,2m,2.5,2.0,1.6,516.0,,,,,,,,,,,,,,,,,,,,,,736.0,0.001,1m,2.0,3.0,1.2000000000000002,868.0,350.0,0.006,1m,4.0,3.0,2.0,886.0,,,,,,,,,,,,,,,0.05,5,COMPLETE
118,118,-100.0,2025-06-15 01:29:52.270996,2025-06-15 01:29:53.174244,0 days 00:00:00.903248,,,,,,,,392,0.005,4m,4.0,1.0,1.8,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.0,0.005,1m,4.0,3.0,1.4,854.0,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
119,119,7.639650085405223,2025-06-15 01:29:53.225810,2025-06-15 01:29:55.283431,0 days 00:00:02.057621,206.0,0.001,4m,2.5,3.5,0.6,170.0,338,0.005,4m,4.0,1.0,1.9000000000000001,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558.0,0.001,4m,3.0,2.0,1.8,998.0,558.0,0.009000000000000001,1m,3.5,3.0,1.6,810.0,,,,,,,,,,,,,,,0.2,4,COMPLETE
120,120,10.753901365603722,2025-06-15 01:29:55.358861,2025-06-15 01:29:57.347754,0 days 00:00:01.988893,250.0,0.001,4m,2.5,3.5,0.5,168.0,336,0.005,4m,4.0,4.0,1.9000000000000001,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768.0,0.001,4m,3.0,2.0,2.0,1010.0,570.0,0.008,1m,4.0,3.0,1.6,786.0,,,,,,,,,,,,,,,0.2,4,COMPLETE
121,121,8.28203022708162,2025-06-15 01:29:57.425501,2025-06-15 01:29:59.392677,0 days 00:00:01.967176,250.0,0.001,4m,2.5,3.5,0.5,144.0,294,0.005,4m,4.0,4.0,1.9000000000000001,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686.0,0.001,4m,3.0,2.0,2.0,996.0,566.0,0.009000000000000001,1m,4.0,3.0,1.6,816.0,,,,,,,,,,,,,,,0.2,4,COMPLETE
122,122,8.80477069101594,2025-06-15 01:29:59.459317,2025-06-15 01:30:01.177146,0 days 00:00:01.717829,256.0,0.001,4m,2.5,3.5,0.5,124.0,298,0.005,4m,4.0,4.0,1.9000000000000001,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790.0,0.001,4m,3.0,2.0,2.0,1002.0,580.0,0.008,1m,4.0,3.0,1.6,820.0,,,,,,,,,,,,,,,0.2,4,COMPLETE
123,123,8.789123414715693,2025-06-15 01:30:01.237298,2025-06-15 01:30:03.383644,0 days 00:00:02.146346,250.0,0.001,4m,2.5,3.5,0.5,116.0,290,0.004,4m,4.0,4.0,1.9000000000000001,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790.0,0.001,4m,3.0,2.0,2.0,1024.0,596.0,0.008,1m,4.0,3.0,1.6,832.0,,,,,,,,,,,,,,,0.2,4,COMPLETE
124,124,3.5341518690034,2025-06-15 01:30:03.442640,2025-06-15 01:30:05.350887,0 days 00:00:01.908247,234.0,0.001,4m,2.5,3.5,0.5,124.0,300,0.004,4m,4.0,4.0,1.9000000000000001,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766.0,0.001,4m,3.0,2.0,2.0,1006.0,610.0,0.008,1m,4.0,3.0,1.7000000000000002,762.0,,,,,,,,,,,,,,,0.2,4,COMPLETE
125,125,6.344361609493272,2025-06-15 01:30:05.406278,2025-06-15 01:30:07.556597,0 days 00:00:02.150319,252.0,0.001,4m,2.5,3.5,0.5,92.0,288,0.004,4m,4.0,4.0,1.8,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810.0,0.001,4m,3.5,2.0,2.0,978.0,668.0,0.007,1m,4.0,3.0,1.6,730.0,,,,,,,,,,,,,,,0.2,4,COMPLETE
126,126,5.594146696178052,2025-06-15 01:30:07.618131,2025-06-15 01:30:09.681423,0 days 00:00:02.063292,162.0,0.001,4m,2.5,4.0,0.5,140.0,234,0.004,4m,4.0,4.0,2.0,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840.0,0.001,4m,3.0,2.0,1.9000000000000001,1024.0,578.0,0.008,1m,4.0,3.0,1.7000000000000002,834.0,,,,,,,,,,,,,,,0.2,4,COMPLETE
127,127,6.9302375701882015,2025-06-15 01:30:09.731727,2025-06-15 01:30:11.381569,0 days 00:00:01.649842,198.0,0.001,4m,2.5,3.5,0.5,118.0,364,0.003,4m,4.0,4.0,1.9000000000000001,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770.0,0.001,4m,3.0,1.5,2.0,994.0,528.0,0.008,4m,4.0,3.0,1.6,778.0,,,,,,,,,,,,,,,0.2,4,COMPLETE
128,128,11.944430132869527,2025-06-15 01:30:11.447409,2025-06-15 01:30:14.099790,0 days 00:00:02.652381,258.0,0.008,4m,2.5,3.5,0.5,58.0,342,0.005,4m,4.0,4.0,1.8,78,908.0,0.002,4m,2.0,1.5,1.5,350.0,,,,,,,,,,,,,,,,,,,,,,824.0,0.001,4m,3.0,2.0,2.0,1024.0,500.0,0.009000000000000001,1m,4.0,3.0,1.5,804.0,,,,,,,,,,,,,,,0.15000000000000002,5,COMPLETE
129,129,8.983751376645145,2025-06-15 01:30:14.169528,2025-06-15 01:30:16.489606,0 days 00:00:02.320078,220.0,0.008,4m,2.5,3.5,0.5,76.0,336,0.005,4m,4.0,4.0,1.8,82,908.0,0.001,4m,1.5,1.0,1.2000000000000002,384.0,,,,,,,,,,,,,,,,,,,,,,806.0,0.001,4m,3.0,1.5,2.0,1024.0,496.0,0.009000000000000001,1m,4.0,3.0,1.5,806.0,,,,,,,,,,,,,,,0.25,5,COMPLETE
130,130,0.8424245783070982,2025-06-15 01:30:16.576210,2025-06-15 01:30:18.918675,0 days 00:00:02.342465,212.0,0.008,4m,2.5,3.5,0.5,80.0,344,0.004,4m,4.0,4.0,1.8,80,972.0,0.002,4m,1.5,1.0,1.0,352.0,,,,,,,,,,,,,,,,,,,,,,910.0,0.001,4m,3.5,1.5,1.9000000000000001,1020.0,600.0,0.008,1m,4.0,3.0,1.5,714.0,,,,,,,,,,,,,,,0.25,5,COMPLETE
131,131,6.89242013794807,2025-06-15 01:30:18.969014,2025-06-15 01:30:21.450922,0 days 00:00:02.481908,256.0,0.009000000000000001,4m,2.5,3.5,0.5,88.0,274,0.005,4m,4.0,4.0,1.9000000000000001,52,920.0,0.001,4m,1.5,1.0,1.3,272.0,,,,,,,,,,,,,,,,,,,,,,808.0,0.001,4m,3.0,2.0,2.0,992.0,500.0,0.009000000000000001,1m,4.0,3.0,1.6,810.0,,,,,,,,,,,,,,,0.25,5,COMPLETE
132,132,6.035554835157213,2025-06-15 01:30:21.512432,2025-06-15 01:30:24.047387,0 days 00:00:02.534955,306.0,0.008,4m,2.5,3.5,0.5,54.0,382,0.005,4m,4.0,4.0,1.8,134,886.0,0.002,4m,1.5,1.5,1.2000000000000002,458.0,,,,,,,,,,,,,,,,,,,,,,888.0,0.001,4m,3.0,1.5,2.0,980.0,556.0,0.009000000000000001,1m,4.0,3.0,1.5,746.0,,,,,,,,,,,,,,,0.25,5,COMPLETE
133,133,6.559620282616532,2025-06-15 01:30:24.113674,2025-06-15 01:30:25.908023,0 days 00:00:01.794349,182.0,0.008,4m,2.5,3.5,0.5,108.0,332,0.005,4m,4.0,3.5,1.9000000000000001,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824.0,0.001,4m,3.0,2.0,1.9000000000000001,938.0,464.0,0.008,1m,4.0,3.0,1.6,844.0,,,,,,,,,,,,,,,0.2,4,COMPLETE
134,134,-2.5582075817856644,2025-06-15 01:30:25.962148,2025-06-15 01:30:28.117646,0 days 00:00:02.155498,106.0,0.001,4m,2.5,3.5,0.6,18.0,322,0.005,4m,4.0,4.0,1.8,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784.0,0.001,4m,3.0,2.0,1.8,1024.0,654.0,0.009000000000000001,1m,4.0,3.0,1.5,798.0,,,,,,,,,,,,,,,0.2,4,COMPLETE
135,135,0.9435484070957955,2025-06-15 01:30:28.174685,2025-06-15 01:30:30.677410,0 days 00:00:02.502725,254.0,0.01,3m,2.5,3.5,0.5,142.0,440,0.004,4m,4.0,3.5,1.9000000000000001,140,748.0,0.002,4m,1.0,1.0,1.4,174.0,,,,,,,,,,,,,,,,,,,,,,740.0,0.001,4m,3.0,2.0,2.0,968.0,578.0,0.01,1m,4.0,3.0,1.7000000000000002,820.0,,,,,,,,,,,,,,,0.2,5,COMPLETE
136,136,8.89322346293696,2025-06-15 01:30:30.728541,2025-06-15 01:30:33.352766,0 days 00:00:02.624225,138.0,0.008,4m,2.5,3.5,0.6,172.0,404,0.004,4m,4.0,4.0,2.0,192,904.0,0.001,4m,2.0,1.5,1.1,364.0,,,,,,,,,,,,,,,,,,,,,,928.0,0.001,4m,3.0,1.5,2.0,994.0,532.0,0.009000000000000001,1m,4.0,3.0,1.6,772.0,,,,,,,,,,,,,,,0.25,5,COMPLETE
137,137,-1.7529309168893186,2025-06-15 01:30:33.394886,2025-06-15 01:30:35.890741,0 days 00:00:02.495855,138.0,0.008,2m,2.5,3.0,0.6,178.0,406,0.004,4m,4.0,4.0,1.8,192,978.0,0.001,4m,2.0,1.5,1.1,338.0,,,,,,,,,,,,,,,,,,,,,,934.0,0.002,4m,3.0,1.5,1.9000000000000001,16.0,530.0,0.01,1m,4.0,3.0,1.5,778.0,,,,,,,,,,,,,,,0.25,5,COMPLETE
138,138,5.010281836112574,2025-06-15 01:30:35.961602,2025-06-15 01:30:38.568596,0 days 00:00:02.606994,72.0,0.009000000000000001,4m,2.5,3.5,0.6,226.0,362,0.004,4m,4.0,4.0,2.0,162,906.0,0.001,4m,2.0,1.5,1.0,424.0,,,,,,,,,,,,,,,,,,,,,,972.0,0.002,4m,3.5,1.5,1.9000000000000001,964.0,630.0,0.007,1m,4.0,3.0,1.7000000000000002,766.0,,,,,,,,,,,,,,,0.3,5,COMPLETE
139,139,1.4252730571375116,2025-06-15 01:30:38.638287,2025-06-15 01:30:41.301080,0 days 00:00:02.662793,172.0,0.007,4m,3.0,3.5,0.5,250.0,254,0.004,3m,4.0,3.5,2.0,58,836.0,0.002,4m,1.5,1.5,1.3,396.0,,,,,,,,,,,,,,,,,,,,,,914.0,0.001,4m,3.5,1.5,2.0,918.0,504.0,0.007,1m,4.0,3.0,1.6,842.0,,,,,,,,,,,,,,,0.25,5,COMPLETE
140,140,2.0058319502812783,2025-06-15 01:30:41.362007,2025-06-15 01:30:43.725361,0 days 00:00:02.363354,222.0,0.008,4m,2.0,3.5,0.6,62.0,430,0.003,4m,4.0,4.0,2.0,194,780.0,0.003,4m,2.0,1.0,1.2000000000000002,496.0,,,,,,,,,,,,,,,,,,,,,,850.0,0.002,3m,3.0,1.5,1.8,1006.0,594.0,0.009000000000000001,1m,4.0,3.0,1.5,876.0,,,,,,,,,,,,,,,0.25,5,COMPLETE
141,141,5.403596690033968,2025-06-15 01:30:43.777975,2025-06-15 01:30:46.035850,0 days 00:00:02.257875,118.0,0.009000000000000001,4m,2.5,3.5,0.5,948.0,308,0.005,4m,4.0,4.0,1.9000000000000001,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770.0,0.001,4m,3.0,1.0,2.0,1002.0,698.0,0.009000000000000001,1m,4.0,3.0,1.6,824.0,,,,,,,,,,,,,,,0.2,4,COMPLETE
142,142,4.102715186417958,2025-06-15 01:30:46.114697,2025-06-15 01:30:48.068262,0 days 00:00:01.953565,158.0,0.005,4m,2.5,3.5,0.5,200.0,386,0.005,4m,4.0,4.0,1.9000000000000001,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696.0,0.001,4m,3.0,2.0,2.0,980.0,552.0,0.008,1m,4.0,3.0,1.6,790.0,,,,,,,,,,,,,,,0.2,4,COMPLETE
143,143,3.16253339512319,2025-06-15 01:30:48.111124,2025-06-15 01:30:50.432096,0 days 00:00:02.320972,222.0,0.008,4m,2.5,3.5,0.6,126.0,294,0.005,4m,4.0,4.0,1.9000000000000001,16,1024.0,0.001,4m,2.0,1.0,1.0,572.0,,,,,,,,,,,,,,,,,,,,,,678.0,0.001,4m,3.0,2.0,1.9000000000000001,944.0,536.0,0.009000000000000001,1m,4.0,3.0,1.6,806.0,,,,,,,,,,,,,,,0.25,5,COMPLETE
144,144,6.719266515317473,2025-06-15 01:30:50.486335,2025-06-15 01:30:52.173086,0 days 00:00:01.686751,196.0,0.008,4m,2.5,3.5,0.5,148.0,462,0.004,4m,4.0,4.0,1.8,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572.0,0.009000000000000001,1m,4.0,3.0,1.5,854.0,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
145,145,8.511819782909551,2025-06-15 01:30:52.226219,2025-06-15 01:30:54.131355,0 days 00:00:01.905136,258.0,0.007,4m,2.5,3.5,1.7000000000000002,160.0,350,0.004,4m,4.0,4.0,2.0,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796.0,0.001,4m,3.0,1.5,2.0,1004.0,504.0,0.01,3m,4.0,3.0,1.7000000000000002,630.0,,,,,,,,,,,,,,,0.2,4,COMPLETE
146,146,4.214996998836555,2025-06-15 01:30:54.213715,2025-06-15 01:30:55.845553,0 days 00:00:01.631838,328.0,0.007,4m,2.5,3.5,1.9000000000000001,104.0,416,0.004,4m,4.0,4.0,2.0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.0,0.01,3m,3.5,2.5,1.7000000000000002,650.0,,,,,,,,,,,,,,,0.25,3,COMPLETE
147,147,7.120024333667,2025-06-15 01:30:55.923630,2025-06-15 01:30:58.350555,0 days 00:00:02.426925,94.0,0.007,4m,2.5,3.5,1.7000000000000002,212.0,356,0.004,4m,4.0,4.0,2.0,164,894.0,0.002,4m,1.5,1.5,0.8,700.0,,,,,,,,,,,,,,,,,,,,,,822.0,0.002,4m,3.0,1.5,2.0,1024.0,494.0,0.008,3m,4.0,3.0,1.7000000000000002,594.0,,,,,,,,,,,,,,,0.2,5,COMPLETE
148,148,5.997562839871989,2025-06-15 01:30:58.405914,2025-06-15 01:31:00.439650,0 days 00:00:02.033736,300.0,0.009000000000000001,4m,2.5,3.5,1.2000000000000002,172.0,384,0.003,4m,4.0,4.0,1.7000000000000002,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794.0,0.002,4m,3.0,1.5,1.9000000000000001,892.0,832.0,0.01,3m,4.0,3.0,1.8,514.0,,,,,,,,,,,,,,,0.3,4,COMPLETE
149,149,0.1708917727092371,2025-06-15 01:31:00.506680,2025-06-15 01:31:03.333106,0 days 00:00:02.826426,138.0,0.008,4m,2.5,3.5,1.5,40.0,406,0.004,4m,4.0,3.5,2.0,180,148.0,0.001,4m,1.0,1.5,1.5,270.0,,,,,,,,,,,,,,,,,,,,,,724.0,0.006,1m,2.5,1.5,1.9000000000000001,954.0,508.0,0.01,3m,4.0,3.0,1.7000000000000002,730.0,,,,,,,,,,,,,,,0.15000000000000002,5,COMPLETE
