,number,value,datetime_start,datetime_complete,duration,params_ABNB_ROST_beta_win,params_ABNB_ROST_stop_loss,params_ABNB_ROST_trade_freq,params_ABNB_ROST_z_entry,params_ABNB_ROST_z_exit,params_ABNB_ROST_z_stop_scaler,params_ABNB_ROST_z_win,params_ADI_IDXX_beta_win,params_ADI_IDXX_stop_loss,params_ADI_IDXX_trade_freq,params_ADI_IDXX_z_entry,params_ADI_IDXX_z_exit,params_ADI_IDXX_z_stop_scaler,params_ADI_IDXX_z_win,params_ADSK_IDXX_beta_win,params_ADSK_IDXX_stop_loss,params_ADSK_IDXX_trade_freq,params_ADSK_IDXX_z_entry,params_ADSK_IDXX_z_exit,params_ADSK_IDXX_z_stop_scaler,params_ADSK_IDXX_z_win,params_ADSK_PCAR_beta_win,params_ADSK_PCAR_stop_loss,params_ADSK_PCAR_trade_freq,params_ADSK_PCAR_z_entry,params_ADSK_PCAR_z_exit,params_ADSK_PCAR_z_stop_scaler,params_ADSK_PCAR_z_win,params_ALGN_IDXX_beta_win,params_ALGN_IDXX_stop_loss,params_ALGN_IDXX_trade_freq,params_ALGN_IDXX_z_entry,params_ALGN_IDXX_z_exit,params_ALGN_IDXX_z_stop_scaler,params_ALGN_IDXX_z_win,params_DLTR_IDXX_beta_win,params_DLTR_IDXX_stop_loss,params_DLTR_IDXX_trade_freq,params_DLTR_IDXX_z_entry,params_DLTR_IDXX_z_exit,params_DLTR_IDXX_z_stop_scaler,params_DLTR_IDXX_z_win,params_EBAY_SPLK_beta_win,params_EBAY_SPLK_stop_loss,params_EBAY_SPLK_trade_freq,params_EBAY_SPLK_z_entry,params_EBAY_SPLK_z_exit,params_EBAY_SPLK_z_stop_scaler,params_EBAY_SPLK_z_win,params_FISV_IDXX_beta_win,params_FISV_IDXX_stop_loss,params_FISV_IDXX_trade_freq,params_FISV_IDXX_z_entry,params_FISV_IDXX_z_exit,params_FISV_IDXX_z_stop_scaler,params_FISV_IDXX_z_win,params_MDLZ_MSFT_beta_win,params_MDLZ_MSFT_stop_loss,params_MDLZ_MSFT_trade_freq,params_MDLZ_MSFT_z_entry,params_MDLZ_MSFT_z_exit,params_MDLZ_MSFT_z_stop_scaler,params_MDLZ_MSFT_z_win,params_ROST_WDAY_beta_win,params_ROST_WDAY_stop_loss,params_ROST_WDAY_trade_freq,params_ROST_WDAY_z_entry,params_ROST_WDAY_z_exit,params_ROST_WDAY_z_stop_scaler,params_ROST_WDAY_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-0.5385866960413676,2025-06-15 01:04:38.470261,2025-06-15 01:04:39.003362,0 days 00:00:00.533101,,,,,,,,640,0.006,1m,3.0,1.0,0.5,1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
11,11,0.3188904622291232,2025-06-15 01:04:39.067879,2025-06-15 01:04:41.773847,0 days 00:00:02.705968,,,,,,,,68,0.005,2m,4.0,1.0,0.9,936,,,,,,,,,,,,,,,428.0,0.002,2m,1.5,4.0,0.7,992.0,56.0,0.01,4m,1.0,4.0,0.5,940.0,578.0,0.007,2m,2.5,1.5,0.7,750.0,334.0,0.01,2m,4.0,1.0,2.0,768.0,28.0,0.01,3m,3.5,1.0,0.8,92.0,,,,,,,,0.5,6,COMPLETE
12,12,-3.673494831855483,2025-06-15 01:04:41.872877,2025-06-15 01:04:46.480756,0 days 00:00:04.607879,832.0,0.001,2m,4.0,1.0,2.0,28.0,30,0.003,2m,4.0,1.0,1.0,818,422.0,0.007,4m,4.0,1.5,0.9,166.0,934.0,0.01,4m,4.0,4.0,2.0,942.0,388.0,0.003,4m,4.0,2.5,1.3,556.0,538.0,0.001,1m,4.0,2.5,1.9000000000000001,64.0,562.0,0.008,4m,2.0,2.0,1.0,774.0,794.0,0.008,2m,1.5,2.0,1.8,586.0,394.0,0.004,3m,3.5,1.5,0.9,198.0,48.0,0.002,3m,1.0,4.0,0.6,18.0,0.4,10,COMPLETE
13,13,-2.233988327707235,2025-06-15 01:04:46.533756,2025-06-15 01:04:50.924455,0 days 00:00:04.390699,990.0,0.002,2m,1.0,2.0,1.5,60.0,154,0.007,1m,3.5,1.5,0.6,798,900.0,0.003,3m,3.5,1.5,0.5,646.0,662.0,0.01,1m,4.0,4.0,1.9000000000000001,88.0,716.0,0.008,3m,2.0,1.0,0.5,766.0,530.0,0.006,4m,2.0,2.5,0.7,724.0,676.0,0.005,1m,2.5,1.0,1.0,450.0,214.0,0.001,2m,3.0,1.0,0.5,18.0,562.0,0.005,3m,1.5,2.0,0.5,236.0,944.0,0.01,1m,4.0,3.5,1.0,310.0,0.4,10,COMPLETE
14,14,1.6417772513888376,2025-06-15 01:04:50.999973,2025-06-15 01:04:52.924354,0 days 00:00:01.924381,,,,,,,,732,0.006,2m,3.5,2.0,1.1,560,,,,,,,,,,,,,,,246.0,0.004,2m,1.0,3.0,1.5,284.0,,,,,,,,420.0,0.008,2m,2.0,2.0,0.5,634.0,,,,,,,,334.0,0.01,3m,3.0,1.0,1.6,726.0,,,,,,,,0.45,4,COMPLETE
15,15,1.3270738273512588,2025-06-15 01:04:53.007863,2025-06-15 01:04:53.836541,0 days 00:00:00.828678,,,,,,,,176,0.002,1m,3.0,2.5,0.7,846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
16,16,-1.899656589285481,2025-06-15 01:04:53.926259,2025-06-15 01:04:57.248272,0 days 00:00:03.322013,74.0,0.01,1m,3.5,4.0,0.5,1006.0,440,0.004,1m,4.0,1.0,1.6,678,,,,,,,,,,,,,,,750.0,0.001,4m,3.0,4.0,1.1,414.0,258.0,0.006,2m,1.0,3.0,1.6,668.0,400.0,0.006,4m,4.0,3.5,1.0,1024.0,620.0,0.007,1m,4.0,2.0,2.0,468.0,720.0,0.006,4m,2.0,2.0,0.8,294.0,,,,,,,,0.4,7,COMPLETE
17,17,2.6507406489891103,2025-06-15 01:04:57.334782,2025-06-15 01:05:01.029415,0 days 00:00:03.694633,582.0,0.003,2m,3.0,2.0,1.3,308.0,20,0.007,2m,2.5,1.5,1.5,484,,,,,,,,,,,,,,,292.0,0.008,3m,3.5,2.5,1.0,60.0,722.0,0.009000000000000001,1m,3.0,1.5,1.1,192.0,716.0,0.009000000000000001,2m,3.0,2.5,0.8,312.0,1002.0,0.004,2m,2.5,3.0,1.5,664.0,146.0,0.004,3m,3.0,1.5,1.1,76.0,550.0,0.004,2m,2.0,3.0,2.0,898.0,0.45,8,COMPLETE
18,18,-0.18383175868559667,2025-06-15 01:05:01.117927,2025-06-15 01:05:03.921943,0 days 00:00:02.804016,,,,,,,,256,0.005,1m,3.5,2.0,0.7,916,,,,,,,,,,,,,,,776.0,0.005,4m,2.0,1.0,1.6,728.0,302.0,0.002,3m,4.0,3.5,2.0,724.0,416.0,0.005,4m,2.0,3.5,0.5,808.0,266.0,0.005,2m,2.0,1.5,0.9,340.0,474.0,0.007,3m,3.5,1.5,1.5,656.0,,,,,,,,0.35000000000000003,6,COMPLETE
19,19,8.77366740863153,2025-06-15 01:05:04.001457,2025-06-15 01:05:05.925287,0 days 00:00:01.923830,,,,,,,,126,0.01,2m,3.0,3.0,1.0,760,,,,,,,,,,,,,,,558.0,0.003,2m,2.5,2.0,0.5,398.0,,,,,,,,690.0,0.003,1m,3.0,2.0,1.2000000000000002,620.0,,,,,,,,182.0,0.009000000000000001,3m,2.0,2.5,1.2000000000000002,922.0,,,,,,,,0.5,4,COMPLETE
