,number,value,datetime_start,datetime_complete,duration,params_ABNB_ROST_beta_win,params_ABNB_ROST_stop_loss,params_ABNB_ROST_trade_freq,params_ABNB_ROST_z_entry,params_ABNB_ROST_z_exit,params_ABNB_ROST_z_stop_scaler,params_ABNB_ROST_z_win,params_ADI_IDXX_beta_win,params_ADI_IDXX_stop_loss,params_ADI_IDXX_trade_freq,params_ADI_IDXX_z_entry,params_ADI_IDXX_z_exit,params_ADI_IDXX_z_stop_scaler,params_ADI_IDXX_z_win,params_ADSK_IDXX_beta_win,params_ADSK_IDXX_stop_loss,params_ADSK_IDXX_trade_freq,params_ADSK_IDXX_z_entry,params_ADSK_IDXX_z_exit,params_ADSK_IDXX_z_stop_scaler,params_ADSK_IDXX_z_win,params_ADSK_PCAR_beta_win,params_ADSK_PCAR_stop_loss,params_ADSK_PCAR_trade_freq,params_ADSK_PCAR_z_entry,params_ADSK_PCAR_z_exit,params_ADSK_PCAR_z_stop_scaler,params_ADSK_PCAR_z_win,params_ALGN_IDXX_beta_win,params_ALGN_IDXX_stop_loss,params_ALGN_IDXX_trade_freq,params_ALGN_IDXX_z_entry,params_ALGN_IDXX_z_exit,params_ALGN_IDXX_z_stop_scaler,params_ALGN_IDXX_z_win,params_DLTR_IDXX_beta_win,params_DLTR_IDXX_stop_loss,params_DLTR_IDXX_trade_freq,params_DLTR_IDXX_z_entry,params_DLTR_IDXX_z_exit,params_DLTR_IDXX_z_stop_scaler,params_DLTR_IDXX_z_win,params_EBAY_SPLK_beta_win,params_EBAY_SPLK_stop_loss,params_EBAY_SPLK_trade_freq,params_EBAY_SPLK_z_entry,params_EBAY_SPLK_z_exit,params_EBAY_SPLK_z_stop_scaler,params_EBAY_SPLK_z_win,params_FISV_IDXX_beta_win,params_FISV_IDXX_stop_loss,params_FISV_IDXX_trade_freq,params_FISV_IDXX_z_entry,params_FISV_IDXX_z_exit,params_FISV_IDXX_z_stop_scaler,params_FISV_IDXX_z_win,params_MDLZ_MSFT_beta_win,params_MDLZ_MSFT_stop_loss,params_MDLZ_MSFT_trade_freq,params_MDLZ_MSFT_z_entry,params_MDLZ_MSFT_z_exit,params_MDLZ_MSFT_z_stop_scaler,params_MDLZ_MSFT_z_win,params_ROST_WDAY_beta_win,params_ROST_WDAY_stop_loss,params_ROST_WDAY_trade_freq,params_ROST_WDAY_z_entry,params_ROST_WDAY_z_exit,params_ROST_WDAY_z_stop_scaler,params_ROST_WDAY_z_win,params_buffer_capital,params_pairs_to_trade,state
30,30,-1.0469933019312192,2025-06-15 01:05:24.645637,2025-06-15 01:05:26.548111,0 days 00:00:01.902474,,,,,,,,372,0.009000000000000001,3m,2.5,3.0,1.0,552,,,,,,,,,,,,,,,620.0,0.002,2m,2.5,1.5,1.0,498.0,,,,,,,,334.0,0.003,1m,3.0,2.0,1.1,350.0,,,,,,,,190.0,0.009000000000000001,3m,1.5,2.0,1.0,942.0,,,,,,,,0.35000000000000003,4,COMPLETE
31,31,0.1595448434573422,2025-06-15 01:05:26.641622,2025-06-15 01:05:28.619773,0 days 00:00:01.978151,,,,,,,,100,0.01,2m,3.0,3.0,1.1,762,,,,,,,,,,,,,,,558.0,0.001,2m,2.5,2.0,0.7,470.0,,,,,,,,740.0,0.003,1m,4.0,1.5,1.2000000000000002,438.0,,,,,,,,252.0,0.009000000000000001,3m,2.0,2.5,1.3,1002.0,,,,,,,,0.5,4,COMPLETE
32,32,4.271809026040407,2025-06-15 01:05:28.683285,2025-06-15 01:05:30.139754,0 days 00:00:01.456469,,,,,,,,132,0.01,2m,3.5,2.5,0.9,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638.0,0.004,1m,4.0,1.5,1.3,412.0,,,,,,,,106.0,0.008,3m,2.0,2.5,1.4,862.0,,,,,,,,0.45,3,COMPLETE
33,33,2.3750393536481162,2025-06-15 01:05:30.192271,2025-06-15 01:05:32.585172,0 days 00:00:02.392901,,,,,,,,302,0.009000000000000001,2m,3.0,3.0,1.2000000000000002,458,,,,,,,,,,,,,,,524.0,0.001,2m,2.5,2.0,0.6,356.0,,,,,,,,898.0,0.002,1m,3.5,2.0,1.2000000000000002,522.0,986.0,0.002,4m,3.5,2.5,1.7000000000000002,830.0,18.0,0.009000000000000001,3m,2.0,3.0,1.2000000000000002,804.0,,,,,,,,0.5,5,COMPLETE
34,34,2.885176275210163,2025-06-15 01:05:32.632172,2025-06-15 01:05:34.081420,0 days 00:00:01.449248,,,,,,,,56,0.008,2m,3.0,3.5,1.4,776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,758.0,0.003,3m,3.0,1.5,1.4,520.0,,,,,,,,182.0,0.01,3m,1.5,2.0,1.5,954.0,,,,,,,,0.4,3,COMPLETE
35,35,0.4087614319555678,2025-06-15 01:05:34.153422,2025-06-15 01:05:36.572845,0 days 00:00:02.419423,,,,,,,,230,0.009000000000000001,4m,2.5,3.0,1.1,880,,,,,,,,,,,,,,,690.0,0.002,2m,2.5,2.0,0.9,352.0,,,,,,,,658.0,0.005,1m,1.0,1.0,0.9,250.0,744.0,0.004,3m,2.0,3.0,1.3,86.0,86.0,0.001,1m,2.0,2.5,1.0,688.0,,,,,,,,0.45,5,COMPLETE
36,36,4.335114909075935,2025-06-15 01:05:36.631848,2025-06-15 01:05:38.558291,0 days 00:00:01.926443,,,,,,,,376,0.009000000000000001,2m,3.5,2.5,0.8,726,,,,,,,,,,,,,,,832.0,0.004,2m,3.0,2.5,0.6,536.0,,,,,,,,836.0,0.001,1m,3.5,2.5,1.1,382.0,,,,,,,,304.0,0.007,2m,3.0,2.0,1.3,956.0,,,,,,,,0.3,4,COMPLETE
37,37,-4.79539013485495,2025-06-15 01:05:38.617800,2025-06-15 01:05:40.164015,0 days 00:00:01.546215,,,,,,,,286,0.01,4m,3.0,3.5,1.0,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510.0,0.002,3m,2.5,2.0,0.9,556.0,,,,,,,,446.0,0.008,4m,1.5,3.0,1.1,840.0,,,,,,,,0.5,3,COMPLETE
38,38,-1.1449250862233522,2025-06-15 01:05:40.231523,2025-06-15 01:05:42.640023,0 days 00:00:02.408500,,,,,,,,140,0.008,3m,1.0,4.0,1.3,602,,,,,,,,,,,,,,,376.0,0.003,2m,3.5,1.5,0.6,164.0,,,,,,,,712.0,0.004,1m,2.0,1.5,2.0,636.0,616.0,0.008,1m,1.5,2.0,0.9,882.0,200.0,0.009000000000000001,3m,2.5,2.5,1.6,1022.0,,,,,,,,0.25,5,COMPLETE
39,39,6.329333196052412,2025-06-15 01:05:42.699535,2025-06-15 01:05:43.779280,0 days 00:00:01.079745,,,,,,,,16,0.009000000000000001,2m,2.5,2.5,0.9,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.0,0.003,1m,3.5,3.0,1.5,708.0,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
40,40,8.112772288831591,2025-06-15 01:05:43.859283,2025-06-15 01:05:44.867487,0 days 00:00:01.008204,,,,,,,,60,0.009000000000000001,4m,2.0,2.5,0.8,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996.0,0.006,1m,3.5,3.0,1.6,686.0,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
41,41,7.51922991862315,2025-06-15 01:05:44.911237,2025-06-15 01:05:45.963201,0 days 00:00:01.051964,,,,,,,,24,0.009000000000000001,4m,2.0,2.5,0.8,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1014.0,0.006,1m,3.5,3.0,1.6,738.0,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
42,42,2.3838279618038722,2025-06-15 01:05:46.046711,2025-06-15 01:05:47.071287,0 days 00:00:01.024576,,,,,,,,16,0.009000000000000001,4m,1.5,2.5,0.8,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002.0,0.006,1m,3.5,3.0,1.6,708.0,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
43,43,4.8056590460847595,2025-06-15 01:05:47.133796,2025-06-15 01:05:47.761007,0 days 00:00:00.627211,,,,,,,,70,0.009000000000000001,4m,2.0,2.0,0.7,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
44,44,2.991344207180289,2025-06-15 01:05:47.831517,2025-06-15 01:05:49.051823,0 days 00:00:01.220306,,,,,,,,72,0.008,4m,2.0,2.5,0.9,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.0,0.006,1m,3.5,3.0,1.7000000000000002,842.0,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
45,45,3.943497996825637,2025-06-15 01:05:49.138362,2025-06-15 01:05:49.735972,0 days 00:00:00.597610,,,,,,,,192,0.007,4m,1.5,2.0,0.6,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
46,46,6.148065267144024,2025-06-15 01:05:49.811487,2025-06-15 01:05:50.768396,0 days 00:00:00.956909,,,,,,,,48,0.009000000000000001,4m,2.0,2.5,0.9,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950.0,0.005,3m,3.5,3.5,1.5,708.0,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
47,47,3.7016332936281553,2025-06-15 01:05:50.835904,2025-06-15 01:05:51.503613,0 days 00:00:00.667709,,,,,,,,612,0.008,4m,1.5,2.0,0.8,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
48,48,0.9609484798847835,2025-06-15 01:05:51.597132,2025-06-15 01:05:53.176555,0 days 00:00:01.579423,,,,,,,,166,0.009000000000000001,4m,2.5,2.5,2.0,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876.0,0.006,1m,3.5,3.0,1.7000000000000002,906.0,,,,,,,,644.0,0.006,1m,1.0,4.0,1.9000000000000001,642.0,,,,,,,,0.45,3,COMPLETE
49,49,1.4833702887833409,2025-06-15 01:05:53.250653,2025-06-15 01:05:54.230258,0 days 00:00:00.979605,,,,,,,,1016,0.007,3m,2.5,2.5,0.5,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,938.0,0.007,1m,3.5,3.0,1.6,746.0,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
50,50,3.4176547700777933,2025-06-15 01:05:54.282772,2025-06-15 01:05:55.896689,0 days 00:00:01.613917,,,,,,,,92,0.001,4m,2.0,3.0,0.7,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872.0,0.008,1m,2.5,3.5,1.5,800.0,,,,,,,,896.0,0.005,4m,1.0,3.5,1.8,524.0,,,,,,,,0.1,3,COMPLETE
51,51,3.197445418662544,2025-06-15 01:05:55.986211,2025-06-15 01:05:57.136889,0 days 00:00:01.150678,,,,,,,,144,0.01,2m,2.5,3.0,1.0,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,974.0,0.004,1m,3.0,2.5,1.8,630.0,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
52,52,4.374406655030889,2025-06-15 01:05:57.202401,2025-06-15 01:05:59.102305,0 days 00:00:01.899904,,,,,,,,18,0.01,2m,2.5,2.5,0.9,158,,,,,,,,,,,,,,,846.0,0.006,3m,1.5,3.0,0.9,644.0,,,,,,,,1020.0,0.005,1m,3.0,2.5,1.8,580.0,,,,,,,,306.0,0.003,1m,2.5,3.0,0.9,910.0,,,,,,,,0.45,4,COMPLETE
53,53,-4.208388491305286,2025-06-15 01:05:59.202824,2025-06-15 01:05:59.865443,0 days 00:00:00.662619,,,,,,,,104,0.009000000000000001,2m,1.5,3.0,0.8,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
54,54,1.846761947859201,2025-06-15 01:05:59.948456,2025-06-15 01:06:01.511255,0 days 00:00:01.562799,,,,,,,,206,0.01,4m,2.0,2.5,1.0,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798.0,0.007,1m,3.0,3.0,1.6,660.0,,,,,,,,118.0,0.007,2m,2.5,3.5,0.7,578.0,,,,,,,,0.4,3,COMPLETE
55,55,-3.5949890270410663,2025-06-15 01:06:01.592375,2025-06-15 01:06:04.826829,0 days 00:00:03.234454,32.0,0.009000000000000001,1m,3.0,4.0,0.9,1002.0,52,0.01,2m,2.5,2.0,0.6,688,,,,,,,,,,,,,,,340.0,0.004,1m,3.5,2.5,1.2000000000000002,318.0,778.0,0.008,1m,2.0,2.0,1.0,18.0,568.0,0.003,1m,3.5,3.0,0.7,708.0,166.0,0.005,4m,3.5,3.5,1.4,586.0,396.0,0.008,2m,3.0,2.0,0.9,802.0,,,,,,,,0.45,7,COMPLETE
56,56,2.013115457764131,2025-06-15 01:06:04.922853,2025-06-15 01:06:07.152892,0 days 00:00:02.230039,,,,,,,,264,0.009000000000000001,2m,4.0,3.0,0.9,120,,,,,,,,,,,,,,,142.0,0.005,2m,2.0,1.0,0.8,168.0,,,,,,,,82.0,0.006,2m,3.0,2.5,1.4,740.0,350.0,0.002,3m,2.5,1.5,0.7,662.0,68.0,0.006,1m,2.5,3.5,1.0,700.0,,,,,,,,0.5,5,COMPLETE
57,57,-1.452586913868441,2025-06-15 01:06:07.237410,2025-06-15 01:06:09.256784,0 days 00:00:02.019374,,,,,,,,168,0.002,3m,3.0,3.5,1.2000000000000002,350,,,,,,,,,,,,,,,634.0,0.003,3m,3.0,1.5,0.5,616.0,,,,,,,,624.0,0.004,4m,2.5,3.5,1.5,600.0,,,,,,,,152.0,0.01,4m,1.5,3.0,1.7000000000000002,486.0,,,,,,,,0.4,4,COMPLETE
58,58,5.911566210510755,2025-06-15 01:06:09.337299,2025-06-15 01:06:10.329433,0 days 00:00:00.992134,,,,,,,,84,0.008,2m,3.5,3.0,0.7,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950.0,0.003,1m,4.0,3.0,1.3,494.0,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
59,59,-1.154922424567532,2025-06-15 01:06:10.388470,2025-06-15 01:06:11.962743,0 days 00:00:01.574273,,,,,,,,236,0.006,1m,2.0,2.5,0.8,814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842.0,0.005,3m,3.5,2.5,1.7000000000000002,810.0,,,,,,,,618.0,0.007,3m,1.5,2.0,1.5,770.0,,,,,,,,0.35000000000000003,3,COMPLETE
60,60,0.6703784549993895,2025-06-15 01:06:12.026255,2025-06-15 01:06:14.729344,0 days 00:00:02.703089,,,,,,,,140,0.01,4m,3.0,2.5,1.1,532,,,,,,,,,,,,,,,478.0,0.005,2m,1.0,3.0,0.9,212.0,710.0,0.001,2m,2.5,1.0,0.5,1014.0,452.0,0.002,1m,3.0,3.5,0.6,558.0,842.0,0.009000000000000001,4m,4.0,2.5,1.1,410.0,70.0,0.008,2m,2.5,3.0,1.4,418.0,,,,,,,,0.5,6,COMPLETE
61,61,5.960917361035835,2025-06-15 01:06:14.804859,2025-06-15 01:06:15.952065,0 days 00:00:01.147206,,,,,,,,44,0.009000000000000001,4m,2.0,2.5,0.9,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962.0,0.005,3m,3.5,4.0,1.5,692.0,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
62,62,7.522585299388005,2025-06-15 01:06:16.021570,2025-06-15 01:06:16.597169,0 days 00:00:00.575599,,,,,,,,42,0.009000000000000001,4m,2.0,2.0,0.9,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
63,63,-3.2321992001334916,2025-06-15 01:06:16.652170,2025-06-15 01:06:17.198766,0 days 00:00:00.546596,,,,,,,,118,0.01,4m,2.0,1.5,1.0,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
64,64,3.025749115030789,2025-06-15 01:06:17.249765,2025-06-15 01:06:17.823376,0 days 00:00:00.573611,,,,,,,,80,0.008,4m,1.5,1.5,1.0,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
65,65,3.611413829042833,2025-06-15 01:06:17.907398,2025-06-15 01:06:18.534009,0 days 00:00:00.626611,,,,,,,,16,0.009000000000000001,2m,2.5,2.0,0.8,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
66,66,-1.693914351199188,2025-06-15 01:06:18.625342,2025-06-15 01:06:19.712501,0 days 00:00:01.087159,,,,,,,,182,0.01,2m,3.5,2.0,1.2000000000000002,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902.0,0.001,2m,2.5,2.5,1.9000000000000001,610.0,,,,,,,,,,,,,,,,,,,,,,0.5,2,COMPLETE
67,67,-5.815996455843977,2025-06-15 01:06:19.769499,2025-06-15 01:06:21.649314,0 days 00:00:01.879815,,,,,,,,48,0.009000000000000001,4m,2.5,3.0,0.9,668,,,,,,,,,,,,,,,846.0,0.002,2m,3.5,1.5,0.6,732.0,,,,,,,,596.0,0.008,4m,4.0,3.0,1.0,652.0,,,,,,,,282.0,0.005,3m,1.0,3.5,1.2000000000000002,336.0,,,,,,,,0.45,4,COMPLETE
68,68,-3.3328538507574943,2025-06-15 01:06:21.741847,2025-06-15 01:06:23.298739,0 days 00:00:01.556892,,,,,,,,116,0.01,2m,2.0,3.0,1.1,842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678.0,0.003,1m,3.0,3.0,0.8,778.0,,,,,,,,384.0,0.004,3m,2.0,2.5,0.7,612.0,,,,,,,,0.5,3,COMPLETE
69,69,-1.2717949992177557,2025-06-15 01:06:23.379747,2025-06-15 01:06:24.516433,0 days 00:00:01.136686,,,,,,,,756,0.005,1m,1.5,2.0,0.7,734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.0,0.006,1m,3.0,2.0,1.3,478.0,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
70,70,0.3139329370187627,2025-06-15 01:06:24.577439,2025-06-15 01:06:28.278763,0 days 00:00:03.701324,330.0,0.008,3m,4.0,3.0,0.6,328.0,154,0.009000000000000001,2m,1.0,3.5,0.9,40,,,,,,,,,,,,,,,674.0,0.006,1m,1.5,2.5,1.4,16.0,214.0,0.004,3m,3.5,2.0,1.5,478.0,746.0,0.004,1m,3.5,2.5,1.4,958.0,520.0,0.007,1m,1.0,4.0,1.7000000000000002,894.0,22.0,0.01,1m,3.0,3.0,1.0,966.0,20.0,0.007,2m,4.0,2.0,2.0,726.0,0.45,8,COMPLETE
71,71,8.748780992960993,2025-06-15 01:06:28.353274,2025-06-15 01:06:29.429483,0 days 00:00:01.076209,,,,,,,,50,0.009000000000000001,4m,2.0,2.5,0.9,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,0.007,1m,3.5,3.5,1.5,734.0,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
72,72,2.23276278720593,2025-06-15 01:06:29.502000,2025-06-15 01:06:30.103588,0 days 00:00:00.601588,,,,,,,,78,0.008,4m,2.0,2.5,1.0,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
73,73,5.281355956663437,2025-06-15 01:06:30.172589,2025-06-15 01:06:31.741466,0 days 00:00:01.568877,,,,,,,,46,0.01,4m,2.0,2.5,1.1,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,990.0,0.007,1m,3.5,4.0,1.6,738.0,,,,,,,,502.0,0.001,3m,2.5,1.0,1.1,824.0,,,,,,,,0.45,3,COMPLETE
74,74,4.842675568658538,2025-06-15 01:06:31.806985,2025-06-15 01:06:32.818181,0 days 00:00:01.011196,,,,,,,,110,0.009000000000000001,4m,2.0,3.0,1.0,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,916.0,0.009000000000000001,1m,4.0,3.5,1.6,552.0,,,,,,,,,,,,,,,,,,,,,,0.5,2,COMPLETE
75,75,2.295601726740375,2025-06-15 01:06:32.886188,2025-06-15 01:06:37.081010,0 days 00:00:04.194822,834.0,0.004,3m,2.5,3.5,1.0,808.0,490,0.009000000000000001,4m,3.0,2.5,0.8,998,,,,,,,,122.0,0.004,2m,1.0,1.0,0.5,882.0,572.0,0.004,2m,2.0,3.5,1.1,556.0,846.0,0.008,2m,2.0,3.0,1.2000000000000002,204.0,992.0,0.007,1m,3.0,3.5,1.2000000000000002,834.0,680.0,0.004,3m,3.0,2.0,0.7,196.0,842.0,0.003,3m,2.0,1.5,2.0,740.0,1016.0,0.01,3m,1.0,2.5,1.5,134.0,0.45,9,COMPLETE
76,76,-2.3962699241220515,2025-06-15 01:06:37.154521,2025-06-15 01:06:39.637177,0 days 00:00:02.482656,,,,,,,,34,0.01,2m,1.5,3.0,0.9,420,,,,,,,,,,,,,,,500.0,0.002,1m,3.0,2.0,0.8,384.0,,,,,,,,872.0,0.002,1m,3.5,3.0,1.7000000000000002,676.0,926.0,0.002,1m,2.0,3.5,1.1,540.0,146.0,0.006,4m,3.5,2.5,1.1,898.0,,,,,,,,0.4,5,COMPLETE
77,77,3.7971545586424993,2025-06-15 01:06:39.686185,2025-06-15 01:06:40.688388,0 days 00:00:01.002203,,,,,,,,210,0.009000000000000001,3m,4.0,2.5,0.8,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534.0,0.008,1m,3.5,4.0,1.1,726.0,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
78,78,2.631763401452051,2025-06-15 01:06:40.760895,2025-06-15 01:06:41.330007,0 days 00:00:00.569112,,,,,,,,84,0.008,4m,2.5,2.0,0.7,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
79,79,-2.6440045512692185,2025-06-15 01:06:41.390536,2025-06-15 01:06:42.848227,0 days 00:00:01.457691,,,,,,,,68,0.01,2m,2.0,1.5,1.0,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820.0,0.006,4m,4.0,2.0,1.0,624.0,,,,,,,,702.0,0.007,2m,1.5,2.0,0.6,132.0,,,,,,,,0.45,3,COMPLETE
80,80,0.010789210246527438,2025-06-15 01:06:42.903261,2025-06-15 01:06:44.834999,0 days 00:00:01.931738,,,,,,,,326,0.009000000000000001,4m,3.0,3.0,0.6,652,,,,,,,,,,,,,,,200.0,0.003,3m,2.5,1.0,1.8,294.0,,,,,,,,1024.0,0.003,2m,3.0,3.5,1.5,782.0,,,,,,,,438.0,0.008,3m,2.5,2.0,1.3,876.0,,,,,,,,0.35000000000000003,4,COMPLETE
81,81,9.224485557795616,2025-06-15 01:06:44.922016,2025-06-15 01:06:45.924944,0 days 00:00:01.002928,,,,,,,,42,0.009000000000000001,4m,2.0,2.5,0.9,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954.0,0.007,3m,3.5,3.5,1.5,54.0,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
82,82,1.9880288712057221,2025-06-15 01:06:45.982948,2025-06-15 01:06:46.882834,0 days 00:00:00.899886,,,,,,,,130,0.009000000000000001,4m,2.0,2.5,0.9,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930.0,0.007,3m,3.5,3.5,1.4,194.0,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
83,83,3.5156082895708827,2025-06-15 01:06:46.950460,2025-06-15 01:06:48.040790,0 days 00:00:01.090330,,,,,,,,34,0.008,4m,2.0,2.5,0.9,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954.0,0.006,3m,3.5,3.0,1.5,56.0,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
84,84,5.724523565042817,2025-06-15 01:06:48.111301,2025-06-15 01:06:49.671639,0 days 00:00:01.560338,,,,,,,,98,0.01,4m,2.5,2.5,1.1,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,990.0,0.007,3m,4.0,3.5,1.6,250.0,,,,,,,,124.0,0.01,3m,3.0,3.0,0.5,976.0,,,,,,,,0.5,3,COMPLETE
85,85,-2.5628755707190365,2025-06-15 01:06:49.713157,2025-06-15 01:06:50.199323,0 days 00:00:00.486166,,,,,,,,16,0.009000000000000001,4m,1.5,3.0,0.8,706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
86,86,-1.9671004175420905,2025-06-15 01:06:50.248323,2025-06-15 01:06:51.787120,0 days 00:00:01.538797,,,,,,,,62,0.01,2m,2.0,2.0,1.8,790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776.0,0.007,1m,3.5,3.5,0.9,762.0,,,,,,,,536.0,0.009000000000000001,3m,1.5,1.5,1.5,924.0,,,,,,,,0.45,3,COMPLETE
87,87,2.0909385763195627,2025-06-15 01:06:51.864627,2025-06-15 01:06:53.010341,0 days 00:00:01.145714,,,,,,,,178,0.008,4m,2.5,2.5,1.0,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890.0,0.008,1m,3.0,4.0,1.3,658.0,,,,,,,,,,,,,,,,,,,,,,0.5,2,COMPLETE
88,88,-100.0,2025-06-15 01:06:53.088353,2025-06-15 01:06:53.721487,0 days 00:00:00.633134,,,,,,,,130,0.01,1m,3.5,2.5,0.9,752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
89,89,-2.753527831446658,2025-06-15 01:06:53.789506,2025-06-15 01:06:56.157211,0 days 00:00:02.367705,,,,,,,,100,0.007,2m,2.0,3.0,1.1,886,,,,,,,,,,,,,,,920.0,0.007,4m,2.0,1.5,0.5,468.0,,,,,,,,670.0,0.002,1m,1.0,2.0,1.2000000000000002,684.0,438.0,0.009000000000000001,4m,3.5,1.5,1.3,18.0,356.0,0.007,1m,2.0,2.5,0.9,764.0,,,,,,,,0.3,5,COMPLETE
90,90,-3.6980976442947915,2025-06-15 01:06:56.226724,2025-06-15 01:06:59.137770,0 days 00:00:02.911046,,,,,,,,58,0.009000000000000001,4m,2.5,2.0,0.7,90,,,,,,,,,,,,,,,30.0,0.005,2m,2.0,2.5,0.7,204.0,622.0,0.007,1m,1.5,2.0,0.7,592.0,1000.0,0.003,3m,3.5,2.5,1.7000000000000002,88.0,330.0,0.008,4m,1.5,2.5,0.8,374.0,234.0,0.009000000000000001,3m,4.0,1.5,1.6,378.0,,,,,,,,0.45,6,COMPLETE
91,91,11.532528095123013,2025-06-15 01:06:59.196767,2025-06-15 01:07:00.245063,0 days 00:00:01.048296,,,,,,,,40,0.009000000000000001,4m,2.0,2.5,0.8,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954.0,0.005,3m,3.5,3.5,1.5,24.0,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
92,92,4.457482420301451,2025-06-15 01:07:00.315586,2025-06-15 01:07:01.413728,0 days 00:00:01.098142,,,,,,,,38,0.009000000000000001,4m,2.0,2.5,0.8,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,924.0,0.006,3m,3.5,3.5,1.5,88.0,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
