,number,value,datetime_start,datetime_complete,duration,params_AMGN_JD_beta_win,params_AMGN_JD_stop_loss,params_AMGN_JD_trade_freq,params_AMGN_JD_z_entry,params_AMGN_JD_z_exit,params_AMGN_JD_z_stop_scaler,params_AMGN_JD_z_win,params_AMZN_GOOGL_beta_win,params_AMZN_GOOGL_stop_loss,params_AMZN_GOOGL_trade_freq,params_AMZN_GOOGL_z_entry,params_AMZN_GOOGL_z_exit,params_AMZN_GOOGL_z_stop_scaler,params_AMZN_GOOGL_z_win,params_AMZN_GOOG_beta_win,params_AMZN_GOOG_stop_loss,params_AMZN_GOOG_trade_freq,params_AMZN_GOOG_z_entry,params_AMZN_GOOG_z_exit,params_AMZN_GOOG_z_stop_scaler,params_AMZN_GOOG_z_win,params_ANSS_GOOGL_beta_win,params_ANSS_GOOGL_stop_loss,params_ANSS_GOOGL_trade_freq,params_ANSS_GOOGL_z_entry,params_ANSS_GOOGL_z_exit,params_ANSS_GOOGL_z_stop_scaler,params_ANSS_GOOGL_z_win,params_ANSS_GOOG_beta_win,params_ANSS_GOOG_stop_loss,params_ANSS_GOOG_trade_freq,params_ANSS_GOOG_z_entry,params_ANSS_GOOG_z_exit,params_ANSS_GOOG_z_stop_scaler,params_ANSS_GOOG_z_win,params_ATVI_MCHP_beta_win,params_ATVI_MCHP_stop_loss,params_ATVI_MCHP_trade_freq,params_ATVI_MCHP_z_entry,params_ATVI_MCHP_z_exit,params_ATVI_MCHP_z_stop_scaler,params_ATVI_MCHP_z_win,params_CPRT_WDAY_beta_win,params_CPRT_WDAY_stop_loss,params_CPRT_WDAY_trade_freq,params_CPRT_WDAY_z_entry,params_CPRT_WDAY_z_exit,params_CPRT_WDAY_z_stop_scaler,params_CPRT_WDAY_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_MSFT_ODFL_beta_win,params_MSFT_ODFL_stop_loss,params_MSFT_ODFL_trade_freq,params_MSFT_ODFL_z_entry,params_MSFT_ODFL_z_exit,params_MSFT_ODFL_z_stop_scaler,params_MSFT_ODFL_z_win,params_NXPI_SNPS_beta_win,params_NXPI_SNPS_stop_loss,params_NXPI_SNPS_trade_freq,params_NXPI_SNPS_z_entry,params_NXPI_SNPS_z_exit,params_NXPI_SNPS_z_stop_scaler,params_NXPI_SNPS_z_win,params_buffer_capital,params_pairs_to_trade,state
72,72,6.3059525458198165,2025-06-15 00:44:34.106196,2025-06-15 00:44:38.622898,0 days 00:00:04.516702,968.0,0.006,2m,4.0,4.0,1.8,160.0,,,,,,,,860.0,0.006,1m,1.0,4.0,1.3,372.0,430.0,0.009000000000000001,4m,2.0,4.0,1.3,670.0,900.0,0.006,4m,1.0,1.5,0.7,1016.0,144.0,0.01,3m,4.0,1.5,1.0,140.0,586.0,0.007,3m,2.0,4.0,0.9,816.0,834,0.002,4m,3.0,1.0,0.9,296,132.0,0.003,4m,3.5,1.5,1.2000000000000002,432.0,360.0,0.004,2m,3.0,2.5,0.9,440.0,0.1,9,COMPLETE
73,73,5.713718043222825,2025-06-15 00:44:38.706407,2025-06-15 00:44:43.750246,0 days 00:00:05.043839,864.0,0.006,2m,3.5,3.5,1.9000000000000001,116.0,660.0,0.006,3m,3.0,1.5,2.0,296.0,880.0,0.006,1m,1.0,4.0,1.3,448.0,424.0,0.01,4m,2.5,4.0,1.4,664.0,904.0,0.005,4m,1.0,1.5,0.7,996.0,140.0,0.01,3m,4.0,1.0,1.0,150.0,634.0,0.007,3m,2.5,4.0,1.2000000000000002,800.0,792,0.001,4m,3.0,1.0,0.9,300,156.0,0.003,4m,3.5,1.5,1.2000000000000002,374.0,374.0,0.004,2m,3.0,2.0,0.9,420.0,0.1,10,COMPLETE
74,74,5.807712336725866,2025-06-15 00:44:43.832758,2025-06-15 00:44:48.552578,0 days 00:00:04.719820,942.0,0.006,2m,4.0,4.0,1.9000000000000001,148.0,,,,,,,,880.0,0.006,1m,1.0,1.0,1.3,452.0,430.0,0.009000000000000001,4m,3.0,4.0,1.3,662.0,806.0,0.007,4m,1.0,1.5,0.7,1018.0,126.0,0.01,3m,4.0,1.5,1.1,136.0,578.0,0.007,3m,2.5,4.0,1.2000000000000002,808.0,786,0.001,4m,3.0,1.0,0.7,302,58.0,0.003,4m,3.5,1.0,1.2000000000000002,446.0,360.0,0.005,2m,3.5,1.5,0.9,440.0,0.2,9,COMPLETE
75,75,5.110114605272705,2025-06-15 00:44:48.625095,2025-06-15 00:44:53.045847,0 days 00:00:04.420752,962.0,0.006,4m,4.0,4.0,1.9000000000000001,154.0,,,,,,,,872.0,0.006,1m,1.0,1.0,1.3,492.0,426.0,0.009000000000000001,4m,3.5,3.5,1.3,660.0,804.0,0.007,4m,1.0,1.5,0.7,980.0,88.0,0.01,3m,4.0,1.5,1.1,146.0,594.0,0.007,3m,2.5,4.0,1.3,944.0,780,0.001,4m,3.0,1.0,0.7,352,22.0,0.003,4m,3.5,1.0,1.2000000000000002,420.0,356.0,0.005,2m,4.0,1.5,1.1,432.0,0.2,9,COMPLETE
76,76,-1.5189391081001935,2025-06-15 00:44:53.134374,2025-06-15 00:44:57.495324,0 days 00:00:04.360950,892.0,0.006,3m,4.0,4.0,1.9000000000000001,22.0,,,,,,,,910.0,0.007,2m,1.0,1.5,1.2000000000000002,428.0,358.0,0.009000000000000001,4m,3.0,4.0,1.4,700.0,888.0,0.006,4m,1.0,1.5,0.7,944.0,130.0,0.009000000000000001,3m,3.5,1.5,1.1,228.0,582.0,0.007,3m,2.5,4.0,1.2000000000000002,826.0,814,0.001,4m,3.5,1.0,0.6,302,42.0,0.004,4m,4.0,1.0,1.3,518.0,278.0,0.005,2m,3.5,1.5,0.9,478.0,0.15000000000000002,9,COMPLETE
77,77,3.2840731318023497,2025-06-15 00:44:57.590838,2025-06-15 00:45:01.939186,0 days 00:00:04.348348,96.0,0.006,2m,4.0,4.0,1.8,180.0,,,,,,,,50.0,0.006,1m,1.0,3.5,1.2000000000000002,392.0,362.0,0.008,4m,3.0,4.0,1.4,660.0,842.0,0.007,4m,1.0,1.5,0.8,1018.0,54.0,0.01,3m,4.0,1.5,1.0,150.0,668.0,0.007,3m,2.0,4.0,0.9,902.0,174,0.001,4m,3.0,1.5,1.2000000000000002,168,88.0,0.005,4m,3.5,1.0,1.2000000000000002,442.0,470.0,0.004,2m,3.5,1.5,1.0,508.0,0.2,9,COMPLETE
78,78,1.2679037297485303,2025-06-15 00:45:02.043706,2025-06-15 00:45:06.435653,0 days 00:00:04.391947,976.0,0.007,2m,4.0,4.0,2.0,112.0,,,,,,,,1004.0,0.007,1m,1.0,1.5,1.3,466.0,294.0,0.009000000000000001,4m,2.5,4.0,1.3,582.0,758.0,0.006,1m,1.0,1.5,0.6,900.0,234.0,0.01,3m,3.5,1.5,1.0,190.0,530.0,0.006,3m,2.5,4.0,1.1,708.0,734,0.001,4m,3.0,1.0,1.0,352,134.0,0.003,3m,3.0,1.0,0.5,462.0,310.0,0.004,2m,4.0,2.0,0.9,456.0,0.05,9,COMPLETE
79,79,1.7152044788194887,2025-06-15 00:45:06.517168,2025-06-15 00:45:11.421391,0 days 00:00:04.904223,804.0,0.006,2m,4.0,4.0,1.9000000000000001,232.0,622.0,0.009000000000000001,3m,3.0,2.0,2.0,56.0,936.0,0.006,1m,1.0,1.5,1.3,452.0,416.0,0.009000000000000001,4m,3.5,3.5,1.6,636.0,900.0,0.007,4m,1.5,1.5,0.7,894.0,290.0,0.009000000000000001,3m,4.0,1.0,1.2000000000000002,110.0,630.0,0.008,3m,2.0,4.0,1.2000000000000002,824.0,842,0.001,2m,3.0,1.5,0.6,440,60.0,0.004,4m,3.5,1.5,1.4,376.0,366.0,0.004,2m,2.5,2.0,1.0,550.0,0.2,10,COMPLETE
80,80,0.8327911243107597,2025-06-15 00:45:11.514924,2025-06-15 00:45:15.797318,0 days 00:00:04.282394,990.0,0.005,2m,2.0,4.0,1.8,112.0,,,,,,,,898.0,0.006,1m,1.0,3.5,1.5,522.0,454.0,0.001,3m,3.5,4.0,1.3,688.0,866.0,0.006,4m,1.5,4.0,0.9,1014.0,144.0,0.01,3m,3.0,1.5,1.1,222.0,700.0,0.006,3m,3.0,4.0,1.4,1020.0,770,0.001,1m,3.5,1.0,0.8,232,164.0,0.003,2m,4.0,1.0,1.3,566.0,206.0,0.005,2m,3.5,1.0,1.1,402.0,0.15000000000000002,9,COMPLETE
81,81,7.744185598806095,2025-06-15 00:45:15.890833,2025-06-15 00:45:20.682006,0 days 00:00:04.791173,1018.0,0.005,2m,3.5,3.5,1.7000000000000002,140.0,668.0,0.006,3m,3.0,1.5,2.0,530.0,868.0,0.005,1m,1.5,4.0,1.4,366.0,376.0,0.01,4m,2.5,4.0,1.4,732.0,980.0,0.005,4m,1.0,1.0,0.5,930.0,204.0,0.01,3m,4.0,1.0,0.8,84.0,574.0,0.007,3m,2.5,3.5,1.0,808.0,808,0.002,4m,3.0,1.0,1.1,290,144.0,0.002,4m,3.5,1.5,1.1,350.0,252.0,0.004,2m,3.0,2.0,0.9,508.0,0.1,10,COMPLETE
82,82,6.789897301662835,2025-06-15 00:45:20.775035,2025-06-15 00:45:25.727394,0 days 00:00:04.952359,1024.0,0.005,2m,3.5,3.5,1.7000000000000002,146.0,674.0,0.006,3m,3.0,2.0,2.0,602.0,864.0,0.005,1m,1.5,4.0,1.4,372.0,388.0,0.01,4m,3.0,4.0,1.4,720.0,978.0,0.005,4m,1.0,1.0,0.5,970.0,218.0,0.01,3m,4.0,1.0,0.7,134.0,572.0,0.007,3m,2.5,3.5,0.9,874.0,798,0.002,4m,3.0,1.0,1.1,546,130.0,0.002,4m,3.5,1.5,1.1,356.0,260.0,0.005,2m,3.0,2.0,0.9,498.0,0.1,10,COMPLETE
83,83,6.00234679587765,2025-06-15 00:45:25.831432,2025-06-15 00:45:30.599385,0 days 00:00:04.767953,1022.0,0.006,2m,4.0,3.0,1.7000000000000002,152.0,556.0,0.006,3m,3.0,2.0,2.0,588.0,856.0,0.004,1m,1.5,4.0,1.3,270.0,388.0,0.01,4m,3.0,4.0,1.4,774.0,958.0,0.005,4m,1.0,1.5,0.5,978.0,216.0,0.01,3m,4.0,1.0,0.7,138.0,560.0,0.007,3m,2.5,1.0,1.1,886.0,796,0.002,4m,3.0,1.0,1.0,464,122.0,0.003,4m,3.5,1.5,1.1,360.0,250.0,0.005,2m,3.0,2.0,1.0,556.0,0.05,10,COMPLETE
84,84,5.300197816331718,2025-06-15 00:45:30.672895,2025-06-15 00:45:35.552962,0 days 00:00:04.880067,1022.0,0.006,2m,4.0,3.0,1.7000000000000002,146.0,530.0,0.006,3m,3.0,2.0,2.0,638.0,858.0,0.004,1m,1.5,4.0,1.1,264.0,392.0,0.01,4m,3.0,4.0,1.4,790.0,972.0,0.005,4m,1.0,1.5,0.5,976.0,264.0,0.01,3m,4.0,1.0,0.7,124.0,558.0,0.007,3m,2.5,1.0,1.1,942.0,794,0.002,4m,3.0,1.0,1.0,530,16.0,0.003,4m,3.5,3.5,1.1,366.0,242.0,0.005,2m,3.0,2.0,0.9,582.0,0.05,10,COMPLETE
85,85,4.61764143385696,2025-06-15 00:45:35.646484,2025-06-15 00:45:40.462381,0 days 00:00:04.815897,914.0,0.007,2m,3.0,3.0,1.9000000000000001,58.0,664.0,0.004,3m,2.5,2.0,2.0,548.0,772.0,0.003,1m,1.5,4.0,1.2000000000000002,362.0,376.0,0.01,4m,3.0,4.0,1.4,758.0,982.0,0.004,4m,1.0,1.5,0.6,942.0,206.0,0.009000000000000001,3m,4.0,1.0,0.6,176.0,492.0,0.007,3m,2.5,1.5,1.2000000000000002,892.0,812,0.003,4m,3.5,1.0,1.0,288,116.0,0.004,4m,3.5,1.5,1.2000000000000002,518.0,148.0,0.005,2m,3.0,1.5,1.2000000000000002,502.0,0.1,10,COMPLETE
86,86,2.783327164188452,2025-06-15 00:45:40.549892,2025-06-15 00:45:45.589622,0 days 00:00:05.039730,984.0,0.005,2m,3.5,3.5,0.8,204.0,542.0,0.006,3m,3.0,1.5,1.9000000000000001,496.0,744.0,0.006,1m,1.0,4.0,1.2000000000000002,892.0,454.0,0.01,4m,3.0,4.0,1.3,622.0,806.0,0.004,4m,1.0,1.0,0.5,866.0,94.0,0.01,3m,3.5,1.0,0.6,290.0,408.0,0.007,3m,2.5,2.0,1.0,804.0,884,0.002,4m,3.0,1.0,1.1,466,74.0,0.003,4m,3.5,1.5,1.1,350.0,338.0,0.005,2m,3.5,2.0,1.0,556.0,0.05,10,COMPLETE
87,87,3.2833138521676246,2025-06-15 00:45:45.673133,2025-06-15 00:45:50.226519,0 days 00:00:04.553386,396.0,0.006,2m,4.0,3.0,1.8,152.0,,,,,,,,980.0,0.004,1m,1.5,4.0,1.3,426.0,270.0,0.01,4m,3.0,3.5,0.5,860.0,996.0,0.005,4m,1.0,1.5,0.6,996.0,250.0,0.009000000000000001,3m,4.0,1.5,0.7,22.0,552.0,0.008,3m,3.0,1.0,1.1,862.0,650,0.003,4m,3.0,1.5,1.2000000000000002,338,148.0,0.003,4m,3.5,1.0,1.2000000000000002,284.0,192.0,0.006,2m,3.0,2.0,0.8,446.0,0.1,9,COMPLETE
88,88,-1.616031768321614,2025-06-15 00:45:50.312046,2025-06-15 00:45:55.548470,0 days 00:00:05.236424,836.0,0.005,4m,3.5,3.5,2.0,76.0,680.0,0.005,3m,3.0,2.0,1.9000000000000001,644.0,934.0,0.003,2m,1.0,4.0,1.3,462.0,410.0,0.01,4m,3.0,4.0,1.5,564.0,928.0,0.005,4m,1.0,1.0,0.7,932.0,304.0,0.008,3m,4.0,1.0,0.8,254.0,656.0,0.008,3m,2.5,3.0,1.2000000000000002,768.0,744,0.006,4m,3.0,1.0,0.9,384,108.0,0.006,4m,4.0,1.5,1.3,426.0,292.0,0.004,2m,3.5,2.0,1.0,36.0,0.05,10,COMPLETE
89,89,3.1352570373074213,2025-06-15 00:45:55.642983,2025-06-15 00:46:00.917440,0 days 00:00:05.274457,900.0,0.007,2m,4.0,2.0,1.7000000000000002,266.0,570.0,0.006,2m,2.0,1.5,1.1,540.0,858.0,0.005,1m,1.5,1.0,1.0,200.0,476.0,0.009000000000000001,4m,2.5,3.5,1.6,678.0,832.0,0.007,4m,1.0,1.0,0.5,958.0,218.0,0.005,3m,4.0,1.0,1.0,138.0,456.0,0.007,3m,2.0,3.5,1.3,720.0,778,0.002,4m,3.5,1.0,1.0,526,46.0,0.001,4m,3.5,1.0,0.9,394.0,250.0,0.005,2m,3.0,1.5,0.7,492.0,0.1,10,COMPLETE
90,90,5.3499939761315565,2025-06-15 00:46:01.009947,2025-06-15 00:46:08.057786,0 days 00:00:07.047839,992.0,0.001,2m,3.0,3.5,1.8,126.0,,,,,,,,798.0,0.006,1m,1.0,3.5,1.1,362.0,346.0,0.01,1m,3.5,4.0,1.3,722.0,860.0,0.005,4m,4.0,1.5,0.7,912.0,120.0,0.01,3m,3.5,1.5,0.5,88.0,576.0,0.007,3m,2.0,3.5,1.0,650.0,704,0.002,4m,3.0,1.5,1.1,194,186.0,0.004,4m,3.0,1.5,1.1,482.0,440.0,0.004,2m,3.0,2.0,0.9,518.0,0.05,9,COMPLETE
91,91,3.91147645011033,2025-06-15 00:46:08.170302,2025-06-15 00:46:14.896350,0 days 00:00:06.726048,1018.0,0.006,3m,4.0,4.0,1.7000000000000002,246.0,,,,,,,,878.0,0.005,1m,1.5,2.0,1.5,278.0,240.0,0.01,4m,2.5,4.0,1.2000000000000002,660.0,964.0,0.006,2m,1.5,2.0,0.5,1024.0,136.0,0.01,3m,4.0,1.0,1.1,168.0,514.0,0.008,3m,2.5,4.0,0.9,932.0,864,0.002,4m,3.0,1.0,1.2000000000000002,438,144.0,0.005,4m,3.0,2.0,1.2000000000000002,252.0,356.0,0.005,2m,3.0,2.5,1.0,570.0,0.1,9,COMPLETE
92,92,5.798025429750529,2025-06-15 00:46:14.992864,2025-06-15 00:46:16.836253,0 days 00:00:01.843389,,,,,,,,,,,,,,,,,,,,,,320.0,0.008,4m,2.5,4.0,1.4,712.0,,,,,,,,,,,,,,,,,,,,,,832,0.001,4m,3.0,1.0,0.7,290,170.0,0.002,4m,3.5,1.5,1.3,356.0,300.0,0.005,2m,3.0,1.5,0.9,528.0,0.1,4,COMPLETE
93,93,4.7300112812140895,2025-06-15 00:46:16.921258,2025-06-15 00:46:19.000908,0 days 00:00:02.079650,,,,,,,,,,,,,,,,,,,,,,316.0,0.008,4m,2.5,4.0,1.4,708.0,,,,,,,,,,,,,,,,,,,,,,820,0.001,4m,3.0,1.0,0.5,234,204.0,0.002,4m,3.5,1.5,1.3,352.0,322.0,0.005,2m,3.0,1.5,0.9,614.0,0.1,4,COMPLETE
94,94,-0.7267574806502504,2025-06-15 00:46:19.082419,2025-06-15 00:46:21.163310,0 days 00:00:02.080891,,,,,,,,,,,,,,,,,,,,,,376.0,0.009000000000000001,4m,2.5,4.0,1.4,764.0,,,,,,,,,,,,,,,,,,,,,,900,0.001,4m,3.0,1.0,1.1,298,172.0,0.001,4m,3.5,1.5,1.4,450.0,154.0,0.004,2m,3.5,1.5,0.9,456.0,0.05,4,COMPLETE
95,95,-6.092484855766467,2025-06-15 00:46:21.214312,2025-06-15 00:46:22.652691,0 days 00:00:01.438379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834,0.006,3m,3.0,1.0,0.7,372,66.0,0.002,4m,3.5,4.0,1.1,402.0,300.0,0.006,2m,3.0,2.0,1.0,526.0,0.15000000000000002,3,COMPLETE
96,96,2.0781014647772467,2025-06-15 00:46:22.740192,2025-06-15 00:46:25.365094,0 days 00:00:02.624902,,,,,,,,,,,,,,,,,,,,,,296.0,0.01,4m,2.5,4.0,1.4,602.0,,,,,,,,198.0,0.004,3m,4.0,1.0,0.9,200.0,,,,,,,,798,0.001,4m,3.5,1.0,0.7,330,118.0,0.003,4m,3.5,1.5,1.2000000000000002,286.0,380.0,0.005,2m,3.5,1.0,0.8,358.0,0.1,5,COMPLETE
97,97,2.40531956616246,2025-06-15 00:46:25.437102,2025-06-15 00:46:30.255639,0 days 00:00:04.818537,532.0,0.007,2m,3.5,3.5,1.7000000000000002,176.0,454.0,0.004,1m,3.0,2.0,1.9000000000000001,716.0,718.0,0.006,4m,1.5,4.0,1.4,414.0,438.0,0.009000000000000001,4m,3.0,3.5,1.5,648.0,776.0,0.008,4m,1.0,1.0,0.6,870.0,36.0,0.009000000000000001,3m,3.5,4.0,0.8,116.0,606.0,0.007,3m,3.0,1.5,0.8,980.0,764,0.002,4m,4.0,1.5,0.8,80,92.0,0.003,3m,3.5,1.5,1.5,370.0,242.0,0.004,2m,3.0,1.5,0.9,606.0,0.1,10,COMPLETE
98,98,9.087538480943037,2025-06-15 00:46:30.367665,2025-06-15 00:46:32.798239,0 days 00:00:02.430574,,,,,,,,,,,,,,,,,,,,,,270.0,0.01,4m,3.0,4.0,1.3,18.0,,,,,,,,364.0,0.008,3m,4.0,1.5,0.6,160.0,,,,,,,,726,0.007,4m,3.0,1.0,1.0,562,158.0,0.004,4m,3.0,1.0,1.1,200.0,226.0,0.006,2m,2.5,2.0,1.9000000000000001,390.0,0.15000000000000002,5,COMPLETE
99,99,-6.956049789515813,2025-06-15 00:46:32.858748,2025-06-15 00:46:35.614287,0 days 00:00:02.755539,,,,,,,,,,,,,,,,,,,,,,500.0,0.008,4m,3.0,4.0,1.2000000000000002,148.0,,,,,,,,350.0,0.008,1m,4.0,1.5,0.6,220.0,,,,,,,,686,0.008,4m,3.0,1.0,0.9,548,134.0,0.004,2m,3.0,1.5,1.1,210.0,192.0,0.005,2m,3.0,2.0,1.8,378.0,0.15000000000000002,5,COMPLETE
100,100,-2.1686603066731616,2025-06-15 00:46:35.707801,2025-06-15 00:46:36.830601,0 days 00:00:01.122800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736,0.007,4m,3.5,1.0,1.0,426,,,,,,,,214.0,0.006,2m,2.5,2.0,1.9000000000000001,398.0,0.15000000000000002,2,COMPLETE
101,101,-0.7905913493810132,2025-06-15 00:46:36.871114,2025-06-15 00:46:39.885510,0 days 00:00:03.014396,,,,,,,,,,,,,,,,,,,,,,404.0,0.01,4m,3.0,4.0,1.3,686.0,886.0,0.004,1m,1.5,1.5,0.6,988.0,304.0,0.007,3m,4.0,1.5,1.3,158.0,,,,,,,,724,0.007,4m,3.0,1.0,1.0,636,208.0,0.003,4m,3.5,1.0,1.2000000000000002,256.0,308.0,0.006,2m,2.5,2.0,2.0,476.0,0.2,6,COMPLETE
102,102,-1.9071922427909735,2025-06-15 00:46:39.971016,2025-06-15 00:46:42.351260,0 days 00:00:02.380244,,,,,,,,,,,,,,,,,,,,,,348.0,0.01,4m,2.5,4.0,1.3,62.0,,,,,,,,264.0,0.01,3m,4.0,1.5,0.7,78.0,,,,,,,,838,0.006,4m,3.0,1.0,0.9,598,162.0,0.002,4m,3.5,1.0,1.0,338.0,266.0,0.006,2m,2.5,1.5,1.7000000000000002,450.0,0.1,5,COMPLETE
103,103,5.101417061758154,2025-06-15 00:46:42.412256,2025-06-15 00:46:44.095717,0 days 00:00:01.683461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,0.001,4m,3.0,1.0,1.1,486,182.0,0.004,4m,3.0,1.0,1.3,426.0,230.0,0.004,2m,2.5,2.0,0.8,556.0,0.1,3,COMPLETE
104,104,-6.074325155492997,2025-06-15 00:46:44.157227,2025-06-15 00:46:46.343196,0 days 00:00:02.185969,,,,,,,,,,,,,,,,,,,,,,280.0,0.01,4m,3.0,4.0,1.5,724.0,,,,,,,,,,,,,,,,,,,,,,758,0.008,2m,3.0,3.5,1.1,244,102.0,0.003,4m,3.5,1.0,1.1,384.0,172.0,0.005,1m,3.0,2.5,1.1,502.0,0.05,4,COMPLETE
105,105,-0.6577785970942182,2025-06-15 00:46:46.408344,2025-06-15 00:46:48.957001,0 days 00:00:02.548657,,,,,,,,,,,,,,,,,,,,,,312.0,0.009000000000000001,3m,3.5,4.0,1.4,798.0,,,,,,,,220.0,0.01,3m,4.0,1.0,0.5,42.0,,,,,,,,630,0.007,4m,3.0,1.5,1.0,552,142.0,0.002,4m,4.0,1.5,0.9,324.0,276.0,0.006,2m,3.0,2.0,1.5,662.0,0.15000000000000002,5,COMPLETE
106,106,-2.3553409061987747,2025-06-15 00:46:49.018000,2025-06-15 00:46:52.363565,0 days 00:00:03.345565,,,,,,,,,,,,,,,,,,,,,,378.0,0.01,4m,2.5,4.0,1.4,762.0,1022.0,0.007,4m,1.0,1.0,0.8,812.0,150.0,0.007,3m,4.0,1.0,0.9,122.0,,,,,,,,866,0.003,1m,2.5,1.0,0.8,206,48.0,0.003,4m,3.5,1.5,0.8,98.0,526.0,0.004,2m,2.5,2.5,1.6,440.0,0.1,6,COMPLETE
107,107,2.930915566438039,2025-06-15 00:46:52.415564,2025-06-15 00:46:54.329180,0 days 00:00:01.913616,,,,,,,,,,,,,,,,,,,,,,258.0,0.01,4m,2.5,4.0,1.5,844.0,,,,,,,,,,,,,,,,,,,,,,788,0.001,4m,3.0,1.0,1.2000000000000002,168,270.0,0.002,4m,3.0,1.0,0.6,298.0,108.0,0.005,2m,4.0,1.5,1.9000000000000001,414.0,0.25,4,COMPLETE
108,108,1.663885821420702,2025-06-15 00:46:54.401690,2025-06-15 00:46:59.706116,0 days 00:00:05.304426,932.0,0.005,2m,3.5,3.0,1.9000000000000001,22.0,378.0,0.007,4m,4.0,1.5,2.0,242.0,916.0,0.006,1m,1.0,3.5,1.3,494.0,226.0,0.009000000000000001,1m,4.0,4.0,1.2000000000000002,622.0,822.0,0.003,4m,1.0,2.0,0.5,964.0,1024.0,0.01,3m,4.0,1.5,1.0,206.0,636.0,0.006,4m,2.5,3.0,1.1,826.0,582,0.002,4m,3.0,1.5,1.3,282,962.0,0.005,4m,3.5,2.0,1.1,744.0,342.0,0.006,2m,3.0,2.0,0.9,532.0,0.1,10,COMPLETE
109,109,3.6027478902760435,2025-06-15 00:46:59.815168,2025-06-15 00:47:04.764745,0 days 00:00:04.949577,268.0,0.006,2m,3.5,2.5,1.8,88.0,698.0,0.006,4m,2.5,2.5,1.9000000000000001,440.0,840.0,0.007,1m,1.5,4.0,1.6,348.0,452.0,0.01,4m,3.0,3.5,1.3,710.0,740.0,0.005,4m,1.5,1.5,0.7,1004.0,380.0,0.009000000000000001,3m,3.5,1.0,0.7,96.0,682.0,0.008,3m,2.0,3.5,1.0,886.0,326,0.005,4m,3.5,1.0,0.6,312,78.0,0.002,4m,4.0,1.5,0.7,234.0,570.0,0.004,2m,2.5,2.5,1.6,492.0,0.15000000000000002,10,COMPLETE
110,110,4.25017403804855,2025-06-15 00:47:04.832264,2025-06-15 00:47:09.814649,0 days 00:00:04.982385,882.0,0.006,2m,3.0,3.5,2.0,196.0,938.0,0.004,3m,2.5,1.5,2.0,582.0,680.0,0.005,1m,1.0,4.0,1.4,262.0,326.0,0.009000000000000001,4m,2.5,4.0,1.6,680.0,924.0,0.006,4m,1.0,1.5,0.8,926.0,320.0,0.01,3m,4.0,1.5,0.8,322.0,514.0,0.001,3m,2.5,4.0,0.9,846.0,898,0.002,4m,2.5,1.0,0.9,564,156.0,0.006,4m,3.5,1.0,1.0,274.0,400.0,0.005,1m,3.0,1.5,1.0,590.0,0.2,10,COMPLETE
111,111,2.96342356629247,2025-06-15 00:47:09.904750,2025-06-15 00:47:14.409986,0 days 00:00:04.505236,988.0,0.01,1m,4.0,4.0,1.7000000000000002,762.0,,,,,,,,812.0,0.004,1m,1.5,3.5,1.4,394.0,206.0,0.01,2m,2.0,2.5,1.4,734.0,980.0,0.006,4m,1.5,1.0,0.5,970.0,482.0,0.01,4m,4.0,2.0,0.6,690.0,758.0,0.007,3m,2.5,4.0,0.9,612.0,832,0.003,4m,3.0,1.0,1.1,664,450.0,0.003,4m,3.0,2.0,1.9000000000000001,356.0,322.0,0.007,2m,2.0,2.0,0.9,470.0,0.5,9,COMPLETE
112,112,2.4336344783515185,2025-06-15 00:47:14.510513,2025-06-15 00:47:18.996841,0 days 00:00:04.486328,946.0,0.008,1m,4.0,4.0,1.6,370.0,,,,,,,,784.0,0.005,1m,1.0,3.5,1.6,302.0,404.0,0.01,4m,3.0,2.5,1.5,748.0,958.0,0.005,2m,1.0,2.0,0.6,848.0,274.0,0.009000000000000001,1m,4.0,2.0,0.9,558.0,536.0,0.008,3m,3.0,4.0,1.0,546.0,882,0.002,4m,3.0,1.5,1.0,364,114.0,0.007,4m,3.0,1.5,1.2000000000000002,390.0,368.0,0.003,2m,2.5,3.0,1.8,574.0,0.05,9,COMPLETE
113,113,4.545176191423489,2025-06-15 00:47:19.087376,2025-06-15 00:47:22.887074,0 days 00:00:03.799698,,,,,,,,,,,,,,,900.0,0.003,1m,1.5,4.0,1.5,368.0,336.0,0.005,2m,3.0,4.0,1.2000000000000002,700.0,906.0,0.006,4m,1.0,1.0,0.5,894.0,576.0,0.01,3m,4.0,1.5,0.7,494.0,330.0,0.006,3m,2.0,3.5,0.8,776.0,774,0.001,4m,3.0,1.0,1.0,624,538.0,0.004,3m,3.5,1.5,2.0,440.0,286.0,0.005,2m,3.0,2.5,1.0,418.0,0.1,8,COMPLETE
