,number,value,datetime_start,datetime_complete,duration,params_ADSK_BIIB_beta_win,params_ADSK_BIIB_stop_loss,params_ADSK_BIIB_trade_freq,params_ADSK_BIIB_z_entry,params_ADSK_BIIB_z_exit,params_ADSK_BIIB_z_stop_scaler,params_ADSK_BIIB_z_win,params_ADSK_ZM_beta_win,params_ADSK_ZM_stop_loss,params_ADSK_ZM_trade_freq,params_ADSK_ZM_z_entry,params_ADSK_ZM_z_exit,params_ADSK_ZM_z_stop_scaler,params_ADSK_ZM_z_win,params_ASML_CPRT_beta_win,params_ASML_CPRT_stop_loss,params_ASML_CPRT_trade_freq,params_ASML_CPRT_z_entry,params_ASML_CPRT_z_exit,params_ASML_CPRT_z_stop_scaler,params_ASML_CPRT_z_win,params_ASML_EBAY_beta_win,params_ASML_EBAY_stop_loss,params_ASML_EBAY_trade_freq,params_ASML_EBAY_z_entry,params_ASML_EBAY_z_exit,params_ASML_EBAY_z_stop_scaler,params_ASML_EBAY_z_win,params_BIIB_ZM_beta_win,params_BIIB_ZM_stop_loss,params_BIIB_ZM_trade_freq,params_BIIB_ZM_z_entry,params_BIIB_ZM_z_exit,params_BIIB_ZM_z_stop_scaler,params_BIIB_ZM_z_win,params_DLTR_EA_beta_win,params_DLTR_EA_stop_loss,params_DLTR_EA_trade_freq,params_DLTR_EA_z_entry,params_DLTR_EA_z_exit,params_DLTR_EA_z_stop_scaler,params_DLTR_EA_z_win,params_FAST_TXN_beta_win,params_FAST_TXN_stop_loss,params_FAST_TXN_trade_freq,params_FAST_TXN_z_entry,params_FAST_TXN_z_exit,params_FAST_TXN_z_stop_scaler,params_FAST_TXN_z_win,params_KLAC_PYPL_beta_win,params_KLAC_PYPL_stop_loss,params_KLAC_PYPL_trade_freq,params_KLAC_PYPL_z_entry,params_KLAC_PYPL_z_exit,params_KLAC_PYPL_z_stop_scaler,params_KLAC_PYPL_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_MRNA_TXN_beta_win,params_MRNA_TXN_stop_loss,params_MRNA_TXN_trade_freq,params_MRNA_TXN_z_entry,params_MRNA_TXN_z_exit,params_MRNA_TXN_z_stop_scaler,params_MRNA_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,4.262743189067964,2025-06-15 00:51:16.633767,2025-06-15 00:51:21.427173,0 days 00:00:04.793406,550.0,0.004,3m,3.5,1.0,0.7,60.0,642.0,0.003,3m,4.0,1.0,0.5,468.0,26,0.004,2m,3.0,1.0,1.1,1016,98.0,0.01,4m,1.0,4.0,0.7,918.0,348.0,0.01,2m,4.0,1.0,2.0,808.0,998.0,0.002,2m,1.0,4.0,0.6,58.0,910.0,0.01,4m,4.0,4.0,2.0,884.0,430.0,0.007,4m,4.0,1.5,0.9,172.0,526.0,0.005,4m,2.0,1.0,1.0,802.0,852.0,0.001,2m,4.0,1.0,2.0,64.0,0.35000000000000003,10,COMPLETE
11,11,2.6579355154552973,2025-06-15 00:51:21.533688,2025-06-15 00:51:26.145473,0 days 00:00:04.611785,466.0,0.004,3m,3.5,1.0,0.8,26.0,698.0,0.001,3m,4.0,1.0,0.5,504.0,56,0.004,2m,3.0,1.0,1.0,1008,18.0,0.01,4m,1.0,4.0,0.5,926.0,294.0,0.01,2m,4.0,1.0,2.0,856.0,954.0,0.002,2m,1.0,4.0,0.5,54.0,948.0,0.01,4m,4.0,4.0,2.0,1002.0,438.0,0.007,4m,4.0,1.5,0.8,192.0,514.0,0.005,4m,2.0,1.0,1.0,796.0,974.0,0.001,2m,4.0,1.0,2.0,42.0,0.35000000000000003,10,COMPLETE
12,12,-6.265071750534231,2025-06-15 00:51:26.214471,2025-06-15 00:51:30.841290,0 days 00:00:04.626819,664.0,0.004,3m,3.5,1.0,0.5,42.0,398.0,0.003,4m,4.0,1.0,0.5,476.0,44,0.005,2m,3.5,1.0,1.6,1022,286.0,0.007,4m,1.0,3.0,0.5,740.0,266.0,0.009000000000000001,2m,4.0,1.5,2.0,690.0,1024.0,0.004,1m,1.0,4.0,0.9,28.0,852.0,0.01,4m,4.0,4.0,2.0,748.0,422.0,0.007,4m,4.0,1.5,1.0,198.0,572.0,0.002,4m,2.0,1.0,0.5,1014.0,732.0,0.001,2m,4.0,1.5,1.6,80.0,0.4,10,COMPLETE
13,13,-100.0,2025-06-15 00:51:30.946332,2025-06-15 00:51:31.565946,0 days 00:00:00.619614,,,,,,,,,,,,,,,618,0.002,2m,3.0,1.5,1.0,866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
14,14,-1.5822179400218874,2025-06-15 00:51:31.665463,2025-06-15 00:51:35.264667,0 days 00:00:03.599204,308.0,0.004,3m,3.5,2.0,0.8,716.0,804.0,0.003,3m,3.5,2.0,0.9,358.0,734,0.006,2m,3.5,2.0,1.5,866,32.0,0.001,1m,2.0,4.0,2.0,696.0,632.0,0.007,2m,3.0,1.0,1.7000000000000002,560.0,,,,,,,,,,,,,,,,,,,,,,430.0,0.006,4m,2.0,1.5,1.1,820.0,920.0,0.003,2m,3.0,2.0,1.4,266.0,0.5,7,COMPLETE
15,15,-1.6746991610613768,2025-06-15 00:51:35.361214,2025-06-15 00:51:42.660233,0 days 00:00:07.299019,810.0,0.005,4m,4.0,1.5,0.9,254.0,460.0,0.004,4m,1.0,2.5,0.9,22.0,112,0.003,2m,2.5,2.5,1.0,870,602.0,0.01,4m,4.0,3.0,0.9,136.0,234.0,0.008,2m,2.0,2.0,2.0,714.0,42.0,0.004,2m,2.0,3.0,1.9000000000000001,408.0,,,,,,,,,,,,,,,702.0,0.008,1m,3.0,2.0,0.8,748.0,26.0,0.003,1m,1.0,1.5,2.0,1008.0,0.3,8,COMPLETE
16,16,-0.6310292652415427,2025-06-15 00:51:42.783747,2025-06-15 00:51:48.807667,0 days 00:00:06.023920,486.0,0.006,3m,3.0,1.5,0.7,1002.0,798.0,0.001,3m,3.5,1.0,0.7,646.0,172,0.006,2m,4.0,1.5,0.8,554,354.0,0.005,4m,1.0,2.0,1.6,1020.0,404.0,0.001,2m,3.5,1.0,1.7000000000000002,380.0,658.0,0.003,3m,4.0,3.0,1.0,302.0,584.0,0.008,4m,4.0,4.0,1.6,222.0,782.0,0.008,2m,1.5,2.0,1.0,158.0,366.0,0.005,4m,4.0,3.5,1.2000000000000002,440.0,656.0,0.009000000000000001,2m,3.0,4.0,1.5,288.0,0.4,10,COMPLETE
17,17,-0.2511310857502499,2025-06-15 00:51:48.882700,2025-06-15 00:51:52.551540,0 days 00:00:03.668840,268.0,0.01,3m,3.0,2.0,1.6,184.0,986.0,0.003,4m,3.5,1.5,1.2000000000000002,720.0,30,0.003,2m,3.5,1.0,1.6,926,620.0,0.008,3m,2.0,3.5,0.9,728.0,744.0,0.01,1m,3.5,2.0,0.9,24.0,392.0,0.01,1m,1.5,3.5,0.8,826.0,,,,,,,,,,,,,,,706.0,0.004,4m,1.0,2.0,0.5,660.0,814.0,0.003,2m,3.0,1.0,1.1,274.0,0.25,8,COMPLETE
18,18,-2.054602173972593,2025-06-15 00:51:52.645550,2025-06-15 00:51:56.947678,0 days 00:00:04.302128,668.0,0.001,3m,3.0,1.0,0.5,682.0,594.0,0.007,3m,3.0,2.0,1.1,348.0,458,0.005,1m,2.0,2.5,1.1,808,194.0,0.003,1m,1.5,2.0,1.0,806.0,140.0,0.004,2m,2.5,1.5,1.4,632.0,800.0,0.006,2m,3.0,2.5,1.3,230.0,668.0,0.006,2m,3.0,1.0,1.4,596.0,,,,,,,,676.0,0.008,4m,1.5,1.5,1.0,874.0,536.0,0.004,1m,1.0,2.0,1.7000000000000002,22.0,0.35000000000000003,9,COMPLETE
19,19,2.264869499332986,2025-06-15 00:51:57.023189,2025-06-15 00:51:59.833090,0 days 00:00:02.809901,908.0,0.005,4m,3.5,1.5,0.9,860.0,838.0,0.002,4m,2.5,4.0,0.6,406.0,736,0.007,2m,3.0,1.5,0.7,776,756.0,0.007,2m,3.5,3.5,1.6,498.0,406.0,0.008,2m,4.0,2.5,1.8,824.0,,,,,,,,,,,,,,,,,,,,,,366.0,0.006,1m,3.0,3.5,1.4,1022.0,,,,,,,,0.45,6,COMPLETE
