,number,value,datetime_start,datetime_complete,duration,params_ADSK_BIIB_beta_win,params_ADSK_BIIB_stop_loss,params_ADSK_BIIB_trade_freq,params_ADSK_BIIB_z_entry,params_ADSK_BIIB_z_exit,params_ADSK_BIIB_z_stop_scaler,params_ADSK_BIIB_z_win,params_ADSK_ZM_beta_win,params_ADSK_ZM_stop_loss,params_ADSK_ZM_trade_freq,params_ADSK_ZM_z_entry,params_ADSK_ZM_z_exit,params_ADSK_ZM_z_stop_scaler,params_ADSK_ZM_z_win,params_ASML_CPRT_beta_win,params_ASML_CPRT_stop_loss,params_ASML_CPRT_trade_freq,params_ASML_CPRT_z_entry,params_ASML_CPRT_z_exit,params_ASML_CPRT_z_stop_scaler,params_ASML_CPRT_z_win,params_ASML_EBAY_beta_win,params_ASML_EBAY_stop_loss,params_ASML_EBAY_trade_freq,params_ASML_EBAY_z_entry,params_ASML_EBAY_z_exit,params_ASML_EBAY_z_stop_scaler,params_ASML_EBAY_z_win,params_BIIB_ZM_beta_win,params_BIIB_ZM_stop_loss,params_BIIB_ZM_trade_freq,params_BIIB_ZM_z_entry,params_BIIB_ZM_z_exit,params_BIIB_ZM_z_stop_scaler,params_BIIB_ZM_z_win,params_DLTR_EA_beta_win,params_DLTR_EA_stop_loss,params_DLTR_EA_trade_freq,params_DLTR_EA_z_entry,params_DLTR_EA_z_exit,params_DLTR_EA_z_stop_scaler,params_DLTR_EA_z_win,params_FAST_TXN_beta_win,params_FAST_TXN_stop_loss,params_FAST_TXN_trade_freq,params_FAST_TXN_z_entry,params_FAST_TXN_z_exit,params_FAST_TXN_z_stop_scaler,params_FAST_TXN_z_win,params_KLAC_PYPL_beta_win,params_KLAC_PYPL_stop_loss,params_KLAC_PYPL_trade_freq,params_KLAC_PYPL_z_entry,params_KLAC_PYPL_z_exit,params_KLAC_PYPL_z_stop_scaler,params_KLAC_PYPL_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_MRNA_TXN_beta_win,params_MRNA_TXN_stop_loss,params_MRNA_TXN_trade_freq,params_MRNA_TXN_z_entry,params_MRNA_TXN_z_exit,params_MRNA_TXN_z_stop_scaler,params_MRNA_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
31,31,4.043062157656497,2025-06-15 00:52:38.336727,2025-06-15 00:52:43.923818,0 days 00:00:05.587091,834.0,0.006,4m,4.0,2.0,1.0,790.0,740.0,0.004,4m,4.0,1.5,0.7,174.0,224,0.002,4m,4.0,3.5,0.9,142,140.0,0.002,3m,1.0,1.5,1.6,288.0,702.0,0.01,4m,3.0,3.0,1.9000000000000001,768.0,314.0,0.005,4m,1.5,3.0,1.5,682.0,342.0,0.003,4m,1.0,3.0,0.9,1016.0,,,,,,,,778.0,0.009000000000000001,1m,2.5,2.5,0.6,622.0,548.0,0.009000000000000001,2m,1.5,3.5,1.7000000000000002,856.0,0.2,9,COMPLETE
32,32,2.531103859921508,2025-06-15 00:52:44.025336,2025-06-15 00:52:48.836646,0 days 00:00:04.811310,736.0,0.006,4m,4.0,2.5,1.2000000000000002,666.0,880.0,0.004,4m,4.0,2.0,0.7,272.0,286,0.003,4m,4.0,3.5,0.9,354,270.0,0.002,3m,1.5,1.5,1.8,56.0,856.0,0.009000000000000001,4m,3.5,3.0,1.6,904.0,522.0,0.004,4m,1.0,2.0,1.1,688.0,346.0,0.003,4m,1.5,2.5,1.0,462.0,106.0,0.002,1m,3.0,4.0,1.9000000000000001,818.0,642.0,0.01,1m,2.5,2.5,0.8,528.0,612.0,0.01,2m,1.0,3.5,1.8,848.0,0.25,10,COMPLETE
33,33,8.64982957168626,2025-06-15 00:52:48.898646,2025-06-15 00:52:52.835468,0 days 00:00:03.936822,662.0,0.005,4m,4.0,1.5,0.9,766.0,526.0,0.004,4m,3.5,1.5,0.9,112.0,326,0.002,4m,4.0,3.0,1.1,392,388.0,0.001,3m,1.0,1.0,1.5,320.0,524.0,0.007,4m,3.0,2.5,1.8,926.0,250.0,0.007,4m,1.5,3.0,1.2000000000000002,564.0,,,,,,,,,,,,,,,924.0,0.008,1m,3.0,2.0,0.6,722.0,458.0,0.008,2m,1.5,4.0,2.0,858.0,0.3,8,COMPLETE
34,34,6.411867494235656,2025-06-15 00:52:52.934981,2025-06-15 00:52:56.655109,0 days 00:00:03.720128,648.0,0.005,4m,3.5,2.0,1.1,922.0,508.0,0.002,4m,3.5,1.5,1.0,96.0,492,0.001,4m,4.0,3.0,1.2000000000000002,358,256.0,0.001,3m,1.0,1.0,1.4,320.0,524.0,0.009000000000000001,4m,3.5,2.5,1.8,930.0,216.0,0.007,4m,1.5,3.0,1.2000000000000002,608.0,,,,,,,,,,,,,,,934.0,0.008,1m,3.0,2.0,0.6,496.0,234.0,0.008,2m,2.5,4.0,2.0,862.0,0.3,8,COMPLETE
35,35,5.760409139077143,2025-06-15 00:52:56.752612,2025-06-15 00:53:00.474490,0 days 00:00:03.721878,712.0,0.003,4m,4.0,2.5,0.9,804.0,660.0,0.005,4m,3.5,2.0,0.9,128.0,576,0.002,4m,3.5,3.5,1.1,524,120.0,0.002,3m,1.5,1.5,1.2000000000000002,228.0,634.0,0.008,4m,3.5,3.0,1.6,1004.0,222.0,0.008,4m,1.0,2.5,1.5,988.0,,,,,,,,,,,,,,,920.0,0.009000000000000001,1m,3.0,3.0,0.5,708.0,446.0,0.009000000000000001,2m,1.5,3.0,1.9000000000000001,776.0,0.2,8,COMPLETE
36,36,-0.2469257270422025,2025-06-15 00:53:00.583011,2025-06-15 00:53:04.783863,0 days 00:00:04.200852,582.0,0.005,4m,3.5,2.0,1.0,630.0,568.0,0.006,4m,3.0,2.5,0.8,22.0,400,0.002,4m,3.5,4.0,1.4,238,94.0,0.001,3m,1.0,1.0,1.5,414.0,826.0,0.01,4m,2.5,2.5,1.9000000000000001,748.0,312.0,0.006,4m,1.5,2.0,1.2000000000000002,752.0,182.0,0.004,2m,1.5,2.0,0.6,798.0,,,,,,,,1022.0,0.008,1m,3.5,2.0,0.7,636.0,522.0,0.008,3m,2.5,4.0,1.9000000000000001,944.0,0.15000000000000002,9,COMPLETE
37,37,0.8137324831558349,2025-06-15 00:53:04.900380,2025-06-15 00:53:08.281537,0 days 00:00:03.381157,784.0,0.006,4m,2.0,1.5,1.3,728.0,442.0,0.005,2m,3.0,1.5,1.0,198.0,336,0.001,4m,1.0,3.0,1.0,406,342.0,0.004,3m,2.0,1.5,1.3,60.0,514.0,0.009000000000000001,4m,3.0,3.5,1.7000000000000002,896.0,,,,,,,,,,,,,,,,,,,,,,824.0,0.007,1m,4.0,3.0,0.6,458.0,226.0,0.01,1m,2.0,3.5,2.0,730.0,0.3,7,COMPLETE
38,38,8.11943782162123,2025-06-15 00:53:08.370062,2025-06-15 00:53:12.682065,0 days 00:00:04.312003,880.0,0.004,4m,1.0,2.0,1.1,500.0,760.0,0.003,4m,3.5,2.0,0.6,390.0,296,0.003,4m,4.0,2.5,2.0,120,458.0,0.002,3m,1.5,1.0,1.5,238.0,672.0,0.01,4m,4.0,3.0,1.9000000000000001,840.0,134.0,0.008,4m,1.0,3.5,1.0,498.0,446.0,0.001,3m,1.5,3.0,1.1,834.0,,,,,,,,908.0,0.009000000000000001,1m,3.0,2.5,0.7,366.0,312.0,0.008,4m,1.5,3.0,1.8,920.0,0.25,9,COMPLETE
39,39,4.3440773537473065,2025-06-15 00:53:12.755578,2025-06-15 00:53:16.622945,0 days 00:00:03.867367,684.0,0.006,4m,4.0,2.5,0.9,936.0,16.0,0.004,4m,2.5,1.5,0.8,286.0,232,0.001,4m,3.5,3.0,1.3,296,232.0,0.001,3m,1.0,1.5,1.8,394.0,786.0,0.008,4m,3.5,4.0,1.5,656.0,432.0,0.005,4m,2.5,3.0,1.3,788.0,,,,,,,,,,,,,,,750.0,0.007,1m,3.5,2.5,0.9,572.0,716.0,0.009000000000000001,2m,2.0,4.0,1.7000000000000002,810.0,0.15000000000000002,8,COMPLETE
40,40,3.55591652001038,2025-06-15 00:53:16.705971,2025-06-15 00:53:20.870294,0 days 00:00:04.164323,604.0,0.005,4m,1.5,1.5,1.0,550.0,654.0,0.007,4m,4.0,1.5,1.2000000000000002,224.0,656,0.002,4m,4.0,3.5,0.7,18,86.0,0.002,3m,1.5,2.0,1.2000000000000002,124.0,568.0,0.007,4m,2.5,2.5,1.7000000000000002,616.0,264.0,0.007,4m,1.5,2.5,1.7000000000000002,554.0,452.0,0.004,1m,1.0,3.5,0.8,648.0,,,,,,,,972.0,0.008,3m,2.5,2.0,0.9,704.0,452.0,0.01,2m,1.5,3.5,1.9000000000000001,1018.0,0.3,9,COMPLETE
41,41,9.235115150317643,2025-06-15 00:53:20.950803,2025-06-15 00:53:25.131856,0 days 00:00:04.181053,882.0,0.004,4m,1.0,2.0,1.1,422.0,782.0,0.003,4m,3.5,2.0,0.6,398.0,320,0.003,4m,4.0,2.5,2.0,146,478.0,0.002,3m,1.5,1.0,1.5,244.0,656.0,0.01,4m,4.0,3.0,1.9000000000000001,848.0,156.0,0.009000000000000001,4m,1.0,3.5,1.0,472.0,452.0,0.001,3m,1.5,3.0,1.1,898.0,,,,,,,,896.0,0.009000000000000001,1m,3.0,2.5,0.7,378.0,328.0,0.008,4m,1.5,3.0,1.8,920.0,0.25,9,COMPLETE
42,42,1.6471821955332064,2025-06-15 00:53:25.212881,2025-06-15 00:53:30.015411,0 days 00:00:04.802530,942.0,0.003,4m,1.5,2.0,1.2000000000000002,428.0,888.0,0.002,4m,3.5,2.0,0.6,300.0,440,0.003,4m,4.0,3.0,1.2000000000000002,140,668.0,0.003,3m,1.0,1.0,1.5,334.0,478.0,0.01,4m,4.0,3.5,1.8,950.0,154.0,0.01,4m,1.0,3.5,1.0,448.0,232.0,0.002,3m,1.5,3.5,1.2000000000000002,902.0,26.0,0.003,3m,2.5,4.0,1.8,740.0,870.0,0.009000000000000001,1m,3.0,2.5,0.5,594.0,348.0,0.007,4m,1.5,3.0,1.9000000000000001,926.0,0.2,10,COMPLETE
43,43,5.551650901944429,2025-06-15 00:53:30.108676,2025-06-15 00:53:34.618756,0 days 00:00:04.510080,764.0,0.004,4m,2.0,2.0,1.1,820.0,804.0,0.003,1m,4.0,1.5,0.7,460.0,506,0.002,4m,4.0,2.5,1.1,180,542.0,0.001,3m,2.0,1.0,1.7000000000000002,232.0,606.0,0.009000000000000001,4m,3.5,3.0,1.9000000000000001,870.0,172.0,0.009000000000000001,4m,1.0,3.0,1.1,608.0,436.0,0.002,3m,1.0,2.0,0.8,902.0,,,,,,,,834.0,0.01,2m,3.5,3.0,0.7,240.0,534.0,0.009000000000000001,4m,2.5,3.5,1.4,912.0,0.25,9,COMPLETE
44,44,-0.1938777141204616,2025-06-15 00:53:34.698468,2025-06-15 00:53:38.792409,0 days 00:00:04.093941,840.0,0.005,4m,1.0,1.5,1.3,560.0,652.0,0.005,4m,3.0,2.0,0.6,388.0,316,0.004,4m,3.5,2.5,1.8,274,408.0,0.004,3m,1.5,1.0,1.4,436.0,672.0,0.006,4m,3.0,2.5,2.0,972.0,334.0,0.004,4m,1.5,3.5,0.9,708.0,,,,,,,,,,,,,,,956.0,0.009000000000000001,1m,3.0,3.0,0.6,466.0,626.0,0.007,4m,2.0,3.0,1.0,762.0,0.2,8,COMPLETE
45,45,0.5460608744870001,2025-06-15 00:53:38.879924,2025-06-15 00:53:43.831112,0 days 00:00:04.951188,510.0,0.007,1m,4.0,2.0,1.0,344.0,748.0,0.004,1m,3.5,2.5,0.8,126.0,210,0.003,4m,4.0,3.0,2.0,82,880.0,0.003,2m,1.0,1.5,1.3,270.0,944.0,0.01,3m,4.0,3.5,1.0,780.0,424.0,0.006,4m,1.0,2.0,1.2000000000000002,556.0,140.0,0.005,4m,2.0,3.5,0.5,1016.0,956.0,0.004,1m,3.0,3.0,1.5,546.0,814.0,0.01,1m,2.5,2.5,2.0,528.0,412.0,0.008,4m,1.0,4.0,1.6,512.0,0.3,10,COMPLETE
46,46,8.941606520579167,2025-06-15 00:53:43.927621,2025-06-15 00:53:48.400100,0 days 00:00:04.472479,772.0,0.002,4m,4.0,2.5,0.8,724.0,492.0,0.004,4m,4.0,3.0,0.9,424.0,388,0.001,4m,3.5,2.5,0.8,374,344.0,0.002,3m,3.0,1.0,1.7000000000000002,152.0,792.0,0.005,4m,3.5,3.0,1.5,1020.0,266.0,0.009000000000000001,4m,1.5,3.0,0.9,618.0,352.0,0.002,3m,1.0,2.5,1.0,908.0,,,,,,,,872.0,0.006,2m,2.5,2.0,0.8,78.0,230.0,0.01,4m,1.5,3.5,1.8,682.0,0.25,9,COMPLETE
47,47,2.9093311137494653,2025-06-15 00:53:48.511626,2025-06-15 00:53:53.367476,0 days 00:00:04.855850,972.0,0.002,4m,3.5,3.0,0.8,712.0,272.0,0.003,2m,2.0,3.5,2.0,422.0,414,0.001,4m,4.0,2.5,0.6,364,340.0,0.004,1m,3.0,1.0,2.0,186.0,784.0,0.004,4m,3.0,3.0,1.3,1012.0,116.0,0.009000000000000001,4m,1.5,2.5,0.9,318.0,562.0,0.001,3m,2.0,2.0,1.3,722.0,266.0,0.001,3m,1.0,3.0,1.5,986.0,892.0,0.007,2m,3.5,1.5,0.8,20.0,216.0,0.006,4m,1.5,3.0,1.7000000000000002,656.0,0.25,10,COMPLETE
48,48,-2.125091454980491,2025-06-15 00:53:53.460002,2025-06-15 00:53:56.825803,0 days 00:00:03.365801,774.0,0.001,2m,2.5,2.5,0.6,500.0,476.0,0.009000000000000001,4m,4.0,3.0,0.9,242.0,856,0.001,4m,2.0,2.5,0.8,268,482.0,0.002,3m,3.0,1.5,1.7000000000000002,110.0,904.0,0.005,4m,4.0,4.0,1.5,942.0,,,,,,,,,,,,,,,,,,,,,,876.0,0.008,2m,3.0,2.0,0.7,136.0,50.0,0.009000000000000001,4m,2.0,3.5,1.8,570.0,0.2,7,COMPLETE
49,49,-2.0934561147576627,2025-06-15 00:53:56.914314,2025-06-15 00:54:00.751327,0 days 00:00:03.837013,912.0,0.002,4m,4.0,3.0,0.7,752.0,356.0,0.005,4m,3.5,3.0,1.4,442.0,554,0.002,1m,4.0,2.5,0.5,494,400.0,0.003,3m,3.5,1.0,1.9000000000000001,24.0,564.0,0.005,1m,3.5,3.5,1.6,886.0,28.0,0.009000000000000001,3m,2.5,3.5,0.9,876.0,,,,,,,,,,,,,,,976.0,0.009000000000000001,2m,2.5,2.0,0.5,78.0,150.0,0.008,4m,1.5,4.0,1.5,720.0,0.15000000000000002,8,COMPLETE
50,50,-1.6445658604025113,2025-06-15 00:54:00.855838,2025-06-15 00:54:03.791657,0 days 00:00:02.935819,1020.0,0.003,1m,3.5,2.5,0.9,664.0,600.0,0.006,1m,4.0,3.0,1.1,526.0,378,0.001,4m,3.0,3.5,0.7,654,328.0,0.002,2m,2.5,1.5,1.6,168.0,790.0,0.006,3m,3.0,3.0,1.2000000000000002,974.0,,,,,,,,,,,,,,,,,,,,,,732.0,0.01,2m,3.0,1.5,0.6,284.0,,,,,,,,0.1,6,COMPLETE
51,51,5.9122044831223155,2025-06-15 00:54:03.895173,2025-06-15 00:54:11.240435,0 days 00:00:07.345262,706.0,0.006,4m,4.0,1.5,1.1,838.0,104.0,0.004,4m,4.0,1.0,0.6,352.0,472,0.002,4m,3.5,3.0,1.0,392,156.0,0.001,3m,3.0,1.0,1.5,356.0,720.0,0.009000000000000001,4m,3.5,2.5,1.9000000000000001,810.0,294.0,0.008,4m,1.5,3.0,1.1,614.0,342.0,0.002,3m,1.0,2.5,1.0,920.0,,,,,,,,804.0,0.006,1m,2.5,2.5,0.9,732.0,278.0,0.01,3m,1.5,3.5,2.0,856.0,0.25,9,COMPLETE
52,52,4.198900881023948,2025-06-15 00:54:11.355468,2025-06-15 00:54:18.153980,0 days 00:00:06.798512,820.0,0.004,4m,4.0,2.5,0.8,896.0,526.0,0.004,4m,4.0,4.0,0.9,546.0,274,0.003,4m,3.5,3.0,0.8,464,260.0,0.001,3m,1.0,1.0,1.7000000000000002,292.0,660.0,0.004,4m,3.5,2.5,2.0,848.0,244.0,0.003,4m,1.0,3.0,1.0,726.0,392.0,0.004,3m,1.0,3.0,0.9,932.0,732.0,0.01,2m,2.5,3.0,0.5,456.0,662.0,0.006,3m,2.5,3.0,0.8,624.0,582.0,0.01,4m,1.0,3.5,1.9000000000000001,810.0,0.3,10,COMPLETE
53,53,2.4837385422655713,2025-06-15 00:54:18.209498,2025-06-15 00:54:22.720449,0 days 00:00:04.510951,646.0,0.008,4m,4.0,2.0,0.9,774.0,692.0,0.003,4m,4.0,2.0,0.8,320.0,72,0.004,4m,4.0,2.5,1.0,590,308.0,0.002,3m,1.0,1.0,1.5,214.0,482.0,0.01,4m,4.0,3.0,1.7000000000000002,1020.0,362.0,0.005,4m,2.0,2.5,1.4,496.0,248.0,0.002,4m,1.5,2.5,0.7,816.0,,,,,,,,734.0,0.007,1m,2.5,2.0,0.7,416.0,370.0,0.009000000000000001,2m,2.0,3.0,1.8,976.0,0.3,9,COMPLETE
54,54,3.1850518468787365,2025-06-15 00:54:22.805958,2025-06-15 00:54:26.778420,0 days 00:00:03.972462,752.0,0.004,4m,3.5,1.5,1.0,964.0,942.0,0.003,4m,3.5,1.5,0.7,248.0,324,0.002,4m,3.5,3.0,0.9,332,376.0,0.001,3m,3.5,1.0,1.4,104.0,616.0,0.01,4m,3.5,2.0,1.9000000000000001,724.0,268.0,0.007,4m,4.0,3.0,0.8,636.0,,,,,,,,,,,,,,,868.0,0.008,2m,2.0,2.5,0.8,488.0,474.0,0.01,2m,1.5,3.5,2.0,594.0,0.25,8,COMPLETE
55,55,2.5240408567565087,2025-06-15 00:54:26.864934,2025-06-15 00:54:31.800558,0 days 00:00:04.935624,864.0,0.005,4m,4.0,2.0,1.8,616.0,770.0,0.004,4m,1.0,2.5,0.6,80.0,192,0.004,4m,4.0,3.0,1.1,528,56.0,0.002,1m,2.5,1.5,1.6,456.0,752.0,0.002,4m,3.0,2.5,2.0,880.0,180.0,0.009000000000000001,4m,1.0,3.5,1.1,550.0,508.0,0.003,3m,1.0,3.0,1.1,940.0,194.0,0.004,4m,3.0,3.5,1.6,502.0,804.0,0.006,1m,3.0,2.5,1.0,848.0,120.0,0.007,2m,1.0,2.5,1.9000000000000001,900.0,0.35000000000000003,10,COMPLETE
56,56,0.8421019821465833,2025-06-15 00:54:31.872079,2025-06-15 00:54:36.260611,0 days 00:00:04.388532,548.0,0.001,4m,3.0,3.5,0.6,696.0,844.0,0.002,4m,4.0,1.0,0.5,492.0,16,0.003,4m,3.0,3.5,1.2000000000000002,184,212.0,0.001,3m,1.5,1.0,1.8,580.0,700.0,0.007,4m,4.0,3.5,1.8,790.0,450.0,0.004,4m,2.0,2.5,1.3,438.0,302.0,0.002,2m,1.5,3.5,1.0,956.0,,,,,,,,576.0,0.009000000000000001,3m,3.5,2.0,0.6,952.0,690.0,0.009000000000000001,4m,2.0,4.0,1.6,694.0,0.25,9,COMPLETE
57,57,-1.3777171806078063,2025-06-15 00:54:36.342612,2025-06-15 00:54:40.856572,0 days 00:00:04.513960,792.0,0.007,2m,4.0,2.5,1.2000000000000002,750.0,624.0,0.005,4m,1.5,1.5,0.8,362.0,424,0.002,1m,3.5,2.0,0.9,78,564.0,0.003,3m,1.0,2.0,1.7000000000000002,374.0,582.0,0.003,4m,3.5,3.0,1.7000000000000002,952.0,104.0,0.003,1m,1.5,1.0,1.2000000000000002,494.0,384.0,0.001,1m,1.0,3.0,0.9,842.0,,,,,,,,960.0,0.005,1m,2.5,2.5,1.7000000000000002,778.0,320.0,0.01,2m,3.5,3.0,2.0,978.0,0.3,9,COMPLETE
58,58,0.33777799441353484,2025-06-15 00:54:40.932082,2025-06-15 00:54:45.959776,0 days 00:00:05.027694,624.0,0.006,4m,3.5,1.5,0.8,410.0,404.0,0.001,2m,3.5,3.5,1.1,152.0,136,0.001,4m,4.0,2.5,1.3,312,178.0,0.002,3m,1.5,1.0,1.3,164.0,844.0,0.006,1m,4.0,2.5,1.5,560.0,368.0,0.01,4m,1.0,3.0,0.8,644.0,502.0,0.005,4m,1.0,2.5,0.7,1022.0,636.0,0.005,3m,3.5,2.5,2.0,724.0,24.0,0.008,2m,3.0,2.0,0.5,578.0,588.0,0.008,1m,1.5,3.5,0.9,808.0,0.2,10,COMPLETE
59,59,4.478398819005149,2025-06-15 00:54:46.052303,2025-06-15 00:54:50.010137,0 days 00:00:03.957834,438.0,0.005,4m,4.0,2.0,1.1,870.0,564.0,0.003,4m,3.0,2.0,1.7000000000000002,210.0,352,0.003,4m,2.5,3.0,1.5,736,282.0,0.001,2m,2.0,2.5,1.6,262.0,662.0,0.009000000000000001,4m,3.0,2.0,2.0,688.0,478.0,0.008,2m,2.0,3.5,1.0,356.0,,,,,,,,,,,,,,,124.0,0.01,3m,2.0,3.0,1.1,674.0,398.0,0.009000000000000001,2m,1.0,4.0,1.7000000000000002,880.0,0.35000000000000003,8,COMPLETE
60,60,1.813626675436959,2025-06-15 00:54:50.098514,2025-06-15 00:54:52.185550,0 days 00:00:02.087036,698.0,0.004,1m,3.5,3.0,0.9,822.0,694.0,0.004,4m,3.5,1.5,0.7,634.0,250,0.005,4m,3.5,4.0,0.7,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714.0,0.007,1m,2.5,2.5,0.7,354.0,,,,,,,,0.25,4,COMPLETE
61,61,5.563865564018737,2025-06-15 00:54:52.253556,2025-06-15 00:54:56.996202,0 days 00:00:04.742646,896.0,0.004,4m,1.0,2.0,1.1,482.0,766.0,0.003,4m,3.5,2.0,0.6,384.0,296,0.003,4m,4.0,2.5,2.0,144,462.0,0.002,3m,1.5,1.0,1.5,238.0,678.0,0.01,4m,4.0,3.0,1.9000000000000001,826.0,148.0,0.008,4m,1.0,3.5,1.0,510.0,450.0,0.001,3m,1.5,3.0,1.1,850.0,,,,,,,,928.0,0.009000000000000001,1m,3.0,2.5,0.7,386.0,274.0,0.008,4m,1.5,3.0,1.8,934.0,0.25,9,COMPLETE
62,62,3.4605205305080893,2025-06-15 00:54:57.067720,2025-06-15 00:55:01.635654,0 days 00:00:04.567934,872.0,0.004,4m,1.0,2.0,1.3,370.0,836.0,0.003,4m,4.0,2.0,0.5,422.0,400,0.003,4m,4.0,2.5,1.9000000000000001,118,490.0,0.002,3m,1.5,1.0,1.4,318.0,754.0,0.01,4m,4.0,3.0,1.8,840.0,586.0,0.009000000000000001,4m,1.0,3.5,0.9,456.0,412.0,0.001,3m,2.0,3.0,1.1,960.0,,,,,,,,896.0,0.009000000000000001,1m,3.0,2.5,0.8,208.0,164.0,0.007,4m,1.5,3.0,1.8,1016.0,0.25,9,COMPLETE
63,63,6.805372768402912,2025-06-15 00:55:01.716674,2025-06-15 00:55:06.723964,0 days 00:00:05.007290,934.0,0.003,4m,1.0,1.5,1.0,518.0,786.0,0.002,4m,3.5,3.0,0.6,320.0,56,0.002,4m,4.0,2.5,2.0,102,444.0,0.001,3m,1.0,1.0,1.5,198.0,534.0,0.009000000000000001,4m,1.0,3.0,1.9000000000000001,908.0,204.0,0.008,4m,1.0,4.0,1.1,582.0,292.0,0.001,3m,1.5,3.5,1.2000000000000002,764.0,988.0,0.001,1m,2.0,3.5,1.3,1008.0,852.0,0.008,1m,3.0,2.0,0.9,546.0,330.0,0.008,4m,2.0,2.5,1.9000000000000001,958.0,0.3,10,COMPLETE
64,64,2.060125817230196,2025-06-15 00:55:06.816475,2025-06-15 00:55:11.493919,0 days 00:00:04.677444,804.0,0.005,4m,1.5,2.0,0.8,582.0,680.0,0.004,4m,3.5,2.5,0.7,278.0,158,0.004,4m,4.0,2.5,1.9000000000000001,42,598.0,0.002,3m,2.0,1.5,1.6,142.0,638.0,0.01,4m,3.5,3.5,1.9000000000000001,852.0,78.0,0.006,1m,1.0,3.0,1.0,522.0,42.0,0.002,3m,1.0,2.5,1.0,856.0,,,,,,,,1004.0,0.01,1m,3.5,2.5,0.6,330.0,478.0,0.01,4m,1.5,3.5,1.2000000000000002,888.0,0.2,9,COMPLETE
65,65,10.369056184881803,2025-06-15 00:55:11.603435,2025-06-15 00:55:15.821694,0 days 00:00:04.218259,740.0,0.006,4m,1.0,2.5,1.1,468.0,728.0,0.004,4m,3.0,2.0,0.9,392.0,304,0.003,4m,4.0,3.0,1.8,184,382.0,0.003,3m,1.5,1.0,1.4,258.0,446.0,0.009000000000000001,3m,4.0,3.0,1.8,986.0,270.0,0.007,3m,1.5,3.5,0.7,396.0,,,,,,,,,,,,,,,902.0,0.009000000000000001,1m,2.5,2.0,0.7,134.0,572.0,0.006,2m,1.5,2.5,0.5,772.0,0.3,8,COMPLETE
66,66,5.1753373903212285,2025-06-15 00:55:15.922209,2025-06-15 00:55:19.668927,0 days 00:00:03.746718,734.0,0.007,4m,1.5,2.5,1.2000000000000002,798.0,616.0,0.004,3m,3.0,1.0,0.9,68.0,466,0.002,1m,3.5,3.0,1.0,252,412.0,0.003,1m,4.0,1.5,1.2000000000000002,86.0,338.0,0.008,3m,1.5,2.5,1.7000000000000002,980.0,,,,,,,,,,,,,,,,,,,,,,784.0,0.005,1m,2.5,1.5,0.5,120.0,640.0,0.005,2m,1.0,2.0,0.6,764.0,0.35000000000000003,7,COMPLETE
67,67,7.056013238214076,2025-06-15 00:55:19.744943,2025-06-15 00:55:24.076528,0 days 00:00:04.331585,674.0,0.006,2m,4.0,2.5,0.7,740.0,488.0,0.005,4m,2.5,1.5,1.0,458.0,370,0.001,4m,1.5,3.5,1.8,434,378.0,0.004,3m,1.0,1.0,1.4,292.0,420.0,0.009000000000000001,3m,3.5,2.5,1.8,166.0,276.0,0.005,3m,1.5,3.0,0.5,196.0,,,,,,,,,,,,,,,608.0,0.006,3m,2.5,2.0,0.8,120.0,500.0,0.006,2m,3.5,2.5,0.8,620.0,0.3,8,COMPLETE
68,68,6.308997574595698,2025-06-15 00:55:24.151530,2025-06-15 00:55:27.729900,0 days 00:00:03.578370,834.0,0.006,4m,1.0,1.0,1.4,278.0,722.0,0.004,4m,3.0,2.0,0.9,352.0,534,0.004,4m,3.5,3.0,1.8,182,304.0,0.001,3m,1.5,1.0,1.4,354.0,480.0,0.008,3m,4.0,3.0,0.8,922.0,,,,,,,,,,,,,,,,,,,,,,758.0,0.008,1m,2.0,1.5,0.6,30.0,576.0,0.009000000000000001,2m,1.5,2.0,1.3,514.0,0.35000000000000003,7,COMPLETE
69,69,-2.790542639099541,2025-06-15 00:55:27.815406,2025-06-15 00:55:30.278625,0 days 00:00:02.463219,738.0,0.005,4m,2.5,2.5,1.0,452.0,826.0,0.005,1m,4.0,2.5,0.8,312.0,120,0.006,3m,4.0,3.5,1.7000000000000002,392,,,,,,,,356.0,0.009000000000000001,3m,3.5,3.0,1.6,974.0,,,,,,,,,,,,,,,,,,,,,,536.0,0.009000000000000001,1m,2.5,2.0,1.5,156.0,,,,,,,,0.3,5,COMPLETE
70,70,2.4560100453074813,2025-06-15 00:55:30.354625,2025-06-15 00:55:34.430484,0 days 00:00:04.075859,638.0,0.007,4m,4.0,3.5,0.9,898.0,572.0,0.006,4m,4.0,1.5,1.0,264.0,1022,0.003,4m,3.0,3.0,0.8,966,142.0,0.006,3m,1.0,1.5,1.3,542.0,458.0,0.005,1m,3.0,3.5,1.4,990.0,366.0,0.004,3m,3.5,2.5,0.7,422.0,,,,,,,,,,,,,,,290.0,0.009000000000000001,2m,2.0,2.0,0.7,98.0,674.0,0.01,2m,2.5,2.5,2.0,834.0,0.3,8,COMPLETE
