,number,value,datetime_start,datetime_complete,duration,params_CERN_TXN_beta_win,params_CERN_TXN_stop_loss,params_CERN_TXN_trade_freq,params_CERN_TXN_z_entry,params_CERN_TXN_z_exit,params_CERN_TXN_z_stop_scaler,params_CERN_TXN_z_win,params_COST_INTC_beta_win,params_COST_INTC_stop_loss,params_COST_INTC_trade_freq,params_COST_INTC_z_entry,params_COST_INTC_z_exit,params_COST_INTC_z_stop_scaler,params_COST_INTC_z_win,params_CTAS_INTC_beta_win,params_CTAS_INTC_stop_loss,params_CTAS_INTC_trade_freq,params_CTAS_INTC_z_entry,params_CTAS_INTC_z_exit,params_CTAS_INTC_z_stop_scaler,params_CTAS_INTC_z_win,params_EA_TXN_beta_win,params_EA_TXN_stop_loss,params_EA_TXN_trade_freq,params_EA_TXN_z_entry,params_EA_TXN_z_exit,params_EA_TXN_z_stop_scaler,params_EA_TXN_z_win,params_INTC_INTU_beta_win,params_INTC_INTU_stop_loss,params_INTC_INTU_trade_freq,params_INTC_INTU_z_entry,params_INTC_INTU_z_exit,params_INTC_INTU_z_stop_scaler,params_INTC_INTU_z_win,params_INTC_MSFT_beta_win,params_INTC_MSFT_stop_loss,params_INTC_MSFT_trade_freq,params_INTC_MSFT_z_entry,params_INTC_MSFT_z_exit,params_INTC_MSFT_z_stop_scaler,params_INTC_MSFT_z_win,params_INTC_PEP_beta_win,params_INTC_PEP_stop_loss,params_INTC_PEP_trade_freq,params_INTC_PEP_z_entry,params_INTC_PEP_z_exit,params_INTC_PEP_z_stop_scaler,params_INTC_PEP_z_win,params_MDLZ_TXN_beta_win,params_MDLZ_TXN_stop_loss,params_MDLZ_TXN_trade_freq,params_MDLZ_TXN_z_entry,params_MDLZ_TXN_z_exit,params_MDLZ_TXN_z_stop_scaler,params_MDLZ_TXN_z_win,params_ROST_TXN_beta_win,params_ROST_TXN_stop_loss,params_ROST_TXN_trade_freq,params_ROST_TXN_z_entry,params_ROST_TXN_z_exit,params_ROST_TXN_z_stop_scaler,params_ROST_TXN_z_win,params_TMUS_TXN_beta_win,params_TMUS_TXN_stop_loss,params_TMUS_TXN_trade_freq,params_TMUS_TXN_z_entry,params_TMUS_TXN_z_exit,params_TMUS_TXN_z_stop_scaler,params_TMUS_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
136,136,8.289099920543253,2025-06-15 00:43:51.452225,2025-06-15 00:43:56.037106,0 days 00:00:04.584881,520.0,0.01,2m,1.0,4.0,1.1,252.0,818.0,0.008,3m,4.0,4.0,1.6,140.0,,,,,,,,98.0,0.001,2m,2.0,1.0,2.0,740.0,906.0,0.01,1m,2.5,2.0,0.8,996.0,480.0,0.002,4m,2.5,2.5,1.1,230.0,672.0,0.009000000000000001,3m,3.0,1.0,0.8,964.0,340,0.004,1m,3.0,1.5,0.5,470,150.0,0.003,1m,2.0,4.0,1.8,344.0,,,,,,,,0.35000000000000003,8,COMPLETE
137,137,7.795621211920612,2025-06-15 00:43:56.116618,2025-06-15 00:43:59.939392,0 days 00:00:03.822774,526.0,0.009000000000000001,2m,1.0,4.0,1.1,220.0,806.0,0.008,3m,4.0,4.0,1.6,146.0,,,,,,,,154.0,0.001,2m,2.0,1.0,2.0,742.0,888.0,0.01,1m,2.5,2.0,0.9,956.0,506.0,0.002,4m,2.5,2.5,1.2000000000000002,198.0,,,,,,,,336,0.004,1m,3.0,1.5,0.5,458,158.0,0.003,1m,2.0,4.0,1.7000000000000002,342.0,,,,,,,,0.35000000000000003,7,COMPLETE
138,138,1.8407959519254826,2025-06-15 00:44:00.034906,2025-06-15 00:44:04.449484,0 days 00:00:04.414578,436.0,0.01,2m,1.0,4.0,1.3,172.0,762.0,0.008,3m,4.0,4.0,1.7000000000000002,130.0,,,,,,,,106.0,0.001,2m,2.0,1.0,2.0,752.0,908.0,0.01,1m,2.5,2.0,0.8,1022.0,430.0,0.002,4m,2.5,2.5,1.1,144.0,664.0,0.009000000000000001,3m,3.0,1.0,0.8,880.0,400,0.004,1m,3.0,1.5,0.5,504,124.0,0.002,1m,2.0,4.0,1.8,366.0,,,,,,,,0.35000000000000003,8,COMPLETE
139,139,6.8498632996861,2025-06-15 00:44:04.564001,2025-06-15 00:44:09.191394,0 days 00:00:04.627393,514.0,0.008,2m,1.0,4.0,1.1,254.0,730.0,0.007,3m,4.0,4.0,1.6,102.0,,,,,,,,86.0,0.001,2m,2.0,1.0,1.9000000000000001,726.0,868.0,0.01,1m,3.0,2.0,0.8,986.0,560.0,0.001,4m,2.5,2.5,1.1,20.0,636.0,0.01,3m,3.0,1.0,0.7,956.0,356,0.004,1m,3.0,1.5,0.5,408,148.0,0.002,1m,2.0,4.0,1.8,452.0,,,,,,,,0.35000000000000003,8,COMPLETE
140,140,4.4097044042586955,2025-06-15 00:44:09.269913,2025-06-15 00:44:13.734025,0 days 00:00:04.464112,466.0,0.01,1m,1.0,4.0,1.3,198.0,790.0,0.008,3m,4.0,4.0,1.7000000000000002,70.0,,,,,,,,126.0,0.001,2m,2.5,1.0,1.9000000000000001,818.0,832.0,0.01,1m,2.5,2.0,0.8,1000.0,486.0,0.002,4m,2.5,2.5,1.0,248.0,698.0,0.009000000000000001,3m,3.0,1.0,0.8,984.0,418,0.004,1m,3.0,1.5,0.5,470,192.0,0.003,1m,2.0,4.0,1.8,432.0,,,,,,,,0.35000000000000003,8,COMPLETE
141,141,10.426674886937956,2025-06-15 00:44:13.817532,2025-06-15 00:44:18.040170,0 days 00:00:04.222638,528.0,0.009000000000000001,2m,1.0,4.0,1.1,226.0,826.0,0.008,3m,4.0,4.0,1.6,156.0,,,,,,,,146.0,0.001,2m,2.0,1.0,2.0,738.0,892.0,0.01,1m,2.5,2.0,0.9,962.0,468.0,0.002,4m,2.5,2.5,1.2000000000000002,302.0,,,,,,,,320,0.004,1m,3.0,1.5,0.5,450,166.0,0.003,1m,2.0,4.0,1.7000000000000002,342.0,,,,,,,,0.35000000000000003,7,COMPLETE
142,142,9.127526505974835,2025-06-15 00:44:18.109681,2025-06-15 00:44:21.616138,0 days 00:00:03.506457,540.0,0.009000000000000001,2m,1.0,4.0,1.1,218.0,848.0,0.008,3m,4.0,4.0,1.5,118.0,,,,,,,,,,,,,,,900.0,0.01,1m,2.5,2.0,0.9,910.0,434.0,0.002,4m,2.5,2.5,1.3,302.0,,,,,,,,440,0.004,1m,3.0,1.5,0.5,430,134.0,0.004,1m,2.0,4.0,1.7000000000000002,382.0,,,,,,,,0.3,6,COMPLETE
143,143,4.231740115253046,2025-06-15 00:44:21.702651,2025-06-15 00:44:24.992551,0 days 00:00:03.289900,542.0,0.009000000000000001,2m,1.0,4.0,1.1,276.0,852.0,0.008,3m,4.0,4.0,1.5,188.0,,,,,,,,,,,,,,,848.0,0.01,1m,2.5,2.0,0.9,928.0,520.0,0.002,4m,2.5,2.5,1.2000000000000002,308.0,,,,,,,,448,0.004,1m,3.0,1.5,0.5,372,118.0,0.004,1m,2.0,4.0,1.7000000000000002,388.0,,,,,,,,0.3,6,COMPLETE
144,144,6.5384184799084775,2025-06-15 00:44:25.084076,2025-06-15 00:44:28.834296,0 days 00:00:03.750220,478.0,0.008,2m,1.0,4.0,1.0,230.0,886.0,0.008,3m,4.0,4.0,1.6,116.0,,,,,,,,100.0,0.001,3m,2.0,1.0,2.0,796.0,890.0,0.01,1m,2.5,2.0,0.7,966.0,468.0,0.001,4m,2.5,2.5,1.3,210.0,,,,,,,,390,0.004,1m,3.0,1.5,0.5,424,132.0,0.003,1m,2.0,4.0,1.6,342.0,,,,,,,,0.3,7,COMPLETE
145,145,6.8360878038223944,2025-06-15 00:44:28.917819,2025-06-15 00:44:32.181182,0 days 00:00:03.263363,518.0,0.009000000000000001,2m,1.0,4.0,1.1,178.0,836.0,0.008,3m,4.0,4.0,1.7000000000000002,168.0,,,,,,,,,,,,,,,910.0,0.01,1m,2.5,2.0,0.9,906.0,432.0,0.002,4m,2.5,2.5,1.1,354.0,,,,,,,,324,0.004,1m,3.0,1.5,0.5,448,166.0,0.004,1m,2.0,4.0,1.6,404.0,,,,,,,,0.3,6,COMPLETE
146,146,2.1741680144236373,2025-06-15 00:44:32.260204,2025-06-15 00:44:36.141804,0 days 00:00:03.881600,450.0,0.009000000000000001,2m,1.0,4.0,1.2000000000000002,148.0,798.0,0.007,3m,4.0,4.0,1.5,78.0,,,,,,,,174.0,0.001,4m,2.0,1.0,2.0,762.0,870.0,0.01,1m,2.5,2.5,0.9,998.0,406.0,0.002,4m,2.5,3.0,1.2000000000000002,242.0,,,,,,,,300,0.004,1m,3.0,1.5,0.6,492,148.0,0.004,1m,2.0,4.0,1.7000000000000002,374.0,,,,,,,,0.35000000000000003,7,COMPLETE
147,147,3.8261129778429575,2025-06-15 00:44:36.219310,2025-06-15 00:44:40.029659,0 days 00:00:03.810349,416.0,0.009000000000000001,2m,1.0,4.0,1.2000000000000002,254.0,824.0,0.007,3m,4.0,4.0,1.6,36.0,,,,,,,,120.0,0.001,2m,2.0,1.0,1.9000000000000001,702.0,792.0,0.01,1m,2.5,2.0,0.8,940.0,476.0,0.003,4m,2.5,2.5,0.9,306.0,,,,,,,,378,0.004,1m,2.5,1.5,0.5,438,198.0,0.003,1m,2.0,4.0,1.8,500.0,,,,,,,,0.35000000000000003,7,COMPLETE
148,148,-0.5837119555028024,2025-06-15 00:44:40.115189,2025-06-15 00:44:44.002804,0 days 00:00:03.887615,542.0,0.009000000000000001,3m,1.5,4.0,1.0,298.0,900.0,0.008,3m,4.0,4.0,1.6,156.0,,,,,,,,920.0,0.001,1m,2.0,1.0,2.0,734.0,934.0,0.01,1m,2.5,2.0,0.7,866.0,450.0,0.002,4m,2.5,2.5,1.3,200.0,,,,,,,,444,0.005,1m,3.0,1.5,0.6,514,228.0,0.003,1m,2.0,4.0,1.8,288.0,,,,,,,,0.25,7,COMPLETE
149,149,8.051174754739465,2025-06-15 00:44:44.080810,2025-06-15 00:44:48.565577,0 days 00:00:04.484767,500.0,0.01,2m,1.0,4.0,1.1,214.0,778.0,0.008,3m,4.0,4.0,1.7000000000000002,104.0,,,,,,,,82.0,0.001,2m,2.0,1.0,1.9000000000000001,790.0,896.0,0.01,1m,3.0,2.5,0.8,914.0,380.0,0.003,4m,3.0,2.5,1.0,228.0,526.0,0.009000000000000001,3m,3.5,1.5,0.9,994.0,412,0.004,3m,2.5,1.0,0.5,404,176.0,0.002,1m,2.0,4.0,1.8,344.0,,,,,,,,0.3,8,COMPLETE
