,number,value,datetime_start,datetime_complete,duration,params_ALXN_BIIB_beta_win,params_ALXN_BIIB_stop_loss,params_ALXN_BIIB_trade_freq,params_ALXN_BIIB_z_entry,params_ALXN_BIIB_z_exit,params_ALXN_BIIB_z_stop_scaler,params_ALXN_BIIB_z_win,params_AMD_DLTR_beta_win,params_AMD_DLTR_stop_loss,params_AMD_DLTR_trade_freq,params_AMD_DLTR_z_entry,params_AMD_DLTR_z_exit,params_AMD_DLTR_z_stop_scaler,params_AMD_DLTR_z_win,params_ANSS_DOCU_beta_win,params_ANSS_DOCU_stop_loss,params_ANSS_DOCU_trade_freq,params_ANSS_DOCU_z_entry,params_ANSS_DOCU_z_exit,params_ANSS_DOCU_z_stop_scaler,params_ANSS_DOCU_z_win,params_CDW_NVDA_beta_win,params_CDW_NVDA_stop_loss,params_CDW_NVDA_trade_freq,params_CDW_NVDA_z_entry,params_CDW_NVDA_z_exit,params_CDW_NVDA_z_stop_scaler,params_CDW_NVDA_z_win,params_CMCSA_REGN_beta_win,params_CMCSA_REGN_stop_loss,params_CMCSA_REGN_trade_freq,params_CMCSA_REGN_z_entry,params_CMCSA_REGN_z_exit,params_CMCSA_REGN_z_stop_scaler,params_CMCSA_REGN_z_win,params_CSCO_MNST_beta_win,params_CSCO_MNST_stop_loss,params_CSCO_MNST_trade_freq,params_CSCO_MNST_z_entry,params_CSCO_MNST_z_exit,params_CSCO_MNST_z_stop_scaler,params_CSCO_MNST_z_win,params_CSCO_SBUX_beta_win,params_CSCO_SBUX_stop_loss,params_CSCO_SBUX_trade_freq,params_CSCO_SBUX_z_entry,params_CSCO_SBUX_z_exit,params_CSCO_SBUX_z_stop_scaler,params_CSCO_SBUX_z_win,params_CSCO_TSLA_beta_win,params_CSCO_TSLA_stop_loss,params_CSCO_TSLA_trade_freq,params_CSCO_TSLA_z_entry,params_CSCO_TSLA_z_exit,params_CSCO_TSLA_z_stop_scaler,params_CSCO_TSLA_z_win,params_CSCO_XEL_beta_win,params_CSCO_XEL_stop_loss,params_CSCO_XEL_trade_freq,params_CSCO_XEL_z_entry,params_CSCO_XEL_z_exit,params_CSCO_XEL_z_stop_scaler,params_CSCO_XEL_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_NXPI_TXN_beta_win,params_NXPI_TXN_stop_loss,params_NXPI_TXN_trade_freq,params_NXPI_TXN_z_entry,params_NXPI_TXN_z_exit,params_NXPI_TXN_z_stop_scaler,params_NXPI_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
30,30,2.5367247927994283,2025-06-15 00:11:45.126478,2025-06-15 00:11:48.292737,0 days 00:00:03.166259,592,0.008,1m,3.0,3.0,1.2000000000000002,744,,,,,,,,540.0,0.003,4m,4.0,1.5,1.1,694.0,,,,,,,,724.0,0.003,2m,3.5,1.5,2.0,88.0,222.0,0.009000000000000001,1m,1.5,3.5,1.3,698.0,,,,,,,,,,,,,,,,,,,,,,236,0.01,2m,4.0,4.0,1.5,458,,,,,,,,0.15000000000000002,4,COMPLETE
31,31,2.2648408352898017,2025-06-15 00:11:48.377478,2025-06-15 00:11:53.219884,0 days 00:00:04.842406,332,0.009000000000000001,4m,3.0,3.5,1.3,78,,,,,,,,792.0,0.004,3m,4.0,1.5,1.2000000000000002,438.0,,,,,,,,254.0,0.001,1m,3.5,1.0,1.2000000000000002,688.0,154.0,0.008,1m,3.5,4.0,1.4,826.0,462.0,0.002,3m,2.0,4.0,1.5,1024.0,1018.0,0.001,1m,3.0,2.0,1.2000000000000002,488.0,,,,,,,,702,0.003,4m,3.5,3.0,1.1,40,782.0,0.002,2m,2.0,3.0,1.5,358.0,0.3,7,COMPLETE
32,32,3.8233567405233915,2025-06-15 00:11:53.329663,2025-06-15 00:11:58.857900,0 days 00:00:05.528237,282,0.009000000000000001,4m,3.0,4.0,1.1,118,,,,,,,,1004.0,0.002,3m,4.0,2.0,1.0,540.0,,,,,,,,178.0,0.002,1m,4.0,1.0,1.2000000000000002,776.0,30.0,0.006,1m,3.5,4.0,1.7000000000000002,906.0,128.0,0.004,3m,1.5,3.5,1.4,994.0,930.0,0.001,1m,2.5,2.0,1.1,372.0,778.0,0.01,4m,2.5,3.0,1.7000000000000002,218.0,548,0.002,4m,3.5,3.5,1.2000000000000002,126,816.0,0.003,2m,2.0,3.5,1.7000000000000002,218.0,0.3,8,COMPLETE
33,33,1.6915916319458508,2025-06-15 00:11:58.951502,2025-06-15 00:12:03.746632,0 days 00:00:04.795130,396,0.01,4m,4.0,3.5,1.3,190,,,,,,,,812.0,0.002,3m,3.5,1.0,0.7,232.0,,,,,,,,86.0,0.001,1m,3.5,1.0,0.9,408.0,270.0,0.008,1m,3.0,3.5,1.5,746.0,470.0,0.002,3m,2.5,3.5,2.0,824.0,936.0,0.002,1m,3.0,2.5,0.8,856.0,,,,,,,,730,0.004,4m,3.0,2.0,0.9,212,530.0,0.002,2m,2.5,2.5,1.4,408.0,0.4,7,COMPLETE
34,34,0.7495239638683525,2025-06-15 00:12:03.834991,2025-06-15 00:12:07.903178,0 days 00:00:04.068187,476,0.008,4m,2.5,4.0,1.5,356,,,,,,,,716.0,0.005,3m,4.0,1.5,1.1,352.0,,,,,,,,426.0,0.002,1m,3.0,1.5,1.3,610.0,116.0,0.007,1m,2.5,2.5,1.7000000000000002,474.0,,,,,,,,740.0,0.004,1m,3.5,2.5,1.0,570.0,,,,,,,,656,0.003,4m,4.0,3.0,1.1,16,644.0,0.004,1m,1.5,3.5,1.6,648.0,0.25,6,COMPLETE
35,35,2.252167816105471,2025-06-15 00:12:07.992407,2025-06-15 00:12:13.875981,0 days 00:00:05.883574,968,0.007,2m,3.5,3.0,1.8,260,,,,,,,,690.0,0.007,3m,3.5,2.0,1.4,760.0,372.0,0.002,2m,2.5,1.5,1.5,718.0,308.0,0.003,4m,2.5,1.0,1.5,544.0,406.0,0.002,1m,3.5,3.0,1.3,568.0,876.0,0.007,1m,2.0,4.0,1.2000000000000002,906.0,190.0,0.002,1m,3.0,1.5,1.1,242.0,980.0,0.005,2m,3.5,2.0,1.1,466.0,804,0.006,2m,2.5,3.5,0.9,824,462.0,0.002,3m,2.0,2.0,2.0,298.0,0.45,9,COMPLETE
36,36,-7.968002607050529,2025-06-15 00:12:14.003116,2025-06-15 00:12:17.751468,0 days 00:00:03.748352,866,0.006,4m,2.0,4.0,1.1,456,,,,,,,,836.0,0.004,1m,4.0,1.5,0.9,868.0,,,,,,,,896.0,0.004,3m,3.5,2.0,1.8,636.0,206.0,0.009000000000000001,1m,4.0,2.0,1.5,470.0,,,,,,,,372.0,0.007,2m,2.5,2.0,1.3,684.0,,,,,,,,896,0.005,4m,3.5,2.5,2.0,326,,,,,,,,0.35000000000000003,5,COMPLETE
37,37,-2.185816903456801,2025-06-15 00:12:17.847368,2025-06-15 00:12:23.358632,0 days 00:00:05.511264,944,0.009000000000000001,3m,3.0,3.5,1.4,150,,,,,,,,412.0,0.007,3m,3.0,3.0,0.8,258.0,,,,,,,,586.0,0.001,4m,3.0,3.5,1.1,838.0,80.0,0.005,3m,2.5,4.0,1.9000000000000001,642.0,364.0,0.004,2m,1.5,1.5,1.6,448.0,934.0,0.003,4m,2.5,2.5,0.8,478.0,562.0,0.002,4m,2.0,1.0,0.7,970.0,828,0.004,2m,3.0,1.5,0.6,680,338.0,0.006,2m,2.5,3.5,0.9,136.0,0.1,8,COMPLETE
38,38,-0.257669280540842,2025-06-15 00:12:23.465455,2025-06-15 00:12:27.628257,0 days 00:00:04.162802,286,0.003,1m,2.5,3.0,1.0,572,,,,,,,,922.0,0.003,3m,3.5,1.0,1.1,1022.0,,,,,,,,230.0,0.009000000000000001,1m,1.0,1.5,1.0,450.0,1008.0,0.003,1m,3.0,1.5,1.6,402.0,,,,,,,,708.0,0.005,3m,2.0,3.0,1.1,774.0,,,,,,,,324,0.003,4m,4.0,3.0,0.8,150,1022.0,0.004,1m,1.0,1.5,1.2000000000000002,520.0,0.5,6,COMPLETE
39,39,3.1590030988675624,2025-06-15 00:12:27.728543,2025-06-15 00:12:34.221472,0 days 00:00:06.492929,724,0.01,2m,1.0,4.0,2.0,20,916.0,0.008,3m,3.5,1.0,2.0,268.0,542.0,0.009000000000000001,1m,2.0,2.5,1.7000000000000002,498.0,718.0,0.006,4m,1.5,4.0,1.3,224.0,490.0,0.006,2m,4.0,1.0,0.8,678.0,860.0,0.01,2m,3.5,2.0,1.1,862.0,692.0,0.002,4m,2.5,3.5,1.4,822.0,552.0,0.006,4m,3.5,1.5,1.5,162.0,112.0,0.007,3m,3.5,1.5,1.4,644.0,658,0.002,3m,3.5,4.0,1.4,108,548.0,0.001,3m,1.5,2.5,1.8,392.0,0.2,10,COMPLETE
40,40,2.0679424341837183,2025-06-15 00:12:34.322749,2025-06-15 00:12:36.288978,0 days 00:00:01.966229,828,0.001,3m,2.5,1.0,0.7,440,,,,,,,,,,,,,,,,,,,,,,690.0,0.003,3m,3.0,3.0,1.5,914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732,0.005,1m,4.0,3.5,1.7000000000000002,320,,,,,,,,0.45,2,COMPLETE
41,41,0.05552159006879704,2025-06-15 00:12:36.392342,2025-06-15 00:12:41.689827,0 days 00:00:05.297485,34,0.009000000000000001,4m,3.0,4.0,1.1,114,,,,,,,,998.0,0.002,3m,4.0,2.0,1.0,574.0,,,,,,,,174.0,0.002,1m,4.0,1.0,1.2000000000000002,756.0,48.0,0.006,1m,3.5,4.0,1.7000000000000002,914.0,66.0,0.004,3m,1.5,3.5,1.4,1018.0,936.0,0.001,1m,2.5,2.0,1.1,396.0,808.0,0.01,4m,2.5,3.5,1.7000000000000002,152.0,544,0.002,4m,3.5,3.5,1.3,98,802.0,0.003,2m,2.0,3.5,1.8,234.0,0.3,8,COMPLETE
42,42,-3.241806121219462,2025-06-15 00:12:41.780820,2025-06-15 00:12:47.734472,0 days 00:00:05.953652,300,0.008,4m,3.5,4.0,1.0,144,,,,,,,,944.0,0.002,3m,4.0,2.0,0.9,678.0,278.0,0.003,3m,1.5,3.0,0.8,766.0,348.0,0.002,1m,4.0,1.0,1.2000000000000002,810.0,42.0,0.007,1m,3.5,4.0,1.9000000000000001,912.0,256.0,0.003,3m,1.0,3.0,1.3,944.0,862.0,0.001,1m,4.0,2.0,1.0,606.0,804.0,0.008,4m,2.5,3.0,2.0,182.0,564,0.001,4m,3.5,4.0,1.2000000000000002,142,852.0,0.003,2m,2.0,3.0,1.5,206.0,0.3,9,COMPLETE
43,43,-3.4880931672280195,2025-06-15 00:12:47.813205,2025-06-15 00:12:53.361079,0 days 00:00:05.547874,220,0.009000000000000001,4m,3.0,3.5,1.2000000000000002,102,,,,,,,,868.0,0.001,3m,4.0,2.5,1.1,408.0,,,,,,,,190.0,0.001,1m,3.5,1.0,1.1,576.0,20.0,0.006,1m,4.0,3.5,1.7000000000000002,778.0,172.0,0.004,3m,1.5,4.0,1.6,750.0,1016.0,0.002,1m,3.0,2.0,0.9,336.0,1012.0,0.01,4m,1.5,3.0,1.7000000000000002,424.0,466,0.002,4m,3.0,3.5,1.0,230,754.0,0.002,2m,2.0,3.5,1.7000000000000002,310.0,0.35000000000000003,8,COMPLETE
44,44,-0.21827768207545273,2025-06-15 00:12:53.453769,2025-06-15 00:12:58.541300,0 days 00:00:05.087531,476,0.008,4m,2.5,4.0,0.9,188,,,,,,,,1020.0,0.003,2m,4.0,1.5,0.6,308.0,,,,,,,,90.0,0.002,1m,4.0,1.5,1.0,868.0,152.0,0.008,1m,3.5,3.5,1.5,668.0,172.0,0.006,3m,2.0,3.5,1.1,938.0,934.0,0.001,2m,1.0,1.5,1.2000000000000002,454.0,,,,,,,,392,0.003,4m,3.5,2.5,1.2000000000000002,76,654.0,0.004,2m,2.5,3.0,1.5,490.0,0.4,7,COMPLETE
45,45,4.1139361281944,2025-06-15 00:12:58.635873,2025-06-15 00:13:05.232492,0 days 00:00:06.596619,244,0.01,4m,3.5,3.5,1.6,496,126.0,0.002,1m,1.5,2.5,1.1,826.0,732.0,0.006,3m,2.5,2.0,1.2000000000000002,520.0,826.0,0.005,1m,3.0,2.0,0.7,602.0,254.0,0.001,1m,3.5,1.0,0.9,724.0,614.0,0.009000000000000001,4m,3.0,4.0,1.8,1020.0,578.0,0.003,3m,1.5,3.0,1.5,604.0,782.0,0.003,1m,2.5,2.5,1.8,562.0,334.0,0.002,4m,3.0,2.5,1.6,262.0,618,0.004,4m,4.0,3.0,1.1,154,594.0,0.005,2m,1.5,4.0,1.7000000000000002,592.0,0.25,10,COMPLETE
46,46,-3.2199121117050895,2025-06-15 00:13:05.324528,2025-06-15 00:13:11.804136,0 days 00:00:06.479608,100,0.01,1m,4.0,3.5,1.6,500,58.0,0.001,1m,1.5,2.5,1.1,920.0,662.0,0.006,3m,2.5,4.0,1.4,138.0,836.0,0.005,1m,3.5,1.5,0.7,600.0,404.0,0.001,4m,3.5,1.5,0.9,704.0,678.0,0.01,4m,3.0,3.0,1.9000000000000001,980.0,574.0,0.001,3m,3.5,2.5,1.5,604.0,834.0,0.003,2m,4.0,3.0,1.8,558.0,372.0,0.002,1m,4.0,2.5,1.0,586.0,642,0.004,2m,4.0,3.0,0.8,180,582.0,0.005,1m,1.5,4.0,0.6,636.0,0.2,10,COMPLETE
47,47,4.219608070837327,2025-06-15 00:13:11.914634,2025-06-15 00:13:18.734768,0 days 00:00:06.820134,184,0.01,4m,3.5,3.0,1.6,622,344.0,0.003,1m,2.0,2.5,1.4,726.0,740.0,0.009000000000000001,4m,2.0,1.0,1.3,490.0,894.0,0.007,1m,3.0,2.0,0.5,854.0,258.0,0.004,2m,3.0,2.0,0.7,228.0,580.0,0.009000000000000001,4m,3.0,3.5,0.8,1022.0,416.0,0.002,3m,1.0,3.0,1.7000000000000002,494.0,774.0,0.004,1m,1.5,2.5,2.0,522.0,344.0,0.003,2m,3.0,2.0,1.3,794.0,752,0.005,4m,4.0,2.5,1.1,56,562.0,0.006,4m,1.0,4.0,1.9000000000000001,850.0,0.25,10,COMPLETE
48,48,5.020252604604214,2025-06-15 00:13:18.818028,2025-06-15 00:13:22.244178,0 days 00:00:03.426150,156,0.007,1m,4.0,3.0,1.9000000000000001,702,,,,,,,,778.0,0.009000000000000001,4m,1.5,1.0,1.3,644.0,,,,,,,,370.0,0.004,2m,3.0,2.0,0.5,250.0,516.0,0.009000000000000001,4m,3.0,3.5,0.8,126.0,,,,,,,,,,,,,,,,,,,,,,74,0.006,1m,4.0,2.0,1.0,430,,,,,,,,0.15000000000000002,4,COMPLETE
49,49,5.189840025823905,2025-06-15 00:13:22.303659,2025-06-15 00:13:23.782354,0 days 00:00:01.478695,1018,0.007,1m,2.0,3.0,1.9000000000000001,724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,0.006,1m,4.0,1.5,1.0,424,,,,,,,,0.15000000000000002,1,COMPLETE
50,50,0.24944085632781343,2025-06-15 00:13:23.875539,2025-06-15 00:13:25.182411,0 days 00:00:01.306872,1022,0.006,1m,1.5,2.5,1.9000000000000001,728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,0.007,1m,1.0,1.5,0.7,412,,,,,,,,0.15000000000000002,1,COMPLETE
51,51,3.7643928558946604,2025-06-15 00:13:25.251875,2025-06-15 00:13:27.331961,0 days 00:00:02.080086,980,0.007,1m,2.0,3.0,2.0,892,,,,,,,,,,,,,,,,,,,,,,350.0,0.008,2m,2.5,2.0,0.5,356.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,0.006,1m,4.0,2.0,1.0,610,,,,,,,,0.1,2,COMPLETE
52,52,2.41703501160844,2025-06-15 00:13:27.413274,2025-06-15 00:13:30.657064,0 days 00:00:03.243790,904,0.007,1m,4.0,3.0,1.9000000000000001,770,,,,,,,,782.0,0.01,4m,1.5,1.0,1.7000000000000002,730.0,,,,,,,,390.0,0.007,2m,3.0,2.5,0.6,188.0,486.0,0.008,4m,2.5,3.0,1.0,210.0,,,,,,,,,,,,,,,,,,,,,,130,0.007,1m,4.0,1.5,0.9,512,,,,,,,,0.1,4,COMPLETE
53,53,4.3634123587577776,2025-06-15 00:13:30.764427,2025-06-15 00:13:32.212351,0 days 00:00:01.447924,948,0.005,1m,2.0,3.0,1.8,686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,0.006,1m,4.0,1.0,1.0,424,,,,,,,,0.15000000000000002,1,COMPLETE
54,54,3.1598178833726913,2025-06-15 00:13:32.286048,2025-06-15 00:13:33.499305,0 days 00:00:01.213257,950,0.005,1m,2.0,3.0,1.8,664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,0.006,1m,1.5,1.0,1.0,456,,,,,,,,0.15000000000000002,1,COMPLETE
55,55,-0.5202848385369976,2025-06-15 00:13:33.561598,2025-06-15 00:13:35.027469,0 days 00:00:01.465871,796,0.004,1m,2.0,3.0,1.8,794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306,0.008,1m,4.0,1.0,0.7,300,,,,,,,,0.2,1,COMPLETE
56,56,-0.23476911054744212,2025-06-15 00:13:35.108760,2025-06-15 00:13:37.106300,0 days 00:00:01.997540,912,0.005,1m,2.0,2.5,1.7000000000000002,700,,,,,,,,,,,,,,,,,,,,,,828.0,0.005,2m,2.5,2.0,0.6,268.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,0.006,1m,4.0,2.0,1.0,428,,,,,,,,0.15000000000000002,2,COMPLETE
57,57,0.2756109015318293,2025-06-15 00:13:37.186348,2025-06-15 00:13:39.780773,0 days 00:00:02.594425,1004,0.006,1m,1.5,2.5,2.0,930,,,,,,,,,,,,,,,,,,,,,,556.0,0.01,2m,2.0,2.5,1.8,382.0,754.0,0.004,4m,2.0,2.5,0.8,98.0,,,,,,,,,,,,,,,,,,,,,,16,0.007,1m,4.0,1.5,1.7000000000000002,564,,,,,,,,0.05,3,COMPLETE
58,58,2.845329265161568,2025-06-15 00:13:39.866183,2025-06-15 00:13:41.969761,0 days 00:00:02.103578,884,0.003,1m,1.5,1.5,1.9000000000000001,872,,,,,,,,,,,,,,,,,,,,,,500.0,0.006,4m,1.5,2.0,0.5,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,0.006,1m,2.5,1.0,0.8,382,,,,,,,,0.1,2,COMPLETE
59,59,-7.182285459984035,2025-06-15 00:13:42.068992,2025-06-15 00:13:43.515067,0 days 00:00:01.446075,754,0.006,1m,2.5,3.5,1.7000000000000002,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,0.008,1m,1.5,1.5,1.9000000000000001,344,,,,,,,,0.2,1,COMPLETE
60,60,5.257943973795301,2025-06-15 00:13:43.581409,2025-06-15 00:13:45.107742,0 days 00:00:01.526333,974,0.005,1m,2.0,3.0,2.0,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,0.005,1m,4.0,1.0,1.3,484,,,,,,,,0.1,1,COMPLETE
61,61,5.220791625166682,2025-06-15 00:13:45.178253,2025-06-15 00:13:46.576545,0 days 00:00:01.398292,974,0.005,1m,2.0,3.0,2.0,628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,0.005,1m,4.0,2.0,1.5,496,,,,,,,,0.1,1,COMPLETE
62,62,3.459486398977641,2025-06-15 00:13:46.671781,2025-06-15 00:13:49.513188,0 days 00:00:02.841407,984,0.005,1m,2.0,3.0,2.0,626,,,,,,,,,,,,,,,,,,,,,,648.0,0.005,2m,3.0,2.0,1.5,312.0,946.0,0.001,3m,2.5,3.0,0.5,158.0,,,,,,,,,,,,,,,,,,,,,,188,0.005,1m,4.0,2.0,1.5,488,,,,,,,,0.1,3,COMPLETE
63,63,-1.0600150853034427,2025-06-15 00:13:49.584201,2025-06-15 00:13:52.878402,0 days 00:00:03.294201,826,0.004,1m,1.5,3.0,1.9000000000000001,792,,,,,,,,84.0,0.008,4m,1.0,3.5,2.0,628.0,,,,,,,,780.0,0.009000000000000001,2m,2.5,3.5,0.8,496.0,338.0,0.01,2m,2.0,2.0,0.6,346.0,,,,,,,,,,,,,,,,,,,,,,230,0.005,1m,4.0,1.5,1.3,544,,,,,,,,0.05,4,COMPLETE
64,64,5.1131555136276505,2025-06-15 00:13:52.946026,2025-06-15 00:13:54.326167,0 days 00:00:01.380141,1020,0.007,1m,2.0,2.5,2.0,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,0.005,1m,4.0,2.0,1.6,592,,,,,,,,0.1,1,COMPLETE
65,65,4.1706656227802625,2025-06-15 00:13:54.395083,2025-06-15 00:13:55.928680,0 days 00:00:01.533597,1014,0.007,1m,2.0,2.5,2.0,714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,0.004,1m,4.0,2.0,1.6,586,,,,,,,,0.1,1,COMPLETE
66,66,0.6414048806258904,2025-06-15 00:13:56.048573,2025-06-15 00:13:57.633676,0 days 00:00:01.585103,924,0.006,1m,1.5,2.0,1.9000000000000001,642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,0.005,1m,4.0,2.0,1.4,626,,,,,,,,0.05,1,COMPLETE
67,67,9.369126162988122,2025-06-15 00:13:57.699192,2025-06-15 00:13:59.726306,0 days 00:00:02.027114,974,0.005,1m,2.0,2.5,0.5,752,,,,,,,,,,,,,,,,,,,,,,1016.0,0.003,4m,2.0,1.5,0.7,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,0.006,1m,3.5,2.0,1.5,476,,,,,,,,0.15000000000000002,2,COMPLETE
68,68,10.861576079278535,2025-06-15 00:13:59.793476,2025-06-15 00:14:01.750438,0 days 00:00:01.956962,970,0.007,1m,2.0,2.0,0.6,756,,,,,,,,,,,,,,,,,,,,,,992.0,0.004,4m,1.5,1.5,0.7,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,0.006,1m,3.5,2.0,1.5,468,,,,,,,,0.15000000000000002,2,COMPLETE
69,69,6.1215133273181195,2025-06-15 00:14:01.820193,2025-06-15 00:14:03.919505,0 days 00:00:02.099312,870,0.006,1m,2.0,2.5,0.5,752,,,,,,,,,,,,,,,,,,,,,,1016.0,0.004,4m,1.0,1.5,0.6,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,0.007,1m,3.5,2.0,1.5,520,,,,,,,,0.15000000000000002,2,COMPLETE
70,70,9.754281918008937,2025-06-15 00:14:04.006789,2025-06-15 00:14:06.119184,0 days 00:00:02.112395,966,0.006,1m,2.0,1.5,0.5,768,,,,,,,,,,,,,,,,,,,,,,996.0,0.003,4m,1.0,4.0,0.6,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,0.007,1m,3.5,2.0,1.5,508,,,,,,,,0.1,2,COMPLETE
71,71,8.843138860756664,2025-06-15 00:14:06.182996,2025-06-15 00:14:07.992414,0 days 00:00:01.809418,976,0.006,1m,2.0,1.5,0.5,756,,,,,,,,,,,,,,,,,,,,,,1024.0,0.003,4m,1.0,4.0,0.6,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,0.007,1m,3.5,2.0,1.5,492,,,,,,,,0.1,2,COMPLETE
72,72,9.481723569212965,2025-06-15 00:14:08.065478,2025-06-15 00:14:10.008129,0 days 00:00:01.942651,968,0.006,1m,2.0,1.5,0.5,812,,,,,,,,,,,,,,,,,,,,,,1010.0,0.003,4m,1.0,4.0,0.6,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,0.007,1m,3.5,2.0,1.5,514,,,,,,,,0.1,2,COMPLETE
73,73,8.13725077625493,2025-06-15 00:14:10.097438,2025-06-15 00:14:13.015684,0 days 00:00:02.918246,960,0.006,1m,2.0,1.5,0.5,770,,,,,,,,,,,,,,,,,,,,,,1024.0,0.003,4m,1.0,4.0,0.6,40.0,940.0,0.003,3m,1.0,1.0,0.7,290.0,,,,,,,,,,,,,,,,,,,,,,154,0.007,1m,3.5,2.0,1.5,508,,,,,,,,0.1,3,COMPLETE
74,74,7.292781771779363,2025-06-15 00:14:13.081603,2025-06-15 00:14:14.917201,0 days 00:00:01.835598,872,0.006,1m,2.0,1.5,0.5,758,,,,,,,,,,,,,,,,,,,,,,1020.0,0.003,4m,1.0,4.0,0.6,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,0.007,1m,3.5,2.5,1.5,534,,,,,,,,0.05,2,COMPLETE
75,75,9.207795630883737,2025-06-15 00:14:15.021413,2025-06-15 00:14:17.666701,0 days 00:00:02.645288,866,0.006,1m,1.5,1.5,0.5,762,,,,,,,,,,,,,,,,,,,,,,1018.0,0.003,4m,1.0,4.0,0.6,42.0,952.0,0.003,3m,1.0,1.0,0.7,46.0,,,,,,,,,,,,,,,,,,,,,,276,0.007,1m,3.5,2.5,1.5,526,,,,,,,,0.05,3,COMPLETE
76,76,7.046930662928779,2025-06-15 00:14:17.737256,2025-06-15 00:14:20.444226,0 days 00:00:02.706970,918,0.006,1m,1.5,1.5,0.6,824,,,,,,,,,,,,,,,,,,,,,,960.0,0.003,4m,1.0,4.0,0.7,52.0,950.0,0.003,3m,1.0,1.0,0.7,30.0,,,,,,,,,,,,,,,,,,,,,,274,0.008,1m,3.5,2.5,1.4,464,,,,,,,,0.05,3,COMPLETE
77,77,11.078292783697648,2025-06-15 00:14:20.530547,2025-06-15 00:14:23.385036,0 days 00:00:02.854489,848,0.006,1m,1.0,1.5,0.6,782,,,,,,,,,,,,,,,,,,,,,,964.0,0.003,4m,1.0,4.0,0.6,130.0,836.0,0.002,3m,1.5,1.0,0.9,254.0,,,,,,,,,,,,,,,,,,,,,,212,0.007,1m,3.0,2.5,1.7000000000000002,536,,,,,,,,0.05,3,COMPLETE
78,78,5.358278729664173,2025-06-15 00:14:23.475649,2025-06-15 00:14:26.160348,0 days 00:00:02.684699,950,0.006,2m,1.0,1.5,0.6,794,,,,,,,,,,,,,,,,,,,,,,960.0,0.003,4m,1.5,4.0,0.7,142.0,860.0,0.002,3m,1.5,1.0,0.9,256.0,,,,,,,,,,,,,,,,,,,,,,204,0.007,1m,3.0,2.5,1.7000000000000002,650,,,,,,,,0.05,3,COMPLETE
79,79,8.907119363417733,2025-06-15 00:14:26.236354,2025-06-15 00:14:28.873602,0 days 00:00:02.637248,838,0.006,3m,1.0,2.0,0.7,964,,,,,,,,,,,,,,,,,,,,,,960.0,0.003,4m,1.0,4.0,0.6,18.0,956.0,0.001,3m,1.5,1.5,0.7,60.0,,,,,,,,,,,,,,,,,,,,,,352,0.008,1m,3.0,2.0,1.6,572,,,,,,,,0.05,3,COMPLETE
80,80,5.485803378287879,2025-06-15 00:14:28.953165,2025-06-15 00:14:31.185122,0 days 00:00:02.231957,840,0.005,3m,1.0,2.0,0.7,1020,,,,,,,,,,,,,,,,,,,,,,916.0,0.004,4m,1.5,4.0,0.5,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,0.008,1m,3.0,2.5,1.6,686,,,,,,,,0.05,2,COMPLETE
