,number,value,datetime_start,datetime_complete,duration,params_ALXN_BIIB_beta_win,params_ALXN_BIIB_stop_loss,params_ALXN_BIIB_trade_freq,params_ALXN_BIIB_z_entry,params_ALXN_BIIB_z_exit,params_ALXN_BIIB_z_stop_scaler,params_ALXN_BIIB_z_win,params_AMD_DLTR_beta_win,params_AMD_DLTR_stop_loss,params_AMD_DLTR_trade_freq,params_AMD_DLTR_z_entry,params_AMD_DLTR_z_exit,params_AMD_DLTR_z_stop_scaler,params_AMD_DLTR_z_win,params_ANSS_DOCU_beta_win,params_ANSS_DOCU_stop_loss,params_ANSS_DOCU_trade_freq,params_ANSS_DOCU_z_entry,params_ANSS_DOCU_z_exit,params_ANSS_DOCU_z_stop_scaler,params_ANSS_DOCU_z_win,params_CDW_NVDA_beta_win,params_CDW_NVDA_stop_loss,params_CDW_NVDA_trade_freq,params_CDW_NVDA_z_entry,params_CDW_NVDA_z_exit,params_CDW_NVDA_z_stop_scaler,params_CDW_NVDA_z_win,params_CMCSA_REGN_beta_win,params_CMCSA_REGN_stop_loss,params_CMCSA_REGN_trade_freq,params_CMCSA_REGN_z_entry,params_CMCSA_REGN_z_exit,params_CMCSA_REGN_z_stop_scaler,params_CMCSA_REGN_z_win,params_CSCO_MNST_beta_win,params_CSCO_MNST_stop_loss,params_CSCO_MNST_trade_freq,params_CSCO_MNST_z_entry,params_CSCO_MNST_z_exit,params_CSCO_MNST_z_stop_scaler,params_CSCO_MNST_z_win,params_CSCO_SBUX_beta_win,params_CSCO_SBUX_stop_loss,params_CSCO_SBUX_trade_freq,params_CSCO_SBUX_z_entry,params_CSCO_SBUX_z_exit,params_CSCO_SBUX_z_stop_scaler,params_CSCO_SBUX_z_win,params_CSCO_TSLA_beta_win,params_CSCO_TSLA_stop_loss,params_CSCO_TSLA_trade_freq,params_CSCO_TSLA_z_entry,params_CSCO_TSLA_z_exit,params_CSCO_TSLA_z_stop_scaler,params_CSCO_TSLA_z_win,params_CSCO_XEL_beta_win,params_CSCO_XEL_stop_loss,params_CSCO_XEL_trade_freq,params_CSCO_XEL_z_entry,params_CSCO_XEL_z_exit,params_CSCO_XEL_z_stop_scaler,params_CSCO_XEL_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_NXPI_TXN_beta_win,params_NXPI_TXN_stop_loss,params_NXPI_TXN_trade_freq,params_NXPI_TXN_z_entry,params_NXPI_TXN_z_exit,params_NXPI_TXN_z_stop_scaler,params_NXPI_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,0.36142587498499856,2025-06-15 00:10:05.437652,2025-06-15 00:10:11.336208,0 days 00:00:05.898556,780,0.005,1m,3.5,1.0,2.0,998,450.0,0.005,1m,2.0,1.5,1.5,570.0,52.0,0.01,3m,1.0,1.5,0.6,48.0,142.0,0.004,1m,1.5,3.5,1.0,1018.0,234.0,0.001,4m,4.0,2.0,0.6,178.0,18.0,0.001,1m,4.0,1.0,2.0,996.0,310.0,0.001,3m,2.0,4.0,1.6,900.0,614.0,0.006,4m,1.0,4.0,1.4,34.0,358.0,0.001,2m,2.5,1.5,1.1,562.0,32,0.001,1m,4.0,4.0,2.0,384,914.0,0.001,3m,4.0,1.0,0.5,1022.0,0.2,10,COMPLETE
11,11,3.048987925138933,2025-06-15 00:10:11.390867,2025-06-15 00:10:16.905367,0 days 00:00:05.514500,982,0.007,4m,2.5,3.0,1.9000000000000001,990,926.0,0.005,1m,4.0,1.5,1.6,92.0,614.0,0.001,3m,4.0,2.5,2.0,982.0,310.0,0.008,1m,4.0,4.0,1.9000000000000001,780.0,360.0,0.01,2m,3.5,2.0,0.9,296.0,156.0,0.009000000000000001,4m,3.0,4.0,2.0,796.0,992.0,0.001,2m,4.0,3.0,1.0,660.0,102.0,0.006,1m,2.0,4.0,1.4,958.0,868.0,0.003,2m,3.5,1.5,0.5,920.0,880,0.008,4m,1.0,4.0,1.6,638,618.0,0.008,3m,1.0,1.0,0.5,40.0,0.3,10,COMPLETE
12,12,3.258853539050078,2025-06-15 00:10:16.989048,2025-06-15 00:10:22.176768,0 days 00:00:05.187720,804,0.008,1m,3.0,2.5,1.6,44,,,,,,,,876.0,0.002,4m,3.5,2.0,1.0,452.0,,,,,,,,382.0,0.008,1m,3.0,2.5,0.9,220.0,316.0,0.003,2m,4.0,3.0,1.6,716.0,650.0,0.005,1m,1.0,2.5,1.9000000000000001,428.0,510.0,0.003,3m,4.0,3.0,0.5,276.0,24.0,0.009000000000000001,3m,1.0,4.0,1.9000000000000001,56.0,1000,0.007,4m,2.5,3.5,1.6,82,56.0,0.005,2m,4.0,2.5,1.1,538.0,0.2,8,COMPLETE
13,13,-1.6466462114597717,2025-06-15 00:10:22.291716,2025-06-15 00:10:28.132754,0 days 00:00:05.841038,776,0.006,4m,2.0,3.5,1.6,822,,,,,,,,292.0,0.01,1m,1.5,1.0,0.5,220.0,,,,,,,,32.0,0.005,4m,4.0,2.5,0.5,22.0,306.0,0.001,1m,2.5,1.0,0.5,980.0,64.0,0.005,4m,2.5,3.0,1.1,58.0,474.0,0.008,3m,2.0,1.0,1.7000000000000002,888.0,476.0,0.006,1m,2.0,3.0,1.2000000000000002,496.0,606,0.01,4m,3.0,3.5,1.8,388,932.0,0.007,3m,3.0,4.0,2.0,254.0,0.2,8,COMPLETE
14,14,-2.8833610659397717,2025-06-15 00:10:28.215895,2025-06-15 00:10:29.643508,0 days 00:00:01.427613,374,0.01,1m,3.0,2.0,1.7000000000000002,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020,0.002,2m,3.0,3.5,1.3,740,,,,,,,,0.05,1,COMPLETE
15,15,4.639370316797913,2025-06-15 00:10:29.739662,2025-06-15 00:10:35.797806,0 days 00:00:06.058144,1024,0.005,4m,2.0,3.5,1.4,356,,,,,,,,726.0,0.003,3m,3.5,2.0,1.0,582.0,1002.0,0.001,3m,1.0,1.0,0.5,132.0,442.0,0.01,2m,3.0,1.5,1.1,420.0,28.0,0.008,1m,3.0,3.0,1.7000000000000002,388.0,530.0,0.003,3m,4.0,1.0,1.4,704.0,1014.0,0.004,4m,3.0,2.0,1.0,762.0,818.0,0.001,4m,4.0,1.0,0.7,546.0,514,0.004,4m,4.0,4.0,1.0,484,370.0,0.002,1m,1.5,2.0,0.8,890.0,0.3,9,COMPLETE
16,16,3.17452088246974,2025-06-15 00:10:35.905445,2025-06-15 00:10:42.115300,0 days 00:00:06.209855,998,0.004,4m,2.0,3.5,1.4,850,,,,,,,,758.0,0.003,3m,3.5,2.0,1.0,614.0,1006.0,0.001,3m,1.0,1.0,0.5,60.0,394.0,0.005,2m,3.5,1.5,0.7,364.0,36.0,0.008,1m,3.0,3.0,1.7000000000000002,354.0,504.0,0.003,3m,4.0,1.0,1.4,710.0,998.0,0.004,4m,3.0,2.0,0.9,720.0,926.0,0.001,4m,4.0,1.0,0.7,564.0,506,0.005,2m,4.0,4.0,1.0,442,410.0,0.001,1m,1.5,2.0,0.8,926.0,0.25,9,COMPLETE
17,17,-0.4535228067486381,2025-06-15 00:10:42.199390,2025-06-15 00:10:48.515223,0 days 00:00:06.315833,670,0.005,1m,1.5,2.0,1.4,656,,,,,,,,460.0,0.004,3m,3.5,2.0,0.8,810.0,794.0,0.001,3m,2.0,1.0,0.5,198.0,998.0,0.007,4m,2.5,1.5,1.1,160.0,186.0,0.006,1m,3.0,3.0,1.8,606.0,646.0,0.003,3m,3.0,2.0,0.9,528.0,724.0,0.005,4m,3.0,3.0,1.0,766.0,670.0,0.004,4m,3.0,2.0,0.9,368.0,536,0.004,1m,4.0,1.0,1.0,260,362.0,0.003,1m,3.0,1.5,0.8,762.0,0.15000000000000002,9,COMPLETE
18,18,4.226409314003479,2025-06-15 00:10:48.609455,2025-06-15 00:10:53.673122,0 days 00:00:05.063667,390,0.009000000000000001,4m,3.0,3.5,1.3,128,,,,,,,,768.0,0.004,3m,4.0,1.5,1.1,508.0,,,,,,,,260.0,0.001,1m,3.5,1.0,1.2000000000000002,690.0,152.0,0.008,1m,3.5,4.0,1.4,830.0,436.0,0.003,3m,2.0,4.0,1.5,1018.0,1002.0,0.001,1m,3.0,2.0,1.1,498.0,,,,,,,,716,0.003,4m,3.5,3.0,1.1,46,726.0,0.003,2m,2.0,3.0,1.5,336.0,0.3,7,COMPLETE
19,19,0.42986800631404504,2025-06-15 00:10:53.777579,2025-06-15 00:11:00.648829,0 days 00:00:06.871250,846,0.006,1m,1.5,3.0,1.7000000000000002,828,40.0,0.01,4m,1.0,4.0,0.5,1018.0,698.0,0.008,3m,3.0,2.5,1.3,336.0,496.0,0.004,4m,1.0,2.5,1.1,430.0,460.0,0.01,3m,3.0,2.0,0.8,424.0,436.0,0.005,1m,2.0,2.5,1.8,528.0,824.0,0.008,1m,3.0,1.0,1.8,750.0,286.0,0.008,4m,1.5,3.5,0.6,380.0,258.0,0.001,4m,2.0,1.0,1.5,810.0,472,0.004,2m,2.0,3.0,1.4,268,206.0,0.007,4m,1.0,1.5,0.8,742.0,0.25,10,COMPLETE
