,number,value,datetime_start,datetime_complete,duration,params_ABNB_EBAY_beta_win,params_ABNB_EBAY_stop_loss,params_ABNB_EBAY_trade_freq,params_ABNB_EBAY_z_entry,params_ABNB_EBAY_z_exit,params_ABNB_EBAY_z_stop_scaler,params_ABNB_EBAY_z_win,params_ADSK_PCAR_beta_win,params_ADSK_PCAR_stop_loss,params_ADSK_PCAR_trade_freq,params_ADSK_PCAR_z_entry,params_ADSK_PCAR_z_exit,params_ADSK_PCAR_z_stop_scaler,params_ADSK_PCAR_z_win,params_ALGN_IDXX_beta_win,params_ALGN_IDXX_stop_loss,params_ALGN_IDXX_trade_freq,params_ALGN_IDXX_z_entry,params_ALGN_IDXX_z_exit,params_ALGN_IDXX_z_stop_scaler,params_ALGN_IDXX_z_win,params_ALGN_ISRG_beta_win,params_ALGN_ISRG_stop_loss,params_ALGN_ISRG_trade_freq,params_ALGN_ISRG_z_entry,params_ALGN_ISRG_z_exit,params_ALGN_ISRG_z_stop_scaler,params_ALGN_ISRG_z_win,params_AMD_LRCX_beta_win,params_AMD_LRCX_stop_loss,params_AMD_LRCX_trade_freq,params_AMD_LRCX_z_entry,params_AMD_LRCX_z_exit,params_AMD_LRCX_z_stop_scaler,params_AMD_LRCX_z_win,params_CSCO_WDAY_beta_win,params_CSCO_WDAY_stop_loss,params_CSCO_WDAY_trade_freq,params_CSCO_WDAY_z_entry,params_CSCO_WDAY_z_exit,params_CSCO_WDAY_z_stop_scaler,params_CSCO_WDAY_z_win,params_EBAY_ISRG_beta_win,params_EBAY_ISRG_stop_loss,params_EBAY_ISRG_trade_freq,params_EBAY_ISRG_z_entry,params_EBAY_ISRG_z_exit,params_EBAY_ISRG_z_stop_scaler,params_EBAY_ISRG_z_win,params_EBAY_SPLK_beta_win,params_EBAY_SPLK_stop_loss,params_EBAY_SPLK_trade_freq,params_EBAY_SPLK_z_entry,params_EBAY_SPLK_z_exit,params_EBAY_SPLK_z_stop_scaler,params_EBAY_SPLK_z_win,params_EBAY_SWKS_beta_win,params_EBAY_SWKS_stop_loss,params_EBAY_SWKS_trade_freq,params_EBAY_SWKS_z_entry,params_EBAY_SWKS_z_exit,params_EBAY_SWKS_z_stop_scaler,params_EBAY_SWKS_z_win,params_TSLA_VRSK_beta_win,params_TSLA_VRSK_stop_loss,params_TSLA_VRSK_trade_freq,params_TSLA_VRSK_z_entry,params_TSLA_VRSK_z_exit,params_TSLA_VRSK_z_stop_scaler,params_TSLA_VRSK_z_win,params_buffer_capital,params_pairs_to_trade,state
35,35,0.3439343088351339,2025-06-15 01:01:20.207060,2025-06-15 01:01:23.897795,0 days 00:00:03.690735,522.0,0.009000000000000001,3m,1.5,2.0,1.6,508.0,494.0,0.003,2m,3.5,1.5,0.6,160.0,836.0,0.002,2m,1.0,4.0,1.2000000000000002,708.0,64.0,0.006,3m,1.0,2.5,1.3,1004.0,380.0,0.007,2m,1.5,1.5,1.7000000000000002,42.0,228,0.008,4m,4.0,2.0,1.4,210,26.0,0.01,1m,3.0,1.5,1.5,300.0,150.0,0.009000000000000001,1m,3.0,2.0,1.6,878.0,,,,,,,,,,,,,,,0.3,8,COMPLETE
36,36,1.06407173797543,2025-06-15 01:01:23.948795,2025-06-15 01:01:26.355585,0 days 00:00:02.406790,252.0,0.01,2m,2.0,1.5,2.0,372.0,,,,,,,,546.0,0.004,3m,1.5,2.0,1.4,494.0,,,,,,,,548.0,0.005,3m,2.0,2.5,2.0,800.0,338,0.001,2m,2.5,1.5,1.0,776,,,,,,,,264.0,0.007,3m,4.0,2.5,1.4,962.0,,,,,,,,,,,,,,,0.5,5,COMPLETE
37,37,-2.462050767161039,2025-06-15 01:01:26.444113,2025-06-15 01:01:29.805639,0 days 00:00:03.361526,382.0,0.004,1m,3.5,1.0,1.7000000000000002,286.0,166.0,0.006,2m,3.0,2.0,1.1,290.0,308.0,0.003,4m,2.0,3.0,1.1,346.0,,,,,,,,706.0,0.009000000000000001,1m,3.0,1.5,0.8,616.0,388,0.007,1m,3.0,2.5,0.7,672,286.0,0.003,2m,2.5,3.0,0.5,316.0,342.0,0.009000000000000001,4m,3.5,3.0,1.3,728.0,,,,,,,,,,,,,,,0.2,7,COMPLETE
38,38,2.4971933108118813,2025-06-15 01:01:29.903163,2025-06-15 01:01:31.812434,0 days 00:00:01.909271,308.0,0.007,3m,3.0,2.5,1.9000000000000001,474.0,,,,,,,,148.0,0.001,3m,1.0,4.0,1.7000000000000002,614.0,,,,,,,,,,,,,,,476,0.009000000000000001,4m,2.0,4.0,0.9,582,,,,,,,,436.0,0.006,3m,4.0,2.0,1.0,562.0,,,,,,,,,,,,,,,0.25,4,COMPLETE
39,39,3.31313824139422,2025-06-15 01:01:31.888447,2025-06-15 01:01:34.264808,0 days 00:00:02.376361,98.0,0.006,3m,2.0,2.0,1.6,662.0,,,,,,,,474.0,0.005,2m,3.5,3.5,0.9,154.0,,,,,,,,342.0,0.007,1m,1.0,3.5,1.4,1008.0,430,0.004,1m,1.5,1.0,1.3,368,,,,,,,,548.0,0.007,4m,3.0,1.5,0.6,260.0,,,,,,,,,,,,,,,0.35000000000000003,5,COMPLETE
40,40,-1.2114303278546759,2025-06-15 01:01:34.342845,2025-06-15 01:01:35.937605,0 days 00:00:01.594760,194.0,0.008,4m,1.5,1.5,1.3,578.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,692,0.003,3m,1.0,1.5,0.8,470,,,,,,,,226.0,0.005,1m,3.5,3.0,1.7000000000000002,690.0,,,,,,,,,,,,,,,0.45,3,COMPLETE
41,41,8.973020593483819,2025-06-15 01:01:36.010117,2025-06-15 01:01:37.961900,0 days 00:00:01.951783,454.0,0.005,4m,1.5,4.0,1.7000000000000002,180.0,,,,,,,,424.0,0.003,2m,1.5,2.5,1.5,480.0,,,,,,,,,,,,,,,486,0.008,2m,3.0,1.0,1.1,886,,,,,,,,388.0,0.006,3m,3.0,1.5,1.3,728.0,,,,,,,,,,,,,,,0.4,4,COMPLETE
42,42,5.122695488385401,2025-06-15 01:01:38.048419,2025-06-15 01:01:40.939107,0 days 00:00:02.890688,504.0,0.004,4m,1.0,4.0,2.0,66.0,530.0,0.004,1m,2.5,1.0,0.7,576.0,674.0,0.002,2m,1.5,2.5,1.4,420.0,,,,,,,,150.0,0.009000000000000001,3m,2.5,2.0,0.6,170.0,554,0.008,2m,3.0,1.0,1.2000000000000002,956,,,,,,,,360.0,0.007,3m,2.5,1.0,1.3,808.0,,,,,,,,,,,,,,,0.4,6,COMPLETE
43,43,8.507171315207009,2025-06-15 01:01:41.020626,2025-06-15 01:01:43.078651,0 days 00:00:02.058025,628.0,0.005,4m,1.5,3.5,1.8,104.0,,,,,,,,400.0,0.003,2m,2.0,1.0,1.5,546.0,,,,,,,,,,,,,,,602,0.008,2m,3.5,1.0,1.1,840,,,,,,,,302.0,0.004,3m,3.0,1.5,1.6,624.0,,,,,,,,,,,,,,,0.3,4,COMPLETE
44,44,4.55985757282051,2025-06-15 01:01:43.153164,2025-06-15 01:01:45.077346,0 days 00:00:01.924182,694.0,0.006,4m,1.5,3.5,1.8,176.0,,,,,,,,160.0,0.005,2m,2.0,1.0,1.6,540.0,,,,,,,,,,,,,,,614,0.008,2m,4.0,3.5,1.1,854,,,,,,,,294.0,0.004,3m,3.0,1.5,1.6,482.0,,,,,,,,,,,,,,,0.3,4,COMPLETE
45,45,-0.5250838757751444,2025-06-15 01:01:45.161861,2025-06-15 01:01:46.611124,0 days 00:00:01.449263,632.0,0.005,4m,2.0,4.0,1.7000000000000002,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306,0.009000000000000001,2m,3.5,1.0,1.4,780,,,,,,,,176.0,0.004,3m,2.5,1.0,1.8,564.0,,,,,,,,,,,,,,,0.45,3,COMPLETE
46,46,8.300303160679375,2025-06-15 01:01:46.703642,2025-06-15 01:01:48.692436,0 days 00:00:01.988794,550.0,0.003,4m,1.5,3.5,1.9000000000000001,234.0,,,,,,,,406.0,0.003,2m,2.5,1.5,1.6,772.0,,,,,,,,,,,,,,,762,0.007,2m,3.5,1.0,2.0,736,,,,,,,,1002.0,0.005,3m,2.0,1.5,2.0,652.0,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
47,47,-0.0005863073723254022,2025-06-15 01:01:48.772946,2025-06-15 01:01:51.194214,0 days 00:00:02.421268,748.0,0.002,4m,2.5,3.5,1.5,400.0,,,,,,,,400.0,0.004,2m,2.5,1.5,1.8,292.0,,,,,,,,976.0,0.002,2m,4.0,1.0,1.1,370.0,870,0.01,2m,3.5,1.0,1.8,726,,,,,,,,990.0,0.003,4m,2.0,1.5,1.9000000000000001,630.0,,,,,,,,,,,,,,,0.15000000000000002,5,COMPLETE
48,48,-3.8624445623234895,2025-06-15 01:01:51.270722,2025-06-15 01:01:52.776044,0 days 00:00:01.505322,880.0,0.003,4m,2.0,4.0,1.2000000000000002,314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,920,0.009000000000000001,2m,4.0,1.0,1.8,676,,,,,,,,880.0,0.005,2m,1.5,1.0,2.0,468.0,,,,,,,,,,,,,,,0.1,3,COMPLETE
49,49,0.4697186378517868,2025-06-15 01:01:52.844087,2025-06-15 01:01:57.361720,0 days 00:00:04.517633,570.0,0.003,4m,2.5,3.0,1.4,228.0,250.0,0.008,4m,1.5,3.0,2.0,940.0,472.0,0.007,2m,3.0,1.0,1.5,632.0,1008.0,0.01,3m,4.0,2.5,2.0,26.0,822.0,0.005,4m,3.5,1.5,1.3,132.0,828,0.006,2m,3.5,1.0,2.0,574,770.0,0.008,3m,1.0,3.5,1.0,814.0,692.0,0.004,3m,2.0,1.5,2.0,558.0,964.0,0.001,3m,1.0,4.0,2.0,936.0,860.0,0.005,1m,1.0,1.0,1.5,936.0,0.15000000000000002,10,COMPLETE
50,50,0.3361911944687835,2025-06-15 01:01:57.426233,2025-06-15 01:01:58.385904,0 days 00:00:00.959671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,752,0.009000000000000001,2m,4.0,1.5,1.5,266,,,,,,,,940.0,0.004,3m,1.5,1.5,0.9,662.0,,,,,,,,,,,,,,,0.2,2,COMPLETE
51,51,3.2996635648819237,2025-06-15 01:01:58.471413,2025-06-15 01:02:00.473334,0 days 00:00:02.001921,554.0,0.001,4m,1.5,3.5,1.9000000000000001,202.0,,,,,,,,326.0,0.003,2m,2.5,1.5,1.6,778.0,,,,,,,,,,,,,,,644,0.007,2m,3.5,1.0,1.2000000000000002,838,,,,,,,,496.0,0.006,3m,2.5,2.0,1.5,610.0,,,,,,,,,,,,,,,0.3,4,COMPLETE
52,52,3.604706825757689,2025-06-15 01:02:00.540851,2025-06-15 01:02:02.465831,0 days 00:00:01.924980,472.0,0.004,4m,1.5,3.5,1.8,134.0,,,,,,,,246.0,0.003,2m,2.5,1.0,1.3,950.0,,,,,,,,,,,,,,,1008,0.007,2m,3.5,1.0,1.1,798,,,,,,,,598.0,0.005,3m,2.5,1.5,1.8,730.0,,,,,,,,,,,,,,,0.1,4,COMPLETE
53,53,0.5332128759823352,2025-06-15 01:02:02.541347,2025-06-15 01:02:03.994707,0 days 00:00:01.453360,386.0,0.005,2m,1.5,3.0,1.9000000000000001,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422,0.008,2m,3.0,1.0,1.0,752,,,,,,,,402.0,0.006,3m,3.0,2.5,1.1,132.0,,,,,,,,,,,,,,,0.4,3,COMPLETE
54,54,4.707936237801814,2025-06-15 01:02:04.105238,2025-06-15 01:02:06.093570,0 days 00:00:01.988332,626.0,0.003,1m,2.0,4.0,2.0,240.0,,,,,,,,412.0,0.004,2m,2.0,1.5,1.8,818.0,,,,,,,,,,,,,,,500,0.007,3m,3.0,1.5,0.9,918,,,,,,,,770.0,0.002,2m,2.0,3.5,1.6,516.0,,,,,,,,,,,,,,,0.05,4,COMPLETE
55,55,1.2884322735585025,2025-06-15 01:02:06.178097,2025-06-15 01:02:08.449293,0 days 00:00:02.271196,712.0,0.006,4m,1.5,3.5,1.6,18.0,,,,,,,,210.0,0.006,1m,1.5,1.0,1.5,656.0,,,,,,,,1024.0,0.004,3m,3.5,2.0,0.9,250.0,594,0.006,2m,3.5,1.0,1.2000000000000002,858,,,,,,,,320.0,0.005,3m,3.0,2.0,1.2000000000000002,684.0,,,,,,,,,,,,,,,0.35000000000000003,5,COMPLETE
56,56,0.4969543942346705,2025-06-15 01:02:08.535816,2025-06-15 01:02:10.611683,0 days 00:00:02.075867,412.0,0.007,4m,1.0,4.0,1.0,1008.0,,,,,,,,332.0,0.003,2m,2.0,2.0,1.6,748.0,,,,,,,,,,,,,,,674,0.008,2m,3.0,3.0,0.8,686,,,,,,,,224.0,0.007,3m,3.5,1.0,1.5,764.0,,,,,,,,,,,,,,,0.25,4,COMPLETE
57,57,-1.6609610373751689,2025-06-15 01:02:10.688688,2025-06-15 01:02:13.026504,0 days 00:00:02.337816,352.0,0.004,2m,1.5,3.0,1.7000000000000002,834.0,,,,,,,,64.0,0.005,1m,3.0,1.5,1.4,534.0,,,,,,,,638.0,0.006,3m,3.0,2.5,1.5,546.0,244,0.005,4m,2.5,1.0,1.3,628,,,,,,,,534.0,0.01,3m,3.0,2.0,0.9,866.0,,,,,,,,,,,,,,,0.45,5,COMPLETE
58,58,0.5007731026224412,2025-06-15 01:02:13.098506,2025-06-15 01:02:13.662110,0 days 00:00:00.563604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734,0.01,3m,3.5,1.5,1.0,878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
59,59,-6.645185517980305,2025-06-15 01:02:13.720647,2025-06-15 01:02:14.700031,0 days 00:00:00.979384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,0.009000000000000001,2m,4.0,1.0,1.1,812,,,,,,,,436.0,0.003,1m,2.0,1.5,1.7000000000000002,572.0,,,,,,,,,,,,,,,0.4,2,COMPLETE
60,60,0.2979275507972253,2025-06-15 01:02:14.777249,2025-06-15 01:02:16.309972,0 days 00:00:01.532723,596.0,0.005,1m,2.0,3.0,1.8,424.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,0.006,1m,2.5,1.5,0.9,722,,,,,,,,466.0,0.007,3m,3.0,2.0,0.8,638.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
61,61,6.207825417261376,2025-06-15 01:02:16.415017,2025-06-15 01:02:19.161472,0 days 00:00:02.746455,488.0,0.009000000000000001,3m,1.0,1.0,2.0,82.0,786.0,0.002,3m,3.5,1.5,1.1,94.0,564.0,0.002,2m,1.5,1.0,1.3,392.0,,,,,,,,492.0,0.008,1m,1.5,3.0,1.8,904.0,506,0.007,1m,3.0,1.5,1.0,976,,,,,,,,384.0,0.008,3m,4.0,2.0,1.4,774.0,,,,,,,,,,,,,,,0.35000000000000003,6,COMPLETE
62,62,1.8342795769441682,2025-06-15 01:02:19.211476,2025-06-15 01:02:22.599419,0 days 00:00:03.387943,352.0,0.008,4m,1.0,3.5,1.9000000000000001,54.0,462.0,0.002,2m,4.0,2.0,1.4,278.0,512.0,0.002,2m,1.0,2.0,1.7000000000000002,896.0,,,,,,,,324.0,0.01,1m,2.5,3.5,1.7000000000000002,752.0,384,0.008,1m,3.0,2.0,1.1,930,452.0,0.004,4m,4.0,2.0,1.6,334.0,320.0,0.008,3m,3.5,2.5,1.3,722.0,,,,,,,,,,,,,,,0.35000000000000003,7,COMPLETE
63,63,4.967968904942051,2025-06-15 01:02:22.676932,2025-06-15 01:02:25.262945,0 days 00:00:02.586013,300.0,0.01,3m,1.5,1.0,2.0,150.0,586.0,0.005,1m,3.0,3.0,1.0,402.0,362.0,0.002,4m,1.5,1.5,1.2000000000000002,578.0,,,,,,,,174.0,0.007,4m,1.0,4.0,1.6,644.0,626,0.001,1m,3.5,1.0,1.0,992,,,,,,,,388.0,0.006,3m,4.0,1.5,1.4,914.0,,,,,,,,,,,,,,,0.35000000000000003,6,COMPLETE
64,64,-4.267440688144728,2025-06-15 01:02:25.363972,2025-06-15 01:02:29.415655,0 days 00:00:04.051683,538.0,0.002,3m,1.0,1.5,1.9000000000000001,104.0,352.0,0.004,1m,3.5,1.0,0.7,190.0,628.0,0.001,2m,2.0,4.0,1.5,472.0,76.0,0.003,4m,1.0,3.0,0.9,710.0,110.0,0.009000000000000001,2m,2.0,2.5,1.9000000000000001,112.0,524,0.007,1m,3.0,2.0,1.1,1006,184.0,0.008,1m,2.5,1.0,1.4,810.0,496.0,0.008,3m,2.5,3.0,1.2000000000000002,806.0,,,,,,,,196.0,0.01,2m,4.0,1.0,0.5,44.0,0.3,9,COMPLETE
65,65,-0.23847310578809108,2025-06-15 01:02:29.504666,2025-06-15 01:02:31.470126,0 days 00:00:01.965460,464.0,0.009000000000000001,4m,1.5,4.0,2.0,20.0,,,,,,,,430.0,0.003,1m,1.0,2.5,1.8,262.0,,,,,,,,,,,,,,,356,0.004,1m,3.5,1.0,1.2000000000000002,896,,,,,,,,446.0,0.009000000000000001,3m,4.0,1.5,1.5,608.0,,,,,,,,,,,,,,,0.4,4,COMPLETE
66,66,2.139703805316601,2025-06-15 01:02:31.543643,2025-06-15 01:02:33.649656,0 days 00:00:02.106013,268.0,0.006,3m,1.0,1.0,1.8,724.0,,,,,,,,308.0,0.004,2m,2.5,3.0,1.6,198.0,,,,,,,,424.0,0.008,4m,1.0,3.0,1.2000000000000002,952.0,452,0.005,1m,2.5,1.5,0.9,542,,,,,,,,262.0,0.007,2m,3.5,2.0,1.1,984.0,,,,,,,,,,,,,,,0.35000000000000003,5,COMPLETE
67,67,0.7722546666214984,2025-06-15 01:02:33.732169,2025-06-15 01:02:36.090816,0 days 00:00:02.358647,816.0,0.007,4m,1.5,3.5,1.7000000000000002,198.0,,,,,,,,508.0,0.01,3m,1.5,3.5,1.4,504.0,,,,,,,,222.0,0.01,3m,1.5,3.5,0.7,410.0,584,0.002,1m,3.0,1.5,0.6,758,,,,,,,,560.0,0.003,3m,3.5,2.5,1.3,750.0,,,,,,,,,,,,,,,0.3,5,COMPLETE
68,68,4.289445895900835,2025-06-15 01:02:36.151329,2025-06-15 01:02:39.008868,0 days 00:00:02.857539,330.0,0.001,3m,2.0,1.5,1.9000000000000001,626.0,790.0,0.007,2m,4.0,2.5,0.6,546.0,428.0,0.003,2m,1.0,3.5,1.0,452.0,,,,,,,,608.0,0.006,1m,2.5,2.5,1.5,498.0,410,0.006,2m,3.5,1.0,1.0,816,,,,,,,,356.0,0.008,4m,4.0,2.0,0.7,850.0,,,,,,,,,,,,,,,0.25,6,COMPLETE
69,69,1.976380235895392,2025-06-15 01:02:39.090373,2025-06-15 01:02:42.400237,0 days 00:00:03.309864,428.0,0.005,2m,1.0,1.0,1.8,258.0,166.0,0.002,3m,2.0,1.5,1.5,18.0,562.0,0.009000000000000001,4m,2.0,1.0,1.5,664.0,,,,,,,,514.0,0.004,3m,2.0,4.0,1.1,594.0,534,0.008,4m,3.0,1.0,0.9,18,524.0,0.003,1m,3.0,2.0,0.8,476.0,296.0,0.004,3m,1.5,1.5,1.4,694.0,,,,,,,,,,,,,,,0.4,7,COMPLETE
70,70,2.3775689624570995,2025-06-15 01:02:42.490757,2025-06-15 01:02:43.525419,0 days 00:00:01.034662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476,0.01,1m,2.5,1.5,2.0,954,,,,,,,,404.0,0.006,3m,1.0,2.5,1.6,654.0,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
71,71,9.81672412974866,2025-06-15 01:02:43.590420,2025-06-15 01:02:45.541925,0 days 00:00:01.951505,456.0,0.005,4m,1.5,4.0,0.7,334.0,,,,,,,,372.0,0.003,2m,1.5,2.5,1.6,396.0,,,,,,,,,,,,,,,562,0.006,2m,3.0,1.0,1.1,884,,,,,,,,1020.0,0.006,3m,3.0,1.5,1.3,726.0,,,,,,,,,,,,,,,0.45,4,COMPLETE
72,72,4.400544816573926,2025-06-15 01:02:45.620432,2025-06-15 01:02:47.577281,0 days 00:00:01.956849,202.0,0.004,4m,1.5,4.0,0.8,318.0,,,,,,,,364.0,0.002,2m,1.5,2.5,1.7000000000000002,392.0,,,,,,,,,,,,,,,562,0.007,2m,3.0,1.0,1.1,884,,,,,,,,790.0,0.007,3m,3.0,1.5,1.3,532.0,,,,,,,,,,,,,,,0.45,4,COMPLETE
73,73,2.0837287475718105,2025-06-15 01:02:47.637765,2025-06-15 01:02:49.128571,0 days 00:00:01.490806,396.0,0.004,4m,1.5,4.0,0.6,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666,0.007,2m,3.0,1.0,1.3,974,,,,,,,,966.0,0.006,3m,2.5,1.0,1.2000000000000002,716.0,,,,,,,,,,,,,,,0.45,3,COMPLETE
74,74,6.235090445684034,2025-06-15 01:02:49.201571,2025-06-15 01:02:51.156953,0 days 00:00:01.955382,580.0,0.005,4m,2.0,3.5,1.0,60.0,,,,,,,,446.0,0.003,2m,1.0,2.0,1.6,312.0,,,,,,,,,,,,,,,496,0.006,2m,3.5,1.0,1.2000000000000002,922,,,,,,,,1010.0,0.005,3m,3.5,2.0,1.5,790.0,,,,,,,,,,,,,,,0.5,4,COMPLETE
75,75,9.08349827618808,2025-06-15 01:02:51.234463,2025-06-15 01:02:53.643842,0 days 00:00:02.409379,644.0,0.006,3m,1.5,4.0,2.0,168.0,,,,,,,,284.0,0.004,3m,1.5,1.5,1.3,372.0,,,,,,,,78.0,0.009000000000000001,4m,1.0,3.0,1.4,244.0,612,0.005,2m,3.0,1.0,1.0,482,,,,,,,,908.0,0.005,3m,3.0,1.5,1.4,832.0,,,,,,,,,,,,,,,0.4,5,COMPLETE
76,76,4.7556919412768055,2025-06-15 01:02:53.708842,2025-06-15 01:02:55.820061,0 days 00:00:02.111219,618.0,0.006,1m,1.5,4.0,0.8,208.0,,,,,,,,262.0,0.004,2m,1.5,1.5,1.3,358.0,,,,,,,,32.0,0.007,4m,1.5,1.5,1.4,196.0,764,0.005,2m,3.0,1.0,1.1,360,,,,,,,,916.0,0.005,1m,3.0,1.5,1.9000000000000001,914.0,,,,,,,,,,,,,,,0.4,5,COMPLETE
77,77,1.0747995575450242,2025-06-15 01:02:55.908078,2025-06-15 01:02:57.752213,0 days 00:00:01.844135,528.0,0.005,3m,1.5,4.0,0.5,306.0,,,,,,,,280.0,0.004,3m,2.0,2.0,1.4,432.0,,,,,,,,,,,,,,,704,0.004,2m,3.5,1.0,0.8,494,,,,,,,,898.0,0.005,3m,3.0,1.0,1.2000000000000002,834.0,,,,,,,,,,,,,,,0.45,4,COMPLETE
78,78,3.9637967967725474,2025-06-15 01:02:57.830229,2025-06-15 01:02:59.192967,0 days 00:00:01.362738,676.0,0.006,4m,2.0,3.5,0.7,172.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608,0.005,2m,3.0,1.0,1.0,434,,,,,,,,844.0,0.004,3m,2.5,1.5,1.4,948.0,,,,,,,,,,,,,,,0.4,3,COMPLETE
79,79,7.3181407749549665,2025-06-15 01:02:59.253487,2025-06-15 01:03:01.508312,0 days 00:00:02.254825,752.0,0.007,3m,1.5,2.5,2.0,542.0,,,,,,,,372.0,0.005,2m,2.0,1.5,1.9000000000000001,220.0,,,,,,,,100.0,0.005,4m,2.5,2.0,1.0,292.0,828,0.004,2m,3.5,1.0,1.2000000000000002,476,,,,,,,,1020.0,0.006,3m,3.0,1.5,1.1,746.0,,,,,,,,,,,,,,,0.45,5,COMPLETE
80,80,2.346705261233369,2025-06-15 01:03:01.584833,2025-06-15 01:03:03.849097,0 days 00:00:02.264264,800.0,0.007,3m,1.5,2.5,1.1,596.0,,,,,,,,194.0,0.006,2m,2.0,1.5,2.0,198.0,,,,,,,,76.0,0.003,4m,2.5,2.0,1.0,306.0,814,0.004,2m,3.5,3.5,1.3,400,,,,,,,,1018.0,0.006,3m,3.0,1.0,1.0,594.0,,,,,,,,,,,,,,,0.5,5,COMPLETE
81,81,4.650059748693841,2025-06-15 01:03:03.932616,2025-06-15 01:03:06.127132,0 days 00:00:02.194516,724.0,0.007,3m,1.5,4.0,2.0,702.0,,,,,,,,368.0,0.005,2m,1.5,2.5,1.9000000000000001,286.0,,,,,,,,120.0,0.005,4m,3.0,2.0,1.2000000000000002,254.0,870,0.003,2m,4.0,1.0,1.2000000000000002,476,,,,,,,,964.0,0.006,3m,3.0,1.5,1.1,740.0,,,,,,,,,,,,,,,0.45,5,COMPLETE
82,82,1.2446416685811892,2025-06-15 01:03:06.198138,2025-06-15 01:03:08.056622,0 days 00:00:01.858484,452.0,0.008,3m,1.5,2.5,1.9000000000000001,548.0,,,,,,,,384.0,0.004,2m,1.5,1.5,1.9000000000000001,108.0,,,,,,,,,,,,,,,886,0.006,2m,3.5,1.0,1.1,648,,,,,,,,926.0,0.005,3m,3.0,1.5,1.3,666.0,,,,,,,,,,,,,,,0.45,4,COMPLETE
83,83,4.702360510959276,2025-06-15 01:03:08.135137,2025-06-15 01:03:10.446082,0 days 00:00:02.310945,654.0,0.006,3m,2.0,4.0,2.0,498.0,,,,,,,,304.0,0.005,4m,2.0,1.0,0.5,848.0,,,,,,,,30.0,0.006,4m,3.5,1.5,1.3,86.0,840,0.004,2m,3.0,1.0,1.0,558,,,,,,,,1022.0,0.006,3m,3.0,1.5,1.1,626.0,,,,,,,,,,,,,,,0.4,5,COMPLETE
84,84,7.317422963869863,2025-06-15 01:03:10.542617,2025-06-15 01:03:13.329177,0 days 00:00:02.786560,762.0,0.007,3m,1.5,4.0,1.9000000000000001,458.0,90.0,0.009000000000000001,4m,2.0,4.0,1.6,664.0,354.0,0.003,2m,1.5,3.0,1.7000000000000002,374.0,,,,,,,,202.0,0.001,4m,2.0,2.5,0.9,16.0,636,0.005,2m,3.5,2.5,1.2000000000000002,318,,,,,,,,988.0,0.005,3m,2.5,1.5,1.2000000000000002,698.0,,,,,,,,,,,,,,,0.5,6,COMPLETE
85,85,6.108340360071719,2025-06-15 01:03:13.376689,2025-06-15 01:03:16.262635,0 days 00:00:02.885946,782.0,0.007,3m,1.5,4.0,1.9000000000000001,360.0,112.0,0.01,4m,2.0,4.0,1.6,784.0,360.0,0.003,2m,1.5,3.0,1.8,242.0,,,,,,,,204.0,0.001,4m,2.0,2.5,0.8,158.0,630,0.005,2m,3.5,2.5,1.2000000000000002,296,,,,,,,,990.0,0.005,4m,2.5,1.5,0.9,696.0,,,,,,,,,,,,,,,0.5,6,COMPLETE
86,86,1.4168741520634778,2025-06-15 01:03:16.333694,2025-06-15 01:03:19.134780,0 days 00:00:02.801086,858.0,0.008,4m,2.0,3.5,1.8,454.0,284.0,0.009000000000000001,4m,1.0,3.5,2.0,646.0,494.0,0.004,3m,1.5,2.5,1.7000000000000002,322.0,,,,,,,,90.0,0.002,4m,2.5,2.5,1.0,36.0,770,0.005,2m,3.5,2.5,1.4,392,,,,,,,,966.0,0.005,3m,2.5,1.5,1.1,818.0,,,,,,,,,,,,,,,0.5,6,COMPLETE
87,87,-0.9907772187809187,2025-06-15 01:03:19.202780,2025-06-15 01:03:21.840425,0 days 00:00:02.637645,760.0,0.007,4m,1.5,4.0,1.9000000000000001,540.0,110.0,0.007,4m,1.5,3.5,1.8,866.0,450.0,0.005,2m,3.5,3.0,1.5,378.0,,,,,,,,150.0,0.002,4m,2.0,2.0,1.1,336.0,742,0.004,2m,4.0,2.5,1.6,460,,,,,,,,876.0,0.004,2m,2.0,1.0,1.0,538.0,,,,,,,,,,,,,,,0.5,6,COMPLETE
