,number,value,datetime_start,datetime_complete,duration,params_ALGN_VRTX_beta_win,params_ALGN_VRTX_stop_loss,params_ALGN_VRTX_trade_freq,params_ALGN_VRTX_z_entry,params_ALGN_VRTX_z_exit,params_ALGN_VRTX_z_stop_scaler,params_ALGN_VRTX_z_win,params_AMGN_VRTX_beta_win,params_AMGN_VRTX_stop_loss,params_AMGN_VRTX_trade_freq,params_AMGN_VRTX_z_entry,params_AMGN_VRTX_z_exit,params_AMGN_VRTX_z_stop_scaler,params_AMGN_VRTX_z_win,params_ATVI_EXC_beta_win,params_ATVI_EXC_stop_loss,params_ATVI_EXC_trade_freq,params_ATVI_EXC_z_entry,params_ATVI_EXC_z_exit,params_ATVI_EXC_z_stop_scaler,params_ATVI_EXC_z_win,params_ATVI_MSFT_beta_win,params_ATVI_MSFT_stop_loss,params_ATVI_MSFT_trade_freq,params_ATVI_MSFT_z_entry,params_ATVI_MSFT_z_exit,params_ATVI_MSFT_z_stop_scaler,params_ATVI_MSFT_z_win,params_FANG_VRTX_beta_win,params_FANG_VRTX_stop_loss,params_FANG_VRTX_trade_freq,params_FANG_VRTX_z_entry,params_FANG_VRTX_z_exit,params_FANG_VRTX_z_stop_scaler,params_FANG_VRTX_z_win,params_HON_PEP_beta_win,params_HON_PEP_stop_loss,params_HON_PEP_trade_freq,params_HON_PEP_z_entry,params_HON_PEP_z_exit,params_HON_PEP_z_stop_scaler,params_HON_PEP_z_win,params_META_VRTX_beta_win,params_META_VRTX_stop_loss,params_META_VRTX_trade_freq,params_META_VRTX_z_entry,params_META_VRTX_z_exit,params_META_VRTX_z_stop_scaler,params_META_VRTX_z_win,params_PCAR_VRTX_beta_win,params_PCAR_VRTX_stop_loss,params_PCAR_VRTX_trade_freq,params_PCAR_VRTX_z_entry,params_PCAR_VRTX_z_exit,params_PCAR_VRTX_z_stop_scaler,params_PCAR_VRTX_z_win,params_REGN_SGEN_beta_win,params_REGN_SGEN_stop_loss,params_REGN_SGEN_trade_freq,params_REGN_SGEN_z_entry,params_REGN_SGEN_z_exit,params_REGN_SGEN_z_stop_scaler,params_REGN_SGEN_z_win,params_SGEN_VRTX_beta_win,params_SGEN_VRTX_stop_loss,params_SGEN_VRTX_trade_freq,params_SGEN_VRTX_z_entry,params_SGEN_VRTX_z_exit,params_SGEN_VRTX_z_stop_scaler,params_SGEN_VRTX_z_win,params_buffer_capital,params_pairs_to_trade,state
30,30,0.029964471201619165,2025-06-15 01:10:22.518953,2025-06-15 01:10:26.046149,0 days 00:00:03.527196,872.0,0.007,3m,3.5,3.0,0.8,836.0,276.0,0.008,2m,1.0,2.0,1.7000000000000002,252.0,770.0,0.006,1m,1.5,2.0,1.1,680.0,,,,,,,,256.0,0.001,4m,2.0,2.5,0.8,338.0,766.0,0.009000000000000001,2m,2.0,1.5,1.7000000000000002,340.0,702.0,0.003,3m,3.5,1.5,1.3,306.0,,,,,,,,748,0.002,4m,3.5,2.5,2.0,108,170.0,0.005,2m,1.5,1.0,1.9000000000000001,834.0,0.45,8,COMPLETE
31,31,8.538594729235552,2025-06-15 01:10:26.124737,2025-06-15 01:10:30.274296,0 days 00:00:04.149559,796.0,0.004,3m,3.0,3.5,0.6,1006.0,174.0,0.008,2m,1.0,4.0,1.7000000000000002,194.0,764.0,0.004,3m,1.0,2.5,0.9,944.0,,,,,,,,364.0,0.003,4m,1.5,2.5,0.9,186.0,742.0,0.007,2m,1.5,1.5,1.5,532.0,820.0,0.004,3m,3.5,1.5,1.1,362.0,852.0,0.007,2m,1.5,1.5,1.3,734.0,904,0.002,4m,4.0,2.5,1.9000000000000001,238,170.0,0.005,1m,2.0,1.5,1.8,992.0,0.45,9,COMPLETE
32,32,0.28205179905596584,2025-06-15 01:10:30.359798,2025-06-15 01:10:34.228085,0 days 00:00:03.868287,992.0,0.004,3m,3.0,3.0,0.7,852.0,202.0,0.008,2m,1.0,3.5,1.7000000000000002,210.0,910.0,0.004,3m,1.0,2.5,1.1,858.0,,,,,,,,370.0,0.004,4m,2.0,2.5,0.9,76.0,774.0,0.007,2m,1.5,1.0,1.5,504.0,564.0,0.004,3m,3.5,1.5,1.1,344.0,800.0,0.007,2m,2.0,2.0,1.1,698.0,874,0.002,4m,3.5,2.5,1.9000000000000001,262,156.0,0.005,1m,1.5,1.5,1.9000000000000001,1010.0,0.45,9,COMPLETE
33,33,6.361422497858292,2025-06-15 01:10:34.309901,2025-06-15 01:10:38.311772,0 days 00:00:04.001871,842.0,0.004,3m,3.0,3.5,1.1,838.0,430.0,0.005,2m,1.5,4.0,1.3,386.0,912.0,0.005,3m,1.0,2.5,1.3,748.0,,,,,,,,486.0,0.002,4m,1.0,2.5,0.6,232.0,836.0,0.006,2m,1.0,1.5,1.5,544.0,826.0,0.004,3m,3.0,1.0,0.9,224.0,844.0,0.007,2m,1.5,1.5,1.1,724.0,900,0.003,4m,4.0,1.5,2.0,348,372.0,0.005,1m,2.0,2.5,1.8,652.0,0.3,9,COMPLETE
34,34,3.173158729487757,2025-06-15 01:10:38.377289,2025-06-15 01:10:42.401586,0 days 00:00:04.024297,620.0,0.002,3m,3.5,2.5,0.5,624.0,154.0,0.006,2m,1.5,3.5,1.0,700.0,774.0,0.004,3m,1.0,3.0,0.9,908.0,,,,,,,,286.0,0.003,4m,1.5,2.0,0.7,138.0,702.0,0.009000000000000001,2m,1.5,1.5,1.8,442.0,752.0,0.003,3m,2.5,1.5,1.4,484.0,474.0,0.008,2m,1.5,1.5,1.3,796.0,760,0.002,4m,4.0,3.0,1.8,100,18.0,0.004,1m,1.5,2.0,1.6,838.0,0.5,9,COMPLETE
35,35,-1.0802052137334988,2025-06-15 01:10:42.479186,2025-06-15 01:10:48.477270,0 days 00:00:05.998084,452.0,0.005,3m,3.0,3.5,0.8,908.0,174.0,0.008,2m,3.5,3.0,1.8,160.0,632.0,0.003,3m,1.5,2.0,1.1,928.0,,,,,,,,364.0,0.005,4m,3.0,2.5,0.9,494.0,556.0,0.007,4m,2.5,1.0,1.2000000000000002,564.0,902.0,0.005,3m,3.5,1.5,1.2000000000000002,404.0,,,,,,,,936,0.003,4m,3.5,2.0,1.8,250,176.0,0.007,3m,2.0,1.0,1.8,896.0,0.35000000000000003,8,COMPLETE
36,36,2.333427104868492,2025-06-15 01:10:48.584250,2025-06-15 01:10:54.362097,0 days 00:00:05.777847,776.0,0.002,4m,2.5,3.0,0.6,788.0,296.0,0.009000000000000001,4m,2.5,4.0,1.1,366.0,764.0,0.005,3m,2.0,1.5,0.9,604.0,52.0,0.01,2m,3.0,1.0,0.6,42.0,616.0,0.006,4m,2.0,3.0,0.7,66.0,864.0,0.01,2m,2.0,1.5,1.6,324.0,652.0,0.005,2m,2.5,1.0,1.6,226.0,872.0,0.003,2m,1.5,1.5,1.8,24.0,808,0.001,4m,3.0,2.5,1.9000000000000001,324,344.0,0.006,1m,2.0,1.5,2.0,1022.0,0.45,10,COMPLETE
37,37,3.7084226559281435,2025-06-15 01:10:54.428339,2025-06-15 01:10:57.979644,0 days 00:00:03.551305,574.0,0.004,1m,3.5,3.5,1.0,672.0,150.0,0.006,2m,1.5,3.5,1.6,150.0,944.0,0.006,4m,1.0,3.0,0.8,946.0,,,,,,,,484.0,0.002,3m,1.5,2.5,0.9,364.0,684.0,0.005,2m,2.5,1.0,1.4,92.0,826.0,0.002,1m,3.5,2.0,1.4,414.0,,,,,,,,588,0.004,4m,1.0,1.5,2.0,388,100.0,0.002,1m,1.0,2.0,1.6,688.0,0.2,8,COMPLETE
38,38,5.555572369004451,2025-06-15 01:10:58.050505,2025-06-15 01:11:01.960806,0 days 00:00:03.910301,904.0,0.005,3m,4.0,4.0,1.5,1008.0,456.0,0.009000000000000001,2m,1.0,2.5,1.8,534.0,530.0,0.008,4m,3.0,2.5,2.0,490.0,,,,,,,,86.0,0.01,4m,1.0,3.0,1.1,282.0,490.0,0.006,2m,1.0,1.5,0.6,818.0,722.0,0.007,4m,3.0,2.5,1.0,594.0,496.0,0.008,2m,1.5,1.5,0.9,826.0,990,0.002,2m,2.5,3.0,1.9000000000000001,18,220.0,0.007,1m,1.5,1.5,1.4,814.0,0.15000000000000002,9,COMPLETE
39,39,2.650450200669065,2025-06-15 01:11:02.008339,2025-06-15 01:11:06.479112,0 days 00:00:04.470773,248.0,0.006,3m,2.5,3.0,2.0,926.0,102.0,0.007,2m,3.5,4.0,1.5,122.0,812.0,0.004,1m,1.5,3.0,1.2000000000000002,654.0,566.0,0.005,3m,2.5,2.5,1.4,604.0,610.0,0.004,4m,2.0,2.0,1.3,86.0,890.0,0.009000000000000001,4m,1.5,1.5,1.3,172.0,482.0,0.003,3m,3.5,1.5,0.7,42.0,642.0,0.006,1m,2.0,2.0,1.3,574.0,828,0.003,1m,4.0,3.5,1.8,128,112.0,0.004,1m,1.0,1.0,1.5,566.0,0.3,10,COMPLETE
40,40,1.0349748383523192,2025-06-15 01:11:06.568455,2025-06-15 01:11:09.319364,0 days 00:00:02.750909,726.0,0.002,3m,3.0,3.5,0.7,592.0,,,,,,,,364.0,0.003,3m,1.5,2.5,1.4,966.0,,,,,,,,370.0,0.001,4m,2.5,3.0,1.2000000000000002,186.0,706.0,0.01,2m,2.0,1.0,1.5,404.0,,,,,,,,,,,,,,,1022,0.006,4m,4.0,2.0,0.5,450,104.0,0.002,2m,3.0,4.0,1.8,720.0,0.45,6,COMPLETE
41,41,8.5200640370146,2025-06-15 01:11:09.390025,2025-06-15 01:11:13.746940,0 days 00:00:04.356915,748.0,0.003,3m,2.0,4.0,0.6,1010.0,96.0,0.009000000000000001,3m,3.5,4.0,1.8,90.0,728.0,0.002,3m,1.0,4.0,0.6,1022.0,678.0,0.004,1m,2.0,3.0,1.5,644.0,232.0,0.003,4m,1.5,1.5,1.0,190.0,356.0,0.008,2m,1.5,2.0,1.4,658.0,930.0,0.009000000000000001,3m,4.0,2.0,1.8,936.0,908.0,0.004,2m,1.0,1.0,1.6,882.0,716,0.005,4m,4.0,2.5,1.6,244,240.0,0.005,1m,2.5,1.5,1.7000000000000002,912.0,0.4,10,COMPLETE
42,42,3.3307643179545123,2025-06-15 01:11:13.831789,2025-06-15 01:11:17.812993,0 days 00:00:03.981204,794.0,0.004,3m,2.0,4.0,0.6,954.0,240.0,0.009000000000000001,3m,3.5,4.0,1.8,130.0,740.0,0.001,3m,1.0,4.0,0.6,828.0,,,,,,,,254.0,0.003,4m,1.5,2.5,1.0,208.0,364.0,0.008,2m,1.5,2.0,1.4,506.0,926.0,0.009000000000000001,3m,4.0,2.0,1.8,922.0,892.0,0.003,2m,1.0,1.0,1.7000000000000002,868.0,714,0.004,4m,4.0,2.5,1.6,226,458.0,0.005,1m,2.5,1.5,1.6,958.0,0.5,9,COMPLETE
43,43,4.075839261396336,2025-06-15 01:11:17.875229,2025-06-15 01:11:22.151005,0 days 00:00:04.275776,948.0,0.003,3m,1.5,1.0,0.5,1024.0,108.0,0.009000000000000001,3m,3.5,3.5,1.7000000000000002,324.0,592.0,0.003,3m,1.0,4.0,0.7,966.0,608.0,0.005,4m,2.0,2.5,1.3,594.0,124.0,0.002,4m,2.5,2.0,1.1,312.0,538.0,0.007,2m,1.0,1.5,1.6,684.0,824.0,0.009000000000000001,3m,3.5,1.5,1.6,274.0,904.0,0.003,2m,1.0,1.0,1.4,878.0,610,0.008,4m,4.0,3.0,1.6,310,224.0,0.006,3m,2.5,2.0,1.9000000000000001,896.0,0.4,10,COMPLETE
44,44,1.8352045884160162,2025-06-15 01:11:22.232236,2025-06-15 01:11:26.428504,0 days 00:00:04.196268,900.0,0.003,3m,2.5,4.0,0.9,898.0,340.0,0.009000000000000001,3m,2.5,4.0,1.8,196.0,652.0,0.004,3m,1.5,4.0,0.8,868.0,,,,,,,,226.0,0.003,3m,1.5,1.5,0.9,246.0,384.0,0.009000000000000001,2m,1.5,2.0,1.8,608.0,916.0,0.009000000000000001,3m,4.0,2.0,1.3,408.0,908.0,0.006,3m,1.5,1.5,1.7000000000000002,638.0,284,0.005,4m,4.0,2.5,1.9000000000000001,86,324.0,0.005,1m,2.0,1.5,1.7000000000000002,964.0,0.45,9,COMPLETE
45,45,4.7075128218035935,2025-06-15 01:11:26.495603,2025-06-15 01:11:30.123253,0 days 00:00:03.627650,698.0,0.005,4m,1.5,3.5,0.8,804.0,94.0,0.008,1m,3.0,3.5,1.6,88.0,824.0,0.002,3m,1.0,3.0,0.6,734.0,,,,,,,,320.0,0.004,4m,1.0,2.5,0.7,158.0,196.0,0.008,2m,1.5,1.5,1.3,776.0,788.0,0.006,4m,3.0,2.5,1.7000000000000002,732.0,,,,,,,,924,0.001,4m,3.5,2.0,2.0,158,208.0,0.006,3m,2.5,1.0,1.0,858.0,0.5,8,COMPLETE
46,46,3.7960452651583494,2025-06-15 01:11:30.179456,2025-06-15 01:11:33.376778,0 days 00:00:03.197322,596.0,0.004,3m,3.0,4.0,0.6,874.0,,,,,,,,672.0,0.003,2m,1.0,4.0,0.9,1022.0,,,,,,,,384.0,0.002,4m,2.0,2.0,1.0,386.0,452.0,0.006,3m,2.0,2.5,1.2000000000000002,22.0,654.0,0.005,3m,3.5,1.5,1.1,116.0,,,,,,,,704,0.006,1m,3.5,2.5,1.7000000000000002,296,512.0,0.006,4m,3.5,3.0,1.8,950.0,0.35000000000000003,7,COMPLETE
47,47,3.322209555190813,2025-06-15 01:11:33.461209,2025-06-15 01:11:37.901242,0 days 00:00:04.440033,858.0,0.002,4m,2.0,3.5,0.7,378.0,224.0,0.007,4m,3.5,4.0,1.9000000000000001,214.0,734.0,0.001,4m,3.0,2.0,0.7,954.0,734.0,0.004,2m,2.0,3.0,1.6,400.0,18.0,0.006,3m,1.5,3.5,2.0,918.0,572.0,0.01,4m,2.5,3.0,1.5,574.0,876.0,0.007,4m,4.0,1.0,1.9000000000000001,570.0,710.0,0.004,4m,1.5,1.5,1.0,884.0,796,0.003,2m,3.0,3.0,1.4,68,64.0,0.004,1m,3.0,1.5,1.4,804.0,0.45,10,COMPLETE
48,48,0.09717649029780814,2025-06-15 01:11:37.992413,2025-06-15 01:11:42.055611,0 days 00:00:04.063198,778.0,0.004,2m,3.0,3.0,0.5,720.0,92.0,0.009000000000000001,2m,1.0,3.5,1.9000000000000001,490.0,882.0,0.005,3m,1.5,3.0,1.0,790.0,,,,,,,,268.0,0.005,4m,2.5,1.0,0.8,16.0,78.0,0.007,2m,1.5,2.0,1.8,500.0,736.0,0.008,3m,2.0,2.5,1.5,958.0,928.0,0.008,2m,3.5,3.5,1.3,914.0,658,0.004,4m,2.0,2.0,1.1,242,118.0,0.007,1m,2.0,1.0,1.9000000000000001,718.0,0.4,9,COMPLETE
49,49,4.413100427262211,2025-06-15 01:11:42.146741,2025-06-15 01:11:45.693598,0 days 00:00:03.546857,420.0,0.009000000000000001,1m,2.5,2.5,0.9,958.0,738.0,0.004,3m,3.0,4.0,1.5,1004.0,584.0,0.007,3m,1.0,2.5,1.1,856.0,,,,,,,,472.0,0.002,1m,2.0,1.5,0.5,412.0,336.0,0.009000000000000001,2m,1.0,2.5,1.6,952.0,942.0,0.004,2m,3.5,3.0,1.8,510.0,,,,,,,,842,0.002,4m,3.5,2.5,1.9000000000000001,746,412.0,0.005,4m,3.0,2.0,1.6,874.0,0.25,8,COMPLETE
50,50,5.0802614247725595,2025-06-15 01:11:45.751558,2025-06-15 01:11:50.164161,0 days 00:00:04.412603,450.0,0.005,3m,2.0,4.0,1.1,796.0,222.0,0.002,4m,2.0,1.5,1.7000000000000002,90.0,822.0,0.009000000000000001,2m,1.5,2.5,0.8,284.0,298.0,0.008,3m,3.5,3.0,1.0,766.0,848.0,0.007,4m,1.5,2.0,1.1,98.0,936.0,0.004,1m,2.0,1.5,1.7000000000000002,298.0,154.0,0.009000000000000001,3m,1.5,1.0,1.1,650.0,806.0,0.006,2m,1.0,1.0,1.7000000000000002,756.0,22,0.004,4m,4.0,3.0,1.8,346,746.0,0.004,1m,2.0,1.5,1.2000000000000002,588.0,0.35000000000000003,10,COMPLETE
51,51,10.572335170048895,2025-06-15 01:11:50.247500,2025-06-15 01:11:54.654567,0 days 00:00:04.407067,724.0,0.003,3m,2.5,4.0,0.6,1006.0,36.0,0.01,3m,4.0,4.0,1.9000000000000001,70.0,716.0,0.002,3m,1.0,3.5,0.6,986.0,806.0,0.003,1m,1.5,3.5,2.0,760.0,196.0,0.003,4m,1.5,1.5,1.0,180.0,196.0,0.008,2m,1.5,2.0,1.4,654.0,972.0,0.01,3m,4.0,2.0,1.9000000000000001,872.0,1024.0,0.004,2m,1.0,1.0,1.5,938.0,544,0.005,4m,4.0,2.5,1.4,140,272.0,0.003,1m,2.5,1.5,1.7000000000000002,928.0,0.4,10,COMPLETE
52,52,7.188644103499722,2025-06-15 01:11:54.737396,2025-06-15 01:11:59.207704,0 days 00:00:04.470308,1018.0,0.003,3m,2.5,4.0,0.6,950.0,126.0,0.01,3m,3.5,4.0,1.9000000000000001,82.0,726.0,0.002,3m,1.0,3.5,0.5,920.0,734.0,0.003,1m,2.0,3.0,1.6,774.0,326.0,0.003,4m,1.0,1.5,0.9,264.0,162.0,0.008,2m,1.5,2.5,1.3,674.0,854.0,0.01,3m,4.0,2.0,1.9000000000000001,940.0,942.0,0.004,2m,1.0,1.0,1.4,896.0,548,0.006,4m,4.0,2.5,1.2000000000000002,152,304.0,0.003,1m,2.5,1.5,1.5,936.0,0.4,10,COMPLETE
53,53,9.069192054224377,2025-06-15 01:11:59.279117,2025-06-15 01:12:03.297205,0 days 00:00:04.018088,682.0,0.001,3m,2.5,3.5,0.7,898.0,76.0,0.009000000000000001,3m,4.0,4.0,1.8,184.0,626.0,0.001,3m,1.0,3.5,0.6,984.0,,,,,,,,220.0,0.004,4m,1.5,1.0,1.1,166.0,16.0,0.007,2m,1.5,2.0,1.4,742.0,972.0,0.009000000000000001,3m,4.0,1.5,1.7000000000000002,984.0,952.0,0.004,2m,1.0,1.0,1.6,806.0,474,0.005,4m,4.0,2.5,1.6,222,248.0,0.002,1m,2.5,2.0,1.8,756.0,0.5,9,COMPLETE
54,54,5.233108242466648,2025-06-15 01:12:03.353524,2025-06-15 01:12:07.818241,0 days 00:00:04.464717,674.0,0.001,2m,2.0,4.0,0.8,984.0,76.0,0.009000000000000001,3m,4.0,3.5,1.8,174.0,556.0,0.001,3m,1.0,3.0,0.6,964.0,796.0,0.003,1m,1.5,3.5,1.7000000000000002,764.0,66.0,0.004,2m,1.5,1.0,1.1,298.0,34.0,0.008,3m,1.0,2.0,1.6,732.0,1022.0,0.009000000000000001,3m,4.0,2.0,1.7000000000000002,978.0,926.0,0.004,2m,1.5,1.5,1.6,942.0,468,0.005,4m,3.5,2.5,1.4,56,250.0,0.002,1m,3.5,2.0,0.5,742.0,0.5,10,COMPLETE
55,55,8.950731267989731,2025-06-15 01:12:07.913133,2025-06-15 01:12:11.716941,0 days 00:00:03.803808,740.0,0.001,3m,2.5,4.0,0.7,546.0,66.0,0.01,3m,4.0,1.0,0.6,76.0,472.0,0.001,3m,1.0,3.5,0.5,552.0,,,,,,,,132.0,0.004,4m,2.0,1.0,1.3,194.0,218.0,0.008,2m,2.0,2.0,1.5,872.0,942.0,0.01,1m,4.0,3.0,1.5,878.0,816.0,0.004,2m,1.0,1.0,1.6,796.0,400,0.006,2m,4.0,2.0,1.6,222,344.0,0.001,2m,2.0,2.0,2.0,466.0,0.5,9,COMPLETE
56,56,-2.132488186040814,2025-06-15 01:12:11.789121,2025-06-15 01:12:14.959958,0 days 00:00:03.170837,824.0,0.001,3m,2.5,3.0,1.0,398.0,,,,,,,,480.0,0.001,3m,3.5,3.5,0.5,452.0,,,,,,,,140.0,0.004,1m,2.0,1.0,1.4,222.0,112.0,0.009000000000000001,2m,2.0,2.5,1.5,898.0,974.0,0.01,1m,4.0,3.0,1.3,868.0,,,,,,,,386,0.007,2m,4.0,2.0,1.5,134,386.0,0.001,2m,1.5,2.5,2.0,422.0,0.5,7,COMPLETE
57,57,5.337646448275658,2025-06-15 01:12:15.030783,2025-06-15 01:12:18.573429,0 days 00:00:03.542646,648.0,0.001,1m,2.5,2.0,0.7,530.0,22.0,0.01,1m,4.0,1.5,0.5,602.0,342.0,0.001,1m,2.5,3.5,0.5,638.0,,,,,,,,202.0,0.005,4m,2.5,1.0,1.2000000000000002,58.0,220.0,0.007,1m,2.5,4.0,1.3,832.0,976.0,0.01,1m,4.0,3.5,1.5,886.0,,,,,,,,282,0.007,2m,3.5,1.5,1.3,214,478.0,0.001,2m,2.0,2.0,2.0,348.0,0.45,8,COMPLETE
58,58,0.2421146472118229,2025-06-15 01:12:18.663730,2025-06-15 01:12:20.872166,0 days 00:00:02.208436,,,,,,,,,,,,,,,614.0,0.002,3m,1.0,3.0,0.6,542.0,,,,,,,,152.0,0.004,2m,3.0,1.0,1.5,122.0,116.0,0.008,2m,2.0,2.0,1.1,764.0,,,,,,,,,,,,,,,222,0.006,2m,3.0,2.0,1.4,42,590.0,0.002,2m,2.0,2.5,0.8,388.0,0.5,5,COMPLETE
59,59,4.717350502073496,2025-06-15 01:12:20.941489,2025-06-15 01:12:24.974438,0 days 00:00:04.032949,740.0,0.001,3m,2.5,3.5,0.9,262.0,672.0,0.01,3m,4.0,1.0,0.8,54.0,476.0,0.001,4m,1.0,3.5,0.8,28.0,,,,,,,,92.0,0.006,4m,2.0,1.0,1.3,170.0,18.0,0.01,2m,1.5,3.0,1.6,866.0,874.0,0.006,1m,3.5,3.0,1.6,736.0,346.0,0.003,2m,1.5,1.5,1.9000000000000001,634.0,420,0.006,2m,4.0,2.0,1.2000000000000002,190,330.0,0.001,2m,1.5,2.0,1.9000000000000001,470.0,0.5,9,COMPLETE
60,60,8.133973141559457,2025-06-15 01:12:25.060045,2025-06-15 01:12:29.091541,0 days 00:00:04.031496,692.0,0.002,3m,3.0,4.0,0.8,436.0,50.0,0.01,3m,4.0,2.0,1.2000000000000002,24.0,40.0,0.003,3m,1.0,3.5,0.7,724.0,,,,,,,,198.0,0.004,4m,2.0,1.0,1.5,256.0,166.0,0.006,3m,2.0,2.0,1.5,930.0,300.0,0.01,1m,4.0,3.5,1.5,1000.0,796.0,0.002,3m,2.0,2.0,1.6,800.0,488,0.008,1m,3.5,1.0,1.6,114,140.0,0.002,4m,2.0,2.0,1.8,212.0,0.45,9,COMPLETE
61,61,7.794409070447093,2025-06-15 01:12:29.184458,2025-06-15 01:12:33.641119,0 days 00:00:04.456661,740.0,0.002,3m,2.0,4.0,0.5,928.0,20.0,0.009000000000000001,3m,4.0,4.0,1.9000000000000001,102.0,684.0,0.002,3m,4.0,3.5,0.5,994.0,828.0,0.003,1m,2.5,2.0,1.1,442.0,224.0,0.003,4m,1.5,1.5,1.0,188.0,314.0,0.008,2m,1.5,2.0,1.4,718.0,944.0,0.009000000000000001,3m,4.0,2.5,1.9000000000000001,902.0,956.0,0.004,2m,1.0,1.0,1.6,932.0,360,0.005,4m,1.5,2.5,1.5,276,252.0,0.001,1m,2.5,1.5,1.7000000000000002,916.0,0.45,10,COMPLETE
62,62,10.191190308323083,2025-06-15 01:12:33.719151,2025-06-15 01:12:37.549543,0 days 00:00:03.830392,786.0,0.003,3m,2.5,4.0,0.6,1022.0,74.0,0.01,3m,4.0,4.0,2.0,74.0,720.0,0.002,3m,1.0,3.0,0.6,914.0,,,,,,,,162.0,0.002,4m,1.5,1.5,1.3,132.0,242.0,0.007,2m,1.5,2.0,1.4,658.0,1008.0,0.01,3m,4.0,2.0,1.4,1014.0,846.0,0.004,2m,1.0,1.0,1.6,792.0,548,0.005,4m,4.0,2.5,1.6,216,294.0,0.003,1m,2.5,1.5,1.7000000000000002,490.0,0.5,9,COMPLETE
63,63,4.551680984403237,2025-06-15 01:12:37.608971,2025-06-15 01:12:41.056519,0 days 00:00:03.447548,816.0,0.003,3m,2.5,4.0,0.7,72.0,146.0,0.01,3m,4.0,1.0,2.0,16.0,804.0,0.001,3m,1.0,3.0,0.5,574.0,,,,,,,,290.0,0.002,4m,2.0,2.0,1.3,114.0,234.0,0.007,2m,1.5,2.0,1.3,612.0,1022.0,0.01,3m,4.0,1.5,1.4,1022.0,,,,,,,,564,0.006,2m,4.0,3.0,1.7000000000000002,174,290.0,0.003,1m,2.5,1.5,1.9000000000000001,478.0,0.5,8,COMPLETE
64,64,4.903626489944861,2025-06-15 01:12:41.120609,2025-06-15 01:12:47.237797,0 days 00:00:06.117188,866.0,0.001,3m,2.5,3.5,0.7,516.0,50.0,0.01,3m,4.0,4.0,2.0,164.0,850.0,0.002,3m,1.0,2.5,0.7,884.0,,,,,,,,136.0,0.001,4m,1.0,1.5,1.4,136.0,270.0,0.008,2m,1.0,2.5,1.5,588.0,982.0,0.01,3m,1.0,2.5,1.2000000000000002,824.0,854.0,0.004,2m,3.0,1.0,1.4,668.0,416,0.007,4m,4.0,2.5,1.3,214,64.0,0.003,2m,3.0,1.0,1.7000000000000002,492.0,0.5,9,COMPLETE
65,65,11.478902316826186,2025-06-15 01:12:47.346974,2025-06-15 01:12:53.231306,0 days 00:00:05.884332,696.0,0.002,2m,3.0,4.0,1.4,758.0,82.0,0.01,3m,4.0,2.5,0.9,296.0,548.0,0.001,2m,1.5,3.0,0.6,832.0,,,,,,,,50.0,0.001,4m,1.5,1.0,1.6,320.0,88.0,0.007,2m,1.5,1.5,1.7000000000000002,1014.0,876.0,0.01,1m,3.5,2.0,1.5,974.0,612.0,0.005,2m,1.0,1.5,1.2000000000000002,768.0,454,0.005,4m,4.0,2.0,1.7000000000000002,146,356.0,0.002,1m,2.0,1.5,2.0,536.0,0.45,9,COMPLETE
66,66,5.614796659416396,2025-06-15 01:12:53.322192,2025-06-15 01:12:56.417697,0 days 00:00:03.095505,634.0,0.002,2m,2.5,4.0,1.4,694.0,,,,,,,,384.0,0.001,2m,2.0,3.5,1.7000000000000002,806.0,,,,,,,,50.0,0.001,3m,2.0,1.0,1.6,322.0,58.0,0.009000000000000001,4m,2.0,2.0,1.9000000000000001,968.0,986.0,0.01,1m,4.0,2.0,1.5,978.0,,,,,,,,444,0.005,3m,4.0,1.5,1.5,80,336.0,0.002,3m,1.5,2.0,2.0,538.0,0.5,7,COMPLETE
67,67,1.9134675305760742,2025-06-15 01:12:56.502385,2025-06-15 01:13:00.084319,0 days 00:00:03.581934,706.0,0.001,2m,3.0,4.0,1.6,770.0,72.0,0.01,3m,4.0,2.5,0.5,286.0,320.0,0.001,2m,1.5,3.0,0.6,836.0,,,,,,,,90.0,0.001,4m,1.5,1.0,1.7000000000000002,558.0,110.0,0.006,2m,1.0,2.0,1.7000000000000002,1006.0,906.0,0.01,1m,3.0,4.0,1.6,1024.0,,,,,,,,306,0.004,1m,3.5,2.0,1.6,150,394.0,0.001,1m,3.0,1.0,2.0,614.0,0.45,8,COMPLETE
68,68,-3.155687824086854,2025-06-15 01:13:00.164934,2025-06-15 01:13:01.136081,0 days 00:00:00.971147,,,,,,,,,,,,,,,504.0,0.002,2m,1.5,3.5,0.6,902.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518,0.005,4m,4.0,2.0,1.7000000000000002,106,,,,,,,,0.5,2,COMPLETE
