,number,value,datetime_start,datetime_complete,duration,params_AAPL_ZM_beta_win,params_AAPL_ZM_stop_loss,params_AAPL_ZM_trade_freq,params_AAPL_ZM_z_entry,params_AAPL_ZM_z_exit,params_AAPL_ZM_z_stop_scaler,params_AAPL_ZM_z_win,params_ANSS_NXPI_beta_win,params_ANSS_NXPI_stop_loss,params_ANSS_NXPI_trade_freq,params_ANSS_NXPI_z_entry,params_ANSS_NXPI_z_exit,params_ANSS_NXPI_z_stop_scaler,params_ANSS_NXPI_z_win,params_ATVI_EXC_beta_win,params_ATVI_EXC_stop_loss,params_ATVI_EXC_trade_freq,params_ATVI_EXC_z_entry,params_ATVI_EXC_z_exit,params_ATVI_EXC_z_stop_scaler,params_ATVI_EXC_z_win,params_COST_ZM_beta_win,params_COST_ZM_stop_loss,params_COST_ZM_trade_freq,params_COST_ZM_z_entry,params_COST_ZM_z_exit,params_COST_ZM_z_stop_scaler,params_COST_ZM_z_win,params_DXCM_ORLY_beta_win,params_DXCM_ORLY_stop_loss,params_DXCM_ORLY_trade_freq,params_DXCM_ORLY_z_entry,params_DXCM_ORLY_z_exit,params_DXCM_ORLY_z_stop_scaler,params_DXCM_ORLY_z_win,params_EA_ILMN_beta_win,params_EA_ILMN_stop_loss,params_EA_ILMN_trade_freq,params_EA_ILMN_z_entry,params_EA_ILMN_z_exit,params_EA_ILMN_z_stop_scaler,params_EA_ILMN_z_win,params_EBAY_NXPI_beta_win,params_EBAY_NXPI_stop_loss,params_EBAY_NXPI_trade_freq,params_EBAY_NXPI_z_entry,params_EBAY_NXPI_z_exit,params_EBAY_NXPI_z_stop_scaler,params_EBAY_NXPI_z_win,params_QCOM_ZM_beta_win,params_QCOM_ZM_stop_loss,params_QCOM_ZM_trade_freq,params_QCOM_ZM_z_entry,params_QCOM_ZM_z_exit,params_QCOM_ZM_z_stop_scaler,params_QCOM_ZM_z_win,params_REGN_SGEN_beta_win,params_REGN_SGEN_stop_loss,params_REGN_SGEN_trade_freq,params_REGN_SGEN_z_entry,params_REGN_SGEN_z_exit,params_REGN_SGEN_z_stop_scaler,params_REGN_SGEN_z_win,params_SIRI_ZM_beta_win,params_SIRI_ZM_stop_loss,params_SIRI_ZM_trade_freq,params_SIRI_ZM_z_entry,params_SIRI_ZM_z_exit,params_SIRI_ZM_z_stop_scaler,params_SIRI_ZM_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-100.0,2025-06-15 01:10:46.483124,2025-06-15 01:10:47.389274,0 days 00:00:00.906150,,,,,,,,640,0.006,2m,3.0,1.0,2.0,966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
11,11,-0.9237307162335222,2025-06-15 01:10:47.485634,2025-06-15 01:10:51.941469,0 days 00:00:04.455835,,,,,,,,1016,0.01,4m,1.0,2.0,2.0,476,996.0,0.001,3m,4.0,2.5,0.8,728.0,,,,,,,,684.0,0.002,3m,1.0,1.0,2.0,614.0,,,,,,,,24.0,0.007,1m,4.0,1.5,2.0,208.0,48.0,0.01,1m,4.0,1.5,0.5,76.0,692.0,0.005,3m,3.0,2.5,1.0,32.0,,,,,,,,0.3,6,COMPLETE
12,12,2.943463545325537,2025-06-15 01:10:52.041630,2025-06-15 01:10:52.748831,0 days 00:00:00.707201,,,,,,,,742,0.006,2m,2.0,2.5,1.7000000000000002,308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
13,13,3.4115381932940774,2025-06-15 01:10:52.791824,2025-06-15 01:10:53.347726,0 days 00:00:00.555902,,,,,,,,748,0.006,2m,2.5,3.0,1.7000000000000002,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
14,14,3.1105019581737148,2025-06-15 01:10:53.403945,2025-06-15 01:10:53.973584,0 days 00:00:00.569639,,,,,,,,766,0.006,2m,2.5,3.0,1.6,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
15,15,4.258719302231813,2025-06-15 01:10:54.025995,2025-06-15 01:10:54.531781,0 days 00:00:00.505786,,,,,,,,820,0.004,2m,2.5,3.5,1.6,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
16,16,5.698251768696511,2025-06-15 01:10:54.580193,2025-06-15 01:10:55.445254,0 days 00:00:00.865061,,,,,,,,832,0.004,2m,3.0,4.0,1.6,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.0,0.001,1m,2.0,1.0,0.5,1022.0,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
17,17,3.063788729507626,2025-06-15 01:10:55.501231,2025-06-15 01:10:56.429710,0 days 00:00:00.928479,,,,,,,,878,0.002,2m,3.0,4.0,1.5,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.0,0.001,1m,2.0,1.0,0.5,1016.0,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
18,18,1.6792547129862923,2025-06-15 01:10:56.493390,2025-06-15 01:10:57.502658,0 days 00:00:01.009268,,,,,,,,840,0.004,2m,3.5,3.5,1.1,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.0,0.003,1m,1.0,1.5,1.1,792.0,,,,,,,,,,,,,,,,,,,,,,0.5,2,COMPLETE
19,19,3.1636066825946396,2025-06-15 01:10:57.561817,2025-06-15 01:10:59.176309,0 days 00:00:01.614492,,,,,,,,616,0.003,1m,2.0,3.5,1.5,140,,,,,,,,,,,,,,,412.0,0.001,3m,1.0,4.0,1.0,1012.0,,,,,,,,400.0,0.005,1m,2.0,1.0,1.1,400.0,,,,,,,,352.0,0.004,4m,1.5,1.0,1.9000000000000001,18.0,,,,,,,,0.4,4,COMPLETE
