,number,value,datetime_start,datetime_complete,duration,params_AAPL_ZM_beta_win,params_AAPL_ZM_stop_loss,params_AAPL_ZM_trade_freq,params_AAPL_ZM_z_entry,params_AAPL_ZM_z_exit,params_AAPL_ZM_z_stop_scaler,params_AAPL_ZM_z_win,params_ANSS_NXPI_beta_win,params_ANSS_NXPI_stop_loss,params_ANSS_NXPI_trade_freq,params_ANSS_NXPI_z_entry,params_ANSS_NXPI_z_exit,params_ANSS_NXPI_z_stop_scaler,params_ANSS_NXPI_z_win,params_ATVI_EXC_beta_win,params_ATVI_EXC_stop_loss,params_ATVI_EXC_trade_freq,params_ATVI_EXC_z_entry,params_ATVI_EXC_z_exit,params_ATVI_EXC_z_stop_scaler,params_ATVI_EXC_z_win,params_COST_ZM_beta_win,params_COST_ZM_stop_loss,params_COST_ZM_trade_freq,params_COST_ZM_z_entry,params_COST_ZM_z_exit,params_COST_ZM_z_stop_scaler,params_COST_ZM_z_win,params_DXCM_ORLY_beta_win,params_DXCM_ORLY_stop_loss,params_DXCM_ORLY_trade_freq,params_DXCM_ORLY_z_entry,params_DXCM_ORLY_z_exit,params_DXCM_ORLY_z_stop_scaler,params_DXCM_ORLY_z_win,params_EA_ILMN_beta_win,params_EA_ILMN_stop_loss,params_EA_ILMN_trade_freq,params_EA_ILMN_z_entry,params_EA_ILMN_z_exit,params_EA_ILMN_z_stop_scaler,params_EA_ILMN_z_win,params_EBAY_NXPI_beta_win,params_EBAY_NXPI_stop_loss,params_EBAY_NXPI_trade_freq,params_EBAY_NXPI_z_entry,params_EBAY_NXPI_z_exit,params_EBAY_NXPI_z_stop_scaler,params_EBAY_NXPI_z_win,params_QCOM_ZM_beta_win,params_QCOM_ZM_stop_loss,params_QCOM_ZM_trade_freq,params_QCOM_ZM_z_entry,params_QCOM_ZM_z_exit,params_QCOM_ZM_z_stop_scaler,params_QCOM_ZM_z_win,params_REGN_SGEN_beta_win,params_REGN_SGEN_stop_loss,params_REGN_SGEN_trade_freq,params_REGN_SGEN_z_entry,params_REGN_SGEN_z_exit,params_REGN_SGEN_z_stop_scaler,params_REGN_SGEN_z_win,params_SIRI_ZM_beta_win,params_SIRI_ZM_stop_loss,params_SIRI_ZM_trade_freq,params_SIRI_ZM_z_entry,params_SIRI_ZM_z_exit,params_SIRI_ZM_z_stop_scaler,params_SIRI_ZM_z_win,params_buffer_capital,params_pairs_to_trade,state
44,44,6.207388194564682,2025-06-15 01:11:28.143215,2025-06-15 01:11:29.116465,0 days 00:00:00.973250,,,,,,,,962,0.008,2m,2.0,2.5,1.7000000000000002,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,936.0,0.003,3m,4.0,3.0,0.7,484.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
45,45,0.07842856147097377,2025-06-15 01:11:29.162236,2025-06-15 01:11:30.146732,0 days 00:00:00.984496,,,,,,,,984,0.008,2m,2.0,2.5,1.4,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,934.0,0.003,3m,4.0,3.0,0.6,446.0,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
46,46,-4.151893606161427,2025-06-15 01:11:30.201336,2025-06-15 01:11:31.582602,0 days 00:00:01.381266,,,,,,,,954,0.01,4m,1.5,2.0,1.5,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784.0,0.001,3m,3.0,3.5,0.7,490.0,,,,,,,,668.0,0.004,4m,3.0,2.5,1.7000000000000002,358.0,,,,,,,,0.25,3,COMPLETE
47,47,-0.8779082166999849,2025-06-15 01:11:31.634849,2025-06-15 01:11:33.043376,0 days 00:00:01.408527,,,,,,,,712,0.009000000000000001,2m,2.0,1.5,1.2000000000000002,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.0,0.004,3m,3.5,3.0,0.5,648.0,,,,,,,,492.0,0.007,2m,1.0,2.0,1.2000000000000002,848.0,,,,,,,,0.35000000000000003,3,COMPLETE
48,48,2.9490585223273102,2025-06-15 01:11:33.102613,2025-06-15 01:11:34.066465,0 days 00:00:00.963852,,,,,,,,982,0.008,1m,1.5,2.5,1.7000000000000002,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.0,0.002,3m,2.5,4.0,0.8,366.0,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
49,49,-0.7001706905042967,2025-06-15 01:11:34.127936,2025-06-15 01:11:34.622514,0 days 00:00:00.494578,,,,,,,,868,0.009000000000000001,2m,2.0,2.0,1.9000000000000001,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
50,50,4.6520605639643335,2025-06-15 01:11:34.669343,2025-06-15 01:11:36.486733,0 days 00:00:01.817390,,,,,,,,768,0.007,2m,1.5,2.5,1.7000000000000002,112,,,,,,,,,,,,,,,814.0,0.003,1m,3.0,2.0,1.0,402.0,,,,,,,,956.0,0.003,3m,4.0,2.5,0.9,278.0,,,,,,,,128.0,0.002,3m,3.5,1.5,0.7,114.0,,,,,,,,0.25,4,COMPLETE
51,51,5.798401014979807,2025-06-15 01:11:36.533159,2025-06-15 01:11:38.328507,0 days 00:00:01.795348,,,,,,,,786,0.007,2m,1.0,2.5,1.7000000000000002,112,,,,,,,,,,,,,,,810.0,0.003,1m,3.0,2.0,1.1,400.0,,,,,,,,972.0,0.003,3m,4.0,2.5,0.9,122.0,,,,,,,,114.0,0.002,3m,3.5,1.5,0.7,116.0,,,,,,,,0.25,4,COMPLETE
52,52,0.9366684102376137,2025-06-15 01:11:38.380624,2025-06-15 01:11:40.542093,0 days 00:00:02.161469,,,,,,,,36,0.008,2m,1.0,2.5,1.7000000000000002,102,262.0,0.004,1m,1.5,4.0,0.9,486.0,,,,,,,,808.0,0.003,1m,3.0,2.0,1.1,394.0,,,,,,,,950.0,0.003,3m,4.0,2.5,0.9,144.0,,,,,,,,138.0,0.002,3m,3.5,1.5,0.7,120.0,,,,,,,,0.25,5,COMPLETE
53,53,-1.0046237540102774,2025-06-15 01:11:40.611294,2025-06-15 01:11:42.466076,0 days 00:00:01.854782,,,,,,,,932,0.006,2m,1.0,2.0,1.4,168,,,,,,,,,,,,,,,846.0,0.003,1m,3.5,2.0,0.8,548.0,,,,,,,,998.0,0.003,3m,4.0,2.5,0.7,288.0,,,,,,,,258.0,0.003,3m,3.0,1.0,0.5,252.0,,,,,,,,0.15000000000000002,4,COMPLETE
54,54,2.780473007452978,2025-06-15 01:11:42.530651,2025-06-15 01:11:45.061850,0 days 00:00:02.531199,,,,,,,,742,0.007,2m,1.0,2.5,1.5,52,734.0,0.008,2m,2.5,1.0,1.7000000000000002,50.0,,,,,,,,720.0,0.004,1m,2.5,2.0,1.2000000000000002,372.0,,,,,,,,878.0,0.004,3m,3.5,3.0,0.8,166.0,630.0,0.001,1m,1.5,1.0,2.0,276.0,132.0,0.001,3m,4.0,1.5,0.8,112.0,,,,,,,,0.25,6,COMPLETE
55,55,1.2747954502797232,2025-06-15 01:11:45.121901,2025-06-15 01:11:47.173093,0 days 00:00:02.051192,,,,,,,,860,0.008,2m,1.5,2.0,0.5,128,418.0,0.004,1m,3.5,3.0,0.5,844.0,,,,,,,,890.0,0.002,1m,3.0,3.0,1.4,154.0,,,,,,,,820.0,0.002,3m,4.0,3.0,1.0,94.0,,,,,,,,432.0,0.002,3m,3.5,2.0,0.7,440.0,,,,,,,,0.2,5,COMPLETE
56,56,0.694506442843982,2025-06-15 01:11:47.268290,2025-06-15 01:11:50.307896,0 days 00:00:03.039606,1018.0,0.01,1m,3.5,4.0,2.0,20.0,256,0.008,2m,1.0,2.5,1.6,18,1012.0,0.005,3m,1.5,2.0,1.0,566.0,,,,,,,,562.0,0.004,1m,2.0,2.5,0.7,326.0,,,,,,,,950.0,0.001,3m,3.5,2.5,0.6,280.0,808.0,0.005,2m,3.0,4.0,1.0,706.0,276.0,0.003,3m,3.0,1.5,0.7,336.0,,,,,,,,0.15000000000000002,7,COMPLETE
57,57,-4.569915839233771,2025-06-15 01:11:50.374758,2025-06-15 01:11:52.153432,0 days 00:00:01.778674,,,,,,,,774,0.006,3m,1.5,2.0,1.7000000000000002,200,,,,,,,,,,,,,,,722.0,0.002,1m,3.5,1.5,1.0,514.0,,,,,,,,868.0,0.003,3m,4.0,3.5,0.8,16.0,,,,,,,,86.0,0.001,3m,3.5,1.0,1.0,498.0,,,,,,,,0.2,4,COMPLETE
58,58,0.7927800360472131,2025-06-15 01:11:52.212910,2025-06-15 01:11:53.214322,0 days 00:00:01.001412,,,,,,,,662,0.009000000000000001,2m,1.0,2.5,0.6,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020.0,0.005,3m,3.5,3.0,0.5,212.0,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
59,59,-1.2645818358417216,2025-06-15 01:11:53.263746,2025-06-15 01:11:54.587174,0 days 00:00:01.323428,,,,,,,,896,0.007,2m,1.5,1.0,1.3,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782.0,0.004,3m,4.0,2.5,0.9,464.0,,,,,,,,154.0,0.005,3m,4.0,2.0,0.6,72.0,,,,,,,,0.25,3,COMPLETE
60,60,3.2502942735463516,2025-06-15 01:11:54.660835,2025-06-15 01:11:55.948091,0 days 00:00:01.287256,,,,,,,,730,0.006,4m,2.0,2.5,1.6,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,926.0,0.001,3m,3.0,2.0,0.7,578.0,,,,,,,,202.0,0.004,3m,3.0,2.5,1.1,388.0,,,,,,,,0.3,3,COMPLETE
61,61,-100.0,2025-06-15 01:11:56.027300,2025-06-15 01:11:56.625141,0 days 00:00:00.597841,,,,,,,,796,0.007,2m,4.0,3.0,1.8,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
62,62,1.8845544771447558,2025-06-15 01:11:56.694562,2025-06-15 01:12:00.877417,0 days 00:00:04.182855,148.0,0.001,3m,3.0,2.5,1.3,282.0,784,0.007,2m,2.0,3.0,1.9000000000000001,162,238.0,0.002,4m,3.0,3.0,1.4,392.0,1010.0,0.005,1m,1.5,1.0,1.5,938.0,622.0,0.006,1m,2.5,2.5,1.1,696.0,46.0,0.01,3m,1.0,2.5,1.4,1016.0,358.0,0.002,4m,3.5,3.0,0.6,84.0,226.0,0.007,4m,3.5,2.5,0.9,686.0,312.0,0.002,3m,2.0,2.5,0.9,168.0,982.0,0.001,3m,1.0,4.0,1.9000000000000001,964.0,0.4,10,COMPLETE
63,63,5.97217010550622,2025-06-15 01:12:00.964782,2025-06-15 01:12:01.503022,0 days 00:00:00.538240,,,,,,,,846,0.008,2m,3.0,2.5,1.7000000000000002,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
64,64,4.389568286975913,2025-06-15 01:12:01.562283,2025-06-15 01:12:02.524389,0 days 00:00:00.962106,,,,,,,,834,0.01,2m,3.0,2.5,1.7000000000000002,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834.0,0.003,3m,4.0,3.5,1.0,380.0,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
65,65,-0.9110905071875253,2025-06-15 01:12:02.581634,2025-06-15 01:12:03.148574,0 days 00:00:00.566940,,,,,,,,968,0.008,2m,3.0,2.5,1.5,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
66,66,4.906089417481647,2025-06-15 01:12:03.204374,2025-06-15 01:12:04.106109,0 days 00:00:00.901735,,,,,,,,902,0.009000000000000001,1m,3.5,2.0,1.6,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,974.0,0.006,2m,4.0,4.0,0.8,746.0,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
67,67,-0.7772206692793686,2025-06-15 01:12:04.163542,2025-06-15 01:12:05.108111,0 days 00:00:00.944569,,,,,,,,1006,0.009000000000000001,1m,3.5,1.5,1.5,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650.0,0.006,2m,2.5,4.0,0.8,750.0,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
68,68,-5.7274739889745625,2025-06-15 01:12:05.173241,2025-06-15 01:12:06.128915,0 days 00:00:00.955674,,,,,,,,902,0.008,1m,3.5,2.0,1.4,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,982.0,0.007,2m,2.0,4.0,0.5,924.0,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
69,69,5.22892716656554,2025-06-15 01:12:06.194886,2025-06-15 01:12:06.783432,0 days 00:00:00.588546,,,,,,,,854,0.009000000000000001,1m,3.5,2.0,1.6,998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
70,70,4.811823742306034,2025-06-15 01:12:06.840838,2025-06-15 01:12:07.437003,0 days 00:00:00.596165,,,,,,,,936,0.009000000000000001,1m,4.0,1.5,2.0,938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
71,71,4.812428047383142,2025-06-15 01:12:07.483429,2025-06-15 01:12:08.082158,0 days 00:00:00.598729,,,,,,,,938,0.009000000000000001,1m,4.0,1.0,2.0,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
72,72,4.777932173727978,2025-06-15 01:12:08.131702,2025-06-15 01:12:08.552042,0 days 00:00:00.420340,,,,,,,,868,0.01,1m,4.0,1.0,0.9,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
73,73,4.769095131543784,2025-06-15 01:12:08.590746,2025-06-15 01:12:09.556363,0 days 00:00:00.965617,,,,,,,,922,0.009000000000000001,1m,3.5,1.0,1.6,892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746.0,0.008,2m,3.5,4.0,0.7,746.0,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
74,74,5.103973866237274,2025-06-15 01:12:09.651564,2025-06-15 01:12:10.224472,0 days 00:00:00.572908,,,,,,,,852,0.01,1m,4.0,2.0,2.0,972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
75,75,6.301577486578568,2025-06-15 01:12:10.284102,2025-06-15 01:12:11.271040,0 days 00:00:00.986938,,,,,,,,842,0.01,1m,3.5,2.0,1.9000000000000001,692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474.0,0.006,2m,3.5,3.5,0.6,996.0,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
76,76,5.231313758030979,2025-06-15 01:12:11.326273,2025-06-15 01:12:11.861702,0 days 00:00:00.535429,,,,,,,,848,0.01,1m,4.0,1.5,1.9000000000000001,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
77,77,3.5977979327089598,2025-06-15 01:12:11.912105,2025-06-15 01:12:12.761423,0 days 00:00:00.849318,,,,,,,,810,0.01,1m,3.5,1.5,1.9000000000000001,726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454.0,0.007,1m,3.5,3.5,0.6,972.0,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
78,78,5.161615604826171,2025-06-15 01:12:12.818516,2025-06-15 01:12:13.401609,0 days 00:00:00.583093,,,,,,,,682,0.01,1m,3.0,1.5,1.8,760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
79,79,6.423973807357415,2025-06-15 01:12:13.451485,2025-06-15 01:12:14.524186,0 days 00:00:01.072701,,,,,,,,838,0.01,1m,3.5,1.5,1.9000000000000001,642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612.0,0.005,2m,3.0,3.5,0.7,988.0,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
80,80,-0.1503091025138021,2025-06-15 01:12:14.616223,2025-06-15 01:12:15.867075,0 days 00:00:01.250852,,,,,,,,500,0.01,3m,3.0,1.5,1.9000000000000001,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506.0,0.005,2m,3.0,3.5,0.7,992.0,,,,,,,,442.0,0.006,1m,2.5,3.5,1.2000000000000002,580.0,,,,,,,,0.35000000000000003,3,COMPLETE
81,81,6.518814516027041,2025-06-15 01:12:15.921324,2025-06-15 01:12:16.964269,0 days 00:00:01.042945,,,,,,,,840,0.01,1m,3.5,1.5,1.9000000000000001,662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.0,0.006,2m,3.0,3.0,0.5,884.0,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
82,82,6.069600881827795,2025-06-15 01:12:17.019005,2025-06-15 01:12:18.021773,0 days 00:00:01.002768,,,,,,,,822,0.01,1m,3.5,1.5,1.9000000000000001,648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564.0,0.006,2m,3.0,3.0,0.5,890.0,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
83,83,4.944792709509554,2025-06-15 01:12:18.079129,2025-06-15 01:12:19.486795,0 days 00:00:01.407666,,,,,,,,812,0.01,1m,3.5,1.5,1.9000000000000001,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584.0,0.006,2m,3.0,3.0,0.5,896.0,,,,,,,,498.0,0.009000000000000001,1m,1.5,3.5,0.9,230.0,,,,,,,,0.45,3,COMPLETE
84,84,5.099559922817956,2025-06-15 01:12:19.556840,2025-06-15 01:12:20.438657,0 days 00:00:00.881817,,,,,,,,886,0.005,1m,3.5,1.5,1.8,598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424.0,0.006,2m,3.0,3.5,0.6,980.0,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
85,85,5.360827802256532,2025-06-15 01:12:20.507040,2025-06-15 01:12:21.492342,0 days 00:00:00.985302,,,,,,,,746,0.01,1m,3.5,1.5,2.0,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.0,0.007,2m,2.5,3.0,0.5,840.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
86,86,2.4776743887527917,2025-06-15 01:12:21.538647,2025-06-15 01:12:22.936499,0 days 00:00:01.397852,,,,,,,,628,0.01,1m,3.0,1.5,1.8,686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554.0,0.005,2m,3.0,3.5,0.6,922.0,,,,,,,,572.0,0.006,2m,2.5,2.0,1.4,674.0,,,,,,,,0.4,3,COMPLETE
87,87,-100.0,2025-06-15 01:12:22.998503,2025-06-15 01:12:23.980358,0 days 00:00:00.981855,,,,,,,,720,0.009000000000000001,4m,3.0,2.0,2.0,798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514.0,0.006,2m,2.5,3.0,0.5,1020.0,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
88,88,5.160301823811349,2025-06-15 01:12:24.040263,2025-06-15 01:12:24.988312,0 days 00:00:00.948049,,,,,,,,762,0.006,1m,3.5,2.0,1.7000000000000002,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614.0,0.007,2m,3.5,3.5,0.7,958.0,,,,,,,,,,,,,,,,,,,,,,0.05,2,COMPLETE
89,89,3.441610221651632,2025-06-15 01:12:25.042275,2025-06-15 01:12:26.349293,0 days 00:00:01.307018,,,,,,,,818,0.01,1m,3.5,1.5,1.8,682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664.0,0.006,2m,3.0,3.0,0.6,886.0,,,,,,,,920.0,0.008,4m,2.5,3.0,0.5,534.0,,,,,,,,0.45,3,COMPLETE
90,90,1.6892644969803696,2025-06-15 01:12:26.410197,2025-06-15 01:12:30.213975,0 days 00:00:03.803778,28.0,0.01,2m,3.0,1.5,1.0,966.0,880,0.009000000000000001,3m,3.0,3.0,1.9000000000000001,618,706.0,0.01,2m,2.0,2.0,1.8,30.0,32.0,0.01,2m,4.0,4.0,0.6,94.0,444.0,0.008,4m,4.0,1.0,1.7000000000000002,16.0,1002.0,0.004,2m,4.0,2.5,2.0,24.0,458.0,0.005,2m,3.5,3.5,0.5,850.0,746.0,0.003,3m,2.0,3.0,1.6,256.0,62.0,0.007,2m,4.0,3.0,1.1,408.0,,,,,,,,0.35000000000000003,9,COMPLETE
91,91,4.6892721612680175,2025-06-15 01:12:30.282576,2025-06-15 01:12:31.215840,0 days 00:00:00.933264,,,,,,,,830,0.01,1m,3.5,1.5,2.0,476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.0,0.007,2m,2.5,3.0,0.5,814.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
92,92,5.6840599989253855,2025-06-15 01:12:31.252337,2025-06-15 01:12:32.282118,0 days 00:00:01.029781,,,,,,,,404,0.01,1m,3.5,1.5,1.9000000000000001,556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.0,0.007,2m,2.5,3.0,0.5,918.0,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
93,93,-4.8263104942781,2025-06-15 01:12:32.340570,2025-06-15 01:12:33.396961,0 days 00:00:01.056391,,,,,,,,322,0.01,1m,3.5,1.5,1.9000000000000001,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.0,0.008,2m,2.0,3.0,0.6,996.0,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
94,94,-6.062181506484126,2025-06-15 01:12:33.477533,2025-06-15 01:12:34.350866,0 days 00:00:00.873333,,,,,,,,376,0.01,1m,3.5,1.0,1.7000000000000002,734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.0,0.006,2m,3.0,2.5,0.7,930.0,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
95,95,5.663988679113653,2025-06-15 01:12:34.399818,2025-06-15 01:12:35.670314,0 days 00:00:01.270496,,,,,,,,430,0.009000000000000001,2m,2.5,4.0,1.8,674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.0,0.007,1m,2.5,3.0,0.6,892.0,,,,,,,,740.0,0.005,1m,2.0,3.0,1.0,838.0,,,,,,,,0.5,3,COMPLETE
96,96,3.8592230754189205,2025-06-15 01:12:35.736339,2025-06-15 01:12:37.209418,0 days 00:00:01.473079,,,,,,,,448,0.009000000000000001,1m,3.0,1.5,1.8,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426.0,0.007,1m,2.5,3.0,0.6,880.0,,,,,,,,746.0,0.005,1m,2.0,3.0,1.0,906.0,,,,,,,,0.5,3,COMPLETE
97,97,2.0111855866940878,2025-06-15 01:12:37.274179,2025-06-15 01:12:38.864135,0 days 00:00:01.589956,,,,,,,,398,0.01,2m,3.5,4.0,1.8,672,,,,,,,,,,,,,,,190.0,0.001,2m,1.5,3.5,0.6,486.0,,,,,,,,500.0,0.008,1m,2.5,3.0,0.5,950.0,,,,,,,,750.0,0.004,1m,1.5,3.5,0.6,816.0,,,,,,,,0.5,4,COMPLETE
98,98,2.8625935308501202,2025-06-15 01:12:38.935845,2025-06-15 01:12:40.375270,0 days 00:00:01.439425,,,,,,,,296,0.009000000000000001,2m,3.5,4.0,1.7000000000000002,758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588.0,0.007,1m,2.0,3.0,1.7000000000000002,1024.0,,,,,,,,680.0,0.003,1m,1.0,3.5,0.9,710.0,,,,,,,,0.45,3,COMPLETE
99,99,-0.3091362661600033,2025-06-15 01:12:40.424325,2025-06-15 01:12:41.646908,0 days 00:00:01.222583,,,,,,,,456,0.01,1m,2.5,4.0,1.8,606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536.0,0.005,1m,1.5,3.5,0.6,906.0,,,,,,,,958.0,0.007,1m,2.5,2.5,1.2000000000000002,948.0,,,,,,,,0.4,3,COMPLETE
100,100,3.3416014597624786,2025-06-15 01:12:41.720031,2025-06-15 01:12:42.822525,0 days 00:00:01.102494,,,,,,,,378,0.009000000000000001,2m,3.0,2.5,1.7000000000000002,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.0,0.009000000000000001,2m,2.5,1.5,0.5,810.0,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
101,101,0.08744004133940816,2025-06-15 01:12:42.901674,2025-06-15 01:12:44.595678,0 days 00:00:01.694004,,,,,,,,348,0.008,2m,2.5,4.0,1.9000000000000001,676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452.0,0.006,1m,2.5,3.5,0.7,950.0,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
102,102,-9.709170554633745,2025-06-15 01:12:44.682578,2025-06-15 01:12:46.528674,0 days 00:00:01.846096,,,,,,,,508,0.008,2m,2.5,3.5,1.9000000000000001,646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490.0,0.004,4m,3.0,2.5,0.6,864.0,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
103,103,-1.1460359095387675,2025-06-15 01:12:46.618210,2025-06-15 01:12:48.369838,0 days 00:00:01.751628,,,,,,,,180,0.01,2m,2.5,4.0,1.8,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.0,0.007,2m,3.0,3.0,0.5,994.0,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
104,104,0.16308684925682462,2025-06-15 01:12:48.458835,2025-06-15 01:12:50.860956,0 days 00:00:02.402121,,,,,,,,796,0.009000000000000001,2m,2.5,2.5,1.9000000000000001,698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610.0,0.005,1m,2.0,3.0,2.0,908.0,,,,,,,,804.0,0.009000000000000001,1m,2.0,2.5,1.3,808.0,,,,,,,,0.35000000000000003,3,COMPLETE
105,105,-100.0,2025-06-15 01:12:50.958220,2025-06-15 01:12:51.835284,0 days 00:00:00.877064,,,,,,,,472,0.007,2m,3.5,2.0,2.0,758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
106,106,2.2556931872304413,2025-06-15 01:12:51.935770,2025-06-15 01:12:53.738822,0 days 00:00:01.803052,,,,,,,,958,0.01,4m,3.0,2.5,1.8,628,,,,,,,,,,,,,,,270.0,0.005,4m,2.0,3.0,1.4,642.0,,,,,,,,332.0,0.006,2m,3.5,3.5,0.8,968.0,,,,,,,,600.0,0.008,4m,2.5,3.0,1.4,606.0,,,,,,,,0.3,4,COMPLETE
107,107,-1.645185485307181,2025-06-15 01:12:53.804810,2025-06-15 01:12:54.725864,0 days 00:00:00.921054,,,,,,,,690,0.008,2m,3.5,1.5,1.7000000000000002,588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.0,0.007,2m,4.0,1.0,0.7,824.0,,,,,,,,,,,,,,,,,,,,,,0.5,2,COMPLETE
108,108,-4.992178245605407,2025-06-15 01:12:54.788405,2025-06-15 01:12:55.402989,0 days 00:00:00.614584,,,,,,,,990,0.009000000000000001,2m,2.5,3.5,1.9000000000000001,666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
