,number,value,datetime_start,datetime_complete,duration,params_AMD_VRTX_beta_win,params_AMD_VRTX_stop_loss,params_AMD_VRTX_trade_freq,params_AMD_VRTX_z_entry,params_AMD_VRTX_z_exit,params_AMD_VRTX_z_stop_scaler,params_AMD_VRTX_z_win,params_CERN_VRTX_beta_win,params_CERN_VRTX_stop_loss,params_CERN_VRTX_trade_freq,params_CERN_VRTX_z_entry,params_CERN_VRTX_z_exit,params_CERN_VRTX_z_stop_scaler,params_CERN_VRTX_z_win,params_CHKP_VRTX_beta_win,params_CHKP_VRTX_stop_loss,params_CHKP_VRTX_trade_freq,params_CHKP_VRTX_z_entry,params_CHKP_VRTX_z_exit,params_CHKP_VRTX_z_stop_scaler,params_CHKP_VRTX_z_win,params_CHTR_VRTX_beta_win,params_CHTR_VRTX_stop_loss,params_CHTR_VRTX_trade_freq,params_CHTR_VRTX_z_entry,params_CHTR_VRTX_z_exit,params_CHTR_VRTX_z_stop_scaler,params_CHTR_VRTX_z_win,params_CTSH_VRTX_beta_win,params_CTSH_VRTX_stop_loss,params_CTSH_VRTX_trade_freq,params_CTSH_VRTX_z_entry,params_CTSH_VRTX_z_exit,params_CTSH_VRTX_z_stop_scaler,params_CTSH_VRTX_z_win,params_LULU_VRTX_beta_win,params_LULU_VRTX_stop_loss,params_LULU_VRTX_trade_freq,params_LULU_VRTX_z_entry,params_LULU_VRTX_z_exit,params_LULU_VRTX_z_stop_scaler,params_LULU_VRTX_z_win,params_PTON_VRTX_beta_win,params_PTON_VRTX_stop_loss,params_PTON_VRTX_trade_freq,params_PTON_VRTX_z_entry,params_PTON_VRTX_z_exit,params_PTON_VRTX_z_stop_scaler,params_PTON_VRTX_z_win,params_QCOM_VRTX_beta_win,params_QCOM_VRTX_stop_loss,params_QCOM_VRTX_trade_freq,params_QCOM_VRTX_z_entry,params_QCOM_VRTX_z_exit,params_QCOM_VRTX_z_stop_scaler,params_QCOM_VRTX_z_win,params_TMUS_VRTX_beta_win,params_TMUS_VRTX_stop_loss,params_TMUS_VRTX_trade_freq,params_TMUS_VRTX_z_entry,params_TMUS_VRTX_z_exit,params_TMUS_VRTX_z_stop_scaler,params_TMUS_VRTX_z_win,params_VRSK_VRTX_beta_win,params_VRSK_VRTX_stop_loss,params_VRSK_VRTX_trade_freq,params_VRSK_VRTX_z_entry,params_VRSK_VRTX_z_exit,params_VRSK_VRTX_z_stop_scaler,params_VRSK_VRTX_z_win,params_buffer_capital,params_pairs_to_trade,state
41,41,6.297316601906371,2025-06-15 00:12:01.765407,2025-06-15 00:12:04.349797,0 days 00:00:02.584390,,,,,,,,960.0,0.008,1m,2.0,2.5,1.4,208.0,298.0,0.002,4m,2.5,2.0,0.8,638.0,,,,,,,,298.0,0.002,3m,3.5,3.5,0.7,776.0,,,,,,,,,,,,,,,536,0.003,3m,4.0,3.5,0.8,682,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
42,42,2.433179989210407,2025-06-15 00:12:04.426480,2025-06-15 00:12:07.542496,0 days 00:00:03.116016,728.0,0.01,2m,2.0,1.5,1.1,398.0,910.0,0.008,1m,2.0,2.5,1.3,166.0,382.0,0.001,4m,2.5,2.5,1.0,496.0,,,,,,,,64.0,0.002,3m,3.0,3.5,0.7,842.0,,,,,,,,,,,,,,,578,0.002,3m,4.0,3.5,0.8,648,,,,,,,,,,,,,,,0.35000000000000003,5,COMPLETE
43,43,7.536657616054323,2025-06-15 00:12:07.640477,2025-06-15 00:12:09.564397,0 days 00:00:01.923920,,,,,,,,808.0,0.007,1m,1.5,2.5,1.2000000000000002,266.0,246.0,0.002,4m,3.0,2.0,0.6,562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,0.001,3m,4.0,4.0,0.6,630,,,,,,,,,,,,,,,0.4,3,COMPLETE
44,44,5.669057707893917,2025-06-15 00:12:09.654519,2025-06-15 00:12:11.606303,0 days 00:00:01.951784,,,,,,,,820.0,0.007,1m,1.0,3.0,1.2000000000000002,268.0,174.0,0.007,4m,3.0,1.5,0.6,332.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668,0.001,3m,4.0,4.0,0.6,526,,,,,,,,,,,,,,,0.4,3,COMPLETE
45,45,1.3468434751263394,2025-06-15 00:12:11.676289,2025-06-15 00:12:13.068158,0 days 00:00:01.391869,,,,,,,,,,,,,,,92.0,0.001,1m,3.5,1.5,0.5,532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622,0.001,1m,3.0,4.0,0.5,620,,,,,,,,,,,,,,,0.4,2,COMPLETE
46,46,-6.885284157787467,2025-06-15 00:12:13.164106,2025-06-15 00:12:15.122053,0 days 00:00:01.957947,,,,,,,,516.0,0.007,1m,1.5,2.0,1.1,386.0,220.0,0.002,3m,3.5,2.0,0.6,576.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762,0.002,3m,3.5,3.0,0.6,728,,,,,,,,,,,,,,,0.3,3,COMPLETE
47,47,3.1126980831081528,2025-06-15 00:12:15.204863,2025-06-15 00:12:18.458969,0 days 00:00:03.254106,1010.0,0.002,4m,3.5,3.0,0.7,528.0,786.0,0.008,2m,1.0,1.5,1.7000000000000002,436.0,252.0,0.009000000000000001,4m,3.0,1.5,0.7,476.0,,,,,,,,694.0,0.005,2m,2.0,3.0,0.9,904.0,,,,,,,,,,,,,,,460,0.001,3m,4.0,4.0,0.7,464,,,,,,,,,,,,,,,0.45,5,COMPLETE
48,48,7.19911935426541,2025-06-15 00:12:18.532654,2025-06-15 00:12:22.289560,0 days 00:00:03.756906,492.0,0.004,2m,1.5,4.0,2.0,642.0,732.0,0.009000000000000001,1m,1.5,2.0,1.5,96.0,318.0,0.003,1m,3.0,2.5,0.5,404.0,,,,,,,,524.0,0.003,4m,3.0,2.5,1.4,642.0,432.0,0.003,2m,2.0,1.5,0.7,92.0,,,,,,,,920,0.001,3m,3.0,4.0,1.2000000000000002,782,,,,,,,,,,,,,,,0.2,6,COMPLETE
49,49,0.8055448853568782,2025-06-15 00:12:22.394559,2025-06-15 00:12:24.237507,0 days 00:00:01.842948,,,,,,,,854.0,0.005,3m,1.0,2.5,1.6,312.0,170.0,0.007,4m,2.5,1.0,1.1,362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,0.008,3m,3.5,3.0,0.9,544,,,,,,,,,,,,,,,0.25,3,COMPLETE
50,50,1.827457627073309,2025-06-15 00:12:24.305111,2025-06-15 00:12:25.774031,0 days 00:00:01.468920,,,,,,,,,,,,,,,754.0,0.004,1m,2.0,2.0,0.9,260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788,0.003,1m,4.0,2.5,1.0,706,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
51,51,4.86418406389366,2025-06-15 00:12:25.863675,2025-06-15 00:12:29.535336,0 days 00:00:03.671661,492.0,0.004,2m,1.5,4.0,2.0,636.0,722.0,0.009000000000000001,1m,1.5,2.0,1.5,106.0,328.0,0.003,1m,3.0,2.5,0.5,414.0,,,,,,,,534.0,0.003,4m,3.0,2.5,1.4,654.0,408.0,0.003,2m,2.0,1.5,0.7,36.0,,,,,,,,1014,0.001,3m,3.0,4.0,1.4,926,,,,,,,,,,,,,,,0.2,6,COMPLETE
52,52,4.748490375156008,2025-06-15 00:12:29.635704,2025-06-15 00:12:34.008196,0 days 00:00:04.372492,556.0,0.002,2m,1.5,4.0,1.8,784.0,812.0,0.009000000000000001,1m,1.5,2.0,1.3,58.0,458.0,0.003,1m,3.0,3.0,0.6,552.0,,,,,,,,408.0,0.003,4m,3.5,3.0,1.2000000000000002,498.0,184.0,0.001,2m,2.0,1.5,0.8,202.0,,,,,,,,916,0.002,3m,3.0,4.0,1.2000000000000002,788,,,,,,,,988.0,0.001,3m,3.0,3.5,1.0,402.0,0.15000000000000002,7,COMPLETE
53,53,1.988614114696965,2025-06-15 00:12:34.101588,2025-06-15 00:12:39.223510,0 days 00:00:05.121922,370.0,0.004,2m,2.0,3.5,1.8,598.0,754.0,0.008,1m,1.5,2.0,1.5,248.0,354.0,0.002,1m,3.0,2.5,0.5,384.0,,,,,,,,522.0,0.004,4m,3.0,2.5,0.9,748.0,280.0,0.003,2m,1.0,1.0,1.1,78.0,1024.0,0.006,2m,2.5,2.5,2.0,50.0,418,0.001,3m,3.0,4.0,0.7,638,790.0,0.01,4m,4.0,4.0,1.8,976.0,802.0,0.003,2m,2.5,3.0,0.5,278.0,0.2,9,COMPLETE
54,54,-3.7207708651355778,2025-06-15 00:12:39.325568,2025-06-15 00:12:43.633553,0 days 00:00:04.307985,262.0,0.003,2m,1.0,3.0,1.2000000000000002,460.0,902.0,0.009000000000000001,1m,2.0,1.5,1.4,126.0,548.0,0.001,1m,3.5,2.0,0.7,316.0,,,,,,,,658.0,0.001,4m,2.5,3.0,1.1,612.0,118.0,0.004,1m,1.5,1.5,0.5,372.0,,,,,,,,674,0.002,3m,2.5,3.5,0.8,894,,,,,,,,524.0,0.002,1m,1.0,3.5,1.0,826.0,0.2,7,COMPLETE
55,55,6.20132466730942,2025-06-15 00:12:43.744932,2025-06-15 00:12:46.422849,0 days 00:00:02.677917,,,,,,,,980.0,0.008,1m,1.5,2.5,1.6,184.0,240.0,0.01,1m,2.5,1.5,0.8,440.0,,,,,,,,854.0,0.005,2m,4.0,1.5,0.6,718.0,,,,,,,,,,,,,,,604,0.001,4m,3.5,4.0,1.2000000000000002,462,,,,,,,,,,,,,,,0.3,4,COMPLETE
56,56,-3.9973249927741166,2025-06-15 00:12:46.504472,2025-06-15 00:12:52.740142,0 days 00:00:06.235670,822.0,0.005,2m,2.5,4.0,1.7000000000000002,722.0,310.0,0.01,2m,2.5,3.0,1.2000000000000002,76.0,180.0,0.005,4m,2.0,2.5,0.5,494.0,38.0,0.01,1m,2.5,3.5,0.6,48.0,466.0,0.004,3m,3.5,2.5,1.4,630.0,454.0,0.002,3m,2.5,1.0,0.7,250.0,414.0,0.006,3m,2.0,2.0,1.2000000000000002,702.0,958,0.002,3m,2.5,3.5,0.9,590,838.0,0.004,2m,1.0,2.5,0.9,258.0,788.0,0.005,3m,4.0,2.5,1.4,596.0,0.25,10,COMPLETE
57,57,2.5023581909885575,2025-06-15 00:12:52.838914,2025-06-15 00:12:55.925266,0 days 00:00:03.086352,118.0,0.007,3m,1.0,4.0,1.5,874.0,602.0,0.002,4m,1.0,2.0,1.1,22.0,322.0,0.002,3m,3.5,2.0,0.6,732.0,,,,,,,,560.0,0.003,4m,4.0,2.0,0.8,532.0,,,,,,,,,,,,,,,728,0.001,4m,3.0,3.5,0.6,520,,,,,,,,,,,,,,,0.1,5,COMPLETE
58,58,3.5453959801042463,2025-06-15 00:12:56.037578,2025-06-15 00:13:00.978387,0 days 00:00:04.940809,662.0,0.001,4m,1.5,3.5,1.9000000000000001,818.0,482.0,0.006,1m,2.5,2.5,1.4,254.0,392.0,0.004,1m,1.5,1.5,1.3,414.0,,,,,,,,638.0,0.002,3m,3.0,3.0,1.0,872.0,22.0,0.004,2m,1.5,2.5,1.2000000000000002,128.0,,,,,,,,828,0.003,3m,3.5,3.0,1.0,566,378.0,0.002,3m,3.0,3.0,1.7000000000000002,42.0,426.0,0.005,3m,3.0,4.0,1.9000000000000001,818.0,0.4,8,COMPLETE
59,59,7.663681871188587,2025-06-15 00:13:01.081139,2025-06-15 00:13:01.898172,0 days 00:00:00.817033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884,0.007,4m,3.0,4.0,1.1,678,,,,,,,,,,,,,,,0.45,1,COMPLETE
60,60,-100.0,2025-06-15 00:13:01.977015,2025-06-15 00:13:02.813877,0 days 00:00:00.836862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504,0.007,4m,3.5,2.5,1.1,672,,,,,,,,,,,,,,,0.45,1,COMPLETE
61,61,7.713436774204367,2025-06-15 00:13:02.915616,2025-06-15 00:13:03.701913,0 days 00:00:00.786297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928,0.007,4m,2.5,4.0,1.2000000000000002,710,,,,,,,,,,,,,,,0.45,1,COMPLETE
62,62,7.014379634546396,2025-06-15 00:13:03.764420,2025-06-15 00:13:04.593900,0 days 00:00:00.829480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,0.007,4m,2.0,4.0,1.4,712,,,,,,,,,,,,,,,0.5,1,COMPLETE
63,63,6.85927698697243,2025-06-15 00:13:04.661831,2025-06-15 00:13:05.372815,0 days 00:00:00.710984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878,0.006,4m,2.5,4.0,1.1,608,,,,,,,,,,,,,,,0.45,1,COMPLETE
64,64,1.9128373097961906,2025-06-15 00:13:05.457210,2025-06-15 00:13:06.695303,0 days 00:00:01.238093,,,,,,,,,,,,,,,916.0,0.008,4m,2.0,1.0,1.1,664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462,0.008,4m,2.5,3.5,0.8,632,,,,,,,,,,,,,,,0.45,2,COMPLETE
65,65,-0.5873790106465301,2025-06-15 00:13:06.767354,2025-06-15 00:13:07.514406,0 days 00:00:00.747052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,0.008,4m,2.5,4.0,0.7,670,,,,,,,,,,,,,,,0.4,1,COMPLETE
66,66,6.918580722397093,2025-06-15 00:13:07.607395,2025-06-15 00:13:09.779726,0 days 00:00:02.172331,,,,,,,,1016.0,0.007,3m,2.0,3.0,1.7000000000000002,350.0,522.0,0.006,2m,2.5,2.0,1.4,194.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910,0.006,4m,2.5,3.5,0.9,578,,,,,,,,,,,,,,,0.5,3,COMPLETE
67,67,2.058678260688227,2025-06-15 00:13:09.850169,2025-06-15 00:13:11.222287,0 days 00:00:01.372118,,,,,,,,,,,,,,,70.0,0.001,4m,1.5,1.5,1.2000000000000002,628.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784,0.007,4m,3.0,4.0,1.0,738,,,,,,,,,,,,,,,0.4,2,COMPLETE
68,68,-1.2086751414956125,2025-06-15 00:13:11.299441,2025-06-15 00:13:12.064023,0 days 00:00:00.764582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564,0.01,2m,2.0,3.0,1.3,506,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
69,69,-1.9522244961236284,2025-06-15 00:13:12.156004,2025-06-15 00:13:14.710374,0 days 00:00:02.554370,,,,,,,,30.0,0.004,4m,1.0,1.0,1.0,490.0,32.0,0.009000000000000001,2m,2.0,1.5,1.0,560.0,,,,,,,,1006.0,0.01,3m,1.0,1.5,0.6,954.0,,,,,,,,,,,,,,,664,0.005,4m,3.5,3.5,0.6,450,,,,,,,,,,,,,,,0.4,4,COMPLETE
70,70,0.7134645087979565,2025-06-15 00:13:14.781750,2025-06-15 00:13:17.769076,0 days 00:00:02.987326,,,,,,,,372.0,0.005,4m,1.0,1.5,1.9000000000000001,420.0,450.0,0.005,4m,4.0,1.0,0.7,516.0,,,,,,,,194.0,0.001,3m,1.5,4.0,0.8,354.0,,,,,,,,,,,,,,,354,0.007,1m,3.0,2.5,0.9,824,,,,,,,,,,,,,,,0.45,4,COMPLETE
71,71,7.516457655335645,2025-06-15 00:13:17.840324,2025-06-15 00:13:21.789340,0 days 00:00:03.949016,512.0,0.003,3m,2.5,3.0,1.0,1006.0,774.0,0.009000000000000001,1m,1.5,2.0,1.3,140.0,114.0,0.004,1m,3.0,3.0,0.5,358.0,,,,,,,,726.0,0.004,4m,3.5,2.5,1.3,822.0,326.0,0.002,2m,2.5,2.0,0.8,466.0,,,,,,,,922,0.002,4m,3.0,4.0,1.2000000000000002,792,,,,,,,,,,,,,,,0.45,6,COMPLETE
72,72,5.787445292696457,2025-06-15 00:13:21.882228,2025-06-15 00:13:25.144508,0 days 00:00:03.262280,882.0,0.003,3m,2.5,2.5,1.0,962.0,842.0,0.008,1m,1.5,2.0,1.1,178.0,110.0,0.004,1m,2.5,3.0,0.6,286.0,,,,,,,,810.0,0.005,2m,4.0,3.0,1.3,886.0,,,,,,,,,,,,,,,974,0.002,4m,2.5,4.0,1.2000000000000002,856,,,,,,,,,,,,,,,0.45,5,COMPLETE
73,73,4.11229212836995,2025-06-15 00:13:25.230078,2025-06-15 00:13:27.361010,0 days 00:00:02.130932,,,,,,,,426.0,0.003,3m,1.5,2.5,1.3,234.0,140.0,0.01,2m,3.0,3.0,0.8,346.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,874,0.006,4m,2.5,4.0,1.3,688,,,,,,,,,,,,,,,0.5,3,COMPLETE
74,74,-0.3572415772842613,2025-06-15 00:13:27.441281,2025-06-15 00:13:28.841019,0 days 00:00:01.399738,,,,,,,,,,,,,,,194.0,0.003,3m,3.5,3.5,0.5,472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814,0.009000000000000001,4m,3.0,4.0,0.8,774,,,,,,,,,,,,,,,0.45,2,COMPLETE
75,75,1.026346368359742,2025-06-15 00:13:28.927011,2025-06-15 00:13:33.331411,0 days 00:00:04.404400,380.0,0.002,3m,3.5,3.0,0.7,348.0,774.0,0.007,1m,2.0,1.5,1.3,282.0,58.0,0.004,4m,3.0,4.0,0.7,246.0,,,,,,,,940.0,0.004,3m,3.5,2.0,1.7000000000000002,976.0,314.0,0.002,3m,3.5,2.0,1.4,626.0,,,,,,,,930,0.002,4m,3.0,3.5,1.1,560,,,,,,,,176.0,0.003,2m,1.5,2.0,1.0,994.0,0.4,7,COMPLETE
76,76,-100.0,2025-06-15 00:13:33.399527,2025-06-15 00:13:34.204888,0 days 00:00:00.805361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612,0.003,4m,3.5,4.0,0.7,600,,,,,,,,,,,,,,,0.5,1,COMPLETE
77,77,-2.4076733189603488,2025-06-15 00:13:34.285100,2025-06-15 00:13:36.971954,0 days 00:00:02.686854,,,,,,,,890.0,0.01,2m,1.0,2.0,1.2000000000000002,160.0,658.0,0.002,1m,2.5,3.0,1.1,432.0,,,,,,,,750.0,0.006,1m,4.0,2.5,1.2000000000000002,808.0,,,,,,,,,,,,,,,738,0.002,4m,4.0,3.0,1.1,398,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
78,78,-6.012609999773846,2025-06-15 00:13:37.073299,2025-06-15 00:13:42.876033,0 days 00:00:05.802734,538.0,0.003,3m,2.5,2.5,1.1,100.0,674.0,0.006,1m,1.5,2.5,0.9,130.0,248.0,0.005,2m,1.0,3.5,0.8,596.0,,,,,,,,700.0,0.004,3m,2.0,3.5,0.9,732.0,158.0,0.001,1m,2.5,2.5,0.9,422.0,736.0,0.004,4m,3.5,3.5,1.6,672.0,526,0.004,2m,1.5,1.0,0.5,662,840.0,0.005,3m,1.5,2.0,0.9,718.0,734.0,0.009000000000000001,1m,3.5,3.5,1.3,498.0,0.45,9,COMPLETE
79,79,3.996748911348218,2025-06-15 00:13:42.969262,2025-06-15 00:13:46.921344,0 days 00:00:03.952082,80.0,0.001,3m,3.0,1.5,1.3,928.0,260.0,0.001,4m,2.5,1.5,1.4,708.0,158.0,0.006,4m,2.0,2.0,1.8,374.0,,,,,,,,784.0,0.002,4m,3.5,2.0,1.9000000000000001,918.0,220.0,0.005,3m,3.0,2.5,1.1,460.0,,,,,,,,988,0.005,4m,2.5,4.0,1.4,486,,,,,,,,,,,,,,,0.4,6,COMPLETE
80,80,0.4515839382384821,2025-06-15 00:13:46.996036,2025-06-15 00:13:49.298142,0 days 00:00:02.302106,,,,,,,,976.0,0.008,1m,2.0,3.5,1.6,566.0,132.0,0.001,4m,2.5,1.5,0.9,310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,948,0.007,3m,3.5,3.5,1.0,532,,,,,,,,,,,,,,,0.3,3,COMPLETE
81,81,0.814014998570667,2025-06-15 00:13:49.369753,2025-06-15 00:13:53.275172,0 days 00:00:03.905419,434.0,0.003,3m,2.0,3.5,0.8,984.0,742.0,0.009000000000000001,1m,1.5,2.0,1.5,56.0,368.0,0.003,1m,3.0,2.5,0.5,478.0,,,,,,,,616.0,0.003,4m,3.5,2.5,1.4,850.0,532.0,0.003,2m,2.0,1.5,0.7,276.0,,,,,,,,856,0.001,3m,3.0,4.0,1.2000000000000002,796,,,,,,,,,,,,,,,0.15000000000000002,6,COMPLETE
82,82,2.645601073175452,2025-06-15 00:13:53.357254,2025-06-15 00:13:58.180154,0 days 00:00:04.822900,608.0,0.005,1m,2.0,3.5,1.0,1020.0,784.0,0.009000000000000001,1m,1.5,2.0,1.5,118.0,316.0,0.003,1m,3.0,2.5,0.5,396.0,,,,,,,,726.0,0.003,4m,3.0,2.5,1.3,550.0,374.0,0.002,2m,2.5,1.0,0.8,114.0,,,,,,,,900,0.001,3m,3.0,4.0,1.2000000000000002,762,,,,,,,,886.0,0.002,3m,2.0,3.0,0.8,36.0,0.25,7,COMPLETE
83,83,2.4824092802936484,2025-06-15 00:13:58.268445,2025-06-15 00:14:02.042571,0 days 00:00:03.774126,478.0,0.002,3m,2.0,4.0,1.2000000000000002,696.0,940.0,0.009000000000000001,1m,1.5,2.0,1.7000000000000002,218.0,270.0,0.002,1m,3.0,2.5,0.6,442.0,,,,,,,,576.0,0.003,4m,3.5,1.5,1.6,722.0,472.0,0.004,2m,2.0,2.0,0.6,352.0,,,,,,,,830,0.002,3m,3.0,4.0,1.5,704,,,,,,,,,,,,,,,0.2,6,COMPLETE
84,84,-2.198372544520496,2025-06-15 00:14:02.123596,2025-06-15 00:14:05.657919,0 days 00:00:03.534323,252.0,0.006,2m,1.5,3.0,1.5,458.0,692.0,0.01,1m,1.5,2.0,1.6,68.0,212.0,0.004,1m,3.5,2.0,0.6,498.0,,,,,,,,434.0,0.004,4m,3.5,3.0,1.5,788.0,,,,,,,,,,,,,,,1022,0.002,3m,3.0,1.5,1.3,882,,,,,,,,,,,,,,,0.3,5,COMPLETE
85,85,-2.744783236510642,2025-06-15 00:14:05.731853,2025-06-15 00:14:08.806859,0 days 00:00:03.075006,714.0,0.004,1m,2.5,3.5,0.9,594.0,838.0,0.008,1m,3.5,2.5,1.4,188.0,302.0,0.007,1m,3.0,3.5,0.5,212.0,,,,,,,,368.0,0.002,3m,2.5,2.5,1.1,648.0,,,,,,,,,,,,,,,948,0.001,1m,2.5,2.0,1.2000000000000002,732,,,,,,,,,,,,,,,0.35000000000000003,5,COMPLETE
86,86,-2.1860982350943883,2025-06-15 00:14:08.883464,2025-06-15 00:14:13.024686,0 days 00:00:04.141222,508.0,0.009000000000000001,4m,3.0,3.0,0.6,234.0,140.0,0.009000000000000001,1m,1.0,2.0,1.5,150.0,94.0,0.003,1m,2.5,2.0,0.7,362.0,,,,,,,,488.0,0.003,1m,3.0,3.0,1.0,692.0,594.0,0.003,2m,1.5,1.0,1.0,220.0,,,,,,,,382,0.002,3m,3.5,4.0,1.3,624,,,,,,,,,,,,,,,0.45,6,COMPLETE
87,87,-0.4634459980024525,2025-06-15 00:14:13.097887,2025-06-15 00:14:15.658107,0 days 00:00:02.560220,,,,,,,,876.0,0.008,1m,2.0,1.5,1.3,106.0,238.0,0.004,2m,3.0,1.5,0.6,530.0,,,,,,,,828.0,0.005,4m,4.0,2.0,1.8,824.0,,,,,,,,,,,,,,,896,0.003,3m,2.0,3.5,0.8,814,,,,,,,,,,,,,,,0.4,4,COMPLETE
88,88,6.331276798032571,2025-06-15 00:14:15.748348,2025-06-15 00:14:17.244542,0 days 00:00:01.496194,,,,,,,,,,,,,,,390.0,0.003,4m,2.0,2.5,0.5,418.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468,0.001,3m,3.0,4.0,1.1,28,,,,,,,,,,,,,,,0.25,2,COMPLETE
89,89,4.923668231926639,2025-06-15 00:14:17.317059,2025-06-15 00:14:21.849403,0 days 00:00:04.532344,346.0,0.001,1m,2.5,4.0,1.9000000000000001,336.0,792.0,0.007,4m,1.5,2.5,1.8,312.0,118.0,0.002,3m,2.5,3.0,0.6,452.0,,,,,,,,624.0,0.004,3m,3.5,2.5,1.2000000000000002,488.0,274.0,0.002,2m,2.5,1.5,1.3,600.0,,,,,,,,706,0.008,2m,4.0,3.5,0.6,692,,,,,,,,490.0,0.004,3m,2.5,1.5,1.8,230.0,0.05,7,COMPLETE
90,90,1.5024019064377598,2025-06-15 00:14:21.941552,2025-06-15 00:14:24.814079,0 days 00:00:02.872527,,,,,,,,554.0,0.009000000000000001,1m,1.0,2.0,1.6,852.0,190.0,0.001,1m,1.5,1.5,0.7,970.0,,,,,,,,896.0,0.002,3m,3.0,3.5,1.6,1000.0,,,,,,,,,,,,,,,644,0.003,4m,2.5,4.0,0.7,642,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
91,91,7.862725623167428,2025-06-15 00:14:24.886145,2025-06-15 00:14:27.560635,0 days 00:00:02.674490,,,,,,,,932.0,0.007,1m,2.0,2.5,1.4,210.0,286.0,0.002,4m,2.5,2.0,0.8,628.0,,,,,,,,322.0,0.002,3m,3.5,3.5,0.6,784.0,,,,,,,,,,,,,,,556,0.002,3m,4.0,3.5,2.0,752,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
92,92,0.2000284927694336,2025-06-15 00:14:27.642413,2025-06-15 00:14:31.201663,0 days 00:00:03.559250,148.0,0.003,2m,2.0,3.5,1.1,756.0,860.0,0.007,1m,2.0,2.5,1.4,236.0,266.0,0.002,4m,2.5,2.0,0.8,568.0,,,,,,,,214.0,0.009000000000000001,3m,3.5,4.0,0.6,764.0,,,,,,,,,,,,,,,554,0.002,3m,4.0,3.0,1.2000000000000002,768,,,,,,,,,,,,,,,0.3,5,COMPLETE
93,93,0.8494238935954714,2025-06-15 00:14:31.282399,2025-06-15 00:14:36.301770,0 days 00:00:05.019371,596.0,0.004,1m,1.5,2.5,1.3,198.0,930.0,0.006,1m,1.5,2.0,1.5,136.0,362.0,0.002,4m,3.0,2.0,0.9,708.0,,,,,,,,308.0,0.002,3m,3.5,3.5,0.5,712.0,128.0,0.003,2m,2.0,1.5,0.8,406.0,,,,,,,,506,0.001,3m,4.0,3.5,2.0,998,526.0,0.003,4m,3.5,4.0,0.6,264.0,22.0,0.007,1m,1.0,2.5,1.6,396.0,0.35000000000000003,8,COMPLETE
94,94,8.120549329039035,2025-06-15 00:14:36.396168,2025-06-15 00:14:39.113820,0 days 00:00:02.717652,,,,,,,,812.0,0.008,1m,1.5,2.5,1.2000000000000002,176.0,432.0,0.003,4m,3.0,2.5,0.5,648.0,,,,,,,,358.0,0.003,3m,3.5,3.0,1.7000000000000002,862.0,,,,,,,,,,,,,,,580,0.002,3m,4.0,3.5,1.9000000000000001,750,,,,,,,,,,,,,,,0.4,4,COMPLETE
95,95,2.8264999855468846,2025-06-15 00:14:39.168873,2025-06-15 00:14:41.651668,0 days 00:00:02.482795,,,,,,,,912.0,0.008,1m,2.0,3.0,1.2000000000000002,180.0,408.0,0.001,4m,2.0,2.0,1.0,786.0,,,,,,,,352.0,0.001,3m,4.0,3.0,1.7000000000000002,872.0,,,,,,,,,,,,,,,586,0.002,3m,4.0,3.5,1.9000000000000001,750,,,,,,,,,,,,,,,0.4,4,COMPLETE
