,number,value,datetime_start,datetime_complete,duration,params_AMD_FOX_beta_win,params_AMD_FOX_stop_loss,params_AMD_FOX_trade_freq,params_AMD_FOX_z_entry,params_AMD_FOX_z_exit,params_AMD_FOX_z_stop_scaler,params_AMD_FOX_z_win,params_CMCSA_SPLK_beta_win,params_CMCSA_SPLK_stop_loss,params_CMCSA_SPLK_trade_freq,params_CMCSA_SPLK_z_entry,params_CMCSA_SPLK_z_exit,params_CMCSA_SPLK_z_stop_scaler,params_CMCSA_SPLK_z_win,params_FOXA_XLNX_beta_win,params_FOXA_XLNX_stop_loss,params_FOXA_XLNX_trade_freq,params_FOXA_XLNX_z_entry,params_FOXA_XLNX_z_exit,params_FOXA_XLNX_z_stop_scaler,params_FOXA_XLNX_z_win,params_FOX_XLNX_beta_win,params_FOX_XLNX_stop_loss,params_FOX_XLNX_trade_freq,params_FOX_XLNX_z_entry,params_FOX_XLNX_z_exit,params_FOX_XLNX_z_stop_scaler,params_FOX_XLNX_z_win,params_MAR_QCOM_beta_win,params_MAR_QCOM_stop_loss,params_MAR_QCOM_trade_freq,params_MAR_QCOM_z_entry,params_MAR_QCOM_z_exit,params_MAR_QCOM_z_stop_scaler,params_MAR_QCOM_z_win,params_MTCH_TEAM_beta_win,params_MTCH_TEAM_stop_loss,params_MTCH_TEAM_trade_freq,params_MTCH_TEAM_z_entry,params_MTCH_TEAM_z_exit,params_MTCH_TEAM_z_stop_scaler,params_MTCH_TEAM_z_win,params_NFLX_CHTR_beta_win,params_NFLX_CHTR_stop_loss,params_NFLX_CHTR_trade_freq,params_NFLX_CHTR_z_entry,params_NFLX_CHTR_z_exit,params_NFLX_CHTR_z_stop_scaler,params_NFLX_CHTR_z_win,params_NFLX_CTAS_beta_win,params_NFLX_CTAS_stop_loss,params_NFLX_CTAS_trade_freq,params_NFLX_CTAS_z_entry,params_NFLX_CTAS_z_exit,params_NFLX_CTAS_z_stop_scaler,params_NFLX_CTAS_z_win,params_QCOM_CMCSA_beta_win,params_QCOM_CMCSA_stop_loss,params_QCOM_CMCSA_trade_freq,params_QCOM_CMCSA_z_entry,params_QCOM_CMCSA_z_exit,params_QCOM_CMCSA_z_stop_scaler,params_QCOM_CMCSA_z_win,params_TSLA_CTAS_beta_win,params_TSLA_CTAS_stop_loss,params_TSLA_CTAS_trade_freq,params_TSLA_CTAS_z_entry,params_TSLA_CTAS_z_exit,params_TSLA_CTAS_z_stop_scaler,params_TSLA_CTAS_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,1.0001686145766153,2025-06-15 00:19:39.475235,2025-06-15 00:19:41.077686,0 days 00:00:01.602451,,,,,,,,,,,,,,,1000.0,0.002,1m,2.5,2.0,0.6,468.0,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,0.5,3,COMPLETE
1,1,6.220891807489052,2025-06-15 00:19:41.155686,2025-06-15 00:19:42.687265,0 days 00:00:01.531579,,,,,,,,,,,,,,,984.0,0.006,3m,2.5,3.0,1.0,592.0,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,0.3,3,COMPLETE
2,2,-2.4633724411521247,2025-06-15 00:19:42.761781,2025-06-15 00:19:46.981044,0 days 00:00:04.219263,76.0,0.001,3m,2.5,2.5,0.6,388.0,920.0,0.003,3m,2.5,1.0,1.3,360.0,572.0,0.008,4m,1.5,3.5,2.0,386.0,978.0,0.007,3m,1.5,4.0,0.7,698.0,110.0,0.003,4m,1.0,4.0,1.6,146.0,,,,,,,,652.0,0.001,4m,3.0,1.5,0.5,828.0,670.0,0.006,4m,2.0,2.5,0.8,548.0,270,0.008,4m,1.0,1.5,0.5,50,34.0,0.005,2m,3.0,3.5,0.8,230.0,0.2,9,COMPLETE
3,3,1.1082881138647958,2025-06-15 00:19:47.039043,2025-06-15 00:19:49.514130,0 days 00:00:02.475087,,,,,,,,,,,,,,,352.0,0.007,2m,1.0,3.5,1.3,856.0,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,434.0,0.006,3m,2.5,3.5,0.7,974.0,,,,,,,,,,,,,,,,,,,,,,544,0.009000000000000001,1m,1.5,3.5,1.3,326,960.0,0.01,4m,2.5,1.5,1.3,260.0,0.05,5,COMPLETE
4,4,2.718985480125274,2025-06-15 00:19:49.571137,2025-06-15 00:19:52.026192,0 days 00:00:02.455055,,,,,,,,,,,,,,,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,886.0,0.003,3m,3.5,2.5,1.1,452.0,,,,,,,,,,,,,,,,,,,,,,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,0.2,5,COMPLETE
5,5,-2.8439397010659144,2025-06-15 00:19:52.091727,2025-06-15 00:19:55.833653,0 days 00:00:03.741926,,,,,,,,974.0,0.008,4m,3.0,4.0,1.8,922.0,804.0,0.008,1m,2.5,3.5,0.6,550.0,218.0,0.004,2m,1.5,3.0,1.6,72.0,32.0,0.006,1m,3.0,3.5,1.5,220.0,,,,,,,,370.0,0.007,1m,2.0,1.0,1.4,490.0,304.0,0.007,4m,1.5,1.0,1.8,648.0,430,0.001,4m,2.5,4.0,0.8,278,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,0.15000000000000002,8,COMPLETE
6,6,-0.7309369337043987,2025-06-15 00:19:55.914171,2025-06-15 00:19:57.800616,0 days 00:00:01.886445,,,,,,,,,,,,,,,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,588.0,0.007,2m,2.5,2.5,0.8,598.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,0.008,1m,4.0,1.0,0.6,718,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,0.45,4,COMPLETE
7,7,2.4531570912095333,2025-06-15 00:19:57.856621,2025-06-15 00:19:59.213117,0 days 00:00:01.356496,,,,,,,,,,,,,,,948.0,0.008,2m,4.0,3.0,1.6,760.0,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,0.1,3,COMPLETE
8,8,4.437949141035144,2025-06-15 00:19:59.284149,2025-06-15 00:20:02.409107,0 days 00:00:03.124958,,,,,,,,338.0,0.005,2m,1.5,3.0,1.4,492.0,150.0,0.002,2m,4.0,3.0,1.4,444.0,172.0,0.001,2m,2.5,4.0,1.8,892.0,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,,,,,,,,,,,,,,,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,0.05,7,COMPLETE
9,9,-2.8010642458833526,2025-06-15 00:20:02.465100,2025-06-15 00:20:06.652824,0 days 00:00:04.187724,678.0,0.01,4m,4.0,4.0,2.0,420.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,698.0,0.01,4m,2.5,3.5,0.8,766.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,552.0,0.003,1m,2.0,3.5,0.7,384.0,612.0,0.004,2m,1.0,1.5,1.6,82.0,90,0.004,2m,4.0,1.5,0.9,844,1012.0,0.004,4m,4.0,1.5,0.5,248.0,0.45,10,COMPLETE
10,10,-100.0,2025-06-15 00:20:06.730335,2025-06-15 00:20:15.920447,0 days 00:00:09.190112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,0.006,2m,3.0,1.0,2.0,966,,,,,,,,0.35000000000000003,1,COMPLETE
11,11,-10.769153497785695,2025-06-15 00:20:15.987969,2025-06-15 00:20:19.527965,0 days 00:00:03.539996,,,,,,,,46.0,0.001,2m,1.0,2.5,0.5,76.0,32.0,0.003,3m,3.5,2.5,1.5,32.0,344.0,0.001,1m,2.5,1.0,2.0,968.0,704.0,0.01,4m,1.5,1.0,0.9,768.0,,,,,,,,,,,,,,,106.0,0.01,3m,4.0,4.0,1.0,926.0,68,0.01,3m,3.0,3.0,1.6,90,430.0,0.001,3m,3.0,3.0,1.3,992.0,0.3,7,COMPLETE
12,12,-4.876356398236602,2025-06-15 00:20:19.620498,2025-06-15 00:20:23.160518,0 days 00:00:03.540020,,,,,,,,364.0,0.005,2m,2.0,2.5,0.9,474.0,312.0,0.004,2m,3.5,4.0,0.9,598.0,348.0,0.001,1m,3.0,1.5,2.0,1010.0,442.0,0.009000000000000001,4m,2.0,2.0,1.3,34.0,,,,,,,,,,,,,,,1022.0,0.001,1m,3.0,3.5,0.5,172.0,178,0.006,2m,3.5,3.0,1.6,244,64.0,0.007,1m,3.0,4.0,1.6,736.0,0.35000000000000003,7,COMPLETE
13,13,-1.7996785507634352,2025-06-15 00:20:23.245031,2025-06-15 00:20:23.897689,0 days 00:00:00.652658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690,0.007,2m,3.0,2.5,1.1,454,,,,,,,,0.25,1,COMPLETE
14,14,-4.481706755918576,2025-06-15 00:20:23.986695,2025-06-15 00:20:27.074871,0 days 00:00:03.088176,,,,,,,,130.0,0.01,1m,4.0,1.5,1.3,188.0,308.0,0.005,4m,1.5,2.5,1.6,246.0,36.0,0.005,1m,2.0,2.0,1.1,892.0,650.0,0.008,2m,4.0,2.0,0.6,644.0,,,,,,,,,,,,,,,,,,,,,,448,0.01,3m,3.5,3.0,1.6,170,648.0,0.003,3m,1.0,2.5,1.0,542.0,0.05,6,COMPLETE
15,15,3.3518318434258574,2025-06-15 00:20:27.123387,2025-06-15 00:20:28.547246,0 days 00:00:01.423859,,,,,,,,,,,,,,,540.0,0.002,3m,3.0,3.0,1.9000000000000001,636.0,234.0,0.003,2m,4.0,3.5,1.8,828.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,0.004,2m,2.5,4.0,1.1,380,,,,,,,,0.35000000000000003,3,COMPLETE
16,16,-4.492863653854178,2025-06-15 00:20:28.621766,2025-06-15 00:20:31.905972,0 days 00:00:03.284206,,,,,,,,658.0,0.004,2m,2.0,3.0,1.0,668.0,194.0,0.005,2m,2.0,2.0,1.4,374.0,412.0,0.008,1m,3.0,3.5,1.4,1016.0,1002.0,0.001,1m,2.0,1.5,2.0,436.0,,,,,,,,,,,,,,,422.0,0.009000000000000001,3m,3.0,2.5,1.4,1022.0,28,0.007,3m,4.0,2.0,1.8,22,300.0,0.008,1m,3.5,2.5,1.7000000000000002,792.0,0.25,7,COMPLETE
17,17,1.8983862654366301,2025-06-15 00:20:31.960975,2025-06-15 00:20:32.811590,0 days 00:00:00.850615,,,,,,,,,,,,,,,,,,,,,,224.0,0.008,2m,2.0,4.0,1.2000000000000002,742.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372,0.001,1m,3.5,3.5,1.4,188,,,,,,,,0.15000000000000002,2,COMPLETE
18,18,-1.6650155926587453,2025-06-15 00:20:32.861591,2025-06-15 00:20:34.641663,0 days 00:00:01.780072,,,,,,,,,,,,,,,688.0,0.001,3m,3.0,4.0,1.0,158.0,132.0,0.005,1m,3.0,3.5,1.8,878.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630,0.008,3m,3.0,1.5,1.1,142,754.0,0.002,1m,2.0,4.0,1.1,1006.0,0.3,4,COMPLETE
19,19,-3.56746305618255,2025-06-15 00:20:34.685670,2025-06-15 00:20:37.357216,0 days 00:00:02.671546,,,,,,,,650.0,0.007,1m,1.5,2.0,2.0,372.0,436.0,0.006,2m,3.5,1.0,1.8,690.0,508.0,0.003,2m,2.0,2.0,1.6,442.0,262.0,0.01,4m,1.0,2.5,1.1,678.0,,,,,,,,,,,,,,,,,,,,,,810,0.01,2m,2.0,3.5,1.5,410,210.0,0.007,3m,2.5,1.0,2.0,694.0,0.4,6,COMPLETE
20,20,-2.3315539333736863,2025-06-15 00:20:37.394224,2025-06-15 00:20:41.047900,0 days 00:00:03.653676,,,,,,,,222.0,0.002,3m,3.5,4.0,1.5,658.0,176.0,0.004,4m,2.0,3.0,1.2000000000000002,480.0,152.0,0.002,1m,4.0,2.5,1.1,660.0,642.0,0.008,4m,2.0,1.5,1.6,304.0,,,,,,,,38.0,0.01,3m,4.0,4.0,1.9000000000000001,28.0,30.0,0.003,3m,2.5,3.0,2.0,736.0,180,0.005,3m,4.0,2.5,1.8,550,432.0,0.005,2m,3.5,3.0,1.5,416.0,0.2,8,COMPLETE
21,21,2.9430653161845393,2025-06-15 00:20:41.121424,2025-06-15 00:20:42.440451,0 days 00:00:01.319027,,,,,,,,,,,,,,,560.0,0.001,3m,3.0,3.0,2.0,636.0,294.0,0.002,2m,4.0,3.5,1.8,836.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,0.003,2m,2.5,4.0,1.1,368,,,,,,,,0.4,3,COMPLETE
22,22,2.924508711768955,2025-06-15 00:20:42.509509,2025-06-15 00:20:43.493837,0 days 00:00:00.984328,,,,,,,,,,,,,,,,,,,,,,466.0,0.003,2m,4.0,4.0,1.8,818.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,0.003,2m,2.0,4.0,1.0,550,,,,,,,,0.35000000000000003,2,COMPLETE
23,23,5.835310282545297,2025-06-15 00:20:43.574358,2025-06-15 00:20:45.478545,0 days 00:00:01.904187,,,,,,,,,,,,,,,894.0,0.003,3m,3.0,2.5,1.8,528.0,242.0,0.001,2m,3.0,3.0,2.0,906.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326,0.005,2m,2.5,3.5,1.2000000000000002,262,162.0,0.008,4m,1.0,3.0,0.7,408.0,0.3,4,COMPLETE
24,24,5.71665158389437,2025-06-15 00:20:45.569059,2025-06-15 00:20:47.675788,0 days 00:00:02.106729,,,,,,,,,,,,,,,870.0,0.003,3m,4.0,2.5,1.7000000000000002,420.0,138.0,0.001,2m,3.0,3.0,2.0,924.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,0.007,2m,3.0,3.0,1.4,256,152.0,0.008,4m,1.0,3.0,0.6,370.0,0.25,4,COMPLETE
25,25,6.7970153933512805,2025-06-15 00:20:47.742301,2025-06-15 00:20:49.735015,0 days 00:00:01.992714,,,,,,,,,,,,,,,884.0,0.004,3m,3.0,2.0,1.7000000000000002,330.0,88.0,0.002,2m,3.0,3.0,2.0,938.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326,0.007,2m,2.5,3.5,1.4,262,370.0,0.008,4m,1.0,3.5,0.5,398.0,0.25,4,COMPLETE
26,26,6.007478956249018,2025-06-15 00:20:49.823052,2025-06-15 00:20:52.476569,0 days 00:00:02.653517,,,,,,,,,,,,,,,882.0,0.004,3m,3.0,2.0,1.8,260.0,22.0,0.002,2m,3.5,2.5,1.6,944.0,268.0,0.004,1m,4.0,3.0,0.5,956.0,,,,,,,,,,,,,,,,,,,,,,504,0.005,2m,2.0,3.5,1.7000000000000002,318,364.0,0.009000000000000001,4m,1.5,3.5,0.7,18.0,0.3,5,COMPLETE
27,27,0.7727600124625321,2025-06-15 00:20:52.557083,2025-06-15 00:20:55.176060,0 days 00:00:02.618977,,,,,,,,,,,,,,,686.0,0.006,3m,2.0,2.0,0.8,298.0,36.0,0.004,1m,3.5,2.0,1.6,1020.0,266.0,0.002,1m,4.0,3.0,0.5,1002.0,,,,,,,,,,,,,,,,,,,,,,522,0.006,2m,1.5,3.5,1.8,462,382.0,0.009000000000000001,4m,1.5,3.5,0.9,16.0,0.3,5,COMPLETE
28,28,-0.08227623124158033,2025-06-15 00:20:55.240573,2025-06-15 00:20:57.860504,0 days 00:00:02.619931,,,,,,,,,,,,,,,846.0,0.004,3m,3.0,1.5,1.7000000000000002,190.0,112.0,0.006,3m,3.5,2.5,0.5,768.0,260.0,0.004,1m,3.5,4.0,0.8,850.0,,,,,,,,,,,,,,,,,,,,,,414,0.007,2m,2.0,2.0,2.0,316,536.0,0.009000000000000001,4m,1.5,4.0,0.5,124.0,0.25,5,COMPLETE
29,29,0.567718814862785,2025-06-15 00:20:57.935016,2025-06-15 00:20:59.008611,0 days 00:00:01.073595,,,,,,,,,,,,,,,,,,,,,,22.0,0.002,4m,3.0,2.0,1.4,336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486,0.008,2m,1.0,2.5,1.7000000000000002,500,,,,,,,,0.4,2,COMPLETE
30,30,3.337108702155249,2025-06-15 00:20:59.061612,2025-06-15 00:21:00.715226,0 days 00:00:01.653614,,,,,,,,,,,,,,,720.0,0.005,3m,3.5,2.0,1.3,120.0,94.0,0.009000000000000001,2m,3.5,1.5,1.7000000000000002,646.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,822,0.002,2m,2.0,1.0,1.7000000000000002,198,,,,,,,,0.5,3,COMPLETE
31,31,7.540329996586201,2025-06-15 00:21:00.798293,2025-06-15 00:21:02.916276,0 days 00:00:02.117983,,,,,,,,,,,,,,,928.0,0.003,3m,3.0,2.5,1.8,324.0,274.0,0.002,2m,3.0,3.0,1.9000000000000001,944.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338,0.005,2m,2.5,3.5,1.3,334,314.0,0.008,4m,1.0,3.5,0.7,414.0,0.3,4,COMPLETE
32,32,4.233488064964325,2025-06-15 00:21:02.995277,2025-06-15 00:21:05.109891,0 days 00:00:02.114614,,,,,,,,,,,,,,,930.0,0.004,3m,2.5,2.0,1.8,332.0,302.0,0.004,2m,3.0,3.0,1.9000000000000001,958.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,0.005,2m,2.5,3.5,1.4,340,334.0,0.006,4m,1.0,3.5,0.7,480.0,0.2,4,COMPLETE
33,33,-0.7398304938243276,2025-06-15 00:21:05.181891,2025-06-15 00:21:07.294364,0 days 00:00:02.112473,,,,,,,,,,,,,,,796.0,0.006,3m,3.0,2.5,1.9000000000000001,236.0,394.0,0.002,2m,2.5,3.0,1.9000000000000001,960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580,0.006,4m,2.5,3.5,1.3,418,476.0,0.01,4m,1.5,3.5,0.8,618.0,0.3,4,COMPLETE
34,34,1.2271423295145192,2025-06-15 00:21:07.345874,2025-06-15 00:21:10.265750,0 days 00:00:02.919876,,,,,,,,744.0,0.01,1m,4.0,1.0,0.5,1020.0,934.0,0.003,3m,3.5,1.5,1.5,92.0,608.0,0.003,3m,3.5,2.5,1.7000000000000002,814.0,360.0,0.005,1m,3.5,3.0,0.9,588.0,,,,,,,,,,,,,,,,,,,,,,374,0.005,1m,1.5,4.0,1.5,322,350.0,0.008,4m,2.0,4.0,1.1,342.0,0.25,6,COMPLETE
35,35,0.4550329911154674,2025-06-15 00:21:10.332254,2025-06-15 00:21:12.780496,0 days 00:00:02.448242,,,,,,,,,,,,,,,1008.0,0.005,1m,2.5,2.5,0.5,348.0,186.0,0.002,2m,3.0,3.0,1.9000000000000001,738.0,794.0,0.001,3m,3.0,3.0,0.5,854.0,,,,,,,,,,,,,,,,,,,,,,264,0.009000000000000001,4m,2.0,3.0,1.9000000000000001,124,510.0,0.009000000000000001,4m,1.0,3.5,0.6,106.0,0.15000000000000002,5,COMPLETE
36,36,1.4670071055275937,2025-06-15 00:21:12.853745,2025-06-15 00:21:14.408514,0 days 00:00:01.554769,,,,,,,,,,,,,,,962.0,0.004,3m,2.5,1.0,1.7000000000000002,196.0,86.0,0.006,4m,1.0,2.5,1.5,950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476,0.003,2m,1.5,3.5,1.9000000000000001,218,,,,,,,,0.2,3,COMPLETE
37,37,1.9976906241075898,2025-06-15 00:21:14.511638,2025-06-15 00:21:15.511554,0 days 00:00:00.999916,,,,,,,,,,,,,,,,,,,,,,282.0,0.004,2m,3.5,3.0,1.7000000000000002,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,0.004,2m,2.5,1.5,1.5,300,,,,,,,,0.35000000000000003,2,COMPLETE
38,38,-1.7517612466788195,2025-06-15 00:21:15.578012,2025-06-15 00:21:20.392631,0 days 00:00:04.814619,,,,,,,,,,,,,,,614.0,0.002,4m,3.0,2.0,1.9000000000000001,474.0,78.0,0.009000000000000001,3m,2.5,2.5,1.9000000000000001,164.0,196.0,0.004,2m,4.0,3.5,1.4,858.0,,,,,,,,,,,,,,,,,,,,,,254,0.008,1m,1.0,4.0,1.7000000000000002,610,270.0,0.007,4m,1.5,2.5,0.9,482.0,0.3,5,COMPLETE
39,39,6.650926365247717,2025-06-15 00:21:20.589678,2025-06-15 00:21:26.394041,0 days 00:00:05.804363,,,,,,,,,,,,,,,832.0,0.007,3m,3.0,2.5,2.0,402.0,180.0,0.002,1m,3.5,3.0,1.6,694.0,468.0,0.005,1m,2.5,2.5,1.0,490.0,,,,,,,,,,,,,,,,,,,,,,540,0.007,4m,2.0,2.0,1.3,382,668.0,0.006,4m,1.0,4.0,0.5,330.0,0.15000000000000002,5,COMPLETE
40,40,4.443245675860176,2025-06-15 00:21:26.511562,2025-06-15 00:21:29.992415,0 days 00:00:03.480853,,,,,,,,,,,,,,,810.0,0.007,1m,2.0,3.5,2.0,412.0,986.0,0.003,1m,3.0,3.5,2.0,544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748,0.009000000000000001,4m,2.5,2.0,0.7,496,,,,,,,,0.15000000000000002,3,COMPLETE
41,41,1.5353224579551943,2025-06-15 00:21:30.117940,2025-06-15 00:21:34.285740,0 days 00:00:04.167800,,,,,,,,,,,,,,,882.0,0.007,3m,3.0,2.0,2.0,344.0,184.0,0.002,1m,3.5,3.0,1.5,870.0,478.0,0.005,1m,2.5,2.5,1.0,430.0,,,,,,,,,,,,,,,,,,,,,,538,0.006,4m,2.0,1.5,1.3,368,768.0,0.006,4m,1.0,4.0,0.5,310.0,0.2,5,COMPLETE
42,42,2.8500824247530825,2025-06-15 00:21:34.372757,2025-06-15 00:21:36.482884,0 days 00:00:02.110127,,,,,,,,,,,,,,,764.0,0.01,3m,3.0,2.5,1.9000000000000001,298.0,264.0,0.003,1m,3.5,3.0,1.3,978.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564,0.007,4m,2.0,2.0,1.4,416,612.0,0.008,4m,1.0,4.0,0.7,196.0,0.1,4,COMPLETE
43,43,0.9726649538017418,2025-06-15 00:21:36.551405,2025-06-15 00:21:39.669179,0 days 00:00:03.117774,,,,,,,,822.0,0.008,3m,3.0,2.0,0.9,44.0,836.0,0.006,3m,2.5,2.0,1.8,546.0,16.0,0.002,1m,3.0,2.5,1.6,690.0,338.0,0.004,1m,1.5,2.0,0.7,538.0,,,,,,,,,,,,,,,,,,,,,,302,0.008,4m,1.5,2.5,1.2000000000000002,282,762.0,0.004,4m,1.5,3.5,0.6,430.0,0.1,6,COMPLETE
44,44,-0.5595103683810259,2025-06-15 00:21:39.746706,2025-06-15 00:21:42.329025,0 days 00:00:02.582319,,,,,,,,,,,,,,,976.0,0.007,3m,2.5,2.5,1.6,378.0,186.0,0.001,2m,3.5,3.0,1.9000000000000001,794.0,554.0,0.003,1m,3.0,3.0,1.8,648.0,,,,,,,,,,,,,,,,,,,,,,606,0.004,2m,2.5,1.0,2.0,344,692.0,0.009000000000000001,2m,2.0,3.5,0.8,24.0,0.25,5,COMPLETE
45,45,-0.7367887368604575,2025-06-15 00:21:42.416030,2025-06-15 00:21:44.484444,0 days 00:00:02.068414,,,,,,,,,,,,,,,626.0,0.003,3m,3.5,3.0,1.1,470.0,342.0,0.005,4m,2.5,3.5,1.8,470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472,0.006,2m,3.0,1.5,1.3,448,404.0,0.005,4m,1.0,4.0,0.5,194.0,0.35000000000000003,4,COMPLETE
46,46,-0.10511358723314923,2025-06-15 00:21:44.563958,2025-06-15 00:21:47.490632,0 days 00:00:02.926674,,,,,,,,522.0,0.001,4m,3.0,1.5,0.7,860.0,1020.0,0.005,1m,3.0,1.5,1.7000000000000002,984.0,84.0,0.004,1m,4.0,3.0,1.4,854.0,170.0,0.007,1m,2.5,2.5,0.7,726.0,,,,,,,,,,,,,,,,,,,,,,386,0.005,4m,2.0,2.0,0.5,226,882.0,0.01,4m,1.5,3.0,0.7,290.0,0.3,6,COMPLETE
47,47,-0.6394068355195826,2025-06-15 00:21:47.566144,2025-06-15 00:21:49.219951,0 days 00:00:01.653807,,,,,,,,,,,,,,,910.0,0.008,3m,3.5,3.5,0.7,268.0,730.0,0.007,2m,3.5,2.5,1.7000000000000002,920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434,0.007,2m,1.5,3.0,1.6,122,,,,,,,,0.25,3,COMPLETE
48,48,4.984267706748267,2025-06-15 00:21:49.293469,2025-06-15 00:21:51.837987,0 days 00:00:02.544518,,,,,,,,,,,,,,,782.0,0.004,4m,2.5,2.0,2.0,422.0,210.0,0.001,3m,3.0,2.5,0.9,306.0,342.0,0.005,1m,3.5,3.5,0.9,496.0,,,,,,,,,,,,,,,,,,,,,,678,0.006,1m,2.5,3.5,1.9000000000000001,782,552.0,0.007,4m,1.5,3.5,0.9,552.0,0.4,5,COMPLETE
49,49,4.389136350927255,2025-06-15 00:21:51.911986,2025-06-15 00:21:56.686034,0 days 00:00:04.774048,860.0,0.005,1m,1.0,1.0,1.5,936.0,1010.0,0.003,3m,3.5,3.5,1.1,236.0,966.0,0.008,3m,3.0,2.5,1.5,584.0,894.0,0.002,1m,2.5,3.5,2.0,984.0,416.0,0.006,3m,1.5,2.0,1.2000000000000002,926.0,964.0,0.001,3m,1.0,4.0,2.0,936.0,1008.0,0.006,2m,1.0,2.5,2.0,1006.0,962.0,0.001,1m,4.0,1.5,0.5,310.0,122,0.008,2m,3.0,2.5,1.5,282,464.0,0.006,4m,1.0,2.0,0.6,182.0,0.15000000000000002,10,COMPLETE
50,50,-3.62954293456918,2025-06-15 00:21:56.731042,2025-06-15 00:22:00.845758,0 days 00:00:04.114716,,,,,,,,492.0,0.009000000000000001,4m,2.5,2.0,2.0,622.0,466.0,0.009000000000000001,3m,1.0,3.0,1.2000000000000002,704.0,132.0,0.008,2m,3.0,3.0,1.5,726.0,540.0,0.002,2m,2.5,3.0,0.5,568.0,,,,,,,,1012.0,0.01,2m,4.0,3.0,1.1,58.0,808.0,0.008,2m,1.0,2.0,0.9,382.0,224,0.01,4m,2.0,2.0,1.0,400,222.0,0.01,2m,2.0,3.5,0.8,358.0,0.35000000000000003,8,COMPLETE
51,51,-1.677445993983492,2025-06-15 00:22:00.929769,2025-06-15 00:22:03.019776,0 days 00:00:02.090007,,,,,,,,,,,,,,,896.0,0.003,3m,3.0,2.5,1.8,490.0,246.0,0.001,2m,3.0,3.0,2.0,896.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298,0.005,2m,2.5,3.5,1.2000000000000002,258,32.0,0.008,4m,1.0,3.0,0.7,414.0,0.3,4,COMPLETE
52,52,5.205052408583695,2025-06-15 00:22:03.101295,2025-06-15 00:22:05.259799,0 days 00:00:02.158504,,,,,,,,,,,,,,,850.0,0.003,3m,3.0,2.5,1.9000000000000001,528.0,394.0,0.001,2m,3.0,3.0,2.0,910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,0.005,2m,2.5,3.0,1.2000000000000002,180,154.0,0.008,4m,1.0,3.0,0.6,466.0,0.3,4,COMPLETE
