,number,value,datetime_start,datetime_complete,duration,params_ADSK_FISV_beta_win,params_ADSK_FISV_stop_loss,params_ADSK_FISV_trade_freq,params_ADSK_FISV_z_entry,params_ADSK_FISV_z_exit,params_ADSK_FISV_z_stop_scaler,params_ADSK_FISV_z_win,params_ALGN_IDXX_beta_win,params_ALGN_IDXX_stop_loss,params_ALGN_IDXX_trade_freq,params_ALGN_IDXX_z_entry,params_ALGN_IDXX_z_exit,params_ALGN_IDXX_z_stop_scaler,params_ALGN_IDXX_z_win,params_ALGN_ISRG_beta_win,params_ALGN_ISRG_stop_loss,params_ALGN_ISRG_trade_freq,params_ALGN_ISRG_z_entry,params_ALGN_ISRG_z_exit,params_ALGN_ISRG_z_stop_scaler,params_ALGN_ISRG_z_win,params_AMD_LRCX_beta_win,params_AMD_LRCX_stop_loss,params_AMD_LRCX_trade_freq,params_AMD_LRCX_z_entry,params_AMD_LRCX_z_exit,params_AMD_LRCX_z_stop_scaler,params_AMD_LRCX_z_win,params_ANSS_SPLK_beta_win,params_ANSS_SPLK_stop_loss,params_ANSS_SPLK_trade_freq,params_ANSS_SPLK_z_entry,params_ANSS_SPLK_z_exit,params_ANSS_SPLK_z_stop_scaler,params_ANSS_SPLK_z_win,params_ATVI_SIRI_beta_win,params_ATVI_SIRI_stop_loss,params_ATVI_SIRI_trade_freq,params_ATVI_SIRI_z_entry,params_ATVI_SIRI_z_exit,params_ATVI_SIRI_z_stop_scaler,params_ATVI_SIRI_z_win,params_CTSH_DOCU_beta_win,params_CTSH_DOCU_stop_loss,params_CTSH_DOCU_trade_freq,params_CTSH_DOCU_z_entry,params_CTSH_DOCU_z_exit,params_CTSH_DOCU_z_stop_scaler,params_CTSH_DOCU_z_win,params_EBAY_SPLK_beta_win,params_EBAY_SPLK_stop_loss,params_EBAY_SPLK_trade_freq,params_EBAY_SPLK_z_entry,params_EBAY_SPLK_z_exit,params_EBAY_SPLK_z_stop_scaler,params_EBAY_SPLK_z_win,params_ISRG_SPLK_beta_win,params_ISRG_SPLK_stop_loss,params_ISRG_SPLK_trade_freq,params_ISRG_SPLK_z_entry,params_ISRG_SPLK_z_exit,params_ISRG_SPLK_z_stop_scaler,params_ISRG_SPLK_z_win,params_SPLK_SWKS_beta_win,params_SPLK_SWKS_stop_loss,params_SPLK_SWKS_trade_freq,params_SPLK_SWKS_z_entry,params_SPLK_SWKS_z_exit,params_SPLK_SWKS_z_stop_scaler,params_SPLK_SWKS_z_win,params_buffer_capital,params_pairs_to_trade,state
95,95,4.396358120864286,2025-06-15 01:05:48.971303,2025-06-15 01:05:52.975530,0 days 00:00:04.004227,384.0,0.005,1m,2.0,1.0,0.9,546.0,518.0,0.005,3m,2.5,1.5,0.9,194.0,724.0,0.01,3m,3.5,1.0,0.8,746.0,780.0,0.006,4m,2.0,3.5,1.2000000000000002,668.0,734.0,0.006,3m,3.0,2.0,0.6,326.0,,,,,,,,836.0,0.005,2m,3.0,3.0,0.6,922.0,634.0,0.004,2m,1.5,3.5,0.8,958.0,372.0,0.008,1m,4.0,2.5,1.6,998.0,1010,0.002,3m,2.0,1.0,1.7000000000000002,866,0.2,9,COMPLETE
96,96,3.89954505988491,2025-06-15 01:05:53.067044,2025-06-15 01:05:57.588002,0 days 00:00:04.520958,244.0,0.003,1m,2.5,1.0,1.0,386.0,544.0,0.004,3m,2.0,1.0,0.8,342.0,764.0,0.007,3m,4.0,1.5,1.0,670.0,562.0,0.007,4m,3.0,3.5,1.3,532.0,640.0,0.003,3m,2.0,3.0,0.8,506.0,588.0,0.005,1m,1.0,2.0,1.3,484.0,800.0,0.007,2m,3.5,3.0,0.5,848.0,74.0,0.004,2m,1.0,3.5,0.6,770.0,444.0,0.007,4m,3.5,2.0,1.9000000000000001,1024.0,316,0.003,3m,3.0,2.5,1.7000000000000002,934,0.25,10,COMPLETE
97,97,6.0472173537052845,2025-06-15 01:05:57.657002,2025-06-15 01:06:01.345717,0 days 00:00:03.688715,24.0,0.004,1m,1.5,1.5,0.8,614.0,400.0,0.005,2m,2.5,1.5,0.9,502.0,880.0,0.008,2m,3.5,1.0,0.7,720.0,642.0,0.008,4m,1.5,3.0,1.1,478.0,,,,,,,,,,,,,,,682.0,0.006,2m,3.0,3.0,0.7,810.0,18.0,0.005,2m,1.0,3.5,0.7,900.0,514.0,0.008,4m,3.5,2.5,1.7000000000000002,940.0,204,0.002,3m,2.0,2.0,1.9000000000000001,830,0.15000000000000002,8,COMPLETE
98,98,7.111472964737655,2025-06-15 01:06:01.440746,2025-06-15 01:06:05.345905,0 days 00:00:03.905159,148.0,0.005,1m,2.0,1.0,1.2000000000000002,506.0,444.0,0.004,3m,2.5,1.5,1.0,544.0,626.0,0.009000000000000001,3m,3.0,1.0,0.9,648.0,688.0,0.008,4m,1.5,4.0,1.2000000000000002,32.0,508.0,0.006,3m,3.5,1.5,0.7,142.0,,,,,,,,754.0,0.005,2m,4.0,2.5,0.6,962.0,110.0,0.004,2m,1.0,3.5,0.7,1024.0,352.0,0.009000000000000001,4m,3.5,2.5,1.5,958.0,364,0.001,3m,2.5,1.5,1.8,584,0.3,9,COMPLETE
99,99,5.622481804262868,2025-06-15 01:06:05.412927,2025-06-15 01:06:09.339298,0 days 00:00:03.926371,200.0,0.006,1m,2.5,1.5,0.9,352.0,252.0,0.005,3m,2.5,1.0,0.9,280.0,570.0,0.007,3m,3.5,1.0,1.0,772.0,608.0,0.009000000000000001,4m,2.0,3.0,1.1,716.0,690.0,0.002,4m,4.0,2.5,0.5,350.0,,,,,,,,632.0,0.006,2m,3.5,2.5,0.5,906.0,52.0,0.003,2m,1.5,3.0,0.6,992.0,322.0,0.008,4m,4.0,2.0,1.8,996.0,164,0.002,3m,2.0,2.5,1.4,984,0.2,9,COMPLETE
100,100,6.238125835998106,2025-06-15 01:06:09.425322,2025-06-15 01:06:13.249364,0 days 00:00:03.824042,282.0,0.004,1m,3.0,1.0,1.2000000000000002,450.0,498.0,0.004,3m,2.0,1.5,1.1,666.0,66.0,0.006,4m,4.0,1.5,0.8,614.0,742.0,0.007,4m,1.5,3.5,0.8,184.0,512.0,0.005,3m,2.5,2.0,0.9,460.0,,,,,,,,722.0,0.007,4m,1.5,3.0,0.7,760.0,88.0,0.004,2m,1.0,4.0,0.8,936.0,400.0,0.007,4m,3.5,2.5,1.9000000000000001,868.0,354,0.003,3m,2.5,2.5,1.6,960,0.3,9,COMPLETE
101,101,4.5592696055677955,2025-06-15 01:06:13.332885,2025-06-15 01:06:16.891223,0 days 00:00:03.558338,82.0,0.007,1m,2.5,1.0,0.8,562.0,684.0,0.005,3m,3.0,2.5,1.0,376.0,660.0,0.005,3m,3.0,1.0,2.0,574.0,372.0,0.001,2m,1.5,1.5,1.2000000000000002,562.0,,,,,,,,,,,,,,,780.0,0.005,2m,3.0,2.5,0.6,808.0,62.0,0.002,3m,1.0,1.5,0.5,976.0,226.0,0.001,4m,3.0,3.0,1.1,840.0,390,0.004,1m,1.5,2.5,1.2000000000000002,1006,0.35000000000000003,8,COMPLETE
102,102,7.472788844922281,2025-06-15 01:06:16.968224,2025-06-15 01:06:20.452993,0 days 00:00:03.484769,338.0,0.005,4m,3.0,1.5,1.0,414.0,586.0,0.006,3m,2.5,2.5,1.0,396.0,408.0,0.005,3m,3.0,1.0,1.9000000000000001,550.0,656.0,0.001,4m,1.5,1.5,1.2000000000000002,606.0,,,,,,,,,,,,,,,676.0,0.006,1m,2.0,3.5,0.8,896.0,40.0,0.003,2m,1.0,3.5,0.5,948.0,284.0,0.002,4m,3.0,2.5,2.0,978.0,414,0.004,1m,1.5,2.5,1.3,1020,0.25,8,COMPLETE
103,103,5.008014377040494,2025-06-15 01:06:20.537520,2025-06-15 01:06:24.194473,0 days 00:00:03.656953,316.0,0.005,4m,3.0,1.5,1.0,406.0,596.0,0.006,3m,2.5,2.5,1.2000000000000002,398.0,754.0,0.006,3m,3.0,1.0,0.9,524.0,676.0,0.001,4m,1.5,1.5,1.3,610.0,,,,,,,,,,,,,,,674.0,0.006,1m,2.0,3.5,0.8,888.0,38.0,0.003,2m,1.0,3.5,0.6,956.0,290.0,0.003,4m,3.0,2.5,2.0,976.0,414,0.004,4m,3.0,2.0,1.3,986,0.25,8,COMPLETE
104,104,3.1894995860536035,2025-06-15 01:06:24.280476,2025-06-15 01:06:27.805651,0 days 00:00:03.525175,424.0,0.006,4m,3.0,2.0,1.1,480.0,290.0,0.006,4m,2.5,2.5,0.8,454.0,676.0,0.001,3m,3.0,1.0,1.9000000000000001,462.0,706.0,0.001,4m,1.5,1.5,1.3,682.0,,,,,,,,,,,,,,,702.0,0.006,1m,2.5,4.0,0.8,948.0,16.0,0.003,2m,1.0,3.5,0.5,918.0,270.0,0.002,4m,3.0,2.5,2.0,894.0,398,0.003,1m,1.5,2.5,1.4,908,0.25,8,COMPLETE
105,105,4.4923529730998375,2025-06-15 01:06:27.884668,2025-06-15 01:06:31.469927,0 days 00:00:03.585259,362.0,0.004,4m,2.0,1.5,1.0,524.0,560.0,0.005,3m,2.5,2.5,0.9,468.0,458.0,0.005,3m,3.0,1.0,2.0,544.0,644.0,0.001,4m,1.5,1.5,1.2000000000000002,642.0,,,,,,,,,,,,,,,734.0,0.007,1m,2.0,3.5,1.4,906.0,134.0,0.005,2m,1.0,3.5,0.6,838.0,470.0,0.002,4m,2.5,2.5,1.9000000000000001,926.0,330,0.004,1m,3.0,2.5,1.7000000000000002,950,0.2,8,COMPLETE
106,106,6.497421910782603,2025-06-15 01:06:31.554439,2025-06-15 01:06:36.029624,0 days 00:00:04.475185,276.0,0.005,2m,2.5,1.0,0.7,438.0,528.0,0.005,3m,2.5,2.0,1.0,512.0,518.0,0.006,3m,3.0,3.0,1.9000000000000001,686.0,808.0,0.001,4m,1.0,1.5,1.4,418.0,856.0,0.004,3m,4.0,3.0,0.6,594.0,562.0,0.003,4m,3.5,2.0,1.7000000000000002,974.0,126.0,0.005,1m,1.5,2.5,0.7,860.0,544.0,0.004,2m,1.0,3.5,0.5,876.0,436.0,0.002,2m,2.0,2.0,1.8,992.0,270,0.004,1m,3.0,2.5,1.5,870,0.25,10,COMPLETE
107,107,9.391332456371405,2025-06-15 01:06:36.099140,2025-06-15 01:06:39.249600,0 days 00:00:03.150460,,,,,,,,472.0,0.006,3m,3.5,2.5,0.7,432.0,608.0,0.005,3m,3.5,1.5,0.7,636.0,586.0,0.001,4m,1.5,1.5,1.1,500.0,,,,,,,,,,,,,,,622.0,0.006,2m,2.5,3.5,1.6,974.0,64.0,0.002,2m,1.5,4.0,0.7,1004.0,576.0,0.003,4m,3.5,2.5,2.0,778.0,442,0.003,3m,1.5,2.0,1.3,764,0.2,7,COMPLETE
108,108,4.37675286531277,2025-06-15 01:06:39.331119,2025-06-15 01:06:42.255587,0 days 00:00:02.924468,,,,,,,,632.0,0.006,1m,3.5,2.0,0.7,336.0,694.0,0.007,3m,3.5,1.5,0.5,596.0,578.0,0.008,4m,1.5,2.0,1.0,492.0,,,,,,,,,,,,,,,606.0,0.006,4m,2.5,3.5,1.6,1000.0,84.0,0.003,2m,1.5,4.0,0.7,122.0,524.0,0.006,1m,3.5,1.0,2.0,766.0,448,0.003,3m,1.5,2.0,1.1,770,0.2,7,COMPLETE
109,109,5.91469215479426,2025-06-15 01:06:42.338111,2025-06-15 01:06:45.403844,0 days 00:00:03.065733,,,,,,,,468.0,0.006,3m,3.5,4.0,0.7,396.0,604.0,0.007,3m,3.5,1.5,0.7,644.0,34.0,0.006,4m,2.0,1.5,1.1,570.0,,,,,,,,,,,,,,,664.0,0.007,2m,2.5,3.5,1.7000000000000002,978.0,36.0,0.004,1m,1.5,4.0,0.7,942.0,570.0,0.005,4m,3.5,2.5,1.9000000000000001,1000.0,468,0.002,3m,1.5,1.5,1.4,754,0.15000000000000002,7,COMPLETE
110,110,7.4463325786383665,2025-06-15 01:06:45.474842,2025-06-15 01:06:49.749158,0 days 00:00:04.274316,198.0,0.003,4m,1.5,2.0,1.1,638.0,662.0,0.003,4m,3.5,3.0,2.0,434.0,650.0,0.005,1m,4.0,2.5,1.1,510.0,590.0,0.001,4m,1.5,3.5,1.1,540.0,366.0,0.006,3m,3.0,4.0,0.9,282.0,390.0,0.007,4m,1.5,1.0,1.1,702.0,630.0,0.006,2m,2.5,4.0,0.9,602.0,104.0,0.003,2m,2.5,4.0,1.3,996.0,604.0,0.003,4m,3.5,3.0,2.0,956.0,302,0.003,3m,1.0,2.0,1.3,834,0.2,10,COMPLETE
111,111,7.929896175386829,2025-06-15 01:06:49.822686,2025-06-15 01:06:54.128089,0 days 00:00:04.305403,220.0,0.003,4m,1.0,2.0,1.1,636.0,590.0,0.003,3m,3.5,3.0,1.8,426.0,656.0,0.005,1m,4.0,2.5,1.1,484.0,624.0,0.001,4m,1.5,3.5,1.1,532.0,352.0,0.006,3m,3.0,4.0,0.9,196.0,382.0,0.007,4m,1.5,2.0,1.2000000000000002,776.0,618.0,0.006,2m,2.5,4.0,0.9,560.0,102.0,0.003,2m,2.5,4.0,1.3,994.0,572.0,0.003,4m,3.5,3.0,2.0,956.0,308,0.003,3m,1.0,2.0,1.3,836,0.2,10,COMPLETE
112,112,11.013217387977186,2025-06-15 01:06:54.203598,2025-06-15 01:06:58.662052,0 days 00:00:04.458454,922.0,0.002,4m,3.0,2.5,1.2000000000000002,744.0,506.0,0.003,3m,3.5,3.0,1.9000000000000001,414.0,708.0,0.005,1m,3.5,2.0,0.6,410.0,616.0,0.001,4m,1.5,3.5,1.2000000000000002,456.0,230.0,0.005,3m,3.5,4.0,0.6,110.0,748.0,0.008,4m,1.5,2.0,1.2000000000000002,786.0,526.0,0.006,2m,2.5,4.0,1.1,578.0,460.0,0.003,2m,3.0,4.0,1.2000000000000002,966.0,492.0,0.003,4m,3.5,3.0,2.0,318.0,348,0.003,3m,1.0,2.0,1.2000000000000002,700,0.25,10,COMPLETE
113,113,6.9247726809022465,2025-06-15 01:06:58.770570,2025-06-15 01:07:03.158862,0 days 00:00:04.388292,992.0,0.001,4m,1.0,2.5,1.3,742.0,500.0,0.003,3m,3.5,3.0,1.8,416.0,710.0,0.005,1m,4.0,2.0,0.6,288.0,628.0,0.001,4m,1.5,3.5,1.0,444.0,150.0,0.005,3m,3.5,4.0,0.6,104.0,740.0,0.008,4m,1.5,2.0,1.4,776.0,534.0,0.006,2m,2.5,4.0,1.1,468.0,74.0,0.003,2m,3.5,4.0,1.2000000000000002,964.0,484.0,0.003,4m,3.5,2.5,2.0,322.0,348,0.002,3m,1.0,2.0,1.2000000000000002,738,0.25,10,COMPLETE
114,114,7.493988148378762,2025-06-15 01:07:03.240372,2025-06-15 01:07:07.419923,0 days 00:00:04.179551,916.0,0.002,4m,1.0,2.5,1.2000000000000002,848.0,60.0,0.003,3m,3.5,3.0,0.8,470.0,728.0,0.005,1m,3.5,2.5,0.6,386.0,654.0,0.002,4m,1.5,3.5,1.1,504.0,228.0,0.006,3m,3.0,4.0,0.5,214.0,762.0,0.007,4m,1.5,1.5,1.1,1002.0,576.0,0.006,2m,2.0,4.0,1.2000000000000002,674.0,204.0,0.002,2m,3.0,4.0,1.3,1010.0,540.0,0.004,4m,3.5,2.5,2.0,404.0,284,0.003,3m,1.0,2.0,1.1,788,0.2,10,COMPLETE
115,115,5.208476181991857,2025-06-15 01:07:07.483918,2025-06-15 01:07:13.255695,0 days 00:00:05.771777,946.0,0.002,4m,1.0,2.5,1.2000000000000002,866.0,90.0,0.003,3m,3.5,3.0,1.9000000000000001,470.0,718.0,0.005,1m,3.5,2.5,0.6,404.0,534.0,0.002,4m,1.5,3.5,0.6,348.0,252.0,0.006,3m,3.0,4.0,0.5,200.0,780.0,0.007,4m,1.5,1.0,1.1,996.0,578.0,0.006,2m,2.5,4.0,1.2000000000000002,548.0,202.0,0.002,2m,3.0,4.0,1.4,988.0,582.0,0.004,4m,4.0,3.0,2.0,496.0,238,0.002,3m,1.0,2.0,1.1,780,0.2,10,COMPLETE
116,116,5.731145268659103,2025-06-15 01:07:13.375210,2025-06-15 01:07:20.694853,0 days 00:00:07.319643,916.0,0.002,4m,1.0,2.5,1.2000000000000002,904.0,478.0,0.003,3m,3.5,3.0,2.0,358.0,736.0,0.005,1m,3.5,2.5,0.6,368.0,620.0,0.002,3m,1.0,3.5,1.1,498.0,132.0,0.006,3m,3.5,4.0,0.7,26.0,910.0,0.006,4m,2.0,1.5,1.1,868.0,526.0,0.006,2m,3.0,4.0,1.2000000000000002,570.0,148.0,0.002,4m,3.0,4.0,1.3,1010.0,540.0,0.004,4m,3.5,3.0,1.9000000000000001,378.0,278,0.003,3m,1.0,2.0,1.1,790,0.2,10,COMPLETE
117,117,7.817245240904598,2025-06-15 01:07:20.788372,2025-06-15 01:07:25.143469,0 days 00:00:04.355097,904.0,0.002,4m,1.0,2.5,1.3,786.0,438.0,0.003,3m,3.5,3.0,1.9000000000000001,302.0,782.0,0.006,1m,3.5,2.5,0.5,354.0,734.0,0.005,4m,1.5,3.5,1.1,472.0,198.0,0.005,3m,3.0,4.0,0.5,92.0,658.0,0.009000000000000001,4m,1.5,2.5,1.6,860.0,472.0,0.005,2m,2.0,4.0,1.3,682.0,614.0,0.002,2m,3.0,4.0,1.4,978.0,506.0,0.004,4m,3.5,2.5,2.0,236.0,338,0.003,3m,1.0,2.0,1.2000000000000002,718,0.2,10,COMPLETE
118,118,9.32392077119841,2025-06-15 01:07:25.217981,2025-06-15 01:07:29.564863,0 days 00:00:04.346882,840.0,0.003,4m,1.0,2.5,1.3,738.0,408.0,0.003,2m,3.5,3.0,1.9000000000000001,268.0,770.0,0.006,1m,4.0,2.5,0.5,334.0,768.0,0.004,4m,1.5,3.0,1.0,468.0,72.0,0.005,3m,2.5,4.0,0.6,88.0,646.0,0.009000000000000001,4m,1.0,2.5,1.7000000000000002,840.0,490.0,0.005,2m,2.5,4.0,1.3,622.0,606.0,0.002,2m,3.0,4.0,1.5,968.0,612.0,0.005,4m,4.0,2.0,1.8,192.0,368,0.003,3m,1.0,2.0,1.2000000000000002,680,0.2,10,COMPLETE
119,119,3.6500371888008667,2025-06-15 01:07:29.663380,2025-06-15 01:07:33.891997,0 days 00:00:04.228617,754.0,0.003,3m,1.0,3.5,1.5,760.0,410.0,0.004,2m,3.0,3.5,1.8,138.0,832.0,0.006,1m,4.0,3.0,0.5,474.0,762.0,0.004,1m,2.5,3.0,0.9,418.0,50.0,0.004,3m,2.5,4.0,0.8,106.0,468.0,0.009000000000000001,4m,1.0,3.0,1.8,618.0,508.0,0.005,2m,2.5,4.0,1.3,582.0,456.0,0.003,2m,2.5,4.0,1.6,920.0,616.0,0.005,4m,4.0,1.5,1.7000000000000002,158.0,374,0.002,3m,1.0,2.0,1.8,682,0.25,10,COMPLETE
120,120,6.179553662891216,2025-06-15 01:07:33.962019,2025-06-15 01:07:34.860533,0 days 00:00:00.898514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.0,0.003,1m,3.0,4.0,1.5,902.0,,,,,,,,200,0.003,3m,1.0,2.0,1.2000000000000002,688,0.3,2,COMPLETE
121,121,8.277833447747827,2025-06-15 01:07:34.960560,2025-06-15 01:07:39.170286,0 days 00:00:04.209726,876.0,0.002,4m,1.0,2.5,1.4,788.0,450.0,0.003,2m,3.5,3.0,1.9000000000000001,206.0,790.0,0.006,1m,4.0,2.5,0.5,314.0,732.0,0.005,4m,1.5,3.0,1.0,470.0,350.0,0.005,3m,3.0,4.0,0.6,78.0,640.0,0.009000000000000001,4m,1.0,2.5,1.6,826.0,476.0,0.005,2m,2.5,4.0,1.3,630.0,614.0,0.002,2m,3.0,4.0,1.4,980.0,698.0,0.005,4m,4.0,2.0,1.6,220.0,334,0.003,3m,1.0,2.0,1.2000000000000002,646,0.2,10,COMPLETE
122,122,7.315284667302364,2025-06-15 01:07:39.218800,2025-06-15 01:07:43.473944,0 days 00:00:04.255144,850.0,0.003,4m,1.0,2.5,1.4,804.0,356.0,0.003,2m,3.5,3.0,1.9000000000000001,188.0,924.0,0.006,1m,4.0,2.0,0.5,316.0,710.0,0.005,4m,1.5,3.0,0.9,456.0,338.0,0.005,3m,2.0,4.0,0.7,142.0,640.0,0.009000000000000001,4m,1.0,2.0,1.8,770.0,460.0,0.005,2m,2.5,4.0,1.4,652.0,650.0,0.002,2m,3.5,4.0,1.4,972.0,696.0,0.005,4m,4.0,1.5,1.6,102.0,304,0.003,3m,1.0,2.0,1.2000000000000002,594,0.2,10,COMPLETE
123,123,7.191013155845036,2025-06-15 01:07:43.543448,2025-06-15 01:07:47.532372,0 days 00:00:03.988924,782.0,0.003,4m,1.5,2.5,1.1,576.0,514.0,0.003,2m,3.5,3.0,1.9000000000000001,234.0,778.0,0.006,1m,4.0,2.5,0.5,420.0,768.0,0.004,4m,1.5,2.5,1.0,374.0,456.0,0.005,3m,2.5,3.5,0.6,54.0,870.0,0.009000000000000001,4m,1.0,2.5,2.0,780.0,482.0,0.005,2m,2.5,4.0,1.5,628.0,514.0,0.002,2m,3.0,4.0,1.5,1004.0,672.0,0.005,4m,4.0,2.0,1.5,294.0,356,0.003,3m,1.0,2.0,1.4,664,0.15000000000000002,10,COMPLETE
124,124,8.18623924065916,2025-06-15 01:07:47.616705,2025-06-15 01:07:51.497261,0 days 00:00:03.880556,818.0,0.002,4m,3.5,2.0,1.3,680.0,466.0,0.003,2m,3.5,3.5,1.8,280.0,680.0,0.006,1m,4.0,2.5,0.7,244.0,690.0,0.004,4m,1.5,2.5,1.2000000000000002,414.0,366.0,0.007,3m,3.5,4.0,1.1,158.0,668.0,0.008,4m,1.0,3.0,1.3,906.0,360.0,0.004,4m,2.5,4.0,1.3,542.0,688.0,0.001,2m,3.0,4.0,1.3,930.0,650.0,0.006,4m,4.0,2.0,1.6,132.0,326,0.003,3m,1.0,2.0,1.3,742,0.25,10,COMPLETE
125,125,8.108444915388093,2025-06-15 01:07:51.546952,2025-06-15 01:07:55.662757,0 days 00:00:04.115805,834.0,0.001,4m,4.0,2.0,1.4,728.0,372.0,0.003,2m,3.5,3.5,1.7000000000000002,102.0,670.0,0.006,1m,4.0,2.5,0.7,294.0,790.0,0.004,4m,1.5,2.5,0.9,360.0,396.0,0.007,3m,4.0,4.0,1.0,16.0,670.0,0.008,4m,1.0,3.0,1.3,894.0,294.0,0.004,4m,2.5,4.0,1.3,514.0,662.0,0.001,2m,3.5,4.0,1.2000000000000002,938.0,652.0,0.005,4m,4.0,2.0,1.8,186.0,318,0.002,3m,1.0,2.0,1.3,634,0.2,10,COMPLETE
126,126,9.138968240171815,2025-06-15 01:07:55.725877,2025-06-15 01:07:59.783088,0 days 00:00:04.057211,830.0,0.001,4m,4.0,2.0,1.4,678.0,444.0,0.002,2m,3.5,3.5,1.7000000000000002,54.0,754.0,0.006,1m,4.0,2.5,0.7,216.0,800.0,0.004,4m,1.5,2.5,0.9,344.0,392.0,0.007,3m,4.0,4.0,1.1,34.0,672.0,0.008,4m,1.0,3.0,1.4,910.0,324.0,0.004,4m,2.5,4.0,1.3,530.0,688.0,0.001,2m,3.5,4.0,1.2000000000000002,938.0,654.0,0.005,4m,4.0,2.0,1.8,222.0,324,0.001,3m,1.0,2.0,1.2000000000000002,648,0.2,10,COMPLETE
127,127,6.250480836186616,2025-06-15 01:07:59.868334,2025-06-15 01:08:03.888128,0 days 00:00:04.019794,804.0,0.001,4m,3.5,3.0,1.3,676.0,456.0,0.002,2m,3.5,3.5,1.7000000000000002,268.0,758.0,0.006,1m,4.0,3.0,0.7,222.0,834.0,0.005,4m,1.0,2.5,1.0,402.0,70.0,0.008,4m,4.0,3.5,1.1,72.0,692.0,0.009000000000000001,4m,1.0,3.0,1.5,930.0,370.0,0.004,4m,2.5,4.0,1.4,590.0,714.0,0.001,2m,3.0,4.0,1.5,956.0,700.0,0.006,4m,4.0,2.0,1.7000000000000002,216.0,384,0.001,3m,1.0,2.0,1.2000000000000002,662,0.2,10,COMPLETE
128,128,8.031045555616782,2025-06-15 01:08:03.931723,2025-06-15 01:08:07.996500,0 days 00:00:04.064777,870.0,0.002,2m,4.0,2.5,1.5,732.0,438.0,0.002,2m,3.5,3.5,1.8,104.0,804.0,0.006,1m,4.0,2.0,0.6,220.0,808.0,0.004,4m,1.5,2.5,0.8,330.0,444.0,0.007,3m,4.0,3.5,1.2000000000000002,144.0,572.0,0.008,4m,1.0,2.5,1.5,412.0,320.0,0.003,4m,2.5,4.0,1.3,536.0,722.0,0.001,2m,3.5,4.0,1.1,902.0,726.0,0.005,2m,4.0,2.0,1.8,146.0,338,0.001,3m,1.0,2.0,1.1,734,0.25,10,COMPLETE
129,129,5.8293319054361135,2025-06-15 01:08:08.072906,2025-06-15 01:08:11.579961,0 days 00:00:03.507055,592.0,0.001,4m,4.0,2.5,1.4,662.0,414.0,0.002,2m,3.5,3.5,2.0,58.0,1024.0,0.006,1m,4.0,2.5,0.8,250.0,730.0,0.003,4m,1.5,2.5,1.0,238.0,262.0,0.004,2m,2.5,4.0,1.1,108.0,,,,,,,,424.0,0.004,4m,2.5,4.0,1.3,624.0,684.0,0.001,2m,4.0,4.0,1.2000000000000002,928.0,628.0,0.006,4m,4.0,1.5,1.7000000000000002,246.0,364,0.001,3m,1.0,1.5,1.2000000000000002,622,0.25,9,COMPLETE
130,130,10.508100623447168,2025-06-15 01:08:11.663567,2025-06-15 01:08:18.510535,0 days 00:00:06.846968,956.0,0.008,3m,3.5,3.0,1.3,810.0,472.0,0.01,2m,3.5,4.0,1.9000000000000001,220.0,688.0,0.006,1m,4.0,2.5,0.6,178.0,758.0,0.004,4m,1.5,3.0,0.9,410.0,316.0,0.007,3m,3.5,3.5,1.3,272.0,494.0,0.009000000000000001,4m,1.0,3.0,1.7000000000000002,826.0,406.0,0.004,4m,1.0,1.0,1.4,488.0,594.0,0.001,1m,3.0,4.0,1.4,884.0,706.0,0.005,3m,4.0,2.0,0.5,182.0,388,0.002,3m,1.0,2.0,1.4,554,0.2,10,COMPLETE
131,131,1.4353992878365174,2025-06-15 01:08:18.621467,2025-06-15 01:08:23.531433,0 days 00:00:04.909966,958.0,0.008,3m,3.5,4.0,1.3,802.0,478.0,0.003,2m,3.5,4.0,1.9000000000000001,212.0,684.0,0.006,1m,4.0,2.5,0.6,178.0,748.0,0.004,4m,1.5,3.0,0.8,418.0,318.0,0.007,3m,3.5,3.5,1.3,254.0,504.0,0.009000000000000001,4m,1.0,3.0,1.7000000000000002,850.0,344.0,0.004,4m,1.0,1.5,1.4,504.0,634.0,0.001,1m,3.0,4.0,1.4,890.0,762.0,0.005,3m,4.0,2.0,0.5,118.0,806,0.002,3m,1.0,2.0,1.4,546,0.2,10,COMPLETE
132,132,6.897949353707458,2025-06-15 01:08:23.612766,2025-06-15 01:08:27.674028,0 days 00:00:04.061262,966.0,0.002,3m,3.5,3.5,1.5,596.0,460.0,0.008,2m,3.5,4.0,1.9000000000000001,178.0,698.0,0.006,1m,4.0,2.5,0.7,148.0,678.0,0.004,4m,1.5,3.0,0.9,320.0,374.0,0.008,3m,3.5,4.0,1.3,60.0,818.0,0.009000000000000001,4m,1.0,3.0,1.7000000000000002,942.0,264.0,0.004,4m,1.0,4.0,1.5,454.0,586.0,0.001,1m,3.0,4.0,1.4,970.0,684.0,0.005,3m,4.0,2.0,0.6,86.0,400,0.002,3m,1.0,2.0,1.4,696,0.2,10,COMPLETE
