,number,value,datetime_start,datetime_complete,duration,params_ABNB_EBAY_beta_win,params_ABNB_EBAY_stop_loss,params_ABNB_EBAY_trade_freq,params_ABNB_EBAY_z_entry,params_ABNB_EBAY_z_exit,params_ABNB_EBAY_z_stop_scaler,params_ABNB_EBAY_z_win,params_ALGN_DDOG_beta_win,params_ALGN_DDOG_stop_loss,params_ALGN_DDOG_trade_freq,params_ALGN_DDOG_z_entry,params_ALGN_DDOG_z_exit,params_ALGN_DDOG_z_stop_scaler,params_ALGN_DDOG_z_win,params_AMZN_GOOGL_beta_win,params_AMZN_GOOGL_stop_loss,params_AMZN_GOOGL_trade_freq,params_AMZN_GOOGL_z_entry,params_AMZN_GOOGL_z_exit,params_AMZN_GOOGL_z_stop_scaler,params_AMZN_GOOGL_z_win,params_AMZN_GOOG_beta_win,params_AMZN_GOOG_stop_loss,params_AMZN_GOOG_trade_freq,params_AMZN_GOOG_z_entry,params_AMZN_GOOG_z_exit,params_AMZN_GOOG_z_stop_scaler,params_AMZN_GOOG_z_win,params_AMZN_MSFT_beta_win,params_AMZN_MSFT_stop_loss,params_AMZN_MSFT_trade_freq,params_AMZN_MSFT_z_entry,params_AMZN_MSFT_z_exit,params_AMZN_MSFT_z_stop_scaler,params_AMZN_MSFT_z_win,params_AMZN_PYPL_beta_win,params_AMZN_PYPL_stop_loss,params_AMZN_PYPL_trade_freq,params_AMZN_PYPL_z_entry,params_AMZN_PYPL_z_exit,params_AMZN_PYPL_z_stop_scaler,params_AMZN_PYPL_z_win,params_AMZN_VRSN_beta_win,params_AMZN_VRSN_stop_loss,params_AMZN_VRSN_trade_freq,params_AMZN_VRSN_z_entry,params_AMZN_VRSN_z_exit,params_AMZN_VRSN_z_stop_scaler,params_AMZN_VRSN_z_win,params_CSCO_WDAY_beta_win,params_CSCO_WDAY_stop_loss,params_CSCO_WDAY_trade_freq,params_CSCO_WDAY_z_entry,params_CSCO_WDAY_z_exit,params_CSCO_WDAY_z_stop_scaler,params_CSCO_WDAY_z_win,params_MELI_MSFT_beta_win,params_MELI_MSFT_stop_loss,params_MELI_MSFT_trade_freq,params_MELI_MSFT_z_entry,params_MELI_MSFT_z_exit,params_MELI_MSFT_z_stop_scaler,params_MELI_MSFT_z_win,params_WBA_MNST_beta_win,params_WBA_MNST_stop_loss,params_WBA_MNST_trade_freq,params_WBA_MNST_z_entry,params_WBA_MNST_z_exit,params_WBA_MNST_z_stop_scaler,params_WBA_MNST_z_win,params_buffer_capital,params_pairs_to_trade,state
30,30,-0.9160996915448627,2025-06-15 00:59:10.755606,2025-06-15 00:59:17.295332,0 days 00:00:06.539726,204.0,0.004,3m,4.0,1.5,0.5,818.0,374.0,0.002,4m,1.5,3.5,0.9,604.0,950.0,0.001,1m,2.5,3.0,1.9000000000000001,152.0,1010.0,0.008,2m,2.5,2.0,1.7000000000000002,496.0,452.0,0.01,2m,3.0,2.5,1.3,802.0,422,0.002,3m,2.0,2.0,1.3,408,512.0,0.001,2m,4.0,1.5,1.2000000000000002,410.0,808.0,0.007,2m,1.5,3.0,1.7000000000000002,216.0,,,,,,,,222.0,0.001,1m,1.0,1.0,1.1,598.0,0.5,9,COMPLETE
31,31,2.9778648799110945,2025-06-15 00:59:17.415846,2025-06-15 00:59:23.990977,0 days 00:00:06.575131,374.0,0.007,3m,3.5,2.0,1.7000000000000002,620.0,502.0,0.002,4m,1.0,2.0,0.5,416.0,998.0,0.003,1m,1.0,1.5,1.7000000000000002,122.0,186.0,0.007,2m,3.5,1.5,1.9000000000000001,28.0,278.0,0.01,2m,3.5,2.0,0.9,716.0,350,0.001,3m,2.5,2.0,1.5,192,470.0,0.003,2m,4.0,1.0,0.5,484.0,590.0,0.004,1m,1.5,3.5,1.4,502.0,970.0,0.01,3m,2.5,3.0,0.5,720.0,678.0,0.004,1m,2.0,2.0,1.7000000000000002,198.0,0.45,10,COMPLETE
32,32,-5.973914280138998,2025-06-15 00:59:24.073096,2025-06-15 00:59:27.892244,0 days 00:00:03.819148,578.0,0.006,3m,4.0,2.5,1.9000000000000001,760.0,326.0,0.003,4m,1.5,1.5,0.6,544.0,314.0,0.003,1m,1.0,1.5,1.4,16.0,234.0,0.006,2m,3.0,1.0,2.0,872.0,524.0,0.002,1m,3.0,1.5,0.7,534.0,384,0.002,3m,1.5,1.5,1.0,452,656.0,0.004,2m,3.5,1.0,0.8,638.0,452.0,0.008,1m,2.5,3.0,0.9,198.0,,,,,,,,382.0,0.003,3m,1.5,1.5,1.7000000000000002,236.0,0.5,9,COMPLETE
33,33,-2.9310980522289083,2025-06-15 00:59:27.974755,2025-06-15 00:59:31.446760,0 days 00:00:03.472005,438.0,0.008,2m,3.5,2.5,1.6,890.0,562.0,0.001,4m,1.0,2.0,0.8,648.0,104.0,0.005,2m,1.5,2.0,1.7000000000000002,162.0,346.0,0.007,2m,1.5,1.5,1.9000000000000001,682.0,948.0,0.005,2m,3.5,2.0,1.1,738.0,488,0.003,3m,2.5,2.5,1.4,708,1000.0,0.002,2m,4.0,1.0,0.6,332.0,726.0,0.006,1m,1.5,4.0,1.7000000000000002,420.0,,,,,,,,,,,,,,,0.4,8,COMPLETE
34,34,1.6392853984699183,2025-06-15 00:59:31.545274,2025-06-15 00:59:35.524223,0 days 00:00:03.978949,516.0,0.002,4m,4.0,1.5,1.8,690.0,680.0,0.002,4m,1.5,2.5,0.5,800.0,846.0,0.002,1m,1.0,1.0,1.5,394.0,158.0,0.009000000000000001,2m,2.0,2.0,1.7000000000000002,572.0,456.0,0.001,2m,3.0,2.0,0.9,920.0,544,0.001,2m,2.0,1.5,1.2000000000000002,480,576.0,0.005,1m,3.5,1.5,0.7,438.0,222.0,0.004,1m,2.5,2.0,1.4,612.0,,,,,,,,440.0,0.008,2m,3.5,3.5,1.8,222.0,0.5,9,COMPLETE
35,35,-4.304621212993427,2025-06-15 00:59:35.611742,2025-06-15 00:59:39.076985,0 days 00:00:03.465243,242.0,0.006,3m,2.0,2.5,1.4,1000.0,486.0,0.004,2m,3.5,2.5,0.7,186.0,418.0,0.002,4m,1.5,2.5,1.8,110.0,282.0,0.008,2m,2.5,1.0,1.9000000000000001,382.0,838.0,0.006,1m,2.0,1.5,0.6,604.0,268,0.004,4m,3.5,2.0,1.6,600,406.0,0.009000000000000001,1m,3.0,1.0,0.5,940.0,,,,,,,,,,,,,,,,,,,,,,0.45,7,COMPLETE
36,36,-1.4973868494650455,2025-06-15 00:59:39.221507,2025-06-15 00:59:42.480641,0 days 00:00:03.259134,,,,,,,,232.0,0.001,1m,2.0,2.0,0.8,294.0,,,,,,,,448.0,0.006,2m,4.0,1.5,1.8,212.0,708.0,0.007,3m,2.0,2.5,1.0,850.0,856,0.002,2m,1.5,1.5,1.3,670,330.0,0.002,3m,1.0,1.5,1.4,556.0,,,,,,,,,,,,,,,,,,,,,,0.3,5,COMPLETE
37,37,-7.264502830086884,2025-06-15 00:59:42.605155,2025-06-15 00:59:50.165719,0 days 00:00:07.560564,586.0,0.008,1m,1.5,2.0,1.9000000000000001,778.0,926.0,0.003,3m,3.0,1.5,1.1,40.0,568.0,0.005,3m,1.0,1.5,2.0,266.0,100.0,0.007,4m,1.0,2.0,1.6,176.0,592.0,0.009000000000000001,2m,4.0,2.0,1.1,808.0,328,0.003,1m,1.0,2.0,0.5,282,806.0,0.008,4m,3.5,1.0,0.6,266.0,854.0,0.006,4m,1.0,3.5,1.0,150.0,80.0,0.01,2m,2.5,2.5,1.5,522.0,786.0,0.003,4m,3.0,2.0,1.1,158.0,0.4,10,COMPLETE
38,38,2.5916825417722364,2025-06-15 00:59:50.262231,2025-06-15 00:59:53.945550,0 days 00:00:03.683319,696.0,0.004,1m,3.5,3.0,1.7000000000000002,562.0,828.0,0.006,4m,1.0,3.0,1.4,752.0,254.0,0.008,1m,1.5,2.0,1.4,868.0,636.0,0.005,1m,1.0,1.0,2.0,106.0,952.0,0.006,4m,1.0,1.0,0.8,998.0,1018,0.001,3m,4.0,1.0,2.0,898,236.0,0.006,2m,3.0,2.0,0.7,732.0,682.0,0.009000000000000001,3m,2.0,2.5,1.6,776.0,,,,,,,,,,,,,,,0.25,8,COMPLETE
39,39,-6.758955185996933,2025-06-15 00:59:54.011068,2025-06-15 00:59:56.642318,0 days 00:00:02.631250,470.0,0.005,4m,3.0,2.5,1.5,654.0,16.0,0.005,2m,1.5,2.0,0.6,628.0,,,,,,,,128.0,0.008,3m,2.5,4.0,1.5,294.0,228.0,0.003,3m,2.5,1.5,1.9000000000000001,434.0,182,0.005,4m,3.0,2.5,1.8,744,958.0,0.01,3m,1.5,1.5,0.9,660.0,,,,,,,,,,,,,,,,,,,,,,0.5,6,COMPLETE
40,40,-4.076667270936436,2025-06-15 00:59:56.711836,2025-06-15 00:59:58.974720,0 days 00:00:02.262884,,,,,,,,574.0,0.002,1m,2.5,1.5,1.0,532.0,,,,,,,,780.0,0.009000000000000001,3m,3.5,2.5,1.9000000000000001,450.0,780.0,0.008,1m,3.5,2.0,1.2000000000000002,658.0,438,0.007,2m,2.0,3.0,0.6,832,930.0,0.004,4m,2.0,1.0,0.7,954.0,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,5,COMPLETE
41,41,6.472403487088541,2025-06-15 00:59:59.030720,2025-06-15 01:00:02.614085,0 days 00:00:03.583365,834.0,0.002,1m,3.0,3.5,1.9000000000000001,262.0,1006.0,0.001,4m,1.0,1.0,1.0,480.0,722.0,0.002,1m,1.0,3.0,1.1,382.0,884.0,0.004,4m,1.5,3.0,1.3,700.0,622.0,0.003,3m,3.5,1.5,0.7,506.0,672,0.005,4m,3.0,1.5,0.7,806,762.0,0.01,4m,2.5,1.5,0.6,998.0,16.0,0.003,1m,3.0,2.0,0.8,574.0,,,,,,,,,,,,,,,0.45,8,COMPLETE
42,42,4.244374656487832,2025-06-15 01:00:02.701608,2025-06-15 01:00:06.896953,0 days 00:00:04.195345,912.0,0.001,1m,4.0,3.5,1.9000000000000001,220.0,972.0,0.001,4m,1.0,1.0,1.2000000000000002,426.0,742.0,0.003,1m,1.0,3.5,1.0,104.0,904.0,0.002,4m,1.5,3.0,1.3,658.0,614.0,0.004,3m,3.5,1.5,0.7,548.0,584,0.004,4m,3.0,1.5,0.7,966,786.0,0.009000000000000001,4m,2.5,1.5,2.0,22.0,156.0,0.003,1m,3.5,2.0,0.8,312.0,,,,,,,,146.0,0.008,1m,2.0,3.0,1.5,602.0,0.45,9,COMPLETE
43,43,5.60918689795875,2025-06-15 01:00:06.984459,2025-06-15 01:00:10.649852,0 days 00:00:03.665393,882.0,0.001,1m,4.0,3.5,2.0,228.0,956.0,0.001,4m,1.0,1.0,1.2000000000000002,478.0,738.0,0.001,1m,1.0,3.5,1.0,382.0,904.0,0.002,4m,1.5,3.0,1.2000000000000002,556.0,592.0,0.004,3m,3.0,2.5,0.6,376.0,588,0.004,4m,2.5,1.5,0.7,988,798.0,0.007,4m,2.5,2.0,2.0,64.0,118.0,0.001,1m,3.5,2.0,0.7,304.0,,,,,,,,,,,,,,,0.45,8,COMPLETE
44,44,5.064707561280005,2025-06-15 01:00:10.758381,2025-06-15 01:00:14.595517,0 days 00:00:03.837136,896.0,0.002,1m,4.0,4.0,2.0,220.0,946.0,0.001,4m,1.0,1.0,1.3,418.0,734.0,0.001,1m,1.5,3.5,1.0,412.0,904.0,0.002,4m,1.5,3.0,1.2000000000000002,682.0,496.0,0.004,3m,3.0,3.0,0.6,316.0,580,0.004,4m,2.5,1.0,0.7,986,788.0,0.007,4m,2.5,2.5,2.0,34.0,158.0,0.001,1m,3.5,2.0,0.7,300.0,,,,,,,,,,,,,,,0.4,8,COMPLETE
45,45,4.159163956160731,2025-06-15 01:00:14.670522,2025-06-15 01:00:18.572212,0 days 00:00:03.901690,904.0,0.002,1m,3.5,4.0,1.9000000000000001,236.0,944.0,0.009000000000000001,4m,1.5,1.0,1.3,414.0,764.0,0.001,1m,1.5,3.5,1.0,462.0,936.0,0.002,4m,2.0,3.0,1.2000000000000002,692.0,506.0,0.003,2m,2.5,3.0,0.5,364.0,582,0.004,4m,2.5,1.0,0.7,986,894.0,0.007,4m,2.5,2.5,2.0,42.0,128.0,0.001,1m,3.5,2.0,0.7,292.0,,,,,,,,,,,,,,,0.35000000000000003,8,COMPLETE
46,46,1.8338476618039101,2025-06-15 01:00:18.657720,2025-06-15 01:00:22.747753,0 days 00:00:04.090033,996.0,0.002,1m,4.0,3.5,2.0,150.0,974.0,0.001,1m,1.0,1.0,1.6,422.0,656.0,0.001,1m,1.5,3.5,1.0,488.0,948.0,0.003,4m,1.0,3.5,1.1,828.0,380.0,0.002,3m,3.0,3.0,0.6,204.0,530,0.006,4m,2.5,1.0,0.7,972,792.0,0.007,4m,2.5,2.5,2.0,142.0,146.0,0.002,1m,3.5,1.5,0.8,306.0,,,,,,,,30.0,0.008,1m,1.5,3.0,1.5,658.0,0.4,9,COMPLETE
47,47,5.001905981136056,2025-06-15 01:00:22.845779,2025-06-15 01:00:27.006532,0 days 00:00:04.160753,900.0,0.003,3m,3.0,4.0,1.9000000000000001,324.0,964.0,0.002,4m,1.0,1.0,1.4,334.0,724.0,0.001,1m,2.0,3.5,0.9,368.0,842.0,0.002,4m,1.5,3.0,1.3,754.0,504.0,0.004,3m,2.5,3.5,0.7,216.0,626,0.005,4m,2.0,1.0,0.5,1008,848.0,0.005,4m,2.5,2.5,1.8,94.0,132.0,0.002,1m,3.5,2.0,0.5,174.0,,,,,,,,262.0,0.005,1m,1.5,3.0,1.1,452.0,0.5,9,COMPLETE
48,48,1.6782462013978443,2025-06-15 01:00:27.083049,2025-06-15 01:00:28.282921,0 days 00:00:01.199872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624,0.007,4m,2.0,1.0,0.5,1018,868.0,0.005,4m,2.5,2.5,1.8,114.0,,,,,,,,,,,,,,,,,,,,,,0.5,2,COMPLETE
49,49,4.041209065178954,2025-06-15 01:00:28.364922,2025-06-15 01:00:31.959360,0 days 00:00:03.594438,836.0,0.003,3m,3.0,4.0,1.8,358.0,910.0,0.002,4m,1.5,1.0,1.4,310.0,876.0,0.001,4m,2.0,4.0,0.8,592.0,842.0,0.001,4m,2.0,3.5,1.0,744.0,478.0,0.003,3m,2.5,3.5,0.6,182.0,686,0.005,4m,1.5,1.0,0.6,360,648.0,0.003,4m,2.5,3.0,1.7000000000000002,190.0,74.0,0.001,1m,3.5,1.5,0.5,130.0,,,,,,,,,,,,,,,0.5,8,COMPLETE
50,50,2.7337144304199352,2025-06-15 01:00:32.035874,2025-06-15 01:00:35.847786,0 days 00:00:03.811912,874.0,0.003,3m,2.5,4.0,2.0,152.0,864.0,0.003,2m,1.0,1.5,1.6,232.0,704.0,0.001,1m,2.5,3.5,0.8,370.0,974.0,0.002,4m,1.5,3.5,1.3,874.0,556.0,0.004,2m,2.5,3.5,0.7,224.0,544,0.006,4m,2.0,1.0,0.8,912,886.0,0.006,4m,3.0,2.5,1.9000000000000001,104.0,242.0,0.002,1m,3.0,2.0,0.7,242.0,,,,,,,,,,,,,,,0.45,8,COMPLETE
51,51,7.70559538738836,2025-06-15 01:00:35.933309,2025-06-15 01:00:40.213773,0 days 00:00:04.280464,956.0,0.001,3m,3.0,3.5,1.9000000000000001,268.0,958.0,0.001,4m,1.0,1.0,1.3,298.0,756.0,0.002,1m,2.0,3.5,1.1,546.0,916.0,0.002,4m,1.5,3.0,1.3,662.0,618.0,0.004,3m,3.0,3.0,0.7,136.0,612,0.004,4m,2.5,1.5,0.6,970,788.0,0.007,4m,2.5,3.5,1.9000000000000001,16.0,126.0,0.002,1m,3.5,2.0,0.6,170.0,,,,,,,,222.0,0.005,1m,1.5,3.0,0.9,436.0,0.45,9,COMPLETE
52,52,1.54963525764611,2025-06-15 01:00:40.295802,2025-06-15 01:00:44.691380,0 days 00:00:04.395578,1024.0,0.002,3m,3.0,4.0,1.9000000000000001,336.0,972.0,0.001,4m,1.0,1.0,1.5,292.0,916.0,0.001,1m,2.0,3.0,1.1,552.0,900.0,0.003,4m,1.5,3.0,1.1,538.0,400.0,0.004,3m,3.0,4.0,0.5,100.0,604,0.004,4m,2.5,1.5,0.6,982,682.0,0.004,4m,2.5,3.5,1.9000000000000001,74.0,112.0,0.002,1m,3.5,2.5,0.6,154.0,,,,,,,,266.0,0.004,1m,1.5,3.5,0.9,428.0,0.5,9,COMPLETE
53,53,5.615393333894885,2025-06-15 01:00:44.759378,2025-06-15 01:00:49.519429,0 days 00:00:04.760051,968.0,0.001,3m,3.0,3.5,2.0,424.0,932.0,0.002,4m,1.0,1.0,2.0,336.0,806.0,0.002,1m,2.0,3.5,0.9,448.0,828.0,0.004,4m,1.0,3.0,1.4,754.0,308.0,0.003,3m,3.0,3.5,0.6,136.0,718,0.01,4m,2.5,1.5,0.5,1024,834.0,0.007,4m,2.5,3.5,1.8,238.0,194.0,0.001,1m,4.0,2.0,0.5,112.0,104.0,0.003,1m,1.0,4.0,2.0,18.0,280.0,0.005,1m,1.0,2.0,0.9,344.0,0.45,10,COMPLETE
54,54,5.874171580973105,2025-06-15 01:00:49.595938,2025-06-15 01:00:54.383378,0 days 00:00:04.787440,960.0,0.001,3m,2.5,3.5,2.0,424.0,892.0,0.001,4m,1.0,1.0,1.3,566.0,824.0,0.002,4m,2.0,4.0,0.6,682.0,1018.0,0.004,4m,1.0,2.5,1.4,654.0,304.0,0.002,3m,3.0,3.0,0.6,124.0,792,0.01,4m,2.5,1.5,0.8,896,776.0,0.007,4m,2.0,3.5,1.6,170.0,212.0,0.001,1m,4.0,1.5,0.6,34.0,62.0,0.003,1m,1.0,4.0,1.9000000000000001,30.0,162.0,0.002,1m,1.0,1.5,0.8,318.0,0.4,10,COMPLETE
55,55,4.378943308582764,2025-06-15 01:00:54.476891,2025-06-15 01:00:59.376282,0 days 00:00:04.899391,962.0,0.001,3m,2.5,3.5,1.8,462.0,898.0,0.001,4m,1.5,1.5,2.0,590.0,816.0,0.002,4m,2.5,4.0,0.6,694.0,1024.0,0.004,4m,1.0,2.5,1.4,478.0,306.0,0.002,3m,3.0,3.0,0.8,24.0,816,0.01,4m,2.5,2.0,0.8,894,914.0,0.006,4m,2.0,3.5,1.7000000000000002,172.0,298.0,0.001,1m,4.0,1.5,0.5,40.0,32.0,0.003,1m,1.0,4.0,2.0,48.0,178.0,0.002,1m,1.0,1.5,0.8,302.0,0.45,10,COMPLETE
56,56,1.1297418777131532,2025-06-15 01:00:59.468789,2025-06-15 01:01:04.283950,0 days 00:00:04.815161,978.0,0.001,3m,2.5,3.5,2.0,404.0,1022.0,0.002,3m,1.0,1.5,1.8,558.0,1018.0,0.002,4m,2.0,3.0,0.7,718.0,766.0,0.004,4m,1.0,4.0,1.5,540.0,176.0,0.001,3m,3.0,3.5,0.5,130.0,916,0.01,4m,2.5,1.5,0.8,932,612.0,0.007,4m,2.0,4.0,1.6,252.0,204.0,0.001,4m,4.0,1.0,0.6,122.0,236.0,0.004,1m,1.0,3.5,1.6,26.0,316.0,0.002,1m,1.0,1.5,0.5,334.0,0.4,10,COMPLETE
57,57,-2.2447529331954876,2025-06-15 01:01:04.394489,2025-06-15 01:01:09.092425,0 days 00:00:04.697936,950.0,0.001,3m,3.0,3.5,2.0,134.0,820.0,0.003,4m,1.5,1.0,1.1,474.0,636.0,0.004,4m,3.5,4.0,1.1,764.0,966.0,0.004,4m,1.0,3.5,0.9,642.0,32.0,0.002,1m,3.0,2.5,0.6,120.0,734,0.009000000000000001,4m,3.0,1.5,0.6,872,754.0,0.008,4m,3.0,3.5,1.5,290.0,338.0,0.001,1m,4.0,1.5,0.6,24.0,238.0,0.002,1m,1.5,3.5,2.0,276.0,120.0,0.005,1m,1.0,2.0,0.9,320.0,0.35000000000000003,10,COMPLETE
58,58,1.823749920157824,2025-06-15 01:01:09.180429,2025-06-15 01:01:13.860264,0 days 00:00:04.679835,824.0,0.001,3m,2.5,3.5,1.7000000000000002,290.0,870.0,0.001,4m,2.0,1.0,1.2000000000000002,194.0,912.0,0.007,3m,3.0,2.5,1.1,572.0,818.0,0.001,4m,1.0,2.5,1.4,818.0,318.0,0.003,3m,2.5,3.0,0.6,160.0,704,0.008,4m,2.5,2.0,0.5,812,848.0,0.007,2m,2.0,4.0,1.9000000000000001,206.0,18.0,0.002,1m,3.0,1.0,0.8,94.0,722.0,0.004,1m,1.5,4.0,1.3,388.0,468.0,0.003,1m,1.5,1.0,0.9,514.0,0.45,10,COMPLETE
59,59,-0.5381826910886659,2025-06-15 01:01:13.964816,2025-06-15 01:01:18.312954,0 days 00:00:04.348138,946.0,0.001,2m,2.0,3.0,1.9000000000000001,394.0,986.0,0.002,4m,1.0,1.5,1.7000000000000002,512.0,794.0,0.002,4m,2.5,4.0,0.9,498.0,928.0,0.004,4m,1.0,3.0,1.3,444.0,122.0,0.002,4m,3.0,4.0,0.8,262.0,802,0.01,4m,2.0,1.5,1.0,942,684.0,0.006,4m,1.5,3.5,1.6,152.0,70.0,0.003,1m,4.0,1.5,0.5,246.0,,,,,,,,302.0,0.004,1m,1.0,1.5,0.7,132.0,0.4,9,COMPLETE
60,60,2.0059925630293858,2025-06-15 01:01:18.398489,2025-06-15 01:01:22.957646,0 days 00:00:04.559157,852.0,0.002,3m,2.5,3.5,2.0,88.0,124.0,0.001,4m,1.5,1.0,2.0,266.0,870.0,0.003,1m,2.0,3.5,1.3,634.0,704.0,0.003,4m,1.5,2.5,1.2000000000000002,726.0,250.0,0.003,3m,3.0,2.5,0.7,68.0,662,0.007,4m,2.5,1.5,0.6,86,822.0,0.008,4m,2.5,3.0,1.8,332.0,192.0,0.002,1m,4.0,2.0,0.7,92.0,220.0,0.005,1m,2.0,3.0,1.7000000000000002,366.0,194.0,0.002,1m,2.0,2.5,1.2000000000000002,282.0,0.45,10,COMPLETE
61,61,4.212134224962105,2025-06-15 01:01:23.031156,2025-06-15 01:01:27.278295,0 days 00:00:04.247139,778.0,0.002,3m,3.5,4.0,2.0,228.0,948.0,0.001,4m,1.0,1.0,1.3,428.0,758.0,0.002,1m,2.0,3.5,0.9,420.0,876.0,0.003,4m,1.5,3.0,1.2000000000000002,780.0,636.0,0.003,3m,3.0,3.0,0.6,348.0,758,0.008,4m,2.5,1.5,0.7,1012,770.0,0.007,4m,2.5,3.0,2.0,50.0,92.0,0.001,1m,3.5,2.0,0.7,558.0,,,,,,,,362.0,0.007,2m,1.0,2.0,1.0,506.0,0.4,9,COMPLETE
62,62,5.539847513928284,2025-06-15 01:01:27.368342,2025-06-15 01:01:31.214250,0 days 00:00:03.845908,1018.0,0.001,1m,3.0,1.0,2.0,278.0,922.0,0.001,4m,1.0,1.0,1.3,378.0,706.0,0.001,1m,1.5,3.5,1.2000000000000002,336.0,16.0,0.002,4m,2.0,3.0,1.0,664.0,542.0,0.005,3m,3.0,3.0,0.5,414.0,568,0.004,4m,3.0,2.0,0.9,966,704.0,0.007,4m,2.5,3.5,1.9000000000000001,56.0,178.0,0.001,1m,3.5,2.5,0.6,350.0,,,,,,,,,,,,,,,0.45,8,COMPLETE
63,63,4.148944995382971,2025-06-15 01:01:31.313291,2025-06-15 01:01:35.721076,0 days 00:00:04.407785,1018.0,0.001,3m,3.0,1.0,1.8,286.0,900.0,0.002,4m,1.0,1.0,1.5,368.0,830.0,0.001,1m,1.5,3.0,1.2000000000000002,336.0,38.0,0.003,4m,2.0,3.0,1.0,588.0,694.0,0.005,3m,3.0,3.0,0.5,434.0,504,0.01,4m,3.0,2.0,0.9,962,720.0,0.006,4m,2.5,3.5,1.8,126.0,998.0,0.001,1m,3.0,2.5,0.6,370.0,,,,,,,,98.0,0.005,3m,1.5,1.0,0.7,370.0,0.45,9,COMPLETE
64,64,3.2978451537381632,2025-06-15 01:01:35.807091,2025-06-15 01:01:39.126094,0 days 00:00:03.319003,940.0,0.001,1m,3.0,1.0,1.1,538.0,422.0,0.001,4m,1.0,1.5,1.2000000000000002,466.0,620.0,0.002,1m,1.0,4.0,1.2000000000000002,458.0,66.0,0.001,4m,2.0,3.5,1.1,656.0,574.0,0.005,3m,3.5,3.0,0.7,402.0,388,0.005,4m,3.0,2.0,1.0,914,702.0,0.008,4m,2.0,3.5,1.9000000000000001,226.0,,,,,,,,,,,,,,,,,,,,,,0.45,7,COMPLETE
65,65,1.6638739814535624,2025-06-15 01:01:39.213606,2025-06-15 01:01:43.105162,0 days 00:00:03.891556,716.0,0.001,3m,3.0,3.0,1.2000000000000002,502.0,846.0,0.002,4m,1.5,1.0,1.0,334.0,682.0,0.003,1m,2.0,3.0,0.7,528.0,1006.0,0.005,1m,2.0,3.0,0.8,550.0,544.0,0.004,3m,3.5,3.5,0.5,490.0,716,0.009000000000000001,1m,3.0,2.0,0.9,1024,546.0,0.007,4m,3.0,4.0,1.7000000000000002,82.0,288.0,0.001,1m,4.0,2.5,0.5,426.0,,,,,,,,,,,,,,,0.5,8,COMPLETE
66,66,8.430152724995082,2025-06-15 01:01:43.186166,2025-06-15 01:01:47.477258,0 days 00:00:04.291092,978.0,0.001,2m,2.5,1.5,1.9000000000000001,186.0,992.0,0.001,1m,1.0,1.0,1.5,576.0,964.0,0.002,1m,1.0,3.5,1.3,258.0,432.0,0.002,4m,2.5,3.5,1.5,624.0,434.0,0.003,3m,2.5,2.5,0.8,280.0,652,0.004,4m,2.5,1.5,0.8,840,832.0,0.002,2m,2.0,3.5,1.9000000000000001,20.0,210.0,0.002,3m,3.5,3.0,0.6,542.0,,,,,,,,216.0,0.001,1m,1.0,1.5,0.5,118.0,0.05,9,COMPLETE
67,67,-4.679263950339135,2025-06-15 01:01:47.576772,2025-06-15 01:01:52.385988,0 days 00:00:04.809216,868.0,0.002,2m,2.5,3.5,1.9000000000000001,184.0,992.0,0.003,1m,1.0,1.5,1.9000000000000001,658.0,982.0,0.002,3m,1.0,4.0,0.5,240.0,410.0,0.004,4m,2.5,3.5,1.5,590.0,366.0,0.002,3m,2.0,2.5,0.8,256.0,656,0.006,3m,2.0,1.5,0.8,818,936.0,0.002,2m,2.0,3.0,1.8,168.0,386.0,0.003,3m,2.5,3.0,0.8,556.0,574.0,0.001,2m,1.0,3.5,2.0,18.0,222.0,0.001,1m,1.0,1.5,0.5,164.0,0.1,10,COMPLETE
68,68,-2.19787888061391,2025-06-15 01:01:52.476507,2025-06-15 01:01:56.749835,0 days 00:00:04.273328,976.0,0.001,2m,2.5,1.5,1.8,54.0,352.0,0.007,1m,1.0,1.0,1.1,610.0,950.0,0.003,1m,4.0,3.5,1.1,296.0,502.0,0.006,4m,2.5,3.5,1.4,620.0,412.0,0.001,2m,2.5,2.5,0.8,304.0,766,0.009000000000000001,4m,2.5,1.5,0.5,850,820.0,0.001,2m,1.5,4.0,1.4,534.0,88.0,0.002,3m,4.0,3.0,1.9000000000000001,652.0,,,,,,,,170.0,0.002,1m,1.0,1.5,0.8,114.0,0.2,9,COMPLETE
69,69,-3.499112808486679,2025-06-15 01:01:56.843019,2025-06-15 01:02:01.570103,0 days 00:00:04.727084,806.0,0.006,2m,2.0,2.0,1.7000000000000002,440.0,792.0,0.002,1m,1.5,1.0,1.5,572.0,912.0,0.003,4m,1.0,3.0,0.6,790.0,586.0,0.005,3m,1.0,4.0,1.5,718.0,186.0,0.003,3m,2.5,2.5,0.7,64.0,902,0.005,4m,2.5,1.5,0.6,570,606.0,0.001,2m,2.0,3.5,1.1,486.0,234.0,0.002,3m,3.0,3.0,0.6,566.0,134.0,0.003,1m,2.0,1.0,1.3,158.0,54.0,0.001,1m,1.5,2.0,0.6,270.0,0.05,10,COMPLETE
