,number,value,datetime_start,datetime_complete,duration,params_ABNB_EBAY_beta_win,params_ABNB_EBAY_stop_loss,params_ABNB_EBAY_trade_freq,params_ABNB_EBAY_z_entry,params_ABNB_EBAY_z_exit,params_ABNB_EBAY_z_stop_scaler,params_ABNB_EBAY_z_win,params_ALGN_DDOG_beta_win,params_ALGN_DDOG_stop_loss,params_ALGN_DDOG_trade_freq,params_ALGN_DDOG_z_entry,params_ALGN_DDOG_z_exit,params_ALGN_DDOG_z_stop_scaler,params_ALGN_DDOG_z_win,params_AMZN_GOOGL_beta_win,params_AMZN_GOOGL_stop_loss,params_AMZN_GOOGL_trade_freq,params_AMZN_GOOGL_z_entry,params_AMZN_GOOGL_z_exit,params_AMZN_GOOGL_z_stop_scaler,params_AMZN_GOOGL_z_win,params_AMZN_GOOG_beta_win,params_AMZN_GOOG_stop_loss,params_AMZN_GOOG_trade_freq,params_AMZN_GOOG_z_entry,params_AMZN_GOOG_z_exit,params_AMZN_GOOG_z_stop_scaler,params_AMZN_GOOG_z_win,params_AMZN_MSFT_beta_win,params_AMZN_MSFT_stop_loss,params_AMZN_MSFT_trade_freq,params_AMZN_MSFT_z_entry,params_AMZN_MSFT_z_exit,params_AMZN_MSFT_z_stop_scaler,params_AMZN_MSFT_z_win,params_AMZN_PYPL_beta_win,params_AMZN_PYPL_stop_loss,params_AMZN_PYPL_trade_freq,params_AMZN_PYPL_z_entry,params_AMZN_PYPL_z_exit,params_AMZN_PYPL_z_stop_scaler,params_AMZN_PYPL_z_win,params_AMZN_VRSN_beta_win,params_AMZN_VRSN_stop_loss,params_AMZN_VRSN_trade_freq,params_AMZN_VRSN_z_entry,params_AMZN_VRSN_z_exit,params_AMZN_VRSN_z_stop_scaler,params_AMZN_VRSN_z_win,params_CSCO_WDAY_beta_win,params_CSCO_WDAY_stop_loss,params_CSCO_WDAY_trade_freq,params_CSCO_WDAY_z_entry,params_CSCO_WDAY_z_exit,params_CSCO_WDAY_z_stop_scaler,params_CSCO_WDAY_z_win,params_MELI_MSFT_beta_win,params_MELI_MSFT_stop_loss,params_MELI_MSFT_trade_freq,params_MELI_MSFT_z_entry,params_MELI_MSFT_z_exit,params_MELI_MSFT_z_stop_scaler,params_MELI_MSFT_z_win,params_WBA_MNST_beta_win,params_WBA_MNST_stop_loss,params_WBA_MNST_trade_freq,params_WBA_MNST_z_entry,params_WBA_MNST_z_exit,params_WBA_MNST_z_stop_scaler,params_WBA_MNST_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-4.674239268027291,2025-06-15 00:58:06.353984,2025-06-15 00:58:10.769295,0 days 00:00:04.415311,98.0,0.01,4m,1.0,4.0,0.7,918.0,642.0,0.003,3m,4.0,1.0,0.5,468.0,852.0,0.001,2m,4.0,1.0,2.0,64.0,348.0,0.01,2m,4.0,1.0,2.0,808.0,550.0,0.004,3m,3.5,1.0,0.7,60.0,26,0.004,2m,3.0,1.0,1.1,1016,526.0,0.005,4m,2.0,1.0,1.0,802.0,998.0,0.002,2m,1.0,4.0,0.6,58.0,430.0,0.007,4m,4.0,1.5,0.9,172.0,910.0,0.01,4m,4.0,4.0,2.0,884.0,0.35000000000000003,10,COMPLETE
11,11,-100.0,2025-06-15 00:58:10.847817,2025-06-15 00:58:11.393909,0 days 00:00:00.546092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,0.006,2m,4.0,1.5,2.0,1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
12,12,0.19220828837162815,2025-06-15 00:58:11.459422,2025-06-15 00:58:11.951506,0 days 00:00:00.492084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,0.006,2m,4.0,2.0,1.7000000000000002,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
13,13,3.6623490539931605,2025-06-15 00:58:12.013507,2025-06-15 00:58:15.238411,0 days 00:00:03.224904,558.0,0.001,1m,4.0,2.5,1.8,698.0,780.0,0.001,4m,1.0,2.5,0.9,484.0,102.0,0.002,1m,1.0,2.0,1.5,60.0,780.0,0.008,2m,1.5,2.0,2.0,580.0,802.0,0.005,3m,3.5,2.0,0.9,690.0,698,0.002,2m,3.5,1.5,1.6,858,366.0,0.009000000000000001,1m,3.0,1.5,0.5,964.0,,,,,,,,,,,,,,,,,,,,,,0.45,7,COMPLETE
14,14,4.096625183831068,2025-06-15 00:58:15.331926,2025-06-15 00:58:18.277024,0 days 00:00:02.945098,590.0,0.001,1m,4.0,2.5,2.0,698.0,782.0,0.001,4m,1.0,2.5,0.8,498.0,50.0,0.002,1m,1.0,2.0,1.5,18.0,870.0,0.008,2m,1.5,2.0,2.0,604.0,764.0,0.004,3m,3.5,2.0,0.9,720.0,740,0.001,2m,3.0,2.5,1.6,856,394.0,0.008,1m,4.0,1.0,0.5,1012.0,,,,,,,,,,,,,,,,,,,,,,0.45,7,COMPLETE
15,15,1.3308298972056243,2025-06-15 00:58:18.381545,2025-06-15 00:58:21.674867,0 days 00:00:03.293322,672.0,0.001,1m,4.0,2.0,2.0,26.0,758.0,0.001,4m,1.0,2.5,1.0,570.0,40.0,0.001,1m,1.0,2.0,1.3,226.0,942.0,0.008,2m,1.0,2.0,2.0,616.0,728.0,0.004,3m,3.5,2.0,0.9,686.0,758,0.001,2m,3.0,3.0,1.6,884,380.0,0.008,1m,4.0,1.0,0.5,1020.0,,,,,,,,,,,,,,,,,,,,,,0.5,7,COMPLETE
16,16,-1.5231044562517204,2025-06-15 00:58:21.754892,2025-06-15 00:58:24.955835,0 days 00:00:03.200943,662.0,0.001,1m,4.0,2.0,2.0,726.0,398.0,0.001,4m,1.0,2.5,0.9,468.0,20.0,0.003,1m,3.0,4.0,1.4,1024.0,736.0,0.008,2m,1.5,2.5,1.6,626.0,652.0,0.004,4m,3.5,2.0,0.5,956.0,732,0.002,2m,2.5,2.5,1.6,864,368.0,0.008,1m,4.0,1.5,0.5,1018.0,,,,,,,,,,,,,,,,,,,,,,0.4,7,COMPLETE
17,17,1.5397137253290687,2025-06-15 00:58:25.059351,2025-06-15 00:58:27.673725,0 days 00:00:02.614374,626.0,0.003,1m,3.5,2.5,0.8,688.0,784.0,0.003,4m,1.5,3.0,1.2000000000000002,702.0,,,,,,,,706.0,0.001,2m,2.0,2.0,1.7000000000000002,784.0,354.0,0.005,3m,3.0,2.5,1.5,650.0,808,0.002,2m,3.5,3.0,1.5,552,400.0,0.008,1m,3.0,1.5,1.1,868.0,,,,,,,,,,,,,,,,,,,,,,0.45,6,COMPLETE
18,18,-6.203048196727103,2025-06-15 00:58:27.741756,2025-06-15 00:58:31.515885,0 days 00:00:03.774129,458.0,0.003,1m,3.0,2.5,1.6,512.0,806.0,0.001,3m,1.5,4.0,0.7,354.0,218.0,0.01,1m,1.0,2.5,1.0,292.0,790.0,0.01,1m,1.5,2.0,0.8,514.0,842.0,0.001,3m,3.0,1.0,1.7000000000000002,834.0,636,0.003,1m,3.5,2.5,1.8,788,644.0,0.006,1m,4.0,1.5,0.6,724.0,52.0,0.009000000000000001,3m,4.0,2.5,2.0,1016.0,,,,,,,,,,,,,,,0.25,8,COMPLETE
19,19,-2.923058063551515,2025-06-15 00:58:31.596411,2025-06-15 00:58:34.158592,0 days 00:00:02.562181,800.0,0.001,1m,4.0,1.5,1.1,280.0,446.0,0.003,4m,1.0,2.0,1.1,708.0,,,,,,,,994.0,0.004,2m,1.5,3.0,1.8,740.0,420.0,0.003,3m,3.0,2.5,1.2000000000000002,312.0,860,0.002,2m,3.0,4.0,1.4,936,444.0,0.009000000000000001,1m,3.0,2.0,1.0,362.0,,,,,,,,,,,,,,,,,,,,,,0.4,6,COMPLETE
