,number,value,datetime_start,datetime_complete,duration,params_ADP_INTC_beta_win,params_ADP_INTC_stop_loss,params_ADP_INTC_trade_freq,params_ADP_INTC_z_entry,params_ADP_INTC_z_exit,params_ADP_INTC_z_stop_scaler,params_ADP_INTC_z_win,params_AMD_INTC_beta_win,params_AMD_INTC_stop_loss,params_AMD_INTC_trade_freq,params_AMD_INTC_z_entry,params_AMD_INTC_z_exit,params_AMD_INTC_z_stop_scaler,params_AMD_INTC_z_win,params_ANSS_INTC_beta_win,params_ANSS_INTC_stop_loss,params_ANSS_INTC_trade_freq,params_ANSS_INTC_z_entry,params_ANSS_INTC_z_exit,params_ANSS_INTC_z_stop_scaler,params_ANSS_INTC_z_win,params_CDNS_INTC_beta_win,params_CDNS_INTC_stop_loss,params_CDNS_INTC_trade_freq,params_CDNS_INTC_z_entry,params_CDNS_INTC_z_exit,params_CDNS_INTC_z_stop_scaler,params_CDNS_INTC_z_win,params_COST_INTC_beta_win,params_COST_INTC_stop_loss,params_COST_INTC_trade_freq,params_COST_INTC_z_entry,params_COST_INTC_z_exit,params_COST_INTC_z_stop_scaler,params_COST_INTC_z_win,params_CTAS_INTC_beta_win,params_CTAS_INTC_stop_loss,params_CTAS_INTC_trade_freq,params_CTAS_INTC_z_entry,params_CTAS_INTC_z_exit,params_CTAS_INTC_z_stop_scaler,params_CTAS_INTC_z_win,params_EXC_INTC_beta_win,params_EXC_INTC_stop_loss,params_EXC_INTC_trade_freq,params_EXC_INTC_z_entry,params_EXC_INTC_z_exit,params_EXC_INTC_z_stop_scaler,params_EXC_INTC_z_win,params_INTC_INTU_beta_win,params_INTC_INTU_stop_loss,params_INTC_INTU_trade_freq,params_INTC_INTU_z_entry,params_INTC_INTU_z_exit,params_INTC_INTU_z_stop_scaler,params_INTC_INTU_z_win,params_INTC_MSFT_beta_win,params_INTC_MSFT_stop_loss,params_INTC_MSFT_trade_freq,params_INTC_MSFT_z_entry,params_INTC_MSFT_z_exit,params_INTC_MSFT_z_stop_scaler,params_INTC_MSFT_z_win,params_MDLZ_TXN_beta_win,params_MDLZ_TXN_stop_loss,params_MDLZ_TXN_trade_freq,params_MDLZ_TXN_z_entry,params_MDLZ_TXN_z_exit,params_MDLZ_TXN_z_stop_scaler,params_MDLZ_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
38,38,-1.064680829323777,2025-06-15 00:36:31.597684,2025-06-15 00:36:36.285174,0 days 00:00:04.687490,892.0,0.001,2m,2.5,1.0,0.9,138.0,26.0,0.006,2m,3.5,2.0,0.9,492.0,42.0,0.01,2m,2.5,3.5,2.0,22.0,74.0,0.007,4m,4.0,2.5,0.7,896.0,296.0,0.002,1m,1.0,2.5,1.6,764.0,560.0,0.004,4m,3.5,3.5,1.2000000000000002,150.0,686.0,0.001,2m,2.0,3.0,1.4,948.0,996.0,0.006,3m,3.0,3.0,1.1,734.0,40.0,0.004,4m,3.5,2.5,1.8,272.0,438,0.008,1m,2.5,4.0,2.0,900,0.15000000000000002,10,COMPLETE
39,39,-0.7371908162298055,2025-06-15 00:36:36.380704,2025-06-15 00:36:40.574222,0 days 00:00:04.193518,770.0,0.003,2m,1.5,1.5,1.2000000000000002,906.0,128.0,0.008,2m,3.5,2.5,1.1,332.0,,,,,,,,280.0,0.005,4m,4.0,2.5,0.7,798.0,460.0,0.005,1m,1.5,3.0,1.7000000000000002,886.0,446.0,0.004,4m,4.0,3.5,1.5,30.0,920.0,0.01,2m,2.0,3.5,1.2000000000000002,866.0,792.0,0.004,3m,3.0,3.0,1.4,688.0,1010.0,0.003,4m,4.0,3.0,2.0,284.0,320,0.008,1m,3.0,3.5,1.9000000000000001,778,0.1,9,COMPLETE
40,40,0.9330320365082854,2025-06-15 00:36:40.669286,2025-06-15 00:36:45.768608,0 days 00:00:05.099322,804.0,0.002,2m,1.5,1.5,0.7,634.0,138.0,0.005,2m,3.5,2.0,1.3,96.0,38.0,0.01,2m,2.5,2.5,1.4,554.0,110.0,0.007,4m,4.0,3.0,0.6,1016.0,366.0,0.003,1m,1.0,3.5,1.6,492.0,874.0,0.005,4m,3.5,3.5,1.2000000000000002,176.0,610.0,0.002,2m,2.5,4.0,1.3,1022.0,1024.0,0.008,3m,3.0,3.0,0.9,644.0,20.0,0.002,4m,3.5,2.5,1.7000000000000002,122.0,254,0.006,1m,3.5,3.5,1.8,636,0.1,10,COMPLETE
41,41,-2.1087007956774135,2025-06-15 00:36:45.874119,2025-06-15 00:36:50.378238,0 days 00:00:04.504119,1018.0,0.005,2m,1.5,2.0,1.8,926.0,532.0,0.006,2m,4.0,2.5,0.7,342.0,,,,,,,,152.0,0.009000000000000001,4m,4.0,2.0,0.9,858.0,598.0,0.004,1m,1.5,2.5,1.4,626.0,476.0,0.002,4m,3.0,3.0,1.0,214.0,198.0,0.01,1m,2.5,3.5,1.1,874.0,734.0,0.003,3m,2.0,2.0,0.8,826.0,116.0,0.004,4m,3.5,2.5,1.9000000000000001,524.0,426,0.007,1m,2.5,4.0,1.9000000000000001,732,0.3,9,COMPLETE
42,42,-5.2985770269770995,2025-06-15 00:36:50.463749,2025-06-15 00:36:55.344925,0 days 00:00:04.881176,622.0,0.006,2m,1.5,2.0,0.8,930.0,656.0,0.005,2m,3.0,1.5,0.9,558.0,412.0,0.005,3m,3.5,3.0,1.4,468.0,240.0,0.007,4m,3.5,1.5,1.0,190.0,516.0,0.004,4m,2.0,4.0,1.4,684.0,728.0,0.005,4m,3.5,3.0,1.0,146.0,426.0,0.009000000000000001,2m,2.5,3.5,1.0,928.0,854.0,0.008,2m,3.5,3.5,1.6,528.0,200.0,0.003,2m,2.5,3.0,1.7000000000000002,624.0,416,0.007,1m,2.5,4.0,1.5,656,0.2,10,COMPLETE
43,43,-2.2976900771967963,2025-06-15 00:36:55.438449,2025-06-15 00:37:00.087987,0 days 00:00:04.649538,768.0,0.01,2m,2.5,3.0,1.3,990.0,194.0,0.007,2m,4.0,2.0,0.8,22.0,,,,,,,,122.0,0.006,4m,4.0,2.0,0.6,710.0,230.0,0.004,3m,2.5,2.0,1.2000000000000002,792.0,352.0,0.007,4m,3.0,2.5,1.1,424.0,830.0,0.008,4m,2.0,3.5,1.5,806.0,524.0,0.007,3m,2.0,2.5,1.2000000000000002,268.0,68.0,0.002,3m,3.5,2.0,1.9000000000000001,160.0,512,0.008,3m,3.0,3.5,2.0,796,0.25,9,COMPLETE
44,44,-3.197348586239094,2025-06-15 00:37:00.170028,2025-06-15 00:37:04.294003,0 days 00:00:04.123975,900.0,0.004,2m,2.0,1.5,1.1,862.0,304.0,0.003,1m,3.5,1.0,2.0,488.0,,,,,,,,408.0,0.009000000000000001,2m,3.5,2.5,0.6,394.0,172.0,0.003,3m,3.5,2.5,1.5,698.0,538.0,0.003,1m,4.0,3.5,1.4,254.0,546.0,0.003,2m,2.0,3.0,1.8,406.0,,,,,,,,84.0,0.005,4m,3.0,2.5,1.6,564.0,236,0.009000000000000001,4m,2.5,3.5,1.7000000000000002,456,0.35000000000000003,8,COMPLETE
45,45,-1.5719255658890776,2025-06-15 00:37:04.388520,2025-06-15 00:37:05.732824,0 days 00:00:01.344304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.0,0.004,1m,2.5,3.0,1.6,378.0,352,0.007,2m,2.5,4.0,0.9,106,0.3,2,COMPLETE
46,46,-4.451218716105705,2025-06-15 00:37:05.815335,2025-06-15 00:37:09.669285,0 days 00:00:03.853950,,,,,,,,76.0,0.008,2m,3.0,2.5,0.7,606.0,,,,,,,,164.0,0.004,4m,2.0,1.0,0.8,318.0,810.0,0.006,2m,3.0,3.0,1.7000000000000002,584.0,372.0,0.009000000000000001,2m,3.5,4.0,0.8,94.0,100.0,0.007,1m,2.5,4.0,1.1,982.0,,,,,,,,726.0,0.007,2m,1.5,1.5,1.8,734.0,118,0.006,1m,3.0,2.5,1.2000000000000002,716,0.15000000000000002,7,COMPLETE
47,47,-5.697410386610039,2025-06-15 00:37:09.763795,2025-06-15 00:37:15.267542,0 days 00:00:05.503747,670.0,0.007,4m,1.0,2.0,0.5,268.0,568.0,0.004,1m,2.0,1.5,1.1,376.0,790.0,0.006,2m,1.5,2.0,0.6,678.0,68.0,0.008,4m,3.0,2.0,0.8,848.0,634.0,0.003,1m,1.0,3.5,1.3,910.0,648.0,0.007,4m,3.0,3.0,1.1,370.0,730.0,0.002,2m,1.5,3.5,1.2000000000000002,812.0,650.0,0.003,3m,3.5,3.5,0.9,556.0,184.0,0.009000000000000001,4m,3.0,1.0,1.9000000000000001,820.0,620,0.005,2m,2.0,3.0,1.6,614,0.25,10,COMPLETE
48,48,6.09594778548168,2025-06-15 00:37:15.343544,2025-06-15 00:37:17.547659,0 days 00:00:02.204115,,,,,,,,914.0,0.006,2m,3.0,2.0,0.5,204.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.0,0.001,4m,1.0,3.0,2.0,910.0,,,,,,,,18.0,0.007,1m,2.0,3.0,2.0,762.0,474,0.007,2m,1.5,4.0,1.1,236,0.05,4,COMPLETE
49,49,0.6155639311544971,2025-06-15 00:37:17.615678,2025-06-15 00:37:19.760956,0 days 00:00:02.145278,,,,,,,,938.0,0.006,2m,3.0,2.0,0.5,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930.0,0.001,4m,1.0,3.0,2.0,914.0,,,,,,,,16.0,0.007,3m,4.0,3.0,2.0,440.0,18,0.008,4m,1.0,4.0,0.7,246,0.05,4,COMPLETE
50,50,-0.4832574588977908,2025-06-15 00:37:19.831957,2025-06-15 00:37:21.594674,0 days 00:00:01.762717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.0,0.002,3m,1.0,3.0,1.9000000000000001,718.0,,,,,,,,224.0,0.01,1m,2.5,2.5,1.8,562.0,456,0.004,3m,1.5,3.5,1.8,166,0.1,3,COMPLETE
51,51,0.32692683007261714,2025-06-15 00:37:21.664694,2025-06-15 00:37:23.876748,0 days 00:00:02.212054,,,,,,,,1008.0,0.007,2m,3.5,1.5,0.5,186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.0,0.001,4m,1.5,3.5,1.6,824.0,,,,,,,,62.0,0.005,1m,2.0,3.5,1.9000000000000001,752.0,524,0.006,2m,4.0,4.0,1.1,326,0.05,4,COMPLETE
52,52,8.899827468880314,2025-06-15 00:37:23.938747,2025-06-15 00:37:26.634144,0 days 00:00:02.695397,,,,,,,,796.0,0.005,2m,4.0,2.0,0.8,270.0,,,,,,,,,,,,,,,578.0,0.006,4m,3.0,2.5,1.6,376.0,,,,,,,,332.0,0.003,4m,1.5,4.0,0.9,894.0,,,,,,,,132.0,0.004,1m,2.0,2.5,1.7000000000000002,898.0,412,0.007,2m,1.0,4.0,1.0,70,0.2,5,COMPLETE
53,53,3.0286048761768223,2025-06-15 00:37:26.700657,2025-06-15 00:37:28.451032,0 days 00:00:01.750375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.0,0.003,4m,1.5,4.0,1.0,912.0,,,,,,,,326.0,0.004,1m,1.5,3.0,1.7000000000000002,966.0,384,0.007,2m,1.0,4.0,1.0,74,0.2,3,COMPLETE
54,54,-2.9202879097013734,2025-06-15 00:37:28.513541,2025-06-15 00:37:31.236843,0 days 00:00:02.723302,,,,,,,,798.0,0.005,2m,4.0,2.0,0.8,260.0,,,,,,,,,,,,,,,438.0,0.006,4m,3.5,2.5,1.6,350.0,,,,,,,,340.0,0.002,4m,1.0,4.0,0.9,980.0,,,,,,,,150.0,0.005,1m,2.0,2.5,1.6,902.0,296,0.001,2m,1.5,4.0,0.9,72,0.15000000000000002,5,COMPLETE
55,55,8.200426682739918,2025-06-15 00:37:31.293355,2025-06-15 00:37:33.593179,0 days 00:00:02.299824,,,,,,,,924.0,0.006,2m,4.0,2.5,1.0,294.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,982.0,0.001,4m,2.0,4.0,0.8,848.0,,,,,,,,102.0,0.004,1m,2.5,2.5,2.0,670.0,482,0.006,2m,1.0,3.5,1.0,36,0.2,4,COMPLETE
56,56,6.105266998364478,2025-06-15 00:37:33.672205,2025-06-15 00:37:35.938586,0 days 00:00:02.266381,,,,,,,,914.0,0.006,2m,4.0,2.5,1.0,298.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022.0,0.001,3m,2.0,2.5,0.9,778.0,,,,,,,,910.0,0.003,1m,2.5,2.5,2.0,878.0,410,0.006,2m,1.0,3.5,0.8,24,0.2,4,COMPLETE
57,57,8.147858464417705,2025-06-15 00:37:36.024117,2025-06-15 00:37:38.247040,0 days 00:00:02.222923,,,,,,,,938.0,0.008,2m,4.0,2.5,1.0,208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.0,0.001,3m,2.0,1.5,0.9,778.0,,,,,,,,930.0,0.002,1m,2.5,2.5,2.0,658.0,480,0.006,2m,1.0,3.5,0.8,16,0.2,4,COMPLETE
58,58,7.3789923280620595,2025-06-15 00:37:38.330548,2025-06-15 00:37:40.565479,0 days 00:00:02.234931,,,,,,,,930.0,0.01,2m,4.0,2.5,1.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020.0,0.001,3m,2.0,1.5,0.8,772.0,,,,,,,,936.0,0.002,1m,2.5,2.0,2.0,662.0,490,0.006,2m,1.0,3.5,0.8,34,0.2,4,COMPLETE
59,59,7.081079952735867,2025-06-15 00:37:40.643002,2025-06-15 00:37:42.875969,0 days 00:00:02.232967,,,,,,,,904.0,0.01,2m,4.0,2.5,1.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.0,0.001,3m,1.5,1.5,0.8,786.0,,,,,,,,918.0,0.002,1m,2.5,2.0,2.0,678.0,488,0.006,2m,1.0,3.5,0.8,16,0.2,4,COMPLETE
60,60,3.5862800157649497,2025-06-15 00:37:42.979495,2025-06-15 00:37:45.608012,0 days 00:00:02.628517,,,,,,,,1000.0,0.01,2m,4.0,2.5,1.0,290.0,,,,,,,,,,,,,,,162.0,0.007,3m,3.5,4.0,1.0,206.0,,,,,,,,1020.0,0.001,3m,1.5,1.5,0.8,750.0,,,,,,,,924.0,0.001,1m,2.5,2.0,2.0,660.0,404,0.005,2m,1.0,3.0,0.7,38,0.2,5,COMPLETE
61,61,5.923102515010756,2025-06-15 00:37:45.668531,2025-06-15 00:37:47.894018,0 days 00:00:02.225487,,,,,,,,920.0,0.01,2m,4.0,2.5,1.2000000000000002,170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,986.0,0.001,3m,2.0,1.0,0.9,786.0,,,,,,,,882.0,0.002,1m,2.5,2.0,2.0,704.0,488,0.006,2m,1.0,3.5,0.8,16,0.2,4,COMPLETE
62,62,5.825478103777443,2025-06-15 00:37:47.960029,2025-06-15 00:37:50.095692,0 days 00:00:02.135663,,,,,,,,902.0,0.009000000000000001,2m,4.0,2.5,1.1,214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894.0,0.001,3m,1.5,1.5,0.8,870.0,,,,,,,,802.0,0.003,1m,2.5,2.0,2.0,778.0,484,0.006,2m,1.0,3.5,1.0,98,0.2,4,COMPLETE
63,63,5.078463250909535,2025-06-15 00:37:50.175714,2025-06-15 00:37:52.849040,0 days 00:00:02.673326,,,,,,,,962.0,0.009000000000000001,2m,4.0,2.5,1.0,114.0,,,,,,,,,,,,,,,32.0,0.009000000000000001,4m,3.0,4.0,2.0,76.0,,,,,,,,974.0,0.001,3m,2.0,1.5,0.7,704.0,,,,,,,,944.0,0.002,1m,2.5,2.0,1.9000000000000001,872.0,568,0.005,2m,1.0,3.5,0.8,60,0.2,5,COMPLETE
64,64,-0.2111225656023762,2025-06-15 00:37:52.916513,2025-06-15 00:37:54.610392,0 days 00:00:01.693879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,964.0,0.002,3m,1.5,2.0,0.9,762.0,,,,,,,,798.0,0.001,1m,2.0,2.5,2.0,800.0,346,0.006,2m,1.5,3.5,0.5,144,0.1,3,COMPLETE
65,65,7.641930163110558,2025-06-15 00:37:54.687922,2025-06-15 00:37:56.756304,0 days 00:00:02.068382,,,,,,,,812.0,0.009000000000000001,2m,4.0,2.5,1.3,270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.0,0.001,3m,1.0,1.0,0.6,846.0,,,,,,,,880.0,0.002,1m,2.5,2.0,1.9000000000000001,678.0,494,0.005,2m,1.0,3.0,0.7,102,0.15000000000000002,4,COMPLETE
66,66,4.479225778547482,2025-06-15 00:37:56.817813,2025-06-15 00:37:58.672699,0 days 00:00:01.854886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018.0,0.002,3m,2.0,1.0,0.6,834.0,,,,,,,,876.0,0.002,1m,2.5,2.0,1.9000000000000001,582.0,648,0.005,2m,1.0,3.0,0.6,90,0.15000000000000002,3,COMPLETE
67,67,2.6527693279054088,2025-06-15 00:37:58.735702,2025-06-15 00:38:00.871578,0 days 00:00:02.135876,,,,,,,,968.0,0.009000000000000001,2m,4.0,3.0,1.3,284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,858.0,0.001,3m,1.0,1.5,0.8,784.0,,,,,,,,952.0,0.001,1m,2.5,1.5,1.8,676.0,580,0.004,2m,1.0,3.0,0.7,42,0.2,4,COMPLETE
68,68,7.042495354040067,2025-06-15 00:38:00.926578,2025-06-15 00:38:02.636449,0 days 00:00:01.709871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,944.0,0.001,3m,2.5,1.0,0.7,686.0,,,,,,,,904.0,0.003,1m,3.0,2.0,1.9000000000000001,518.0,506,0.006,2m,1.0,3.5,0.8,16,0.15000000000000002,3,COMPLETE
69,69,8.62258479706311,2025-06-15 00:38:02.727965,2025-06-15 00:38:04.412335,0 days 00:00:01.684370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,942.0,0.002,3m,2.5,1.0,0.7,676.0,,,,,,,,988.0,0.002,1m,3.0,2.0,1.9000000000000001,516.0,504,0.005,2m,1.0,3.0,0.9,170,0.15000000000000002,3,COMPLETE
70,70,4.027361811486224,2025-06-15 00:38:04.455343,2025-06-15 00:38:05.512673,0 days 00:00:01.057330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016.0,0.002,1m,2.5,1.5,1.8,476.0,608,0.005,2m,1.5,3.0,0.9,178,0.25,2,COMPLETE
71,71,10.09827330407242,2025-06-15 00:38:05.605203,2025-06-15 00:38:07.498658,0 days 00:00:01.893455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,944.0,0.002,3m,2.5,1.0,0.7,678.0,,,,,,,,982.0,0.002,1m,3.0,2.0,1.9000000000000001,496.0,508,0.004,2m,1.0,3.0,0.7,118,0.15000000000000002,3,COMPLETE
72,72,8.827894992310064,2025-06-15 00:38:07.567661,2025-06-15 00:38:09.226517,0 days 00:00:01.658856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,906.0,0.002,3m,2.5,1.0,0.6,746.0,,,,,,,,976.0,0.001,1m,3.0,2.0,1.9000000000000001,616.0,538,0.004,2m,1.0,3.0,0.6,126,0.15000000000000002,3,COMPLETE
73,73,9.450871183842024,2025-06-15 00:38:09.294033,2025-06-15 00:38:10.902393,0 days 00:00:01.608360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900.0,0.002,3m,2.5,1.0,0.6,598.0,,,,,,,,984.0,0.001,1m,3.0,2.0,1.9000000000000001,626.0,536,0.004,2m,1.0,3.0,0.6,126,0.15000000000000002,3,COMPLETE
74,74,8.36601181791429,2025-06-15 00:38:10.971912,2025-06-15 00:38:12.912558,0 days 00:00:01.940646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800.0,0.002,3m,2.5,1.0,0.6,534.0,,,,,,,,984.0,0.001,1m,3.0,2.0,1.8,624.0,540,0.003,2m,1.0,3.0,0.5,126,0.15000000000000002,3,COMPLETE
75,75,7.452127767903875,2025-06-15 00:38:12.976087,2025-06-15 00:38:14.581954,0 days 00:00:01.605867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804.0,0.003,3m,2.5,1.0,0.6,596.0,,,,,,,,998.0,0.001,2m,3.0,2.0,1.9000000000000001,618.0,546,0.003,2m,1.0,3.0,0.5,132,0.1,3,COMPLETE
76,76,1.3803797931074742,2025-06-15 00:38:14.640466,2025-06-15 00:38:15.855573,0 days 00:00:01.215107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846.0,0.001,1m,3.0,1.5,1.8,544.0,662,0.004,2m,1.5,2.5,0.6,200,0.15000000000000002,2,COMPLETE
77,77,4.906358279235345,2025-06-15 00:38:15.927093,2025-06-15 00:38:17.105625,0 days 00:00:01.178532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980.0,0.001,1m,3.0,2.5,1.8,488.0,542,0.003,2m,1.0,3.0,0.5,264,0.1,2,COMPLETE
78,78,6.599186318197082,2025-06-15 00:38:17.169139,2025-06-15 00:38:18.988587,0 days 00:00:01.819448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878.0,0.002,3m,2.5,1.0,0.7,536.0,,,,,,,,962.0,0.001,1m,3.0,2.0,1.7000000000000002,358.0,592,0.004,2m,1.5,3.0,0.6,158,0.15000000000000002,3,COMPLETE
79,79,4.425464730736241,2025-06-15 00:38:19.065594,2025-06-15 00:38:19.774501,0 days 00:00:00.708907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630,0.003,2m,1.0,3.0,0.6,196,0.15000000000000002,1,COMPLETE
80,80,1.246191218105388,2025-06-15 00:38:19.853504,2025-06-15 00:38:21.478815,0 days 00:00:01.625311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,908.0,0.002,3m,2.5,1.0,0.7,622.0,,,,,,,,984.0,0.001,1m,3.0,2.5,1.9000000000000001,440.0,684,0.004,2m,1.0,3.0,0.7,116,0.1,3,COMPLETE
81,81,9.703694049592366,2025-06-15 00:38:21.541809,2025-06-15 00:38:23.071838,0 days 00:00:01.530029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,956.0,0.003,3m,2.5,1.0,0.5,568.0,,,,,,,,972.0,0.002,1m,3.0,2.0,1.9000000000000001,598.0,458,0.002,2m,1.0,2.5,0.7,86,0.15000000000000002,3,COMPLETE
82,82,5.932216005494435,2025-06-15 00:38:23.153883,2025-06-15 00:38:24.859188,0 days 00:00:01.705305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,844.0,0.003,3m,2.5,1.0,0.5,558.0,,,,,,,,1024.0,0.001,1m,3.0,2.0,1.9000000000000001,634.0,526,0.002,2m,1.0,2.5,0.6,68,0.15000000000000002,3,COMPLETE
83,83,12.031014169842653,2025-06-15 00:38:24.942705,2025-06-15 00:38:26.183856,0 days 00:00:01.241151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962.0,0.002,1m,3.0,2.0,1.8,596.0,458,0.003,2m,1.0,2.5,1.0,144,0.15000000000000002,2,COMPLETE
84,84,8.90108453300667,2025-06-15 00:38:26.250855,2025-06-15 00:38:27.340563,0 days 00:00:01.089708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,970.0,0.003,3m,3.0,2.0,1.7000000000000002,584.0,450,0.003,2m,1.0,2.5,1.0,146,0.15000000000000002,2,COMPLETE
85,85,-2.210207566855354,2025-06-15 00:38:27.407082,2025-06-15 00:38:28.583272,0 days 00:00:01.176190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,966.0,0.003,3m,3.0,1.5,1.7000000000000002,588.0,462,0.002,3m,1.5,2.5,0.5,160,0.15000000000000002,2,COMPLETE
86,86,8.982795630092046,2025-06-15 00:38:28.644788,2025-06-15 00:38:29.316925,0 days 00:00:00.672137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442,0.003,2m,1.0,2.5,0.9,212,0.1,1,COMPLETE
87,87,11.396917272145986,2025-06-15 00:38:29.378443,2025-06-15 00:38:30.022044,0 days 00:00:00.643601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442,0.003,2m,1.0,2.5,0.9,224,0.1,1,COMPLETE
88,88,4.705757550561687,2025-06-15 00:38:30.092561,2025-06-15 00:38:30.756700,0 days 00:00:00.664139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448,0.003,2m,1.5,2.5,1.0,224,0.1,1,COMPLETE
89,89,5.875275517147877,2025-06-15 00:38:30.827220,2025-06-15 00:38:31.493358,0 days 00:00:00.666138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,0.003,2m,1.0,2.5,0.9,286,0.1,1,COMPLETE
90,90,5.372563558430604,2025-06-15 00:38:31.559359,2025-06-15 00:38:32.254995,0 days 00:00:00.695636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384,0.002,2m,1.0,2.5,1.2000000000000002,210,0.1,1,COMPLETE
91,91,8.454152486447107,2025-06-15 00:38:32.331512,2025-06-15 00:38:33.480778,0 days 00:00:01.149266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720.0,0.002,3m,3.5,2.0,1.5,444.0,420,0.004,2m,1.0,2.5,0.9,256,0.15000000000000002,2,COMPLETE
92,92,10.955208473456034,2025-06-15 00:38:33.554779,2025-06-15 00:38:34.224431,0 days 00:00:00.669652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,0.002,2m,1.0,2.5,0.9,186,0.1,1,COMPLETE
93,93,9.499544715331512,2025-06-15 00:38:34.290955,2025-06-15 00:38:34.943067,0 days 00:00:00.652112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454,0.002,2m,1.0,2.5,1.1,324,0.05,1,COMPLETE
94,94,9.820706675583425,2025-06-15 00:38:35.014586,2025-06-15 00:38:35.655710,0 days 00:00:00.641124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454,0.002,2m,1.0,2.5,1.1,334,0.05,1,COMPLETE
95,95,5.077295092452097,2025-06-15 00:38:35.739236,2025-06-15 00:38:36.425337,0 days 00:00:00.686101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440,0.001,2m,1.5,2.5,1.1,380,0.05,1,COMPLETE
