,number,value,datetime_start,datetime_complete,duration,params_ADP_INTC_beta_win,params_ADP_INTC_stop_loss,params_ADP_INTC_trade_freq,params_ADP_INTC_z_entry,params_ADP_INTC_z_exit,params_ADP_INTC_z_stop_scaler,params_ADP_INTC_z_win,params_AMD_INTC_beta_win,params_AMD_INTC_stop_loss,params_AMD_INTC_trade_freq,params_AMD_INTC_z_entry,params_AMD_INTC_z_exit,params_AMD_INTC_z_stop_scaler,params_AMD_INTC_z_win,params_ANSS_INTC_beta_win,params_ANSS_INTC_stop_loss,params_ANSS_INTC_trade_freq,params_ANSS_INTC_z_entry,params_ANSS_INTC_z_exit,params_ANSS_INTC_z_stop_scaler,params_ANSS_INTC_z_win,params_CDNS_INTC_beta_win,params_CDNS_INTC_stop_loss,params_CDNS_INTC_trade_freq,params_CDNS_INTC_z_entry,params_CDNS_INTC_z_exit,params_CDNS_INTC_z_stop_scaler,params_CDNS_INTC_z_win,params_COST_INTC_beta_win,params_COST_INTC_stop_loss,params_COST_INTC_trade_freq,params_COST_INTC_z_entry,params_COST_INTC_z_exit,params_COST_INTC_z_stop_scaler,params_COST_INTC_z_win,params_CTAS_INTC_beta_win,params_CTAS_INTC_stop_loss,params_CTAS_INTC_trade_freq,params_CTAS_INTC_z_entry,params_CTAS_INTC_z_exit,params_CTAS_INTC_z_stop_scaler,params_CTAS_INTC_z_win,params_EXC_INTC_beta_win,params_EXC_INTC_stop_loss,params_EXC_INTC_trade_freq,params_EXC_INTC_z_entry,params_EXC_INTC_z_exit,params_EXC_INTC_z_stop_scaler,params_EXC_INTC_z_win,params_INTC_INTU_beta_win,params_INTC_INTU_stop_loss,params_INTC_INTU_trade_freq,params_INTC_INTU_z_entry,params_INTC_INTU_z_exit,params_INTC_INTU_z_stop_scaler,params_INTC_INTU_z_win,params_INTC_MSFT_beta_win,params_INTC_MSFT_stop_loss,params_INTC_MSFT_trade_freq,params_INTC_MSFT_z_entry,params_INTC_MSFT_z_exit,params_INTC_MSFT_z_stop_scaler,params_INTC_MSFT_z_win,params_MDLZ_TXN_beta_win,params_MDLZ_TXN_stop_loss,params_MDLZ_TXN_trade_freq,params_MDLZ_TXN_z_entry,params_MDLZ_TXN_z_exit,params_MDLZ_TXN_z_stop_scaler,params_MDLZ_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-3.268469175570004,2025-06-15 00:34:50.651854,2025-06-15 00:34:51.351000,0 days 00:00:00.699146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,0.006,2m,3.0,1.0,2.0,966,0.35000000000000003,1,COMPLETE
11,11,-0.8259684491966491,2025-06-15 00:34:51.422513,2025-06-15 00:34:53.083945,0 days 00:00:01.661432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,0.005,3m,3.0,1.0,1.0,32.0,,,,,,,,446.0,0.007,1m,2.5,1.5,1.1,908.0,68,0.007,1m,4.0,1.0,1.7000000000000002,488,0.35000000000000003,3,COMPLETE
12,12,-1.7628118545420208,2025-06-15 00:34:53.149469,2025-06-15 00:34:53.637911,0 days 00:00:00.488442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646,0.01,2m,4.0,1.0,1.6,298,0.35000000000000003,1,COMPLETE
13,13,1.8627873193379119,2025-06-15 00:34:53.677912,2025-06-15 00:34:55.786819,0 days 00:00:02.108907,,,,,,,,334.0,0.001,2m,1.0,4.0,1.4,1020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.0,0.005,3m,2.0,2.0,0.9,184.0,,,,,,,,454.0,0.008,1m,3.0,2.0,0.5,1020.0,392,0.007,1m,3.5,1.5,0.6,696,0.45,4,COMPLETE
14,14,2.2231480336772935,2025-06-15 00:34:55.847329,2025-06-15 00:34:58.906275,0 days 00:00:03.058946,,,,,,,,448.0,0.001,3m,1.0,4.0,1.2000000000000002,664.0,,,,,,,,50.0,0.01,1m,4.0,1.5,0.5,20.0,886.0,0.001,2m,4.0,2.0,0.5,872.0,,,,,,,,380.0,0.004,3m,1.5,2.5,0.8,156.0,,,,,,,,366.0,0.008,1m,3.0,1.5,0.5,1006.0,476,0.005,2m,3.0,2.0,1.1,398,0.3,6,COMPLETE
15,15,-4.180597536331947,2025-06-15 00:34:58.989280,2025-06-15 00:35:02.502937,0 days 00:00:03.513657,,,,,,,,612.0,0.001,3m,1.0,2.5,1.0,536.0,,,,,,,,18.0,0.01,1m,4.0,1.5,0.5,60.0,966.0,0.001,2m,4.0,2.0,0.7,826.0,1010.0,0.001,1m,4.0,4.0,0.5,1008.0,572.0,0.003,3m,1.0,2.5,0.5,604.0,,,,,,,,310.0,0.009000000000000001,1m,4.0,1.5,2.0,1008.0,804,0.004,2m,3.0,2.5,1.1,392,0.25,7,COMPLETE
16,16,3.912789848456038,2025-06-15 00:35:02.561975,2025-06-15 00:35:05.947183,0 days 00:00:03.385208,,,,,,,,430.0,0.003,3m,2.0,4.0,0.9,666.0,,,,,,,,92.0,0.01,1m,4.0,2.0,0.5,20.0,742.0,0.001,2m,4.0,2.5,0.5,668.0,,,,,,,,374.0,0.004,4m,1.5,4.0,0.8,24.0,,,,,,,,350.0,0.005,1m,3.0,1.0,1.1,752.0,516,0.002,2m,2.5,2.0,1.5,130,0.25,6,COMPLETE
17,17,-2.142499652449664,2025-06-15 00:35:05.994190,2025-06-15 00:35:11.664907,0 days 00:00:05.670717,,,,,,,,778.0,0.003,3m,2.0,2.5,0.5,416.0,,,,,,,,632.0,0.002,1m,3.0,2.5,0.9,268.0,634.0,0.004,1m,1.5,3.0,0.9,634.0,,,,,,,,748.0,0.006,4m,3.0,4.0,1.7000000000000002,650.0,,,,,,,,32.0,0.005,1m,2.0,1.0,1.1,776.0,588,0.001,2m,2.5,3.0,1.6,132,0.25,6,COMPLETE
18,18,2.1599146123308763,2025-06-15 00:35:11.780420,2025-06-15 00:35:13.739809,0 days 00:00:01.959389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.0,0.005,1m,3.0,1.0,1.3,850.0,184,0.002,2m,2.0,2.0,1.8,182,0.3,2,COMPLETE
19,19,-0.6051571824116664,2025-06-15 00:35:13.863325,2025-06-15 00:35:16.934467,0 days 00:00:03.071142,,,,,,,,416.0,0.003,3m,3.0,3.0,0.8,706.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.0,0.001,4m,1.5,4.0,0.7,352.0,,,,,,,,582.0,0.003,1m,4.0,2.0,1.1,682.0,760,0.003,2m,2.0,1.5,1.5,224,0.2,4,COMPLETE
20,20,0.27797779987858734,2025-06-15 00:35:17.023986,2025-06-15 00:35:20.495664,0 days 00:00:03.471678,,,,,,,,768.0,0.007,3m,2.0,3.5,1.0,424.0,,,,,,,,222.0,0.007,2m,2.0,2.5,0.9,666.0,308.0,0.01,2m,3.5,2.5,0.5,654.0,122.0,0.01,1m,3.5,4.0,2.0,62.0,488.0,0.004,4m,2.0,4.0,1.2000000000000002,26.0,,,,,,,,148.0,0.001,1m,2.0,3.5,1.5,410.0,752,0.006,2m,3.5,3.0,2.0,20,0.4,7,COMPLETE
21,21,1.719219512262826,2025-06-15 00:35:20.552183,2025-06-15 00:35:23.409278,0 days 00:00:02.857095,,,,,,,,472.0,0.002,3m,1.5,4.0,1.1,756.0,,,,,,,,20.0,0.01,1m,4.0,1.5,0.5,16.0,764.0,0.001,2m,4.0,2.0,0.5,840.0,,,,,,,,394.0,0.004,3m,1.5,2.5,0.9,128.0,,,,,,,,346.0,0.008,1m,3.0,1.5,0.5,924.0,466,0.005,2m,3.0,2.0,1.4,396,0.3,6,COMPLETE
22,22,-3.678349121395746,2025-06-15 00:35:23.471788,2025-06-15 00:35:26.445627,0 days 00:00:02.973839,,,,,,,,276.0,0.003,3m,1.5,4.0,0.8,686.0,,,,,,,,192.0,0.009000000000000001,1m,3.5,2.0,0.8,194.0,748.0,0.001,2m,4.0,2.0,0.9,750.0,,,,,,,,290.0,0.004,3m,2.0,2.0,0.8,184.0,,,,,,,,374.0,0.009000000000000001,1m,3.0,1.0,0.9,1024.0,492,0.003,2m,2.5,2.5,1.0,416,0.3,6,COMPLETE
23,23,-0.4065010422986479,2025-06-15 00:35:26.543158,2025-06-15 00:35:30.479197,0 days 00:00:03.936039,990.0,0.01,2m,4.0,4.0,2.0,62.0,562.0,0.001,3m,1.0,3.0,1.5,624.0,,,,,,,,662.0,0.008,1m,4.0,1.0,0.7,114.0,1016.0,0.003,2m,3.5,1.0,0.8,972.0,1020.0,0.001,2m,3.0,2.5,1.3,1000.0,482.0,0.003,4m,1.0,3.0,1.0,276.0,,,,,,,,430.0,0.006,1m,3.5,1.5,0.6,790.0,290,0.005,2m,3.5,2.0,1.8,134,0.25,8,COMPLETE
24,24,-0.7843816460478965,2025-06-15 00:35:30.559722,2025-06-15 00:35:33.069359,0 days 00:00:02.509637,,,,,,,,380.0,0.004,3m,2.5,1.0,1.2000000000000002,430.0,,,,,,,,,,,,,,,804.0,0.002,2m,3.0,3.0,0.5,514.0,,,,,,,,636.0,0.006,3m,1.5,2.5,0.7,106.0,,,,,,,,534.0,0.008,1m,3.0,2.0,0.9,946.0,376,0.002,2m,3.0,1.5,1.5,290,0.15000000000000002,5,COMPLETE
25,25,2.4285216452524976,2025-06-15 00:35:33.162692,2025-06-15 00:35:37.297614,0 days 00:00:04.134922,26.0,0.006,3m,1.0,2.5,2.0,982.0,716.0,0.002,4m,1.5,4.0,0.7,820.0,,,,,,,,162.0,0.01,3m,3.5,2.0,1.1,366.0,672.0,0.004,2m,2.5,1.5,1.4,650.0,22.0,0.01,3m,3.0,1.5,1.0,302.0,240.0,0.005,4m,3.5,3.5,0.5,272.0,,,,,,,,98.0,0.006,1m,2.0,1.0,1.2000000000000002,834.0,542,0.007,2m,2.5,2.0,1.1,532,0.35000000000000003,8,COMPLETE
