,number,value,datetime_start,datetime_complete,duration,params_AMAT_BIIB_beta_win,params_AMAT_BIIB_stop_loss,params_AMAT_BIIB_trade_freq,params_AMAT_BIIB_z_entry,params_AMAT_BIIB_z_exit,params_AMAT_BIIB_z_stop_scaler,params_AMAT_BIIB_z_win,params_AMD_BIIB_beta_win,params_AMD_BIIB_stop_loss,params_AMD_BIIB_trade_freq,params_AMD_BIIB_z_entry,params_AMD_BIIB_z_exit,params_AMD_BIIB_z_stop_scaler,params_AMD_BIIB_z_win,params_AMGN_BIIB_beta_win,params_AMGN_BIIB_stop_loss,params_AMGN_BIIB_trade_freq,params_AMGN_BIIB_z_entry,params_AMGN_BIIB_z_exit,params_AMGN_BIIB_z_stop_scaler,params_AMGN_BIIB_z_win,params_ASML_BIIB_beta_win,params_ASML_BIIB_stop_loss,params_ASML_BIIB_trade_freq,params_ASML_BIIB_z_entry,params_ASML_BIIB_z_exit,params_ASML_BIIB_z_stop_scaler,params_ASML_BIIB_z_win,params_ATVI_BIIB_beta_win,params_ATVI_BIIB_stop_loss,params_ATVI_BIIB_trade_freq,params_ATVI_BIIB_z_entry,params_ATVI_BIIB_z_exit,params_ATVI_BIIB_z_stop_scaler,params_ATVI_BIIB_z_win,params_BIIB_SIRI_beta_win,params_BIIB_SIRI_stop_loss,params_BIIB_SIRI_trade_freq,params_BIIB_SIRI_z_entry,params_BIIB_SIRI_z_exit,params_BIIB_SIRI_z_stop_scaler,params_BIIB_SIRI_z_win,params_CMCSA_QCOM_beta_win,params_CMCSA_QCOM_stop_loss,params_CMCSA_QCOM_trade_freq,params_CMCSA_QCOM_z_entry,params_CMCSA_QCOM_z_exit,params_CMCSA_QCOM_z_stop_scaler,params_CMCSA_QCOM_z_win,params_JD_MDLZ_beta_win,params_JD_MDLZ_stop_loss,params_JD_MDLZ_trade_freq,params_JD_MDLZ_z_entry,params_JD_MDLZ_z_exit,params_JD_MDLZ_z_stop_scaler,params_JD_MDLZ_z_win,params_JD_TMUS_beta_win,params_JD_TMUS_stop_loss,params_JD_TMUS_trade_freq,params_JD_TMUS_z_entry,params_JD_TMUS_z_exit,params_JD_TMUS_z_stop_scaler,params_JD_TMUS_z_win,params_PEP_TMUS_beta_win,params_PEP_TMUS_stop_loss,params_PEP_TMUS_trade_freq,params_PEP_TMUS_z_entry,params_PEP_TMUS_z_exit,params_PEP_TMUS_z_stop_scaler,params_PEP_TMUS_z_win,params_buffer_capital,params_pairs_to_trade,state
40,40,-3.9518305298593597,2025-06-15 00:20:22.411381,2025-06-15 00:20:23.076002,0 days 00:00:00.664621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680,0.01,3m,2.5,2.5,1.8,668,,,,,,,,0.15000000000000002,1,COMPLETE
41,41,7.780539252181597,2025-06-15 00:20:23.145513,2025-06-15 00:20:23.818156,0 days 00:00:00.672643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514,0.008,1m,3.0,3.0,2.0,736,,,,,,,,0.2,1,COMPLETE
42,42,8.300572845703401,2025-06-15 00:20:23.874155,2025-06-15 00:20:24.507289,0 days 00:00:00.633134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,0.008,1m,3.0,3.5,2.0,742,,,,,,,,0.2,1,COMPLETE
43,43,6.776463332770834,2025-06-15 00:20:24.570287,2025-06-15 00:20:25.280972,0 days 00:00:00.710685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570,0.008,1m,3.0,4.0,2.0,736,,,,,,,,0.15000000000000002,1,COMPLETE
44,44,6.32450444134659,2025-06-15 00:20:25.367485,2025-06-15 00:20:26.068605,0 days 00:00:00.701120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394,0.008,1m,2.5,3.5,1.8,828,,,,,,,,0.2,1,COMPLETE
45,45,7.400315945163937,2025-06-15 00:20:26.141124,2025-06-15 00:20:26.824842,0 days 00:00:00.683718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536,0.009000000000000001,1m,3.0,3.5,2.0,746,,,,,,,,0.1,1,COMPLETE
46,46,-0.07104075449243787,2025-06-15 00:20:26.892354,2025-06-15 00:20:31.597317,0 days 00:00:04.704963,1024.0,0.01,2m,4.0,4.0,2.0,46.0,756.0,0.004,2m,4.0,2.0,1.6,656.0,1012.0,0.001,3m,1.0,4.0,2.0,1002.0,82.0,0.01,1m,2.5,2.5,0.9,1024.0,1020.0,0.005,2m,1.0,1.0,1.5,942.0,908.0,0.002,1m,1.0,4.0,0.7,592.0,422.0,0.002,3m,3.5,3.0,2.0,438.0,264.0,0.003,3m,2.0,4.0,0.7,818.0,762,0.009000000000000001,1m,3.0,2.5,1.9000000000000001,838,94.0,0.01,3m,3.5,4.0,2.0,120.0,0.2,10,COMPLETE
47,47,5.227988191177722,2025-06-15 00:20:31.655315,2025-06-15 00:20:32.218058,0 days 00:00:00.562743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608,0.008,1m,2.0,4.0,1.7000000000000002,654,,,,,,,,0.1,1,COMPLETE
48,48,3.261535707269857,2025-06-15 00:20:32.277574,2025-06-15 00:20:36.248997,0 days 00:00:03.971423,30.0,0.006,3m,1.0,2.5,2.0,1002.0,236.0,0.008,1m,1.5,4.0,1.0,1016.0,,,,,,,,692.0,0.001,3m,1.5,4.0,2.0,708.0,74.0,0.01,1m,1.0,4.0,0.5,30.0,926.0,0.004,2m,1.5,1.5,0.9,146.0,16.0,0.005,4m,3.0,2.0,0.7,398.0,492.0,0.005,2m,3.0,2.5,1.3,122.0,1024,0.008,2m,2.5,3.5,1.9000000000000001,940,910.0,0.001,1m,3.0,2.5,1.3,956.0,0.15000000000000002,9,COMPLETE
49,49,-100.0,2025-06-15 00:20:36.298025,2025-06-15 00:20:36.920639,0 days 00:00:00.622614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670,0.007,4m,3.0,2.0,1.4,862,,,,,,,,0.2,1,COMPLETE
50,50,1.383331380589549,2025-06-15 00:20:36.952640,2025-06-15 00:20:38.330879,0 days 00:00:01.378239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754.0,0.002,1m,1.5,3.0,1.8,306.0,,,,,,,,130.0,0.007,1m,1.0,2.0,1.9000000000000001,686.0,190,0.009000000000000001,1m,3.0,1.5,2.0,688,,,,,,,,0.25,3,COMPLETE
51,51,7.421909977790132,2025-06-15 00:20:38.392883,2025-06-15 00:20:39.520953,0 days 00:00:01.128070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.0,0.007,4m,4.0,3.5,1.3,654.0,,,,,,,,,,,,,,,502,0.007,1m,3.0,3.0,1.8,636,,,,,,,,0.15000000000000002,2,COMPLETE
52,52,7.447983119944176,2025-06-15 00:20:39.569954,2025-06-15 00:20:40.670330,0 days 00:00:01.100376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.0,0.007,2m,3.5,3.0,1.9000000000000001,772.0,,,,,,,,,,,,,,,528,0.009000000000000001,1m,3.5,2.5,1.2000000000000002,732,,,,,,,,0.25,2,COMPLETE
53,53,-0.07828206241397116,2025-06-15 00:20:40.735840,2025-06-15 00:20:41.324598,0 days 00:00:00.588758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,0.01,1m,2.5,3.0,1.7000000000000002,502,,,,,,,,0.2,1,COMPLETE
54,54,-3.61620266738277,2025-06-15 00:20:41.360598,2025-06-15 00:20:41.938722,0 days 00:00:00.578124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0.008,1m,3.0,2.5,1.9000000000000001,622,,,,,,,,0.2,1,COMPLETE
55,55,5.6894813323039,2025-06-15 00:20:42.001227,2025-06-15 00:20:43.032246,0 days 00:00:01.031019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644.0,0.005,3m,3.5,1.5,1.2000000000000002,452.0,,,,,,,,,,,,,,,318,0.006,1m,3.0,3.5,1.7000000000000002,780,,,,,,,,0.3,2,COMPLETE
56,56,9.670965035269397,2025-06-15 00:20:43.098258,2025-06-15 00:20:43.725377,0 days 00:00:00.627119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454,0.007,1m,3.5,3.0,1.3,888,,,,,,,,0.1,1,COMPLETE
57,57,2.4227535775334648,2025-06-15 00:20:43.777897,2025-06-15 00:20:47.359539,0 days 00:00:03.581642,,,,,,,,762.0,0.004,4m,2.5,2.5,0.5,492.0,,,,,,,,250.0,0.005,2m,3.0,1.0,0.9,286.0,,,,,,,,832.0,0.001,4m,1.0,4.0,0.7,22.0,646.0,0.008,2m,2.0,3.0,1.4,754.0,674.0,0.002,4m,3.5,1.5,1.5,330.0,456,0.007,3m,2.5,2.0,1.3,980,40.0,0.01,2m,3.0,1.5,1.0,354.0,0.1,7,COMPLETE
58,58,7.019029963734853,2025-06-15 00:20:47.442050,2025-06-15 00:20:48.084057,0 days 00:00:00.642007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634,0.008,1m,3.0,1.5,1.4,898,,,,,,,,0.05,1,COMPLETE
59,59,6.525891159836283,2025-06-15 00:20:48.129579,2025-06-15 00:20:48.821912,0 days 00:00:00.692333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712,0.007,1m,2.5,1.0,2.0,818,,,,,,,,0.1,1,COMPLETE
60,60,1.9018971901811963,2025-06-15 00:20:48.898919,2025-06-15 00:20:52.088000,0 days 00:00:03.189081,,,,,,,,222.0,0.01,2m,3.5,3.0,1.4,790.0,,,,,,,,564.0,0.007,1m,3.5,2.5,1.0,626.0,,,,,,,,988.0,0.004,2m,1.5,1.0,0.6,514.0,210.0,0.004,4m,3.5,3.5,1.1,982.0,892.0,0.009000000000000001,1m,1.5,3.5,0.5,470.0,558,0.006,1m,3.5,3.0,1.6,1000,,,,,,,,0.15000000000000002,6,COMPLETE
61,61,5.852780005456906,2025-06-15 00:20:52.161513,2025-06-15 00:20:53.287730,0 days 00:00:01.126217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.0,0.01,1m,2.0,3.0,1.8,640.0,,,,,,,,,,,,,,,498,0.006,1m,3.5,3.0,1.1,880,,,,,,,,0.35000000000000003,2,COMPLETE
62,62,1.6004015302685328,2025-06-15 00:20:53.346245,2025-06-15 00:20:54.013392,0 days 00:00:00.667147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612,0.007,1m,3.5,3.0,1.0,752,,,,,,,,0.4,1,COMPLETE
63,63,-2.794184946617843,2025-06-15 00:20:54.093397,2025-06-15 00:20:55.273579,0 days 00:00:01.180182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474.0,0.008,3m,2.5,2.5,1.5,954.0,,,,,,,,,,,,,,,410,0.009000000000000001,1m,4.0,2.5,1.9000000000000001,968,,,,,,,,0.05,2,COMPLETE
64,64,7.077157979044616,2025-06-15 00:20:55.358629,2025-06-15 00:20:56.002265,0 days 00:00:00.643636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458,0.001,1m,3.0,3.5,2.0,1024,,,,,,,,0.3,1,COMPLETE
65,65,-1.863776804395219,2025-06-15 00:20:56.079782,2025-06-15 00:20:56.765397,0 days 00:00:00.685615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516,0.006,2m,3.5,2.5,1.8,936,,,,,,,,0.35000000000000003,1,COMPLETE
66,66,8.648846100645205,2025-06-15 00:20:56.837434,2025-06-15 00:20:58.073538,0 days 00:00:01.236104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.0,0.006,4m,4.0,4.0,1.7000000000000002,378.0,,,,,,,,,,,,,,,670,0.005,1m,3.0,1.0,0.6,690,,,,,,,,0.25,2,COMPLETE
67,67,-3.558765187418615,2025-06-15 00:20:58.147052,2025-06-15 00:20:59.312621,0 days 00:00:01.165569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.0,0.006,4m,4.0,4.0,1.7000000000000002,348.0,,,,,,,,,,,,,,,840,0.008,1m,3.0,1.0,0.6,690,,,,,,,,0.25,2,COMPLETE
68,68,3.163996048263572,2025-06-15 00:20:59.375624,2025-06-15 00:21:01.088843,0 days 00:00:01.713219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.0,0.005,4m,3.5,4.0,1.9000000000000001,552.0,,,,,,,,296.0,0.003,2m,3.0,1.0,1.1,916.0,746,0.007,1m,3.0,1.0,0.5,866,,,,,,,,0.25,3,COMPLETE
69,69,-1.9847902667881034,2025-06-15 00:21:01.131382,2025-06-15 00:21:01.815557,0 days 00:00:00.684175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660,0.008,3m,1.5,1.5,0.6,810,,,,,,,,0.2,1,COMPLETE
70,70,7.5836547215250745,2025-06-15 00:21:01.875558,2025-06-15 00:21:03.090785,0 days 00:00:01.215227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,0.003,4m,4.0,3.5,1.9000000000000001,260.0,,,,,,,,,,,,,,,604,0.006,1m,3.0,1.0,0.5,914,,,,,,,,0.15000000000000002,2,COMPLETE
71,71,6.333156088544115,2025-06-15 00:21:03.166298,2025-06-15 00:21:04.347688,0 days 00:00:01.181390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,0.003,4m,4.0,3.5,1.9000000000000001,262.0,,,,,,,,,,,,,,,586,0.006,1m,3.0,1.0,0.5,916,,,,,,,,0.15000000000000002,2,COMPLETE
72,72,5.664502280825975,2025-06-15 00:21:04.415204,2025-06-15 00:21:05.107381,0 days 00:00:00.692177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690,0.005,1m,2.5,1.0,0.5,954,,,,,,,,0.2,1,COMPLETE
73,73,8.63598605133883,2025-06-15 00:21:05.173891,2025-06-15 00:21:05.772535,0 days 00:00:00.598644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556,0.007,1m,3.0,1.0,0.8,766,,,,,,,,0.15000000000000002,1,COMPLETE
74,74,7.597452041296707,2025-06-15 00:21:05.830566,2025-06-15 00:21:06.564709,0 days 00:00:00.734143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552,0.007,1m,3.0,1.0,0.8,722,,,,,,,,0.2,1,COMPLETE
75,75,4.382914746063433,2025-06-15 00:21:06.634225,2025-06-15 00:21:07.330873,0 days 00:00:00.696648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636,0.007,4m,3.0,1.0,0.6,770,,,,,,,,0.1,1,COMPLETE
76,76,-0.10689129587316344,2025-06-15 00:21:07.391874,2025-06-15 00:21:08.019830,0 days 00:00:00.627956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798,0.008,1m,2.5,1.5,0.7,550,,,,,,,,0.15000000000000002,1,COMPLETE
77,77,-0.05010684622821986,2025-06-15 00:21:08.090826,2025-06-15 00:21:12.064032,0 days 00:00:03.973206,994.0,0.01,2m,4.0,2.5,1.2000000000000002,34.0,452.0,0.008,4m,1.5,1.5,1.8,32.0,,,,,,,,796.0,0.003,3m,2.0,2.0,1.5,466.0,,,,,,,,422.0,0.004,4m,3.5,3.0,0.9,180.0,836.0,0.007,2m,1.5,1.0,0.8,112.0,458.0,0.001,3m,2.0,2.5,0.9,472.0,482,0.004,1m,3.0,1.0,2.0,762,728.0,0.003,1m,1.0,3.0,1.6,336.0,0.25,8,COMPLETE
78,78,9.772921414677834,2025-06-15 00:21:12.135737,2025-06-15 00:21:12.777837,0 days 00:00:00.642100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436,0.005,1m,3.5,4.0,1.9000000000000001,710,,,,,,,,0.2,1,COMPLETE
79,79,3.284426631999617,2025-06-15 00:21:12.846383,2025-06-15 00:21:13.892013,0 days 00:00:01.045630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,0.007,4m,2.5,4.0,1.7000000000000002,408.0,,,,,,,,,,,,,,,340,0.005,2m,3.5,1.5,0.6,798,,,,,,,,0.3,2,COMPLETE
80,80,-3.289502894851214,2025-06-15 00:21:13.970860,2025-06-15 00:21:17.550103,0 days 00:00:03.579243,,,,,,,,710.0,0.005,3m,2.0,3.0,0.9,634.0,,,,,,,,,,,,,,,,,,,,,,602.0,0.005,1m,2.0,3.5,2.0,448.0,514.0,0.002,1m,4.0,2.5,1.7000000000000002,476.0,558.0,0.005,4m,4.0,2.0,0.7,532.0,656,0.004,1m,3.5,4.0,1.9000000000000001,710,,,,,,,,0.25,5,COMPLETE
81,81,4.667894729178965,2025-06-15 00:21:17.668617,2025-06-15 00:21:18.843346,0 days 00:00:01.174729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432,0.005,1m,3.0,4.0,2.0,674,,,,,,,,0.2,1,COMPLETE
82,82,7.543684711781609,2025-06-15 00:21:18.935859,2025-06-15 00:21:20.144087,0 days 00:00:01.208228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,0.005,1m,3.5,4.0,0.8,856,,,,,,,,0.2,1,COMPLETE
83,83,5.389589244109336,2025-06-15 00:21:20.242602,2025-06-15 00:21:21.527881,0 days 00:00:01.285279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584,0.006,1m,3.0,3.5,1.9000000000000001,650,,,,,,,,0.15000000000000002,1,COMPLETE
84,84,-2.586183502986352,2025-06-15 00:21:21.607885,2025-06-15 00:21:24.189008,0 days 00:00:02.581123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.0,0.002,2m,3.0,4.0,1.0,124.0,,,,,,,,,,,,,,,376,0.007,1m,3.5,1.0,1.2000000000000002,714,,,,,,,,0.2,2,COMPLETE
85,85,8.15203614420449,2025-06-15 00:21:24.298043,2025-06-15 00:21:25.741888,0 days 00:00:01.443845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518,0.008,1m,4.0,2.0,2.0,600,,,,,,,,0.25,1,COMPLETE
86,86,7.807803071213996,2025-06-15 00:21:25.856926,2025-06-15 00:21:27.301773,0 days 00:00:01.444847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452,0.006,1m,4.0,2.0,0.5,602,,,,,,,,0.25,1,COMPLETE
87,87,-100.0,2025-06-15 00:21:27.405291,2025-06-15 00:21:28.811160,0 days 00:00:01.405869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,0.008,4m,4.0,2.0,1.0,988,,,,,,,,0.3,1,COMPLETE
88,88,-1.107993302416948,2025-06-15 00:21:28.931183,2025-06-15 00:21:31.167648,0 days 00:00:02.236465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658.0,0.006,4m,4.0,2.0,1.0,370.0,,,,,,,,,,,,,,,400,0.007,1m,4.0,1.5,1.9000000000000001,670,,,,,,,,0.25,2,COMPLETE
89,89,-100.0,2025-06-15 00:21:31.269164,2025-06-15 00:21:32.374414,0 days 00:00:01.105250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740,0.005,3m,4.0,1.0,1.8,136,,,,,,,,0.4,1,COMPLETE
90,90,0.29538710421758185,2025-06-15 00:21:32.486939,2025-06-15 00:21:34.192220,0 days 00:00:01.705281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,0.007,4m,3.0,3.0,1.3,80.0,,,,,,,,,,,,,,,706,0.004,1m,3.5,1.5,1.5,638,,,,,,,,0.1,2,COMPLETE
91,91,7.434456470348015,2025-06-15 00:21:34.266735,2025-06-15 00:21:34.935895,0 days 00:00:00.669160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454,0.006,1m,4.0,2.5,0.5,604,,,,,,,,0.25,1,COMPLETE
92,92,7.397065606669379,2025-06-15 00:21:34.999894,2025-06-15 00:21:35.683020,0 days 00:00:00.683126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522,0.006,1m,4.0,2.0,0.6,588,,,,,,,,0.25,1,COMPLETE
93,93,6.581574767551631,2025-06-15 00:21:35.766537,2025-06-15 00:21:36.443884,0 days 00:00:00.677347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434,0.005,1m,4.0,2.0,0.5,542,,,,,,,,0.25,1,COMPLETE
94,94,-0.20305732419534955,2025-06-15 00:21:36.501886,2025-06-15 00:21:37.144040,0 days 00:00:00.642154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,0.006,1m,4.0,1.0,2.0,484,,,,,,,,0.3,1,COMPLETE
95,95,-2.1297735821507704,2025-06-15 00:21:37.211044,2025-06-15 00:21:38.472200,0 days 00:00:01.261156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778.0,0.001,1m,3.5,3.5,1.6,526.0,,,,,,,,,,,,,,,622,0.008,1m,4.0,4.0,0.7,604,,,,,,,,0.2,2,COMPLETE
96,96,2.6838671200463966,2025-06-15 00:21:38.514205,2025-06-15 00:21:39.212358,0 days 00:00:00.698153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566,0.007,1m,3.5,2.0,0.6,530,,,,,,,,0.15000000000000002,1,COMPLETE
97,97,8.481439901995204,2025-06-15 00:21:39.287869,2025-06-15 00:21:39.951256,0 days 00:00:00.663387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482,0.006,1m,3.0,2.5,0.5,690,,,,,,,,0.3,1,COMPLETE
98,98,-1.9826579321990259,2025-06-15 00:21:40.002256,2025-06-15 00:21:42.197687,0 days 00:00:02.195431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544.0,0.003,2m,2.5,1.5,1.8,304.0,878.0,0.009000000000000001,3m,1.0,2.0,1.2000000000000002,322.0,116.0,0.006,1m,1.0,4.0,1.4,606.0,496,0.002,1m,3.0,2.5,1.4,692,,,,,,,,0.35000000000000003,4,COMPLETE
99,99,4.078845787644984,2025-06-15 00:21:42.271985,2025-06-15 00:21:43.391753,0 days 00:00:01.119768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.0,0.004,4m,4.0,1.0,1.4,686.0,,,,,,,,,,,,,,,644,0.005,2m,3.0,2.5,0.7,784,,,,,,,,0.3,2,COMPLETE
100,100,7.673070944189227,2025-06-15 00:21:43.460270,2025-06-15 00:21:44.152374,0 days 00:00:00.692104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532,0.009000000000000001,1m,2.5,2.5,1.6,746,,,,,,,,0.35000000000000003,1,COMPLETE
101,101,7.228693170949209,2025-06-15 00:21:44.221387,2025-06-15 00:21:44.879027,0 days 00:00:00.657640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470,0.006,1m,3.0,2.5,0.5,662,,,,,,,,0.3,1,COMPLETE
102,102,3.1518848449691736,2025-06-15 00:21:44.929541,2025-06-15 00:21:45.553145,0 days 00:00:00.623604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432,0.006,1m,3.0,3.5,0.5,632,,,,,,,,0.25,1,COMPLETE
103,103,6.024240947430431,2025-06-15 00:21:45.615150,2025-06-15 00:21:46.251269,0 days 00:00:00.636119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502,0.007,1m,3.0,2.0,0.6,576,,,,,,,,0.25,1,COMPLETE
104,104,5.216198672932065,2025-06-15 00:21:46.314788,2025-06-15 00:21:47.014929,0 days 00:00:00.700141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596,0.005,1m,3.5,1.0,0.5,828,,,,,,,,0.35000000000000003,1,COMPLETE
105,105,3.4193714681122627,2025-06-15 00:21:47.077441,2025-06-15 00:21:48.329298,0 days 00:00:01.251857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,0.008,1m,2.0,4.0,1.2000000000000002,760.0,,,,,,,,,,,,,,,396,0.006,1m,3.0,3.0,0.6,1004,,,,,,,,0.3,2,COMPLETE
106,106,6.071436066863601,2025-06-15 00:21:48.409304,2025-06-15 00:21:49.100425,0 days 00:00:00.691121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674,0.007,1m,2.5,2.5,2.0,706,,,,,,,,0.2,1,COMPLETE
107,107,8.705908105668048,2025-06-15 00:21:49.164942,2025-06-15 00:21:49.785565,0 days 00:00:00.620623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,0.006,1m,3.5,1.5,0.5,682,,,,,,,,0.15000000000000002,1,COMPLETE
108,108,-1.263181248128489,2025-06-15 00:21:49.853606,2025-06-15 00:21:51.013317,0 days 00:00:01.159711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.0,0.01,2m,3.5,3.0,1.1,198.0,,,,,,,,,,,,,,,292,0.008,3m,3.5,1.5,1.9000000000000001,730,,,,,,,,0.15000000000000002,2,COMPLETE
109,109,6.339168617488989,2025-06-15 00:21:51.103828,2025-06-15 00:21:51.819473,0 days 00:00:00.715645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548,0.009000000000000001,1m,3.5,1.0,1.3,680,,,,,,,,0.1,1,COMPLETE
110,110,-4.594396088267545,2025-06-15 00:21:51.881986,2025-06-15 00:21:52.941993,0 days 00:00:01.060007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796.0,0.006,4m,3.0,2.0,0.8,616.0,,,,,,,,,,,,,,,472,0.008,4m,3.0,1.0,0.5,764,,,,,,,,0.15000000000000002,2,COMPLETE
