,number,value,datetime_start,datetime_complete,duration,params_AMAT_BIIB_beta_win,params_AMAT_BIIB_stop_loss,params_AMAT_BIIB_trade_freq,params_AMAT_BIIB_z_entry,params_AMAT_BIIB_z_exit,params_AMAT_BIIB_z_stop_scaler,params_AMAT_BIIB_z_win,params_AMD_BIIB_beta_win,params_AMD_BIIB_stop_loss,params_AMD_BIIB_trade_freq,params_AMD_BIIB_z_entry,params_AMD_BIIB_z_exit,params_AMD_BIIB_z_stop_scaler,params_AMD_BIIB_z_win,params_AMGN_BIIB_beta_win,params_AMGN_BIIB_stop_loss,params_AMGN_BIIB_trade_freq,params_AMGN_BIIB_z_entry,params_AMGN_BIIB_z_exit,params_AMGN_BIIB_z_stop_scaler,params_AMGN_BIIB_z_win,params_ASML_BIIB_beta_win,params_ASML_BIIB_stop_loss,params_ASML_BIIB_trade_freq,params_ASML_BIIB_z_entry,params_ASML_BIIB_z_exit,params_ASML_BIIB_z_stop_scaler,params_ASML_BIIB_z_win,params_ATVI_BIIB_beta_win,params_ATVI_BIIB_stop_loss,params_ATVI_BIIB_trade_freq,params_ATVI_BIIB_z_entry,params_ATVI_BIIB_z_exit,params_ATVI_BIIB_z_stop_scaler,params_ATVI_BIIB_z_win,params_BIIB_SIRI_beta_win,params_BIIB_SIRI_stop_loss,params_BIIB_SIRI_trade_freq,params_BIIB_SIRI_z_entry,params_BIIB_SIRI_z_exit,params_BIIB_SIRI_z_stop_scaler,params_BIIB_SIRI_z_win,params_CMCSA_QCOM_beta_win,params_CMCSA_QCOM_stop_loss,params_CMCSA_QCOM_trade_freq,params_CMCSA_QCOM_z_entry,params_CMCSA_QCOM_z_exit,params_CMCSA_QCOM_z_stop_scaler,params_CMCSA_QCOM_z_win,params_JD_MDLZ_beta_win,params_JD_MDLZ_stop_loss,params_JD_MDLZ_trade_freq,params_JD_MDLZ_z_entry,params_JD_MDLZ_z_exit,params_JD_MDLZ_z_stop_scaler,params_JD_MDLZ_z_win,params_JD_TMUS_beta_win,params_JD_TMUS_stop_loss,params_JD_TMUS_trade_freq,params_JD_TMUS_z_entry,params_JD_TMUS_z_exit,params_JD_TMUS_z_stop_scaler,params_JD_TMUS_z_win,params_PEP_TMUS_beta_win,params_PEP_TMUS_stop_loss,params_PEP_TMUS_trade_freq,params_PEP_TMUS_z_entry,params_PEP_TMUS_z_exit,params_PEP_TMUS_z_stop_scaler,params_PEP_TMUS_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,9.51085727209456,2025-06-15 00:19:30.431033,2025-06-15 00:19:31.138988,0 days 00:00:00.707955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,0.006,1m,3.0,1.0,0.5,1014,,,,,,,,0.35000000000000003,1,COMPLETE
11,11,6.437468475591468,2025-06-15 00:19:31.217503,2025-06-15 00:19:31.924773,0 days 00:00:00.707270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636,0.006,1m,3.0,1.0,0.5,986,,,,,,,,0.35000000000000003,1,COMPLETE
12,12,9.599647296059834,2025-06-15 00:19:32.009296,2025-06-15 00:19:32.633910,0 days 00:00:00.624614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662,0.006,1m,3.0,1.0,0.5,978,,,,,,,,0.35000000000000003,1,COMPLETE
13,13,3.0118929785337833,2025-06-15 00:19:32.685426,2025-06-15 00:19:33.327603,0 days 00:00:00.642177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728,0.006,1m,3.0,1.0,1.1,992,,,,,,,,0.35000000000000003,1,COMPLETE
14,14,-0.9131090691214621,2025-06-15 00:19:33.393117,2025-06-15 00:19:34.134260,0 days 00:00:00.741143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,0.004,1m,2.5,2.0,1.6,886,,,,,,,,0.35000000000000003,1,COMPLETE
15,15,-5.682781870320835,2025-06-15 00:19:34.201775,2025-06-15 00:19:35.469394,0 days 00:00:01.267619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.0,0.001,1m,4.0,1.0,0.5,56.0,,,,,,,,,,,,,,,808,0.007,1m,3.5,2.5,0.7,848,,,,,,,,0.25,2,COMPLETE
16,16,4.094834176734708,2025-06-15 00:19:35.535745,2025-06-15 00:19:39.303181,0 days 00:00:03.767436,,,,,,,,966.0,0.001,2m,4.0,2.0,0.5,836.0,,,,,,,,54.0,0.01,1m,4.0,1.5,0.5,176.0,,,,,,,,408.0,0.005,1m,2.0,1.0,1.1,366.0,548.0,0.001,3m,1.0,4.0,1.0,548.0,394.0,0.004,4m,1.5,1.0,1.8,66.0,536,0.002,1m,2.0,1.0,1.0,1012,964.0,0.001,1m,4.0,4.0,0.5,1006.0,0.4,7,COMPLETE
17,17,5.66402164925666,2025-06-15 00:19:39.377706,2025-06-15 00:19:40.675482,0 days 00:00:01.297776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620.0,0.003,1m,1.0,1.5,1.1,1010.0,,,,,,,,,,,,,,,654,0.005,1m,3.5,1.5,1.5,518,,,,,,,,0.3,2,COMPLETE
18,18,-5.556711500922933,2025-06-15 00:19:40.738490,2025-06-15 00:19:42.899815,0 days 00:00:02.161325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.0,0.008,3m,4.0,2.0,1.4,240.0,736.0,0.001,3m,1.0,2.5,1.3,1006.0,602.0,0.004,4m,3.5,2.0,2.0,28.0,448,0.007,2m,3.0,2.5,0.7,892,,,,,,,,0.4,4,COMPLETE
19,19,1.4432461817558098,2025-06-15 00:19:42.964819,2025-06-15 00:19:44.188940,0 days 00:00:01.224121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016.0,0.005,2m,2.0,2.0,1.1,830.0,,,,,,,,,,,,,,,880,0.005,1m,2.0,1.0,0.5,784,,,,,,,,0.25,2,COMPLETE
