,number,value,datetime_start,datetime_complete,duration,params_ADP_BIIB_beta_win,params_ADP_BIIB_stop_loss,params_ADP_BIIB_trade_freq,params_ADP_BIIB_z_entry,params_ADP_BIIB_z_exit,params_ADP_BIIB_z_stop_scaler,params_ADP_BIIB_z_win,params_AMD_BIIB_beta_win,params_AMD_BIIB_stop_loss,params_AMD_BIIB_trade_freq,params_AMD_BIIB_z_entry,params_AMD_BIIB_z_exit,params_AMD_BIIB_z_stop_scaler,params_AMD_BIIB_z_win,params_AMGN_BIIB_beta_win,params_AMGN_BIIB_stop_loss,params_AMGN_BIIB_trade_freq,params_AMGN_BIIB_z_entry,params_AMGN_BIIB_z_exit,params_AMGN_BIIB_z_stop_scaler,params_AMGN_BIIB_z_win,params_ATVI_ILMN_beta_win,params_ATVI_ILMN_stop_loss,params_ATVI_ILMN_trade_freq,params_ATVI_ILMN_z_entry,params_ATVI_ILMN_z_exit,params_ATVI_ILMN_z_stop_scaler,params_ATVI_ILMN_z_win,params_ATVI_PYPL_beta_win,params_ATVI_PYPL_stop_loss,params_ATVI_PYPL_trade_freq,params_ATVI_PYPL_z_entry,params_ATVI_PYPL_z_exit,params_ATVI_PYPL_z_stop_scaler,params_ATVI_PYPL_z_win,params_BIDU_BIIB_beta_win,params_BIDU_BIIB_stop_loss,params_BIDU_BIIB_trade_freq,params_BIDU_BIIB_z_entry,params_BIDU_BIIB_z_exit,params_BIDU_BIIB_z_stop_scaler,params_BIDU_BIIB_z_win,params_BIIB_SIRI_beta_win,params_BIIB_SIRI_stop_loss,params_BIIB_SIRI_trade_freq,params_BIIB_SIRI_z_entry,params_BIIB_SIRI_z_exit,params_BIIB_SIRI_z_stop_scaler,params_BIIB_SIRI_z_win,params_CTSH_TMUS_beta_win,params_CTSH_TMUS_stop_loss,params_CTSH_TMUS_trade_freq,params_CTSH_TMUS_z_entry,params_CTSH_TMUS_z_exit,params_CTSH_TMUS_z_stop_scaler,params_CTSH_TMUS_z_win,params_GILD_PCAR_beta_win,params_GILD_PCAR_stop_loss,params_GILD_PCAR_trade_freq,params_GILD_PCAR_z_entry,params_GILD_PCAR_z_exit,params_GILD_PCAR_z_stop_scaler,params_GILD_PCAR_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_buffer_capital,params_pairs_to_trade,state
30,30,1.505356582079334,2025-06-15 00:10:58.676393,2025-06-15 00:11:00.146451,0 days 00:00:01.470058,,,,,,,,,,,,,,,844.0,0.008,3m,4.0,2.0,1.0,712.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,932,0.002,3m,3.0,2.5,1.5,470,0.5,2,COMPLETE
31,31,1.5420011236751123,2025-06-15 00:11:00.221991,2025-06-15 00:11:02.602714,0 days 00:00:02.380723,,,,,,,,644.0,0.01,2m,3.5,3.0,1.3,914.0,762.0,0.009000000000000001,3m,3.5,2.0,1.7000000000000002,464.0,882.0,0.001,4m,1.0,2.0,1.4,728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860,0.005,3m,2.0,3.0,1.0,808,0.1,4,COMPLETE
32,32,-0.1070793898618824,2025-06-15 00:11:02.682452,2025-06-15 00:11:05.608638,0 days 00:00:02.926186,,,,,,,,850.0,0.009000000000000001,2m,4.0,3.0,1.5,930.0,674.0,0.01,3m,3.5,2.0,1.8,472.0,734.0,0.003,4m,1.5,2.0,1.5,736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,856,0.004,3m,2.0,3.0,0.9,754,0.15000000000000002,4,COMPLETE
33,33,0.13162336939304156,2025-06-15 00:11:05.705160,2025-06-15 00:11:09.366633,0 days 00:00:03.661473,,,,,,,,674.0,0.01,2m,3.5,3.5,1.3,760.0,790.0,0.009000000000000001,3m,3.5,1.5,1.6,630.0,1018.0,0.002,4m,1.5,1.0,1.7000000000000002,942.0,,,,,,,,,,,,,,,,,,,,,,612.0,0.001,2m,1.5,1.0,2.0,322.0,652.0,0.001,3m,1.5,3.5,1.5,506.0,1016,0.005,3m,1.0,3.5,1.1,650,0.1,6,COMPLETE
34,34,-4.422128393905956,2025-06-15 00:11:09.451312,2025-06-15 00:11:12.436919,0 days 00:00:02.985607,,,,,,,,450.0,0.009000000000000001,2m,4.0,3.0,1.5,846.0,864.0,0.01,3m,1.0,2.5,1.7000000000000002,322.0,894.0,0.004,4m,1.0,3.0,1.1,792.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.0,0.007,1m,4.0,3.5,2.0,868.0,728,0.006,3m,1.5,3.0,0.5,1020,0.05,5,COMPLETE
35,35,-0.40792926716912536,2025-06-15 00:11:12.512006,2025-06-15 00:11:14.483122,0 days 00:00:01.971116,,,,,,,,922.0,0.008,2m,2.0,2.0,1.2000000000000002,652.0,910.0,0.009000000000000001,3m,3.0,3.0,1.4,434.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,934,0.007,4m,2.0,4.0,0.7,910,0.2,3,COMPLETE
36,36,-1.3020465842891,2025-06-15 00:11:14.555897,2025-06-15 00:11:17.709296,0 days 00:00:03.153399,,,,,,,,492.0,0.007,1m,3.0,2.5,1.7000000000000002,984.0,962.0,0.008,3m,4.0,3.0,1.9000000000000001,532.0,642.0,0.005,4m,2.5,1.5,1.4,998.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800.0,0.005,4m,3.0,2.0,0.7,602.0,858,0.009000000000000001,1m,2.5,2.5,0.9,696,0.3,5,COMPLETE
37,37,-3.0957230998997587,2025-06-15 00:11:17.780156,2025-06-15 00:11:22.196032,0 days 00:00:04.415876,,,,,,,,332.0,0.01,3m,3.5,3.5,1.4,724.0,816.0,0.007,1m,3.0,3.0,2.0,502.0,868.0,0.002,4m,3.5,2.5,2.0,596.0,40.0,0.01,1m,3.5,4.0,2.0,98.0,,,,,,,,,,,,,,,244.0,0.005,2m,3.0,4.0,1.0,996.0,258.0,0.01,2m,2.5,3.0,1.1,28.0,328,0.008,2m,1.0,2.0,1.0,368,0.15000000000000002,7,COMPLETE
38,38,-5.448475600558815,2025-06-15 00:11:22.269500,2025-06-15 00:11:24.642173,0 days 00:00:02.372673,,,,,,,,136.0,0.006,4m,2.0,4.0,1.1,838.0,1020.0,0.009000000000000001,3m,3.5,2.5,1.5,724.0,770.0,0.009000000000000001,3m,1.5,1.5,1.0,370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802,0.004,4m,2.0,1.5,1.2000000000000002,202,0.2,4,COMPLETE
39,39,-0.3574826000247336,2025-06-15 00:11:24.745323,2025-06-15 00:11:29.487309,0 days 00:00:04.741986,66.0,0.01,3m,1.0,4.0,2.0,20.0,710.0,0.002,1m,4.0,3.0,1.6,608.0,642.0,0.002,4m,2.0,4.0,1.2000000000000002,158.0,522.0,0.007,2m,3.5,3.0,1.3,666.0,1018.0,0.001,2m,3.0,2.5,1.3,1024.0,,,,,,,,,,,,,,,760.0,0.007,4m,3.5,2.5,0.9,684.0,552.0,0.003,3m,1.5,4.0,0.5,616.0,948,0.002,3m,1.5,1.0,0.7,542,0.1,8,COMPLETE
40,40,-2.367461536777701,2025-06-15 00:11:29.563216,2025-06-15 00:11:30.960592,0 days 00:00:01.397376,,,,,,,,,,,,,,,514.0,0.01,2m,3.5,2.0,1.7000000000000002,650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464,0.008,1m,1.0,4.0,0.8,98,0.05,2,COMPLETE
41,41,0.9489301132675975,2025-06-15 00:11:31.050604,2025-06-15 00:11:33.500065,0 days 00:00:02.449461,,,,,,,,596.0,0.01,2m,3.5,3.0,1.3,928.0,738.0,0.009000000000000001,3m,3.5,2.0,1.7000000000000002,412.0,892.0,0.001,4m,1.0,2.0,1.4,754.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882,0.005,3m,2.0,3.0,1.0,780,0.1,4,COMPLETE
42,42,2.2473951408468054,2025-06-15 00:11:33.573179,2025-06-15 00:11:36.191638,0 days 00:00:02.618459,,,,,,,,676.0,0.009000000000000001,2m,3.5,2.5,1.3,950.0,756.0,0.009000000000000001,3m,4.0,1.5,1.9000000000000001,568.0,948.0,0.002,4m,1.0,2.0,1.6,712.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816,0.005,3m,2.0,3.0,1.1,802,0.1,4,COMPLETE
43,43,3.2058841012969124,2025-06-15 00:11:36.265686,2025-06-15 00:11:37.841952,0 days 00:00:01.576266,,,,,,,,892.0,0.009000000000000001,2m,3.0,2.5,0.9,978.0,858.0,0.007,3m,4.0,1.5,1.9000000000000001,558.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712,0.006,3m,1.5,3.5,1.2000000000000002,904,0.15000000000000002,3,COMPLETE
44,44,2.2865899594000365,2025-06-15 00:11:37.917493,2025-06-15 00:11:39.875051,0 days 00:00:01.957558,,,,,,,,934.0,0.008,2m,3.0,2.0,0.5,968.0,940.0,0.007,3m,4.0,1.0,1.9000000000000001,576.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690,0.007,3m,1.5,3.5,1.6,940,0.15000000000000002,3,COMPLETE
45,45,2.4867880185827986,2025-06-15 00:11:39.963137,2025-06-15 00:11:41.933194,0 days 00:00:01.970057,,,,,,,,818.0,0.009000000000000001,2m,3.0,2.0,0.5,978.0,936.0,0.007,3m,4.0,1.0,1.9000000000000001,554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668,0.006,3m,1.5,3.5,1.6,908,0.15000000000000002,3,COMPLETE
46,46,0.016558605429188616,2025-06-15 00:11:42.019996,2025-06-15 00:11:42.717918,0 days 00:00:00.697922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688,0.006,1m,1.5,3.5,1.8,904,0.2,1,COMPLETE
47,47,0.9621478041658007,2025-06-15 00:11:42.798326,2025-06-15 00:11:44.775358,0 days 00:00:01.977032,,,,,,,,802.0,0.008,2m,3.0,1.5,0.5,1016.0,938.0,0.006,2m,4.0,1.0,2.0,560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638,0.007,2m,1.0,3.5,1.6,962,0.4,3,COMPLETE
48,48,-2.412740025354435,2025-06-15 00:11:44.853916,2025-06-15 00:11:50.933789,0 days 00:00:06.079873,918.0,0.006,2m,3.5,2.5,2.0,1002.0,916.0,0.007,3m,2.5,2.0,0.7,956.0,992.0,0.007,4m,4.0,1.0,1.9000000000000001,860.0,272.0,0.009000000000000001,1m,2.5,4.0,0.5,114.0,40.0,0.01,3m,3.0,1.5,1.0,318.0,964.0,0.001,1m,1.0,4.0,1.9000000000000001,980.0,1024.0,0.005,1m,1.0,1.5,1.5,986.0,508.0,0.003,3m,2.0,2.0,1.5,250.0,370.0,0.008,3m,3.5,1.0,1.3,858.0,586,0.008,4m,1.5,4.0,1.6,880,0.15000000000000002,10,COMPLETE
49,49,1.0075506035550794,2025-06-15 00:11:51.049617,2025-06-15 00:11:51.697390,0 days 00:00:00.647773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646,0.009000000000000001,1m,1.0,3.5,1.8,1022,0.35000000000000003,1,COMPLETE
50,50,6.356152403853771,2025-06-15 00:11:51.755552,2025-06-15 00:11:53.789328,0 days 00:00:02.033776,,,,,,,,1016.0,0.009000000000000001,1m,2.5,1.5,0.5,1018.0,872.0,0.004,3m,4.0,1.0,1.8,758.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736,0.01,3m,1.5,4.0,1.5,956,0.25,3,COMPLETE
51,51,6.088361412786107,2025-06-15 00:11:53.866265,2025-06-15 00:11:55.876568,0 days 00:00:02.010303,,,,,,,,976.0,0.009000000000000001,1m,2.5,1.5,0.5,1024.0,880.0,0.004,3m,4.0,1.0,1.8,766.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724,0.006,3m,1.5,4.0,1.5,960,0.25,3,COMPLETE
52,52,3.257545139636993,2025-06-15 00:11:55.946308,2025-06-15 00:11:57.952367,0 days 00:00:02.006059,,,,,,,,1012.0,0.009000000000000001,1m,2.5,1.5,0.5,986.0,858.0,0.004,3m,4.0,1.0,1.8,752.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710,0.01,3m,1.5,4.0,1.5,934,0.25,3,COMPLETE
53,53,6.248582913081569,2025-06-15 00:11:58.066084,2025-06-15 00:11:59.755168,0 days 00:00:01.689084,,,,,,,,984.0,0.009000000000000001,1m,2.5,1.5,0.6,1006.0,872.0,0.004,3m,4.0,1.0,1.8,926.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738,0.01,3m,1.5,4.0,1.4,986,0.25,3,COMPLETE
54,54,-100.0,2025-06-15 00:11:59.818355,2025-06-15 00:12:01.230374,0 days 00:00:01.412019,,,,,,,,,,,,,,,858.0,0.004,3m,4.0,1.0,1.8,952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738,0.01,3m,3.5,4.0,1.4,996,0.25,2,COMPLETE
55,55,6.463013341552634,2025-06-15 00:12:01.310791,2025-06-15 00:12:03.331036,0 days 00:00:02.020245,,,,,,,,1022.0,0.009000000000000001,1m,2.5,1.0,0.7,1010.0,878.0,0.004,3m,4.0,1.5,1.8,762.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746,0.01,3m,1.5,4.0,1.3,842,0.3,3,COMPLETE
56,56,5.948794595807935,2025-06-15 00:12:03.391549,2025-06-15 00:12:05.105492,0 days 00:00:01.713943,,,,,,,,992.0,0.009000000000000001,1m,2.5,1.0,0.6,1018.0,708.0,0.004,3m,4.0,1.0,1.8,774.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824,0.01,3m,1.5,4.0,1.3,844,0.3,3,COMPLETE
57,57,1.080471006060928,2025-06-15 00:12:05.185844,2025-06-15 00:12:06.565852,0 days 00:00:01.380008,,,,,,,,,,,,,,,702.0,0.003,3m,4.0,1.0,1.6,948.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,822,0.01,3m,1.5,4.0,1.3,860,0.3,2,COMPLETE
58,58,1.9944061478743322,2025-06-15 00:12:06.648407,2025-06-15 00:12:10.344339,0 days 00:00:03.695932,,,,,,,,958.0,0.009000000000000001,1m,2.0,1.0,0.7,1014.0,898.0,0.005,1m,4.0,1.5,1.8,808.0,470.0,0.01,3m,3.0,1.0,0.7,34.0,,,,,,,,,,,,,,,,,,,,,,224.0,0.003,1m,1.0,3.0,2.0,542.0,186.0,0.006,2m,1.5,2.5,1.8,418.0,254,0.01,3m,1.0,4.0,1.4,730,0.3,6,COMPLETE
59,59,5.182991576107274,2025-06-15 00:12:10.431993,2025-06-15 00:12:15.702620,0 days 00:00:05.270627,34.0,0.01,3m,4.0,2.5,1.2000000000000002,24.0,1024.0,0.008,1m,2.5,1.0,0.6,1020.0,984.0,0.004,4m,4.0,1.0,2.0,872.0,112.0,0.007,2m,2.0,3.5,1.8,258.0,800.0,0.003,3m,1.0,3.0,0.5,336.0,,,,,,,,42.0,0.01,2m,1.0,4.0,0.5,52.0,816.0,0.008,4m,2.0,1.5,1.2000000000000002,876.0,654.0,0.002,4m,3.5,2.0,1.0,984.0,752,0.009000000000000001,3m,1.5,4.0,1.3,834,0.3,9,COMPLETE
60,60,2.262151075632795,2025-06-15 00:12:15.769985,2025-06-15 00:12:20.597556,0 days 00:00:04.827571,42.0,0.01,3m,4.0,2.5,1.2000000000000002,18.0,1022.0,0.008,1m,2.5,1.0,0.6,1018.0,898.0,0.004,3m,4.0,1.0,2.0,898.0,44.0,0.007,2m,2.0,3.5,1.8,432.0,794.0,0.003,3m,1.0,3.0,0.5,372.0,,,,,,,,,,,,,,,820.0,0.008,4m,2.0,1.5,1.1,842.0,1020.0,0.002,4m,3.5,1.5,1.3,862.0,750,0.009000000000000001,3m,1.5,4.0,1.3,828,0.3,8,COMPLETE
61,61,0.20349968416434103,2025-06-15 00:12:20.683134,2025-06-15 00:12:26.003903,0 days 00:00:05.320769,306.0,0.008,3m,4.0,2.0,1.2000000000000002,300.0,972.0,0.008,1m,2.5,1.0,0.7,878.0,986.0,0.004,4m,4.0,1.0,1.8,770.0,142.0,0.006,2m,2.5,4.0,2.0,290.0,820.0,0.003,3m,2.0,3.5,0.8,302.0,,,,,,,,62.0,0.01,2m,1.0,4.0,0.5,90.0,616.0,0.009000000000000001,4m,2.0,1.5,0.7,552.0,656.0,0.004,4m,3.0,2.0,1.0,1014.0,770,0.009000000000000001,3m,1.5,4.0,1.3,968,0.25,9,COMPLETE
62,62,4.975635863731147,2025-06-15 00:12:26.097247,2025-06-15 00:12:31.337406,0 days 00:00:05.240159,958.0,0.004,2m,3.0,3.5,1.5,700.0,988.0,0.009000000000000001,1m,2.0,1.5,0.6,938.0,16.0,0.003,4m,4.0,1.5,2.0,996.0,20.0,0.005,2m,2.0,3.5,1.8,194.0,434.0,0.008,3m,1.0,2.0,1.5,822.0,,,,,,,,372.0,0.007,2m,2.0,3.0,1.0,44.0,894.0,0.007,4m,3.0,2.0,1.6,1020.0,506.0,0.004,4m,2.5,1.5,0.7,802.0,796,0.009000000000000001,3m,1.5,4.0,1.5,874,0.35000000000000003,9,COMPLETE
63,63,5.431519943558871,2025-06-15 00:12:31.419272,2025-06-15 00:12:36.809978,0 days 00:00:05.390706,978.0,0.004,2m,3.0,3.5,1.5,748.0,978.0,0.009000000000000001,1m,2.0,1.5,0.6,938.0,404.0,0.002,4m,4.0,1.5,2.0,1020.0,16.0,0.005,2m,2.0,3.5,1.8,162.0,402.0,0.009000000000000001,3m,1.0,2.0,1.5,846.0,,,,,,,,372.0,0.007,2m,2.0,3.0,1.0,50.0,1016.0,0.007,4m,3.0,2.0,1.6,1012.0,762.0,0.002,4m,4.0,1.5,0.8,620.0,814,0.01,3m,1.5,4.0,1.5,868,0.35000000000000003,9,COMPLETE
64,64,7.220223930945608,2025-06-15 00:12:36.888631,2025-06-15 00:12:42.161964,0 days 00:00:05.273333,746.0,0.004,2m,2.5,3.0,1.6,660.0,966.0,0.009000000000000001,1m,2.5,1.0,0.8,1010.0,336.0,0.002,4m,4.0,1.0,2.0,896.0,108.0,0.004,2m,1.5,3.0,1.9000000000000001,130.0,228.0,0.004,3m,1.5,2.0,1.4,840.0,,,,,,,,424.0,0.007,2m,1.5,3.0,1.1,18.0,1018.0,0.006,4m,3.5,1.5,1.2000000000000002,872.0,862.0,0.002,4m,4.0,1.5,0.9,610.0,904,0.01,3m,1.5,4.0,1.4,838,0.3,9,COMPLETE
65,65,1.676672849095159,2025-06-15 00:12:42.242144,2025-06-15 00:12:47.149426,0 days 00:00:04.907282,770.0,0.004,2m,2.5,3.5,1.7000000000000002,758.0,960.0,0.001,1m,2.5,1.5,0.8,942.0,282.0,0.002,4m,4.0,1.5,1.8,934.0,238.0,0.004,2m,1.5,3.0,1.9000000000000001,120.0,210.0,0.008,3m,1.5,2.0,1.5,830.0,,,,,,,,,,,,,,,976.0,0.006,4m,3.5,2.0,1.4,792.0,862.0,0.002,4m,4.0,1.0,0.8,598.0,978,0.01,3m,1.0,4.0,1.4,996,0.35000000000000003,8,COMPLETE
66,66,4.01118473917958,2025-06-15 00:12:47.230941,2025-06-15 00:12:53.290440,0 days 00:00:06.059499,1022.0,0.002,2m,2.5,3.0,1.7000000000000002,622.0,862.0,0.009000000000000001,1m,2.0,1.0,0.8,1022.0,390.0,0.002,4m,3.5,1.0,1.7000000000000002,998.0,202.0,0.005,2m,1.5,3.0,2.0,168.0,212.0,0.005,3m,1.5,2.0,1.3,824.0,132.0,0.01,2m,2.5,3.5,0.5,36.0,446.0,0.006,2m,2.0,2.5,1.1,280.0,686.0,0.004,4m,3.5,1.0,1.8,958.0,796.0,0.001,4m,4.0,1.5,1.2000000000000002,662.0,906,0.01,3m,1.5,4.0,1.5,934,0.25,10,COMPLETE
67,67,2.3066521005283076,2025-06-15 00:12:53.376635,2025-06-15 00:12:58.990939,0 days 00:00:05.614304,790.0,0.005,2m,1.5,4.0,1.7000000000000002,930.0,900.0,0.01,1m,2.5,1.5,0.7,896.0,430.0,0.005,3m,3.5,1.5,1.9000000000000001,842.0,322.0,0.003,1m,1.5,4.0,1.6,544.0,496.0,0.009000000000000001,2m,2.5,1.0,1.7000000000000002,910.0,,,,,,,,328.0,0.007,2m,2.0,3.0,1.3,720.0,870.0,0.007,4m,4.0,3.0,1.2000000000000002,688.0,898.0,0.002,4m,4.0,1.0,0.9,378.0,618,0.01,3m,2.0,4.0,1.4,734,0.35000000000000003,9,COMPLETE
68,68,5.60188984933439,2025-06-15 00:12:59.087897,2025-06-15 00:13:00.995875,0 days 00:00:01.907978,,,,,,,,974.0,0.009000000000000001,1m,2.5,1.0,0.5,510.0,294.0,0.002,2m,4.0,1.0,1.6,902.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830,0.01,3m,1.5,4.0,1.2000000000000002,878,0.3,3,COMPLETE
69,69,1.3059292424063667,2025-06-15 00:13:01.079138,2025-06-15 00:13:03.194190,0 days 00:00:02.115052,,,,,,,,932.0,0.01,1m,2.5,1.0,0.5,472.0,280.0,0.003,2m,4.0,1.0,1.7000000000000002,916.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830,0.01,3m,2.0,4.0,1.2000000000000002,984,0.3,3,COMPLETE
70,70,0.525164504315784,2025-06-15 00:13:03.270023,2025-06-15 00:13:04.647829,0 days 00:00:01.377806,,,,,,,,,,,,,,,136.0,0.001,3m,3.5,1.0,1.6,690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,0.009000000000000001,3m,1.0,4.0,1.2000000000000002,816,0.25,2,COMPLETE
71,71,5.022872169164952,2025-06-15 00:13:04.756171,2025-06-15 00:13:06.495772,0 days 00:00:01.739601,,,,,,,,978.0,0.009000000000000001,1m,2.5,1.0,0.6,520.0,284.0,0.002,2m,4.0,1.0,1.6,808.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828,0.01,3m,1.5,4.0,1.5,862,0.3,3,COMPLETE
72,72,4.992976289869217,2025-06-15 00:13:06.590258,2025-06-15 00:13:09.220976,0 days 00:00:02.630718,,,,,,,,994.0,0.009000000000000001,1m,2.0,1.5,0.7,356.0,334.0,0.003,2m,4.0,1.5,1.8,988.0,108.0,0.004,2m,2.0,2.5,1.7000000000000002,338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778,0.01,3m,1.5,4.0,1.4,876,0.4,4,COMPLETE
73,73,3.4816190091660153,2025-06-15 00:13:09.329780,2025-06-15 00:13:15.423475,0 days 00:00:06.093695,806.0,0.003,4m,3.0,3.0,1.0,616.0,960.0,0.009000000000000001,1m,1.5,1.0,0.6,540.0,196.0,0.002,2m,4.0,1.0,1.9000000000000001,970.0,190.0,0.006,2m,3.0,3.5,1.9000000000000001,78.0,256.0,0.005,1m,1.5,1.5,1.9000000000000001,720.0,930.0,0.001,3m,1.0,1.0,2.0,782.0,654.0,0.004,1m,3.5,3.0,0.9,226.0,1016.0,0.004,2m,2.5,2.5,1.6,624.0,754.0,0.003,1m,3.5,1.5,1.4,528.0,838,0.01,3m,1.5,4.0,1.7000000000000002,946,0.3,10,COMPLETE
74,74,1.0037620078956484,2025-06-15 00:13:15.521714,2025-06-15 00:13:17.755380,0 days 00:00:02.233666,,,,,,,,886.0,0.01,1m,2.5,1.5,0.5,386.0,554.0,0.003,4m,4.0,1.0,2.0,886.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,970,0.009000000000000001,3m,1.5,4.0,1.5,766,0.25,3,COMPLETE
75,75,0.004809649823017032,2025-06-15 00:13:17.831588,2025-06-15 00:13:18.999800,0 days 00:00:01.168212,,,,,,,,,,,,,,,472.0,0.005,3m,4.0,1.5,1.7000000000000002,742.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790,0.01,2m,1.5,3.5,1.3,686,0.3,2,COMPLETE
76,76,3.071205595610105,2025-06-15 00:13:19.068371,2025-06-15 00:13:21.900175,0 days 00:00:02.831804,,,,,,,,828.0,0.009000000000000001,1m,2.5,1.0,0.9,980.0,316.0,0.001,1m,3.5,1.0,1.8,1016.0,66.0,0.003,1m,4.0,3.0,1.9000000000000001,222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,0.009000000000000001,3m,2.0,4.0,1.4,890,0.25,4,COMPLETE
77,77,-2.238792326161086,2025-06-15 00:13:22.023095,2025-06-15 00:13:24.109868,0 days 00:00:02.086773,,,,,,,,772.0,0.008,1m,2.0,1.5,0.8,470.0,446.0,0.004,3m,1.5,1.0,2.0,780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738,0.01,3m,3.5,4.0,1.5,832,0.2,3,COMPLETE
78,78,4.77308196075596,2025-06-15 00:13:24.212756,2025-06-15 00:13:27.352686,0 days 00:00:03.139930,,,,,,,,982.0,0.003,1m,2.5,1.5,0.6,908.0,236.0,0.002,2m,4.0,1.5,0.6,828.0,312.0,0.004,2m,2.0,2.5,1.6,416.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960.0,0.004,4m,4.0,2.0,1.7000000000000002,522.0,800,0.009000000000000001,3m,1.0,3.5,1.2000000000000002,922,0.35000000000000003,5,COMPLETE
79,79,2.349756354600362,2025-06-15 00:13:27.438282,2025-06-15 00:13:31.914069,0 days 00:00:04.475787,,,,,,,,934.0,0.01,1m,2.5,1.0,0.7,864.0,404.0,0.003,4m,3.5,1.0,1.5,916.0,370.0,0.005,2m,1.5,3.5,1.8,552.0,108.0,0.007,4m,2.5,2.5,1.1,518.0,,,,,,,,,,,,,,,1018.0,0.009000000000000001,3m,3.5,1.5,0.8,842.0,718.0,0.001,4m,3.5,2.5,0.6,208.0,696,0.01,4m,2.0,3.5,1.1,964,0.35000000000000003,7,COMPLETE
80,80,4.954213022949643,2025-06-15 00:13:31.999106,2025-06-15 00:13:36.895923,0 days 00:00:04.896817,602.0,0.005,2m,2.0,3.0,0.9,858.0,1006.0,0.009000000000000001,1m,2.5,1.0,0.5,958.0,340.0,0.005,3m,4.0,1.5,1.8,680.0,184.0,0.006,1m,3.0,4.0,1.5,68.0,574.0,0.004,3m,2.0,2.0,1.4,910.0,,,,,,,,,,,,,,,570.0,0.006,1m,3.0,2.0,1.4,944.0,848.0,0.003,4m,3.0,1.5,1.0,672.0,556,0.01,3m,1.5,4.0,1.6,1024,0.4,8,COMPLETE
