,number,value,datetime_start,datetime_complete,duration,params_CMCSA_TSLA_beta_win,params_CMCSA_TSLA_stop_loss,params_CMCSA_TSLA_trade_freq,params_CMCSA_TSLA_z_entry,params_CMCSA_TSLA_z_exit,params_CMCSA_TSLA_z_stop_scaler,params_CMCSA_TSLA_z_win,params_COST_GILD_beta_win,params_COST_GILD_stop_loss,params_COST_GILD_trade_freq,params_COST_GILD_z_entry,params_COST_GILD_z_exit,params_COST_GILD_z_stop_scaler,params_COST_GILD_z_win,params_CPRT_ISRG_beta_win,params_CPRT_ISRG_stop_loss,params_CPRT_ISRG_trade_freq,params_CPRT_ISRG_z_entry,params_CPRT_ISRG_z_exit,params_CPRT_ISRG_z_stop_scaler,params_CPRT_ISRG_z_win,params_FAST_PCAR_beta_win,params_FAST_PCAR_stop_loss,params_FAST_PCAR_trade_freq,params_FAST_PCAR_z_entry,params_FAST_PCAR_z_exit,params_FAST_PCAR_z_stop_scaler,params_FAST_PCAR_z_win,params_INTC_MU_beta_win,params_INTC_MU_stop_loss,params_INTC_MU_trade_freq,params_INTC_MU_z_entry,params_INTC_MU_z_exit,params_INTC_MU_z_stop_scaler,params_INTC_MU_z_win,params_ISRG_PCAR_beta_win,params_ISRG_PCAR_stop_loss,params_ISRG_PCAR_trade_freq,params_ISRG_PCAR_z_entry,params_ISRG_PCAR_z_exit,params_ISRG_PCAR_z_stop_scaler,params_ISRG_PCAR_z_win,params_MAR_QCOM_beta_win,params_MAR_QCOM_stop_loss,params_MAR_QCOM_trade_freq,params_MAR_QCOM_z_entry,params_MAR_QCOM_z_exit,params_MAR_QCOM_z_stop_scaler,params_MAR_QCOM_z_win,params_MELI_TSLA_beta_win,params_MELI_TSLA_stop_loss,params_MELI_TSLA_trade_freq,params_MELI_TSLA_z_entry,params_MELI_TSLA_z_exit,params_MELI_TSLA_z_stop_scaler,params_MELI_TSLA_z_win,params_ORLY_PCAR_beta_win,params_ORLY_PCAR_stop_loss,params_ORLY_PCAR_trade_freq,params_ORLY_PCAR_z_entry,params_ORLY_PCAR_z_exit,params_ORLY_PCAR_z_stop_scaler,params_ORLY_PCAR_z_win,params_PAYX_PCAR_beta_win,params_PAYX_PCAR_stop_loss,params_PAYX_PCAR_trade_freq,params_PAYX_PCAR_z_entry,params_PAYX_PCAR_z_exit,params_PAYX_PCAR_z_stop_scaler,params_PAYX_PCAR_z_win,params_buffer_capital,params_pairs_to_trade,state
30,30,-1.2294323655044213,2025-06-15 00:23:35.167557,2025-06-15 00:23:39.732130,0 days 00:00:04.564573,,,,,,,,986.0,0.005,1m,1.0,1.0,1.5,1018.0,858.0,0.003,3m,2.5,1.0,1.5,806.0,820.0,0.004,3m,4.0,2.0,0.6,366.0,860.0,0.004,2m,2.0,2.0,1.9000000000000001,682.0,486.0,0.001,1m,3.0,3.0,0.8,112.0,188.0,0.007,1m,2.0,1.0,1.2000000000000002,800.0,396,0.002,2m,3.5,3.0,1.7000000000000002,548,114.0,0.006,2m,1.0,3.0,1.4,854.0,986.0,0.008,2m,3.5,2.0,1.7000000000000002,648.0,0.3,9,COMPLETE
31,31,8.648011823621472,2025-06-15 00:23:39.804648,2025-06-15 00:23:42.781490,0 days 00:00:02.976842,,,,,,,,,,,,,,,,,,,,,,484.0,0.004,2m,3.5,1.5,0.8,516.0,490.0,0.005,2m,1.0,3.0,1.9000000000000001,664.0,328.0,0.002,1m,3.0,3.5,0.7,352.0,264.0,0.005,1m,3.0,1.0,1.1,614.0,366,0.006,2m,3.0,3.0,1.5,924,,,,,,,,222.0,0.007,2m,4.0,1.5,1.4,890.0,0.25,6,COMPLETE
32,32,5.445401576586711,2025-06-15 00:23:42.876541,2025-06-15 00:23:46.612929,0 days 00:00:03.736388,,,,,,,,,,,,,,,484.0,0.008,2m,4.0,2.0,1.5,328.0,514.0,0.002,2m,3.5,1.5,0.7,536.0,518.0,0.005,2m,1.5,3.0,1.8,680.0,350.0,0.002,1m,3.5,3.5,0.5,372.0,316.0,0.004,1m,3.5,1.5,1.1,554.0,334,0.005,2m,3.0,2.5,1.6,922,,,,,,,,170.0,0.007,2m,4.0,1.5,2.0,888.0,0.2,7,COMPLETE
33,33,9.222679083449165,2025-06-15 00:23:46.686445,2025-06-15 00:23:49.658136,0 days 00:00:02.971691,,,,,,,,,,,,,,,,,,,,,,408.0,0.005,2m,3.5,1.5,1.0,622.0,624.0,0.003,2m,1.0,2.5,2.0,526.0,508.0,0.004,1m,2.5,3.5,0.9,454.0,130.0,0.006,1m,3.5,1.0,0.7,616.0,282,0.007,2m,3.0,3.5,1.8,792,,,,,,,,296.0,0.009000000000000001,2m,3.5,1.0,1.8,790.0,0.3,6,COMPLETE
34,34,0.21338215640698735,2025-06-15 00:23:49.758649,2025-06-15 00:23:53.274386,0 days 00:00:03.515737,,,,,,,,,,,,,,,,,,,,,,376.0,0.004,2m,4.0,2.0,1.0,624.0,598.0,0.003,1m,1.0,2.0,2.0,482.0,540.0,0.004,3m,2.5,3.5,0.9,442.0,112.0,0.007,1m,3.5,1.5,0.7,386.0,288,0.007,2m,2.5,3.5,1.9000000000000001,936,,,,,,,,292.0,0.009000000000000001,2m,3.5,1.0,1.4,1018.0,0.25,6,COMPLETE
35,35,9.526439082639474,2025-06-15 00:23:53.387421,2025-06-15 00:23:56.213410,0 days 00:00:02.825989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.0,0.003,2m,1.0,2.5,1.6,522.0,266.0,0.003,1m,2.0,4.0,0.9,270.0,,,,,,,,116,0.008,2m,3.5,4.0,1.8,752,,,,,,,,,,,,,,,0.2,3,COMPLETE
36,36,2.5930783130989936,2025-06-15 00:23:56.314921,2025-06-15 00:23:58.223777,0 days 00:00:01.908856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.0,0.004,1m,2.0,4.0,1.3,284.0,,,,,,,,134,0.008,4m,3.5,4.0,2.0,1020,,,,,,,,,,,,,,,0.2,2,COMPLETE
37,37,8.47693854365038,2025-06-15 00:23:58.314290,2025-06-15 00:24:00.957782,0 days 00:00:02.643492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506.0,0.002,2m,1.0,3.0,1.6,400.0,54.0,0.003,3m,1.5,4.0,1.0,504.0,,,,,,,,36,0.008,2m,4.0,4.0,1.8,880,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
38,38,3.002327665994197,2025-06-15 00:24:01.052296,2025-06-15 00:24:03.573775,0 days 00:00:02.521479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,0.001,4m,1.0,3.0,1.5,414.0,42.0,0.005,3m,1.0,4.0,1.1,494.0,,,,,,,,16,0.009000000000000001,2m,4.0,4.0,1.8,704,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
39,39,6.697777403663452,2025-06-15 00:24:03.670290,2025-06-15 00:24:05.403057,0 days 00:00:01.732767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.0,0.002,2m,1.0,3.5,1.5,510.0,126.0,0.003,3m,1.5,4.0,0.9,408.0,,,,,,,,90,0.008,2m,4.0,4.0,1.9000000000000001,620,,,,,,,,,,,,,,,0.1,3,COMPLETE
40,40,-3.5121175469862034,2025-06-15 00:24:05.464068,2025-06-15 00:24:07.908283,0 days 00:00:02.444215,,,,,,,,,,,,,,,,,,,,,,102.0,0.007,3m,4.0,1.0,0.9,788.0,604.0,0.003,1m,1.0,3.0,1.8,404.0,280.0,0.004,3m,1.5,4.0,1.1,662.0,,,,,,,,136,0.008,3m,4.0,3.5,1.8,754,,,,,,,,630.0,0.005,1m,3.0,1.0,1.3,730.0,0.15000000000000002,5,COMPLETE
41,41,8.191063359527679,2025-06-15 00:24:07.960285,2025-06-15 00:24:09.604589,0 days 00:00:01.644304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716.0,0.002,2m,1.0,2.5,1.6,524.0,112.0,0.003,3m,2.0,4.0,1.0,150.0,,,,,,,,238,0.007,2m,3.5,4.0,1.5,862,,,,,,,,,,,,,,,0.2,3,COMPLETE
42,42,8.292672575400688,2025-06-15 00:24:09.674586,2025-06-15 00:24:11.356146,0 days 00:00:01.681560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722.0,0.002,2m,1.0,3.0,1.6,526.0,118.0,0.003,3m,1.5,4.0,1.0,162.0,,,,,,,,244,0.007,2m,3.5,4.0,1.6,880,,,,,,,,,,,,,,,0.2,3,COMPLETE
43,43,4.175101546306159,2025-06-15 00:24:11.425668,2025-06-15 00:24:13.914852,0 days 00:00:02.489184,,,,,,,,,,,,,,,,,,,,,,270.0,0.001,1m,3.0,3.0,0.9,162.0,832.0,0.003,2m,1.0,3.0,1.5,542.0,98.0,0.004,3m,1.5,4.0,1.2000000000000002,500.0,,,,,,,,284,0.009000000000000001,2m,3.5,4.0,1.6,926,,,,,,,,450.0,0.009000000000000001,4m,3.0,1.5,1.6,480.0,0.2,5,COMPLETE
44,44,-2.3252762818731214,2025-06-15 00:24:14.005378,2025-06-15 00:24:15.250675,0 days 00:00:01.245297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.0,0.003,3m,1.0,4.0,0.9,272.0,,,,,,,,182,0.007,2m,4.0,3.5,1.8,792,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
45,45,-100.0,2025-06-15 00:24:15.313192,2025-06-15 00:24:23.798702,0 days 00:00:08.485510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,0.008,4m,4.0,4.0,2.0,878,,,,,,,,,,,,,,,0.1,1,COMPLETE
46,46,0.12100447153031185,2025-06-15 00:24:23.885730,2025-06-15 00:24:25.466569,0 days 00:00:01.580839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746.0,0.001,2m,1.0,3.5,2.0,656.0,278.0,0.001,3m,1.5,3.0,1.0,172.0,,,,,,,,132,0.009000000000000001,2m,3.5,3.5,1.6,662,,,,,,,,,,,,,,,0.2,3,COMPLETE
47,47,-100.0,2025-06-15 00:24:25.553096,2025-06-15 00:24:26.700148,0 days 00:00:01.147052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,0.006,3m,2.5,4.0,0.8,86.0,,,,,,,,212,0.007,3m,3.5,4.0,1.4,948,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
48,48,2.000264253632214,2025-06-15 00:24:26.784164,2025-06-15 00:24:29.352042,0 days 00:00:02.567878,,,,,,,,,,,,,,,,,,,,,,160.0,0.006,1m,2.5,2.5,1.1,312.0,900.0,0.002,2m,1.0,3.0,1.3,378.0,200.0,0.003,3m,1.0,4.0,0.8,478.0,,,,,,,,306,0.008,2m,3.0,3.5,1.9000000000000001,848,,,,,,,,442.0,0.01,4m,3.5,1.0,1.1,376.0,0.2,5,COMPLETE
49,49,-2.252221626633445,2025-06-15 00:24:30.147421,2025-06-15 00:24:32.161821,0 days 00:00:02.014400,,,,,,,,,,,,,,,,,,,,,,302.0,0.005,3m,1.0,1.0,2.0,788.0,596.0,0.003,1m,1.5,3.0,1.8,712.0,138.0,0.004,3m,1.5,3.5,1.1,378.0,,,,,,,,254,0.007,2m,4.0,4.0,1.5,726,,,,,,,,,,,,,,,0.3,4,COMPLETE
50,50,-100.0,2025-06-15 00:24:32.222328,2025-06-15 00:24:33.901334,0 days 00:00:01.679006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682.0,0.002,2m,3.5,3.0,1.6,820.0,90.0,0.005,1m,2.5,4.0,1.2000000000000002,548.0,,,,,,,,128,0.009000000000000001,2m,3.5,3.5,1.9000000000000001,540,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
51,51,1.3096211874707087,2025-06-15 00:24:34.000849,2025-06-15 00:24:35.532073,0 days 00:00:01.531224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772.0,0.002,2m,1.0,2.5,1.6,526.0,66.0,0.003,3m,2.0,4.0,1.0,148.0,,,,,,,,230,0.007,2m,3.5,4.0,1.5,862,,,,,,,,,,,,,,,0.2,3,COMPLETE
52,52,5.578499295040184,2025-06-15 00:24:35.581077,2025-06-15 00:24:37.282487,0 days 00:00:01.701410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708.0,0.001,2m,1.0,2.5,1.5,460.0,132.0,0.003,3m,2.0,4.0,1.0,1022.0,,,,,,,,66,0.007,2m,3.5,4.0,1.7000000000000002,900,,,,,,,,,,,,,,,0.2,3,COMPLETE
53,53,6.416902746419785,2025-06-15 00:24:37.345003,2025-06-15 00:24:39.494921,0 days 00:00:02.149918,,,,,,,,,,,,,,,,,,,,,,64.0,0.007,4m,1.5,1.5,1.2000000000000002,194.0,580.0,0.002,2m,1.0,2.0,1.3,572.0,238.0,0.003,3m,1.5,3.5,0.9,56.0,,,,,,,,174,0.006,2m,3.0,4.0,1.6,788,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
54,54,-4.02507530529655,2025-06-15 00:24:39.558916,2025-06-15 00:24:40.540229,0 days 00:00:00.981313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.0,0.004,4m,2.0,4.0,1.1,200.0,,,,,,,,256,0.008,2m,4.0,3.5,1.5,824,,,,,,,,,,,,,,,0.1,2,COMPLETE
55,55,5.652667822154399,2025-06-15 00:24:40.599738,2025-06-15 00:24:43.873900,0 days 00:00:03.274162,,,,,,,,,,,,,,,,,,,,,,198.0,0.002,1m,4.0,3.5,0.8,554.0,494.0,0.003,2m,1.0,3.5,1.7000000000000002,498.0,374.0,0.002,2m,2.5,3.5,1.4,420.0,568.0,0.009000000000000001,3m,4.0,2.0,1.5,1024.0,318,0.007,4m,3.5,4.0,1.8,952,,,,,,,,126.0,0.004,1m,3.0,1.5,1.7000000000000002,598.0,0.25,6,COMPLETE
56,56,-4.245961690971794,2025-06-15 00:24:43.938417,2025-06-15 00:24:44.569026,0 days 00:00:00.630609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432,0.01,2m,3.0,4.0,1.7000000000000002,716,,,,,,,,,,,,,,,0.25,1,COMPLETE
57,57,-0.8035930610832647,2025-06-15 00:24:44.644537,2025-06-15 00:24:48.378935,0 days 00:00:03.734398,,,,,,,,,,,,,,,52.0,0.001,3m,1.0,3.5,0.5,284.0,394.0,0.006,2m,2.5,1.5,1.8,418.0,392.0,0.001,4m,1.5,3.0,1.6,424.0,16.0,0.001,3m,2.0,4.0,0.8,274.0,402.0,0.003,2m,2.0,2.5,0.7,232.0,164,0.008,3m,3.5,3.5,1.6,674,,,,,,,,682.0,0.006,2m,2.5,1.0,1.5,26.0,0.2,7,COMPLETE
58,58,6.35111666761573,2025-06-15 00:24:48.462442,2025-06-15 00:24:51.344003,0 days 00:00:02.881561,,,,,,,,,,,,,,,,,,,,,,608.0,0.008,1m,2.0,1.0,0.6,848.0,760.0,0.006,2m,1.0,2.5,1.4,244.0,288.0,0.003,3m,3.5,1.0,1.0,160.0,,,,,,,,100,0.007,2m,4.0,3.5,1.4,238,,,,,,,,270.0,0.009000000000000001,2m,3.5,1.5,1.8,936.0,0.3,5,COMPLETE
59,59,7.008885707355482,2025-06-15 00:24:51.413022,2025-06-15 00:24:53.522675,0 days 00:00:02.109653,,,,,,,,,,,,,,,,,,,,,,868.0,0.005,2m,3.0,2.5,1.0,294.0,630.0,0.002,2m,1.5,3.0,1.2000000000000002,532.0,84.0,0.004,2m,1.5,1.5,0.9,568.0,,,,,,,,214,0.006,2m,3.0,4.0,1.5,876,,,,,,,,,,,,,,,0.2,4,COMPLETE
60,60,1.6473118429494384,2025-06-15 00:24:53.580681,2025-06-15 00:24:55.339622,0 days 00:00:01.758941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.0,0.002,3m,1.0,2.5,0.5,584.0,210.0,0.005,4m,2.0,3.5,0.7,232.0,,,,,,,,66,0.009000000000000001,2m,1.0,4.0,1.8,834,,,,,,,,,,,,,,,0.4,3,COMPLETE
61,61,9.163200083767642,2025-06-15 00:24:55.424651,2025-06-15 00:24:57.659074,0 days 00:00:02.234423,,,,,,,,,,,,,,,,,,,,,,678.0,0.003,2m,3.0,1.5,1.2000000000000002,730.0,544.0,0.003,2m,1.0,2.5,1.7000000000000002,360.0,486.0,0.002,1m,2.0,3.5,0.6,342.0,,,,,,,,504,0.006,2m,2.0,2.5,1.2000000000000002,990,,,,,,,,,,,,,,,0.25,4,COMPLETE
62,62,7.682979914147383,2025-06-15 00:24:57.730587,2025-06-15 00:24:59.460375,0 days 00:00:01.729788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560.0,0.003,2m,1.0,2.5,1.8,368.0,558.0,0.002,1m,1.5,3.0,0.6,348.0,,,,,,,,490,0.006,2m,2.0,1.5,1.2000000000000002,976,,,,,,,,,,,,,,,0.25,3,COMPLETE
63,63,10.608381144426176,2025-06-15 00:24:59.516887,2025-06-15 00:25:01.788298,0 days 00:00:02.271411,,,,,,,,,,,,,,,,,,,,,,650.0,0.002,2m,3.5,1.5,1.4,732.0,700.0,0.003,2m,1.0,3.0,1.7000000000000002,440.0,494.0,0.002,1m,2.5,3.5,0.7,116.0,,,,,,,,602,0.006,2m,1.5,3.0,1.3,910,,,,,,,,,,,,,,,0.25,4,COMPLETE
64,64,7.797138950789453,2025-06-15 00:25:01.831807,2025-06-15 00:25:03.879656,0 days 00:00:02.047849,,,,,,,,,,,,,,,,,,,,,,668.0,0.002,2m,3.5,1.5,1.2000000000000002,620.0,542.0,0.004,2m,1.5,3.0,1.7000000000000002,426.0,506.0,0.001,1m,2.5,3.5,0.7,96.0,,,,,,,,604,0.006,2m,1.5,3.0,1.3,918,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
65,65,9.865199108720264,2025-06-15 00:25:03.968168,2025-06-15 00:25:06.578061,0 days 00:00:02.609893,,,,,,,,,,,,,,,,,,,,,,542.0,0.001,2m,3.0,1.5,1.4,908.0,486.0,0.003,2m,1.0,3.5,2.0,312.0,484.0,0.002,1m,2.5,3.5,0.6,320.0,,,,,,,,680,0.005,2m,1.5,2.5,1.0,976,,,,,,,,120.0,0.002,4m,1.0,2.5,1.6,780.0,0.25,5,COMPLETE
66,66,2.543306417155404,2025-06-15 00:25:06.644578,2025-06-15 00:25:09.365678,0 days 00:00:02.721100,,,,,,,,,,,,,,,,,,,,,,554.0,0.001,2m,3.0,1.5,1.4,880.0,482.0,0.003,2m,3.0,3.5,2.0,230.0,476.0,0.002,1m,2.5,3.5,0.6,448.0,,,,,,,,690,0.004,2m,1.5,2.5,1.0,998,,,,,,,,100.0,0.002,4m,1.0,3.0,1.6,780.0,0.25,5,COMPLETE
67,67,7.263174695854283,2025-06-15 00:25:09.437194,2025-06-15 00:25:12.489533,0 days 00:00:03.052339,,,,,,,,,,,,,,,,,,,,,,620.0,0.001,2m,3.5,1.5,1.5,742.0,414.0,0.005,2m,1.0,3.5,1.9000000000000001,322.0,394.0,0.001,1m,2.5,3.0,0.7,396.0,116.0,0.006,4m,2.5,3.0,0.5,442.0,594,0.005,4m,2.0,2.0,0.9,978,,,,,,,,16.0,0.003,4m,1.5,2.5,1.3,642.0,0.3,6,COMPLETE
68,68,2.5261360415899725,2025-06-15 00:25:12.566044,2025-06-15 00:25:15.291697,0 days 00:00:02.725653,,,,,,,,,,,,,,,,,,,,,,438.0,0.002,2m,3.0,1.0,1.5,828.0,522.0,0.004,3m,1.5,3.5,2.0,376.0,476.0,0.002,1m,2.5,3.5,0.6,314.0,,,,,,,,734,0.005,2m,1.0,3.0,1.2000000000000002,958,,,,,,,,390.0,0.002,4m,1.5,4.0,1.5,906.0,0.25,5,COMPLETE
69,69,6.2022200694082334,2025-06-15 00:25:15.360209,2025-06-15 00:25:18.551059,0 days 00:00:03.190850,,,,,,,,,,,,,,,,,,,,,,790.0,0.003,2m,3.5,1.5,1.3,908.0,434.0,0.003,2m,1.0,4.0,1.8,276.0,620.0,0.002,1m,3.0,3.0,0.7,630.0,718.0,0.008,2m,3.5,2.0,1.5,574.0,1018,0.004,3m,1.5,2.5,0.9,904,,,,,,,,136.0,0.004,4m,2.5,2.5,1.7000000000000002,958.0,0.3,6,COMPLETE
70,70,-1.6964476351904223,2025-06-15 00:25:18.619574,2025-06-15 00:25:20.792183,0 days 00:00:02.172609,,,,,,,,,,,,,,,,,,,,,,640.0,0.002,2m,3.0,1.0,1.6,660.0,378.0,0.004,1m,1.5,4.0,1.9000000000000001,174.0,316.0,0.001,1m,3.0,3.5,0.8,528.0,,,,,,,,704,0.006,2m,2.0,2.0,1.1,780,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
71,71,8.71979539166359,2025-06-15 00:25:20.858710,2025-06-15 00:25:23.237936,0 days 00:00:02.379226,,,,,,,,,,,,,,,,,,,,,,546.0,0.003,2m,4.0,1.5,1.7000000000000002,936.0,666.0,0.003,2m,1.0,3.0,1.7000000000000002,450.0,578.0,0.002,1m,2.5,3.5,0.8,52.0,,,,,,,,622,0.006,2m,1.5,2.5,0.8,894,,,,,,,,,,,,,,,0.25,4,COMPLETE
72,72,5.1525315780752345,2025-06-15 00:25:23.325456,2025-06-15 00:25:26.013079,0 days 00:00:02.687623,,,,,,,,,,,,,,,,,,,,,,548.0,0.003,2m,4.0,1.5,1.7000000000000002,936.0,676.0,0.003,2m,1.0,2.0,1.7000000000000002,458.0,592.0,0.002,1m,2.5,3.5,0.8,114.0,,,,,,,,810,0.005,2m,1.5,2.5,0.7,948,,,,,,,,270.0,0.006,4m,1.0,1.0,1.1,698.0,0.25,5,COMPLETE
73,73,7.455124152951548,2025-06-15 00:25:26.107596,2025-06-15 00:25:28.343167,0 days 00:00:02.235571,,,,,,,,,,,,,,,,,,,,,,484.0,0.004,2m,4.0,1.5,1.8,822.0,630.0,0.003,2m,1.0,2.5,1.8,344.0,678.0,0.002,1m,2.5,3.0,0.6,16.0,,,,,,,,626,0.006,2m,1.0,2.5,0.8,1016,,,,,,,,,,,,,,,0.3,4,COMPLETE
74,74,7.963724321601317,2025-06-15 00:25:28.417204,2025-06-15 00:25:30.577920,0 days 00:00:02.160716,,,,,,,,,,,,,,,,,,,,,,710.0,0.001,2m,3.5,2.0,1.3,1022.0,474.0,0.004,2m,1.0,3.0,1.9000000000000001,278.0,520.0,0.002,1m,2.5,3.5,0.7,328.0,,,,,,,,572,0.005,2m,1.5,3.0,1.0,906,,,,,,,,,,,,,,,0.25,4,COMPLETE
75,75,-0.18122185757485107,2025-06-15 00:25:30.650317,2025-06-15 00:25:33.280969,0 days 00:00:02.630652,,,,,,,,,,,,,,,,,,,,,,414.0,0.003,2m,4.0,1.5,1.1,582.0,560.0,0.005,4m,1.0,3.5,2.0,440.0,562.0,0.001,1m,2.5,3.5,0.8,64.0,,,,,,,,826,0.006,2m,2.0,2.5,0.6,824,,,,,,,,68.0,0.007,1m,2.5,1.5,1.4,788.0,0.3,5,COMPLETE
76,76,10.208712135343397,2025-06-15 00:25:33.352493,2025-06-15 00:25:35.520722,0 days 00:00:02.168229,,,,,,,,,,,,,,,,,,,,,,334.0,0.002,2m,2.5,1.0,1.4,742.0,516.0,0.003,2m,1.5,2.5,1.7000000000000002,314.0,462.0,0.003,1m,4.0,3.5,1.7000000000000002,424.0,,,,,,,,510,0.006,2m,1.5,3.0,0.8,992,,,,,,,,,,,,,,,0.25,4,COMPLETE
77,77,5.768839541730944,2025-06-15 00:25:35.592728,2025-06-15 00:25:39.201970,0 days 00:00:03.609242,,,,,,,,,,,,,,,238.0,0.004,1m,2.0,3.5,0.8,806.0,316.0,0.002,2m,2.5,1.0,1.4,968.0,610.0,0.003,2m,1.5,2.5,1.7000000000000002,920.0,466.0,0.002,1m,3.5,3.0,1.8,256.0,506.0,0.004,4m,3.5,1.5,0.8,824.0,476,0.005,2m,1.5,3.0,0.7,990,,,,,,,,424.0,0.005,4m,3.5,2.0,1.8,534.0,0.25,7,COMPLETE
78,78,1.2104549940700722,2025-06-15 00:25:39.305489,2025-06-15 00:25:41.402674,0 days 00:00:02.097185,,,,,,,,,,,,,,,,,,,,,,552.0,0.003,2m,2.5,1.5,1.6,746.0,528.0,0.004,2m,2.5,2.5,1.9000000000000001,308.0,392.0,0.003,1m,4.0,2.5,0.5,298.0,,,,,,,,526,0.006,2m,1.5,2.5,0.9,940,,,,,,,,,,,,,,,0.25,4,COMPLETE
79,79,2.8526048315359906,2025-06-15 00:25:41.475718,2025-06-15 00:25:44.122003,0 days 00:00:02.646285,,,,,,,,,,,,,,,,,,,,,,340.0,0.001,2m,2.5,1.0,1.5,700.0,674.0,0.004,2m,1.5,2.5,1.8,492.0,512.0,0.002,1m,4.0,3.5,1.6,420.0,,,,,,,,424,0.006,2m,1.5,3.0,0.8,1024,,,,,,,,516.0,0.006,2m,2.0,3.0,1.2000000000000002,416.0,0.3,5,COMPLETE
80,80,6.4330336338566685,2025-06-15 00:25:44.196002,2025-06-15 00:25:47.434290,0 days 00:00:03.238288,,,,,,,,,,,,,,,,,,,,,,474.0,0.002,4m,3.0,2.0,1.3,668.0,442.0,0.003,2m,1.0,2.0,1.7000000000000002,236.0,542.0,0.001,1m,3.0,2.5,1.9000000000000001,350.0,16.0,0.008,3m,2.5,2.5,1.2000000000000002,604.0,634,0.004,2m,1.0,3.0,1.1,438,,,,,,,,272.0,0.003,3m,1.5,2.5,1.6,146.0,0.25,6,COMPLETE
81,81,8.812086984660072,2025-06-15 00:25:47.508297,2025-06-15 00:25:49.641844,0 days 00:00:02.133547,,,,,,,,,,,,,,,,,,,,,,638.0,0.004,2m,3.5,1.5,1.2000000000000002,748.0,576.0,0.003,2m,1.0,3.0,1.6,402.0,452.0,0.003,1m,2.0,3.5,0.6,474.0,,,,,,,,510,0.005,2m,1.5,2.5,0.8,968,,,,,,,,,,,,,,,0.25,4,COMPLETE
82,82,5.854964731546361,2025-06-15 00:25:49.710848,2025-06-15 00:25:51.961026,0 days 00:00:02.250178,,,,,,,,,,,,,,,,,,,,,,644.0,0.003,2m,3.5,1.5,1.2000000000000002,766.0,574.0,0.003,2m,1.0,2.5,0.8,352.0,452.0,0.003,1m,2.0,3.5,0.6,442.0,,,,,,,,508,0.005,2m,2.0,2.5,0.8,974,,,,,,,,,,,,,,,0.25,4,COMPLETE
83,83,6.200932697301242,2025-06-15 00:25:52.043193,2025-06-15 00:25:54.190061,0 days 00:00:02.146868,,,,,,,,,,,,,,,,,,,,,,692.0,0.004,2m,3.5,1.5,1.4,604.0,478.0,0.008,2m,1.0,3.0,1.5,396.0,410.0,0.003,1m,2.0,3.5,0.5,468.0,,,,,,,,662,0.005,2m,1.5,2.5,0.6,928,,,,,,,,,,,,,,,0.25,4,COMPLETE
84,84,4.36961508816529,2025-06-15 00:25:54.253583,2025-06-15 00:25:56.861827,0 days 00:00:02.608244,,,,,,,,,,,,,,,,,,,,,,580.0,0.004,2m,3.5,1.5,1.2000000000000002,730.0,616.0,0.006,2m,1.0,3.0,1.7000000000000002,310.0,500.0,0.002,1m,2.0,3.5,0.7,384.0,,,,,,,,552,0.006,2m,2.5,2.0,0.7,968,,,,,,,,58.0,0.007,2m,3.0,1.0,1.0,964.0,0.3,5,COMPLETE
85,85,-7.92969556259238,2025-06-15 00:25:56.932850,2025-06-15 00:26:00.019482,0 days 00:00:03.086632,,,,,,,,,,,,,,,,,,,,,,776.0,0.005,2m,3.0,2.0,1.0,912.0,654.0,0.003,3m,1.5,2.5,1.8,444.0,574.0,0.003,1m,4.0,3.0,0.6,50.0,350.0,0.003,1m,2.0,3.0,0.8,452.0,450,0.004,4m,1.5,2.5,0.9,894,,,,,,,,476.0,0.002,1m,2.0,3.5,1.5,882.0,0.25,6,COMPLETE
