,number,value,datetime_start,datetime_complete,duration,params_CMCSA_TSLA_beta_win,params_CMCSA_TSLA_stop_loss,params_CMCSA_TSLA_trade_freq,params_CMCSA_TSLA_z_entry,params_CMCSA_TSLA_z_exit,params_CMCSA_TSLA_z_stop_scaler,params_CMCSA_TSLA_z_win,params_COST_GILD_beta_win,params_COST_GILD_stop_loss,params_COST_GILD_trade_freq,params_COST_GILD_z_entry,params_COST_GILD_z_exit,params_COST_GILD_z_stop_scaler,params_COST_GILD_z_win,params_CPRT_ISRG_beta_win,params_CPRT_ISRG_stop_loss,params_CPRT_ISRG_trade_freq,params_CPRT_ISRG_z_entry,params_CPRT_ISRG_z_exit,params_CPRT_ISRG_z_stop_scaler,params_CPRT_ISRG_z_win,params_FAST_PCAR_beta_win,params_FAST_PCAR_stop_loss,params_FAST_PCAR_trade_freq,params_FAST_PCAR_z_entry,params_FAST_PCAR_z_exit,params_FAST_PCAR_z_stop_scaler,params_FAST_PCAR_z_win,params_INTC_MU_beta_win,params_INTC_MU_stop_loss,params_INTC_MU_trade_freq,params_INTC_MU_z_entry,params_INTC_MU_z_exit,params_INTC_MU_z_stop_scaler,params_INTC_MU_z_win,params_ISRG_PCAR_beta_win,params_ISRG_PCAR_stop_loss,params_ISRG_PCAR_trade_freq,params_ISRG_PCAR_z_entry,params_ISRG_PCAR_z_exit,params_ISRG_PCAR_z_stop_scaler,params_ISRG_PCAR_z_win,params_MAR_QCOM_beta_win,params_MAR_QCOM_stop_loss,params_MAR_QCOM_trade_freq,params_MAR_QCOM_z_entry,params_MAR_QCOM_z_exit,params_MAR_QCOM_z_stop_scaler,params_MAR_QCOM_z_win,params_MELI_TSLA_beta_win,params_MELI_TSLA_stop_loss,params_MELI_TSLA_trade_freq,params_MELI_TSLA_z_entry,params_MELI_TSLA_z_exit,params_MELI_TSLA_z_stop_scaler,params_MELI_TSLA_z_win,params_ORLY_PCAR_beta_win,params_ORLY_PCAR_stop_loss,params_ORLY_PCAR_trade_freq,params_ORLY_PCAR_z_entry,params_ORLY_PCAR_z_exit,params_ORLY_PCAR_z_stop_scaler,params_ORLY_PCAR_z_win,params_PAYX_PCAR_beta_win,params_PAYX_PCAR_stop_loss,params_PAYX_PCAR_trade_freq,params_PAYX_PCAR_z_entry,params_PAYX_PCAR_z_exit,params_PAYX_PCAR_z_stop_scaler,params_PAYX_PCAR_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-4.607430474543398,2025-06-15 00:22:36.806627,2025-06-15 00:22:45.986273,0 days 00:00:09.179646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660,0.006,1m,1.0,4.0,1.5,968,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
11,11,0.18846606139399458,2025-06-15 00:22:46.051277,2025-06-15 00:22:48.219026,0 days 00:00:02.167749,,,,,,,,,,,,,,,,,,,,,,450.0,0.01,2m,1.5,4.0,1.3,992.0,70.0,0.01,3m,1.5,1.0,1.4,92.0,524.0,0.007,2m,4.0,1.5,1.0,600.0,,,,,,,,636,0.007,1m,2.0,3.0,1.5,488,,,,,,,,534.0,0.01,3m,2.0,3.0,0.5,918.0,0.4,5,COMPLETE
12,12,-6.834954371206462,2025-06-15 00:22:48.298540,2025-06-15 00:22:51.015350,0 days 00:00:02.716810,,,,,,,,,,,,,,,,,,,,,,366.0,0.008,4m,2.0,2.5,1.3,570.0,268.0,0.004,2m,1.0,4.0,1.7000000000000002,160.0,572.0,0.008,4m,2.0,2.0,0.5,420.0,16.0,0.01,1m,4.0,1.5,0.5,78.0,578,0.01,1m,3.0,1.0,0.5,298,,,,,,,,348.0,0.005,3m,4.0,2.5,0.5,1004.0,0.25,6,COMPLETE
13,13,2.916840725356412,2025-06-15 00:22:51.091864,2025-06-15 00:22:52.928471,0 days 00:00:01.836607,,,,,,,,,,,,,,,,,,,,,,746.0,0.001,3m,2.5,1.0,1.5,418.0,342.0,0.005,4m,1.0,2.0,1.2000000000000002,206.0,700.0,0.005,1m,3.0,1.0,1.2000000000000002,708.0,,,,,,,,766,0.007,1m,2.0,3.5,1.2000000000000002,662,,,,,,,,,,,,,,,0.5,4,COMPLETE
14,14,-0.1515588705674285,2025-06-15 00:22:52.996534,2025-06-15 00:22:53.608838,0 days 00:00:00.612304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,0.005,1m,3.0,3.0,1.0,386,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
15,15,-2.973653447907082,2025-06-15 00:22:53.666203,2025-06-15 00:22:56.426368,0 days 00:00:02.760165,,,,,,,,,,,,,,,,,,,,,,234.0,0.009000000000000001,2m,1.0,3.0,0.9,776.0,410.0,0.01,3m,3.0,1.0,1.0,286.0,338.0,0.006,2m,4.0,2.0,2.0,322.0,700.0,0.001,3m,4.0,2.0,0.6,68.0,36,0.01,1m,1.5,1.0,1.6,168,,,,,,,,832.0,0.001,1m,1.0,4.0,0.9,754.0,0.05,6,COMPLETE
16,16,0.45102064775456335,2025-06-15 00:22:56.500896,2025-06-15 00:22:58.501498,0 days 00:00:02.000602,,,,,,,,,,,,,,,,,,,,,,740.0,0.008,4m,2.5,4.0,1.6,348.0,30.0,0.006,2m,1.5,2.0,1.4,1024.0,428.0,0.009000000000000001,4m,3.0,2.0,1.1,540.0,,,,,,,,182,0.007,1m,3.5,3.5,1.7000000000000002,804,,,,,,,,,,,,,,,0.4,4,COMPLETE
17,17,-0.6684927078443019,2025-06-15 00:22:58.569017,2025-06-15 00:23:02.160771,0 days 00:00:03.591754,,,,,,,,,,,,,,,974.0,0.01,1m,4.0,4.0,0.5,1002.0,336.0,0.01,3m,2.0,2.5,1.0,18.0,212.0,0.004,3m,3.0,4.0,0.8,744.0,776.0,0.008,2m,2.0,3.5,1.4,794.0,86.0,0.01,1m,2.5,2.5,0.9,932.0,782,0.001,1m,2.5,2.5,0.7,596,,,,,,,,322.0,0.008,2m,2.0,2.0,0.8,684.0,0.3,7,COMPLETE
18,18,-0.5824098965578902,2025-06-15 00:23:02.237770,2025-06-15 00:23:03.439365,0 days 00:00:01.201595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012.0,0.005,4m,3.5,2.5,0.9,608.0,,,,,,,,454,0.008,2m,1.5,3.5,1.1,428,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
19,19,7.920521795836784,2025-06-15 00:23:03.508879,2025-06-15 00:23:05.500434,0 days 00:00:01.991555,,,,,,,,,,,,,,,,,,,,,,676.0,0.003,2m,3.0,2.0,1.1,718.0,546.0,0.007,2m,2.0,2.5,1.7000000000000002,336.0,652.0,0.002,1m,2.0,3.5,0.5,236.0,,,,,,,,536,0.006,1m,2.5,2.5,1.3,1000,,,,,,,,,,,,,,,0.25,4,COMPLETE
