,number,value,datetime_start,datetime_complete,duration,params_AEP_AMGN_beta_win,params_AEP_AMGN_stop_loss,params_AEP_AMGN_trade_freq,params_AEP_AMGN_z_entry,params_AEP_AMGN_z_exit,params_AEP_AMGN_z_stop_scaler,params_AEP_AMGN_z_win,params_AMD_NTES_beta_win,params_AMD_NTES_stop_loss,params_AMD_NTES_trade_freq,params_AMD_NTES_z_entry,params_AMD_NTES_z_exit,params_AMD_NTES_z_stop_scaler,params_AMD_NTES_z_win,params_AMGN_JD_beta_win,params_AMGN_JD_stop_loss,params_AMGN_JD_trade_freq,params_AMGN_JD_z_entry,params_AMGN_JD_z_exit,params_AMGN_JD_z_stop_scaler,params_AMGN_JD_z_win,params_AMZN_TXN_beta_win,params_AMZN_TXN_stop_loss,params_AMZN_TXN_trade_freq,params_AMZN_TXN_z_entry,params_AMZN_TXN_z_exit,params_AMZN_TXN_z_stop_scaler,params_AMZN_TXN_z_win,params_ATVI_MCHP_beta_win,params_ATVI_MCHP_stop_loss,params_ATVI_MCHP_trade_freq,params_ATVI_MCHP_z_entry,params_ATVI_MCHP_z_exit,params_ATVI_MCHP_z_stop_scaler,params_ATVI_MCHP_z_win,params_CDNS_GOOGL_beta_win,params_CDNS_GOOGL_stop_loss,params_CDNS_GOOGL_trade_freq,params_CDNS_GOOGL_z_entry,params_CDNS_GOOGL_z_exit,params_CDNS_GOOGL_z_stop_scaler,params_CDNS_GOOGL_z_win,params_DDOG_GOOGL_beta_win,params_DDOG_GOOGL_stop_loss,params_DDOG_GOOGL_trade_freq,params_DDOG_GOOGL_z_entry,params_DDOG_GOOGL_z_exit,params_DDOG_GOOGL_z_stop_scaler,params_DDOG_GOOGL_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_MDLZ_TXN_beta_win,params_MDLZ_TXN_stop_loss,params_MDLZ_TXN_trade_freq,params_MDLZ_TXN_z_entry,params_MDLZ_TXN_z_exit,params_MDLZ_TXN_z_stop_scaler,params_MDLZ_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
99,99,4.1648492560525785,2025-06-15 00:44:22.320792,2025-06-15 00:44:27.585158,0 days 00:00:05.264366,272.0,0.001,1m,2.0,4.0,0.5,966.0,516.0,0.003,4m,3.5,4.0,1.0,140.0,1024.0,0.006,2m,3.5,3.0,1.1,446.0,60.0,0.002,4m,2.0,1.0,0.7,44.0,802.0,0.008,1m,2.5,3.5,1.5,430.0,856.0,0.009000000000000001,2m,3.5,2.5,1.1,284.0,482.0,0.001,2m,1.5,1.0,1.9000000000000001,810.0,992,0.002,3m,3.0,1.5,0.6,116,318.0,0.006,1m,4.0,2.5,0.5,292.0,926.0,0.007,2m,2.0,1.0,0.8,708.0,0.45,10,COMPLETE
100,100,3.0914136967634858,2025-06-15 00:44:27.680665,2025-06-15 00:44:32.743940,0 days 00:00:05.063275,184.0,0.001,1m,3.0,3.5,0.6,748.0,540.0,0.004,1m,3.0,3.5,1.4,366.0,984.0,0.007,2m,3.5,2.5,1.0,408.0,140.0,0.001,4m,2.0,1.5,0.6,146.0,860.0,0.007,3m,2.5,3.0,1.3,554.0,686.0,0.01,2m,4.0,2.5,1.3,300.0,558.0,0.001,2m,1.5,1.0,1.6,938.0,940,0.001,3m,2.5,1.5,0.6,90,460.0,0.002,4m,4.0,2.5,0.6,102.0,972.0,0.007,3m,1.5,1.5,0.7,666.0,0.35000000000000003,10,COMPLETE
101,101,7.262658147432005,2025-06-15 00:44:32.826455,2025-06-15 00:44:37.908143,0 days 00:00:05.081688,318.0,0.002,1m,2.5,4.0,0.9,866.0,628.0,0.002,4m,4.0,4.0,1.2000000000000002,244.0,930.0,0.008,2m,3.0,3.0,0.9,996.0,90.0,0.001,4m,2.0,1.5,0.5,96.0,764.0,0.006,3m,3.0,3.5,1.5,332.0,972.0,0.007,2m,3.5,1.5,1.1,142.0,708.0,0.001,2m,4.0,1.0,1.8,894.0,846,0.003,3m,2.0,2.0,0.7,64,392.0,0.003,4m,4.0,2.0,0.6,192.0,910.0,0.008,3m,2.0,1.0,0.8,842.0,0.4,10,COMPLETE
102,102,5.0282518858271255,2025-06-15 00:44:38.004655,2025-06-15 00:44:43.197137,0 days 00:00:05.192482,372.0,0.001,1m,2.5,4.0,0.7,894.0,654.0,0.003,4m,4.0,4.0,1.1,156.0,894.0,0.008,2m,4.0,3.5,0.9,632.0,40.0,0.001,4m,2.5,1.5,0.6,222.0,876.0,0.006,3m,3.0,3.5,1.5,494.0,888.0,0.005,2m,3.5,1.5,1.0,372.0,600.0,0.001,2m,1.0,1.0,1.9000000000000001,1000.0,792,0.003,3m,2.0,2.5,0.9,36,382.0,0.003,4m,4.0,3.0,0.5,164.0,1002.0,0.008,3m,2.0,1.0,0.8,798.0,0.3,10,COMPLETE
103,103,3.159616791452328,2025-06-15 00:44:43.302184,2025-06-15 00:44:48.565577,0 days 00:00:05.263393,418.0,0.002,1m,2.5,4.0,0.6,826.0,580.0,0.002,4m,4.0,4.0,1.3,202.0,948.0,0.009000000000000001,2m,4.0,3.5,0.8,954.0,98.0,0.002,4m,2.0,2.0,0.6,16.0,920.0,0.005,3m,2.5,4.0,1.7000000000000002,374.0,224.0,0.009000000000000001,2m,4.0,2.0,0.9,182.0,634.0,0.01,2m,4.0,1.0,1.8,918.0,894,0.002,3m,2.0,2.0,0.8,72,350.0,0.003,3m,4.0,3.0,0.7,224.0,940.0,0.01,3m,2.5,1.0,0.9,762.0,0.3,10,COMPLETE
104,104,4.161666528624895,2025-06-15 00:44:48.629103,2025-06-15 00:44:53.216895,0 days 00:00:04.587792,462.0,0.003,1m,2.5,4.0,1.1,772.0,596.0,0.003,4m,4.0,4.0,1.1,166.0,1004.0,0.006,2m,4.0,3.0,0.9,520.0,18.0,0.001,4m,2.0,1.5,0.5,174.0,1004.0,0.006,3m,3.0,3.5,1.6,406.0,,,,,,,,458.0,0.001,2m,4.0,1.0,1.7000000000000002,958.0,764,0.004,3m,3.0,2.0,0.6,244,534.0,0.003,3m,4.0,2.0,0.6,280.0,806.0,0.008,3m,2.0,1.0,1.0,828.0,0.3,9,COMPLETE
105,105,-1.7424822029013927,2025-06-15 00:44:53.309934,2025-06-15 00:44:58.308611,0 days 00:00:04.998677,440.0,0.001,1m,2.5,4.0,0.5,968.0,482.0,0.002,4m,4.0,4.0,0.9,34.0,972.0,0.009000000000000001,2m,4.0,3.5,1.0,882.0,76.0,0.001,4m,2.0,1.5,0.7,82.0,634.0,0.005,3m,2.5,3.0,1.4,458.0,994.0,0.006,2m,3.5,1.0,1.2000000000000002,248.0,764.0,0.002,2m,4.0,1.0,1.8,842.0,818,0.004,3m,2.5,1.5,0.7,174,426.0,0.002,3m,3.5,2.5,0.5,244.0,906.0,0.007,3m,1.5,1.0,0.7,798.0,0.25,10,COMPLETE
106,106,2.8746036783897653,2025-06-15 00:44:58.391615,2025-06-15 00:45:03.305509,0 days 00:00:04.913894,490.0,0.002,1m,3.0,4.0,0.8,906.0,714.0,0.004,4m,3.5,4.0,1.2000000000000002,276.0,860.0,0.008,2m,4.0,3.0,0.8,592.0,106.0,0.002,4m,2.0,1.5,0.5,142.0,824.0,0.007,3m,3.0,3.5,1.5,316.0,932.0,0.003,2m,3.0,1.5,1.1,56.0,610.0,0.001,2m,4.0,1.0,1.6,892.0,806,0.003,3m,2.0,1.5,0.7,118,588.0,0.004,4m,4.0,3.0,0.6,308.0,854.0,0.009000000000000001,3m,1.5,1.0,0.7,692.0,0.35000000000000003,10,COMPLETE
107,107,0.5637660662282599,2025-06-15 00:45:03.395031,2025-06-15 00:45:07.793903,0 days 00:00:04.398872,470.0,0.009000000000000001,1m,2.0,4.0,1.0,876.0,678.0,0.002,2m,1.0,4.0,1.4,90.0,908.0,0.007,2m,2.5,3.5,1.2000000000000002,1004.0,588.0,0.001,4m,2.5,1.0,0.8,68.0,462.0,0.006,3m,2.0,3.5,1.3,524.0,,,,,,,,652.0,0.001,2m,3.5,3.0,1.7000000000000002,1004.0,840,0.005,3m,1.5,2.0,0.8,340,278.0,0.003,3m,3.5,3.0,0.7,70.0,1008.0,0.008,1m,1.5,1.0,0.9,868.0,0.3,9,COMPLETE
108,108,4.363396463420842,2025-06-15 00:45:07.888294,2025-06-15 00:45:12.954157,0 days 00:00:05.065863,412.0,0.002,1m,2.5,3.5,0.7,938.0,548.0,0.001,4m,3.5,4.0,1.1,130.0,812.0,0.009000000000000001,2m,4.0,3.5,0.9,544.0,742.0,0.001,2m,2.0,1.5,0.7,248.0,970.0,0.004,4m,2.5,3.5,1.6,452.0,986.0,0.002,3m,4.0,2.0,0.9,156.0,380.0,0.002,3m,4.0,4.0,1.9000000000000001,966.0,924,0.002,3m,2.5,1.5,0.6,88,446.0,0.004,3m,4.0,3.5,0.7,170.0,98.0,0.007,3m,1.5,1.0,0.8,718.0,0.3,10,COMPLETE
109,109,4.533757423970807,2025-06-15 00:45:13.026668,2025-06-15 00:45:17.437670,0 days 00:00:04.411002,390.0,0.003,1m,2.5,4.0,0.5,810.0,504.0,0.002,4m,1.0,4.0,1.0,572.0,938.0,0.009000000000000001,2m,4.0,2.5,0.7,960.0,150.0,0.002,4m,1.5,2.0,0.6,112.0,902.0,0.008,3m,3.0,4.0,1.4,342.0,,,,,,,,686.0,0.004,2m,2.5,1.5,1.7000000000000002,934.0,1008,0.001,3m,2.0,1.5,0.6,54,490.0,0.002,3m,4.0,2.5,0.5,376.0,878.0,0.008,3m,2.0,1.5,0.7,896.0,0.15000000000000002,9,COMPLETE
110,110,0.9797405163201388,2025-06-15 00:45:17.537181,2025-06-15 00:45:22.655356,0 days 00:00:05.118175,332.0,0.001,1m,3.0,4.0,1.4,840.0,632.0,0.006,4m,1.5,3.5,1.2000000000000002,762.0,636.0,0.006,3m,3.5,4.0,0.7,926.0,42.0,0.005,4m,2.5,1.0,0.5,94.0,706.0,0.005,3m,2.5,3.0,1.2000000000000002,498.0,888.0,0.001,2m,3.5,2.0,1.3,560.0,734.0,0.009000000000000001,1m,2.0,2.5,1.8,78.0,962,0.004,2m,1.5,2.5,0.7,284,334.0,0.003,3m,3.5,2.5,0.6,324.0,974.0,0.007,3m,1.5,1.0,1.0,758.0,0.25,10,COMPLETE
111,111,3.774122840527294,2025-06-15 00:45:22.759385,2025-06-15 00:45:27.788004,0 days 00:00:05.028619,544.0,0.003,3m,2.5,4.0,0.6,882.0,48.0,0.001,4m,1.0,4.0,1.3,72.0,876.0,0.01,1m,4.0,4.0,1.0,962.0,210.0,0.001,4m,1.5,1.5,0.5,164.0,952.0,0.006,3m,3.0,3.5,1.7000000000000002,370.0,1006.0,0.001,4m,4.0,1.5,1.4,240.0,510.0,0.001,2m,4.0,1.5,1.8,974.0,888,0.005,3m,2.0,3.0,0.5,32,434.0,0.003,3m,4.0,3.0,0.6,250.0,990.0,0.006,3m,1.5,1.0,0.6,734.0,0.3,10,COMPLETE
112,112,4.706824091871038,2025-06-15 00:45:27.890516,2025-06-15 00:45:32.902787,0 days 00:00:05.012271,506.0,0.004,1m,1.0,4.0,0.9,752.0,160.0,0.001,4m,1.0,4.0,1.1,62.0,974.0,0.005,2m,4.0,4.0,0.8,496.0,72.0,0.001,3m,1.5,1.5,0.6,44.0,938.0,0.007,3m,1.5,3.5,1.4,394.0,1024.0,0.001,2m,4.0,2.5,1.0,106.0,564.0,0.001,2m,4.0,1.5,1.6,1002.0,766,0.005,1m,1.5,1.5,0.5,30,412.0,0.003,3m,3.5,3.5,0.6,206.0,952.0,0.006,3m,1.5,1.0,0.8,780.0,0.3,10,COMPLETE
113,113,7.404027535373027,2025-06-15 00:45:32.984298,2025-06-15 00:45:37.924419,0 days 00:00:04.940121,564.0,0.004,2m,3.5,4.0,0.5,774.0,592.0,0.001,4m,1.0,4.0,1.4,106.0,864.0,0.01,2m,4.0,4.0,0.6,1022.0,126.0,0.001,4m,1.5,1.5,0.5,140.0,876.0,0.006,3m,3.5,3.5,1.6,442.0,986.0,0.004,2m,3.0,2.0,1.1,980.0,414.0,0.001,2m,4.0,1.0,1.5,468.0,862,0.003,3m,1.5,1.5,0.6,16,376.0,0.003,3m,4.0,2.5,0.5,348.0,934.0,0.006,3m,1.5,1.0,0.7,644.0,0.3,10,COMPLETE
114,114,5.560896973095278,2025-06-15 00:45:38.027950,2025-06-15 00:45:43.179667,0 days 00:00:05.151717,566.0,0.004,2m,3.5,4.0,0.5,784.0,608.0,0.001,4m,1.0,1.0,1.3,914.0,890.0,0.01,2m,4.0,4.0,0.7,1020.0,122.0,0.001,4m,1.5,1.5,0.6,188.0,884.0,0.006,3m,3.5,3.5,1.6,438.0,948.0,0.002,2m,3.0,2.0,1.1,666.0,426.0,0.001,2m,4.0,1.0,1.4,464.0,936,0.003,3m,1.5,1.5,0.6,62,370.0,0.002,3m,4.0,2.5,0.5,352.0,926.0,0.006,3m,1.5,1.0,0.7,596.0,0.35000000000000003,10,COMPLETE
115,115,7.656410245296852,2025-06-15 00:45:43.267697,2025-06-15 00:45:48.260422,0 days 00:00:04.992725,606.0,0.003,2m,3.5,4.0,0.6,698.0,576.0,0.01,4m,1.0,4.0,1.4,178.0,948.0,0.008,2m,4.0,3.5,1.1,1000.0,40.0,0.001,4m,2.0,1.5,0.5,128.0,916.0,0.006,3m,3.0,3.5,1.8,486.0,982.0,0.003,2m,2.5,2.0,1.2000000000000002,400.0,616.0,0.001,2m,3.5,1.0,1.5,380.0,864,0.003,3m,1.5,1.5,0.6,150,462.0,0.003,3m,4.0,2.5,0.5,142.0,902.0,0.007,3m,2.0,1.0,0.7,654.0,0.3,10,COMPLETE
116,116,2.410892664021925,2025-06-15 00:45:48.373943,2025-06-15 00:45:53.665519,0 days 00:00:05.291576,596.0,0.003,2m,3.5,4.0,0.6,676.0,578.0,0.009000000000000001,3m,1.0,3.0,1.5,178.0,924.0,0.008,2m,4.0,3.5,1.1,990.0,34.0,0.001,4m,2.0,1.5,1.3,64.0,910.0,0.007,3m,3.0,3.0,1.8,476.0,896.0,0.002,2m,2.5,1.5,1.2000000000000002,402.0,618.0,0.002,2m,3.0,1.0,1.7000000000000002,910.0,804,0.004,3m,2.0,2.0,0.7,142,468.0,0.003,3m,4.0,2.0,0.5,182.0,832.0,0.007,4m,2.5,1.0,0.8,814.0,0.35000000000000003,10,COMPLETE
117,117,6.54577636310254,2025-06-15 00:45:53.785567,2025-06-15 00:45:56.491116,0 days 00:00:02.705549,444.0,0.002,2m,3.5,4.0,0.6,600.0,458.0,0.01,4m,1.0,4.0,1.0,228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870,0.002,3m,1.5,1.5,0.6,214,302.0,0.004,3m,4.0,2.5,0.7,126.0,886.0,0.007,3m,2.0,1.5,0.6,678.0,0.25,5,COMPLETE
118,118,5.351163724717377,2025-06-15 00:45:56.581634,2025-06-15 00:46:01.436974,0 days 00:00:04.855340,486.0,0.003,2m,3.0,3.5,1.3,720.0,520.0,0.01,4m,1.0,4.0,1.2000000000000002,36.0,1010.0,0.007,2m,3.5,3.5,0.9,456.0,70.0,0.001,4m,2.0,2.5,0.5,98.0,972.0,0.006,1m,3.0,4.0,1.9000000000000001,556.0,,,,,,,,708.0,0.006,2m,3.5,1.0,1.6,522.0,898,0.003,2m,1.5,4.0,0.5,184,176.0,0.002,4m,3.5,2.5,0.6,226.0,902.0,0.008,3m,3.5,3.0,1.9000000000000001,842.0,0.3,9,COMPLETE
119,119,2.940456870893581,2025-06-15 00:46:01.511974,2025-06-15 00:46:10.306824,0 days 00:00:08.794850,616.0,0.002,1m,4.0,4.0,0.7,846.0,744.0,0.01,4m,1.0,4.0,1.6,148.0,952.0,0.001,2m,4.0,3.5,1.2000000000000002,970.0,92.0,0.002,2m,2.0,2.0,0.5,338.0,1010.0,0.005,3m,3.0,3.5,1.3,416.0,832.0,0.003,3m,3.5,1.0,1.2000000000000002,468.0,636.0,0.001,3m,3.0,1.0,1.7000000000000002,1024.0,832,0.005,3m,1.5,2.0,0.7,100,566.0,0.003,3m,4.0,3.0,0.5,274.0,576.0,0.007,2m,2.0,1.0,0.8,658.0,0.3,10,COMPLETE
120,120,8.613503881044947,2025-06-15 00:46:10.437875,2025-06-15 00:46:15.964045,0 days 00:00:05.526170,516.0,0.003,1m,2.0,4.0,0.5,688.0,652.0,0.009000000000000001,4m,1.5,4.0,1.3,438.0,974.0,0.009000000000000001,2m,4.0,3.5,1.0,340.0,40.0,0.001,4m,2.0,1.5,0.6,124.0,930.0,0.006,3m,2.5,3.5,1.9000000000000001,506.0,,,,,,,,546.0,0.002,2m,3.5,1.5,1.2000000000000002,872.0,420,0.004,3m,2.0,1.5,0.6,122,500.0,0.004,3m,4.0,2.0,0.6,152.0,976.0,0.007,3m,2.0,1.0,0.7,140.0,0.25,9,COMPLETE
121,121,5.754401060590002,2025-06-15 00:46:16.038592,2025-06-15 00:46:20.646224,0 days 00:00:04.607632,540.0,0.003,1m,2.0,4.0,0.5,686.0,654.0,0.008,4m,1.5,4.0,1.3,518.0,974.0,0.009000000000000001,2m,4.0,3.5,1.0,344.0,38.0,0.001,4m,2.0,1.5,0.6,212.0,930.0,0.006,3m,2.5,3.5,1.9000000000000001,542.0,,,,,,,,588.0,0.002,2m,3.5,1.5,1.5,786.0,372,0.004,3m,2.0,3.5,0.6,126,500.0,0.004,3m,4.0,2.0,0.6,80.0,766.0,0.007,3m,2.0,2.5,0.7,68.0,0.25,9,COMPLETE
122,122,6.912274788457365,2025-06-15 00:46:20.713219,2025-06-15 00:46:24.630335,0 days 00:00:03.917116,516.0,0.003,1m,2.0,4.0,0.6,700.0,682.0,0.009000000000000001,4m,1.0,4.0,1.4,318.0,990.0,0.009000000000000001,2m,4.0,3.5,1.1,232.0,,,,,,,,998.0,0.006,3m,2.5,3.5,1.8,490.0,,,,,,,,530.0,0.001,2m,3.5,1.5,1.3,820.0,454,0.004,3m,2.0,1.5,0.5,152,458.0,0.005,3m,4.0,1.5,0.6,146.0,972.0,0.007,3m,2.0,1.0,0.7,210.0,0.2,8,COMPLETE
123,123,7.889647225161661,2025-06-15 00:46:24.705846,2025-06-15 00:46:29.605505,0 days 00:00:04.899659,600.0,0.002,1m,2.5,4.0,0.5,752.0,552.0,0.008,4m,2.0,4.0,1.2000000000000002,86.0,940.0,0.009000000000000001,2m,4.0,3.5,1.0,96.0,60.0,0.001,4m,2.0,1.5,0.7,124.0,842.0,0.007,3m,2.5,3.5,1.9000000000000001,360.0,740.0,0.001,2m,2.0,2.5,1.0,284.0,670.0,0.001,2m,4.0,1.5,1.8,210.0,298,0.009000000000000001,3m,2.0,1.5,0.6,54,400.0,0.003,3m,4.0,2.0,0.7,116.0,1004.0,0.008,3m,2.5,1.0,0.6,752.0,0.25,10,COMPLETE
124,124,0.9563996545520077,2025-06-15 00:46:29.685017,2025-06-15 00:46:31.300023,0 days 00:00:01.615006,634.0,0.003,1m,2.5,4.0,0.5,618.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,0.009000000000000001,3m,2.5,1.5,0.6,90,,,,,,,,1024.0,0.006,3m,2.5,1.0,0.6,748.0,0.25,3,COMPLETE
125,125,5.097435749396019,2025-06-15 00:46:31.391302,2025-06-15 00:46:36.576492,0 days 00:00:05.185190,596.0,0.003,1m,2.5,4.0,0.5,658.0,552.0,0.009000000000000001,4m,2.0,4.0,1.5,90.0,906.0,0.008,2m,4.0,3.0,1.1,134.0,16.0,0.001,4m,2.0,1.5,0.7,126.0,826.0,0.007,3m,2.5,3.0,1.9000000000000001,512.0,810.0,0.001,2m,2.0,2.5,1.1,318.0,662.0,0.003,2m,3.5,1.5,1.9000000000000001,316.0,288,0.01,3m,2.0,1.5,0.5,48,528.0,0.006,3m,4.0,2.0,0.8,116.0,990.0,0.007,3m,2.5,1.0,0.5,148.0,0.2,10,COMPLETE
126,126,4.054560063289092,2025-06-15 00:46:36.663016,2025-06-15 00:46:41.206920,0 days 00:00:04.543904,662.0,0.004,3m,2.0,4.0,0.6,560.0,506.0,0.008,4m,2.0,4.0,1.3,468.0,836.0,0.009000000000000001,1m,4.0,3.5,1.0,270.0,50.0,0.006,4m,3.0,1.5,0.5,796.0,846.0,0.007,3m,2.5,2.5,2.0,296.0,,,,,,,,480.0,0.001,2m,3.0,1.5,1.1,222.0,316,0.009000000000000001,2m,2.0,1.5,0.6,106,474.0,0.004,2m,3.5,2.0,0.7,94.0,1006.0,0.006,3m,3.0,1.0,0.6,704.0,0.25,9,COMPLETE
127,127,-1.0957719536344843,2025-06-15 00:46:41.307942,2025-06-15 00:46:46.369342,0 days 00:00:05.061400,576.0,0.005,1m,2.5,3.5,0.5,732.0,218.0,0.009000000000000001,4m,2.0,4.0,1.2000000000000002,342.0,962.0,0.004,3m,3.5,4.0,1.1,76.0,64.0,0.002,3m,2.5,1.5,0.7,82.0,960.0,0.008,3m,2.0,3.5,1.9000000000000001,592.0,768.0,0.001,1m,2.0,3.0,1.4,266.0,694.0,0.002,1m,4.0,1.5,1.2000000000000002,380.0,410,0.005,3m,1.5,1.5,1.8,80,438.0,0.005,3m,4.0,2.0,1.6,132.0,958.0,0.007,3m,1.5,1.0,0.6,718.0,0.25,10,COMPLETE
128,128,2.4161795403156074,2025-06-15 00:46:46.452867,2025-06-15 00:46:51.859682,0 days 00:00:05.406815,546.0,0.004,2m,1.5,4.0,0.5,748.0,636.0,0.01,1m,1.5,4.0,1.1,70.0,580.0,0.008,2m,4.0,3.5,1.0,422.0,80.0,0.001,4m,2.0,1.0,0.6,38.0,866.0,0.004,3m,2.5,3.5,1.8,388.0,740.0,0.001,1m,2.5,2.0,0.8,368.0,550.0,0.001,2m,4.0,2.0,1.7000000000000002,164.0,216,0.005,1m,1.0,1.5,1.3,160,506.0,0.003,1m,4.0,1.5,0.8,26.0,980.0,0.008,3m,1.5,1.0,0.5,774.0,0.2,10,COMPLETE
129,129,7.093885172703538,2025-06-15 00:46:51.979973,2025-06-15 00:46:56.494682,0 days 00:00:04.514709,598.0,0.003,4m,2.0,3.5,0.6,492.0,570.0,0.007,4m,1.0,4.0,1.3,118.0,1000.0,0.009000000000000001,2m,4.0,2.5,1.2000000000000002,36.0,36.0,0.002,3m,2.0,2.0,0.8,112.0,938.0,0.005,4m,2.0,3.5,0.5,482.0,,,,,,,,594.0,0.001,4m,4.0,1.5,1.6,570.0,352,0.01,3m,1.5,1.5,0.5,48,758.0,0.004,3m,3.5,2.0,0.5,70.0,1006.0,0.009000000000000001,1m,2.0,1.0,0.7,274.0,0.25,9,COMPLETE
130,130,-0.41082233784166367,2025-06-15 00:46:56.580198,2025-06-15 00:47:00.363061,0 days 00:00:03.782863,506.0,0.002,1m,3.5,4.0,1.5,820.0,528.0,0.008,2m,1.5,3.5,1.4,432.0,926.0,0.009000000000000001,4m,4.0,4.0,0.9,390.0,,,,,,,,986.0,0.007,3m,1.0,3.5,2.0,368.0,,,,,,,,,,,,,,,496,0.009000000000000001,3m,3.0,1.5,0.5,128,424.0,0.003,3m,4.0,3.5,0.7,156.0,954.0,0.006,3m,3.0,1.0,0.6,628.0,0.3,7,COMPLETE
131,131,3.34029074666607,2025-06-15 00:47:00.431061,2025-06-15 00:47:05.428718,0 days 00:00:04.997657,466.0,0.002,1m,2.5,4.0,0.6,798.0,598.0,0.005,4m,1.0,4.0,1.2000000000000002,28.0,942.0,0.009000000000000001,2m,4.0,3.5,0.9,194.0,104.0,0.001,4m,2.0,1.5,0.6,166.0,902.0,0.006,3m,3.0,3.5,1.5,410.0,924.0,0.004,2m,2.5,1.5,1.0,174.0,668.0,0.001,2m,4.0,1.5,1.8,332.0,848,0.003,3m,2.0,1.5,0.6,64,400.0,0.003,3m,4.0,2.5,0.6,184.0,928.0,0.008,3m,2.0,1.0,0.8,792.0,0.3,10,COMPLETE
132,132,9.865016589819465,2025-06-15 00:47:05.513228,2025-06-15 00:47:10.641631,0 days 00:00:05.128403,524.0,0.001,1m,2.5,4.0,0.8,706.0,614.0,0.009000000000000001,4m,1.0,4.0,1.2000000000000002,176.0,700.0,0.009000000000000001,2m,4.0,3.5,1.0,1004.0,56.0,0.001,4m,2.0,1.5,0.5,132.0,920.0,0.006,3m,2.5,3.5,1.9000000000000001,332.0,992.0,0.002,2m,4.0,2.0,1.0,222.0,622.0,0.001,2m,4.0,2.0,1.8,874.0,252,0.003,3m,2.0,2.0,0.7,76,394.0,0.003,3m,4.0,3.0,0.6,254.0,974.0,0.008,3m,2.0,1.0,1.4,816.0,0.3,10,COMPLETE
133,133,8.741716500357038,2025-06-15 00:47:10.730143,2025-06-15 00:47:15.714291,0 days 00:00:04.984148,556.0,0.001,1m,2.5,4.0,0.7,634.0,580.0,0.009000000000000001,4m,1.0,4.0,1.2000000000000002,188.0,744.0,0.008,2m,4.0,3.5,1.0,1004.0,60.0,0.001,4m,2.0,1.5,0.5,64.0,924.0,0.007,3m,2.5,3.5,1.9000000000000001,86.0,944.0,0.001,2m,4.0,2.0,0.9,208.0,620.0,0.001,2m,4.0,2.0,1.8,850.0,246,0.004,3m,2.0,1.5,0.7,84,358.0,0.003,3m,4.0,3.0,0.5,260.0,974.0,0.009000000000000001,3m,2.0,1.0,1.4,740.0,0.3,10,COMPLETE
134,134,5.5113332741057555,2025-06-15 00:47:15.760809,2025-06-15 00:47:20.749357,0 days 00:00:04.988548,556.0,0.001,1m,2.5,4.0,1.0,656.0,654.0,0.009000000000000001,4m,1.0,4.0,1.2000000000000002,58.0,712.0,0.009000000000000001,2m,4.0,1.0,1.0,1006.0,158.0,0.001,4m,2.0,1.5,0.9,60.0,966.0,0.007,3m,2.5,3.5,1.9000000000000001,94.0,868.0,0.001,1m,4.0,2.5,0.8,228.0,570.0,0.001,2m,4.0,2.0,1.9000000000000001,952.0,140,0.004,3m,2.0,1.0,0.7,36,344.0,0.002,3m,4.0,3.0,0.6,250.0,978.0,0.009000000000000001,3m,1.5,1.0,1.5,740.0,0.3,10,COMPLETE
135,135,4.892730207960435,2025-06-15 00:47:20.828386,2025-06-15 00:47:25.740439,0 days 00:00:04.912053,524.0,0.001,1m,2.5,4.0,0.8,636.0,690.0,0.009000000000000001,4m,1.0,4.0,1.1,200.0,668.0,0.01,2m,4.0,3.0,1.0,982.0,64.0,0.001,3m,2.5,1.5,0.5,86.0,1024.0,0.007,3m,2.5,2.5,2.0,126.0,936.0,0.001,2m,4.0,2.0,0.9,266.0,998.0,0.002,4m,4.0,2.0,1.8,850.0,256,0.004,3m,2.0,1.5,0.8,82,354.0,0.003,3m,3.0,3.0,0.7,314.0,1006.0,0.009000000000000001,3m,2.0,2.0,1.4,760.0,0.3,10,COMPLETE
136,136,2.162299000823043,2025-06-15 00:47:25.840484,2025-06-15 00:47:30.983312,0 days 00:00:05.142828,574.0,0.001,1m,2.5,4.0,0.7,734.0,544.0,0.009000000000000001,4m,2.5,4.0,1.0,134.0,758.0,0.007,4m,3.0,3.5,1.0,326.0,84.0,0.001,4m,2.0,1.5,1.7000000000000002,26.0,936.0,0.008,3m,2.5,4.0,1.9000000000000001,44.0,948.0,0.002,1m,4.0,2.0,0.8,208.0,256.0,0.001,2m,4.0,2.5,1.8,926.0,218,0.005,2m,2.0,2.0,1.1,18,384.0,0.003,3m,4.0,3.0,0.5,266.0,1024.0,0.01,3m,1.5,1.0,1.4,812.0,0.25,10,COMPLETE
