,number,value,datetime_start,datetime_complete,duration,params_ADSK_DOCU_beta_win,params_ADSK_DOCU_stop_loss,params_ADSK_DOCU_trade_freq,params_ADSK_DOCU_z_entry,params_ADSK_DOCU_z_exit,params_ADSK_DOCU_z_stop_scaler,params_ADSK_DOCU_z_win,params_ALGN_DOCU_beta_win,params_ALGN_DOCU_stop_loss,params_ALGN_DOCU_trade_freq,params_ALGN_DOCU_z_entry,params_ALGN_DOCU_z_exit,params_ALGN_DOCU_z_stop_scaler,params_ALGN_DOCU_z_win,params_AMAT_DOCU_beta_win,params_AMAT_DOCU_stop_loss,params_AMAT_DOCU_trade_freq,params_AMAT_DOCU_z_entry,params_AMAT_DOCU_z_exit,params_AMAT_DOCU_z_stop_scaler,params_AMAT_DOCU_z_win,params_ANSS_DOCU_beta_win,params_ANSS_DOCU_stop_loss,params_ANSS_DOCU_trade_freq,params_ANSS_DOCU_z_entry,params_ANSS_DOCU_z_exit,params_ANSS_DOCU_z_stop_scaler,params_ANSS_DOCU_z_win,params_ASML_DOCU_beta_win,params_ASML_DOCU_stop_loss,params_ASML_DOCU_trade_freq,params_ASML_DOCU_z_entry,params_ASML_DOCU_z_exit,params_ASML_DOCU_z_stop_scaler,params_ASML_DOCU_z_win,params_BIIB_DOCU_beta_win,params_BIIB_DOCU_stop_loss,params_BIIB_DOCU_trade_freq,params_BIIB_DOCU_z_entry,params_BIIB_DOCU_z_exit,params_BIIB_DOCU_z_stop_scaler,params_BIIB_DOCU_z_win,params_CPRT_DOCU_beta_win,params_CPRT_DOCU_stop_loss,params_CPRT_DOCU_trade_freq,params_CPRT_DOCU_z_entry,params_CPRT_DOCU_z_exit,params_CPRT_DOCU_z_stop_scaler,params_CPRT_DOCU_z_win,params_EBAY_DOCU_beta_win,params_EBAY_DOCU_stop_loss,params_EBAY_DOCU_trade_freq,params_EBAY_DOCU_z_entry,params_EBAY_DOCU_z_exit,params_EBAY_DOCU_z_stop_scaler,params_EBAY_DOCU_z_win,params_MTCH_DOCU_beta_win,params_MTCH_DOCU_stop_loss,params_MTCH_DOCU_trade_freq,params_MTCH_DOCU_z_entry,params_MTCH_DOCU_z_exit,params_MTCH_DOCU_z_stop_scaler,params_MTCH_DOCU_z_win,params_SBUX_DOCU_beta_win,params_SBUX_DOCU_stop_loss,params_SBUX_DOCU_trade_freq,params_SBUX_DOCU_z_entry,params_SBUX_DOCU_z_exit,params_SBUX_DOCU_z_stop_scaler,params_SBUX_DOCU_z_win,params_buffer_capital,params_pairs_to_trade,state
35,35,3.323786525239836,2025-06-15 00:53:50.771709,2025-06-15 00:53:53.442490,0 days 00:00:02.670781,390,0.004,2m,1.5,2.5,0.6,228,202.0,0.005,2m,2.5,1.0,0.9,420.0,,,,,,,,220.0,0.005,2m,3.5,2.0,0.8,398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,916.0,0.003,3m,1.0,2.5,0.9,704.0,40.0,0.009000000000000001,1m,1.5,4.0,0.9,866.0,0.2,5,COMPLETE
36,36,3.2103443256993107,2025-06-15 00:53:53.528002,2025-06-15 00:53:54.604695,0 days 00:00:01.076693,518,0.006,1m,1.0,3.0,0.9,362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.0,0.005,1m,3.0,3.0,1.4,426.0,,,,,,,,0.25,2,COMPLETE
37,37,5.967837567381244,2025-06-15 00:53:54.677570,2025-06-15 00:53:55.266472,0 days 00:00:00.588902,120,0.008,4m,1.5,2.5,0.5,936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
38,38,-0.04281320177034073,2025-06-15 00:53:55.343470,2025-06-15 00:53:57.045344,0 days 00:00:01.701874,180,0.002,4m,3.0,2.0,1.3,664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796.0,0.009000000000000001,2m,2.5,1.0,1.4,314.0,672.0,0.004,3m,3.5,1.5,1.2000000000000002,324.0,0.15000000000000002,3,COMPLETE
39,39,1.2626445776525193,2025-06-15 00:53:57.140362,2025-06-15 00:53:59.130480,0 days 00:00:01.990118,292,0.005,3m,1.0,3.5,0.7,570,,,,,,,,,,,,,,,730.0,0.002,3m,1.5,3.5,0.5,598.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.0,0.003,4m,4.0,4.0,1.1,910.0,274.0,0.006,2m,2.0,3.5,1.5,174.0,0.1,4,COMPLETE
40,40,3.9447878366665763,2025-06-15 00:53:59.213521,2025-06-15 00:54:02.738965,0 days 00:00:03.525444,22,0.009000000000000001,4m,1.5,3.0,0.8,18,526.0,0.005,4m,1.5,4.0,1.3,174.0,548.0,0.004,1m,2.5,3.0,0.9,400.0,498.0,0.007,4m,3.0,2.5,1.4,144.0,540.0,0.003,1m,1.0,1.0,1.1,18.0,,,,,,,,,,,,,,,,,,,,,,130.0,0.009000000000000001,1m,1.5,3.0,2.0,612.0,448.0,0.003,4m,1.0,3.0,1.9000000000000001,482.0,0.2,7,COMPLETE
41,41,-1.2406151953819797,2025-06-15 00:54:02.836478,2025-06-15 00:54:03.544602,0 days 00:00:00.708124,106,0.008,4m,1.5,2.5,0.5,912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
42,42,-0.45027027603480313,2025-06-15 00:54:03.623113,2025-06-15 00:54:04.290251,0 days 00:00:00.667138,134,0.008,4m,3.5,2.5,0.6,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
43,43,-0.23975867743454785,2025-06-15 00:54:04.362768,2025-06-15 00:54:05.605599,0 days 00:00:01.242831,244,0.007,4m,2.0,2.0,0.5,934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646.0,0.006,3m,3.0,3.0,1.6,248.0,,,,,,,,0.15000000000000002,2,COMPLETE
44,44,4.709035669784273,2025-06-15 00:54:05.686275,2025-06-15 00:54:06.620480,0 days 00:00:00.934205,336,0.009000000000000001,4m,1.0,3.0,0.7,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
45,45,1.060641250807624,2025-06-15 00:54:06.714512,2025-06-15 00:54:09.743129,0 days 00:00:03.028617,192,0.004,4m,1.0,2.5,1.0,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.0,0.007,4m,3.5,1.5,0.7,538.0,876.0,0.007,3m,3.5,2.0,1.7000000000000002,388.0,0.05,3,COMPLETE
46,46,-1.0018042805666343,2025-06-15 00:54:09.853166,2025-06-15 00:54:11.859554,0 days 00:00:02.006388,110,0.006,1m,1.5,1.0,0.6,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,926.0,0.01,2m,1.0,2.5,0.9,150.0,,,,,,,,0.2,2,COMPLETE
47,47,-1.0645935377200344,2025-06-15 00:54:11.960067,2025-06-15 00:54:18.188499,0 days 00:00:06.228432,164,0.009000000000000001,2m,1.5,2.0,0.5,370,776.0,0.002,4m,3.0,3.0,1.0,668.0,1022.0,0.001,4m,3.0,2.0,1.3,846.0,28.0,0.007,2m,2.5,1.0,1.1,16.0,842.0,0.005,4m,2.0,3.0,1.4,796.0,738.0,0.001,4m,3.0,4.0,0.8,166.0,402.0,0.005,2m,3.0,3.0,1.1,796.0,,,,,,,,98.0,0.008,4m,2.5,3.5,1.3,950.0,586.0,0.001,1m,1.5,2.5,0.6,500.0,0.5,9,COMPLETE
48,48,4.709419858527037,2025-06-15 00:54:18.276015,2025-06-15 00:54:18.856629,0 days 00:00:00.580614,874,0.008,4m,2.0,1.5,0.8,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
49,49,3.7295465870578908,2025-06-15 00:54:18.927629,2025-06-15 00:54:24.157762,0 days 00:00:05.230133,16,0.01,4m,1.0,2.5,1.4,918,294.0,0.007,1m,4.0,2.5,1.4,980.0,130.0,0.005,1m,2.0,3.5,0.7,388.0,350.0,0.004,2m,1.5,3.0,1.7000000000000002,410.0,510.0,0.002,2m,2.5,1.5,0.8,466.0,130.0,0.004,2m,1.0,2.0,1.1,684.0,324.0,0.003,3m,1.0,1.0,0.9,102.0,38.0,0.01,2m,2.5,3.5,0.5,792.0,248.0,0.009000000000000001,2m,3.5,4.0,1.7000000000000002,464.0,128.0,0.005,2m,2.0,4.0,1.4,910.0,0.15000000000000002,10,COMPLETE
50,50,4.796868478131167,2025-06-15 00:54:24.242291,2025-06-15 00:54:27.349534,0 days 00:00:03.107243,434,0.007,3m,1.5,3.0,1.5,656,130.0,0.004,2m,1.5,1.5,2.0,396.0,,,,,,,,162.0,0.002,3m,3.5,2.0,1.2000000000000002,694.0,280.0,0.007,3m,1.5,1.5,2.0,210.0,,,,,,,,,,,,,,,,,,,,,,586.0,0.007,3m,2.0,2.5,0.6,392.0,876.0,0.009000000000000001,4m,3.0,3.5,1.0,626.0,0.1,6,COMPLETE
51,51,3.029607565779585,2025-06-15 00:54:27.431043,2025-06-15 00:54:31.670538,0 days 00:00:04.239495,508,0.002,4m,2.5,4.0,0.9,310,130.0,0.006,1m,3.0,3.5,1.5,156.0,308.0,0.008,4m,1.5,1.0,2.0,608.0,626.0,0.006,1m,4.0,2.0,2.0,138.0,904.0,0.008,4m,3.0,4.0,1.7000000000000002,974.0,342.0,0.006,1m,2.0,1.0,1.4,480.0,,,,,,,,,,,,,,,210.0,0.004,2m,1.5,3.5,1.6,50.0,768.0,0.008,1m,2.5,3.5,0.7,560.0,0.2,8,COMPLETE
52,52,7.745470835943147,2025-06-15 00:54:31.755051,2025-06-15 00:54:36.306612,0 days 00:00:04.551561,586,0.003,4m,2.5,4.0,0.6,282,106.0,0.007,1m,3.5,3.5,1.6,232.0,260.0,0.007,4m,1.5,1.5,1.7000000000000002,778.0,554.0,0.006,1m,4.0,2.0,1.9000000000000001,200.0,912.0,0.01,4m,3.5,3.0,1.8,830.0,382.0,0.009000000000000001,3m,3.0,1.5,1.6,384.0,660.0,0.008,2m,2.5,2.5,1.8,642.0,,,,,,,,302.0,0.002,2m,1.5,3.0,1.8,118.0,818.0,0.008,1m,2.5,3.0,0.5,528.0,0.15000000000000002,9,COMPLETE
53,53,4.8309491668445395,2025-06-15 00:54:36.393131,2025-06-15 00:54:41.017337,0 days 00:00:04.624206,632,0.003,4m,3.5,4.0,0.5,118,420.0,0.008,1m,3.5,4.0,1.7000000000000002,106.0,178.0,0.008,4m,1.5,2.0,1.1,838.0,696.0,0.008,1m,3.5,2.5,1.8,308.0,630.0,0.01,4m,3.5,3.0,1.5,844.0,562.0,0.01,3m,3.5,2.0,1.7000000000000002,290.0,706.0,0.008,2m,2.5,2.5,1.8,644.0,,,,,,,,302.0,0.002,2m,1.5,4.0,1.8,710.0,928.0,0.007,1m,2.0,3.0,1.2000000000000002,440.0,0.15000000000000002,9,COMPLETE
54,54,4.128749502160194,2025-06-15 00:54:41.080557,2025-06-15 00:54:46.369852,0 days 00:00:05.289295,592,0.004,4m,2.5,4.0,0.6,252,326.0,0.01,1m,3.5,3.0,1.8,354.0,458.0,0.006,4m,2.5,1.5,1.4,828.0,880.0,0.005,1m,2.5,1.5,1.4,162.0,884.0,0.004,4m,3.5,2.5,1.9000000000000001,668.0,248.0,0.009000000000000001,3m,3.0,2.0,1.7000000000000002,622.0,638.0,0.008,2m,2.5,2.5,1.6,308.0,880.0,0.002,3m,4.0,1.0,1.8,52.0,360.0,0.002,2m,1.0,3.0,2.0,148.0,622.0,0.006,1m,2.5,3.0,0.5,658.0,0.1,10,COMPLETE
55,55,1.769780286365268,2025-06-15 00:54:46.460863,2025-06-15 00:54:47.051468,0 days 00:00:00.590605,726,0.003,4m,3.0,3.5,0.7,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
56,56,2.619581357703855,2025-06-15 00:54:47.118982,2025-06-15 00:54:50.779850,0 days 00:00:03.660868,270,0.005,4m,2.0,2.5,0.6,370,132.0,0.007,3m,4.0,3.5,1.7000000000000002,478.0,620.0,0.009000000000000001,2m,1.0,2.5,1.8,452.0,542.0,0.006,1m,4.0,3.0,2.0,432.0,742.0,0.006,3m,2.5,3.5,1.2000000000000002,424.0,,,,,,,,,,,,,,,,,,,,,,390.0,0.001,2m,1.5,3.5,1.5,556.0,704.0,0.008,1m,1.5,2.5,1.0,752.0,0.2,7,COMPLETE
57,57,-1.6965564138468696,2025-06-15 00:54:50.863361,2025-06-15 00:54:52.104531,0 days 00:00:01.241170,208,0.001,4m,4.0,3.5,0.5,604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,0.006,2m,2.5,3.0,1.9000000000000001,622.0,,,,,,,,0.15000000000000002,2,COMPLETE
58,58,3.247001439356142,2025-06-15 00:54:52.178040,2025-06-15 00:54:57.059212,0 days 00:00:04.881172,54,0.004,1m,1.0,2.0,1.6,544,260.0,0.003,4m,2.5,4.0,1.4,252.0,232.0,0.005,3m,2.5,1.5,1.7000000000000002,760.0,454.0,0.01,4m,3.0,1.0,1.3,224.0,582.0,0.002,4m,4.0,2.5,1.8,564.0,752.0,0.003,4m,3.5,3.0,0.5,862.0,992.0,0.007,1m,3.5,3.5,1.5,654.0,,,,,,,,842.0,0.005,1m,2.0,4.0,1.7000000000000002,16.0,476.0,0.009000000000000001,1m,1.0,3.0,0.8,250.0,0.05,9,COMPLETE
59,59,1.8590522702794285,2025-06-15 00:54:57.117721,2025-06-15 00:55:01.472143,0 days 00:00:04.354422,400,0.003,4m,1.5,1.5,0.7,66,568.0,0.008,1m,3.5,3.5,1.2000000000000002,70.0,464.0,0.003,4m,1.5,2.5,0.7,256.0,312.0,0.009000000000000001,1m,2.5,2.5,1.5,264.0,918.0,0.009000000000000001,2m,3.5,3.5,1.3,654.0,448.0,0.005,3m,2.5,1.5,1.1,324.0,,,,,,,,,,,,,,,546.0,0.003,3m,1.5,2.0,1.8,504.0,762.0,0.01,1m,2.5,3.5,0.7,346.0,0.25,8,COMPLETE
60,60,1.7247653496665736,2025-06-15 00:55:01.571653,2025-06-15 00:55:04.179971,0 days 00:00:02.608318,470,0.007,2m,1.0,1.0,1.8,178,108.0,0.005,4m,2.0,4.0,1.6,200.0,,,,,,,,840.0,0.004,4m,3.5,1.5,0.9,576.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470.0,0.007,2m,3.5,2.5,1.5,782.0,812.0,0.007,3m,3.5,3.0,1.1,546.0,0.1,5,COMPLETE
61,61,3.2812557243600144,2025-06-15 00:55:04.266487,2025-06-15 00:55:09.562483,0 days 00:00:05.295996,560,0.001,4m,2.5,4.0,1.0,22,34.0,0.006,1m,3.0,3.5,1.4,226.0,250.0,0.007,4m,1.5,1.0,1.8,546.0,572.0,0.006,1m,4.0,2.0,1.9000000000000001,110.0,1008.0,0.009000000000000001,4m,3.0,4.0,1.8,896.0,244.0,0.008,1m,2.0,1.0,1.5,516.0,488.0,0.01,4m,2.0,2.0,0.8,312.0,60.0,0.005,3m,1.0,2.5,1.4,498.0,206.0,0.004,2m,1.0,3.0,1.6,128.0,816.0,0.008,1m,2.5,3.5,0.6,524.0,0.15000000000000002,10,COMPLETE
62,62,4.510710381872448,2025-06-15 00:55:09.635990,2025-06-15 00:55:14.039382,0 days 00:00:04.403392,352,0.002,4m,2.5,4.0,0.8,402,160.0,0.007,1m,3.0,3.0,1.5,338.0,70.0,0.007,4m,2.0,1.5,1.8,638.0,672.0,0.007,1m,4.0,2.0,1.8,196.0,802.0,0.008,4m,3.0,3.5,1.6,874.0,482.0,0.007,3m,1.5,1.5,1.5,440.0,,,,,,,,,,,,,,,254.0,0.002,2m,1.5,3.5,1.9000000000000001,104.0,954.0,0.009000000000000001,1m,3.0,3.5,0.6,412.0,0.15000000000000002,8,COMPLETE
63,63,6.206312787550936,2025-06-15 00:55:14.140911,2025-06-15 00:55:19.012344,0 days 00:00:04.871433,434,0.006,4m,2.5,4.0,1.1,280,74.0,0.006,1m,2.5,3.5,1.6,162.0,336.0,0.006,4m,1.5,1.0,1.5,914.0,910.0,0.005,1m,3.5,2.0,1.6,22.0,918.0,0.01,4m,2.5,3.0,1.8,994.0,644.0,0.008,4m,2.5,1.0,2.0,230.0,242.0,0.003,3m,3.0,2.0,1.5,596.0,,,,,,,,410.0,0.004,2m,2.0,3.0,1.3,194.0,828.0,0.008,1m,2.5,4.0,0.5,610.0,0.1,9,COMPLETE
64,64,6.588412159547979,2025-06-15 00:55:19.119860,2025-06-15 00:55:24.095533,0 days 00:00:04.975673,494,0.006,4m,2.0,3.5,1.2000000000000002,270,374.0,0.009000000000000001,3m,2.5,4.0,1.8,874.0,440.0,0.006,4m,2.0,2.0,1.5,928.0,910.0,0.005,1m,3.5,1.5,1.7000000000000002,36.0,924.0,0.01,4m,2.5,3.0,1.6,1004.0,672.0,0.009000000000000001,4m,3.0,1.5,1.9000000000000001,200.0,228.0,0.003,3m,3.0,2.0,1.5,630.0,,,,,,,,414.0,0.004,2m,2.0,2.5,1.2000000000000002,214.0,720.0,0.008,1m,2.5,4.0,0.5,816.0,0.1,9,COMPLETE
65,65,6.712486829844818,2025-06-15 00:55:24.171534,2025-06-15 00:55:28.799401,0 days 00:00:04.627867,478,0.006,4m,2.5,3.5,1.1,268,194.0,0.009000000000000001,3m,2.5,4.0,1.8,826.0,418.0,0.006,4m,2.0,2.0,1.5,914.0,920.0,0.005,1m,3.5,1.5,1.6,16.0,898.0,0.01,4m,2.5,3.0,1.6,1022.0,666.0,0.009000000000000001,4m,3.0,1.5,2.0,202.0,200.0,0.003,3m,3.0,2.0,1.5,626.0,,,,,,,,412.0,0.004,2m,2.0,2.5,1.2000000000000002,192.0,706.0,0.008,1m,2.5,4.0,0.5,828.0,0.1,9,COMPLETE
66,66,4.870175174747671,2025-06-15 00:55:28.878913,2025-06-15 00:55:33.611328,0 days 00:00:04.732415,478,0.006,4m,2.5,3.5,1.1,268,88.0,0.009000000000000001,3m,2.5,4.0,1.8,892.0,402.0,0.006,4m,2.0,2.0,1.5,942.0,914.0,0.005,1m,3.5,1.5,1.6,16.0,918.0,0.01,4m,2.5,3.0,1.6,1024.0,648.0,0.009000000000000001,4m,3.0,1.5,2.0,156.0,214.0,0.003,3m,3.0,2.0,1.5,626.0,,,,,,,,404.0,0.004,2m,2.0,2.5,1.2000000000000002,182.0,608.0,0.008,1m,2.5,4.0,0.5,818.0,0.1,9,COMPLETE
67,67,5.315766464767703,2025-06-15 00:55:33.698366,2025-06-15 00:55:38.501103,0 days 00:00:04.802737,624,0.005,4m,3.0,4.0,1.3,226,208.0,0.009000000000000001,3m,2.5,4.0,1.9000000000000001,852.0,516.0,0.005,4m,2.0,2.0,1.4,922.0,956.0,0.005,1m,3.0,1.5,1.7000000000000002,68.0,850.0,0.01,4m,2.5,3.0,1.7000000000000002,1024.0,672.0,0.009000000000000001,4m,3.5,1.5,1.9000000000000001,240.0,220.0,0.003,3m,3.0,2.0,1.6,600.0,,,,,,,,488.0,0.003,2m,2.0,2.0,1.1,266.0,724.0,0.008,1m,2.5,4.0,0.7,914.0,0.1,9,COMPLETE
68,68,4.084556850488919,2025-06-15 00:55:38.594627,2025-06-15 00:55:43.752858,0 days 00:00:05.158231,666,0.006,4m,2.0,3.5,1.2000000000000002,188,374.0,0.008,3m,2.5,3.5,1.9000000000000001,910.0,308.0,0.006,4m,1.5,1.5,1.6,908.0,986.0,0.004,1m,3.5,1.5,1.8,54.0,924.0,0.009000000000000001,4m,2.0,3.0,1.9000000000000001,944.0,828.0,0.008,4m,2.5,2.0,1.8,152.0,16.0,0.002,3m,2.5,2.5,1.4,768.0,570.0,0.01,4m,2.5,2.5,1.3,516.0,322.0,0.004,2m,2.0,2.5,1.3,192.0,830.0,0.009000000000000001,1m,3.0,4.0,0.5,800.0,0.1,10,COMPLETE
69,69,4.14236583093832,2025-06-15 00:55:43.843370,2025-06-15 00:55:48.663486,0 days 00:00:04.820116,422,0.005,3m,2.5,4.0,1.2000000000000002,100,482.0,0.009000000000000001,3m,2.0,4.0,1.6,1010.0,436.0,0.006,4m,2.0,2.5,1.3,786.0,1024.0,0.005,1m,3.0,2.0,1.6,168.0,960.0,0.01,4m,2.5,2.5,1.5,934.0,596.0,0.01,4m,3.0,1.0,1.9000000000000001,34.0,168.0,0.004,3m,3.5,1.5,1.8,512.0,,,,,,,,398.0,0.005,2m,2.5,3.0,1.0,280.0,664.0,0.007,1m,2.5,4.0,0.6,724.0,0.2,9,COMPLETE
70,70,-0.12480574049398338,2025-06-15 00:55:48.737511,2025-06-15 00:55:52.923728,0 days 00:00:04.186217,502,0.006,4m,3.0,3.5,1.5,328,186.0,0.01,3m,2.5,3.5,1.7000000000000002,744.0,554.0,0.007,4m,1.5,2.0,1.6,904.0,916.0,0.006,1m,3.5,1.5,1.5,108.0,776.0,0.009000000000000001,4m,2.5,2.5,1.8,812.0,754.0,0.009000000000000001,4m,2.5,1.5,2.0,248.0,,,,,,,,,,,,,,,550.0,0.004,2m,1.5,2.5,1.2000000000000002,212.0,708.0,0.007,1m,2.0,4.0,0.7,622.0,0.1,8,COMPLETE
71,71,1.5719833941643897,2025-06-15 00:55:52.999244,2025-06-15 00:55:57.804827,0 days 00:00:04.805583,546,0.007,4m,2.5,4.0,1.1,502,72.0,0.007,3m,2.5,4.0,1.8,928.0,358.0,0.005,4m,2.5,1.5,1.5,768.0,754.0,0.006,1m,4.0,2.0,1.7000000000000002,292.0,850.0,0.01,4m,2.0,3.0,1.5,1022.0,604.0,0.008,4m,3.5,1.0,1.8,368.0,336.0,0.002,3m,3.0,2.0,1.3,760.0,,,,,,,,442.0,0.003,2m,2.0,2.0,1.3,80.0,536.0,0.008,1m,2.5,4.0,0.5,1016.0,0.15000000000000002,9,COMPLETE
72,72,5.357345033979844,2025-06-15 00:55:57.887337,2025-06-15 00:56:02.066158,0 days 00:00:04.178821,354,0.006,4m,2.0,3.0,1.0,296,300.0,0.006,3m,2.0,3.5,2.0,660.0,260.0,0.007,4m,2.0,1.0,1.7000000000000002,972.0,856.0,0.004,1m,3.5,1.0,1.9000000000000001,64.0,974.0,0.008,4m,2.5,3.5,1.9000000000000001,762.0,830.0,0.009000000000000001,4m,3.0,2.0,1.9000000000000001,200.0,,,,,,,,,,,,,,,360.0,0.005,2m,2.5,1.5,1.4,338.0,862.0,0.009000000000000001,1m,3.0,3.5,0.8,946.0,0.15000000000000002,8,COMPLETE
73,73,5.704580842635011,2025-06-15 00:56:02.132678,2025-06-15 00:56:07.193211,0 days 00:00:05.060533,434,0.005,4m,2.5,3.5,1.3,458,66.0,0.009000000000000001,1m,3.5,4.0,1.6,822.0,638.0,0.004,4m,1.0,2.0,1.4,874.0,938.0,0.005,1m,3.0,1.5,1.4,24.0,704.0,0.009000000000000001,4m,3.0,3.5,1.7000000000000002,910.0,488.0,0.01,4m,2.5,1.5,1.6,104.0,118.0,0.004,3m,2.5,2.5,1.8,528.0,408.0,0.005,1m,2.0,3.0,0.6,804.0,472.0,0.002,2m,1.5,3.0,1.1,286.0,924.0,0.006,1m,2.0,3.5,0.5,834.0,0.15000000000000002,10,COMPLETE
74,74,2.002913292090026,2025-06-15 00:56:07.278725,2025-06-15 00:56:11.925117,0 days 00:00:04.646392,580,0.006,4m,2.0,3.5,1.1,394,256.0,0.008,3m,3.0,3.5,1.6,138.0,346.0,0.006,3m,1.5,1.5,1.2000000000000002,724.0,818.0,0.003,1m,4.0,2.0,1.8,104.0,1014.0,0.008,4m,1.5,3.0,1.3,974.0,700.0,0.008,4m,3.0,1.0,1.8,322.0,246.0,0.006,2m,3.5,1.5,1.6,718.0,,,,,,,,652.0,0.003,4m,2.0,3.0,1.0,164.0,778.0,0.01,2m,2.5,4.0,0.9,570.0,0.1,9,COMPLETE
75,75,1.5662965622468676,2025-06-15 00:56:12.020631,2025-06-15 00:56:16.412650,0 days 00:00:04.392019,496,0.004,4m,1.0,4.0,0.9,142,16.0,0.01,1m,1.0,4.0,1.9000000000000001,82.0,494.0,0.008,4m,2.0,2.5,1.7000000000000002,960.0,718.0,0.007,1m,3.0,2.5,1.6,184.0,950.0,0.01,1m,2.0,2.5,1.6,710.0,622.0,0.006,2m,3.5,2.0,2.0,92.0,,,,,,,,,,,,,,,414.0,0.006,3m,1.5,3.5,0.8,718.0,998.0,0.009000000000000001,1m,3.0,4.0,0.6,782.0,0.15000000000000002,8,COMPLETE
76,76,4.947768915801404,2025-06-15 00:56:16.496162,2025-06-15 00:56:21.644121,0 days 00:00:05.147959,316,0.007,1m,2.5,3.0,1.2000000000000002,344,148.0,0.004,2m,2.0,3.5,1.7000000000000002,294.0,194.0,0.006,2m,2.5,1.0,1.5,800.0,884.0,0.004,2m,4.0,1.0,2.0,246.0,862.0,0.007,3m,3.0,3.0,1.7000000000000002,958.0,400.0,0.007,4m,3.0,1.0,1.9000000000000001,406.0,780.0,0.002,3m,2.0,3.0,1.4,530.0,714.0,0.007,2m,3.5,1.5,1.6,278.0,292.0,0.001,2m,2.0,2.0,1.2000000000000002,224.0,632.0,0.007,4m,2.0,3.5,0.7,872.0,0.05,10,COMPLETE
77,77,4.518026442962602,2025-06-15 00:56:21.722207,2025-06-15 00:56:25.435924,0 days 00:00:03.713717,372,0.005,4m,2.0,3.0,1.7000000000000002,262,190.0,0.007,3m,3.0,4.0,1.8,20.0,398.0,0.007,4m,1.0,1.5,1.9000000000000001,1024.0,788.0,0.006,1m,3.5,1.5,1.7000000000000002,354.0,812.0,0.009000000000000001,4m,2.5,3.5,2.0,830.0,,,,,,,,,,,,,,,,,,,,,,518.0,0.008,1m,2.5,2.5,0.9,114.0,696.0,0.008,1m,2.5,4.0,0.9,464.0,0.1,7,COMPLETE
78,78,6.928096113028333,2025-06-15 00:56:25.506213,2025-06-15 00:56:30.231484,0 days 00:00:04.725271,534,0.006,4m,1.0,3.5,1.4,626,80.0,0.005,1m,1.5,3.0,1.5,722.0,768.0,0.004,4m,2.0,3.0,1.1,18.0,994.0,0.005,2m,3.0,2.5,1.9000000000000001,98.0,456.0,0.004,2m,2.0,3.0,1.4,886.0,520.0,0.002,3m,2.5,1.5,1.6,246.0,562.0,0.001,3m,2.5,2.5,2.0,880.0,,,,,,,,616.0,0.004,4m,2.0,2.5,1.5,46.0,572.0,0.006,4m,1.5,3.5,0.5,636.0,0.2,9,COMPLETE
79,79,4.2935029407085,2025-06-15 00:56:30.327003,2025-06-15 00:56:34.962569,0 days 00:00:04.635566,592,0.006,2m,3.0,3.5,1.4,618,80.0,0.005,1m,1.5,3.0,1.5,542.0,808.0,0.004,4m,2.0,3.0,1.1,150.0,978.0,0.005,2m,3.0,2.5,1.9000000000000001,124.0,430.0,0.004,2m,2.0,3.0,1.4,880.0,538.0,0.002,3m,2.5,1.5,1.2000000000000002,250.0,524.0,0.001,3m,2.5,2.5,2.0,918.0,,,,,,,,332.0,0.004,4m,2.0,2.5,1.5,40.0,576.0,0.006,4m,1.5,3.5,0.5,724.0,0.2,9,COMPLETE
