,number,value,datetime_start,datetime_complete,duration,params_ADSK_DOCU_beta_win,params_ADSK_DOCU_stop_loss,params_ADSK_DOCU_trade_freq,params_ADSK_DOCU_z_entry,params_ADSK_DOCU_z_exit,params_ADSK_DOCU_z_stop_scaler,params_ADSK_DOCU_z_win,params_ALGN_DOCU_beta_win,params_ALGN_DOCU_stop_loss,params_ALGN_DOCU_trade_freq,params_ALGN_DOCU_z_entry,params_ALGN_DOCU_z_exit,params_ALGN_DOCU_z_stop_scaler,params_ALGN_DOCU_z_win,params_AMAT_DOCU_beta_win,params_AMAT_DOCU_stop_loss,params_AMAT_DOCU_trade_freq,params_AMAT_DOCU_z_entry,params_AMAT_DOCU_z_exit,params_AMAT_DOCU_z_stop_scaler,params_AMAT_DOCU_z_win,params_ANSS_DOCU_beta_win,params_ANSS_DOCU_stop_loss,params_ANSS_DOCU_trade_freq,params_ANSS_DOCU_z_entry,params_ANSS_DOCU_z_exit,params_ANSS_DOCU_z_stop_scaler,params_ANSS_DOCU_z_win,params_ASML_DOCU_beta_win,params_ASML_DOCU_stop_loss,params_ASML_DOCU_trade_freq,params_ASML_DOCU_z_entry,params_ASML_DOCU_z_exit,params_ASML_DOCU_z_stop_scaler,params_ASML_DOCU_z_win,params_BIIB_DOCU_beta_win,params_BIIB_DOCU_stop_loss,params_BIIB_DOCU_trade_freq,params_BIIB_DOCU_z_entry,params_BIIB_DOCU_z_exit,params_BIIB_DOCU_z_stop_scaler,params_BIIB_DOCU_z_win,params_CPRT_DOCU_beta_win,params_CPRT_DOCU_stop_loss,params_CPRT_DOCU_trade_freq,params_CPRT_DOCU_z_entry,params_CPRT_DOCU_z_exit,params_CPRT_DOCU_z_stop_scaler,params_CPRT_DOCU_z_win,params_EBAY_DOCU_beta_win,params_EBAY_DOCU_stop_loss,params_EBAY_DOCU_trade_freq,params_EBAY_DOCU_z_entry,params_EBAY_DOCU_z_exit,params_EBAY_DOCU_z_stop_scaler,params_EBAY_DOCU_z_win,params_MTCH_DOCU_beta_win,params_MTCH_DOCU_stop_loss,params_MTCH_DOCU_trade_freq,params_MTCH_DOCU_z_entry,params_MTCH_DOCU_z_exit,params_MTCH_DOCU_z_stop_scaler,params_MTCH_DOCU_z_win,params_SBUX_DOCU_beta_win,params_SBUX_DOCU_stop_loss,params_SBUX_DOCU_trade_freq,params_SBUX_DOCU_z_entry,params_SBUX_DOCU_z_exit,params_SBUX_DOCU_z_stop_scaler,params_SBUX_DOCU_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,2.998949226196446,2025-06-15 00:52:58.252569,2025-06-15 00:53:03.174040,0 days 00:00:04.921471,640,0.006,4m,1.0,1.0,0.5,52,340.0,0.001,4m,1.0,4.0,2.0,24.0,852.0,0.01,4m,4.0,4.0,0.5,1006.0,454.0,0.003,3m,3.0,4.0,0.6,498.0,982.0,0.001,3m,4.0,1.0,0.7,148.0,1008.0,0.001,4m,4.0,1.5,0.5,1022.0,142.0,0.001,3m,1.5,1.5,0.5,52.0,990.0,0.001,1m,1.0,4.0,2.0,1012.0,990.0,0.006,3m,1.5,1.0,0.5,746.0,542.0,0.004,4m,1.0,4.0,2.0,56.0,0.3,10,COMPLETE
11,11,5.116985571111685,2025-06-15 00:53:03.281562,2025-06-15 00:53:07.349847,0 days 00:00:04.068285,706,0.001,4m,2.5,4.0,0.9,254,16.0,0.004,1m,1.0,3.5,1.6,28.0,46.0,0.007,4m,2.0,1.0,2.0,546.0,582.0,0.006,2m,4.0,2.5,1.0,54.0,1014.0,0.009000000000000001,3m,3.0,1.0,2.0,968.0,372.0,0.008,3m,2.5,1.0,1.7000000000000002,746.0,,,,,,,,,,,,,,,360.0,0.004,2m,1.5,1.5,1.0,78.0,668.0,0.005,4m,1.5,4.0,2.0,280.0,0.2,8,COMPLETE
12,12,4.790119872444758,2025-06-15 00:53:07.446376,2025-06-15 00:53:11.545391,0 days 00:00:04.099015,454,0.001,4m,2.5,4.0,0.5,186,208.0,0.004,1m,4.0,4.0,1.5,270.0,380.0,0.001,4m,1.0,2.0,0.8,698.0,644.0,0.001,1m,3.5,2.5,0.9,88.0,750.0,0.003,1m,2.5,4.0,1.0,360.0,666.0,0.007,1m,1.0,1.5,1.3,24.0,,,,,,,,,,,,,,,422.0,0.004,1m,1.5,2.0,1.3,328.0,742.0,0.01,4m,1.5,3.5,0.5,596.0,0.2,8,COMPLETE
13,13,5.985377428378854,2025-06-15 00:53:11.643925,2025-06-15 00:53:12.265600,0 days 00:00:00.621675,52,0.006,4m,1.0,3.0,0.8,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
14,14,2.4454500005833224,2025-06-15 00:53:12.344115,2025-06-15 00:53:13.376639,0 days 00:00:01.032524,18,0.007,4m,1.0,3.0,1.1,1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010.0,0.008,3m,2.0,4.0,0.5,750.0,,,,,,,,0.35000000000000003,2,COMPLETE
15,15,6.73395466972692,2025-06-15 00:53:13.457157,2025-06-15 00:53:14.081778,0 days 00:00:00.624621,154,0.005,4m,1.5,2.5,1.5,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
16,16,4.441488712065515,2025-06-15 00:53:14.173661,2025-06-15 00:53:17.178826,0 days 00:00:03.005165,186,0.004,4m,1.5,2.0,1.5,422,722.0,0.001,4m,1.5,2.5,0.5,758.0,,,,,,,,96.0,0.003,2m,1.0,4.0,0.9,484.0,68.0,0.001,3m,2.0,2.0,1.2000000000000002,116.0,,,,,,,,,,,,,,,,,,,,,,684.0,0.001,3m,1.0,3.5,1.0,990.0,374.0,0.004,4m,1.5,1.0,1.7000000000000002,36.0,0.25,6,COMPLETE
17,17,-1.715710938621624,2025-06-15 00:53:17.260336,2025-06-15 00:53:17.846842,0 days 00:00:00.586506,164,0.005,2m,2.0,2.5,1.6,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
18,18,2.867653888089141,2025-06-15 00:53:17.925846,2025-06-15 00:53:22.306062,0 days 00:00:04.380216,284,0.007,1m,2.0,1.5,1.6,580,994.0,0.01,2m,2.0,2.0,0.9,620.0,1002.0,0.003,1m,3.0,3.0,1.0,210.0,360.0,0.008,3m,2.5,3.0,1.3,694.0,690.0,0.004,2m,4.0,2.0,0.5,344.0,16.0,0.004,2m,4.0,2.5,0.9,886.0,42.0,0.001,1m,3.0,3.0,0.5,1012.0,,,,,,,,508.0,0.006,1m,4.0,2.0,0.7,448.0,362.0,0.01,4m,3.5,2.5,1.7000000000000002,220.0,0.35000000000000003,9,COMPLETE
19,19,4.0221178706908685,2025-06-15 00:53:22.378571,2025-06-15 00:53:25.354903,0 days 00:00:02.976332,778,0.003,4m,1.5,2.0,1.7000000000000002,820,240.0,0.003,4m,1.5,3.0,1.7000000000000002,554.0,,,,,,,,34.0,0.001,2m,2.0,3.5,0.7,322.0,656.0,0.007,1m,3.0,2.0,1.4,654.0,,,,,,,,,,,,,,,,,,,,,,708.0,0.008,3m,2.0,3.5,1.1,662.0,504.0,0.001,4m,2.0,2.5,1.5,404.0,0.25,6,COMPLETE
20,20,3.5803021378033315,2025-06-15 00:53:25.420906,2025-06-15 00:53:28.969214,0 days 00:00:03.548308,468,0.01,4m,1.0,2.5,1.4,410,666.0,0.008,4m,2.0,3.0,1.3,794.0,704.0,0.01,2m,3.0,2.5,0.5,356.0,776.0,0.004,2m,3.0,1.0,1.1,362.0,806.0,0.003,3m,2.0,1.5,0.9,290.0,,,,,,,,,,,,,,,,,,,,,,928.0,0.005,3m,2.0,1.0,0.7,848.0,202.0,0.005,4m,3.0,2.0,1.8,142.0,0.15000000000000002,7,COMPLETE
21,21,2.912238475105971,2025-06-15 00:53:29.048719,2025-06-15 00:53:29.699861,0 days 00:00:00.651142,48,0.006,4m,1.0,3.0,0.7,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
22,22,2.913592382341759,2025-06-15 00:53:29.772375,2025-06-15 00:53:30.849824,0 days 00:00:01.077449,130,0.007,4m,1.0,3.5,1.1,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762.0,0.002,1m,1.0,2.0,1.4,218.0,,,,,,,,0.1,2,COMPLETE
23,23,-4.523324407585196,2025-06-15 00:53:30.926832,2025-06-15 00:53:31.568584,0 days 00:00:00.641752,236,0.005,4m,1.5,3.5,1.0,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
24,24,6.152357644126968,2025-06-15 00:53:31.671626,2025-06-15 00:53:32.814885,0 days 00:00:01.143259,368,0.003,4m,1.0,2.5,0.6,588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514.0,0.008,4m,3.0,1.5,1.1,656.0,,,,,,,,0.15000000000000002,2,COMPLETE
