,number,value,datetime_start,datetime_complete,duration,params_ADSK_QCOM_beta_win,params_ADSK_QCOM_stop_loss,params_ADSK_QCOM_trade_freq,params_ADSK_QCOM_z_entry,params_ADSK_QCOM_z_exit,params_ADSK_QCOM_z_stop_scaler,params_ADSK_QCOM_z_win,params_ALGN_CHKP_beta_win,params_ALGN_CHKP_stop_loss,params_ALGN_CHKP_trade_freq,params_ALGN_CHKP_z_entry,params_ALGN_CHKP_z_exit,params_ALGN_CHKP_z_stop_scaler,params_ALGN_CHKP_z_win,params_COST_CHKP_beta_win,params_COST_CHKP_stop_loss,params_COST_CHKP_trade_freq,params_COST_CHKP_z_entry,params_COST_CHKP_z_exit,params_COST_CHKP_z_stop_scaler,params_COST_CHKP_z_win,params_CPRT_CHKP_beta_win,params_CPRT_CHKP_stop_loss,params_CPRT_CHKP_trade_freq,params_CPRT_CHKP_z_entry,params_CPRT_CHKP_z_exit,params_CPRT_CHKP_z_stop_scaler,params_CPRT_CHKP_z_win,params_GOOGL_CHKP_beta_win,params_GOOGL_CHKP_stop_loss,params_GOOGL_CHKP_trade_freq,params_GOOGL_CHKP_z_entry,params_GOOGL_CHKP_z_exit,params_GOOGL_CHKP_z_stop_scaler,params_GOOGL_CHKP_z_win,params_GOOG_CHKP_beta_win,params_GOOG_CHKP_stop_loss,params_GOOG_CHKP_trade_freq,params_GOOG_CHKP_z_entry,params_GOOG_CHKP_z_exit,params_GOOG_CHKP_z_stop_scaler,params_GOOG_CHKP_z_win,params_ISRG_CHKP_beta_win,params_ISRG_CHKP_stop_loss,params_ISRG_CHKP_trade_freq,params_ISRG_CHKP_z_entry,params_ISRG_CHKP_z_exit,params_ISRG_CHKP_z_stop_scaler,params_ISRG_CHKP_z_win,params_LULU_CHKP_beta_win,params_LULU_CHKP_stop_loss,params_LULU_CHKP_trade_freq,params_LULU_CHKP_z_entry,params_LULU_CHKP_z_exit,params_LULU_CHKP_z_stop_scaler,params_LULU_CHKP_z_win,params_MSFT_CHKP_beta_win,params_MSFT_CHKP_stop_loss,params_MSFT_CHKP_trade_freq,params_MSFT_CHKP_z_entry,params_MSFT_CHKP_z_exit,params_MSFT_CHKP_z_stop_scaler,params_MSFT_CHKP_z_win,params_PEP_CHKP_beta_win,params_PEP_CHKP_stop_loss,params_PEP_CHKP_trade_freq,params_PEP_CHKP_z_entry,params_PEP_CHKP_z_exit,params_PEP_CHKP_z_stop_scaler,params_PEP_CHKP_z_win,params_buffer_capital,params_pairs_to_trade,state
37,37,10.118117370856107,2025-06-15 00:24:31.334663,2025-06-15 00:24:35.273061,0 days 00:00:03.938398,26.0,0.005,4m,2.0,3.0,0.8,526.0,398.0,0.01,4m,2.0,2.0,1.7000000000000002,180.0,142.0,0.004,3m,3.0,3.0,2.0,656.0,386,0.01,2m,1.0,2.0,0.7,216,872.0,0.001,3m,2.0,3.0,0.9,460.0,292.0,0.002,4m,2.0,2.0,1.4,268.0,322.0,0.007,2m,1.5,2.5,1.4,34.0,,,,,,,,400.0,0.008,2m,1.5,1.5,1.5,928.0,,,,,,,,0.25,8,COMPLETE
38,38,10.72841974389793,2025-06-15 00:24:35.354050,2025-06-15 00:24:39.320371,0 days 00:00:03.966321,26.0,0.005,4m,2.0,3.0,0.8,544.0,396.0,0.01,4m,2.0,2.0,1.7000000000000002,136.0,26.0,0.004,3m,3.0,3.5,2.0,640.0,404,0.01,2m,1.0,2.0,0.7,230,862.0,0.002,3m,2.0,3.0,0.9,458.0,262.0,0.002,4m,2.0,2.0,1.4,256.0,328.0,0.006,2m,1.5,2.5,1.4,158.0,,,,,,,,484.0,0.01,2m,1.5,1.5,1.5,1022.0,,,,,,,,0.25,8,COMPLETE
39,39,6.968095553970418,2025-06-15 00:24:39.402394,2025-06-15 00:24:43.501844,0 days 00:00:04.099450,48.0,0.005,4m,2.0,3.0,0.8,524.0,762.0,0.01,4m,2.0,2.0,1.7000000000000002,22.0,54.0,0.004,3m,3.5,3.5,1.9000000000000001,848.0,480,0.01,2m,1.0,1.5,0.7,220,878.0,0.002,3m,2.0,2.5,0.9,404.0,258.0,0.001,4m,1.5,2.0,1.4,236.0,476.0,0.006,2m,1.0,2.5,1.1,30.0,,,,,,,,520.0,0.01,2m,1.5,1.5,1.6,1016.0,,,,,,,,0.25,8,COMPLETE
40,40,8.05168108730318,2025-06-15 00:24:43.585850,2025-06-15 00:24:47.836314,0 days 00:00:04.250464,20.0,0.005,4m,2.0,3.0,0.8,524.0,838.0,0.01,4m,2.0,2.0,1.9000000000000001,102.0,22.0,0.001,3m,3.0,3.5,1.9000000000000001,876.0,476,0.01,2m,1.0,2.0,0.7,244,944.0,0.002,3m,1.5,2.5,0.8,198.0,266.0,0.001,4m,1.5,2.0,1.5,18.0,492.0,0.005,2m,1.0,2.0,1.0,88.0,,,,,,,,456.0,0.01,2m,1.5,1.0,1.5,1010.0,,,,,,,,0.3,8,COMPLETE
41,41,3.8091383592938963,2025-06-15 00:24:47.927338,2025-06-15 00:24:52.254377,0 days 00:00:04.327039,20.0,0.005,4m,2.0,3.0,0.8,546.0,858.0,0.01,4m,2.0,2.0,1.9000000000000001,36.0,16.0,0.001,3m,3.0,3.5,1.9000000000000001,816.0,494,0.01,2m,1.0,2.0,0.7,244,940.0,0.002,3m,1.5,2.5,0.8,262.0,284.0,0.001,4m,1.5,2.0,1.5,34.0,512.0,0.005,2m,1.0,2.0,1.0,90.0,,,,,,,,450.0,0.01,2m,1.5,1.0,1.5,978.0,,,,,,,,0.3,8,COMPLETE
42,42,0.02507401893827303,2025-06-15 00:24:52.321891,2025-06-15 00:24:57.020476,0 days 00:00:04.698585,190.0,0.006,4m,1.5,3.0,0.7,476.0,882.0,0.01,4m,2.5,1.5,1.7000000000000002,106.0,26.0,0.002,3m,3.0,3.5,1.9000000000000001,934.0,572,0.01,2m,1.0,1.5,0.9,408,888.0,0.002,3m,1.5,2.5,1.0,202.0,168.0,0.001,4m,1.5,2.0,1.7000000000000002,152.0,386.0,0.006,2m,1.5,2.5,0.9,186.0,960.0,0.008,1m,3.5,3.5,1.9000000000000001,1016.0,372.0,0.01,2m,1.0,1.5,1.7000000000000002,920.0,,,,,,,,0.25,9,COMPLETE
43,43,6.5398948642887325,2025-06-15 00:24:57.100986,2025-06-15 00:25:01.402759,0 days 00:00:04.301773,22.0,0.004,4m,2.0,3.5,1.1,568.0,768.0,0.009000000000000001,4m,2.0,2.0,1.8,130.0,118.0,0.001,3m,3.5,3.5,1.9000000000000001,826.0,452,0.01,2m,1.5,2.0,0.8,212,860.0,0.003,3m,2.0,2.0,0.6,404.0,260.0,0.002,4m,1.5,2.5,1.4,212.0,472.0,0.004,2m,1.5,2.0,1.1,70.0,,,,,,,,492.0,0.009000000000000001,2m,1.5,1.5,1.4,998.0,,,,,,,,0.3,8,COMPLETE
44,44,6.485872023075189,2025-06-15 00:25:01.488763,2025-06-15 00:25:06.005969,0 days 00:00:04.517206,152.0,0.005,4m,1.5,3.0,0.8,370.0,712.0,0.009000000000000001,4m,2.5,1.5,1.9000000000000001,24.0,138.0,0.003,3m,3.0,4.0,2.0,660.0,384,0.01,2m,1.0,2.0,0.5,294,984.0,0.001,3m,1.5,2.5,0.8,156.0,354.0,0.001,4m,2.0,1.5,1.5,98.0,616.0,0.005,2m,1.0,2.5,1.5,146.0,700.0,0.007,4m,1.0,1.0,1.6,234.0,324.0,0.009000000000000001,2m,1.5,1.0,1.7000000000000002,896.0,,,,,,,,0.45,9,COMPLETE
45,45,4.752535561856091,2025-06-15 00:25:06.080968,2025-06-15 00:25:11.120530,0 days 00:00:05.039562,248.0,0.006,4m,1.5,3.5,1.2000000000000002,410.0,942.0,0.01,4m,2.5,2.0,0.5,230.0,186.0,0.003,3m,3.5,3.5,1.8,844.0,634,0.009000000000000001,2m,1.0,1.5,0.7,236,694.0,0.002,3m,1.0,3.0,1.0,28.0,60.0,0.003,4m,1.5,2.5,1.3,496.0,256.0,0.006,2m,1.5,2.0,1.4,28.0,304.0,0.003,1m,3.5,3.5,0.9,770.0,588.0,0.01,2m,1.0,1.5,1.5,932.0,1010.0,0.001,1m,1.0,1.0,1.8,52.0,0.4,10,COMPLETE
46,46,-1.0034403790391957,2025-06-15 00:25:11.211035,2025-06-15 00:25:15.438233,0 days 00:00:04.227198,106.0,0.004,4m,2.5,2.5,0.9,626.0,824.0,0.008,4m,2.0,2.0,1.6,136.0,48.0,0.004,3m,2.5,4.0,1.8,900.0,494,0.009000000000000001,2m,1.5,2.0,0.8,144,782.0,0.001,3m,2.0,2.0,0.6,474.0,146.0,0.002,1m,1.0,2.0,1.7000000000000002,244.0,558.0,0.003,2m,1.0,2.5,1.3,234.0,,,,,,,,426.0,0.009000000000000001,2m,1.5,1.0,1.8,1012.0,,,,,,,,0.25,8,COMPLETE
47,47,5.2394250084031375,2025-06-15 00:25:15.480231,2025-06-15 00:25:19.245181,0 days 00:00:03.764950,,,,,,,,536.0,0.01,3m,2.5,1.5,2.0,200.0,66.0,0.002,3m,3.0,3.0,1.8,1010.0,302,0.01,2m,1.0,1.5,0.6,178,934.0,0.004,3m,2.5,2.5,0.9,344.0,466.0,0.003,4m,2.0,1.5,1.2000000000000002,374.0,662.0,0.007,2m,1.5,1.5,1.3,292.0,,,,,,,,498.0,0.01,2m,1.5,1.5,1.4,846.0,,,,,,,,0.3,7,COMPLETE
48,48,1.6359516637455744,2025-06-15 00:25:19.317704,2025-06-15 00:25:23.178422,0 days 00:00:03.860718,,,,,,,,644.0,0.009000000000000001,4m,2.0,2.5,1.7000000000000002,78.0,190.0,0.005,4m,2.5,3.5,2.0,682.0,404,0.008,2m,1.5,2.5,1.0,384,872.0,0.002,3m,1.5,3.0,1.2000000000000002,426.0,18.0,0.001,2m,1.5,2.5,1.6,82.0,450.0,0.008,2m,1.0,2.5,0.9,100.0,,,,,,,,678.0,0.009000000000000001,2m,1.0,1.0,1.6,930.0,,,,,,,,0.4,7,COMPLETE
49,49,4.1293983569206905,2025-06-15 00:25:23.265935,2025-06-15 00:25:27.457988,0 days 00:00:04.192053,30.0,0.005,4m,2.0,3.0,0.6,554.0,768.0,0.009000000000000001,1m,2.0,1.0,1.6,274.0,88.0,0.006,3m,4.0,4.0,1.6,762.0,590,0.01,2m,1.0,1.0,0.9,278,992.0,0.001,1m,2.0,2.5,0.8,500.0,362.0,0.002,4m,2.0,2.0,1.4,180.0,362.0,0.006,3m,1.5,2.5,1.2000000000000002,170.0,,,,,,,,216.0,0.008,2m,2.0,1.5,1.4,868.0,,,,,,,,0.2,8,COMPLETE
50,50,-0.22287959774089966,2025-06-15 00:25:27.560502,2025-06-15 00:25:32.128254,0 days 00:00:04.567752,270.0,0.007,4m,2.5,3.5,0.7,686.0,930.0,0.01,4m,2.5,2.0,1.8,48.0,24.0,0.001,3m,3.0,3.5,1.9000000000000001,880.0,462,0.009000000000000001,2m,2.0,2.0,0.5,68,740.0,0.003,3m,2.5,3.0,0.7,214.0,84.0,0.001,4m,1.5,2.5,1.5,252.0,260.0,0.002,2m,1.0,2.0,1.7000000000000002,58.0,876.0,0.007,4m,4.0,3.0,1.3,572.0,338.0,0.01,2m,1.5,1.0,1.9000000000000001,1024.0,,,,,,,,0.25,9,COMPLETE
51,51,1.1283124588986222,2025-06-15 00:25:32.221762,2025-06-15 00:25:36.273861,0 days 00:00:04.052099,132.0,0.005,4m,2.5,2.5,0.8,458.0,350.0,0.009000000000000001,4m,1.5,2.0,1.7000000000000002,298.0,470.0,0.004,3m,3.5,2.5,1.7000000000000002,796.0,302,0.009000000000000001,2m,1.0,1.5,0.6,102,850.0,0.003,3m,2.0,2.5,0.9,560.0,250.0,0.002,4m,2.0,2.0,1.4,306.0,326.0,0.006,2m,1.5,1.5,1.2000000000000002,22.0,,,,,,,,556.0,0.008,4m,2.0,2.0,1.6,740.0,,,,,,,,0.2,8,COMPLETE
52,52,1.5245853300397683,2025-06-15 00:25:36.354380,2025-06-15 00:25:40.438961,0 days 00:00:04.084581,106.0,0.005,4m,2.0,2.5,0.9,572.0,456.0,0.01,4m,2.0,2.5,1.6,120.0,306.0,0.005,3m,3.5,2.5,1.9000000000000001,262.0,266,0.01,2m,1.0,1.5,0.7,156,816.0,0.002,3m,2.5,3.0,1.0,652.0,232.0,0.003,4m,2.0,1.5,1.3,268.0,414.0,0.007,2m,1.0,2.0,1.1,112.0,,,,,,,,496.0,0.009000000000000001,4m,1.5,2.0,1.7000000000000002,944.0,,,,,,,,0.25,8,COMPLETE
53,53,1.8741008333764595,2025-06-15 00:25:40.530477,2025-06-15 00:25:44.130997,0 days 00:00:03.600520,,,,,,,,734.0,0.01,4m,1.5,1.5,1.8,236.0,120.0,0.004,3m,3.5,3.0,1.8,598.0,702,0.009000000000000001,2m,1.0,1.5,0.6,850,926.0,0.004,3m,2.0,2.5,0.9,370.0,170.0,0.002,4m,2.5,2.0,1.2000000000000002,362.0,224.0,0.005,2m,2.0,3.0,1.3,60.0,,,,,,,,406.0,0.007,2m,2.0,1.5,1.2000000000000002,764.0,,,,,,,,0.35000000000000003,7,COMPLETE
54,54,0.9627386499551056,2025-06-15 00:25:44.200004,2025-06-15 00:25:47.431290,0 days 00:00:03.231286,,,,,,,,324.0,0.009000000000000001,4m,2.0,2.5,1.5,194.0,206.0,0.003,4m,3.0,2.0,2.0,130.0,532,0.003,4m,1.5,2.0,0.7,266,864.0,0.003,3m,2.0,3.0,0.7,438.0,98.0,0.001,4m,2.0,1.5,1.5,190.0,498.0,0.007,2m,1.0,2.5,1.5,208.0,,,,,,,,,,,,,,,,,,,,,,0.3,6,COMPLETE
55,55,6.332107523327058,2025-06-15 00:25:47.517811,2025-06-15 00:25:52.134713,0 days 00:00:04.616902,108.0,0.004,4m,1.5,3.0,0.9,728.0,408.0,0.01,3m,1.5,2.0,1.9000000000000001,390.0,450.0,0.005,1m,4.0,3.0,1.7000000000000002,950.0,382,0.005,2m,1.0,2.5,0.5,338,1000.0,0.001,3m,1.5,2.0,1.1,512.0,294.0,0.002,1m,4.0,1.0,1.0,470.0,348.0,0.006,2m,1.5,3.0,1.0,18.0,504.0,0.003,2m,3.0,1.5,1.8,840.0,592.0,0.008,2m,1.5,2.0,1.5,974.0,,,,,,,,0.25,9,COMPLETE
56,56,0.02512770957496714,2025-06-15 00:25:52.213227,2025-06-15 00:25:56.279213,0 days 00:00:04.065986,70.0,0.006,4m,2.5,3.0,1.4,284.0,510.0,0.008,4m,2.5,2.0,1.7000000000000002,16.0,76.0,0.002,3m,3.0,2.5,1.9000000000000001,560.0,230,0.008,2m,1.5,1.0,0.6,208,698.0,0.002,3m,1.0,3.0,0.8,632.0,396.0,0.004,4m,2.5,2.0,1.4,420.0,294.0,0.004,3m,2.0,4.0,1.4,122.0,,,,,,,,550.0,0.01,1m,2.0,1.5,1.6,1024.0,,,,,,,,0.3,8,COMPLETE
57,57,4.878484114989323,2025-06-15 00:25:56.370745,2025-06-15 00:25:59.909459,0 days 00:00:03.538714,,,,,,,,806.0,0.009000000000000001,4m,2.0,1.5,1.6,80.0,142.0,0.007,3m,3.5,3.5,2.0,688.0,316,0.01,4m,1.0,1.5,0.8,458,946.0,0.005,3m,1.5,2.5,1.0,584.0,238.0,0.001,2m,1.0,2.5,1.3,332.0,428.0,0.008,2m,1.5,2.0,1.6,76.0,,,,,,,,660.0,0.007,2m,1.0,1.5,1.3,828.0,,,,,,,,0.2,7,COMPLETE
58,58,6.63784903363163,2025-06-15 00:26:00.001973,2025-06-15 00:26:04.835809,0 days 00:00:04.833836,22.0,0.003,1m,2.0,2.5,0.6,864.0,884.0,0.01,4m,1.5,2.5,0.7,146.0,318.0,0.005,3m,3.0,2.0,1.7000000000000002,424.0,412,0.008,2m,1.5,2.0,1.0,88,800.0,0.001,1m,2.5,3.5,0.9,330.0,188.0,0.003,4m,3.5,2.0,1.6,624.0,548.0,0.006,2m,4.0,2.5,1.1,154.0,210.0,0.01,4m,1.5,3.0,0.8,264.0,282.0,0.009000000000000001,4m,2.5,1.0,1.8,694.0,20.0,0.005,1m,4.0,2.5,1.4,530.0,0.15000000000000002,10,COMPLETE
59,59,4.034534129997799,2025-06-15 00:26:04.942853,2025-06-15 00:26:08.913508,0 days 00:00:03.970655,184.0,0.005,2m,2.5,2.5,0.8,924.0,258.0,0.009000000000000001,4m,2.5,2.0,1.0,272.0,78.0,0.004,3m,4.0,3.0,1.2000000000000002,780.0,472,0.009000000000000001,4m,1.0,2.5,0.8,164,606.0,0.003,3m,2.0,1.5,0.7,282.0,476.0,0.002,4m,2.0,3.5,1.5,16.0,272.0,0.007,2m,1.0,2.5,0.9,328.0,,,,,,,,476.0,0.01,2m,1.5,2.0,1.4,574.0,,,,,,,,0.2,8,COMPLETE
60,60,3.222913699085519,2025-06-15 00:26:09.011028,2025-06-15 00:26:11.883833,0 days 00:00:02.872805,,,,,,,,372.0,0.01,1m,1.5,3.0,1.8,104.0,366.0,0.003,1m,3.5,4.0,1.6,48.0,332,0.01,2m,1.5,1.5,0.5,60,292.0,0.002,3m,2.0,2.5,1.1,480.0,308.0,0.002,4m,1.5,1.5,1.2000000000000002,128.0,200.0,0.005,4m,2.0,3.0,1.3,228.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,6,COMPLETE
61,61,8.784601444093393,2025-06-15 00:26:11.986349,2025-06-15 00:26:14.457272,0 days 00:00:02.470923,,,,,,,,404.0,0.01,4m,1.5,2.5,1.7000000000000002,184.0,,,,,,,,388,0.01,2m,1.0,2.0,0.8,338,838.0,0.001,3m,2.0,3.0,0.8,556.0,356.0,0.002,4m,2.0,2.0,1.4,298.0,388.0,0.007,2m,2.0,2.5,1.4,130.0,,,,,,,,,,,,,,,,,,,,,,0.25,5,COMPLETE
62,62,0.9405697384392508,2025-06-15 00:26:14.534791,2025-06-15 00:26:16.685930,0 days 00:00:02.151139,,,,,,,,472.0,0.01,4m,1.5,2.5,1.7000000000000002,204.0,,,,,,,,126,0.01,2m,1.0,2.0,0.7,134,884.0,0.001,3m,2.0,3.0,0.8,544.0,,,,,,,,388.0,0.008,2m,2.0,2.5,1.4,402.0,,,,,,,,,,,,,,,,,,,,,,0.25,4,COMPLETE
63,63,2.030155994089785,2025-06-15 00:26:16.778449,2025-06-15 00:26:19.343388,0 days 00:00:02.564939,,,,,,,,426.0,0.01,4m,2.0,3.0,1.5,66.0,,,,,,,,530,0.009000000000000001,2m,1.0,2.0,0.6,184,840.0,0.006,3m,1.5,3.5,0.6,424.0,350.0,0.001,4m,2.0,2.0,1.4,398.0,478.0,0.006,2m,1.5,2.0,1.5,48.0,,,,,,,,,,,,,,,,,,,,,,0.3,5,COMPLETE
64,64,0.07305153412942489,2025-06-15 00:26:19.427420,2025-06-15 00:26:22.892234,0 days 00:00:03.464814,,,,,,,,326.0,0.009000000000000001,4m,2.0,2.5,2.0,174.0,270.0,0.006,3m,2.5,2.5,0.9,538.0,442,0.01,2m,1.0,2.5,0.8,320,760.0,0.001,3m,2.5,3.0,0.9,530.0,266.0,0.002,4m,2.0,2.5,1.3,266.0,434.0,0.001,2m,2.5,3.0,1.2000000000000002,104.0,,,,,,,,394.0,0.006,1m,1.0,1.5,0.9,968.0,,,,,,,,0.5,7,COMPLETE
65,65,6.43042466265097,2025-06-15 00:26:22.994760,2025-06-15 00:26:27.358010,0 days 00:00:04.363250,276.0,0.007,4m,3.5,2.0,0.5,604.0,564.0,0.009000000000000001,4m,1.5,2.0,1.8,362.0,548.0,0.001,4m,2.0,3.0,1.6,872.0,204,0.009000000000000001,4m,1.0,2.0,0.7,222,908.0,0.002,2m,2.0,3.0,0.8,698.0,216.0,0.001,4m,1.5,2.0,1.1,332.0,580.0,0.007,2m,2.0,3.5,1.6,192.0,512.0,0.004,2m,2.0,2.0,1.2000000000000002,666.0,362.0,0.001,2m,3.0,1.0,1.3,876.0,,,,,,,,0.25,9,COMPLETE
66,66,1.8157380532189513,2025-06-15 00:26:27.457865,2025-06-15 00:26:31.297087,0 days 00:00:03.839222,108.0,0.004,3m,2.0,3.0,1.1,446.0,300.0,0.008,4m,1.0,1.5,1.6,304.0,216.0,0.009000000000000001,3m,3.0,3.5,1.0,388.0,368,0.01,2m,1.0,1.5,0.6,604,552.0,0.001,3m,1.5,2.5,1.0,594.0,342.0,0.005,3m,2.5,4.0,1.5,182.0,356.0,0.003,1m,1.5,2.5,1.3,84.0,,,,,,,,620.0,0.008,4m,2.0,4.0,1.7000000000000002,800.0,,,,,,,,0.2,8,COMPLETE
67,67,1.1902521314694796,2025-06-15 00:26:31.371604,2025-06-15 00:26:33.745712,0 days 00:00:02.374108,,,,,,,,378.0,0.01,3m,2.0,2.0,1.9000000000000001,254.0,,,,,,,,420,0.006,1m,1.5,1.0,0.9,256,716.0,0.002,3m,2.5,3.5,0.8,482.0,388.0,0.003,4m,2.5,2.0,1.6,294.0,92.0,0.009000000000000001,3m,2.5,1.5,1.4,260.0,,,,,,,,,,,,,,,,,,,,,,0.3,5,COMPLETE
68,68,3.3143208599160174,2025-06-15 00:26:33.804714,2025-06-15 00:26:37.612133,0 days 00:00:03.807419,,,,,,,,446.0,0.009000000000000001,4m,2.0,2.5,1.7000000000000002,158.0,158.0,0.004,2m,3.5,1.5,1.8,314.0,896,0.007,3m,1.0,2.0,0.5,376,1020.0,0.003,1m,2.0,3.0,0.9,376.0,278.0,0.003,4m,1.5,2.5,1.3,64.0,650.0,0.007,2m,2.5,2.5,1.5,144.0,,,,,,,,564.0,0.009000000000000001,1m,2.0,2.5,1.6,120.0,,,,,,,,0.25,7,COMPLETE
69,69,3.7713159636012987,2025-06-15 00:26:37.673417,2025-06-15 00:26:44.702643,0 days 00:00:07.029226,422.0,0.006,4m,1.5,3.5,0.6,508.0,980.0,0.01,4m,1.5,3.0,1.5,216.0,426.0,0.002,3m,3.0,2.0,1.4,730.0,278,0.01,4m,4.0,1.5,0.6,302,652.0,0.001,3m,1.0,2.5,0.7,250.0,160.0,0.002,1m,3.0,1.5,1.4,246.0,288.0,0.008,2m,1.0,1.0,1.1,618.0,,,,,,,,1022.0,0.005,2m,1.5,2.0,1.1,956.0,,,,,,,,0.2,8,COMPLETE
70,70,2.6497267679358885,2025-06-15 00:26:44.816163,2025-06-15 00:26:49.597127,0 days 00:00:04.780964,,,,,,,,602.0,0.01,4m,2.5,1.5,1.4,100.0,104.0,0.003,3m,4.0,3.0,2.0,144.0,350,0.009000000000000001,2m,2.0,2.5,0.7,126,438.0,0.002,4m,1.5,3.5,0.6,630.0,324.0,0.001,2m,2.0,4.0,1.8,394.0,400.0,0.006,4m,2.0,4.0,1.2000000000000002,50.0,,,,,,,,,,,,,,,,,,,,,,0.25,6,COMPLETE
71,71,6.907556445492702,2025-06-15 00:26:49.709643,2025-06-15 00:26:52.364446,0 days 00:00:02.654803,,,,,,,,398.0,0.01,4m,1.5,2.5,1.7000000000000002,418.0,,,,,,,,394,0.01,2m,1.0,2.0,0.8,342,830.0,0.001,3m,2.0,3.0,0.9,564.0,424.0,0.002,4m,2.0,2.0,1.4,282.0,332.0,0.007,2m,2.0,2.5,1.4,132.0,,,,,,,,,,,,,,,,,,,,,,0.1,5,COMPLETE
72,72,2.9792316454397154,2025-06-15 00:26:52.440406,2025-06-15 00:26:55.016947,0 days 00:00:02.576541,,,,,,,,492.0,0.01,4m,1.5,2.5,1.7000000000000002,416.0,,,,,,,,494,0.01,2m,1.0,2.0,0.9,268,824.0,0.001,3m,2.0,3.0,1.0,570.0,428.0,0.002,4m,2.0,2.0,1.5,322.0,316.0,0.007,2m,2.0,3.0,1.3,112.0,,,,,,,,,,,,,,,,,,,,,,0.1,5,COMPLETE
73,73,5.284156526251862,2025-06-15 00:26:55.110459,2025-06-15 00:26:57.194530,0 days 00:00:02.084071,,,,,,,,532.0,0.01,4m,1.0,2.0,1.8,516.0,,,,,,,,422,0.01,2m,1.0,2.0,0.8,448,878.0,0.001,3m,2.0,3.0,0.8,518.0,,,,,,,,238.0,0.005,2m,2.5,2.0,1.4,48.0,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
74,74,2.5417376891184076,2025-06-15 00:26:57.275058,2025-06-15 00:26:58.915601,0 days 00:00:01.640543,,,,,,,,390.0,0.009000000000000001,4m,1.5,3.0,1.6,420.0,,,,,,,,556,0.009000000000000001,2m,1.5,2.0,1.0,358,962.0,0.002,3m,1.5,3.0,0.9,454.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,3,COMPLETE
75,75,-3.938991692403994,2025-06-15 00:26:59.004120,2025-06-15 00:27:01.515505,0 days 00:00:02.511385,,,,,,,,224.0,0.007,4m,2.0,2.5,1.9000000000000001,336.0,,,,,,,,380,0.01,4m,1.0,2.5,0.7,196,774.0,0.007,3m,2.0,3.5,1.1,406.0,226.0,0.001,4m,2.5,2.0,1.4,284.0,378.0,0.007,2m,1.5,2.5,1.5,134.0,,,,,,,,,,,,,,,,,,,,,,0.3,5,COMPLETE
76,76,5.098060655319195,2025-06-15 00:27:01.572042,2025-06-15 00:27:05.896972,0 days 00:00:04.324930,76.0,0.005,1m,2.0,2.5,0.7,518.0,430.0,0.01,4m,1.5,2.0,1.8,360.0,52.0,0.001,1m,2.5,3.5,1.9000000000000001,974.0,334,0.009000000000000001,2m,1.0,1.5,0.8,232,912.0,0.002,2m,2.0,2.5,0.7,620.0,316.0,0.003,4m,1.5,2.0,1.2000000000000002,116.0,340.0,0.008,2m,1.0,2.5,1.0,84.0,800.0,0.007,1m,3.0,1.5,1.7000000000000002,60.0,266.0,0.002,4m,2.5,1.5,1.5,648.0,,,,,,,,0.2,9,COMPLETE
77,77,-1.8436455864833745,2025-06-15 00:27:05.999997,2025-06-15 00:27:08.540810,0 days 00:00:02.540813,,,,,,,,346.0,0.01,1m,2.0,2.5,1.7000000000000002,486.0,,,,,,,,1014,0.01,2m,1.5,2.0,0.6,46,798.0,0.001,3m,3.0,3.0,0.8,664.0,478.0,0.002,4m,2.0,1.5,1.3,216.0,488.0,0.006,2m,2.5,3.0,0.6,208.0,,,,,,,,,,,,,,,,,,,,,,0.25,5,COMPLETE
78,78,1.3057582834906458,2025-06-15 00:27:08.626814,2025-06-15 00:27:11.479987,0 days 00:00:02.853173,,,,,,,,478.0,0.009000000000000001,4m,1.0,2.0,1.6,300.0,,,,,,,,458,0.01,1m,1.0,2.5,0.7,310,840.0,0.006,3m,2.0,2.0,0.5,160.0,,,,,,,,446.0,0.006,2m,2.0,2.0,1.4,298.0,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
79,79,7.264227703629279,2025-06-15 00:27:11.594502,2025-06-15 00:27:17.139555,0 days 00:00:05.545053,,,,,,,,682.0,0.008,4m,2.0,3.5,1.3,42.0,492.0,0.005,3m,3.5,4.0,1.1,630.0,242,0.009000000000000001,3m,1.0,1.5,0.5,400,896.0,0.001,3m,2.5,3.5,0.9,724.0,194.0,0.001,4m,2.0,2.5,1.5,168.0,140.0,0.005,1m,1.5,2.5,1.2000000000000002,176.0,,,,,,,,,,,,,,,,,,,,,,0.1,6,COMPLETE
80,80,-1.9732039433181825,2025-06-15 00:27:17.263577,2025-06-15 00:27:21.189339,0 days 00:00:03.925762,,,,,,,,714.0,0.008,2m,2.0,4.0,1.1,58.0,624.0,0.005,3m,2.5,4.0,1.1,642.0,58,0.009000000000000001,3m,1.5,2.0,0.5,398,942.0,0.001,3m,3.0,3.5,1.0,752.0,124.0,0.001,4m,1.0,3.0,1.5,168.0,66.0,0.004,1m,1.5,2.5,1.0,172.0,,,,,,,,,,,,,,,,,,,,,,0.1,6,COMPLETE
