,number,value,datetime_start,datetime_complete,duration,params_ADSK_QCOM_beta_win,params_ADSK_QCOM_stop_loss,params_ADSK_QCOM_trade_freq,params_ADSK_QCOM_z_entry,params_ADSK_QCOM_z_exit,params_ADSK_QCOM_z_stop_scaler,params_ADSK_QCOM_z_win,params_ALGN_CHKP_beta_win,params_ALGN_CHKP_stop_loss,params_ALGN_CHKP_trade_freq,params_ALGN_CHKP_z_entry,params_ALGN_CHKP_z_exit,params_ALGN_CHKP_z_stop_scaler,params_ALGN_CHKP_z_win,params_COST_CHKP_beta_win,params_COST_CHKP_stop_loss,params_COST_CHKP_trade_freq,params_COST_CHKP_z_entry,params_COST_CHKP_z_exit,params_COST_CHKP_z_stop_scaler,params_COST_CHKP_z_win,params_CPRT_CHKP_beta_win,params_CPRT_CHKP_stop_loss,params_CPRT_CHKP_trade_freq,params_CPRT_CHKP_z_entry,params_CPRT_CHKP_z_exit,params_CPRT_CHKP_z_stop_scaler,params_CPRT_CHKP_z_win,params_GOOGL_CHKP_beta_win,params_GOOGL_CHKP_stop_loss,params_GOOGL_CHKP_trade_freq,params_GOOGL_CHKP_z_entry,params_GOOGL_CHKP_z_exit,params_GOOGL_CHKP_z_stop_scaler,params_GOOGL_CHKP_z_win,params_GOOG_CHKP_beta_win,params_GOOG_CHKP_stop_loss,params_GOOG_CHKP_trade_freq,params_GOOG_CHKP_z_entry,params_GOOG_CHKP_z_exit,params_GOOG_CHKP_z_stop_scaler,params_GOOG_CHKP_z_win,params_ISRG_CHKP_beta_win,params_ISRG_CHKP_stop_loss,params_ISRG_CHKP_trade_freq,params_ISRG_CHKP_z_entry,params_ISRG_CHKP_z_exit,params_ISRG_CHKP_z_stop_scaler,params_ISRG_CHKP_z_win,params_LULU_CHKP_beta_win,params_LULU_CHKP_stop_loss,params_LULU_CHKP_trade_freq,params_LULU_CHKP_z_entry,params_LULU_CHKP_z_exit,params_LULU_CHKP_z_stop_scaler,params_LULU_CHKP_z_win,params_MSFT_CHKP_beta_win,params_MSFT_CHKP_stop_loss,params_MSFT_CHKP_trade_freq,params_MSFT_CHKP_z_entry,params_MSFT_CHKP_z_exit,params_MSFT_CHKP_z_stop_scaler,params_MSFT_CHKP_z_win,params_PEP_CHKP_beta_win,params_PEP_CHKP_stop_loss,params_PEP_CHKP_trade_freq,params_PEP_CHKP_z_entry,params_PEP_CHKP_z_exit,params_PEP_CHKP_z_stop_scaler,params_PEP_CHKP_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-0.9047707569680714,2025-06-15 00:22:39.898413,2025-06-15 00:22:43.035191,0 days 00:00:03.136778,,,,,,,,18.0,0.001,2m,3.5,4.0,1.6,60.0,98.0,0.001,2m,1.0,2.5,0.5,202.0,660,0.006,3m,3.0,3.0,1.6,52,372.0,0.001,2m,2.0,1.0,1.1,1012.0,694.0,0.01,4m,1.5,1.0,0.9,808.0,424.0,0.007,3m,3.0,3.0,1.3,936.0,,,,,,,,50.0,0.01,3m,4.0,4.0,0.9,1006.0,,,,,,,,0.3,7,COMPLETE
11,11,-0.0983940596509205,2025-06-15 00:22:43.111708,2025-06-15 00:22:45.802720,0 days 00:00:02.691012,,,,,,,,280.0,0.004,2m,1.0,2.5,1.5,1000.0,380.0,0.01,2m,2.0,2.5,0.9,566.0,654,0.01,1m,2.5,3.5,1.3,244,456.0,0.002,4m,4.0,4.0,2.0,862.0,452.0,0.009000000000000001,3m,2.0,2.5,0.5,1022.0,750.0,0.001,4m,2.5,2.5,1.3,530.0,,,,,,,,,,,,,,,,,,,,,,0.05,6,COMPLETE
12,12,3.262979938651689,2025-06-15 00:22:45.881751,2025-06-15 00:22:54.568722,0 days 00:00:08.686971,,,,,,,,,,,,,,,,,,,,,,604,0.006,1m,1.0,3.5,1.1,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
13,13,0.7936618739479838,2025-06-15 00:22:54.663242,2025-06-15 00:22:57.607291,0 days 00:00:02.944049,,,,,,,,314.0,0.003,2m,1.5,4.0,1.4,786.0,92.0,0.005,1m,4.0,1.5,1.3,16.0,30,0.007,1m,2.0,3.0,1.5,150,630.0,0.005,1m,3.0,1.5,1.8,402.0,414.0,0.008,3m,2.0,2.0,0.7,640.0,36.0,0.008,1m,3.0,1.0,1.6,788.0,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,6,COMPLETE
14,14,-2.5405289849630845,2025-06-15 00:22:57.683800,2025-06-15 00:23:01.655160,0 days 00:00:03.971360,1002.0,0.01,2m,4.0,4.0,2.0,16.0,268.0,0.005,2m,3.5,2.5,1.8,254.0,664.0,0.005,2m,2.0,3.0,2.0,530.0,826,0.01,3m,3.0,4.0,1.1,152,20.0,0.001,2m,4.0,4.0,1.4,800.0,666.0,0.005,4m,2.5,3.5,1.2000000000000002,24.0,300.0,0.01,4m,1.0,2.5,1.0,364.0,,,,,,,,994.0,0.001,1m,3.0,3.5,1.3,830.0,,,,,,,,0.05,8,COMPLETE
15,15,-3.083823700115799,2025-06-15 00:23:01.752675,2025-06-15 00:23:04.268657,0 days 00:00:02.515982,,,,,,,,432.0,0.005,4m,1.0,3.5,1.3,654.0,,,,,,,,486,0.001,1m,2.0,3.5,1.6,994,342.0,0.008,4m,3.0,3.5,2.0,612.0,320.0,0.001,1m,4.0,1.5,0.9,566.0,728.0,0.003,3m,2.5,3.0,1.6,670.0,,,,,,,,,,,,,,,,,,,,,,0.25,5,COMPLETE
16,16,3.5901819707327394,2025-06-15 00:23:04.350198,2025-06-15 00:23:07.885963,0 days 00:00:03.535765,,,,,,,,158.0,0.001,2m,3.5,2.0,1.2000000000000002,854.0,582.0,0.002,1m,1.5,2.0,1.0,1000.0,174,0.004,3m,3.0,3.0,1.1,420,748.0,0.005,2m,2.0,2.0,1.1,452.0,660.0,0.005,2m,2.0,3.0,0.5,954.0,234.0,0.008,1m,3.5,4.0,1.0,392.0,,,,,,,,290.0,0.009000000000000001,3m,3.0,2.5,0.5,210.0,,,,,,,,0.35000000000000003,7,COMPLETE
17,17,-3.2494867486892005,2025-06-15 00:23:07.957968,2025-06-15 00:23:16.898167,0 days 00:00:08.940199,,,,,,,,,,,,,,,,,,,,,,784,0.007,2m,1.5,2.5,1.4,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
18,18,-3.3381893878155307,2025-06-15 00:23:16.953174,2025-06-15 00:23:20.293081,0 days 00:00:03.339907,,,,,,,,486.0,0.01,2m,1.5,1.0,0.9,404.0,242.0,0.007,3m,3.0,4.0,1.5,720.0,436,0.008,1m,1.5,2.5,1.7000000000000002,350,1024.0,0.003,4m,3.5,3.5,1.7000000000000002,294.0,292.0,0.01,3m,2.5,4.0,1.5,414.0,828.0,0.007,4m,2.0,2.0,1.5,64.0,,,,,,,,392.0,0.003,3m,2.5,3.0,1.3,344.0,,,,,,,,0.1,7,COMPLETE
19,19,-0.7092270106556327,2025-06-15 00:23:20.373103,2025-06-15 00:23:22.581574,0 days 00:00:02.208471,,,,,,,,170.0,0.003,2m,2.0,3.5,1.8,164.0,,,,,,,,558,0.01,3m,3.5,4.0,1.2000000000000002,524,486.0,0.006,1m,2.0,4.0,0.5,906.0,,,,,,,,528.0,0.009000000000000001,1m,2.0,1.0,2.0,1020.0,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
20,20,0.10945360844378295,2025-06-15 00:23:22.650580,2025-06-15 00:23:27.237447,0 days 00:00:04.586867,62.0,0.006,3m,1.0,2.5,2.0,1000.0,620.0,0.006,4m,3.0,3.0,1.3,666.0,776.0,0.004,2m,4.0,3.0,0.9,312.0,156,0.005,1m,2.5,3.5,1.0,28,148.0,0.009000000000000001,4m,3.0,3.5,1.8,656.0,990.0,0.008,4m,1.0,2.0,0.9,724.0,402.0,0.006,4m,3.5,2.0,1.1,686.0,1016.0,0.005,1m,1.0,1.0,1.5,960.0,846.0,0.008,2m,1.0,2.0,2.0,750.0,,,,,,,,0.35000000000000003,9,COMPLETE
21,21,4.484594578896043,2025-06-15 00:23:27.314896,2025-06-15 00:23:31.949795,0 days 00:00:04.634899,754.0,0.001,4m,4.0,1.0,0.5,966.0,604.0,0.007,4m,1.5,3.5,2.0,378.0,998.0,0.003,3m,2.5,1.0,1.3,370.0,250,0.008,4m,1.0,1.0,0.5,80,1024.0,0.007,3m,1.0,4.0,0.6,754.0,220.0,0.002,4m,1.5,4.0,1.6,152.0,78.0,0.004,2m,3.0,3.5,0.7,260.0,48.0,0.001,3m,2.5,2.5,0.6,38.0,626.0,0.006,4m,2.0,2.5,0.8,490.0,,,,,,,,0.2,9,COMPLETE
