,number,value,datetime_start,datetime_complete,duration,params_AVGO_ZM_beta_win,params_AVGO_ZM_stop_loss,params_AVGO_ZM_trade_freq,params_AVGO_ZM_z_entry,params_AVGO_ZM_z_exit,params_AVGO_ZM_z_stop_scaler,params_AVGO_ZM_z_win,params_AZN_ZM_beta_win,params_AZN_ZM_stop_loss,params_AZN_ZM_trade_freq,params_AZN_ZM_z_entry,params_AZN_ZM_z_exit,params_AZN_ZM_z_stop_scaler,params_AZN_ZM_z_win,params_FANG_ILMN_beta_win,params_FANG_ILMN_stop_loss,params_FANG_ILMN_trade_freq,params_FANG_ILMN_z_entry,params_FANG_ILMN_z_exit,params_FANG_ILMN_z_stop_scaler,params_FANG_ILMN_z_win,params_ILMN_ZM_beta_win,params_ILMN_ZM_stop_loss,params_ILMN_ZM_trade_freq,params_ILMN_ZM_z_entry,params_ILMN_ZM_z_exit,params_ILMN_ZM_z_stop_scaler,params_ILMN_ZM_z_win,params_KHC_ZM_beta_win,params_KHC_ZM_stop_loss,params_KHC_ZM_trade_freq,params_KHC_ZM_z_entry,params_KHC_ZM_z_exit,params_KHC_ZM_z_stop_scaler,params_KHC_ZM_z_win,params_KLAC_ZM_beta_win,params_KLAC_ZM_stop_loss,params_KLAC_ZM_trade_freq,params_KLAC_ZM_z_entry,params_KLAC_ZM_z_exit,params_KLAC_ZM_z_stop_scaler,params_KLAC_ZM_z_win,params_MDLZ_ZM_beta_win,params_MDLZ_ZM_stop_loss,params_MDLZ_ZM_trade_freq,params_MDLZ_ZM_z_entry,params_MDLZ_ZM_z_exit,params_MDLZ_ZM_z_stop_scaler,params_MDLZ_ZM_z_win,params_MNST_ZM_beta_win,params_MNST_ZM_stop_loss,params_MNST_ZM_trade_freq,params_MNST_ZM_z_entry,params_MNST_ZM_z_exit,params_MNST_ZM_z_stop_scaler,params_MNST_ZM_z_win,params_ROST_ZM_beta_win,params_ROST_ZM_stop_loss,params_ROST_ZM_trade_freq,params_ROST_ZM_z_entry,params_ROST_ZM_z_exit,params_ROST_ZM_z_stop_scaler,params_ROST_ZM_z_win,params_SBUX_ZM_beta_win,params_SBUX_ZM_stop_loss,params_SBUX_ZM_trade_freq,params_SBUX_ZM_z_entry,params_SBUX_ZM_z_exit,params_SBUX_ZM_z_stop_scaler,params_SBUX_ZM_z_win,params_buffer_capital,params_pairs_to_trade,state
33,33,2.5807371903768277,2025-06-15 01:15:15.407571,2025-06-15 01:15:19.733096,0 days 00:00:04.325525,478.0,0.007,1m,2.0,2.0,0.7,296.0,308.0,0.006,2m,2.5,3.5,2.0,838.0,614,0.01,4m,2.0,3.5,1.1,326,556.0,0.007,4m,2.5,1.5,1.2000000000000002,794.0,998.0,0.003,3m,2.0,3.0,1.6,684.0,172.0,0.005,4m,3.5,3.0,1.3,484.0,182.0,0.001,3m,3.5,3.0,0.9,550.0,,,,,,,,104.0,0.003,4m,1.5,2.0,0.7,148.0,256.0,0.003,2m,3.5,1.5,1.6,868.0,0.45,9,COMPLETE
34,34,1.915614701590511,2025-06-15 01:15:19.824609,2025-06-15 01:15:24.159951,0 days 00:00:04.335342,642.0,0.008,1m,2.0,2.0,0.6,242.0,582.0,0.004,2m,3.5,4.0,1.8,788.0,362,0.007,4m,2.5,3.0,1.0,112,164.0,0.009000000000000001,4m,3.5,1.0,1.5,622.0,302.0,0.007,4m,3.0,2.0,0.8,128.0,412.0,0.002,4m,4.0,2.5,0.6,262.0,702.0,0.005,3m,2.5,3.0,1.6,422.0,,,,,,,,288.0,0.002,4m,1.0,1.5,1.3,232.0,138.0,0.001,2m,3.0,1.0,1.8,950.0,0.35000000000000003,9,COMPLETE
35,35,1.686352310161821,2025-06-15 01:15:24.251969,2025-06-15 01:15:28.290393,0 days 00:00:04.038424,316.0,0.006,1m,1.0,2.5,0.8,84.0,62.0,0.005,2m,3.5,3.5,1.6,552.0,348,0.008,4m,3.0,3.5,1.4,324,908.0,0.004,4m,3.0,3.0,1.8,902.0,,,,,,,,600.0,0.005,4m,3.5,1.5,1.1,518.0,162.0,0.003,3m,3.5,3.0,0.6,644.0,,,,,,,,568.0,0.001,3m,2.0,2.0,0.9,98.0,478.0,0.004,2m,2.5,2.0,1.5,746.0,0.45,8,COMPLETE
36,36,6.76150992478222,2025-06-15 01:15:28.360901,2025-06-15 01:15:31.970121,0 days 00:00:03.609220,658.0,0.005,1m,1.5,1.5,1.0,512.0,202.0,0.005,2m,2.0,2.0,1.5,460.0,516,0.006,4m,2.0,4.0,0.8,254,348.0,0.009000000000000001,4m,2.0,3.5,1.3,448.0,,,,,,,,818.0,0.003,4m,3.0,2.0,1.8,312.0,,,,,,,,,,,,,,,248.0,0.003,4m,3.0,2.5,1.1,22.0,596.0,0.002,2m,3.5,1.5,1.3,38.0,0.5,7,COMPLETE
37,37,0.2622884978010777,2025-06-15 01:15:32.037822,2025-06-15 01:15:35.563202,0 days 00:00:03.525380,678.0,0.002,2m,1.5,1.5,1.0,476.0,196.0,0.007,4m,2.0,2.0,1.5,438.0,500,0.005,4m,1.5,4.0,0.6,362,358.0,0.009000000000000001,4m,2.0,3.5,1.3,464.0,,,,,,,,824.0,0.002,4m,2.5,1.5,1.8,132.0,,,,,,,,,,,,,,,954.0,0.003,1m,3.0,2.5,1.1,20.0,596.0,0.002,4m,1.0,4.0,1.6,76.0,0.5,7,COMPLETE
38,38,-4.501708087418268,2025-06-15 01:15:35.633217,2025-06-15 01:15:39.413567,0 days 00:00:03.780350,864.0,0.003,4m,1.0,1.5,1.3,374.0,116.0,0.008,1m,1.5,2.0,1.4,462.0,538,0.006,3m,2.0,4.0,0.8,290,440.0,0.009000000000000001,3m,1.5,3.5,1.1,420.0,,,,,,,,878.0,0.003,1m,3.0,2.0,1.9000000000000001,288.0,,,,,,,,,,,,,,,216.0,0.004,3m,3.0,3.0,1.4,440.0,968.0,0.004,2m,3.5,3.0,1.6,60.0,0.3,7,COMPLETE
39,39,1.2120937790665776,2025-06-15 01:15:39.493156,2025-06-15 01:15:42.160713,0 days 00:00:02.667557,710.0,0.009000000000000001,1m,2.5,1.5,1.1,622.0,428.0,0.006,4m,1.5,2.0,1.2000000000000002,372.0,392,0.001,4m,1.5,4.0,0.6,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.0,0.004,4m,2.5,3.5,1.2000000000000002,218.0,654.0,0.001,3m,3.5,1.0,1.0,558.0,0.5,5,COMPLETE
40,40,-1.3257778755316678,2025-06-15 01:15:42.234165,2025-06-15 01:15:46.202908,0 days 00:00:03.968743,576.0,0.005,1m,1.5,1.0,1.0,522.0,580.0,0.005,1m,2.0,2.5,1.6,110.0,676,0.004,2m,2.5,4.0,0.8,62,324.0,0.008,2m,2.5,4.0,1.2000000000000002,592.0,,,,,,,,730.0,0.002,3m,2.5,3.0,1.7000000000000002,176.0,800.0,0.007,1m,1.5,2.0,1.7000000000000002,962.0,,,,,,,,180.0,0.003,4m,3.5,2.5,1.1,66.0,804.0,0.005,3m,4.0,2.0,1.8,400.0,0.5,8,COMPLETE
41,41,2.2666636193028755,2025-06-15 01:15:46.284897,2025-06-15 01:15:51.304694,0 days 00:00:05.019797,392.0,0.008,1m,2.0,2.5,0.7,1022.0,256.0,0.005,2m,2.5,1.5,1.9000000000000001,598.0,284,0.007,4m,2.0,3.5,0.9,244,160.0,0.007,4m,2.5,4.0,1.4,284.0,624.0,0.003,2m,1.5,3.5,0.9,754.0,436.0,0.004,4m,3.5,2.5,1.4,346.0,420.0,0.002,3m,3.5,4.0,1.0,174.0,132.0,0.004,1m,2.5,2.5,1.5,594.0,16.0,0.002,4m,1.5,2.0,0.6,124.0,384.0,0.003,2m,3.0,1.5,1.3,846.0,0.45,10,COMPLETE
42,42,0.28052957524662875,2025-06-15 01:15:51.371550,2025-06-15 01:15:55.916835,0 days 00:00:04.545285,526.0,0.007,1m,2.5,2.0,0.5,170.0,24.0,0.004,2m,2.5,2.5,1.8,710.0,400,0.006,4m,4.0,2.0,1.2000000000000002,226,286.0,0.006,4m,3.0,3.5,1.4,978.0,798.0,0.007,1m,3.0,2.0,1.5,598.0,586.0,0.005,4m,4.0,2.5,1.9000000000000001,454.0,516.0,0.002,2m,2.0,3.5,0.7,334.0,,,,,,,,278.0,0.002,4m,2.0,1.5,0.9,162.0,72.0,0.002,2m,3.5,1.5,1.4,962.0,0.45,9,COMPLETE
43,43,6.8418817524874544,2025-06-15 01:15:55.984846,2025-06-15 01:15:59.730661,0 days 00:00:03.745815,642.0,0.009000000000000001,1m,1.5,1.5,1.5,700.0,232.0,0.002,2m,2.0,3.0,1.6,330.0,586,0.008,4m,2.5,2.5,1.0,316,146.0,0.009000000000000001,4m,2.0,1.0,1.6,696.0,,,,,,,,906.0,0.003,4m,3.5,2.5,1.0,318.0,,,,,,,,,,,,,,,550.0,0.001,4m,3.0,2.5,0.8,32.0,480.0,0.003,2m,3.0,1.5,1.2000000000000002,162.0,0.4,7,COMPLETE
44,44,-2.1650841499345215,2025-06-15 01:15:59.802863,2025-06-15 01:16:03.238954,0 days 00:00:03.436091,854.0,0.009000000000000001,2m,1.0,1.5,1.5,756.0,212.0,0.002,2m,2.0,2.0,1.6,312.0,518,0.01,4m,2.5,2.5,0.8,316,950.0,0.009000000000000001,4m,2.0,1.0,1.7000000000000002,676.0,,,,,,,,902.0,0.003,4m,3.0,2.0,1.6,314.0,,,,,,,,,,,,,,,608.0,0.001,4m,3.0,2.5,0.8,28.0,484.0,0.001,2m,2.0,3.5,1.1,150.0,0.35000000000000003,7,COMPLETE
45,45,7.254738285125038,2025-06-15 01:16:03.322768,2025-06-15 01:16:07.413465,0 days 00:00:04.090697,648.0,0.009000000000000001,1m,1.5,1.5,1.7000000000000002,914.0,366.0,0.001,2m,1.5,1.0,1.5,474.0,590,0.008,4m,2.5,2.0,1.0,460,112.0,0.008,3m,1.5,1.0,1.6,540.0,,,,,,,,768.0,0.001,2m,4.0,3.0,1.2000000000000002,594.0,824.0,0.008,4m,1.5,1.0,1.7000000000000002,616.0,,,,,,,,532.0,0.001,3m,2.5,3.0,2.0,1016.0,600.0,0.002,4m,3.5,1.0,0.9,22.0,0.4,8,COMPLETE
46,46,-1.2089159592785657,2025-06-15 01:16:07.502421,2025-06-15 01:16:11.421772,0 days 00:00:03.919351,616.0,0.009000000000000001,1m,2.5,1.0,1.7000000000000002,926.0,372.0,0.001,1m,1.5,1.0,1.7000000000000002,296.0,570,0.008,3m,2.5,1.5,1.0,540,124.0,0.008,3m,1.5,1.0,1.9000000000000001,520.0,,,,,,,,924.0,0.001,2m,4.0,3.5,1.2000000000000002,580.0,866.0,0.008,4m,1.5,1.0,1.7000000000000002,606.0,,,,,,,,534.0,0.001,3m,2.5,3.5,1.9000000000000001,852.0,460.0,0.006,4m,3.0,1.0,0.8,138.0,0.4,8,COMPLETE
47,47,5.883479093104688,2025-06-15 01:16:11.501412,2025-06-15 01:16:15.358676,0 days 00:00:03.857264,740.0,0.01,4m,1.5,1.5,1.8,854.0,342.0,0.002,2m,1.0,4.0,1.3,558.0,594,0.008,4m,3.0,2.0,1.1,434,96.0,0.01,3m,1.0,1.0,1.7000000000000002,524.0,,,,,,,,724.0,0.007,2m,4.0,3.5,0.8,18.0,884.0,0.009000000000000001,4m,1.5,1.5,1.4,788.0,,,,,,,,454.0,0.001,3m,2.5,3.0,1.7000000000000002,680.0,542.0,0.003,4m,2.5,1.0,0.6,212.0,0.35000000000000003,8,COMPLETE
48,48,0.7296792367608799,2025-06-15 01:16:15.434093,2025-06-15 01:16:18.120998,0 days 00:00:02.686905,192.0,0.008,2m,4.0,1.0,2.0,686.0,462.0,0.001,3m,1.5,3.5,1.4,156.0,660,0.009000000000000001,4m,2.5,2.0,1.0,678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546.0,0.007,3m,2.0,3.0,2.0,952.0,398.0,0.004,4m,4.0,2.5,0.9,258.0,0.4,5,COMPLETE
49,49,-5.581574855861936,2025-06-15 01:16:18.179823,2025-06-15 01:16:21.286556,0 days 00:00:03.106733,86.0,0.009000000000000001,1m,1.0,2.0,1.4,932.0,292.0,0.002,2m,1.5,4.0,0.7,182.0,30,0.009000000000000001,2m,3.0,1.5,0.9,468,1020.0,0.008,3m,1.5,1.0,1.7000000000000002,784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642.0,0.001,3m,2.5,3.0,1.5,670.0,316.0,0.007,4m,3.0,1.0,1.9000000000000001,326.0,0.25,6,COMPLETE
50,50,-1.1823921472028884,2025-06-15 01:16:21.347987,2025-06-15 01:16:24.853454,0 days 00:00:03.505467,814.0,0.008,1m,1.5,1.0,1.6,782.0,456.0,0.001,2m,1.0,1.5,1.1,482.0,714,0.001,4m,2.5,2.0,1.2000000000000002,790,866.0,0.001,3m,1.0,1.5,1.6,680.0,,,,,,,,676.0,0.001,2m,4.0,3.0,1.0,588.0,,,,,,,,,,,,,,,388.0,0.005,1m,3.5,3.5,1.0,814.0,670.0,0.002,1m,3.5,1.5,1.2000000000000002,136.0,0.2,7,COMPLETE
51,51,7.67268800349414,2025-06-15 01:16:24.918644,2025-06-15 01:16:28.438475,0 days 00:00:03.519831,664.0,0.01,1m,1.5,1.5,1.9000000000000001,688.0,172.0,0.003,2m,2.0,1.0,1.5,494.0,502,0.008,4m,2.0,2.5,0.7,366,120.0,0.009000000000000001,4m,2.0,2.5,1.6,412.0,,,,,,,,866.0,0.002,4m,3.5,3.0,1.3,446.0,,,,,,,,,,,,,,,488.0,0.003,4m,3.0,2.5,1.1,88.0,598.0,0.002,2m,3.5,1.5,1.0,48.0,0.4,7,COMPLETE
52,52,1.0665918590393588,2025-06-15 01:16:28.514188,2025-06-15 01:16:32.131783,0 days 00:00:03.617595,698.0,0.01,1m,1.5,1.5,1.9000000000000001,688.0,114.0,0.003,2m,2.0,1.0,1.6,34.0,476,0.008,4m,2.0,2.5,0.5,378,78.0,0.01,4m,1.5,2.5,1.6,378.0,,,,,,,,766.0,0.002,4m,3.5,2.5,1.3,454.0,,,,,,,,,,,,,,,488.0,0.002,4m,2.0,2.5,0.9,68.0,750.0,0.001,1m,4.0,2.0,1.0,104.0,0.4,7,COMPLETE
53,53,-0.21839078826962605,2025-06-15 01:16:32.228323,2025-06-15 01:16:33.313732,0 days 00:00:01.085409,,,,,,,,,,,,,,,568,0.01,4m,2.5,2.5,0.7,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590.0,0.001,3m,3.5,1.5,1.2000000000000002,1004.0,,,,,,,,0.4,2,COMPLETE
54,54,6.003378309003029,2025-06-15 01:16:33.382904,2025-06-15 01:16:37.501272,0 days 00:00:04.118368,630.0,0.01,1m,2.0,1.5,1.9000000000000001,824.0,160.0,0.001,2m,1.5,1.0,1.5,506.0,772,0.008,4m,2.0,1.5,0.9,410,136.0,0.009000000000000001,2m,2.5,2.5,1.8,310.0,,,,,,,,292.0,0.002,2m,3.5,3.0,1.1,742.0,542.0,0.006,4m,2.5,2.0,1.8,484.0,,,,,,,,724.0,0.003,4m,4.0,2.5,1.0,190.0,616.0,0.003,4m,3.5,1.5,0.8,186.0,0.3,8,COMPLETE
55,55,5.756689641160079,2025-06-15 01:16:37.575396,2025-06-15 01:16:40.735702,0 days 00:00:03.160306,554.0,0.009000000000000001,1m,1.5,2.0,1.7000000000000002,74.0,242.0,0.003,2m,2.0,1.5,1.4,378.0,646,0.002,4m,2.0,2.0,1.1,620,38.0,0.01,4m,2.0,2.0,1.5,540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,0.004,2m,3.0,1.5,0.8,250.0,526.0,0.002,1m,3.5,1.0,1.0,82.0,0.35000000000000003,6,COMPLETE
56,56,-2.3065865238410863,2025-06-15 01:16:40.801345,2025-06-15 01:16:42.892101,0 days 00:00:02.090756,932.0,0.01,3m,1.0,1.0,1.5,932.0,338.0,0.002,2m,1.5,4.0,1.7000000000000002,906.0,308,0.009000000000000001,4m,1.5,2.5,1.0,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.0,0.002,1m,2.5,1.0,1.4,86.0,,,,,,,,0.4,4,COMPLETE
57,57,3.0799642629959845,2025-06-15 01:16:42.954228,2025-06-15 01:16:46.446392,0 days 00:00:03.492164,790.0,0.009000000000000001,4m,3.5,1.5,1.7000000000000002,582.0,376.0,0.002,3m,1.0,1.0,1.3,328.0,600,0.008,3m,2.5,2.0,0.6,466,102.0,0.008,4m,3.5,3.0,1.6,840.0,,,,,,,,918.0,0.006,4m,4.0,3.0,1.2000000000000002,420.0,,,,,,,,,,,,,,,662.0,0.005,2m,2.5,2.0,1.1,630.0,418.0,0.001,2m,4.0,3.0,0.9,22.0,0.1,7,COMPLETE
58,58,2.7860016523564757,2025-06-15 01:16:46.515605,2025-06-15 01:16:50.602390,0 days 00:00:04.086785,40.0,0.01,3m,2.5,1.0,1.8,686.0,298.0,0.001,4m,2.0,3.0,1.6,618.0,242,0.004,4m,2.5,2.5,0.8,1016,950.0,0.009000000000000001,4m,1.5,1.0,1.8,734.0,,,,,,,,662.0,0.001,3m,4.0,1.0,1.4,646.0,684.0,0.008,4m,1.0,1.5,1.3,620.0,,,,,,,,546.0,0.004,4m,2.0,2.5,1.0,732.0,350.0,0.003,1m,2.0,2.5,1.9000000000000001,648.0,0.35000000000000003,8,COMPLETE
59,59,2.018779840070881,2025-06-15 01:16:50.670778,2025-06-15 01:16:53.694559,0 days 00:00:03.023781,588.0,0.01,1m,1.5,2.0,2.0,872.0,538.0,0.01,2m,1.5,4.0,1.5,1010.0,668,0.003,1m,3.0,1.0,0.7,290,172.0,0.01,3m,2.5,1.5,1.4,630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464.0,0.003,2m,2.0,3.5,0.8,546.0,276.0,0.007,3m,4.0,2.0,0.8,756.0,0.45,6,COMPLETE
60,60,1.172312624979142,2025-06-15 01:16:53.767662,2025-06-15 01:16:58.285744,0 days 00:00:04.518082,274.0,0.008,3m,4.0,4.0,1.9000000000000001,56.0,92.0,0.003,3m,1.0,1.0,1.2000000000000002,872.0,546,0.002,4m,2.0,3.0,2.0,956,36.0,0.008,2m,2.0,2.0,1.0,950.0,50.0,0.008,4m,3.5,1.5,1.6,250.0,790.0,0.003,4m,3.5,3.5,0.9,532.0,152.0,0.005,4m,2.0,1.0,1.5,686.0,,,,,,,,378.0,0.006,3m,3.0,3.0,1.7000000000000002,172.0,738.0,0.005,1m,3.0,1.5,1.2000000000000002,396.0,0.4,9,COMPLETE
61,61,6.98776736561512,2025-06-15 01:16:58.372726,2025-06-15 01:17:02.033474,0 days 00:00:03.660748,672.0,0.009000000000000001,1m,1.5,1.5,1.2000000000000002,482.0,236.0,0.001,2m,2.0,1.5,1.5,418.0,490,0.006,4m,2.0,4.0,0.9,198,272.0,0.009000000000000001,4m,2.0,4.0,1.3,418.0,,,,,,,,842.0,0.003,4m,3.0,2.5,1.9000000000000001,320.0,,,,,,,,,,,,,,,614.0,0.003,4m,3.0,2.5,1.1,52.0,584.0,0.002,2m,3.5,1.5,1.7000000000000002,16.0,0.45,7,COMPLETE
62,62,9.33861394172296,2025-06-15 01:17:02.107467,2025-06-15 01:17:05.825285,0 days 00:00:03.717818,720.0,0.009000000000000001,1m,1.5,1.5,1.2000000000000002,446.0,252.0,0.001,2m,2.0,1.5,1.4,418.0,494,0.007,4m,2.0,3.5,0.9,204,262.0,0.009000000000000001,4m,2.0,4.0,1.4,282.0,,,,,,,,960.0,0.004,4m,1.5,2.5,2.0,430.0,,,,,,,,,,,,,,,612.0,0.004,4m,3.0,2.5,1.2000000000000002,54.0,562.0,0.002,2m,3.5,2.0,1.7000000000000002,20.0,0.45,7,COMPLETE
63,63,6.118559826938648,2025-06-15 01:17:05.899275,2025-06-15 01:17:09.976500,0 days 00:00:04.077225,742.0,0.009000000000000001,1m,2.0,1.0,1.2000000000000002,410.0,152.0,0.001,2m,1.5,1.5,1.4,506.0,444,0.007,4m,2.0,3.5,0.9,188,266.0,0.01,4m,2.5,4.0,1.4,270.0,,,,,,,,950.0,0.004,4m,1.0,2.5,2.0,440.0,794.0,0.009000000000000001,2m,1.5,2.5,1.2000000000000002,868.0,,,,,,,,506.0,0.004,4m,3.5,3.0,1.3,110.0,564.0,0.002,2m,3.5,2.0,1.7000000000000002,32.0,0.45,8,COMPLETE
64,64,6.335383544201129,2025-06-15 01:17:10.046555,2025-06-15 01:17:13.280358,0 days 00:00:03.233803,698.0,0.01,1m,1.0,1.5,1.3,474.0,414.0,0.001,2m,2.0,1.5,1.3,436.0,498,0.005,4m,1.5,4.0,0.9,110,218.0,0.002,4m,1.5,4.0,0.6,414.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598.0,0.005,4m,2.5,2.0,1.2000000000000002,72.0,618.0,0.001,2m,4.0,2.0,1.7000000000000002,112.0,0.45,6,COMPLETE
65,65,-3.252133215286932,2025-06-15 01:17:13.327312,2025-06-15 01:17:16.857348,0 days 00:00:03.530036,88.0,0.009000000000000001,3m,3.0,1.5,1.1,356.0,824.0,0.001,2m,1.0,1.0,1.4,560.0,402,0.006,2m,2.0,3.5,1.1,156,984.0,0.009000000000000001,4m,3.5,4.0,1.2000000000000002,326.0,,,,,,,,148.0,0.005,1m,2.0,2.5,1.9000000000000001,490.0,,,,,,,,,,,,,,,706.0,0.003,2m,3.0,1.5,1.2000000000000002,322.0,644.0,0.002,2m,3.5,2.5,1.9000000000000001,64.0,0.45,7,COMPLETE
66,66,4.849991001984487,2025-06-15 01:17:16.925501,2025-06-15 01:17:20.982925,0 days 00:00:04.057424,776.0,0.008,1m,1.5,1.0,1.2000000000000002,442.0,322.0,0.001,1m,1.5,1.0,1.0,394.0,466,0.007,4m,1.5,4.0,0.7,88,292.0,0.008,4m,2.0,4.0,0.8,226.0,,,,,,,,866.0,0.009000000000000001,4m,1.5,3.0,2.0,888.0,482.0,0.006,1m,3.5,3.0,1.8,422.0,,,,,,,,620.0,0.005,4m,1.5,4.0,1.1,254.0,704.0,0.001,1m,4.0,1.5,1.6,20.0,0.4,8,COMPLETE
67,67,3.330177776005012,2025-06-15 01:17:21.039441,2025-06-15 01:17:24.011501,0 days 00:00:02.972060,170.0,0.01,3m,3.5,3.5,1.4,132.0,170.0,0.002,2m,2.5,1.5,1.5,828.0,620,0.006,4m,1.0,3.5,0.8,348,430.0,0.01,1m,1.0,3.5,1.5,146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432.0,0.009000000000000001,2m,2.0,2.0,1.3,50.0,520.0,0.002,2m,3.5,2.0,1.5,814.0,0.45,6,COMPLETE
68,68,3.1546454714858636,2025-06-15 01:17:24.100679,2025-06-15 01:17:27.685217,0 days 00:00:03.584538,824.0,0.009000000000000001,2m,2.0,2.0,1.3,550.0,256.0,0.003,3m,2.0,1.0,1.2000000000000002,660.0,842,0.007,4m,2.0,4.0,0.6,398,530.0,0.008,4m,1.5,4.0,1.5,468.0,,,,,,,,970.0,0.007,2m,1.5,3.0,1.9000000000000001,402.0,,,,,,,,,,,,,,,768.0,0.003,4m,2.5,2.5,1.0,458.0,206.0,0.001,4m,3.5,1.0,1.8,996.0,0.35000000000000003,7,COMPLETE
69,69,-0.21434774879742244,2025-06-15 01:17:27.737409,2025-06-15 01:17:31.853685,0 days 00:00:04.116276,676.0,0.01,1m,1.5,1.5,0.5,286.0,652.0,0.001,2m,2.5,1.5,1.3,724.0,918,0.001,1m,2.0,3.0,0.9,30,388.0,0.007,4m,4.0,2.5,1.3,386.0,,,,,,,,542.0,0.004,4m,2.5,2.5,1.5,216.0,596.0,0.008,4m,2.5,2.5,1.1,546.0,,,,,,,,650.0,0.004,4m,3.5,3.0,0.9,202.0,448.0,0.002,1m,3.5,1.5,1.7000000000000002,98.0,0.4,8,COMPLETE
70,70,6.697468866011931,2025-06-15 01:17:31.926707,2025-06-15 01:17:36.546820,0 days 00:00:04.620113,720.0,0.001,1m,2.5,1.0,0.9,250.0,534.0,0.002,2m,1.5,1.5,1.5,986.0,786,0.005,4m,2.0,3.5,1.0,212,186.0,0.009000000000000001,3m,2.5,3.0,1.3,242.0,998.0,0.003,3m,2.5,2.5,2.0,252.0,1022.0,0.002,3m,2.0,3.5,1.7000000000000002,722.0,940.0,0.004,4m,2.5,1.5,1.6,136.0,,,,,,,,572.0,0.004,2m,3.0,1.5,1.4,144.0,568.0,0.01,2m,4.0,3.0,1.6,56.0,0.5,9,COMPLETE
71,71,4.848406679327742,2025-06-15 01:17:36.613535,2025-06-15 01:17:40.325702,0 days 00:00:03.712167,658.0,0.009000000000000001,1m,1.5,1.5,1.6,600.0,232.0,0.002,2m,2.0,4.0,1.6,348.0,538,0.008,4m,2.5,4.0,1.0,300,140.0,0.009000000000000001,4m,2.0,1.0,1.6,328.0,,,,,,,,874.0,0.003,4m,3.0,2.5,1.1,334.0,,,,,,,,,,,,,,,534.0,0.002,4m,3.0,2.5,1.1,48.0,504.0,0.003,2m,3.0,1.5,1.1,172.0,0.4,7,COMPLETE
72,72,4.550862720679315,2025-06-15 01:17:40.386065,2025-06-15 01:17:44.053885,0 days 00:00:03.667820,606.0,0.008,1m,1.5,1.5,1.5,718.0,276.0,0.001,2m,2.0,2.5,1.7000000000000002,282.0,730,0.008,4m,2.5,3.0,1.0,266,246.0,0.009000000000000001,4m,2.0,1.5,1.7000000000000002,568.0,,,,,,,,794.0,0.004,4m,4.0,2.5,2.0,392.0,,,,,,,,,,,,,,,676.0,0.001,4m,3.0,2.5,1.0,96.0,378.0,0.002,2m,3.0,1.5,1.7000000000000002,20.0,0.4,7,COMPLETE
73,73,2.292994966999688,2025-06-15 01:17:44.119109,2025-06-15 01:17:47.573402,0 days 00:00:03.454293,572.0,0.007,1m,1.5,1.5,1.1,108.0,188.0,0.002,2m,2.0,3.5,1.8,416.0,506,0.007,4m,2.5,4.0,0.8,130,598.0,0.01,4m,2.0,1.5,1.6,1024.0,,,,,,,,952.0,0.003,4m,3.5,2.0,1.3,292.0,,,,,,,,,,,,,,,558.0,0.002,4m,3.0,2.5,1.1,108.0,484.0,0.002,2m,2.5,1.5,1.4,116.0,0.45,7,COMPLETE
74,74,1.0011302358711702,2025-06-15 01:17:47.654805,2025-06-15 01:17:50.629058,0 days 00:00:02.974253,124.0,0.009000000000000001,1m,2.0,2.0,0.8,220.0,224.0,0.002,2m,1.5,4.0,1.6,530.0,678,0.008,4m,2.5,2.5,1.2000000000000002,164,74.0,0.009000000000000001,4m,3.0,1.0,1.4,424.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.0,0.003,4m,2.5,1.0,1.2000000000000002,46.0,310.0,0.003,2m,3.5,1.0,1.8,698.0,0.35000000000000003,6,COMPLETE
75,75,6.768686754579713,2025-06-15 01:17:50.688937,2025-06-15 01:17:54.320600,0 days 00:00:03.631663,454.0,0.008,3m,3.0,1.5,1.4,320.0,356.0,0.003,2m,2.0,1.0,1.5,348.0,580,0.009000000000000001,4m,2.0,3.0,1.1,352,206.0,0.008,4m,2.0,2.0,1.5,500.0,,,,,,,,850.0,0.002,4m,1.0,1.5,0.9,366.0,,,,,,,,,,,,,,,480.0,0.006,4m,3.0,2.0,0.9,18.0,436.0,0.003,2m,3.5,2.0,1.5,852.0,0.45,7,COMPLETE
