,number,value,datetime_start,datetime_complete,duration,params_AVGO_ZM_beta_win,params_AVGO_ZM_stop_loss,params_AVGO_ZM_trade_freq,params_AVGO_ZM_z_entry,params_AVGO_ZM_z_exit,params_AVGO_ZM_z_stop_scaler,params_AVGO_ZM_z_win,params_AZN_ZM_beta_win,params_AZN_ZM_stop_loss,params_AZN_ZM_trade_freq,params_AZN_ZM_z_entry,params_AZN_ZM_z_exit,params_AZN_ZM_z_stop_scaler,params_AZN_ZM_z_win,params_FANG_ILMN_beta_win,params_FANG_ILMN_stop_loss,params_FANG_ILMN_trade_freq,params_FANG_ILMN_z_entry,params_FANG_ILMN_z_exit,params_FANG_ILMN_z_stop_scaler,params_FANG_ILMN_z_win,params_ILMN_ZM_beta_win,params_ILMN_ZM_stop_loss,params_ILMN_ZM_trade_freq,params_ILMN_ZM_z_entry,params_ILMN_ZM_z_exit,params_ILMN_ZM_z_stop_scaler,params_ILMN_ZM_z_win,params_KHC_ZM_beta_win,params_KHC_ZM_stop_loss,params_KHC_ZM_trade_freq,params_KHC_ZM_z_entry,params_KHC_ZM_z_exit,params_KHC_ZM_z_stop_scaler,params_KHC_ZM_z_win,params_KLAC_ZM_beta_win,params_KLAC_ZM_stop_loss,params_KLAC_ZM_trade_freq,params_KLAC_ZM_z_entry,params_KLAC_ZM_z_exit,params_KLAC_ZM_z_stop_scaler,params_KLAC_ZM_z_win,params_MDLZ_ZM_beta_win,params_MDLZ_ZM_stop_loss,params_MDLZ_ZM_trade_freq,params_MDLZ_ZM_z_entry,params_MDLZ_ZM_z_exit,params_MDLZ_ZM_z_stop_scaler,params_MDLZ_ZM_z_win,params_MNST_ZM_beta_win,params_MNST_ZM_stop_loss,params_MNST_ZM_trade_freq,params_MNST_ZM_z_entry,params_MNST_ZM_z_exit,params_MNST_ZM_z_stop_scaler,params_MNST_ZM_z_win,params_ROST_ZM_beta_win,params_ROST_ZM_stop_loss,params_ROST_ZM_trade_freq,params_ROST_ZM_z_entry,params_ROST_ZM_z_exit,params_ROST_ZM_z_stop_scaler,params_ROST_ZM_z_win,params_SBUX_ZM_beta_win,params_SBUX_ZM_stop_loss,params_SBUX_ZM_trade_freq,params_SBUX_ZM_z_entry,params_SBUX_ZM_z_exit,params_SBUX_ZM_z_stop_scaler,params_SBUX_ZM_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,0.39866570976976357,2025-06-15 01:13:52.712227,2025-06-15 01:13:53.317195,0 days 00:00:00.604968,,,,,,,,,,,,,,,640,0.006,1m,3.0,1.0,0.5,1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
11,11,7.285506410762427,2025-06-15 01:13:53.376049,2025-06-15 01:13:56.624537,0 days 00:00:03.248488,30.0,0.01,3m,3.0,1.0,0.5,92.0,474.0,0.001,2m,1.5,4.0,1.5,992.0,720,0.001,4m,2.5,4.0,0.8,342,1006.0,0.01,4m,4.0,4.0,0.5,988.0,,,,,,,,90.0,0.01,4m,4.0,1.0,2.0,926.0,,,,,,,,,,,,,,,446.0,0.004,2m,2.0,1.5,1.0,28.0,334.0,0.01,1m,4.0,3.0,1.6,768.0,0.4,7,COMPLETE
12,12,5.752605447835431,2025-06-15 01:13:56.691300,2025-06-15 01:13:59.471487,0 days 00:00:02.780187,58.0,0.01,3m,3.0,1.0,0.5,86.0,360.0,0.001,2m,1.0,4.0,1.4,972.0,744,0.002,1m,2.5,4.0,0.9,480,62.0,0.01,1m,4.0,2.0,0.5,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498.0,0.005,2m,2.0,1.5,1.0,320.0,420.0,0.009000000000000001,1m,4.0,2.5,2.0,804.0,0.4,6,COMPLETE
13,13,4.41458986205651,2025-06-15 01:13:59.531499,2025-06-15 01:14:02.591862,0 days 00:00:03.060363,238.0,0.01,3m,3.5,1.0,0.5,28.0,450.0,0.001,2m,1.0,4.0,1.3,1020.0,752,0.001,1m,2.5,4.0,1.1,472,58.0,0.01,1m,4.0,2.0,0.5,16.0,,,,,,,,40.0,0.01,1m,4.0,2.0,2.0,1024.0,,,,,,,,,,,,,,,432.0,0.004,2m,2.0,1.0,1.1,64.0,414.0,0.01,1m,4.0,2.5,2.0,818.0,0.35000000000000003,7,COMPLETE
14,14,5.316618637355324,2025-06-15 01:14:02.672293,2025-06-15 01:14:05.719607,0 days 00:00:03.047314,22.0,0.004,3m,3.0,1.0,0.8,16.0,492.0,0.001,3m,1.0,4.0,1.0,676.0,798,0.003,4m,2.0,3.5,1.6,186,666.0,0.01,1m,4.0,2.0,0.5,76.0,,,,,,,,990.0,0.01,4m,4.0,4.0,1.4,954.0,,,,,,,,,,,,,,,414.0,0.005,2m,2.0,1.5,1.0,294.0,348.0,0.009000000000000001,1m,4.0,2.0,1.7000000000000002,690.0,0.4,7,COMPLETE
15,15,3.2743002339638156,2025-06-15 01:14:05.777402,2025-06-15 01:14:08.466465,0 days 00:00:02.689063,376.0,0.01,4m,3.0,2.0,0.8,194.0,320.0,0.003,2m,1.5,2.5,1.5,1010.0,810,0.002,1m,3.0,3.5,1.0,422,42.0,0.008,1m,3.5,2.5,0.8,974.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.0,0.002,1m,1.5,1.5,0.5,192.0,670.0,0.008,1m,4.0,3.0,2.0,678.0,0.3,6,COMPLETE
16,16,3.9584909601420315,2025-06-15 01:14:08.523115,2025-06-15 01:14:15.988695,0 days 00:00:07.465580,212.0,0.004,3m,3.0,1.5,0.5,198.0,694.0,0.002,2m,1.5,3.0,1.1,750.0,620,0.005,4m,2.0,4.0,0.7,570,676.0,0.01,4m,2.5,1.5,0.9,230.0,872.0,0.005,2m,1.0,1.0,1.5,994.0,44.0,0.001,3m,3.0,1.0,0.5,222.0,1014.0,0.01,3m,4.0,4.0,2.0,48.0,,,,,,,,366.0,0.006,2m,2.0,1.5,1.3,398.0,282.0,0.01,1m,3.5,3.0,1.4,1014.0,0.5,9,COMPLETE
17,17,-2.444478281662423,2025-06-15 01:14:16.113567,2025-06-15 01:14:19.894491,0 days 00:00:03.780924,426.0,0.01,3m,2.0,1.0,1.8,142.0,682.0,0.003,3m,1.0,4.0,1.5,528.0,698,0.002,2m,2.5,3.0,1.6,198,252.0,0.001,2m,3.5,4.0,0.9,708.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660.0,0.005,2m,1.0,2.0,1.0,50.0,726.0,0.008,2m,1.5,2.0,1.8,778.0,0.4,6,COMPLETE
18,18,-0.9364570758677007,2025-06-15 01:14:19.956954,2025-06-15 01:14:23.710603,0 days 00:00:03.753649,154.0,0.005,3m,3.5,2.0,0.9,320.0,334.0,0.001,2m,2.0,3.5,1.3,848.0,882,0.002,1m,3.5,3.0,1.0,374,718.0,0.008,3m,4.0,3.0,0.7,594.0,,,,,,,,230.0,0.008,1m,3.0,3.5,1.1,822.0,40.0,0.007,2m,1.0,2.5,2.0,1022.0,,,,,,,,338.0,0.003,2m,4.0,1.0,1.2000000000000002,174.0,242.0,0.005,1m,3.5,3.0,0.9,564.0,0.25,8,COMPLETE
19,19,4.127009674951685,2025-06-15 01:14:23.777529,2025-06-15 01:14:24.344323,0 days 00:00:00.566794,,,,,,,,,,,,,,,464,0.006,4m,1.5,4.0,1.5,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
20,20,-0.4181066159486913,2025-06-15 01:14:24.409884,2025-06-15 01:14:26.415567,0 days 00:00:02.005683,598.0,0.009000000000000001,4m,3.5,4.0,0.7,128.0,788.0,0.003,2m,2.0,3.0,1.7000000000000002,374.0,552,0.003,4m,3.0,3.5,0.7,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688.0,0.006,1m,3.0,2.0,0.5,360.0,,,,,,,,0.4,4,COMPLETE
21,21,2.3364716088554998,2025-06-15 01:14:26.479502,2025-06-15 01:14:29.750099,0 days 00:00:03.270597,16.0,0.004,3m,3.0,1.0,0.5,40.0,504.0,0.001,3m,1.0,4.0,0.9,714.0,822,0.003,4m,2.0,3.5,1.6,136,640.0,0.01,1m,4.0,2.0,0.5,24.0,,,,,,,,992.0,0.009000000000000001,4m,4.0,4.0,1.5,1024.0,,,,,,,,,,,,,,,442.0,0.005,2m,2.0,1.5,1.0,292.0,336.0,0.01,1m,4.0,2.0,1.7000000000000002,806.0,0.4,7,COMPLETE
22,22,4.889747444523831,2025-06-15 01:14:29.852476,2025-06-15 01:14:33.531484,0 days 00:00:03.679008,78.0,0.003,3m,3.0,1.0,0.7,16.0,392.0,0.002,3m,1.0,4.0,1.0,664.0,736,0.001,4m,2.0,4.0,1.5,192,814.0,0.009000000000000001,1m,3.5,2.0,0.5,188.0,,,,,,,,1010.0,0.01,4m,3.5,4.0,2.0,818.0,1008.0,0.01,2m,4.0,2.5,1.2000000000000002,84.0,,,,,,,,330.0,0.004,2m,2.0,2.0,0.9,290.0,510.0,0.008,1m,4.0,2.0,1.7000000000000002,632.0,0.45,8,COMPLETE
23,23,2.30257556518081,2025-06-15 01:14:33.588877,2025-06-15 01:14:36.440958,0 days 00:00:02.852081,294.0,0.005,3m,2.0,1.5,0.7,108.0,506.0,0.002,3m,1.5,3.5,0.7,954.0,862,0.003,4m,2.5,3.5,1.8,422,498.0,0.006,1m,4.0,2.5,0.7,166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.0,0.003,2m,1.5,1.0,1.4,506.0,214.0,0.009000000000000001,1m,3.5,2.5,1.4,722.0,0.4,6,COMPLETE
24,24,8.97029037823523,2025-06-15 01:14:36.508278,2025-06-15 01:14:39.779299,0 days 00:00:03.271021,124.0,0.001,3m,3.5,1.0,0.9,260.0,210.0,0.001,3m,1.0,4.0,1.1,804.0,644,0.004,4m,2.0,3.0,1.1,148,1020.0,0.009000000000000001,4m,3.0,1.5,1.1,342.0,,,,,,,,786.0,0.004,4m,4.0,2.5,1.5,368.0,,,,,,,,,,,,,,,580.0,0.005,2m,2.0,1.5,1.1,154.0,384.0,0.001,1m,3.0,1.5,1.7000000000000002,894.0,0.35000000000000003,7,COMPLETE
25,25,0.970523174050571,2025-06-15 01:14:39.841695,2025-06-15 01:14:42.774455,0 days 00:00:02.932760,136.0,0.001,3m,3.5,1.5,1.0,264.0,180.0,0.004,2m,1.5,1.0,1.2000000000000002,802.0,638,0.005,1m,2.5,2.5,1.1,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572.0,0.008,2m,3.0,2.0,1.2000000000000002,134.0,544.0,0.001,1m,3.0,1.0,1.8,876.0,0.3,5,COMPLETE
26,26,0.4606200104486052,2025-06-15 01:14:42.885305,2025-06-15 01:14:49.777947,0 days 00:00:06.892642,242.0,0.001,3m,3.5,2.5,1.2000000000000002,338.0,220.0,0.002,3m,1.0,3.5,1.4,918.0,702,0.004,2m,1.5,3.0,0.9,384,1024.0,0.008,4m,3.0,1.0,1.1,364.0,186.0,0.01,1m,4.0,1.0,0.5,62.0,740.0,0.003,2m,3.0,2.0,1.7000000000000002,378.0,22.0,0.004,4m,1.0,2.0,1.4,738.0,,,,,,,,628.0,0.006,2m,2.5,1.5,0.7,16.0,182.0,0.001,3m,2.5,1.5,1.5,898.0,0.25,9,COMPLETE
27,27,-0.7745971316077043,2025-06-15 01:14:49.855274,2025-06-15 01:14:52.606969,0 days 00:00:02.751695,114.0,0.006,3m,3.0,1.0,0.9,218.0,68.0,0.007,4m,2.0,2.5,1.1,944.0,1016,0.002,3m,1.0,2.5,1.2000000000000002,18,856.0,0.009000000000000001,4m,2.0,1.5,1.1,358.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764.0,0.004,2m,1.5,1.0,1.1,132.0,434.0,0.004,4m,2.5,3.5,2.0,470.0,0.35000000000000003,6,COMPLETE
28,28,7.482315362034275,2025-06-15 01:14:52.677750,2025-06-15 01:14:56.661891,0 days 00:00:03.984141,464.0,0.007,1m,2.0,2.0,0.6,102.0,332.0,0.004,2m,1.5,4.0,1.7000000000000002,780.0,474,0.001,4m,2.5,4.0,0.9,242,180.0,0.007,4m,3.0,1.5,1.5,800.0,,,,,,,,474.0,0.004,4m,3.5,2.5,1.0,362.0,294.0,0.001,3m,3.0,3.5,1.0,278.0,,,,,,,,498.0,0.002,4m,2.0,2.0,0.9,234.0,342.0,0.002,2m,3.5,1.5,1.8,914.0,0.45,8,COMPLETE
29,29,6.320549290757293,2025-06-15 01:14:56.711637,2025-06-15 01:15:01.546527,0 days 00:00:04.834890,502.0,0.007,1m,2.0,2.5,0.6,174.0,276.0,0.004,2m,2.5,3.0,2.0,774.0,438,0.007,4m,3.5,3.0,1.4,250,204.0,0.007,4m,3.0,1.5,1.5,870.0,430.0,0.001,1m,1.0,4.0,1.2000000000000002,1006.0,468.0,0.004,4m,3.5,2.5,1.0,376.0,302.0,0.001,3m,3.0,3.5,0.9,248.0,970.0,0.001,3m,1.0,4.0,2.0,952.0,306.0,0.002,4m,1.0,2.0,0.7,126.0,150.0,0.003,2m,3.0,1.5,1.3,918.0,0.45,10,COMPLETE
30,30,-0.03682628074032282,2025-06-15 01:15:01.612299,2025-06-15 01:15:05.529961,0 days 00:00:03.917662,756.0,0.003,1m,1.5,2.0,0.9,638.0,140.0,0.005,3m,1.5,3.5,1.7000000000000002,410.0,578,0.001,4m,3.0,2.0,0.7,156,782.0,0.005,4m,2.0,1.0,1.6,820.0,,,,,,,,838.0,0.003,4m,3.5,3.0,0.8,356.0,280.0,0.004,3m,3.0,3.5,1.1,296.0,,,,,,,,754.0,0.001,4m,2.5,2.5,0.9,224.0,306.0,0.002,2m,3.5,1.0,0.5,1006.0,0.5,8,COMPLETE
31,31,4.303973281606815,2025-06-15 01:15:05.590023,2025-06-15 01:15:10.471270,0 days 00:00:04.881247,532.0,0.007,1m,2.0,2.5,0.6,168.0,274.0,0.004,2m,2.5,3.0,2.0,766.0,430,0.007,4m,3.5,3.0,1.3,276,202.0,0.007,4m,3.0,1.5,2.0,1016.0,454.0,0.001,1m,1.0,4.0,1.1,1008.0,502.0,0.004,4m,3.5,2.5,1.0,412.0,276.0,0.001,3m,3.0,3.5,0.9,248.0,988.0,0.001,3m,1.0,4.0,2.0,1018.0,280.0,0.002,4m,1.0,2.0,0.6,100.0,160.0,0.002,2m,3.0,1.5,1.3,896.0,0.5,10,COMPLETE
32,32,5.365827970327176,2025-06-15 01:15:10.547907,2025-06-15 01:15:15.301533,0 days 00:00:04.753626,456.0,0.006,1m,1.5,2.5,0.6,408.0,410.0,0.003,2m,3.0,4.0,1.8,630.0,476,0.007,4m,3.5,2.5,1.4,224,234.0,0.007,4m,3.0,1.5,1.5,876.0,420.0,0.005,1m,2.0,3.0,1.2000000000000002,746.0,476.0,0.004,4m,4.0,2.0,0.9,244.0,412.0,0.002,3m,2.5,4.0,0.9,186.0,986.0,0.001,3m,1.0,4.0,2.0,988.0,470.0,0.002,4m,1.0,2.5,0.8,404.0,360.0,0.002,2m,3.0,1.5,1.1,932.0,0.45,10,COMPLETE
