,number,value,datetime_start,datetime_complete,duration,params_AAPL_VRSK_beta_win,params_AAPL_VRSK_stop_loss,params_AAPL_VRSK_trade_freq,params_AAPL_VRSK_z_entry,params_AAPL_VRSK_z_exit,params_AAPL_VRSK_z_stop_scaler,params_AAPL_VRSK_z_win,params_AMD_SPLK_beta_win,params_AMD_SPLK_stop_loss,params_AMD_SPLK_trade_freq,params_AMD_SPLK_z_entry,params_AMD_SPLK_z_exit,params_AMD_SPLK_z_stop_scaler,params_AMD_SPLK_z_win,params_ATVI_DDOG_beta_win,params_ATVI_DDOG_stop_loss,params_ATVI_DDOG_trade_freq,params_ATVI_DDOG_z_entry,params_ATVI_DDOG_z_exit,params_ATVI_DDOG_z_stop_scaler,params_ATVI_DDOG_z_win,params_ATVI_SPLK_beta_win,params_ATVI_SPLK_stop_loss,params_ATVI_SPLK_trade_freq,params_ATVI_SPLK_z_entry,params_ATVI_SPLK_z_exit,params_ATVI_SPLK_z_stop_scaler,params_ATVI_SPLK_z_win,params_CDNS_VRSK_beta_win,params_CDNS_VRSK_stop_loss,params_CDNS_VRSK_trade_freq,params_CDNS_VRSK_z_entry,params_CDNS_VRSK_z_exit,params_CDNS_VRSK_z_stop_scaler,params_CDNS_VRSK_z_win,params_CTSH_DOCU_beta_win,params_CTSH_DOCU_stop_loss,params_CTSH_DOCU_trade_freq,params_CTSH_DOCU_z_entry,params_CTSH_DOCU_z_exit,params_CTSH_DOCU_z_stop_scaler,params_CTSH_DOCU_z_win,params_FISV_VRSK_beta_win,params_FISV_VRSK_stop_loss,params_FISV_VRSK_trade_freq,params_FISV_VRSK_z_entry,params_FISV_VRSK_z_exit,params_FISV_VRSK_z_stop_scaler,params_FISV_VRSK_z_win,params_MSFT_SPLK_beta_win,params_MSFT_SPLK_stop_loss,params_MSFT_SPLK_trade_freq,params_MSFT_SPLK_z_entry,params_MSFT_SPLK_z_exit,params_MSFT_SPLK_z_stop_scaler,params_MSFT_SPLK_z_win,params_QCOM_SPLK_beta_win,params_QCOM_SPLK_stop_loss,params_QCOM_SPLK_trade_freq,params_QCOM_SPLK_z_entry,params_QCOM_SPLK_z_exit,params_QCOM_SPLK_z_stop_scaler,params_QCOM_SPLK_z_win,params_SPLK_SWKS_beta_win,params_SPLK_SWKS_stop_loss,params_SPLK_SWKS_trade_freq,params_SPLK_SWKS_z_entry,params_SPLK_SWKS_z_exit,params_SPLK_SWKS_z_stop_scaler,params_SPLK_SWKS_z_win,params_buffer_capital,params_pairs_to_trade,state
30,30,1.887914182197977,2025-06-15 01:06:35.347913,2025-06-15 01:06:36.010625,0 days 00:00:00.662712,228,0.01,3m,2.5,1.0,1.4,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
31,31,4.971574206665014,2025-06-15 01:06:36.079626,2025-06-15 01:06:38.948047,0 days 00:00:02.868421,110,0.008,3m,2.5,3.0,1.7000000000000002,50,192.0,0.004,2m,1.0,3.0,1.5,552.0,48.0,0.001,2m,3.0,3.5,2.0,842.0,,,,,,,,650.0,0.001,2m,3.5,3.5,1.2000000000000002,416.0,,,,,,,,110.0,0.007,1m,2.5,3.0,1.2000000000000002,686.0,,,,,,,,452.0,0.008,4m,2.5,1.0,1.4,118.0,,,,,,,,0.15000000000000002,6,COMPLETE
32,32,-0.6589393973722649,2025-06-15 01:06:39.038568,2025-06-15 01:06:41.356008,0 days 00:00:02.317440,128,0.009000000000000001,3m,2.5,3.0,1.8,80,,,,,,,,92.0,0.001,2m,2.5,3.5,2.0,800.0,,,,,,,,726.0,0.002,2m,3.0,3.0,1.2000000000000002,454.0,,,,,,,,208.0,0.007,1m,2.5,3.0,1.3,796.0,,,,,,,,150.0,0.01,4m,2.0,1.0,1.5,96.0,,,,,,,,0.15000000000000002,5,COMPLETE
33,33,-0.2057452896717859,2025-06-15 01:06:41.436543,2025-06-15 01:06:44.719510,0 days 00:00:03.282967,350,0.006,3m,3.0,3.0,1.5,294,120.0,0.003,2m,1.0,3.0,1.6,534.0,18.0,0.001,2m,3.0,3.0,1.8,862.0,566.0,0.007,2m,2.0,2.0,1.1,718.0,680.0,0.001,2m,3.5,3.5,1.4,504.0,,,,,,,,82.0,0.009000000000000001,1m,3.0,3.5,1.1,610.0,,,,,,,,652.0,0.009000000000000001,4m,3.0,1.0,1.6,244.0,,,,,,,,0.25,7,COMPLETE
34,34,-2.4916955342415306,2025-06-15 01:06:44.803999,2025-06-15 01:06:46.627140,0 days 00:00:01.823141,66,0.009000000000000001,3m,2.0,2.5,2.0,340,,,,,,,,248.0,0.002,2m,1.0,4.0,1.9000000000000001,936.0,,,,,,,,602.0,0.003,2m,4.0,3.0,1.0,404.0,,,,,,,,198.0,0.005,1m,2.0,3.0,0.9,676.0,,,,,,,,,,,,,,,,,,,,,,0.1,4,COMPLETE
35,35,4.219097650329431,2025-06-15 01:06:46.695314,2025-06-15 01:06:49.724162,0 days 00:00:03.028848,150,0.008,2m,3.5,3.5,1.3,16,350.0,0.002,2m,1.5,3.5,1.5,342.0,160.0,0.003,3m,2.5,3.5,1.7000000000000002,646.0,,,,,,,,392.0,0.006,1m,3.5,3.5,1.1,608.0,,,,,,,,342.0,0.009000000000000001,4m,2.5,2.5,1.4,794.0,,,,,,,,430.0,0.008,4m,2.5,1.5,1.1,334.0,,,,,,,,0.05,6,COMPLETE
36,36,3.186532724995551,2025-06-15 01:06:49.790165,2025-06-15 01:06:52.602785,0 days 00:00:02.812620,154,0.007,2m,3.5,4.0,1.3,194,334.0,0.002,2m,1.5,3.5,1.5,616.0,164.0,0.003,3m,2.5,3.0,1.7000000000000002,332.0,,,,,,,,124.0,0.006,1m,3.5,4.0,1.1,626.0,,,,,,,,344.0,0.009000000000000001,4m,2.5,2.5,1.5,792.0,,,,,,,,446.0,0.008,4m,2.5,1.5,1.1,338.0,,,,,,,,0.05,6,COMPLETE
37,37,6.333754015089901,2025-06-15 01:06:52.693792,2025-06-15 01:06:54.665197,0 days 00:00:01.971405,206,0.009000000000000001,2m,4.0,3.5,1.5,18,,,,,,,,330.0,0.002,2m,3.5,3.5,1.8,632.0,,,,,,,,374.0,0.002,1m,3.0,3.0,0.7,580.0,,,,,,,,506.0,0.01,4m,2.0,2.0,1.4,644.0,,,,,,,,,,,,,,,,,,,,,,0.05,4,COMPLETE
38,38,8.062591486059617,2025-06-15 01:06:54.736707,2025-06-15 01:06:56.816376,0 days 00:00:02.079669,286,0.008,2m,4.0,3.5,1.5,30,,,,,,,,214.0,0.002,2m,4.0,3.5,1.8,368.0,,,,,,,,378.0,0.002,1m,3.0,3.0,0.6,580.0,,,,,,,,540.0,0.01,4m,1.5,2.0,1.4,940.0,,,,,,,,,,,,,,,,,,,,,,0.1,4,COMPLETE
39,39,9.440636437008072,2025-06-15 01:06:56.880376,2025-06-15 01:06:58.998105,0 days 00:00:02.117729,302,0.009000000000000001,2m,4.0,4.0,1.5,540,,,,,,,,224.0,0.002,2m,4.0,3.0,1.8,282.0,,,,,,,,316.0,0.002,1m,3.0,2.0,0.6,732.0,,,,,,,,550.0,0.01,4m,1.5,2.0,1.7000000000000002,966.0,,,,,,,,,,,,,,,,,,,,,,0.1,4,COMPLETE
40,40,9.538668906489393,2025-06-15 01:06:59.062365,2025-06-15 01:07:01.109744,0 days 00:00:02.047379,314,0.009000000000000001,2m,4.0,4.0,1.5,534,,,,,,,,330.0,0.002,2m,4.0,3.0,2.0,254.0,,,,,,,,336.0,0.002,1m,2.5,2.0,0.5,918.0,,,,,,,,538.0,0.01,4m,1.5,2.0,1.8,990.0,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
41,41,10.044225266213784,2025-06-15 01:07:01.193762,2025-06-15 01:07:03.228373,0 days 00:00:02.034611,312,0.009000000000000001,2m,4.0,4.0,1.5,524,,,,,,,,338.0,0.002,2m,4.0,3.0,2.0,212.0,,,,,,,,318.0,0.002,1m,2.5,2.0,0.5,930.0,,,,,,,,572.0,0.01,4m,1.5,2.0,1.8,1024.0,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
42,42,8.834458518101142,2025-06-15 01:07:03.311901,2025-06-15 01:07:05.183248,0 days 00:00:01.871347,280,0.009000000000000001,2m,4.0,4.0,1.5,554,,,,,,,,342.0,0.003,2m,4.0,3.0,1.8,214.0,,,,,,,,318.0,0.002,1m,2.5,2.0,0.5,996.0,,,,,,,,542.0,0.01,4m,1.5,2.0,1.8,1024.0,,,,,,,,,,,,,,,,,,,,,,0.1,4,COMPLETE
43,43,8.550152880953258,2025-06-15 01:07:05.249759,2025-06-15 01:07:06.742298,0 days 00:00:01.492539,300,0.009000000000000001,2m,4.0,4.0,1.5,556,,,,,,,,216.0,0.004,2m,4.0,3.0,1.9000000000000001,176.0,,,,,,,,312.0,0.002,1m,2.5,2.0,0.5,996.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
44,44,2.492878644622934,2025-06-15 01:07:06.794301,2025-06-15 01:07:07.800487,0 days 00:00:01.006186,322,0.009000000000000001,2m,4.0,4.0,1.4,538,,,,,,,,270.0,0.004,2m,4.0,3.0,1.9000000000000001,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,2,COMPLETE
45,45,6.130373053147485,2025-06-15 01:07:07.853924,2025-06-15 01:07:09.224086,0 days 00:00:01.370162,416,0.009000000000000001,2m,4.0,4.0,1.6,616,,,,,,,,400.0,0.003,2m,4.0,2.5,1.9000000000000001,236.0,,,,,,,,288.0,0.003,1m,2.5,2.0,0.5,990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
46,46,5.462590726068679,2025-06-15 01:07:09.284088,2025-06-15 01:07:10.993789,0 days 00:00:01.709701,500,0.009000000000000001,2m,4.0,4.0,1.8,512,,,,,,,,368.0,0.003,2m,3.5,3.0,2.0,44.0,,,,,,,,222.0,0.002,1m,2.5,1.5,0.5,932.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
47,47,-0.649400144100967,2025-06-15 01:07:11.093301,2025-06-15 01:07:13.065663,0 days 00:00:01.972362,376,0.01,2m,3.5,4.0,1.5,734,,,,,,,,306.0,0.004,2m,4.0,3.0,1.6,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
48,48,3.020363242979536,2025-06-15 01:07:13.166179,2025-06-15 01:07:15.033052,0 days 00:00:01.866873,316,0.009000000000000001,2m,4.0,4.0,1.2000000000000002,446,,,,,,,,244.0,0.005,4m,3.5,3.0,1.9000000000000001,268.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,2,COMPLETE
49,49,3.546483397265272,2025-06-15 01:07:15.139572,2025-06-15 01:07:19.499664,0 days 00:00:04.360092,456,0.01,2m,4.0,4.0,1.6,572,,,,,,,,198.0,0.004,2m,4.0,2.5,1.6,156.0,,,,,,,,194.0,0.002,1m,2.0,2.0,0.6,876.0,,,,,,,,768.0,0.01,4m,1.0,1.5,1.8,1022.0,,,,,,,,972.0,0.002,3m,4.0,4.0,0.5,998.0,,,,,,,,0.25,5,COMPLETE
50,50,8.312105848517222,2025-06-15 01:07:19.611688,2025-06-15 01:07:21.722760,0 days 00:00:02.111072,250,0.003,2m,4.0,4.0,1.4,674,,,,,,,,432.0,0.003,2m,4.0,2.5,1.8,292.0,,,,,,,,340.0,0.003,1m,2.5,1.5,0.7,1018.0,,,,,,,,614.0,0.01,4m,1.5,1.5,2.0,956.0,,,,,,,,,,,,,,,,,,,,,,0.1,4,COMPLETE
51,51,10.06345926672402,2025-06-15 01:07:21.795767,2025-06-15 01:07:23.826376,0 days 00:00:02.030609,252,0.002,2m,4.0,4.0,1.4,658,,,,,,,,432.0,0.003,2m,4.0,2.5,1.8,276.0,,,,,,,,284.0,0.003,1m,2.5,1.5,0.7,1006.0,,,,,,,,616.0,0.01,4m,1.5,1.5,2.0,954.0,,,,,,,,,,,,,,,,,,,,,,0.1,4,COMPLETE
52,52,7.708323249239218,2025-06-15 01:07:23.904383,2025-06-15 01:07:25.481514,0 days 00:00:01.577131,384,0.003,2m,4.0,4.0,1.3,756,,,,,,,,356.0,0.002,2m,3.5,3.0,2.0,192.0,,,,,,,,314.0,0.002,1m,2.5,2.0,0.5,934.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
53,53,4.13652166268713,2025-06-15 01:07:25.559827,2025-06-15 01:07:27.945674,0 days 00:00:02.385847,314,0.009000000000000001,2m,3.5,4.0,1.5,550,,,,,,,,498.0,0.003,2m,4.0,3.0,1.9000000000000001,108.0,,,,,,,,250.0,0.003,1m,2.5,1.5,0.7,780.0,,,,,,,,558.0,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,882.0,,,,,,,,1022.0,0.004,1m,3.5,3.5,0.6,902.0,,,,,,,,0.15000000000000002,5,COMPLETE
54,54,7.6675176274178,2025-06-15 01:07:28.039174,2025-06-15 01:07:29.668378,0 days 00:00:01.629204,560,0.003,2m,4.0,3.5,1.7000000000000002,488,,,,,,,,388.0,0.002,2m,3.5,2.5,1.8,424.0,,,,,,,,310.0,0.002,1m,2.0,2.5,0.6,832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
55,55,-1.2256429570815484,2025-06-15 01:07:29.751902,2025-06-15 01:07:31.555885,0 days 00:00:01.803983,244,0.002,2m,3.5,4.0,1.6,628,,,,,,,,294.0,0.004,2m,4.0,2.5,2.0,226.0,,,,,,,,172.0,0.001,1m,2.5,1.0,0.5,958.0,,,,,,,,714.0,0.009000000000000001,4m,1.5,2.0,1.8,980.0,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
56,56,7.880508970410001,2025-06-15 01:07:31.624397,2025-06-15 01:07:34.068092,0 days 00:00:02.443695,290,0.004,2m,4.0,4.0,1.4,822,,,,,,,,340.0,0.003,4m,4.0,3.0,1.9000000000000001,308.0,,,,,,,,246.0,0.004,1m,2.5,2.0,0.8,886.0,,,,,,,,488.0,0.01,4m,1.0,1.0,1.8,908.0,,,,,,,,870.0,0.006,3m,3.5,3.5,0.7,840.0,,,,,,,,0.2,5,COMPLETE
57,57,1.8217637595582836,2025-06-15 01:07:34.122606,2025-06-15 01:07:35.909264,0 days 00:00:01.786658,362,0.009000000000000001,1m,4.0,3.5,1.5,676,,,,,,,,460.0,0.002,2m,4.0,2.0,1.7000000000000002,84.0,,,,,,,,432.0,0.003,1m,2.0,1.5,0.8,822.0,,,,,,,,828.0,0.01,4m,1.0,1.5,1.7000000000000002,852.0,,,,,,,,,,,,,,,,,,,,,,0.1,4,COMPLETE
58,58,0.45037801640755415,2025-06-15 01:07:35.964288,2025-06-15 01:07:36.988197,0 days 00:00:01.023909,934,0.001,2m,3.5,4.0,1.6,468,,,,,,,,230.0,0.005,2m,3.5,3.0,1.6,350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
59,59,2.7856254374786933,2025-06-15 01:07:37.047700,2025-06-15 01:07:38.620177,0 days 00:00:01.572477,202,0.01,2m,4.0,4.0,1.3,408,,,,,,,,196.0,0.004,2m,4.0,3.0,1.8,18.0,,,,,,,,326.0,0.001,3m,2.5,2.0,0.7,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,3,COMPLETE
60,60,8.019945779425983,2025-06-15 01:07:38.701187,2025-06-15 01:07:40.544789,0 days 00:00:01.843602,390,0.007,2m,3.5,3.5,1.4,590,,,,,,,,262.0,0.003,2m,4.0,2.5,1.9000000000000001,468.0,,,,,,,,408.0,0.002,1m,2.5,2.5,0.5,980.0,,,,,,,,608.0,0.008,4m,1.5,1.5,2.0,986.0,,,,,,,,,,,,,,,,,,,,,,0.1,4,COMPLETE
61,61,8.290997816597201,2025-06-15 01:07:40.621311,2025-06-15 01:07:42.618619,0 days 00:00:01.997308,244,0.002,2m,4.0,4.0,1.4,658,,,,,,,,434.0,0.003,2m,4.0,2.5,1.8,274.0,,,,,,,,346.0,0.003,1m,2.5,1.5,0.7,1024.0,,,,,,,,616.0,0.01,4m,1.5,1.5,2.0,946.0,,,,,,,,,,,,,,,,,,,,,,0.1,4,COMPLETE
62,62,9.146515806123311,2025-06-15 01:07:42.699621,2025-06-15 01:07:44.946154,0 days 00:00:02.246533,268,0.001,2m,4.0,4.0,1.5,696,,,,,,,,540.0,0.002,2m,4.0,2.5,2.0,294.0,,,,,,,,282.0,0.002,1m,2.5,1.5,0.6,1008.0,,,,,,,,658.0,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,956.0,,,,,,,,30.0,0.002,2m,4.0,2.5,2.0,516.0,,,,,,,,0.15000000000000002,5,COMPLETE
63,63,4.794760074508127,2025-06-15 01:07:45.007729,2025-06-15 01:07:46.455863,0 days 00:00:01.448134,284,0.001,2m,4.0,3.5,1.6,768,,,,,,,,558.0,0.002,2m,3.5,3.0,2.0,190.0,,,,,,,,262.0,0.002,1m,3.0,2.0,0.6,930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
64,64,3.4813752918465286,2025-06-15 01:07:46.526110,2025-06-15 01:07:48.595766,0 days 00:00:02.069656,470,0.001,2m,4.0,4.0,1.7000000000000002,556,,,,,,,,538.0,0.002,2m,3.5,2.0,1.9000000000000001,242.0,,,,,,,,294.0,0.001,1m,2.0,1.0,0.6,968.0,,,,,,,,668.0,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,908.0,,,,,,,,98.0,0.002,2m,4.0,2.5,2.0,480.0,,,,,,,,0.15000000000000002,5,COMPLETE
65,65,1.6827640477560986,2025-06-15 01:07:48.657506,2025-06-15 01:07:50.942391,0 days 00:00:02.284885,334,0.002,1m,3.5,4.0,1.5,702,,,,,,,,480.0,0.001,2m,4.0,2.5,2.0,390.0,,,,,,,,152.0,0.002,1m,2.5,2.0,0.5,742.0,,,,,,,,568.0,0.01,4m,1.0,2.0,1.8,1020.0,,,,,,,,22.0,0.003,2m,3.5,3.0,1.9000000000000001,570.0,,,,,,,,0.15000000000000002,5,COMPLETE
66,66,4.370514987270924,2025-06-15 01:07:51.026441,2025-06-15 01:07:53.205019,0 days 00:00:02.178578,214,0.005,2m,4.0,3.5,1.6,626,,,,,,,,616.0,0.002,2m,4.0,3.0,1.9000000000000001,192.0,,,,,,,,462.0,0.002,1m,3.0,1.5,0.6,834.0,,,,,,,,666.0,0.009000000000000001,4m,2.0,2.0,1.9000000000000001,914.0,,,,,,,,262.0,0.001,2m,3.0,3.0,1.9000000000000001,428.0,,,,,,,,0.2,5,COMPLETE
67,67,4.467316124205016,2025-06-15 01:07:53.273829,2025-06-15 01:07:55.271398,0 days 00:00:01.997569,402,0.008,2m,4.0,4.0,1.5,510,,,,,,,,646.0,0.001,4m,4.0,2.5,2.0,164.0,,,,,,,,88.0,0.004,1m,2.5,2.0,0.5,910.0,,,,,,,,452.0,0.01,4m,1.5,1.5,1.6,974.0,,,,,,,,,,,,,,,,,,,,,,0.4,4,COMPLETE
68,68,-0.008936636932712374,2025-06-15 01:07:55.356275,2025-06-15 01:07:57.100804,0 days 00:00:01.744529,186,0.01,2m,3.5,4.0,1.3,592,,,,,,,,388.0,0.009000000000000001,2m,3.5,2.5,1.7000000000000002,314.0,,,,,,,,236.0,0.003,3m,2.0,2.5,0.9,1022.0,,,,,,,,826.0,0.009000000000000001,3m,2.0,1.0,1.7000000000000002,846.0,,,,,,,,,,,,,,,,,,,,,,0.2,4,COMPLETE
69,69,6.366178069852605,2025-06-15 01:07:57.156417,2025-06-15 01:07:58.628454,0 days 00:00:01.472037,260,0.009000000000000001,2m,4.0,3.5,1.2000000000000002,936,,,,,,,,80.0,0.006,2m,4.0,3.0,1.8,252.0,,,,,,,,186.0,0.001,1m,2.5,1.5,0.6,950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
70,70,7.467934036371842,2025-06-15 01:07:58.690172,2025-06-15 01:08:00.081092,0 days 00:00:01.390920,304,0.006,2m,4.0,4.0,1.7000000000000002,436,,,,,,,,312.0,0.002,2m,3.5,2.0,1.5,210.0,,,,,,,,366.0,0.002,1m,3.0,2.0,0.8,710.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
71,71,5.786407271048348,2025-06-15 01:08:00.144708,2025-06-15 01:08:01.939562,0 days 00:00:01.794854,242,0.003,2m,4.0,4.0,1.4,668,,,,,,,,424.0,0.003,2m,4.0,2.5,1.8,300.0,,,,,,,,276.0,0.003,1m,2.5,1.5,0.7,1006.0,,,,,,,,586.0,0.01,4m,1.5,1.5,2.0,958.0,,,,,,,,,,,,,,,,,,,,,,0.1,4,COMPLETE
72,72,8.881247454396615,2025-06-15 01:08:02.002348,2025-06-15 01:08:03.886121,0 days 00:00:01.883773,266,0.002,2m,4.0,4.0,1.4,538,,,,,,,,454.0,0.003,2m,4.0,2.5,1.9000000000000001,284.0,,,,,,,,336.0,0.004,1m,2.5,1.5,0.7,980.0,,,,,,,,630.0,0.01,4m,1.5,2.0,1.9000000000000001,942.0,,,,,,,,,,,,,,,,,,,,,,0.1,4,COMPLETE
73,73,5.314314554758138,2025-06-15 01:08:03.923918,2025-06-15 01:08:05.663073,0 days 00:00:01.739155,348,0.001,2m,4.0,4.0,1.5,532,,,,,,,,510.0,0.003,2m,4.0,3.0,2.0,128.0,,,,,,,,320.0,0.004,1m,2.5,1.0,0.5,862.0,,,,,,,,640.0,0.01,4m,1.5,2.0,1.9000000000000001,890.0,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
74,74,6.156501492206011,2025-06-15 01:08:05.734754,2025-06-15 01:08:08.100359,0 days 00:00:02.365605,172,0.002,2m,3.5,4.0,1.4,494,,,,,,,,366.0,0.002,2m,4.0,2.0,1.9000000000000001,360.0,,,,,,,,396.0,0.004,1m,2.0,1.5,0.6,976.0,,,,,,,,520.0,0.009000000000000001,4m,1.0,2.0,1.7000000000000002,998.0,,,,,,,,292.0,0.005,2m,4.0,2.5,0.8,840.0,,,,,,,,0.05,5,COMPLETE
75,75,-2.6477243437636178,2025-06-15 01:08:08.163418,2025-06-15 01:08:09.905960,0 days 00:00:01.742542,278,0.004,2m,4.0,3.5,1.5,566,,,,,,,,466.0,0.004,2m,4.0,2.5,1.7000000000000002,282.0,,,,,,,,214.0,0.002,1m,2.5,2.0,0.8,918.0,,,,,,,,706.0,0.01,4m,1.5,2.5,1.9000000000000001,936.0,,,,,,,,,,,,,,,,,,,,,,0.1,4,COMPLETE
76,76,8.548766687199446,2025-06-15 01:08:09.980702,2025-06-15 01:08:12.227767,0 days 00:00:02.247065,218,0.002,1m,4.0,4.0,1.3,612,,,,,,,,334.0,0.003,2m,4.0,3.0,1.9000000000000001,404.0,,,,,,,,498.0,0.003,1m,3.0,2.5,0.5,988.0,,,,,,,,406.0,0.01,4m,2.0,2.0,1.8,852.0,,,,,,,,170.0,0.002,2m,3.5,4.0,1.8,484.0,,,,,,,,0.1,5,COMPLETE
77,77,7.019354683926676,2025-06-15 01:08:12.271980,2025-06-15 01:08:13.905909,0 days 00:00:01.633929,62,0.001,2m,3.5,4.0,1.6,418,,,,,,,,278.0,0.001,1m,4.0,3.0,2.0,326.0,,,,,,,,450.0,0.002,1m,2.5,1.5,0.9,792.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
78,78,7.605234743292895,2025-06-15 01:08:14.003064,2025-06-15 01:08:17.379663,0 days 00:00:03.376599,358,0.008,2m,4.0,3.5,1.4,476,,,,,,,,786.0,0.002,2m,3.5,2.5,1.6,216.0,,,,,,,,290.0,0.005,4m,3.0,2.0,0.6,962.0,,,,,,,,490.0,0.008,4m,1.5,1.5,1.8,1020.0,,,,,,,,,,,,,,,,,,,,,,0.05,4,COMPLETE
79,79,0.9972692439349121,2025-06-15 01:08:17.469188,2025-06-15 01:08:20.641647,0 days 00:00:03.172459,434,0.009000000000000001,2m,4.0,4.0,1.2000000000000002,372,,,,,,,,542.0,0.004,3m,4.0,3.0,1.9000000000000001,258.0,,,,,,,,406.0,0.001,3m,2.0,2.0,0.7,890.0,,,,,,,,772.0,0.009000000000000001,3m,1.0,2.0,1.6,978.0,,,,,,,,,,,,,,,,,,,,,,0.2,4,COMPLETE
80,80,-1.3101074567351498,2025-06-15 01:08:20.760490,2025-06-15 01:08:21.941640,0 days 00:00:01.181150,708,0.01,2m,4.0,4.0,1.5,526,,,,,,,,404.0,0.003,2m,3.5,3.0,2.0,148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,2,COMPLETE
81,81,8.928190139350935,2025-06-15 01:08:22.003520,2025-06-15 01:08:24.335666,0 days 00:00:02.332146,210,0.002,1m,4.0,4.0,1.3,606,,,,,,,,316.0,0.003,2m,4.0,3.0,1.8,402.0,,,,,,,,498.0,0.003,1m,3.0,2.5,0.5,996.0,,,,,,,,392.0,0.01,4m,2.0,2.0,1.8,926.0,,,,,,,,170.0,0.002,2m,3.5,4.0,1.8,490.0,,,,,,,,0.1,5,COMPLETE
82,82,5.487314950793135,2025-06-15 01:08:24.384154,2025-06-15 01:08:26.641470,0 days 00:00:02.257316,264,0.002,1m,4.0,4.0,1.4,634,,,,,,,,290.0,0.002,2m,4.0,3.0,1.8,448.0,,,,,,,,368.0,0.003,1m,3.0,2.5,0.5,998.0,,,,,,,,582.0,0.01,4m,1.5,2.0,1.9000000000000001,928.0,,,,,,,,204.0,0.003,2m,3.5,3.5,2.0,650.0,,,,,,,,0.1,5,COMPLETE
83,83,3.4199361971415283,2025-06-15 01:08:26.707087,2025-06-15 01:08:28.917612,0 days 00:00:02.210525,304,0.002,1m,4.0,4.0,1.3,588,,,,,,,,356.0,0.003,2m,4.0,2.5,1.9000000000000001,346.0,,,,,,,,268.0,0.003,1m,2.5,1.5,0.6,946.0,,,,,,,,542.0,0.01,4m,2.0,2.5,1.7000000000000002,878.0,,,,,,,,66.0,0.001,2m,4.0,2.5,1.8,370.0,,,,,,,,0.15000000000000002,5,COMPLETE
84,84,8.626094366872756,2025-06-15 01:08:28.985048,2025-06-15 01:08:31.853533,0 days 00:00:02.868485,198,0.003,1m,3.5,4.0,1.5,690,902.0,0.01,4m,4.0,1.0,2.0,1004.0,252.0,0.003,2m,4.0,3.5,1.7000000000000002,378.0,,,,,,,,346.0,0.002,1m,3.0,2.0,0.5,854.0,,,,,,,,464.0,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,974.0,,,,,,,,114.0,0.004,2m,3.0,3.5,1.7000000000000002,590.0,,,,,,,,0.1,6,COMPLETE
85,85,8.375540127600985,2025-06-15 01:08:31.923404,2025-06-15 01:08:34.486149,0 days 00:00:02.562745,108,0.003,1m,3.5,4.0,1.5,802,864.0,0.01,4m,4.0,1.0,2.0,896.0,326.0,0.002,2m,4.0,3.5,1.7000000000000002,376.0,,,,,,,,346.0,0.003,1m,3.0,2.5,0.6,856.0,,,,,,,,464.0,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,980.0,,,,,,,,102.0,0.004,2m,3.0,4.0,1.7000000000000002,538.0,,,,,,,,0.05,6,COMPLETE
