,number,value,datetime_start,datetime_complete,duration,params_AAPL_VRSK_beta_win,params_AAPL_VRSK_stop_loss,params_AAPL_VRSK_trade_freq,params_AAPL_VRSK_z_entry,params_AAPL_VRSK_z_exit,params_AAPL_VRSK_z_stop_scaler,params_AAPL_VRSK_z_win,params_AMD_SPLK_beta_win,params_AMD_SPLK_stop_loss,params_AMD_SPLK_trade_freq,params_AMD_SPLK_z_entry,params_AMD_SPLK_z_exit,params_AMD_SPLK_z_stop_scaler,params_AMD_SPLK_z_win,params_ATVI_DDOG_beta_win,params_ATVI_DDOG_stop_loss,params_ATVI_DDOG_trade_freq,params_ATVI_DDOG_z_entry,params_ATVI_DDOG_z_exit,params_ATVI_DDOG_z_stop_scaler,params_ATVI_DDOG_z_win,params_ATVI_SPLK_beta_win,params_ATVI_SPLK_stop_loss,params_ATVI_SPLK_trade_freq,params_ATVI_SPLK_z_entry,params_ATVI_SPLK_z_exit,params_ATVI_SPLK_z_stop_scaler,params_ATVI_SPLK_z_win,params_CDNS_VRSK_beta_win,params_CDNS_VRSK_stop_loss,params_CDNS_VRSK_trade_freq,params_CDNS_VRSK_z_entry,params_CDNS_VRSK_z_exit,params_CDNS_VRSK_z_stop_scaler,params_CDNS_VRSK_z_win,params_CTSH_DOCU_beta_win,params_CTSH_DOCU_stop_loss,params_CTSH_DOCU_trade_freq,params_CTSH_DOCU_z_entry,params_CTSH_DOCU_z_exit,params_CTSH_DOCU_z_stop_scaler,params_CTSH_DOCU_z_win,params_FISV_VRSK_beta_win,params_FISV_VRSK_stop_loss,params_FISV_VRSK_trade_freq,params_FISV_VRSK_z_entry,params_FISV_VRSK_z_exit,params_FISV_VRSK_z_stop_scaler,params_FISV_VRSK_z_win,params_MSFT_SPLK_beta_win,params_MSFT_SPLK_stop_loss,params_MSFT_SPLK_trade_freq,params_MSFT_SPLK_z_entry,params_MSFT_SPLK_z_exit,params_MSFT_SPLK_z_stop_scaler,params_MSFT_SPLK_z_win,params_QCOM_SPLK_beta_win,params_QCOM_SPLK_stop_loss,params_QCOM_SPLK_trade_freq,params_QCOM_SPLK_z_entry,params_QCOM_SPLK_z_exit,params_QCOM_SPLK_z_stop_scaler,params_QCOM_SPLK_z_win,params_SPLK_SWKS_beta_win,params_SPLK_SWKS_stop_loss,params_SPLK_SWKS_trade_freq,params_SPLK_SWKS_z_entry,params_SPLK_SWKS_z_exit,params_SPLK_SWKS_z_stop_scaler,params_SPLK_SWKS_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-4.657070827413911,2025-06-15 01:05:21.364538,2025-06-15 01:05:26.104520,0 days 00:00:04.739982,640,0.006,4m,1.0,1.0,0.5,52,982.0,0.001,3m,4.0,1.0,0.7,148.0,990.0,0.006,3m,1.5,1.0,0.5,746.0,852.0,0.01,4m,4.0,4.0,0.5,1006.0,542.0,0.004,4m,1.0,4.0,2.0,56.0,1008.0,0.001,4m,4.0,1.5,0.5,1022.0,454.0,0.003,3m,3.0,4.0,0.6,498.0,142.0,0.001,3m,1.5,1.5,0.5,52.0,340.0,0.001,4m,1.0,4.0,2.0,24.0,990.0,0.001,1m,1.0,4.0,2.0,1012.0,0.3,10,COMPLETE
11,11,-0.7562388931832513,2025-06-15 01:05:26.203029,2025-06-15 01:05:29.565148,0 days 00:00:03.362119,86,0.007,3m,3.0,3.0,1.5,52,20.0,0.003,2m,1.5,2.0,1.2000000000000002,358.0,360.0,0.001,2m,2.0,4.0,1.0,952.0,46.0,0.006,3m,2.5,3.0,0.9,568.0,272.0,0.001,4m,1.5,2.5,2.0,324.0,,,,,,,,22.0,0.006,2m,3.0,3.0,1.0,940.0,,,,,,,,726.0,0.01,4m,1.0,1.5,1.3,38.0,,,,,,,,0.2,7,COMPLETE
12,12,3.879411222847071,2025-06-15 01:05:29.652658,2025-06-15 01:05:33.422297,0 days 00:00:03.769639,192,0.01,4m,2.5,3.0,1.6,186,464.0,0.004,1m,2.0,2.5,1.2000000000000002,506.0,452.0,0.001,1m,2.0,1.5,1.2000000000000002,820.0,458.0,0.001,3m,2.5,2.5,1.1,732.0,532.0,0.004,2m,3.5,4.0,1.6,292.0,784.0,0.01,4m,3.5,2.5,1.9000000000000001,968.0,22.0,0.001,2m,3.0,3.0,1.0,606.0,,,,,,,,614.0,0.009000000000000001,4m,2.0,2.0,1.5,692.0,,,,,,,,0.05,8,COMPLETE
13,13,-0.6407694540727814,2025-06-15 01:05:33.531815,2025-06-15 01:05:37.222049,0 days 00:00:03.690234,716,0.01,4m,1.0,2.5,1.6,230,664.0,0.003,1m,2.5,1.0,1.0,320.0,450.0,0.004,1m,1.0,1.5,1.1,750.0,708.0,0.001,1m,3.5,2.0,0.9,338.0,562.0,0.004,4m,3.5,4.0,1.7000000000000002,124.0,768.0,0.009000000000000001,4m,3.5,2.5,2.0,964.0,300.0,0.002,2m,3.5,2.5,0.9,574.0,,,,,,,,252.0,0.003,4m,1.5,2.5,1.6,776.0,,,,,,,,0.25,8,COMPLETE
14,14,1.450657042856683,2025-06-15 01:05:37.306566,2025-06-15 01:05:37.934675,0 days 00:00:00.628109,28,0.007,4m,2.0,3.0,1.6,1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
15,15,-3.883027271721996,2025-06-15 01:05:38.012189,2025-06-15 01:05:42.240445,0 days 00:00:04.228256,182,0.01,4m,2.5,4.0,1.1,176,652.0,0.004,1m,2.5,2.0,1.4,640.0,606.0,0.008,1m,2.0,1.5,0.6,806.0,986.0,0.002,3m,3.0,2.5,0.8,878.0,420.0,0.004,2m,1.5,4.0,1.7000000000000002,260.0,704.0,0.01,4m,3.0,2.5,2.0,800.0,32.0,0.001,2m,1.0,4.0,0.9,452.0,68.0,0.001,2m,3.0,3.0,0.5,1012.0,698.0,0.004,4m,2.0,2.0,1.7000000000000002,740.0,,,,,,,,0.15000000000000002,9,COMPLETE
16,16,-0.5106517792179643,2025-06-15 01:05:42.326972,2025-06-15 01:05:45.662363,0 days 00:00:03.335391,454,0.005,4m,1.5,2.0,1.7000000000000002,460,742.0,0.001,3m,2.0,2.0,0.9,92.0,408.0,0.005,1m,1.5,2.0,1.3,440.0,452.0,0.004,4m,2.5,2.5,1.2000000000000002,362.0,652.0,0.01,4m,3.0,3.5,1.8,374.0,,,,,,,,662.0,0.004,2m,2.5,3.0,1.2000000000000002,728.0,,,,,,,,948.0,0.008,2m,1.5,3.0,0.9,600.0,,,,,,,,0.1,7,COMPLETE
17,17,0.46783890921808563,2025-06-15 01:05:45.760873,2025-06-15 01:05:50.086292,0 days 00:00:04.325419,220,0.007,4m,2.0,3.5,2.0,164,218.0,0.007,1m,3.5,2.5,1.2000000000000002,414.0,742.0,0.002,3m,2.0,2.0,0.8,684.0,678.0,0.009000000000000001,2m,2.0,3.5,0.5,794.0,440.0,0.005,2m,2.0,4.0,1.5,194.0,170.0,0.005,3m,3.0,2.0,1.2000000000000002,710.0,264.0,0.001,3m,3.5,3.5,0.7,314.0,1010.0,0.005,3m,2.0,2.0,1.2000000000000002,420.0,234.0,0.001,1m,4.0,4.0,1.4,542.0,,,,,,,,0.35000000000000003,9,COMPLETE
18,18,1.4061616308449967,2025-06-15 01:05:50.149292,2025-06-15 01:05:53.199653,0 days 00:00:03.050361,382,0.008,1m,3.0,1.5,1.0,406,536.0,0.01,3m,2.0,1.5,0.5,638.0,526.0,0.006,3m,4.0,1.0,1.1,868.0,,,,,,,,658.0,0.006,4m,3.5,1.0,1.9000000000000001,564.0,,,,,,,,430.0,0.008,2m,2.0,2.5,1.2000000000000002,76.0,,,,,,,,550.0,0.004,4m,1.5,2.0,1.8,766.0,,,,,,,,0.2,6,COMPLETE
19,19,-3.1365268717375256,2025-06-15 01:05:53.273659,2025-06-15 01:05:57.663002,0 days 00:00:04.389343,594,0.01,2m,3.5,3.5,1.4,174,788.0,0.003,1m,3.0,3.0,1.6,254.0,998.0,0.008,1m,1.5,2.0,1.4,652.0,192.0,0.003,1m,2.0,2.0,1.4,364.0,278.0,0.003,2m,1.5,2.5,1.8,24.0,884.0,0.001,2m,1.0,3.5,1.4,712.0,146.0,0.004,2m,3.0,3.5,0.8,740.0,444.0,0.005,1m,3.0,3.0,1.1,750.0,648.0,0.008,4m,2.0,3.0,1.6,912.0,,,,,,,,0.1,9,COMPLETE
