,number,value,datetime_start,datetime_complete,duration,params_AAPL_OKTA_beta_win,params_AAPL_OKTA_stop_loss,params_AAPL_OKTA_trade_freq,params_AAPL_OKTA_z_entry,params_AAPL_OKTA_z_exit,params_AAPL_OKTA_z_stop_scaler,params_AAPL_OKTA_z_win,params_ADBE_OKTA_beta_win,params_ADBE_OKTA_stop_loss,params_ADBE_OKTA_trade_freq,params_ADBE_OKTA_z_entry,params_ADBE_OKTA_z_exit,params_ADBE_OKTA_z_stop_scaler,params_ADBE_OKTA_z_win,params_ANSS_PEP_beta_win,params_ANSS_PEP_stop_loss,params_ANSS_PEP_trade_freq,params_ANSS_PEP_z_entry,params_ANSS_PEP_z_exit,params_ANSS_PEP_z_stop_scaler,params_ANSS_PEP_z_win,params_COST_INTC_beta_win,params_COST_INTC_stop_loss,params_COST_INTC_trade_freq,params_COST_INTC_z_entry,params_COST_INTC_z_exit,params_COST_INTC_z_stop_scaler,params_COST_INTC_z_win,params_CPRT_OKTA_beta_win,params_CPRT_OKTA_stop_loss,params_CPRT_OKTA_trade_freq,params_CPRT_OKTA_z_entry,params_CPRT_OKTA_z_exit,params_CPRT_OKTA_z_stop_scaler,params_CPRT_OKTA_z_win,params_CTAS_INTC_beta_win,params_CTAS_INTC_stop_loss,params_CTAS_INTC_trade_freq,params_CTAS_INTC_z_entry,params_CTAS_INTC_z_exit,params_CTAS_INTC_z_stop_scaler,params_CTAS_INTC_z_win,params_CTAS_SPLK_beta_win,params_CTAS_SPLK_stop_loss,params_CTAS_SPLK_trade_freq,params_CTAS_SPLK_z_entry,params_CTAS_SPLK_z_exit,params_CTAS_SPLK_z_stop_scaler,params_CTAS_SPLK_z_win,params_FOX_SWKS_beta_win,params_FOX_SWKS_stop_loss,params_FOX_SWKS_trade_freq,params_FOX_SWKS_z_entry,params_FOX_SWKS_z_exit,params_FOX_SWKS_z_stop_scaler,params_FOX_SWKS_z_win,params_ISRG_KHC_beta_win,params_ISRG_KHC_stop_loss,params_ISRG_KHC_trade_freq,params_ISRG_KHC_z_entry,params_ISRG_KHC_z_exit,params_ISRG_KHC_z_stop_scaler,params_ISRG_KHC_z_win,params_ROST_TXN_beta_win,params_ROST_TXN_stop_loss,params_ROST_TXN_trade_freq,params_ROST_TXN_z_entry,params_ROST_TXN_z_exit,params_ROST_TXN_z_stop_scaler,params_ROST_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
30,30,0.19683366922383755,2025-06-15 00:32:27.067814,2025-06-15 00:32:28.181568,0 days 00:00:01.113754,,,,,,,,,,,,,,,,,,,,,,348,0.008,2m,1.5,1.0,1.2000000000000002,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.0,0.005,3m,2.5,3.0,0.6,716.0,0.15000000000000002,2,COMPLETE
31,31,8.692621806644201,2025-06-15 00:32:28.243575,2025-06-15 00:32:29.307307,0 days 00:00:01.063732,,,,,,,,,,,,,,,,,,,,,,596,0.007,3m,2.0,3.0,1.8,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808.0,0.006,3m,1.5,3.5,0.9,438.0,0.25,2,COMPLETE
32,32,-3.2148058088946105,2025-06-15 00:32:29.375821,2025-06-15 00:32:29.969152,0 days 00:00:00.593331,,,,,,,,,,,,,,,,,,,,,,614,0.009000000000000001,1m,2.5,3.0,1.8,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
33,33,1.7770389953702566,2025-06-15 00:32:30.036680,2025-06-15 00:32:30.976300,0 days 00:00:00.939620,,,,,,,,,,,,,,,,,,,,,,478,0.006,2m,2.0,2.5,1.8,606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782.0,0.006,3m,1.0,4.0,0.9,304.0,0.3,2,COMPLETE
34,34,4.6716788241011455,2025-06-15 00:32:31.045821,2025-06-15 00:32:33.505436,0 days 00:00:02.459615,,,,,,,,,,,,,,,,,,,,,,330,0.009000000000000001,4m,1.5,3.0,1.6,310,516.0,0.005,1m,3.5,3.0,1.8,1004.0,,,,,,,,308.0,0.003,2m,2.5,4.0,1.5,170.0,462.0,0.006,4m,1.5,3.0,1.7000000000000002,998.0,,,,,,,,618.0,0.007,3m,1.0,3.0,1.1,454.0,0.25,5,COMPLETE
35,35,8.323580391612385,2025-06-15 00:32:33.569505,2025-06-15 00:32:34.962543,0 days 00:00:01.393038,,,,,,,,,,,,,,,,,,,,,,588,0.008,4m,1.0,3.5,1.9000000000000001,756,,,,,,,,,,,,,,,,,,,,,,630.0,0.009000000000000001,4m,3.0,2.5,1.3,738.0,,,,,,,,656.0,0.009000000000000001,3m,1.5,3.5,0.7,646.0,0.3,3,COMPLETE
36,36,-0.4150597784117013,2025-06-15 00:32:35.039070,2025-06-15 00:32:36.650408,0 days 00:00:01.611338,,,,,,,,,,,,,,,,,,,,,,584,0.008,4m,1.0,4.0,2.0,812,,,,,,,,,,,,,,,,,,,,,,686.0,0.009000000000000001,3m,3.0,3.5,0.9,698.0,,,,,,,,960.0,0.009000000000000001,3m,1.5,3.0,0.7,548.0,0.3,3,COMPLETE
37,37,4.022087418194622,2025-06-15 00:32:36.717409,2025-06-15 00:32:38.611814,0 days 00:00:01.894405,,,,,,,,,,,,,,,,,,,,,,240,0.009000000000000001,4m,1.0,3.5,1.9000000000000001,934,,,,,,,,,,,,,,,156.0,0.002,1m,1.0,3.5,2.0,616.0,624.0,0.01,1m,3.5,4.0,0.7,490.0,,,,,,,,534.0,0.009000000000000001,3m,1.0,3.5,0.6,612.0,0.2,4,COMPLETE
38,38,1.1777811702348115,2025-06-15 00:32:38.663165,2025-06-15 00:32:39.701502,0 days 00:00:01.038337,,,,,,,,,,,,,,,,,,,,,,668,0.009000000000000001,4m,1.5,3.5,1.4,706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872.0,0.008,3m,1.5,3.0,0.9,810.0,0.35000000000000003,2,COMPLETE
39,39,-6.102407398754161,2025-06-15 00:32:39.769015,2025-06-15 00:32:40.417320,0 days 00:00:00.648305,,,,,,,,,,,,,,,,,,,,,,386,0.01,1m,1.0,1.5,0.5,754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
40,40,2.6956755799919847,2025-06-15 00:32:40.484833,2025-06-15 00:32:41.903596,0 days 00:00:01.418763,,,,,,,,,,,,,,,,,,,,,,460,0.008,4m,1.0,4.0,1.9000000000000001,656,,,,,,,,,,,,,,,,,,,,,,876.0,0.009000000000000001,2m,3.5,2.0,1.2000000000000002,914.0,,,,,,,,802.0,0.009000000000000001,3m,1.5,3.5,1.1,904.0,0.2,3,COMPLETE
41,41,-1.8545895569990976,2025-06-15 00:32:41.970111,2025-06-15 00:32:44.196703,0 days 00:00:02.226592,,,,,,,,,,,,,,,,,,,,,,788,0.007,3m,2.0,3.0,1.8,910,150.0,0.002,4m,1.5,2.0,1.3,420.0,,,,,,,,670.0,0.006,4m,3.5,3.0,0.8,448.0,546.0,0.008,4m,3.0,2.5,1.4,798.0,,,,,,,,670.0,0.007,4m,2.0,4.0,0.8,636.0,0.25,5,COMPLETE
42,42,3.0922201365807935,2025-06-15 00:32:44.271220,2025-06-15 00:32:45.721341,0 days 00:00:01.450121,,,,,,,,,,,,,,,,,,,,,,678,0.005,4m,1.5,3.0,1.6,652,,,,,,,,,,,,,,,,,,,,,,474.0,0.005,4m,2.0,2.5,1.9000000000000001,648.0,,,,,,,,730.0,0.005,3m,2.0,3.5,0.7,540.0,0.3,3,COMPLETE
43,43,3.5942067873075434,2025-06-15 00:32:45.781855,2025-06-15 00:32:46.738348,0 days 00:00:00.956493,,,,,,,,,,,,,,,,,,,,,,564,0.007,2m,2.0,3.5,2.0,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648.0,0.008,1m,2.5,4.0,0.9,96.0,0.25,2,COMPLETE
44,44,2.3590752793960736,2025-06-15 00:32:46.787861,2025-06-15 00:32:48.742088,0 days 00:00:01.954227,,,,,,,,,,,,,,,,,,,,,,744,0.006,3m,2.5,3.0,1.8,776,,,,,,,,,,,,,,,812.0,0.009000000000000001,3m,4.0,2.5,1.1,300.0,334.0,0.007,4m,2.0,3.0,1.3,578.0,,,,,,,,534.0,0.006,2m,1.5,4.0,0.8,710.0,0.3,4,COMPLETE
45,45,4.109975204501533,2025-06-15 00:32:48.793597,2025-06-15 00:32:51.029076,0 days 00:00:02.235479,,,,,,,,,,,,,,,,,,,,,,500,0.004,4m,1.5,2.5,0.9,272,330.0,0.008,4m,4.0,2.5,1.6,866.0,,,,,,,,896.0,0.005,2m,1.5,1.0,0.7,94.0,596.0,0.006,4m,1.5,2.5,1.2000000000000002,846.0,,,,,,,,862.0,0.007,3m,2.0,3.0,0.6,772.0,0.4,5,COMPLETE
46,46,5.643733270725983,2025-06-15 00:32:51.079599,2025-06-15 00:32:54.709493,0 days 00:00:03.629894,772.0,0.01,2m,4.0,2.0,1.4,318.0,200.0,0.004,2m,2.0,3.0,0.8,580.0,,,,,,,,994,0.003,1m,1.5,3.5,1.9000000000000001,504,760.0,0.005,1m,2.5,4.0,2.0,142.0,648.0,0.009000000000000001,1m,3.5,3.0,1.4,576.0,692.0,0.007,2m,2.5,2.0,0.9,232.0,792.0,0.003,1m,2.5,3.0,1.0,690.0,,,,,,,,744.0,0.01,4m,1.5,3.5,0.5,572.0,0.2,8,COMPLETE
47,47,-2.4633105277124936,2025-06-15 00:32:54.785009,2025-06-15 00:32:59.412006,0 days 00:00:04.626997,356.0,0.006,4m,3.0,2.0,0.5,610.0,528.0,0.008,3m,3.5,2.0,1.4,816.0,374.0,0.003,3m,1.0,1.0,1.0,104.0,278,0.008,3m,1.0,2.0,0.7,84,640.0,0.002,2m,1.0,3.5,0.9,708.0,1022.0,0.002,2m,2.5,1.5,1.2000000000000002,966.0,412.0,0.009000000000000001,3m,3.5,3.5,1.4,340.0,126.0,0.009000000000000001,4m,1.0,2.5,1.5,914.0,114.0,0.01,3m,2.5,3.5,0.5,768.0,558.0,0.004,3m,1.0,4.0,0.9,682.0,0.15000000000000002,10,COMPLETE
48,48,3.2291124239516362,2025-06-15 00:32:59.481526,2025-06-15 00:33:01.036448,0 days 00:00:01.554922,,,,,,,,,,,,,,,,,,,,,,126,0.009000000000000001,4m,2.0,1.5,1.6,860,,,,,,,,,,,,,,,,,,,,,,394.0,0.007,3m,2.5,1.5,1.7000000000000002,498.0,,,,,,,,18.0,0.009000000000000001,2m,2.5,2.5,1.4,508.0,0.05,3,COMPLETE
49,49,-0.8863608446628896,2025-06-15 00:33:01.118962,2025-06-15 00:33:01.703058,0 days 00:00:00.584096,,,,,,,,,,,,,,,,,,,,,,860,0.007,2m,2.5,1.0,1.1,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
50,50,3.2867653580506313,2025-06-15 00:33:01.755062,2025-06-15 00:33:04.972884,0 days 00:00:03.217822,,,,,,,,806.0,0.003,1m,1.5,4.0,0.7,334.0,,,,,,,,916,0.001,4m,1.5,3.0,1.7000000000000002,622,962.0,0.003,3m,2.0,1.0,1.5,522.0,900.0,0.006,4m,1.5,2.5,1.6,804.0,542.0,0.003,4m,2.5,1.5,1.3,242.0,706.0,0.001,2m,2.5,3.0,1.1,406.0,,,,,,,,1016.0,0.007,3m,2.0,3.5,0.8,424.0,0.4,7,COMPLETE
51,51,1.2087864712531198,2025-06-15 00:33:05.062916,2025-06-15 00:33:08.671876,0 days 00:00:03.608960,692.0,0.01,2m,4.0,2.0,1.5,272.0,206.0,0.005,2m,2.0,3.0,0.8,582.0,,,,,,,,626,0.004,1m,1.5,4.0,1.9000000000000001,506,766.0,0.005,1m,3.0,4.0,2.0,132.0,604.0,0.009000000000000001,1m,3.5,3.0,1.4,540.0,688.0,0.007,2m,2.5,2.0,0.9,212.0,796.0,0.003,1m,3.0,3.5,0.9,720.0,,,,,,,,728.0,0.01,4m,1.5,3.5,2.0,572.0,0.2,8,COMPLETE
52,52,3.3121647314897107,2025-06-15 00:33:08.747891,2025-06-15 00:33:12.944204,0 days 00:00:04.196313,936.0,0.008,2m,3.5,1.5,1.1,250.0,244.0,0.005,2m,2.5,3.0,0.9,488.0,674.0,0.009000000000000001,2m,2.5,2.5,1.6,602.0,822,0.002,1m,1.0,3.5,1.9000000000000001,544,844.0,0.005,1m,2.5,4.0,1.9000000000000001,280.0,422.0,0.009000000000000001,1m,3.5,3.0,1.4,598.0,630.0,0.006,2m,3.0,2.5,1.0,422.0,808.0,0.002,1m,2.5,3.0,1.0,616.0,,,,,,,,812.0,0.01,4m,1.5,3.5,0.5,598.0,0.2,9,COMPLETE
53,53,0.9349105421123884,2025-06-15 00:33:13.003571,2025-06-15 00:33:19.915534,0 days 00:00:06.911963,668.0,0.003,2m,3.5,2.5,1.5,78.0,508.0,0.002,2m,1.5,3.5,0.6,576.0,,,,,,,,1018,0.003,1m,1.5,3.5,1.8,188,572.0,0.004,1m,2.5,3.5,1.8,100.0,774.0,0.009000000000000001,1m,3.0,3.5,1.1,300.0,906.0,0.01,2m,2.0,2.0,0.8,292.0,928.0,0.003,1m,3.5,3.0,1.0,562.0,,,,,,,,682.0,0.01,4m,1.0,4.0,0.5,350.0,0.2,8,COMPLETE
54,54,-0.2758991395578504,2025-06-15 00:33:20.027586,2025-06-15 00:33:25.150836,0 days 00:00:05.123250,822.0,0.009000000000000001,4m,2.5,1.5,0.9,482.0,658.0,0.007,4m,2.0,2.5,1.3,764.0,232.0,0.007,1m,4.0,4.0,0.8,262.0,940,0.003,1m,2.0,3.0,2.0,432,688.0,0.007,1m,3.5,4.0,1.7000000000000002,202.0,662.0,0.01,1m,4.0,3.5,1.5,422.0,740.0,0.008,1m,1.5,1.5,0.6,88.0,766.0,0.008,1m,2.5,3.5,1.3,692.0,,,,,,,,636.0,0.009000000000000001,4m,1.5,3.0,0.7,508.0,0.25,9,COMPLETE
55,55,0.38132043412983413,2025-06-15 00:33:25.231349,2025-06-15 00:33:29.938582,0 days 00:00:04.707233,658.0,0.005,2m,4.0,3.0,2.0,272.0,388.0,0.004,2m,2.5,3.0,1.1,202.0,1018.0,0.003,4m,3.0,3.0,0.8,972.0,684,0.006,3m,1.0,3.5,1.7000000000000002,492,886.0,0.001,1m,1.5,3.0,1.4,362.0,602.0,0.007,3m,3.0,2.5,1.3,712.0,814.0,0.005,2m,2.5,2.5,1.1,572.0,654.0,0.002,1m,1.5,3.0,0.8,770.0,972.0,0.001,2m,4.0,1.5,1.8,44.0,746.0,0.008,1m,1.5,1.0,0.6,718.0,0.15000000000000002,10,COMPLETE
56,56,1.420071169345301,2025-06-15 00:33:30.010114,2025-06-15 00:33:32.933710,0 days 00:00:02.923596,,,,,,,,,,,,,,,,,,,,,,1000,0.008,1m,2.0,4.0,1.4,352,442.0,0.006,3m,2.5,3.5,1.2000000000000002,264.0,760.0,0.008,3m,3.5,2.0,0.9,554.0,100.0,0.006,1m,3.0,2.0,0.6,128.0,576.0,0.005,1m,2.0,2.0,1.1,866.0,,,,,,,,696.0,0.006,4m,2.0,3.5,0.7,630.0,0.25,6,COMPLETE
57,57,7.580046712290454,2025-06-15 00:33:33.009236,2025-06-15 00:33:36.975770,0 days 00:00:03.966534,,,,,,,,168.0,0.007,2m,1.5,1.5,0.8,414.0,,,,,,,,426,0.005,2m,3.5,2.5,1.6,566,556.0,0.007,4m,1.0,3.5,1.7000000000000002,856.0,452.0,0.004,1m,2.5,4.0,1.3,368.0,628.0,0.01,2m,4.0,1.5,1.7000000000000002,222.0,490.0,0.004,4m,1.0,2.5,1.5,310.0,,,,,,,,476.0,0.008,3m,2.5,3.5,1.0,786.0,0.3,7,COMPLETE
58,58,3.52999305946208,2025-06-15 00:33:37.073795,2025-06-15 00:33:43.128947,0 days 00:00:06.055152,,,,,,,,34.0,0.007,4m,1.0,1.5,1.0,398.0,,,,,,,,392,0.005,2m,3.5,2.5,1.5,662,516.0,0.007,4m,1.0,3.0,1.5,912.0,290.0,0.004,4m,2.5,4.0,1.1,154.0,612.0,0.01,4m,4.0,1.0,1.8,454.0,480.0,0.004,4m,1.0,2.0,1.5,310.0,,,,,,,,478.0,0.008,3m,3.0,4.0,1.1,776.0,0.3,7,COMPLETE
59,59,3.242079056509917,2025-06-15 00:33:43.238459,2025-06-15 00:33:47.863776,0 days 00:00:04.625317,,,,,,,,728.0,0.01,1m,1.5,1.5,1.6,392.0,,,,,,,,206,0.007,2m,4.0,2.5,1.6,736,410.0,0.008,4m,1.5,3.5,1.7000000000000002,928.0,470.0,0.004,2m,2.0,1.0,1.8,372.0,952.0,0.01,1m,4.0,1.5,1.7000000000000002,804.0,274.0,0.006,4m,1.0,2.5,1.4,528.0,,,,,,,,448.0,0.003,3m,2.5,2.0,1.2000000000000002,868.0,0.35000000000000003,7,COMPLETE
60,60,2.3005718101513692,2025-06-15 00:33:47.946286,2025-06-15 00:33:50.808532,0 days 00:00:02.862246,,,,,,,,,,,,,,,,,,,,,,422,0.006,2m,3.0,2.0,1.7000000000000002,582,594.0,0.008,4m,2.0,3.5,1.1,808.0,214.0,0.002,3m,1.5,4.0,1.3,272.0,472.0,0.009000000000000001,2m,3.5,4.0,2.0,280.0,378.0,0.009000000000000001,4m,1.5,2.0,1.6,228.0,,,,,,,,370.0,0.007,3m,2.5,4.0,1.0,974.0,0.3,6,COMPLETE
61,61,1.694733884291118,2025-06-15 00:33:50.878931,2025-06-15 00:33:54.557190,0 days 00:00:03.678259,460.0,0.008,3m,3.0,1.5,1.3,872.0,158.0,0.006,2m,2.0,2.0,0.7,556.0,,,,,,,,576,0.004,2m,3.0,3.0,1.8,490,826.0,0.006,4m,1.0,4.0,1.9000000000000001,20.0,632.0,0.004,1m,3.0,3.5,1.5,454.0,570.0,0.007,2m,4.0,2.0,1.6,228.0,540.0,0.003,4m,1.0,2.5,1.2000000000000002,322.0,,,,,,,,268.0,0.009000000000000001,3m,1.5,3.5,0.8,794.0,0.2,8,COMPLETE
62,62,-0.44046511533818045,2025-06-15 00:33:54.645553,2025-06-15 00:33:57.740870,0 days 00:00:03.095317,,,,,,,,308.0,0.005,2m,1.5,2.5,0.8,686.0,,,,,,,,534,0.003,2m,2.5,3.5,1.9000000000000001,398,720.0,0.003,3m,1.5,4.0,1.6,494.0,932.0,0.002,1m,2.5,3.0,1.3,500.0,646.0,0.004,2m,3.0,1.5,0.9,336.0,684.0,0.004,4m,1.5,3.0,1.3,414.0,,,,,,,,554.0,0.008,1m,2.0,3.5,0.9,672.0,0.25,7,COMPLETE
63,63,-4.773613791987466,2025-06-15 00:33:57.818389,2025-06-15 00:34:01.510758,0 days 00:00:03.692369,190.0,0.002,1m,2.0,2.0,1.7000000000000002,670.0,120.0,0.008,2m,2.5,1.5,0.9,508.0,,,,,,,,298,0.007,3m,4.0,3.0,1.9000000000000001,686,540.0,0.007,1m,1.0,4.0,2.0,676.0,466.0,0.007,1m,2.5,4.0,1.1,348.0,730.0,0.007,2m,3.5,3.0,1.4,132.0,494.0,0.002,3m,1.0,2.5,1.5,162.0,,,,,,,,572.0,0.01,3m,2.0,3.5,1.0,730.0,0.2,8,COMPLETE
64,64,-0.48952082897948745,2025-06-15 00:34:01.591799,2025-06-15 00:34:05.070924,0 days 00:00:03.479125,,,,,,,,546.0,0.003,2m,2.0,1.0,0.6,436.0,,,,,,,,600,0.005,4m,3.5,1.5,1.7000000000000002,30,682.0,0.005,4m,3.0,3.5,1.8,790.0,348.0,0.005,1m,3.5,3.0,1.5,212.0,818.0,0.008,2m,3.0,2.0,1.0,206.0,640.0,0.004,4m,1.5,3.0,1.6,70.0,,,,,,,,914.0,0.007,3m,3.5,2.5,0.5,580.0,0.3,7,COMPLETE
65,65,-0.16107695821932771,2025-06-15 00:34:05.127441,2025-06-15 00:34:09.476419,0 days 00:00:04.348978,896.0,0.005,4m,3.5,1.0,0.7,386.0,898.0,0.007,3m,1.5,3.5,0.8,652.0,24.0,0.003,3m,2.0,2.0,1.6,608.0,758,0.002,2m,2.0,3.0,1.8,524,476.0,0.006,2m,1.0,2.5,1.5,334.0,574.0,0.009000000000000001,4m,4.0,3.5,1.6,820.0,514.0,0.006,2m,3.5,2.5,1.2000000000000002,68.0,430.0,0.003,2m,3.0,3.5,1.8,458.0,,,,,,,,772.0,0.005,1m,1.5,4.0,0.7,634.0,0.35000000000000003,9,COMPLETE
66,66,3.914555358825602,2025-06-15 00:34:09.540282,2025-06-15 00:34:12.614973,0 days 00:00:03.074691,,,,,,,,,,,,,,,,,,,,,,18,0.008,4m,1.0,3.5,2.0,576,22.0,0.009000000000000001,4m,3.0,3.0,1.7000000000000002,206.0,490.0,0.006,1m,3.0,4.0,1.3,484.0,408.0,0.004,3m,2.5,1.5,1.8,530.0,738.0,0.005,4m,4.0,3.0,1.7000000000000002,642.0,,,,,,,,824.0,0.008,3m,1.0,3.0,0.8,460.0,0.25,6,COMPLETE
67,67,2.040065194627966,2025-06-15 00:34:12.692493,2025-06-15 00:34:13.666459,0 days 00:00:00.973966,,,,,,,,,,,,,,,,,,,,,,650,0.006,1m,1.5,2.0,1.6,626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650.0,0.006,2m,2.0,3.5,1.2000000000000002,854.0,0.25,2,COMPLETE
68,68,-0.8793377331554488,2025-06-15 00:34:13.732974,2025-06-15 00:34:17.678081,0 days 00:00:03.945107,740.0,0.006,2m,2.5,3.0,1.2000000000000002,582.0,268.0,0.009000000000000001,2m,1.0,2.5,1.0,188.0,,,,,,,,504,0.01,4m,3.5,2.5,1.5,244,116.0,0.002,1m,4.0,2.5,1.9000000000000001,576.0,398.0,0.01,2m,2.5,2.5,1.8,150.0,996.0,0.009000000000000001,2m,4.0,1.0,0.8,346.0,346.0,0.01,1m,2.0,2.5,2.0,260.0,,,,,,,,616.0,0.009000000000000001,3m,3.0,4.0,1.0,708.0,0.15000000000000002,8,COMPLETE
69,69,-0.9028046507893001,2025-06-15 00:34:17.735595,2025-06-15 00:34:18.296245,0 days 00:00:00.560650,,,,,,,,,,,,,,,,,,,,,,344,0.007,3m,1.0,3.5,1.7000000000000002,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
70,70,4.450548468961895,2025-06-15 00:34:18.357249,2025-06-15 00:34:19.386094,0 days 00:00:01.028845,,,,,,,,,,,,,,,,,,,,,,430,0.009000000000000001,2m,2.5,3.0,1.4,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708.0,0.008,4m,1.5,3.5,1.1,392.0,0.2,2,COMPLETE
71,71,5.389152636578032,2025-06-15 00:34:19.460297,2025-06-15 00:34:21.075045,0 days 00:00:01.614748,,,,,,,,,,,,,,,,,,,,,,542,0.007,3m,2.0,3.0,1.8,466,,,,,,,,,,,,,,,,,,,,,,270.0,0.004,4m,2.0,2.0,1.6,66.0,,,,,,,,846.0,0.001,3m,1.5,3.5,1.0,262.0,0.3,3,COMPLETE
72,72,3.794014245488926,2025-06-15 00:34:21.148561,2025-06-15 00:34:22.679841,0 days 00:00:01.531280,,,,,,,,,,,,,,,,,,,,,,554,0.008,3m,2.0,3.0,1.9000000000000001,442,,,,,,,,,,,,,,,,,,,,,,136.0,0.004,4m,2.5,2.0,1.4,24.0,,,,,,,,886.0,0.002,3m,1.5,3.0,0.9,180.0,0.3,3,COMPLETE
73,73,7.478237164733652,2025-06-15 00:34:22.744359,2025-06-15 00:34:24.872281,0 days 00:00:02.127922,,,,,,,,,,,,,,,,,,,,,,704,0.007,3m,1.5,2.5,1.8,548,,,,,,,,,,,,,,,690.0,0.005,3m,3.0,2.5,0.9,258.0,298.0,0.005,4m,2.0,1.5,1.9000000000000001,192.0,,,,,,,,956.0,0.001,3m,1.0,3.5,0.6,116.0,0.35000000000000003,4,COMPLETE
74,74,6.154120098052808,2025-06-15 00:34:24.936794,2025-06-15 00:34:26.830508,0 days 00:00:01.893714,,,,,,,,,,,,,,,,,,,,,,726,0.008,3m,1.5,2.5,1.9000000000000001,558,,,,,,,,,,,,,,,710.0,0.005,3m,3.0,2.5,0.9,242.0,206.0,0.005,4m,1.5,1.0,1.9000000000000001,128.0,,,,,,,,952.0,0.001,3m,1.0,3.5,0.6,22.0,0.35000000000000003,4,COMPLETE
75,75,5.387164914020772,2025-06-15 00:34:26.900024,2025-06-15 00:34:29.187914,0 days 00:00:02.287890,,,,,,,,,,,,,,,,,,,,,,724,0.008,3m,1.5,2.5,1.8,558,,,,,,,,,,,,,,,720.0,0.005,3m,3.0,2.5,0.7,272.0,186.0,0.005,4m,1.5,1.0,1.9000000000000001,190.0,,,,,,,,950.0,0.001,3m,1.0,4.0,0.6,52.0,0.35000000000000003,4,COMPLETE
76,76,2.757162541747198,2025-06-15 00:34:29.261425,2025-06-15 00:34:31.246491,0 days 00:00:01.985066,,,,,,,,,,,,,,,,,,,,,,698,0.009000000000000001,3m,1.5,2.5,2.0,696,,,,,,,,,,,,,,,776.0,0.004,3m,3.0,3.0,1.1,172.0,96.0,0.006,4m,1.5,1.0,2.0,90.0,,,,,,,,988.0,0.002,3m,1.0,3.0,0.6,120.0,0.35000000000000003,4,COMPLETE
77,77,4.100787044932831,2025-06-15 00:34:31.328005,2025-06-15 00:34:34.075058,0 days 00:00:02.747053,,,,,,,,,,,,,,,,,,,,,,806,0.007,3m,1.0,2.5,1.0,602,320.0,0.001,4m,1.5,2.5,1.3,966.0,,,,,,,,598.0,0.005,3m,3.5,3.0,0.7,36.0,226.0,0.005,4m,1.5,1.5,1.8,304.0,,,,,,,,986.0,0.001,3m,1.0,3.5,0.7,28.0,0.4,5,COMPLETE
78,78,2.7618199901776066,2025-06-15 00:34:34.162580,2025-06-15 00:34:36.596469,0 days 00:00:02.433889,,,,,,,,,,,,,,,,,,,,,,632,0.006,3m,1.5,2.0,0.6,178,234.0,0.009000000000000001,2m,2.0,1.5,0.6,456.0,,,,,,,,654.0,0.005,3m,3.5,3.0,1.0,382.0,22.0,0.006,4m,1.0,1.5,1.9000000000000001,132.0,,,,,,,,928.0,0.003,3m,1.0,4.0,0.8,152.0,0.45,5,COMPLETE
79,79,5.437032718855213,2025-06-15 00:34:36.695982,2025-06-15 00:34:39.061356,0 days 00:00:02.365374,,,,,,,,,,,,,,,,,,,,,,746,0.008,3m,1.5,2.5,1.8,552,,,,,,,,,,,,,,,776.0,0.003,3m,3.0,2.5,0.8,148.0,318.0,0.005,4m,2.0,1.0,1.8,196.0,,,,,,,,972.0,0.002,3m,1.0,3.5,0.7,74.0,0.5,4,COMPLETE
80,80,1.925811448007999,2025-06-15 00:34:39.133865,2025-06-15 00:34:40.676701,0 days 00:00:01.542836,,,,,,,,,,,,,,,,,,,,,,658,0.008,4m,1.0,2.0,1.7000000000000002,960,,,,,,,,,,,,,,,,,,,,,,198.0,0.008,4m,1.5,1.5,2.0,118.0,,,,,,,,1022.0,0.001,1m,2.5,3.0,0.6,16.0,0.4,3,COMPLETE
81,81,0.767010843186943,2025-06-15 00:34:40.750221,2025-06-15 00:34:41.806927,0 days 00:00:01.056706,,,,,,,,,,,,,,,,,,,,,,706,0.009000000000000001,3m,1.5,2.5,1.9000000000000001,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,904.0,0.001,3m,1.0,3.5,0.5,756.0,0.35000000000000003,2,COMPLETE
