,number,value,datetime_start,datetime_complete,duration,params_AMD_INTC_beta_win,params_AMD_INTC_stop_loss,params_AMD_INTC_trade_freq,params_AMD_INTC_z_entry,params_AMD_INTC_z_exit,params_AMD_INTC_z_stop_scaler,params_AMD_INTC_z_win,params_ATVI_EXC_beta_win,params_ATVI_EXC_stop_loss,params_ATVI_EXC_trade_freq,params_ATVI_EXC_z_entry,params_ATVI_EXC_z_exit,params_ATVI_EXC_z_stop_scaler,params_ATVI_EXC_z_win,params_CHTR_INTC_beta_win,params_CHTR_INTC_stop_loss,params_CHTR_INTC_trade_freq,params_CHTR_INTC_z_entry,params_CHTR_INTC_z_exit,params_CHTR_INTC_z_stop_scaler,params_CHTR_INTC_z_win,params_COST_INTC_beta_win,params_COST_INTC_stop_loss,params_COST_INTC_trade_freq,params_COST_INTC_z_entry,params_COST_INTC_z_exit,params_COST_INTC_z_stop_scaler,params_COST_INTC_z_win,params_CSX_INTC_beta_win,params_CSX_INTC_stop_loss,params_CSX_INTC_trade_freq,params_CSX_INTC_z_entry,params_CSX_INTC_z_exit,params_CSX_INTC_z_stop_scaler,params_CSX_INTC_z_win,params_DXCM_ORLY_beta_win,params_DXCM_ORLY_stop_loss,params_DXCM_ORLY_trade_freq,params_DXCM_ORLY_z_entry,params_DXCM_ORLY_z_exit,params_DXCM_ORLY_z_stop_scaler,params_DXCM_ORLY_z_win,params_FAST_INTC_beta_win,params_FAST_INTC_stop_loss,params_FAST_INTC_trade_freq,params_FAST_INTC_z_entry,params_FAST_INTC_z_exit,params_FAST_INTC_z_stop_scaler,params_FAST_INTC_z_win,params_GFS_INTC_beta_win,params_GFS_INTC_stop_loss,params_GFS_INTC_trade_freq,params_GFS_INTC_z_entry,params_GFS_INTC_z_exit,params_GFS_INTC_z_stop_scaler,params_GFS_INTC_z_win,params_INTC_PAYX_beta_win,params_INTC_PAYX_stop_loss,params_INTC_PAYX_trade_freq,params_INTC_PAYX_z_entry,params_INTC_PAYX_z_exit,params_INTC_PAYX_z_stop_scaler,params_INTC_PAYX_z_win,params_INTC_VRSK_beta_win,params_INTC_VRSK_stop_loss,params_INTC_VRSK_trade_freq,params_INTC_VRSK_z_entry,params_INTC_VRSK_z_exit,params_INTC_VRSK_z_stop_scaler,params_INTC_VRSK_z_win,params_buffer_capital,params_pairs_to_trade,state
49,49,5.24179247475292,2025-06-15 01:13:59.208848,2025-06-15 01:14:02.869595,0 days 00:00:03.660747,88.0,0.005,3m,2.5,3.5,1.5,418.0,252.0,0.004,1m,1.5,2.5,0.7,902.0,126.0,0.003,2m,2.5,2.5,1.1,822.0,720.0,0.007,2m,3.5,2.0,1.5,618.0,1010.0,0.01,3m,3.5,3.5,1.2000000000000002,400.0,,,,,,,,234,0.01,3m,1.5,1.0,0.8,44,178.0,0.009000000000000001,3m,3.5,3.5,1.0,526.0,130.0,0.008,4m,1.5,3.5,1.5,370.0,384.0,0.005,1m,2.5,3.0,1.1,576.0,0.4,9,COMPLETE
50,50,-0.5210127783532915,2025-06-15 01:14:02.911183,2025-06-15 01:14:04.980776,0 days 00:00:02.069593,142.0,0.002,4m,3.0,3.0,1.7000000000000002,754.0,92.0,0.008,4m,3.0,2.0,0.5,374.0,196.0,0.005,2m,3.5,3.5,0.6,278.0,,,,,,,,,,,,,,,,,,,,,,90,0.009000000000000001,3m,2.0,3.0,1.9000000000000001,194,,,,,,,,,,,,,,,524.0,0.004,2m,3.0,2.5,1.5,968.0,0.2,5,COMPLETE
51,51,7.318828760282079,2025-06-15 01:14:05.057009,2025-06-15 01:14:07.971553,0 days 00:00:02.914544,254.0,0.004,2m,1.0,3.5,1.8,750.0,126.0,0.005,2m,4.0,4.0,0.8,966.0,536.0,0.005,2m,3.0,1.5,0.8,178.0,536.0,0.002,3m,3.5,1.5,2.0,144.0,836.0,0.001,3m,3.0,2.5,2.0,956.0,,,,,,,,604,0.007,1m,2.0,2.0,0.9,54,,,,,,,,,,,,,,,286.0,0.007,3m,3.0,3.0,1.7000000000000002,746.0,0.4,7,COMPLETE
52,52,2.496008210284116,2025-06-15 01:14:08.036402,2025-06-15 01:14:11.554184,0 days 00:00:03.517782,266.0,0.003,4m,1.0,3.5,1.9000000000000001,878.0,132.0,0.006,2m,4.0,4.0,0.7,976.0,592.0,0.004,2m,2.5,1.5,0.8,64.0,,,,,,,,812.0,0.001,3m,3.0,3.0,1.9000000000000001,922.0,,,,,,,,136,0.007,1m,2.5,2.5,0.5,66,,,,,,,,,,,,,,,286.0,0.008,3m,3.0,3.5,1.6,818.0,0.35000000000000003,6,COMPLETE
53,53,4.583657852574279,2025-06-15 01:14:11.669468,2025-06-15 01:14:18.501747,0 days 00:00:06.832279,340.0,0.004,3m,1.0,3.0,1.8,966.0,886.0,0.005,2m,4.0,4.0,0.9,192.0,662.0,0.005,2m,3.0,2.0,0.7,176.0,566.0,0.002,3m,4.0,1.0,2.0,68.0,440.0,0.002,3m,2.5,3.0,1.9000000000000001,978.0,,,,,,,,504,0.006,1m,2.0,1.5,0.8,128,,,,,,,,308.0,0.003,1m,3.5,2.0,1.0,644.0,164.0,0.007,3m,2.5,3.0,1.4,782.0,0.5,8,COMPLETE
54,54,1.8298021691738027,2025-06-15 01:14:18.604616,2025-06-15 01:14:22.974697,0 days 00:00:04.370081,20.0,0.006,2m,1.5,2.5,1.1,924.0,190.0,0.004,2m,4.0,4.0,2.0,1024.0,72.0,0.007,2m,3.5,1.5,0.9,98.0,412.0,0.007,3m,3.5,1.5,1.9000000000000001,162.0,916.0,0.001,3m,3.0,2.5,2.0,818.0,704.0,0.007,2m,1.5,2.5,1.5,368.0,764,0.008,2m,3.0,2.0,0.6,16,708.0,0.003,3m,2.0,2.0,1.8,852.0,740.0,0.005,2m,2.0,2.5,1.8,476.0,344.0,0.009000000000000001,3m,3.5,3.0,1.7000000000000002,740.0,0.45,10,COMPLETE
55,55,-0.7418677354128872,2025-06-15 01:14:23.050762,2025-06-15 01:14:26.079014,0 days 00:00:03.028252,466.0,0.004,4m,1.0,3.0,1.6,1022.0,300.0,0.006,2m,3.5,3.5,0.8,922.0,536.0,0.006,3m,3.0,2.0,0.7,222.0,650.0,0.002,3m,2.5,1.0,1.8,16.0,70.0,0.001,4m,3.5,2.5,1.6,906.0,,,,,,,,410,0.005,4m,1.5,2.5,1.3,174,,,,,,,,,,,,,,,232.0,0.006,3m,3.0,3.5,1.8,240.0,0.35000000000000003,7,COMPLETE
56,56,3.1497887762155634,2025-06-15 01:14:26.163651,2025-06-15 01:14:30.022734,0 days 00:00:03.859083,172.0,0.003,2m,1.5,1.0,1.5,750.0,70.0,0.01,4m,1.0,1.5,0.5,856.0,330.0,0.004,2m,2.5,1.0,1.0,46.0,476.0,0.003,3m,2.0,1.5,1.2000000000000002,478.0,576.0,0.009000000000000001,3m,2.5,2.0,1.7000000000000002,990.0,,,,,,,,570,0.004,1m,2.0,1.5,0.9,102,582.0,0.007,2m,3.5,3.5,1.3,298.0,202.0,0.002,2m,1.5,3.0,1.3,318.0,112.0,0.008,1m,4.0,2.5,1.5,614.0,0.4,9,COMPLETE
57,57,2.507822727433457,2025-06-15 01:14:30.106778,2025-06-15 01:14:33.654324,0 days 00:00:03.547546,294.0,0.005,1m,1.0,3.5,1.7000000000000002,618.0,224.0,0.003,1m,3.5,2.5,1.7000000000000002,978.0,472.0,0.005,4m,3.5,1.5,1.7000000000000002,118.0,872.0,0.006,4m,1.0,2.0,1.7000000000000002,352.0,752.0,0.004,3m,1.0,3.0,1.9000000000000001,872.0,,,,,,,,620,0.009000000000000001,1m,1.5,2.0,2.0,60,,,,,,,,112.0,0.006,2m,2.5,1.5,1.6,164.0,188.0,0.007,2m,3.0,2.0,1.6,434.0,0.45,8,COMPLETE
58,58,2.303073606064174,2025-06-15 01:14:33.712073,2025-06-15 01:14:36.809269,0 days 00:00:03.097196,396.0,0.003,3m,2.0,3.5,1.9000000000000001,894.0,148.0,0.007,2m,4.0,3.0,0.8,798.0,262.0,0.003,2m,2.0,2.5,0.6,344.0,338.0,0.01,3m,4.0,1.5,0.6,82.0,826.0,0.006,1m,2.0,1.0,1.0,734.0,,,,,,,,318,0.006,3m,2.5,2.5,1.0,230,,,,,,,,,,,,,,,394.0,0.004,3m,3.5,4.0,1.3,1016.0,0.35000000000000003,7,COMPLETE
59,59,-5.302579220583267,2025-06-15 01:14:36.856782,2025-06-15 01:14:39.133247,0 days 00:00:02.276465,978.0,0.004,4m,1.5,3.0,1.6,830.0,266.0,0.005,1m,4.0,4.0,0.6,988.0,150.0,0.006,2m,3.0,2.0,0.5,166.0,,,,,,,,,,,,,,,,,,,,,,262,0.005,1m,2.0,2.0,0.6,150,,,,,,,,,,,,,,,296.0,0.005,3m,3.0,2.5,1.8,846.0,0.4,5,COMPLETE
60,60,6.256987111739261,2025-06-15 01:14:39.209992,2025-06-15 01:14:45.974143,0 days 00:00:06.764151,512.0,0.006,1m,4.0,2.0,1.8,722.0,726.0,0.002,4m,3.5,3.5,0.7,746.0,408.0,0.005,1m,2.0,1.0,0.9,116.0,250.0,0.009000000000000001,2m,3.5,2.5,1.8,252.0,644.0,0.002,3m,2.0,3.5,0.6,924.0,406.0,0.003,2m,3.0,3.0,0.5,714.0,702,0.007,1m,1.5,2.5,0.5,296,402.0,0.007,4m,2.5,2.5,1.8,616.0,502.0,0.008,2m,4.0,1.0,1.1,914.0,432.0,0.002,3m,2.5,3.0,1.9000000000000001,916.0,0.25,10,COMPLETE
61,61,2.749375611835638,2025-06-15 01:14:46.116160,2025-06-15 01:14:51.460051,0 days 00:00:05.343891,504.0,0.006,1m,3.5,1.5,1.8,714.0,750.0,0.002,4m,4.0,3.5,0.7,760.0,390.0,0.005,1m,2.0,1.0,0.9,110.0,162.0,0.004,2m,3.5,2.5,1.9000000000000001,254.0,654.0,0.002,3m,2.0,3.5,0.6,926.0,346.0,0.002,2m,3.0,3.0,0.5,766.0,692,0.007,1m,1.5,2.5,0.5,122,372.0,0.007,4m,2.5,2.5,1.9000000000000001,592.0,572.0,0.008,2m,4.0,1.0,1.1,914.0,432.0,0.001,3m,2.5,3.0,1.9000000000000001,926.0,0.25,10,COMPLETE
62,62,2.420844939930466,2025-06-15 01:14:51.534775,2025-06-15 01:14:55.617906,0 days 00:00:04.083131,642.0,0.006,1m,4.0,2.0,1.9000000000000001,658.0,628.0,0.001,4m,3.5,3.5,0.6,634.0,466.0,0.004,1m,1.5,1.0,0.8,244.0,392.0,0.008,2m,3.5,2.0,1.8,228.0,574.0,0.001,3m,1.5,4.0,0.8,994.0,,,,,,,,652,0.006,1m,1.5,3.0,0.7,462,408.0,0.005,4m,3.0,3.0,1.7000000000000002,764.0,670.0,0.001,4m,3.5,1.0,0.8,830.0,472.0,0.002,3m,2.5,3.0,0.7,886.0,0.25,9,COMPLETE
63,63,7.6098371328241585,2025-06-15 01:14:55.692571,2025-06-15 01:15:00.223964,0 days 00:00:04.531393,560.0,0.007,1m,3.0,2.0,1.7000000000000002,792.0,882.0,0.002,4m,4.0,4.0,0.8,906.0,390.0,0.005,1m,2.0,1.5,1.0,54.0,522.0,0.008,2m,3.0,2.5,2.0,322.0,978.0,0.003,3m,2.0,3.5,0.6,926.0,614.0,0.004,2m,3.0,3.5,0.8,816.0,732,0.007,1m,2.0,2.5,0.6,296,248.0,0.009000000000000001,4m,2.5,2.5,1.8,620.0,818.0,0.009000000000000001,2m,4.0,1.5,1.4,952.0,332.0,0.002,3m,3.0,3.0,1.7000000000000002,964.0,0.3,10,COMPLETE
64,64,5.968426604147349,2025-06-15 01:15:00.291687,2025-06-15 01:15:04.497620,0 days 00:00:04.205933,836.0,0.007,1m,3.0,2.0,1.5,796.0,908.0,0.001,4m,4.0,4.0,1.1,922.0,552.0,0.006,1m,2.0,1.5,1.0,58.0,528.0,0.001,2m,3.0,3.0,2.0,326.0,970.0,0.003,3m,3.0,2.0,0.8,850.0,,,,,,,,952,0.008,1m,2.0,2.0,0.8,62,212.0,0.009000000000000001,4m,1.5,3.5,1.6,420.0,372.0,0.009000000000000001,1m,3.0,1.5,1.4,958.0,348.0,0.003,3m,3.0,2.5,1.7000000000000002,972.0,0.3,9,COMPLETE
65,65,2.230161702045248,2025-06-15 01:15:04.582162,2025-06-15 01:15:08.202307,0 days 00:00:03.620145,606.0,0.01,2m,3.5,2.5,1.7000000000000002,846.0,322.0,0.001,3m,4.0,4.0,0.9,856.0,340.0,0.004,4m,1.5,2.0,0.7,50.0,640.0,0.009000000000000001,4m,3.0,1.0,2.0,456.0,896.0,0.001,1m,2.5,2.5,0.6,1004.0,,,,,,,,580,0.004,1m,2.5,2.5,1.2000000000000002,220,,,,,,,,762.0,0.009000000000000001,2m,3.5,2.0,1.6,446.0,262.0,0.006,4m,3.0,3.5,1.6,762.0,0.35000000000000003,8,COMPLETE
66,66,8.048711606055718,2025-06-15 01:15:08.283405,2025-06-15 01:15:12.812456,0 days 00:00:04.529051,56.0,0.008,1m,2.5,3.0,1.7000000000000002,948.0,200.0,0.003,3m,4.0,2.5,0.8,994.0,366.0,0.005,1m,2.5,1.5,1.1,146.0,576.0,0.001,1m,3.0,2.0,0.6,560.0,988.0,0.002,3m,1.5,2.0,2.0,796.0,626.0,0.004,2m,3.0,3.5,0.8,822.0,750,0.007,2m,2.0,3.0,0.7,152,146.0,0.009000000000000001,3m,3.0,1.5,1.9000000000000001,912.0,902.0,0.003,3m,4.0,3.5,1.4,548.0,226.0,0.007,2m,3.5,2.5,1.7000000000000002,860.0,0.3,10,COMPLETE
67,67,1.3206139052083354,2025-06-15 01:15:12.884254,2025-06-15 01:15:17.365925,0 days 00:00:04.481671,68.0,0.008,1m,3.0,3.0,1.7000000000000002,948.0,532.0,0.003,1m,4.0,4.0,0.8,986.0,940.0,0.007,1m,2.5,1.5,1.2000000000000002,136.0,464.0,0.001,1m,3.0,3.0,0.6,586.0,968.0,0.003,2m,1.0,1.5,2.0,820.0,634.0,0.004,2m,3.0,3.5,0.8,804.0,790,0.008,2m,2.0,3.0,0.7,360,126.0,0.009000000000000001,3m,3.0,1.5,1.9000000000000001,912.0,906.0,0.003,3m,4.0,3.5,1.4,574.0,136.0,0.009000000000000001,2m,3.5,2.5,1.8,858.0,0.3,10,COMPLETE
68,68,5.573140295885309,2025-06-15 01:15:17.428522,2025-06-15 01:15:21.922885,0 days 00:00:04.494363,130.0,0.008,1m,2.5,3.0,2.0,782.0,824.0,0.004,3m,3.5,4.0,1.0,896.0,758.0,0.005,1m,2.5,1.5,1.1,202.0,744.0,0.001,1m,2.5,2.0,0.6,558.0,996.0,0.002,3m,1.5,2.0,1.9000000000000001,1022.0,630.0,0.005,2m,2.5,3.5,0.8,876.0,730,0.007,2m,2.5,3.0,0.6,166,306.0,0.009000000000000001,3m,3.5,1.5,1.9000000000000001,702.0,906.0,0.002,3m,4.0,3.5,1.4,118.0,212.0,0.008,2m,4.0,2.5,1.5,962.0,0.3,10,COMPLETE
69,69,5.071076806780163,2025-06-15 01:15:22.002464,2025-06-15 01:15:26.649730,0 days 00:00:04.647266,250.0,0.009000000000000001,1m,3.5,3.5,1.6,820.0,96.0,0.002,2m,4.0,3.0,0.8,1008.0,376.0,0.006,3m,3.0,2.0,1.2000000000000002,150.0,930.0,0.001,3m,3.0,1.5,0.5,164.0,864.0,0.004,3m,1.5,2.5,1.7000000000000002,872.0,768.0,0.005,2m,3.0,3.5,0.7,524.0,764,0.009000000000000001,2m,2.0,3.0,0.8,44,210.0,0.008,3m,2.5,1.5,2.0,922.0,886.0,0.004,3m,4.0,4.0,1.9000000000000001,304.0,236.0,0.007,1m,3.5,3.0,1.4,124.0,0.3,10,COMPLETE
70,70,-0.8401596542325426,2025-06-15 01:15:26.746907,2025-06-15 01:15:31.059730,0 days 00:00:04.312823,54.0,0.009000000000000001,1m,1.0,4.0,1.8,572.0,376.0,0.004,4m,2.0,2.0,0.9,448.0,624.0,0.005,1m,3.0,1.5,1.0,442.0,522.0,0.003,2m,2.0,3.5,0.6,722.0,794.0,0.002,3m,2.0,1.5,2.0,780.0,,,,,,,,816,0.007,2m,2.0,2.0,0.6,142,138.0,0.01,3m,3.0,3.0,1.8,592.0,770.0,0.001,3m,1.0,3.0,1.3,820.0,326.0,0.007,2m,3.5,2.5,1.6,834.0,0.15000000000000002,9,COMPLETE
71,71,4.926542172872161,2025-06-15 01:15:31.135079,2025-06-15 01:15:34.602143,0 days 00:00:03.467064,908.0,0.007,1m,2.5,2.5,1.5,984.0,192.0,0.002,3m,4.0,2.5,0.7,948.0,302.0,0.004,1m,2.0,1.5,1.1,92.0,572.0,0.002,1m,3.0,2.0,1.9000000000000001,368.0,940.0,0.001,3m,2.0,2.0,0.5,938.0,,,,,,,,532,0.005,1m,2.0,3.5,1.9000000000000001,82,,,,,,,,,,,,,,,288.0,0.005,2m,3.0,2.5,1.7000000000000002,674.0,0.35000000000000003,7,COMPLETE
72,72,-0.02577079849152524,2025-06-15 01:15:34.685792,2025-06-15 01:15:39.544260,0 days 00:00:04.858468,980.0,0.005,2m,2.0,3.0,1.7000000000000002,898.0,234.0,0.001,3m,4.0,2.5,0.6,924.0,254.0,0.004,1m,2.0,1.5,0.5,180.0,624.0,0.002,1m,3.0,2.5,1.1,64.0,470.0,0.002,3m,1.5,2.0,1.8,978.0,548.0,0.008,3m,2.0,4.0,1.1,848.0,872,0.006,2m,2.0,2.5,2.0,98,272.0,0.006,3m,3.5,2.0,1.6,776.0,818.0,0.003,1m,3.5,3.5,0.5,968.0,368.0,0.006,4m,3.0,2.0,1.7000000000000002,786.0,0.35000000000000003,10,COMPLETE
73,73,5.960782998521681,2025-06-15 01:15:39.614670,2025-06-15 01:15:42.649327,0 days 00:00:03.034657,102.0,0.008,1m,2.5,1.5,1.6,940.0,136.0,0.003,3m,4.0,2.5,0.5,958.0,450.0,0.005,1m,2.5,2.0,1.0,22.0,,,,,,,,902.0,0.001,3m,2.5,2.0,0.6,916.0,,,,,,,,622,0.005,1m,2.0,2.0,0.7,40,,,,,,,,,,,,,,,266.0,0.002,4m,3.0,2.0,1.8,900.0,0.3,6,COMPLETE
74,74,1.5459462990834238,2025-06-15 01:15:42.708695,2025-06-15 01:15:46.482389,0 days 00:00:03.773694,710.0,0.004,1m,2.0,3.0,1.8,850.0,1004.0,0.002,3m,4.0,3.0,0.8,994.0,328.0,0.005,1m,1.5,1.5,0.6,54.0,494.0,0.006,1m,4.0,2.0,0.5,298.0,390.0,0.003,3m,2.0,1.5,1.0,588.0,,,,,,,,740,0.006,4m,2.5,2.5,0.5,190,,,,,,,,954.0,0.007,3m,2.0,2.5,1.5,732.0,66.0,0.003,4m,3.0,3.0,1.7000000000000002,1006.0,0.3,8,COMPLETE
75,75,-4.382292722010751,2025-06-15 01:15:46.547585,2025-06-15 01:15:50.861048,0 days 00:00:04.313463,802.0,0.002,4m,1.0,2.5,1.4,232.0,44.0,0.001,3m,3.5,2.0,0.6,844.0,500.0,0.004,1m,2.0,2.0,0.9,132.0,760.0,0.001,1m,3.5,2.0,0.9,434.0,724.0,0.002,4m,3.0,2.5,0.7,952.0,,,,,,,,678,0.007,3m,1.0,3.0,0.6,124,452.0,0.008,4m,3.0,3.0,1.9000000000000001,488.0,226.0,0.006,2m,4.0,4.0,1.6,882.0,316.0,0.007,3m,4.0,3.0,1.8,944.0,0.35000000000000003,9,COMPLETE
76,76,5.553288909482363,2025-06-15 01:15:50.932326,2025-06-15 01:15:55.293613,0 days 00:00:04.361287,558.0,0.003,1m,1.5,2.5,1.7000000000000002,886.0,280.0,0.005,3m,4.0,2.5,1.1,948.0,366.0,0.003,1m,2.5,1.5,0.5,96.0,578.0,0.002,1m,2.5,1.5,2.0,518.0,854.0,0.001,3m,1.0,2.0,2.0,898.0,,,,,,,,924,0.008,1m,1.5,1.5,0.9,94,44.0,0.009000000000000001,3m,2.5,2.5,2.0,292.0,830.0,0.005,2m,1.0,2.5,1.3,430.0,176.0,0.006,2m,3.5,2.5,1.6,868.0,0.5,9,COMPLETE
77,77,1.9630012694452728,2025-06-15 01:15:55.359963,2025-06-15 01:15:59.247034,0 days 00:00:03.887071,200.0,0.007,4m,3.0,2.0,1.2000000000000002,808.0,180.0,0.002,3m,4.0,4.0,1.0,1022.0,284.0,0.006,2m,1.0,3.0,0.8,212.0,444.0,0.003,1m,3.5,2.5,0.7,386.0,992.0,0.002,2m,3.0,3.0,0.7,430.0,,,,,,,,970,0.006,1m,2.5,1.0,1.8,694,,,,,,,,624.0,0.009000000000000001,3m,2.0,3.0,1.9000000000000001,704.0,230.0,0.008,4m,3.0,2.0,1.5,726.0,0.25,8,COMPLETE
78,78,-4.200421913129479,2025-06-15 01:15:59.327965,2025-06-15 01:16:01.168664,0 days 00:00:01.840699,,,,,,,,122.0,0.001,1m,3.5,1.5,0.7,880.0,120.0,0.004,4m,3.0,1.0,1.4,160.0,,,,,,,,,,,,,,,,,,,,,,562,0.004,3m,2.0,2.0,1.4,1014,,,,,,,,,,,,,,,202.0,0.001,3m,3.0,1.5,1.9000000000000001,630.0,0.4,4,COMPLETE
79,79,4.204761500403015,2025-06-15 01:16:01.226640,2025-06-15 01:16:06.060763,0 days 00:00:04.834123,410.0,0.004,2m,1.0,3.5,1.9000000000000001,770.0,486.0,0.003,3m,4.0,2.5,0.6,926.0,406.0,0.005,1m,3.5,1.5,1.1,248.0,510.0,0.001,4m,4.0,2.0,1.6,662.0,552.0,0.001,3m,3.5,2.0,1.4,994.0,138.0,0.004,1m,3.5,3.0,0.7,1008.0,506,0.01,1m,1.5,2.5,0.7,238,102.0,0.007,3m,2.0,2.5,0.7,650.0,72.0,0.004,2m,1.0,1.5,1.5,544.0,694.0,0.004,4m,3.5,3.0,1.7000000000000002,814.0,0.3,10,COMPLETE
80,80,1.6202501654438983,2025-06-15 01:16:06.141676,2025-06-15 01:16:09.144189,0 days 00:00:03.002513,998.0,0.003,3m,2.0,3.0,1.3,458.0,340.0,0.001,2m,3.5,3.0,0.8,994.0,206.0,0.006,2m,2.0,1.0,0.7,76.0,,,,,,,,256.0,0.003,1m,2.0,1.5,0.9,168.0,,,,,,,,648,0.005,2m,2.0,1.5,2.0,22,,,,,,,,,,,,,,,402.0,0.005,3m,2.5,3.5,1.2000000000000002,510.0,0.35000000000000003,6,COMPLETE
81,81,5.421759137048196,2025-06-15 01:16:09.214267,2025-06-15 01:16:13.923324,0 days 00:00:04.709057,286.0,0.005,1m,4.0,2.0,1.8,730.0,702.0,0.002,4m,4.0,3.5,0.7,714.0,410.0,0.005,1m,2.0,1.0,0.9,118.0,356.0,0.009000000000000001,2m,3.5,2.5,1.9000000000000001,274.0,638.0,0.002,3m,2.0,3.5,0.6,932.0,508.0,0.003,2m,3.0,3.0,0.5,704.0,694,0.007,1m,1.5,2.5,0.5,308,360.0,0.007,4m,2.5,2.5,1.8,602.0,486.0,0.008,2m,4.0,1.0,1.1,920.0,456.0,0.002,3m,2.5,3.0,1.9000000000000001,912.0,0.25,10,COMPLETE
82,82,6.41794371940587,2025-06-15 01:16:13.996734,2025-06-15 01:16:18.584497,0 days 00:00:04.587763,334.0,0.007,1m,1.5,2.0,1.8,668.0,780.0,0.002,4m,4.0,3.5,0.7,906.0,436.0,0.005,1m,2.0,1.0,0.9,40.0,232.0,0.002,2m,3.5,2.5,1.8,188.0,486.0,0.002,3m,2.0,3.5,0.5,942.0,136.0,0.003,2m,3.0,3.5,0.6,804.0,730,0.007,1m,1.5,2.5,0.5,150,520.0,0.006,4m,2.5,3.0,1.9000000000000001,652.0,166.0,0.009000000000000001,2m,4.0,1.0,1.2000000000000002,994.0,506.0,0.002,3m,2.5,3.0,2.0,990.0,0.25,10,COMPLETE
83,83,3.71891019733588,2025-06-15 01:16:18.633477,2025-06-15 01:16:23.229303,0 days 00:00:04.595826,340.0,0.009000000000000001,1m,1.5,2.0,1.7000000000000002,920.0,850.0,0.005,4m,4.0,3.5,0.9,902.0,40.0,0.005,1m,2.0,1.5,0.8,552.0,258.0,0.002,2m,3.5,2.0,2.0,178.0,438.0,0.002,3m,1.5,2.5,0.5,960.0,18.0,0.009000000000000001,2m,2.5,3.5,0.7,872.0,774,0.007,1m,1.5,2.5,0.6,148,462.0,0.005,4m,3.0,3.5,1.9000000000000001,730.0,152.0,0.01,2m,4.0,1.5,1.2000000000000002,1010.0,560.0,0.003,3m,3.0,2.5,2.0,992.0,0.2,10,COMPLETE
84,84,6.486839293341107,2025-06-15 01:16:23.316660,2025-06-15 01:16:27.549317,0 days 00:00:04.232657,216.0,0.007,1m,1.0,1.5,1.6,654.0,956.0,0.001,4m,4.0,4.0,0.5,956.0,350.0,0.004,1m,2.0,1.0,1.0,32.0,26.0,0.003,1m,3.0,3.0,1.3,122.0,508.0,0.001,3m,2.0,4.0,0.5,884.0,,,,,,,,600,0.008,1m,1.0,3.5,0.5,52,632.0,0.006,4m,2.5,3.0,1.6,460.0,308.0,0.009000000000000001,2m,3.0,1.0,1.2000000000000002,994.0,502.0,0.001,3m,2.0,3.0,1.8,548.0,0.3,9,COMPLETE
85,85,1.472399522703557,2025-06-15 01:16:27.647434,2025-06-15 01:16:31.921214,0 days 00:00:04.273780,164.0,0.007,1m,1.0,1.0,1.6,678.0,946.0,0.002,4m,4.0,4.0,0.5,834.0,442.0,0.005,1m,1.5,1.0,1.0,16.0,30.0,0.004,2m,3.0,3.5,0.5,110.0,484.0,0.003,3m,2.0,4.0,0.5,874.0,,,,,,,,822,0.008,1m,1.0,3.5,0.5,58,590.0,0.006,4m,2.5,3.0,1.7000000000000002,546.0,236.0,0.009000000000000001,2m,3.0,1.0,1.2000000000000002,992.0,610.0,0.001,3m,2.0,3.0,2.0,546.0,0.25,9,COMPLETE
86,86,2.4753331961003338,2025-06-15 01:16:32.010494,2025-06-15 01:16:36.816718,0 days 00:00:04.806224,222.0,0.007,1m,1.0,1.5,1.6,692.0,1002.0,0.003,4m,4.0,4.0,0.5,964.0,524.0,0.004,1m,2.5,1.5,1.1,44.0,270.0,0.003,1m,3.0,3.0,1.9000000000000001,58.0,604.0,0.002,3m,2.0,4.0,0.5,1012.0,150.0,0.004,4m,3.5,3.5,1.0,810.0,806,0.008,3m,1.0,3.5,0.5,112,670.0,0.006,1m,2.5,3.0,2.0,444.0,178.0,0.01,2m,4.0,1.0,1.3,968.0,512.0,0.001,3m,2.0,3.0,1.8,450.0,0.3,10,COMPLETE
87,87,3.4924480445473605,2025-06-15 01:16:36.885501,2025-06-15 01:16:41.180680,0 days 00:00:04.295179,258.0,0.008,1m,1.0,1.5,1.8,660.0,924.0,0.001,4m,4.0,4.0,0.6,788.0,360.0,0.006,2m,2.0,1.0,1.0,38.0,128.0,0.003,4m,3.0,2.5,1.1,128.0,528.0,0.007,3m,4.0,3.5,1.9000000000000001,848.0,,,,,,,,724,0.009000000000000001,1m,1.0,4.0,0.6,204,762.0,0.005,4m,2.0,4.0,1.6,668.0,312.0,0.009000000000000001,2m,3.5,2.0,1.2000000000000002,854.0,276.0,0.002,3m,2.0,3.0,2.0,494.0,0.3,9,COMPLETE
88,88,-3.0972296673282598,2025-06-15 01:16:41.251399,2025-06-15 01:16:45.569010,0 days 00:00:04.317611,170.0,0.008,1m,1.5,3.0,1.7000000000000002,580.0,968.0,0.004,4m,3.5,3.5,0.5,938.0,494.0,0.002,1m,3.0,1.5,0.9,74.0,220.0,0.004,1m,2.5,1.0,1.0,42.0,500.0,0.001,3m,1.5,4.0,0.7,806.0,,,,,,,,862,0.008,1m,2.0,3.0,0.7,166,556.0,0.01,4m,3.0,3.0,1.9000000000000001,342.0,250.0,0.007,2m,2.5,1.0,1.4,1024.0,842.0,0.007,3m,2.5,2.5,1.0,562.0,0.1,9,COMPLETE
