,number,value,datetime_start,datetime_complete,duration,params_ADP_INTU_beta_win,params_ADP_INTU_stop_loss,params_ADP_INTU_trade_freq,params_ADP_INTU_z_entry,params_ADP_INTU_z_exit,params_ADP_INTU_z_stop_scaler,params_ADP_INTU_z_win,params_ATVI_DXCM_beta_win,params_ATVI_DXCM_stop_loss,params_ATVI_DXCM_trade_freq,params_ATVI_DXCM_z_entry,params_ATVI_DXCM_z_exit,params_ATVI_DXCM_z_stop_scaler,params_ATVI_DXCM_z_win,params_ATVI_VRSK_beta_win,params_ATVI_VRSK_stop_loss,params_ATVI_VRSK_trade_freq,params_ATVI_VRSK_z_entry,params_ATVI_VRSK_z_exit,params_ATVI_VRSK_z_stop_scaler,params_ATVI_VRSK_z_win,params_CTAS_DXCM_beta_win,params_CTAS_DXCM_stop_loss,params_CTAS_DXCM_trade_freq,params_CTAS_DXCM_z_entry,params_CTAS_DXCM_z_exit,params_CTAS_DXCM_z_stop_scaler,params_CTAS_DXCM_z_win,params_DLTR_FANG_beta_win,params_DLTR_FANG_stop_loss,params_DLTR_FANG_trade_freq,params_DLTR_FANG_z_entry,params_DLTR_FANG_z_exit,params_DLTR_FANG_z_stop_scaler,params_DLTR_FANG_z_win,params_EXC_ZM_beta_win,params_EXC_ZM_stop_loss,params_EXC_ZM_trade_freq,params_EXC_ZM_z_entry,params_EXC_ZM_z_exit,params_EXC_ZM_z_stop_scaler,params_EXC_ZM_z_win,params_FAST_GFS_beta_win,params_FAST_GFS_stop_loss,params_FAST_GFS_trade_freq,params_FAST_GFS_z_entry,params_FAST_GFS_z_exit,params_FAST_GFS_z_stop_scaler,params_FAST_GFS_z_win,params_INTU_REGN_beta_win,params_INTU_REGN_stop_loss,params_INTU_REGN_trade_freq,params_INTU_REGN_z_entry,params_INTU_REGN_z_exit,params_INTU_REGN_z_stop_scaler,params_INTU_REGN_z_win,params_MSFT_REGN_beta_win,params_MSFT_REGN_stop_loss,params_MSFT_REGN_trade_freq,params_MSFT_REGN_z_entry,params_MSFT_REGN_z_exit,params_MSFT_REGN_z_stop_scaler,params_MSFT_REGN_z_win,params_NXPI_PCAR_beta_win,params_NXPI_PCAR_stop_loss,params_NXPI_PCAR_trade_freq,params_NXPI_PCAR_z_entry,params_NXPI_PCAR_z_exit,params_NXPI_PCAR_z_stop_scaler,params_NXPI_PCAR_z_win,params_buffer_capital,params_pairs_to_trade,state
103,103,6.355377613145151,2025-06-15 01:18:12.386300,2025-06-15 01:18:13.554701,0 days 00:00:01.168401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894,0.001,4m,4.0,2.5,1.6,286,,,,,,,,,,,,,,,220.0,0.009000000000000001,1m,2.0,3.5,0.9,916.0,,,,,,,,,,,,,,,0.3,2,COMPLETE
104,104,-1.7587814334260348,2025-06-15 01:18:13.630724,2025-06-15 01:18:14.299137,0 days 00:00:00.668413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,924,0.002,4m,3.5,2.5,1.7000000000000002,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
105,105,0.25065104425907975,2025-06-15 01:18:14.372327,2025-06-15 01:18:15.452946,0 days 00:00:01.080619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,838,0.001,4m,4.0,3.0,1.8,402,,,,,,,,,,,,,,,134.0,0.01,1m,2.0,4.0,1.0,966.0,,,,,,,,,,,,,,,0.25,2,COMPLETE
106,106,-0.5662307517611213,2025-06-15 01:18:15.504363,2025-06-15 01:18:16.868756,0 days 00:00:01.364393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890,0.002,4m,4.0,2.0,1.6,308,,,,,,,,,,,,,,,220.0,0.001,4m,1.5,3.0,0.9,948.0,,,,,,,,996.0,0.009000000000000001,4m,4.0,2.0,1.9000000000000001,910.0,0.3,3,COMPLETE
107,107,0.9908917173198435,2025-06-15 01:18:16.921729,2025-06-15 01:18:18.032177,0 days 00:00:01.110448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868,0.001,4m,3.5,2.5,2.0,260,,,,,,,,,,,,,,,168.0,0.009000000000000001,1m,2.0,3.5,0.8,884.0,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
108,108,-3.786607222280168,2025-06-15 01:18:18.101850,2025-06-15 01:18:18.707979,0 days 00:00:00.606129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,752,0.004,3m,4.0,3.0,1.7000000000000002,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
109,109,-6.487391616195186,2025-06-15 01:18:18.762502,2025-06-15 01:18:19.812006,0 days 00:00:01.049504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802,0.001,2m,4.0,2.5,1.8,334,,,,,,,,,,,,,,,394.0,0.01,3m,1.5,4.0,1.1,816.0,,,,,,,,,,,,,,,0.3,2,COMPLETE
110,110,5.0147199719163895,2025-06-15 01:18:19.867289,2025-06-15 01:18:20.952533,0 days 00:00:01.085244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,904,0.003,4m,3.5,2.5,1.9000000000000001,374,,,,,,,,,,,,,,,276.0,0.009000000000000001,1m,2.0,3.5,0.9,994.0,,,,,,,,,,,,,,,0.2,2,COMPLETE
111,111,6.709287645625548,2025-06-15 01:18:21.007065,2025-06-15 01:18:22.042560,0 days 00:00:01.035495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960,0.001,4m,4.0,2.5,1.6,978,,,,,,,,,,,,,,,228.0,0.009000000000000001,1m,2.0,3.5,0.7,916.0,,,,,,,,,,,,,,,0.3,2,COMPLETE
112,112,6.901648320953787,2025-06-15 01:18:22.096311,2025-06-15 01:18:23.134230,0 days 00:00:01.037919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,938,0.001,4m,4.0,2.5,1.6,986,,,,,,,,,,,,,,,200.0,0.008,1m,2.0,3.5,0.7,926.0,,,,,,,,,,,,,,,0.3,2,COMPLETE
113,113,6.238157303462823,2025-06-15 01:18:23.181880,2025-06-15 01:18:24.722844,0 days 00:00:01.540964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,964,0.001,4m,4.0,2.5,1.5,1006,,,,,,,,,,,,,,,190.0,0.008,1m,2.0,3.5,1.2000000000000002,968.0,,,,,,,,652.0,0.009000000000000001,4m,4.0,1.5,1.5,1024.0,0.35000000000000003,3,COMPLETE
114,114,-0.7364799413054871,2025-06-15 01:18:24.785731,2025-06-15 01:18:25.755449,0 days 00:00:00.969718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,940,0.002,4m,4.0,2.5,1.7000000000000002,978,,,,,,,,,,,,,,,120.0,0.01,1m,2.5,3.5,0.7,932.0,,,,,,,,,,,,,,,0.3,2,COMPLETE
115,115,2.5369760001681985,2025-06-15 01:18:25.805407,2025-06-15 01:18:26.898917,0 days 00:00:01.093510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,924,0.001,4m,4.0,2.0,1.6,922,,,,,,,,,,,,,,,150.0,0.008,1m,2.0,3.5,0.7,1002.0,,,,,,,,,,,,,,,0.25,2,COMPLETE
116,116,-100.0,2025-06-15 01:18:26.945557,2025-06-15 01:18:27.590598,0 days 00:00:00.645041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022,0.001,4m,4.0,2.5,1.9000000000000001,944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
117,117,7.399446489607446,2025-06-15 01:18:27.648373,2025-06-15 01:18:28.809012,0 days 00:00:01.160639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,852,0.002,1m,3.5,2.0,1.8,978,,,,,,,,,,,,,,,206.0,0.002,1m,2.0,3.0,0.8,956.0,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
118,118,2.9902794591042605,2025-06-15 01:18:28.851289,2025-06-15 01:18:29.399723,0 days 00:00:00.548434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854,0.003,1m,3.5,2.5,1.8,988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
119,119,5.675670556162252,2025-06-15 01:18:29.467948,2025-06-15 01:18:30.932120,0 days 00:00:01.464172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818,0.002,1m,3.5,3.0,1.7000000000000002,1024,,,,,,,,,,,,,,,210.0,0.003,1m,2.0,2.5,0.8,944.0,,,,,,,,544.0,0.008,4m,3.5,1.0,1.8,806.0,0.35000000000000003,3,COMPLETE
120,120,4.232127483300948,2025-06-15 01:18:31.018227,2025-06-15 01:18:32.175836,0 days 00:00:01.157609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792,0.004,1m,3.5,2.5,1.6,946,,,,,,,,,,,,,,,62.0,0.004,1m,2.5,3.0,0.8,972.0,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
121,121,5.561665754337298,2025-06-15 01:18:32.242041,2025-06-15 01:18:33.293783,0 days 00:00:01.051742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,942,0.001,1m,4.0,2.0,1.8,964,,,,,,,,,,,,,,,264.0,0.01,1m,2.0,3.5,0.7,1006.0,,,,,,,,,,,,,,,0.3,2,COMPLETE
122,122,8.186784079019723,2025-06-15 01:18:33.347543,2025-06-15 01:18:34.394791,0 days 00:00:01.047248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886,0.002,1m,4.0,2.0,1.7000000000000002,974,,,,,,,,,,,,,,,242.0,0.009000000000000001,1m,2.0,3.5,0.6,896.0,,,,,,,,,,,,,,,0.25,2,COMPLETE
123,123,6.621089065864878,2025-06-15 01:18:34.464939,2025-06-15 01:18:35.583938,0 days 00:00:01.118999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886,0.002,1m,4.0,2.0,1.7000000000000002,978,,,,,,,,,,,,,,,302.0,0.009000000000000001,1m,2.0,2.5,0.6,894.0,,,,,,,,,,,,,,,0.3,2,COMPLETE
124,124,7.013022680449903,2025-06-15 01:18:35.637938,2025-06-15 01:18:36.759544,0 days 00:00:01.121606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830,0.003,1m,3.5,2.0,1.7000000000000002,936,,,,,,,,,,,,,,,236.0,0.008,1m,2.0,4.0,0.6,954.0,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
125,125,1.0210291545183061,2025-06-15 01:18:36.823352,2025-06-15 01:18:38.025944,0 days 00:00:01.202592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834,0.003,1m,3.5,2.5,1.7000000000000002,998,,,,,,,,,,,,,,,182.0,0.008,4m,2.0,4.0,1.5,948.0,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
126,126,6.038140192215629,2025-06-15 01:18:38.099651,2025-06-15 01:18:39.574245,0 days 00:00:01.474594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854,0.003,1m,3.5,2.0,1.6,930,,,,,,,,,,,,,,,242.0,0.002,1m,2.0,4.0,0.6,1024.0,,,,,,,,496.0,0.008,4m,2.0,2.0,1.6,704.0,0.35000000000000003,3,COMPLETE
127,127,1.7055263696118985,2025-06-15 01:18:39.650119,2025-06-15 01:18:40.297170,0 days 00:00:00.647051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,866,0.004,1m,3.5,2.5,1.7000000000000002,970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
128,128,2.8512173074402614,2025-06-15 01:18:40.373151,2025-06-15 01:18:42.036555,0 days 00:00:01.663404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678,0.002,1m,3.5,2.0,1.5,944,,,,,,,,,,,,,,,156.0,0.008,1m,2.0,4.0,0.6,986.0,,,,,,,,726.0,0.01,4m,4.0,3.5,2.0,962.0,0.3,3,COMPLETE
129,129,-5.036475903235627,2025-06-15 01:18:42.082637,2025-06-15 01:18:43.208613,0 days 00:00:01.125976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826,0.003,1m,3.5,2.0,1.8,1002,,,,,,,,,,,,,,,200.0,0.005,3m,1.5,3.0,0.6,912.0,,,,,,,,,,,,,,,0.3,2,COMPLETE
130,130,4.851980712303191,2025-06-15 01:18:43.269554,2025-06-15 01:18:43.866618,0 days 00:00:00.597064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,908,0.004,1m,3.0,2.5,1.6,896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
131,131,6.821755775696193,2025-06-15 01:18:43.922221,2025-06-15 01:18:45.083016,0 days 00:00:01.160795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,964,0.002,1m,4.0,2.0,1.7000000000000002,456,,,,,,,,,,,,,,,232.0,0.009000000000000001,1m,2.0,3.5,0.7,952.0,,,,,,,,,,,,,,,0.05,2,COMPLETE
132,132,6.0487779961140244,2025-06-15 01:18:45.151779,2025-06-15 01:18:46.187557,0 days 00:00:01.035778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,974,0.002,1m,4.0,2.0,1.7000000000000002,956,,,,,,,,,,,,,,,268.0,0.009000000000000001,1m,2.0,3.5,0.8,954.0,,,,,,,,,,,,,,,0.05,2,COMPLETE
133,133,7.015805134597444,2025-06-15 01:18:46.240442,2025-06-15 01:18:47.436548,0 days 00:00:01.196106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960,0.002,1m,4.0,2.0,1.7000000000000002,482,,,,,,,,,,,,,,,236.0,0.002,1m,2.0,3.5,0.7,928.0,,,,,,,,,,,,,,,0.1,2,COMPLETE
134,134,2.3986521063231794,2025-06-15 01:18:47.505202,2025-06-15 01:18:48.629676,0 days 00:00:01.124474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,0.002,1m,4.0,2.0,1.7000000000000002,452,,,,,,,,,,,,,,,180.0,0.002,1m,2.0,3.0,0.6,1006.0,,,,,,,,,,,,,,,0.1,2,COMPLETE
135,135,7.032310585937236,2025-06-15 01:18:48.712967,2025-06-15 01:18:49.632204,0 days 00:00:00.919237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,892,0.003,1m,3.5,2.0,1.8,480,,,,,,,,,,,,,,,246.0,0.002,1m,2.0,3.5,0.7,976.0,,,,,,,,,,,,,,,0.05,2,COMPLETE
136,136,1.8346641734099034,2025-06-15 01:18:49.683754,2025-06-15 01:18:51.300535,0 days 00:00:01.616781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846,0.003,1m,3.5,2.0,1.8,508,,,,,,,,,,,,,,,118.0,0.001,1m,2.0,3.5,0.5,976.0,,,,,,,,602.0,0.007,2m,3.0,1.5,1.4,336.0,0.1,3,COMPLETE
137,137,4.654846509624684,2025-06-15 01:18:51.358776,2025-06-15 01:18:52.405811,0 days 00:00:01.047035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878,0.003,1m,3.5,2.0,1.8,534,,,,,,,,,,,,,,,294.0,0.002,1m,2.5,4.0,0.8,930.0,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
138,138,8.06493139943806,2025-06-15 01:18:52.466231,2025-06-15 01:18:53.538595,0 days 00:00:01.072364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910,0.004,1m,3.5,2.0,1.8,480,,,,,,,,,,,,,,,250.0,0.002,1m,2.0,2.5,0.7,994.0,,,,,,,,,,,,,,,0.05,2,COMPLETE
139,139,0.9065822766802986,2025-06-15 01:18:53.604413,2025-06-15 01:18:54.212267,0 days 00:00:00.607854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898,0.004,1m,3.5,2.0,1.8,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
140,140,8.771758593660426,2025-06-15 01:18:54.282690,2025-06-15 01:18:55.243960,0 days 00:00:00.961270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802,0.004,1m,3.0,2.0,1.8,612,,,,,,,,,,,,,,,252.0,0.002,1m,2.0,2.5,0.6,1000.0,,,,,,,,,,,,,,,0.1,2,COMPLETE
141,141,6.569064083922562,2025-06-15 01:18:55.295663,2025-06-15 01:18:56.427584,0 days 00:00:01.131921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772,0.004,1m,3.0,2.0,1.8,602,,,,,,,,,,,,,,,254.0,0.002,1m,2.0,2.5,0.6,984.0,,,,,,,,,,,,,,,0.05,2,COMPLETE
142,142,2.8668520061154865,2025-06-15 01:18:56.487768,2025-06-15 01:18:57.543957,0 days 00:00:01.056189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794,0.005,1m,2.5,2.0,1.8,476,,,,,,,,,,,,,,,210.0,0.002,1m,2.0,2.5,0.7,1002.0,,,,,,,,,,,,,,,0.1,2,COMPLETE
143,143,5.233332450894954,2025-06-15 01:18:57.591757,2025-06-15 01:18:58.696839,0 days 00:00:01.105082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862,0.004,1m,3.5,2.0,1.7000000000000002,660,,,,,,,,,,,,,,,308.0,0.002,1m,2.0,2.5,0.6,1012.0,,,,,,,,,,,,,,,0.1,2,COMPLETE
144,144,7.139679177608809,2025-06-15 01:18:58.749415,2025-06-15 01:18:59.717381,0 days 00:00:00.967966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814,0.004,1m,3.0,2.0,1.7000000000000002,486,,,,,,,,,,,,,,,270.0,0.003,1m,2.0,2.5,0.6,964.0,,,,,,,,,,,,,,,0.05,2,COMPLETE
145,145,5.052340255816615,2025-06-15 01:18:59.775054,2025-06-15 01:19:01.368774,0 days 00:00:01.593720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910,0.004,1m,3.0,1.5,1.8,410,,,,,,,,,,,,,,,346.0,0.003,1m,2.0,2.5,0.5,982.0,,,,,,,,870.0,0.004,4m,3.5,3.0,1.8,530.0,0.05,3,COMPLETE
146,146,7.172771696927252,2025-06-15 01:19:01.424389,2025-06-15 01:19:04.192351,0 days 00:00:02.767962,100.0,0.002,1m,4.0,1.0,1.8,308.0,838.0,0.002,4m,3.5,3.5,2.0,158.0,,,,,,,,,,,,,,,886,0.004,1m,3.0,2.0,1.8,540,,,,,,,,,,,,,,,272.0,0.001,1m,2.0,2.0,0.7,964.0,1002.0,0.01,4m,3.5,1.5,1.9000000000000001,20.0,636.0,0.01,2m,2.0,2.5,1.7000000000000002,234.0,0.05,6,COMPLETE
147,147,6.984933007490724,2025-06-15 01:19:04.246285,2025-06-15 01:19:07.078115,0 days 00:00:02.831830,80.0,0.002,1m,4.0,1.0,1.8,176.0,850.0,0.002,4m,3.5,3.5,1.9000000000000001,178.0,,,,,,,,,,,,,,,736,0.005,1m,3.0,2.0,1.9000000000000001,552,,,,,,,,,,,,,,,272.0,0.001,1m,1.5,2.0,0.8,966.0,708.0,0.01,4m,3.5,1.5,1.8,34.0,640.0,0.01,2m,2.0,2.5,1.5,250.0,0.05,6,COMPLETE
148,148,3.292474868481316,2025-06-15 01:19:07.132437,2025-06-15 01:19:09.958727,0 days 00:00:02.826290,102.0,0.002,1m,3.5,2.0,1.9000000000000001,196.0,806.0,0.004,4m,3.5,3.5,1.6,402.0,,,,,,,,,,,,,,,884,0.004,1m,3.0,2.0,1.8,500,,,,,,,,,,,,,,,294.0,0.001,1m,2.0,2.0,0.7,994.0,972.0,0.009000000000000001,4m,3.5,2.0,2.0,128.0,442.0,0.009000000000000001,2m,1.5,2.0,1.7000000000000002,422.0,0.05,6,COMPLETE
149,149,2.932893710915756,2025-06-15 01:19:10.018582,2025-06-15 01:19:12.719167,0 days 00:00:02.700585,528.0,0.005,1m,4.0,1.5,2.0,356.0,1014.0,0.002,4m,4.0,4.0,2.0,152.0,,,,,,,,,,,,,,,816,0.004,1m,3.0,2.0,1.9000000000000001,142,,,,,,,,,,,,,,,258.0,0.004,4m,2.5,2.5,0.6,1016.0,850.0,0.009000000000000001,4m,4.0,1.0,1.8,362.0,958.0,0.008,2m,2.0,3.0,1.6,208.0,0.05,6,COMPLETE
