,number,value,datetime_start,datetime_complete,duration,params_ADI_AMZN_beta_win,params_ADI_AMZN_stop_loss,params_ADI_AMZN_trade_freq,params_ADI_AMZN_z_entry,params_ADI_AMZN_z_exit,params_ADI_AMZN_z_stop_scaler,params_ADI_AMZN_z_win,params_AMZN_GOOG_beta_win,params_AMZN_GOOG_stop_loss,params_AMZN_GOOG_trade_freq,params_AMZN_GOOG_z_entry,params_AMZN_GOOG_z_exit,params_AMZN_GOOG_z_stop_scaler,params_AMZN_GOOG_z_win,params_ASML_CPRT_beta_win,params_ASML_CPRT_stop_loss,params_ASML_CPRT_trade_freq,params_ASML_CPRT_z_entry,params_ASML_CPRT_z_exit,params_ASML_CPRT_z_stop_scaler,params_ASML_CPRT_z_win,params_ASML_ROST_beta_win,params_ASML_ROST_stop_loss,params_ASML_ROST_trade_freq,params_ASML_ROST_z_entry,params_ASML_ROST_z_exit,params_ASML_ROST_z_stop_scaler,params_ASML_ROST_z_win,params_ATVI_MCHP_beta_win,params_ATVI_MCHP_stop_loss,params_ATVI_MCHP_trade_freq,params_ATVI_MCHP_z_entry,params_ATVI_MCHP_z_exit,params_ATVI_MCHP_z_stop_scaler,params_ATVI_MCHP_z_win,params_BIIB_CMCSA_beta_win,params_BIIB_CMCSA_stop_loss,params_BIIB_CMCSA_trade_freq,params_BIIB_CMCSA_z_entry,params_BIIB_CMCSA_z_exit,params_BIIB_CMCSA_z_stop_scaler,params_BIIB_CMCSA_z_win,params_CPRT_ROST_beta_win,params_CPRT_ROST_stop_loss,params_CPRT_ROST_trade_freq,params_CPRT_ROST_z_entry,params_CPRT_ROST_z_exit,params_CPRT_ROST_z_stop_scaler,params_CPRT_ROST_z_win,params_FISV_INTC_beta_win,params_FISV_INTC_stop_loss,params_FISV_INTC_trade_freq,params_FISV_INTC_z_entry,params_FISV_INTC_z_exit,params_FISV_INTC_z_stop_scaler,params_FISV_INTC_z_win,params_KDP_MRNA_beta_win,params_KDP_MRNA_stop_loss,params_KDP_MRNA_trade_freq,params_KDP_MRNA_z_entry,params_KDP_MRNA_z_exit,params_KDP_MRNA_z_stop_scaler,params_KDP_MRNA_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-3.0117990259544345,2025-06-15 00:47:15.498585,2025-06-15 00:47:20.092219,0 days 00:00:04.593634,542.0,0.004,4m,1.0,4.0,2.0,56.0,990.0,0.001,1m,1.0,4.0,2.0,1012.0,640,0.006,4m,1.0,1.0,0.5,52,142.0,0.001,3m,1.5,1.5,0.5,52.0,1008.0,0.001,4m,4.0,1.5,0.5,1022.0,852.0,0.01,4m,4.0,4.0,0.5,1006.0,990.0,0.006,3m,1.5,1.0,0.5,746.0,982.0,0.001,3m,4.0,1.0,0.7,148.0,340.0,0.001,4m,1.0,4.0,2.0,24.0,454.0,0.003,3m,3.0,4.0,0.6,498.0,0.3,10,COMPLETE
11,11,-100.0,2025-06-15 00:47:20.177259,2025-06-15 00:47:20.794383,0 days 00:00:00.617124,,,,,,,,,,,,,,,706,0.007,2m,3.0,1.5,2.0,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
12,12,-2.691325896197324,2025-06-15 00:47:20.869900,2025-06-15 00:47:21.459538,0 days 00:00:00.589638,,,,,,,,,,,,,,,38,0.01,2m,1.0,2.0,1.7000000000000002,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
13,13,3.0323136246017124,2025-06-15 00:47:21.546049,2025-06-15 00:47:24.795728,0 days 00:00:03.249679,524.0,0.005,4m,1.5,2.5,2.0,276.0,,,,,,,,384,0.007,4m,2.0,1.5,1.6,432,,,,,,,,,,,,,,,970.0,0.001,1m,3.0,2.5,0.7,248.0,380.0,0.008,1m,2.0,1.5,1.0,964.0,702.0,0.001,1m,2.5,1.0,0.9,244.0,230.0,0.003,4m,1.0,2.5,1.6,746.0,34.0,0.001,2m,1.0,3.0,0.9,48.0,0.4,7,COMPLETE
14,14,3.9467204612533555,2025-06-15 00:47:24.869253,2025-06-15 00:47:28.653275,0 days 00:00:03.784022,726.0,0.006,3m,1.5,4.0,1.7000000000000002,620.0,,,,,,,,174,0.005,2m,3.0,2.5,1.6,138,,,,,,,,768.0,0.01,4m,3.5,2.5,1.8,922.0,50.0,0.009000000000000001,4m,3.0,2.5,1.0,408.0,424.0,0.008,1m,4.0,2.0,2.0,1004.0,16.0,0.004,3m,2.5,2.0,1.2000000000000002,448.0,784.0,0.003,2m,1.5,4.0,0.5,72.0,404.0,0.004,2m,3.0,4.0,1.0,496.0,0.35000000000000003,8,COMPLETE
15,15,-3.02170100273008,2025-06-15 00:47:28.740784,2025-06-15 00:47:30.366817,0 days 00:00:01.626033,268.0,0.01,4m,2.0,2.5,0.9,286.0,,,,,,,,526,0.007,4m,3.5,1.0,1.1,400,,,,,,,,,,,,,,,,,,,,,,302.0,0.005,1m,3.0,3.5,1.2000000000000002,780.0,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
16,16,-1.6291897874156704,2025-06-15 00:47:30.471350,2025-06-15 00:47:33.181620,0 days 00:00:02.710270,606.0,0.004,3m,3.5,3.5,1.7000000000000002,70.0,,,,,,,,284,0.01,2m,2.5,1.5,1.8,24,,,,,,,,,,,,,,,,,,,,,,572.0,0.008,1m,1.0,3.5,0.5,844.0,676.0,0.01,3m,3.5,2.0,1.2000000000000002,326.0,586.0,0.001,1m,4.0,3.0,1.5,650.0,722.0,0.007,3m,3.5,2.5,0.9,292.0,0.25,6,COMPLETE
17,17,1.309307859746129,2025-06-15 00:47:33.273143,2025-06-15 00:47:37.747978,0 days 00:00:04.474835,370.0,0.006,4m,3.0,2.0,0.9,378.0,,,,,,,,758,0.008,1m,2.0,3.0,1.5,960,32.0,0.001,3m,3.0,3.0,0.6,880.0,46.0,0.004,2m,1.0,2.0,1.0,70.0,656.0,0.003,3m,2.5,3.5,0.9,928.0,66.0,0.009000000000000001,3m,2.0,4.0,1.4,374.0,726.0,0.003,2m,2.0,2.0,0.5,46.0,230.0,0.01,4m,2.0,2.0,0.9,488.0,306.0,0.001,2m,2.0,3.0,1.3,674.0,0.35000000000000003,9,COMPLETE
18,18,-1.0924250704643994,2025-06-15 00:47:37.812006,2025-06-15 00:47:38.756994,0 days 00:00:00.944988,,,,,,,,,,,,,,,174,0.002,2m,3.5,2.0,1.0,172,,,,,,,,,,,,,,,,,,,,,,708.0,0.006,3m,3.0,2.0,1.1,652.0,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
19,19,-0.5195998788300847,2025-06-15 00:47:38.833018,2025-06-15 00:47:41.017992,0 days 00:00:02.184974,866.0,0.004,4m,2.0,3.5,1.5,678.0,,,,,,,,438,0.006,4m,1.5,1.0,0.7,586,,,,,,,,,,,,,,,,,,,,,,1018.0,0.009000000000000001,1m,2.0,3.5,0.7,894.0,,,,,,,,,,,,,,,24.0,0.003,2m,2.5,3.5,0.7,358.0,0.2,4,COMPLETE
