,number,value,datetime_start,datetime_complete,duration,params_ADI_AMZN_beta_win,params_ADI_AMZN_stop_loss,params_ADI_AMZN_trade_freq,params_ADI_AMZN_z_entry,params_ADI_AMZN_z_exit,params_ADI_AMZN_z_stop_scaler,params_ADI_AMZN_z_win,params_AMZN_GOOG_beta_win,params_AMZN_GOOG_stop_loss,params_AMZN_GOOG_trade_freq,params_AMZN_GOOG_z_entry,params_AMZN_GOOG_z_exit,params_AMZN_GOOG_z_stop_scaler,params_AMZN_GOOG_z_win,params_ASML_CPRT_beta_win,params_ASML_CPRT_stop_loss,params_ASML_CPRT_trade_freq,params_ASML_CPRT_z_entry,params_ASML_CPRT_z_exit,params_ASML_CPRT_z_stop_scaler,params_ASML_CPRT_z_win,params_ASML_ROST_beta_win,params_ASML_ROST_stop_loss,params_ASML_ROST_trade_freq,params_ASML_ROST_z_entry,params_ASML_ROST_z_exit,params_ASML_ROST_z_stop_scaler,params_ASML_ROST_z_win,params_ATVI_MCHP_beta_win,params_ATVI_MCHP_stop_loss,params_ATVI_MCHP_trade_freq,params_ATVI_MCHP_z_entry,params_ATVI_MCHP_z_exit,params_ATVI_MCHP_z_stop_scaler,params_ATVI_MCHP_z_win,params_BIIB_CMCSA_beta_win,params_BIIB_CMCSA_stop_loss,params_BIIB_CMCSA_trade_freq,params_BIIB_CMCSA_z_entry,params_BIIB_CMCSA_z_exit,params_BIIB_CMCSA_z_stop_scaler,params_BIIB_CMCSA_z_win,params_CPRT_ROST_beta_win,params_CPRT_ROST_stop_loss,params_CPRT_ROST_trade_freq,params_CPRT_ROST_z_entry,params_CPRT_ROST_z_exit,params_CPRT_ROST_z_stop_scaler,params_CPRT_ROST_z_win,params_FISV_INTC_beta_win,params_FISV_INTC_stop_loss,params_FISV_INTC_trade_freq,params_FISV_INTC_z_entry,params_FISV_INTC_z_exit,params_FISV_INTC_z_stop_scaler,params_FISV_INTC_z_win,params_KDP_MRNA_beta_win,params_KDP_MRNA_stop_loss,params_KDP_MRNA_trade_freq,params_KDP_MRNA_z_entry,params_KDP_MRNA_z_exit,params_KDP_MRNA_z_stop_scaler,params_KDP_MRNA_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
30,30,-4.5062539199530285,2025-06-15 00:48:25.176643,2025-06-15 00:48:26.378322,0 days 00:00:01.201679,,,,,,,,,,,,,,,126,0.009000000000000001,3m,2.0,1.5,0.9,556,,,,,,,,,,,,,,,,,,,,,,940.0,0.008,1m,3.5,4.0,1.3,846.0,,,,,,,,,,,,,,,,,,,,,,0.05,2,COMPLETE
31,31,3.910916961558254,2025-06-15 00:48:26.445832,2025-06-15 00:48:31.277020,0 days 00:00:04.831188,926.0,0.007,3m,3.5,4.0,0.7,364.0,32.0,0.01,2m,2.5,3.5,0.5,38.0,350,0.01,3m,1.5,1.5,0.6,342,540.0,0.003,3m,1.0,1.0,2.0,24.0,756.0,0.01,3m,1.0,2.5,0.5,272.0,184.0,0.003,4m,2.5,3.0,0.8,506.0,500.0,0.001,1m,3.0,4.0,1.9000000000000001,528.0,846.0,0.005,1m,3.5,3.0,1.4,854.0,1000.0,0.007,2m,2.0,4.0,1.7000000000000002,294.0,784.0,0.003,2m,2.0,1.0,1.5,186.0,0.1,10,COMPLETE
32,32,1.887103826261552,2025-06-15 00:48:31.361040,2025-06-15 00:48:36.130313,0 days 00:00:04.769273,932.0,0.005,3m,3.5,4.0,0.9,318.0,44.0,0.01,2m,2.5,3.0,0.5,46.0,314,0.009000000000000001,3m,1.0,1.0,0.5,458,358.0,0.003,3m,1.0,1.0,1.6,182.0,784.0,0.01,3m,3.0,2.0,0.8,252.0,184.0,0.003,4m,2.0,3.5,0.7,298.0,426.0,0.002,3m,1.0,4.0,1.8,366.0,796.0,0.006,1m,4.0,3.5,1.5,602.0,800.0,0.004,2m,1.0,4.0,1.7000000000000002,570.0,844.0,0.004,2m,1.5,1.0,1.4,324.0,0.1,10,COMPLETE
33,33,2.895641826007623,2025-06-15 00:48:36.225824,2025-06-15 00:48:40.942606,0 days 00:00:04.716782,766.0,0.006,1m,3.5,3.5,0.7,492.0,334.0,0.007,2m,3.0,2.5,1.1,414.0,236,0.009000000000000001,3m,1.5,1.5,0.8,312,604.0,0.002,3m,1.5,1.5,1.6,662.0,660.0,0.009000000000000001,3m,2.0,2.0,1.7000000000000002,254.0,110.0,0.002,4m,2.5,3.5,1.1,108.0,378.0,0.002,3m,2.5,3.5,2.0,572.0,868.0,0.004,2m,3.5,3.5,1.3,854.0,906.0,0.008,2m,1.5,4.0,1.8,136.0,888.0,0.002,2m,2.5,1.0,1.4,432.0,0.05,10,COMPLETE
34,34,-1.250621604411154,2025-06-15 00:48:41.030118,2025-06-15 00:48:45.194461,0 days 00:00:04.164343,946.0,0.007,4m,3.0,4.0,0.7,450.0,,,,,,,,372,0.01,1m,1.5,2.0,2.0,378,340.0,0.007,3m,1.0,1.0,0.9,222.0,894.0,0.006,2m,3.5,3.0,1.0,402.0,534.0,0.005,3m,3.5,2.5,0.6,376.0,660.0,0.001,4m,2.5,4.0,1.8,422.0,636.0,0.004,1m,2.5,3.0,1.1,406.0,908.0,0.005,2m,2.0,3.0,1.6,260.0,676.0,0.003,2m,2.0,1.5,1.2000000000000002,162.0,0.15000000000000002,9,COMPLETE
35,35,3.752711715044924,2025-06-15 00:48:45.280469,2025-06-15 00:48:47.679101,0 days 00:00:02.398632,878.0,0.006,1m,4.0,3.5,1.0,376.0,,,,,,,,20,0.01,3m,1.0,1.0,0.6,96,,,,,,,,,,,,,,,,,,,,,,800.0,0.004,4m,3.5,4.0,1.9000000000000001,650.0,,,,,,,,694.0,0.002,2m,1.0,3.5,1.3,382.0,120.0,0.004,2m,2.5,1.0,1.7000000000000002,602.0,0.1,5,COMPLETE
36,36,0.08726404386647087,2025-06-15 00:48:47.760611,2025-06-15 00:48:52.414898,0 days 00:00:04.654287,980.0,0.001,2m,1.0,3.0,0.8,468.0,22.0,0.01,3m,1.5,4.0,0.7,662.0,148,0.008,3m,1.5,1.5,1.4,680,762.0,0.004,4m,2.0,4.0,1.8,536.0,482.0,0.009000000000000001,4m,1.5,1.5,0.6,178.0,260.0,0.004,1m,1.5,3.0,0.9,566.0,512.0,0.002,1m,2.0,3.0,1.6,298.0,906.0,0.005,3m,3.0,2.5,1.5,520.0,826.0,0.006,4m,1.5,4.0,1.9000000000000001,102.0,548.0,0.001,2m,1.5,1.5,1.1,336.0,0.25,10,COMPLETE
37,37,3.7441784045163433,2025-06-15 00:48:52.505412,2025-06-15 00:48:56.322289,0 days 00:00:03.816877,374.0,0.007,3m,3.0,3.5,1.2000000000000002,332.0,,,,,,,,228,0.009000000000000001,1m,2.0,2.0,0.7,214,,,,,,,,842.0,0.003,3m,3.5,2.0,1.2000000000000002,410.0,758.0,0.004,4m,2.0,2.0,0.7,176.0,88.0,0.007,2m,3.0,3.5,1.7000000000000002,496.0,766.0,0.007,4m,3.5,1.5,1.8,274.0,684.0,0.008,2m,2.5,3.5,1.8,26.0,418.0,0.005,4m,2.5,1.5,1.3,244.0,0.2,8,COMPLETE
38,38,4.683566865019282,2025-06-15 00:48:56.410810,2025-06-15 00:48:58.890061,0 days 00:00:02.479251,678.0,0.005,1m,2.5,4.0,1.0,204.0,,,,,,,,398,0.009000000000000001,3m,1.5,2.5,0.9,742,,,,,,,,,,,,,,,,,,,,,,228.0,0.001,3m,1.0,3.0,1.4,582.0,,,,,,,,464.0,0.004,2m,1.0,4.0,1.4,808.0,920.0,0.002,2m,2.0,3.0,1.4,266.0,0.05,5,COMPLETE
39,39,0.11935810920044064,2025-06-15 00:48:58.964571,2025-06-15 00:49:01.413815,0 days 00:00:02.449244,654.0,0.003,2m,2.5,3.0,1.0,222.0,,,,,,,,564,0.008,3m,1.0,2.5,0.9,762,,,,,,,,,,,,,,,,,,,,,,230.0,0.01,3m,1.0,3.0,1.4,594.0,,,,,,,,296.0,0.002,4m,1.0,3.0,1.4,818.0,916.0,0.002,3m,2.0,3.0,1.6,554.0,0.05,5,COMPLETE
40,40,6.810929655385575,2025-06-15 00:49:01.511360,2025-06-15 00:49:04.394184,0 days 00:00:02.882824,416.0,0.005,1m,2.5,3.5,1.4,998.0,,,,,,,,860,0.007,2m,2.0,3.0,0.8,828,,,,,,,,,,,,,,,,,,,,,,766.0,0.004,3m,1.0,3.0,1.1,710.0,458.0,0.002,3m,1.5,1.5,0.8,210.0,476.0,0.004,3m,1.0,3.5,0.8,930.0,1016.0,0.01,4m,2.5,3.5,1.8,274.0,0.05,6,COMPLETE
41,41,2.50703681334917,2025-06-15 00:49:04.482701,2025-06-15 00:49:07.495971,0 days 00:00:03.013270,446.0,0.005,1m,2.5,3.5,1.4,1002.0,,,,,,,,930,0.007,2m,2.0,3.0,0.8,816,,,,,,,,,,,,,,,,,,,,,,776.0,0.004,3m,1.0,3.0,0.9,698.0,442.0,0.002,3m,1.0,1.5,0.8,154.0,464.0,0.004,3m,1.0,3.5,0.9,912.0,900.0,0.009000000000000001,4m,2.5,3.5,1.8,268.0,0.05,6,COMPLETE
42,42,0.34986561472979205,2025-06-15 00:49:07.596993,2025-06-15 00:49:09.061444,0 days 00:00:01.464451,432.0,0.005,1m,2.5,3.5,1.1,920.0,,,,,,,,870,0.009000000000000001,2m,1.5,2.5,1.0,932,,,,,,,,,,,,,,,,,,,,,,910.0,0.003,3m,1.0,2.5,1.2000000000000002,838.0,,,,,,,,,,,,,,,,,,,,,,0.05,3,COMPLETE
43,43,1.1736016707600672,2025-06-15 00:49:09.155956,2025-06-15 00:49:11.311911,0 days 00:00:02.155955,246.0,0.004,1m,2.0,4.0,1.9000000000000001,858.0,,,,,,,,484,0.006,2m,2.0,3.0,1.1,896,,,,,,,,,,,,,,,,,,,,,,856.0,0.001,3m,1.0,3.0,0.6,934.0,,,,,,,,,,,,,,,992.0,0.01,4m,3.0,3.5,1.8,436.0,0.1,4,COMPLETE
44,44,-1.9674136826118904,2025-06-15 00:49:11.405932,2025-06-15 00:49:12.581644,0 days 00:00:01.175712,,,,,,,,,,,,,,,1024,0.008,2m,2.0,2.5,0.8,754,,,,,,,,,,,,,,,,,,,,,,916.0,0.005,3m,3.5,2.5,1.1,1024.0,,,,,,,,,,,,,,,,,,,,,,0.05,2,COMPLETE
45,45,9.030102157156497,2025-06-15 00:49:12.646161,2025-06-15 00:49:16.044903,0 days 00:00:03.398742,578.0,0.003,1m,2.5,3.0,1.3,112.0,,,,,,,,824,0.007,2m,4.0,3.5,0.9,630,,,,,,,,,,,,,,,984.0,0.002,2m,3.5,4.0,1.4,324.0,102.0,0.002,3m,2.5,3.5,0.9,788.0,272.0,0.002,3m,1.5,1.5,0.5,208.0,452.0,0.003,3m,1.0,4.0,0.6,796.0,978.0,0.008,4m,2.0,3.0,1.5,92.0,0.3,7,COMPLETE
46,46,5.350081165349363,2025-06-15 00:49:16.105415,2025-06-15 00:49:19.534256,0 days 00:00:03.428841,570.0,0.003,3m,2.5,3.0,1.4,120.0,,,,,,,,856,0.007,2m,4.0,3.5,1.8,654,,,,,,,,,,,,,,,1022.0,0.002,2m,4.0,4.0,1.4,352.0,22.0,0.002,3m,2.5,3.5,1.0,796.0,286.0,0.002,3m,1.5,1.5,0.5,192.0,564.0,0.003,3m,1.5,3.5,0.5,918.0,1016.0,0.01,4m,1.5,3.5,1.5,94.0,0.3,7,COMPLETE
47,47,7.13906962561807,2025-06-15 00:49:19.637765,2025-06-15 00:49:23.139437,0 days 00:00:03.501672,576.0,0.003,4m,2.5,3.0,1.5,98.0,,,,,,,,808,0.007,2m,4.0,3.5,0.7,632,,,,,,,,,,,,,,,1014.0,0.002,2m,4.0,4.0,1.4,342.0,36.0,0.002,3m,2.5,3.5,0.9,790.0,178.0,0.002,3m,1.5,1.5,0.5,186.0,538.0,0.003,3m,1.5,3.5,0.5,908.0,1022.0,0.01,4m,1.5,3.5,1.6,102.0,0.4,7,COMPLETE
48,48,9.301669827831812,2025-06-15 00:49:23.203960,2025-06-15 00:49:26.600110,0 days 00:00:03.396150,490.0,0.002,4m,2.0,2.5,1.5,18.0,,,,,,,,758,0.006,2m,4.0,3.5,0.6,814,,,,,,,,,,,,,,,902.0,0.002,2m,3.5,4.0,1.6,194.0,110.0,0.003,3m,2.5,3.5,0.9,710.0,190.0,0.002,3m,1.5,1.0,0.6,76.0,420.0,0.002,3m,1.5,4.0,0.7,924.0,966.0,0.009000000000000001,4m,1.5,3.5,1.6,96.0,0.4,7,COMPLETE
49,49,13.143739472266713,2025-06-15 00:49:26.687617,2025-06-15 00:49:30.137003,0 days 00:00:03.449386,494.0,0.002,4m,2.0,2.0,1.6,34.0,,,,,,,,768,0.006,2m,4.0,3.5,0.6,894,,,,,,,,,,,,,,,914.0,0.001,2m,3.5,4.0,1.7000000000000002,164.0,104.0,0.003,3m,2.5,3.5,0.8,730.0,176.0,0.001,3m,1.5,1.0,0.6,38.0,510.0,0.003,3m,1.0,3.5,0.7,928.0,952.0,0.009000000000000001,4m,1.0,4.0,1.6,110.0,0.4,7,COMPLETE
50,50,10.015940684360034,2025-06-15 00:49:30.231521,2025-06-15 00:49:33.528747,0 days 00:00:03.297226,476.0,0.001,4m,2.0,2.0,1.6,26.0,,,,,,,,772,0.005,2m,4.0,3.5,0.6,1016,,,,,,,,,,,,,,,908.0,0.001,2m,3.5,4.0,1.7000000000000002,174.0,82.0,0.003,3m,2.5,3.5,0.8,740.0,206.0,0.001,3m,1.5,1.0,0.6,16.0,396.0,0.002,3m,1.0,3.5,0.6,844.0,956.0,0.009000000000000001,4m,1.0,4.0,1.6,84.0,0.4,7,COMPLETE
51,51,5.813834096443261,2025-06-15 00:49:33.581743,2025-06-15 00:49:36.984870,0 days 00:00:03.403127,496.0,0.001,4m,2.0,2.0,1.6,20.0,,,,,,,,754,0.006,2m,4.0,3.5,0.6,882,,,,,,,,,,,,,,,918.0,0.001,2m,3.5,4.0,1.7000000000000002,16.0,110.0,0.003,3m,2.5,3.5,0.8,744.0,188.0,0.001,3m,1.5,1.0,0.6,20.0,418.0,0.002,3m,1.0,3.5,0.6,848.0,978.0,0.009000000000000001,4m,1.0,4.0,1.6,90.0,0.4,7,COMPLETE
52,52,7.366212004255066,2025-06-15 00:49:37.044389,2025-06-15 00:49:40.593684,0 days 00:00:03.549295,568.0,0.002,4m,1.5,2.0,1.6,102.0,,,,,,,,788,0.005,2m,3.5,3.5,0.6,1016,,,,,,,,,,,,,,,880.0,0.002,2m,3.5,4.0,1.5,194.0,126.0,0.003,3m,2.5,3.5,0.9,824.0,154.0,0.001,3m,1.0,1.0,0.6,78.0,528.0,0.001,3m,1.0,4.0,0.7,742.0,948.0,0.008,4m,1.0,4.0,1.6,18.0,0.4,7,COMPLETE
53,53,0.8482893572902334,2025-06-15 00:49:40.665194,2025-06-15 00:49:44.538788,0 days 00:00:03.873594,494.0,0.002,4m,1.5,1.5,1.6,28.0,,,,,,,,700,0.005,2m,3.5,4.0,0.6,1022,,,,,,,,456.0,0.002,4m,4.0,4.0,1.3,876.0,866.0,0.001,2m,3.5,4.0,1.8,190.0,122.0,0.003,3m,2.5,3.5,0.7,820.0,250.0,0.001,3m,1.0,1.0,0.7,96.0,350.0,0.001,3m,1.0,4.0,0.7,736.0,944.0,0.008,4m,1.0,4.0,1.7000000000000002,22.0,0.45,8,COMPLETE
54,54,7.646312653763048,2025-06-15 00:49:44.592793,2025-06-15 00:49:48.013084,0 days 00:00:03.420291,322.0,0.002,4m,1.5,2.0,1.7000000000000002,126.0,,,,,,,,700,0.004,2m,4.0,3.5,0.5,1018,,,,,,,,,,,,,,,814.0,0.002,2m,3.5,3.5,1.6,176.0,136.0,0.004,3m,2.0,3.5,0.9,874.0,76.0,0.001,3m,1.0,1.0,0.6,106.0,636.0,0.001,3m,1.0,4.0,0.7,854.0,874.0,0.008,4m,1.0,4.0,1.5,114.0,0.45,7,COMPLETE
55,55,4.001962816022629,2025-06-15 00:49:48.094089,2025-06-15 00:49:50.914165,0 days 00:00:02.820076,294.0,0.001,4m,2.0,2.5,1.8,144.0,,,,,,,,688,0.004,2m,4.0,4.0,0.5,972,,,,,,,,,,,,,,,,,,,,,,192.0,0.004,3m,2.0,3.5,0.8,912.0,62.0,0.001,3m,1.5,1.0,0.6,106.0,616.0,0.002,3m,1.0,4.0,0.6,1012.0,760.0,0.009000000000000001,4m,1.0,4.0,0.5,216.0,0.5,6,COMPLETE
56,56,5.337584627745886,2025-06-15 00:49:50.988164,2025-06-15 00:49:54.529857,0 days 00:00:03.541693,174.0,0.002,4m,1.0,1.5,1.5,82.0,,,,,,,,656,0.004,2m,4.0,3.5,0.5,966,,,,,,,,,,,,,,,796.0,0.001,2m,3.5,3.5,1.7000000000000002,124.0,70.0,0.005,3m,2.0,4.0,0.6,744.0,94.0,0.002,3m,2.0,1.0,0.7,120.0,270.0,0.002,3m,1.0,1.0,0.8,846.0,880.0,0.008,4m,1.5,4.0,1.5,116.0,0.45,7,COMPLETE
57,57,2.3758490697830297,2025-06-15 00:49:54.581858,2025-06-15 00:49:58.493866,0 days 00:00:03.912008,524.0,0.001,4m,1.5,2.0,1.7000000000000002,16.0,,,,,,,,588,0.006,2m,3.0,3.0,0.5,886,,,,,,,,22.0,0.005,2m,4.0,3.5,2.0,580.0,960.0,0.002,2m,3.0,3.5,1.6,204.0,158.0,0.003,3m,2.0,3.5,0.6,874.0,354.0,0.001,3m,1.0,1.0,0.7,20.0,632.0,0.003,3m,1.5,2.5,0.6,944.0,962.0,0.007,4m,1.0,3.0,1.9000000000000001,72.0,0.45,8,COMPLETE
58,58,0.7382256522471382,2025-06-15 00:49:58.549384,2025-06-15 00:50:03.044717,0 days 00:00:04.495333,336.0,0.002,4m,2.0,2.5,1.9000000000000001,64.0,,,,,,,,736,0.005,2m,3.5,4.0,0.6,798,,,,,,,,,,,,,,,,,,,,,,244.0,0.004,3m,2.5,1.0,0.9,678.0,242.0,0.003,3m,1.5,1.0,0.6,282.0,374.0,0.001,3m,1.0,4.0,0.9,872.0,856.0,0.009000000000000001,4m,1.0,4.0,1.5,142.0,0.35000000000000003,6,COMPLETE
59,59,5.221575170290087,2025-06-15 00:50:03.164230,2025-06-15 00:50:10.108329,0 days 00:00:06.944099,18.0,0.001,4m,1.5,2.5,1.8,242.0,,,,,,,,908,0.006,2m,4.0,3.5,0.7,930,,,,,,,,650.0,0.002,4m,3.0,3.0,1.0,824.0,814.0,0.003,2m,3.5,4.0,1.7000000000000002,66.0,62.0,0.003,4m,1.5,3.5,0.8,970.0,106.0,0.001,3m,1.0,1.5,0.8,68.0,430.0,0.003,3m,1.5,4.0,0.8,778.0,750.0,0.008,4m,1.5,3.5,0.6,196.0,0.4,8,COMPLETE
60,60,11.228258162292136,2025-06-15 00:50:10.237360,2025-06-15 00:50:14.047006,0 days 00:00:03.809646,400.0,0.003,4m,2.0,2.0,1.7000000000000002,136.0,,,,,,,,806,0.003,1m,3.5,3.5,0.6,994,,,,,,,,,,,,,,,714.0,0.001,2m,4.0,4.0,1.8,118.0,102.0,0.002,3m,2.0,3.0,0.7,630.0,338.0,0.002,3m,2.0,1.0,0.5,150.0,500.0,0.001,3m,1.0,3.0,0.6,656.0,926.0,0.009000000000000001,4m,1.0,4.0,1.6,72.0,0.35000000000000003,7,COMPLETE
61,61,11.176720120053824,2025-06-15 00:50:14.114011,2025-06-15 00:50:17.740408,0 days 00:00:03.626397,406.0,0.003,4m,2.0,2.0,1.7000000000000002,136.0,,,,,,,,802,0.003,1m,4.0,3.5,0.6,986,,,,,,,,,,,,,,,656.0,0.001,2m,4.0,4.0,1.8,142.0,16.0,0.002,3m,2.0,3.0,0.7,630.0,318.0,0.002,3m,2.0,1.0,0.5,166.0,480.0,0.001,3m,1.0,3.0,0.6,682.0,944.0,0.009000000000000001,4m,1.0,4.0,1.6,68.0,0.35000000000000003,7,COMPLETE
62,62,13.02455550475927,2025-06-15 00:50:17.819924,2025-06-15 00:50:21.130490,0 days 00:00:03.310566,484.0,0.003,4m,2.0,1.5,1.5,58.0,,,,,,,,786,0.003,1m,4.0,3.5,0.7,868,,,,,,,,,,,,,,,694.0,0.001,2m,4.0,4.0,1.8,130.0,92.0,0.002,3m,2.5,3.0,0.7,628.0,330.0,0.002,3m,2.0,1.0,0.5,158.0,498.0,0.002,3m,1.0,3.0,0.6,566.0,928.0,0.009000000000000001,4m,1.0,4.0,1.7000000000000002,56.0,0.35000000000000003,7,COMPLETE
63,63,13.575195938558124,2025-06-15 00:50:21.230723,2025-06-15 00:50:24.485696,0 days 00:00:03.254973,474.0,0.003,4m,2.0,1.5,1.5,62.0,,,,,,,,814,0.002,1m,4.0,3.5,0.6,850,,,,,,,,,,,,,,,702.0,0.001,2m,4.0,4.0,1.8,130.0,20.0,0.002,3m,2.5,3.0,0.7,614.0,334.0,0.002,3m,2.0,1.0,0.5,144.0,496.0,0.002,3m,1.0,3.0,0.6,684.0,934.0,0.009000000000000001,4m,1.0,4.0,1.7000000000000002,60.0,0.35000000000000003,7,COMPLETE
64,64,9.991101148961738,2025-06-15 00:50:24.582213,2025-06-15 00:50:27.989197,0 days 00:00:03.406984,402.0,0.003,4m,2.0,1.0,1.5,178.0,,,,,,,,774,0.002,1m,3.5,4.0,0.6,868,,,,,,,,,,,,,,,696.0,0.001,2m,4.0,4.0,1.8,134.0,42.0,0.002,3m,2.0,3.0,0.7,626.0,342.0,0.002,2m,2.0,1.0,0.5,154.0,496.0,0.002,3m,1.0,3.0,0.5,694.0,926.0,0.009000000000000001,4m,1.0,4.0,1.8,60.0,0.35000000000000003,7,COMPLETE
65,65,3.0496160410336293,2025-06-15 00:50:28.083282,2025-06-15 00:50:31.111512,0 days 00:00:03.028230,410.0,0.004,4m,2.0,1.0,1.7000000000000002,174.0,,,,,,,,800,0.002,1m,3.5,4.0,0.7,858,,,,,,,,,,,,,,,,,,,,,,28.0,0.002,3m,2.0,3.0,0.5,614.0,338.0,0.003,2m,2.0,1.0,0.5,150.0,520.0,0.001,3m,1.0,3.0,0.5,668.0,806.0,0.009000000000000001,4m,1.0,4.0,1.9000000000000001,46.0,0.35000000000000003,6,COMPLETE
66,66,8.012666124214105,2025-06-15 00:50:31.189019,2025-06-15 00:50:34.912389,0 days 00:00:03.723370,392.0,0.003,4m,2.0,1.5,1.6,58.0,,,,,,,,896,0.002,1m,3.0,4.0,0.6,910,,,,,,,,112.0,0.005,2m,1.0,3.5,1.8,654.0,690.0,0.001,2m,4.0,4.0,1.9000000000000001,22.0,16.0,0.002,3m,2.0,2.5,0.6,636.0,380.0,0.002,2m,2.0,1.0,0.5,260.0,492.0,0.001,3m,1.0,2.5,0.6,562.0,848.0,0.009000000000000001,4m,1.0,4.0,1.8,164.0,0.35000000000000003,8,COMPLETE
67,67,11.623584475489972,2025-06-15 00:50:34.996636,2025-06-15 00:50:37.793267,0 days 00:00:02.796631,474.0,0.004,4m,2.0,1.0,1.5,56.0,,,,,,,,832,0.003,1m,3.5,4.0,0.7,978,,,,,,,,,,,,,,,,,,,,,,68.0,0.002,3m,2.0,3.0,0.7,544.0,300.0,0.003,2m,2.0,1.0,0.5,136.0,502.0,0.002,3m,1.0,3.0,0.5,680.0,926.0,0.01,4m,1.0,4.0,1.7000000000000002,62.0,0.35000000000000003,6,COMPLETE
68,68,8.50610753799955,2025-06-15 00:50:37.884866,2025-06-15 00:50:40.945382,0 days 00:00:03.060516,460.0,0.004,4m,2.0,1.5,1.6,58.0,,,,,,,,964,0.003,1m,3.5,3.5,0.7,990,,,,,,,,,,,,,,,,,,,,,,198.0,0.001,3m,2.5,3.0,0.7,464.0,300.0,0.003,2m,2.5,1.0,0.7,16.0,564.0,0.002,3m,1.5,2.5,1.0,612.0,902.0,0.01,3m,1.0,4.0,1.7000000000000002,58.0,0.35000000000000003,6,COMPLETE
69,69,4.260870277782329,2025-06-15 00:50:41.053897,2025-06-15 00:50:43.401244,0 days 00:00:02.347347,476.0,0.003,4m,2.0,2.0,1.9000000000000001,144.0,,,,,,,,824,0.003,1m,4.0,3.0,0.8,942,,,,,,,,,,,,,,,,,,,,,,74.0,0.002,3m,3.0,2.5,0.5,548.0,,,,,,,,388.0,0.001,3m,1.0,3.0,0.6,486.0,828.0,0.01,4m,1.0,4.0,1.7000000000000002,16.0,0.4,5,COMPLETE
70,70,7.131019872239784,2025-06-15 00:50:43.469735,2025-06-15 00:50:46.373471,0 days 00:00:02.903736,542.0,0.004,4m,2.0,1.5,1.8,80.0,,,,,,,,728,0.003,1m,3.0,3.5,0.7,990,,,,,,,,,,,,,,,,,,,,,,158.0,0.002,4m,2.0,3.0,0.7,566.0,226.0,0.003,3m,2.0,1.5,0.6,312.0,582.0,0.002,3m,1.5,3.0,0.7,708.0,930.0,0.01,4m,1.0,4.0,1.7000000000000002,130.0,0.3,6,COMPLETE
71,71,7.476153755632527,2025-06-15 00:50:46.436986,2025-06-15 00:50:50.191173,0 days 00:00:03.754187,372.0,0.003,4m,2.0,1.0,1.5,190.0,,,,,,,,648,0.002,1m,3.5,4.0,0.5,850,,,,,,,,,,,,,,,610.0,0.001,2m,4.0,4.0,1.8,110.0,46.0,0.002,3m,2.0,3.0,0.6,624.0,400.0,0.002,2m,2.0,1.0,0.5,144.0,500.0,0.002,3m,1.0,3.0,0.5,682.0,930.0,0.009000000000000001,4m,1.0,4.0,1.8,68.0,0.35000000000000003,7,COMPLETE
72,72,8.367288081312298,2025-06-15 00:50:50.260688,2025-06-15 00:50:53.635875,0 days 00:00:03.375187,428.0,0.003,4m,2.0,1.0,1.6,44.0,,,,,,,,788,0.002,1m,4.0,4.0,0.6,866,,,,,,,,,,,,,,,686.0,0.001,2m,4.0,3.5,1.9000000000000001,138.0,86.0,0.001,3m,2.0,3.0,0.8,674.0,326.0,0.002,2m,2.5,1.0,0.5,224.0,322.0,0.001,3m,1.0,3.0,0.5,614.0,984.0,0.009000000000000001,4m,1.0,4.0,1.9000000000000001,48.0,0.35000000000000003,7,COMPLETE
73,73,7.619244000384343,2025-06-15 00:50:53.715882,2025-06-15 00:50:57.711517,0 days 00:00:03.995635,514.0,0.004,4m,2.0,1.0,1.5,146.0,,,,,,,,844,0.001,1m,3.5,4.0,0.6,918,,,,,,,,156.0,0.006,1m,1.5,4.0,1.9000000000000001,20.0,602.0,0.001,2m,4.0,4.0,1.9000000000000001,52.0,54.0,0.003,3m,2.5,2.5,0.7,668.0,476.0,0.001,2m,2.0,1.0,0.5,160.0,508.0,0.002,3m,1.0,3.0,0.6,564.0,872.0,0.009000000000000001,4m,1.0,4.0,1.8,168.0,0.35000000000000003,8,COMPLETE
74,74,4.740264670033206,2025-06-15 00:50:57.797032,2025-06-15 00:51:00.903396,0 days 00:00:03.106364,342.0,0.003,4m,2.0,2.0,1.7000000000000002,240.0,,,,,,,,894,0.003,1m,4.0,3.5,0.7,960,,,,,,,,,,,,,,,,,,,,,,138.0,0.002,3m,2.0,3.0,0.8,602.0,372.0,0.002,2m,2.0,1.0,0.6,54.0,410.0,0.003,3m,1.0,2.0,0.5,696.0,948.0,0.01,4m,1.0,4.0,2.0,134.0,0.4,6,COMPLETE
