,number,value,datetime_start,datetime_complete,duration,params_AAPL_INTU_beta_win,params_AAPL_INTU_stop_loss,params_AAPL_INTU_trade_freq,params_AAPL_INTU_z_entry,params_AAPL_INTU_z_exit,params_AAPL_INTU_z_stop_scaler,params_AAPL_INTU_z_win,params_AAPL_VRSK_beta_win,params_AAPL_VRSK_stop_loss,params_AAPL_VRSK_trade_freq,params_AAPL_VRSK_z_entry,params_AAPL_VRSK_z_exit,params_AAPL_VRSK_z_stop_scaler,params_AAPL_VRSK_z_win,params_AEP_PANW_beta_win,params_AEP_PANW_stop_loss,params_AEP_PANW_trade_freq,params_AEP_PANW_z_entry,params_AEP_PANW_z_exit,params_AEP_PANW_z_stop_scaler,params_AEP_PANW_z_win,params_AMGN_ZS_beta_win,params_AMGN_ZS_stop_loss,params_AMGN_ZS_trade_freq,params_AMGN_ZS_z_entry,params_AMGN_ZS_z_exit,params_AMGN_ZS_z_stop_scaler,params_AMGN_ZS_z_win,params_ATVI_MSFT_beta_win,params_ATVI_MSFT_stop_loss,params_ATVI_MSFT_trade_freq,params_ATVI_MSFT_z_entry,params_ATVI_MSFT_z_exit,params_ATVI_MSFT_z_stop_scaler,params_ATVI_MSFT_z_win,params_BKNG_EA_beta_win,params_BKNG_EA_stop_loss,params_BKNG_EA_trade_freq,params_BKNG_EA_z_entry,params_BKNG_EA_z_exit,params_BKNG_EA_z_stop_scaler,params_BKNG_EA_z_win,params_DXCM_ORLY_beta_win,params_DXCM_ORLY_stop_loss,params_DXCM_ORLY_trade_freq,params_DXCM_ORLY_z_entry,params_DXCM_ORLY_z_exit,params_DXCM_ORLY_z_stop_scaler,params_DXCM_ORLY_z_win,params_FISV_WDAY_beta_win,params_FISV_WDAY_stop_loss,params_FISV_WDAY_trade_freq,params_FISV_WDAY_z_entry,params_FISV_WDAY_z_exit,params_FISV_WDAY_z_stop_scaler,params_FISV_WDAY_z_win,params_ORLY_VRTX_beta_win,params_ORLY_VRTX_stop_loss,params_ORLY_VRTX_trade_freq,params_ORLY_VRTX_z_entry,params_ORLY_VRTX_z_exit,params_ORLY_VRTX_z_stop_scaler,params_ORLY_VRTX_z_win,params_TEAM_ZS_beta_win,params_TEAM_ZS_stop_loss,params_TEAM_ZS_trade_freq,params_TEAM_ZS_z_entry,params_TEAM_ZS_z_exit,params_TEAM_ZS_z_stop_scaler,params_TEAM_ZS_z_win,params_buffer_capital,params_pairs_to_trade,state
37,37,4.714819869958117,2025-06-15 01:09:17.303898,2025-06-15 01:09:19.450530,0 days 00:00:02.146632,,,,,,,,,,,,,,,418.0,0.005,4m,3.5,3.5,0.8,560.0,,,,,,,,1016.0,0.005,3m,4.0,3.0,0.5,552.0,526.0,0.008,1m,1.0,4.0,0.9,510.0,1018,0.002,4m,1.5,2.0,1.9000000000000001,278,,,,,,,,234.0,0.007,2m,3.0,1.5,0.9,50.0,,,,,,,,0.2,5,COMPLETE
38,38,3.2504727869280554,2025-06-15 01:09:19.533161,2025-06-15 01:09:21.925289,0 days 00:00:02.392128,,,,,,,,,,,,,,,352.0,0.003,4m,3.5,4.0,0.7,158.0,,,,,,,,938.0,0.006,3m,4.0,2.5,0.5,650.0,682.0,0.009000000000000001,1m,1.5,3.5,0.8,372.0,870,0.006,4m,1.0,2.0,1.9000000000000001,346,790.0,0.008,4m,4.0,1.0,0.7,998.0,620.0,0.005,2m,2.5,2.0,0.7,126.0,,,,,,,,0.15000000000000002,6,COMPLETE
39,39,5.612178313980589,2025-06-15 01:09:22.007360,2025-06-15 01:09:24.109078,0 days 00:00:02.101718,,,,,,,,,,,,,,,762.0,0.004,4m,3.0,3.5,0.9,412.0,,,,,,,,874.0,0.007,3m,4.0,2.5,0.9,498.0,374.0,0.01,4m,1.0,4.0,1.2000000000000002,450.0,726,0.007,4m,1.5,1.5,1.7000000000000002,226,,,,,,,,360.0,0.007,1m,3.5,2.5,1.1,86.0,,,,,,,,0.25,5,COMPLETE
40,40,6.349109708425403,2025-06-15 01:09:24.168115,2025-06-15 01:09:25.944120,0 days 00:00:01.776005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,892.0,0.008,3m,4.0,2.5,0.9,492.0,356.0,0.01,2m,1.0,4.0,0.7,302.0,744,0.008,4m,1.5,2.0,2.0,230,,,,,,,,378.0,0.007,1m,3.0,1.5,1.1,100.0,,,,,,,,0.1,4,COMPLETE
41,41,5.742006939115172,2025-06-15 01:09:26.026410,2025-06-15 01:09:27.680832,0 days 00:00:01.654422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894.0,0.008,3m,4.0,2.5,0.9,492.0,376.0,0.01,2m,1.0,4.0,0.7,162.0,734,0.009000000000000001,4m,1.5,2.0,2.0,228,,,,,,,,352.0,0.007,1m,3.0,1.5,1.1,86.0,,,,,,,,0.1,4,COMPLETE
42,42,3.589816724984322,2025-06-15 01:09:27.755621,2025-06-15 01:09:28.960039,0 days 00:00:01.204418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928.0,0.009000000000000001,3m,4.0,3.0,0.6,590.0,,,,,,,,934,0.009000000000000001,4m,1.5,2.0,2.0,274,,,,,,,,392.0,0.008,1m,3.0,1.5,1.1,214.0,,,,,,,,0.1,3,COMPLETE
43,43,1.7561034578309038,2025-06-15 01:09:29.032911,2025-06-15 01:09:30.831738,0 days 00:00:01.798827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830.0,0.009000000000000001,3m,3.5,2.5,0.8,462.0,480.0,0.01,2m,1.0,4.0,0.7,148.0,730,0.008,4m,1.0,2.0,1.9000000000000001,212,,,,,,,,292.0,0.007,1m,2.5,1.5,1.2000000000000002,94.0,,,,,,,,0.05,4,COMPLETE
44,44,-0.27233982470366164,2025-06-15 01:09:30.891326,2025-06-15 01:09:32.538208,0 days 00:00:01.646882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020.0,0.008,3m,3.5,3.0,0.9,544.0,286.0,0.01,2m,1.5,3.5,0.9,312.0,574,0.01,4m,2.0,2.5,2.0,302,,,,,,,,518.0,0.008,1m,2.5,1.5,0.9,192.0,,,,,,,,0.1,4,COMPLETE
45,45,2.328910099712143,2025-06-15 01:09:32.592267,2025-06-15 01:09:33.947030,0 days 00:00:01.354763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878.0,0.007,3m,4.0,2.5,0.7,618.0,,,,,,,,566,0.009000000000000001,4m,1.5,1.5,1.8,114,,,,,,,,340.0,0.009000000000000001,1m,3.0,2.0,1.3,324.0,,,,,,,,0.1,3,COMPLETE
46,46,-1.0816616193165338,2025-06-15 01:09:34.028290,2025-06-15 01:09:35.578943,0 days 00:00:01.550653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,874.0,0.009000000000000001,3m,3.5,3.0,1.0,720.0,580.0,0.009000000000000001,2m,1.0,4.0,0.7,128.0,640,0.009000000000000001,4m,2.0,2.5,1.7000000000000002,172,,,,,,,,858.0,0.007,1m,3.0,2.0,1.1,16.0,,,,,,,,0.15000000000000002,4,COMPLETE
47,47,2.0209415781017115,2025-06-15 01:09:35.650739,2025-06-15 01:09:37.602766,0 days 00:00:01.952027,,,,,,,,,,,,,,,194.0,0.002,3m,4.0,4.0,1.7000000000000002,18.0,,,,,,,,962.0,0.01,3m,4.0,2.5,0.6,484.0,358.0,0.01,2m,1.5,3.5,0.5,178.0,486,0.01,4m,1.0,2.0,0.5,256,,,,,,,,462.0,0.006,1m,2.5,1.5,1.0,106.0,,,,,,,,0.2,5,COMPLETE
48,48,-0.6185208630410205,2025-06-15 01:09:37.675209,2025-06-15 01:09:39.246494,0 days 00:00:01.571285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816.0,0.008,4m,3.5,3.0,1.1,400.0,,,,,,,,1024,0.008,4m,1.5,1.5,1.9000000000000001,350,,,,,,,,96.0,0.008,1m,1.0,1.5,1.3,138.0,,,,,,,,0.05,3,COMPLETE
49,49,-3.894448318754572,2025-06-15 01:09:39.300391,2025-06-15 01:09:42.798800,0 days 00:00:03.498409,,,,,,,,,,,,,,,866.0,0.007,1m,2.5,3.5,1.2000000000000002,126.0,,,,,,,,918.0,0.006,3m,4.0,3.0,1.2000000000000002,686.0,460.0,0.009000000000000001,2m,1.0,4.0,0.8,190.0,26,0.009000000000000001,4m,1.5,2.0,2.0,722,,,,,,,,960.0,0.007,3m,3.5,2.0,1.1,56.0,,,,,,,,0.15000000000000002,5,COMPLETE
50,50,8.375137107700683,2025-06-15 01:09:42.903486,2025-06-15 01:09:46.083281,0 days 00:00:03.179795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,904.0,0.005,3m,4.0,3.5,0.7,542.0,244.0,0.01,2m,1.5,3.5,1.0,56.0,758,0.01,1m,2.0,2.5,1.9000000000000001,56,,,,,,,,742.0,0.005,4m,2.0,1.0,0.9,236.0,,,,,,,,0.1,4,COMPLETE
51,51,4.99279927150572,2025-06-15 01:09:46.197222,2025-06-15 01:09:48.854294,0 days 00:00:02.657072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,986.0,0.005,3m,4.0,3.5,0.7,538.0,270.0,0.01,2m,1.0,3.5,1.0,62.0,698,0.01,1m,2.0,2.5,1.9000000000000001,72,,,,,,,,910.0,0.005,4m,2.0,1.0,0.9,200.0,,,,,,,,0.1,4,COMPLETE
52,52,1.391953943479664,2025-06-15 01:09:48.912736,2025-06-15 01:09:50.178120,0 days 00:00:01.265384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884.0,0.005,3m,4.0,3.5,0.6,406.0,,,,,,,,758,0.01,1m,1.5,2.0,1.8,50,,,,,,,,810.0,0.006,4m,1.5,1.0,1.0,266.0,,,,,,,,0.1,3,COMPLETE
53,53,0.635590028619639,2025-06-15 01:09:50.240055,2025-06-15 01:09:51.863409,0 days 00:00:01.623354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826.0,0.007,3m,4.0,2.5,0.9,616.0,392.0,0.01,2m,1.5,3.5,0.7,64.0,602,0.009000000000000001,1m,2.0,2.5,2.0,188,,,,,,,,730.0,0.005,4m,2.0,1.5,0.9,74.0,,,,,,,,0.05,4,COMPLETE
54,54,0.4502544807949159,2025-06-15 01:09:51.933927,2025-06-15 01:09:54.040162,0 days 00:00:02.106235,,,,,,,,,,,,,,,192.0,0.006,2m,3.5,4.0,0.5,210.0,,,,,,,,910.0,0.008,1m,3.5,3.0,0.7,510.0,500.0,0.009000000000000001,2m,1.0,4.0,1.0,272.0,666,0.009000000000000001,1m,1.5,2.0,1.7000000000000002,18,,,,,,,,1020.0,0.004,4m,2.5,1.0,1.2000000000000002,16.0,,,,,,,,0.2,5,COMPLETE
55,55,-1.2993666844504064,2025-06-15 01:09:54.119880,2025-06-15 01:09:55.732595,0 days 00:00:01.612715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980.0,0.005,3m,4.0,2.0,0.5,564.0,226.0,0.01,2m,2.0,3.5,0.9,206.0,900,0.01,4m,2.0,1.5,1.9000000000000001,394,,,,,,,,282.0,0.008,3m,2.0,2.0,1.1,228.0,,,,,,,,0.15000000000000002,4,COMPLETE
56,56,-1.1357277345499885,2025-06-15 01:09:55.794659,2025-06-15 01:09:57.088844,0 days 00:00:01.294185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.0,0.006,3m,3.5,3.5,0.8,432.0,,,,,,,,956,0.01,4m,1.0,2.5,1.8,150,,,,,,,,778.0,0.006,1m,2.5,1.5,1.0,148.0,,,,,,,,0.05,3,COMPLETE
57,57,-0.4041427009303846,2025-06-15 01:09:57.152234,2025-06-15 01:09:59.325124,0 days 00:00:02.172890,,,,,,,,,,,,,,,144.0,0.005,3m,4.0,4.0,1.4,376.0,,,,,,,,590.0,0.007,1m,4.0,2.5,0.6,480.0,326.0,0.009000000000000001,2m,1.5,4.0,0.6,16.0,844,0.003,1m,1.5,2.0,2.0,294,,,,,,,,686.0,0.005,4m,3.0,1.0,0.7,310.0,,,,,,,,0.1,5,COMPLETE
58,58,1.0676080250546414,2025-06-15 01:09:59.374308,2025-06-15 01:10:01.814949,0 days 00:00:02.440641,,,,,,,,,,,,,,,360.0,0.002,2m,3.0,4.0,0.7,230.0,,,,,,,,796.0,0.01,4m,3.0,3.5,1.0,786.0,264.0,0.008,1m,1.0,3.0,1.1,584.0,384,0.009000000000000001,4m,2.0,1.5,1.6,978,844.0,0.001,3m,3.5,1.5,0.6,62.0,326.0,0.007,3m,1.5,2.0,1.3,494.0,,,,,,,,0.15000000000000002,6,COMPLETE
59,59,-0.686482265758685,2025-06-15 01:10:01.911289,2025-06-15 01:10:02.461068,0 days 00:00:00.549779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482,0.008,4m,2.0,3.0,1.9000000000000001,204,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
60,60,-1.1330301884900427,2025-06-15 01:10:02.522793,2025-06-15 01:10:04.207974,0 days 00:00:01.685181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,0.009000000000000001,3m,4.0,2.5,1.0,642.0,400.0,0.006,1m,1.0,3.5,0.8,94.0,776,0.008,1m,2.5,1.5,1.7000000000000002,100,,,,,,,,522.0,0.006,1m,3.5,1.0,0.9,602.0,,,,,,,,0.15000000000000002,4,COMPLETE
61,61,2.9819218736037665,2025-06-15 01:10:04.267864,2025-06-15 01:10:06.330722,0 days 00:00:02.062858,,,,,,,,,,,,,,,756.0,0.004,4m,3.0,3.5,1.0,394.0,,,,,,,,874.0,0.008,3m,4.0,2.5,0.9,510.0,350.0,0.01,2m,1.0,4.0,1.2000000000000002,248.0,726,0.007,4m,1.5,1.5,2.0,148,,,,,,,,398.0,0.007,1m,3.5,2.5,1.1,88.0,,,,,,,,0.25,5,COMPLETE
62,62,8.453706664964875,2025-06-15 01:10:06.408314,2025-06-15 01:10:08.433465,0 days 00:00:02.025151,,,,,,,,,,,,,,,844.0,0.005,4m,2.5,3.5,1.0,550.0,,,,,,,,872.0,0.007,3m,4.0,2.5,0.8,494.0,402.0,0.01,4m,1.5,4.0,1.3,572.0,750,0.009000000000000001,4m,1.5,2.0,1.8,228,,,,,,,,228.0,0.007,1m,3.5,3.5,1.1,118.0,,,,,,,,0.3,5,COMPLETE
63,63,1.3098838576539606,2025-06-15 01:10:08.481233,2025-06-15 01:10:10.983446,0 days 00:00:02.502213,,,,,,,,,,,,,,,1016.0,0.007,4m,2.5,3.5,1.1,520.0,,,,,,,,856.0,0.007,3m,4.0,2.0,0.8,590.0,556.0,0.009000000000000001,1m,2.0,4.0,1.3,618.0,824,0.009000000000000001,4m,1.5,2.0,1.8,264,38.0,0.01,4m,3.0,3.5,0.8,786.0,218.0,0.006,1m,4.0,4.0,1.0,174.0,,,,,,,,0.3,6,COMPLETE
64,64,4.451232282093204,2025-06-15 01:10:11.054134,2025-06-15 01:10:12.647255,0 days 00:00:01.593121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900.0,0.008,3m,3.5,4.0,0.7,420.0,408.0,0.005,2m,1.5,4.0,1.4,758.0,666,0.01,4m,1.0,2.5,1.9000000000000001,464,,,,,,,,140.0,0.009000000000000001,1m,3.5,3.5,1.2000000000000002,124.0,,,,,,,,0.35000000000000003,4,COMPLETE
65,65,4.902900205994792,2025-06-15 01:10:12.716786,2025-06-15 01:10:14.747689,0 days 00:00:02.030903,,,,,,,,,,,,,,,930.0,0.006,4m,2.5,4.0,1.0,614.0,,,,,,,,994.0,0.005,1m,2.5,3.0,2.0,368.0,490.0,0.01,1m,1.5,3.5,1.3,558.0,986,0.01,4m,4.0,2.0,2.0,416,,,,,,,,274.0,0.008,2m,3.0,3.5,0.8,62.0,,,,,,,,0.3,5,COMPLETE
66,66,-1.810832791929117,2025-06-15 01:10:14.829350,2025-06-15 01:10:17.110273,0 days 00:00:02.280923,,,,,,,,,,,,,,,832.0,0.003,1m,3.5,3.0,0.8,486.0,,,,,,,,834.0,0.009000000000000001,3m,4.0,3.0,0.8,460.0,616.0,0.008,2m,1.0,4.0,1.1,658.0,408,0.008,2m,1.5,2.0,1.8,328,1016.0,0.003,3m,3.5,1.5,1.1,158.0,226.0,0.007,3m,3.5,3.5,1.0,246.0,,,,,,,,0.25,6,COMPLETE
67,67,3.997444281889899,2025-06-15 01:10:17.189207,2025-06-15 01:10:18.144631,0 days 00:00:00.955424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730.0,0.006,3m,3.5,2.0,1.9000000000000001,526.0,,,,,,,,760,0.009000000000000001,4m,2.0,2.5,2.0,244,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
68,68,-2.273100312536092,2025-06-15 01:10:18.214800,2025-06-15 01:10:19.425161,0 days 00:00:01.210361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.0,0.004,1m,4.0,2.5,0.7,698.0,,,,,,,,334,0.009000000000000001,2m,1.0,2.0,1.9000000000000001,374,,,,,,,,976.0,0.005,2m,4.0,3.0,1.1,776.0,,,,,,,,0.1,3,COMPLETE
69,69,2.6153465273590824,2025-06-15 01:10:19.468270,2025-06-15 01:10:21.175081,0 days 00:00:01.706811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446.0,0.008,3m,3.5,3.5,1.0,986.0,330.0,0.009000000000000001,4m,2.0,4.0,1.0,700.0,252,0.008,4m,1.5,2.5,1.6,324,,,,,,,,364.0,0.006,4m,3.0,1.5,1.2000000000000002,122.0,,,,,,,,0.45,4,COMPLETE
70,70,5.425890440284668,2025-06-15 01:10:21.255282,2025-06-15 01:10:23.381634,0 days 00:00:02.126352,,,,,,,,,,,,,,,468.0,0.005,3m,2.5,3.5,0.6,280.0,,,,,,,,954.0,0.007,4m,4.0,2.5,0.6,578.0,446.0,0.007,1m,1.0,3.5,0.6,484.0,904,0.01,1m,1.5,3.0,1.8,204,,,,,,,,574.0,0.006,1m,3.5,3.0,0.9,150.0,,,,,,,,0.35000000000000003,5,COMPLETE
71,71,1.3712972853456153,2025-06-15 01:10:23.458502,2025-06-15 01:10:25.627403,0 days 00:00:02.168901,,,,,,,,,,,,,,,670.0,0.004,4m,3.0,3.5,1.0,432.0,,,,,,,,792.0,0.007,3m,4.0,2.5,0.9,494.0,382.0,0.01,4m,1.0,4.0,1.2000000000000002,554.0,718,0.007,4m,1.5,1.5,1.7000000000000002,220,,,,,,,,358.0,0.007,1m,3.5,2.5,1.1,90.0,,,,,,,,0.25,5,COMPLETE
72,72,4.807790015061201,2025-06-15 01:10:25.698503,2025-06-15 01:10:27.942442,0 days 00:00:02.243939,,,,,,,,,,,,,,,936.0,0.006,4m,3.0,3.5,0.9,392.0,,,,,,,,924.0,0.006,3m,4.0,3.0,0.9,464.0,238.0,0.01,4m,1.0,4.0,1.4,458.0,860,0.008,4m,1.5,1.5,1.9000000000000001,236,,,,,,,,410.0,0.007,1m,3.5,2.5,1.0,36.0,,,,,,,,0.25,5,COMPLETE
73,73,6.246304015670887,2025-06-15 01:10:28.001903,2025-06-15 01:10:29.851121,0 days 00:00:01.849218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864.0,0.005,3m,4.0,2.5,0.8,514.0,302.0,0.01,4m,1.5,3.5,1.2000000000000002,352.0,804,0.006,4m,1.5,2.0,1.9000000000000001,160,,,,,,,,320.0,0.007,1m,4.0,2.0,1.2000000000000002,174.0,,,,,,,,0.2,4,COMPLETE
74,74,6.875876291342151,2025-06-15 01:10:29.939593,2025-06-15 01:10:31.600751,0 days 00:00:01.661158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840.0,0.005,3m,4.0,2.0,0.8,372.0,306.0,0.01,4m,1.5,3.5,0.9,296.0,806,0.004,4m,2.0,2.0,1.9000000000000001,128,,,,,,,,310.0,0.006,2m,4.0,2.0,1.3,182.0,,,,,,,,0.2,4,COMPLETE
75,75,6.7181942152584275,2025-06-15 01:10:31.669810,2025-06-15 01:10:33.549896,0 days 00:00:01.880086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,856.0,0.005,3m,4.0,2.0,0.8,280.0,282.0,0.009000000000000001,4m,1.5,3.0,1.0,360.0,802,0.004,4m,2.5,2.0,1.8,88,,,,,,,,174.0,0.004,2m,4.0,2.0,1.4,176.0,,,,,,,,0.2,4,COMPLETE
76,76,1.3157728015823662,2025-06-15 01:10:33.616599,2025-06-15 01:10:34.915271,0 days 00:00:01.298672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,852.0,0.004,1m,4.0,2.0,0.8,284.0,,,,,,,,812,0.004,2m,2.5,2.0,1.8,70,,,,,,,,156.0,0.004,2m,4.0,2.0,1.4,186.0,,,,,,,,0.2,3,COMPLETE
77,77,4.566474521502341,2025-06-15 01:10:34.975626,2025-06-15 01:10:36.846916,0 days 00:00:01.871290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664.0,0.005,3m,3.5,2.0,0.7,216.0,30.0,0.009000000000000001,4m,1.5,3.0,0.9,344.0,798,0.005,4m,2.5,2.5,1.7000000000000002,130,,,,,,,,112.0,0.004,2m,4.0,2.0,1.6,218.0,,,,,,,,0.2,4,COMPLETE
78,78,-0.8498297800951777,2025-06-15 01:10:36.925711,2025-06-15 01:10:38.620612,0 days 00:00:01.694901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770.0,0.004,3m,2.5,2.0,0.8,26.0,306.0,0.009000000000000001,4m,2.0,2.5,1.0,280.0,928,0.003,4m,2.0,2.0,1.5,98,,,,,,,,316.0,0.003,2m,4.0,2.0,1.5,992.0,,,,,,,,0.3,4,COMPLETE
79,79,5.012901162997946,2025-06-15 01:10:38.676190,2025-06-15 01:10:39.947620,0 days 00:00:01.271430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800.0,0.005,3m,3.5,1.5,0.5,362.0,,,,,,,,882,0.004,2m,2.5,2.0,1.9000000000000001,172,,,,,,,,50.0,0.005,2m,4.0,4.0,1.4,278.0,,,,,,,,0.25,3,COMPLETE
80,80,2.656945850609382,2025-06-15 01:10:40.019881,2025-06-15 01:10:41.403114,0 days 00:00:01.383233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.0,0.006,3m,4.0,2.0,0.8,310.0,,,,,,,,762,0.003,4m,2.0,1.5,1.8,54,,,,,,,,202.0,0.005,3m,4.0,3.5,1.5,654.0,,,,,,,,0.2,3,COMPLETE
81,81,4.5905525662949795,2025-06-15 01:10:41.465306,2025-06-15 01:10:43.259406,0 days 00:00:01.794100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,852.0,0.005,3m,4.0,3.0,0.7,866.0,190.0,0.008,4m,1.5,3.0,1.1,386.0,830,0.005,4m,1.5,2.0,1.9000000000000001,1018,,,,,,,,162.0,0.006,2m,4.0,2.0,1.3,172.0,,,,,,,,0.2,4,COMPLETE
82,82,1.228982466176461,2025-06-15 01:10:43.307136,2025-06-15 01:10:46.528049,0 days 00:00:03.220913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952.0,0.005,3m,4.0,2.5,0.6,230.0,308.0,0.01,4m,1.5,3.5,1.1,306.0,606,0.006,4m,2.0,2.0,1.9000000000000001,154,,,,,,,,250.0,0.006,2m,4.0,2.0,1.2000000000000002,244.0,,,,,,,,0.25,4,COMPLETE
83,83,2.8996640041439226,2025-06-15 01:10:46.621912,2025-06-15 01:10:50.433573,0 days 00:00:03.811661,,,,,,,,,,,,,,,724.0,0.007,4m,3.5,4.0,1.2000000000000002,108.0,,,,,,,,910.0,0.004,3m,4.0,2.0,1.1,932.0,236.0,0.009000000000000001,4m,1.5,3.0,1.3,626.0,678,0.002,4m,3.0,2.0,2.0,82,,,,,,,,312.0,0.006,2m,4.0,2.0,1.3,332.0,,,,,,,,0.15000000000000002,5,COMPLETE
84,84,-0.7330456379751127,2025-06-15 01:10:50.539176,2025-06-15 01:10:53.807073,0 days 00:00:03.267897,,,,,,,,,,,,,,,596.0,0.002,1m,2.5,4.0,0.7,266.0,,,,,,,,852.0,0.005,3m,4.0,3.0,1.9000000000000001,558.0,420.0,0.001,4m,1.5,3.5,1.0,228.0,216,0.004,4m,1.0,2.0,1.8,116,776.0,0.002,3m,4.0,1.0,0.5,786.0,266.0,0.005,2m,4.0,2.5,1.4,124.0,,,,,,,,0.2,6,COMPLETE
85,85,6.021647972234019,2025-06-15 01:10:53.879754,2025-06-15 01:10:55.532650,0 days 00:00:01.652896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814.0,0.006,3m,4.0,2.5,0.7,186.0,280.0,0.01,4m,2.0,3.5,0.9,364.0,704,0.005,4m,2.5,2.0,0.8,294,,,,,,,,204.0,0.004,2m,3.5,2.0,1.2000000000000002,572.0,,,,,,,,0.2,4,COMPLETE
86,86,6.551660861024645,2025-06-15 01:10:55.593202,2025-06-15 01:10:57.453848,0 days 00:00:01.860646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,966.0,0.005,1m,4.0,3.5,1.2000000000000002,292.0,894.0,0.009000000000000001,3m,1.5,3.0,1.2000000000000002,496.0,784,0.006,4m,1.5,2.5,1.9000000000000001,38,,,,,,,,178.0,0.008,2m,4.0,1.5,0.8,164.0,,,,,,,,0.15000000000000002,4,COMPLETE
87,87,2.176505685653141,2025-06-15 01:10:57.509640,2025-06-15 01:10:58.399803,0 days 00:00:00.890163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.0,0.003,1m,4.0,4.0,1.2000000000000002,366.0,,,,,,,,784,0.006,1m,3.5,2.5,2.0,22,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
88,88,-0.39520604421989436,2025-06-15 01:10:58.461041,2025-06-15 01:10:59.804908,0 days 00:00:01.343867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,0.004,1m,3.0,3.5,1.3,294.0,,,,,,,,854,0.006,4m,2.0,2.5,1.8,36,,,,,,,,84.0,0.008,2m,4.0,1.5,0.8,194.0,,,,,,,,0.15000000000000002,3,COMPLETE
89,89,-1.2015340658606515,2025-06-15 01:10:59.893843,2025-06-15 01:11:01.670609,0 days 00:00:01.776766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020.0,0.005,1m,4.0,3.5,1.1,264.0,882.0,0.009000000000000001,3m,2.0,2.5,1.4,490.0,758,0.004,2m,3.0,3.0,1.9000000000000001,192,,,,,,,,180.0,0.009000000000000001,4m,4.0,1.5,0.6,354.0,,,,,,,,0.15000000000000002,4,COMPLETE
90,90,5.333018682434716,2025-06-15 01:11:01.737965,2025-06-15 01:11:02.997708,0 days 00:00:01.259743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554.0,0.006,1m,3.5,1.5,1.5,382.0,,,,,,,,812,0.005,4m,2.0,2.5,2.0,100,,,,,,,,124.0,0.008,3m,2.0,2.5,1.5,108.0,,,,,,,,0.1,3,COMPLETE
91,91,1.9255867919792233,2025-06-15 01:11:03.054704,2025-06-15 01:11:05.246495,0 days 00:00:02.191791,,,,,,,,,,,,,,,382.0,0.006,2m,2.0,2.5,1.4,352.0,,,,,,,,976.0,0.005,3m,4.0,4.0,0.8,618.0,882.0,0.008,3m,1.5,3.0,1.2000000000000002,578.0,746,0.003,4m,1.5,2.0,1.9000000000000001,128,,,,,,,,298.0,0.007,2m,4.0,2.0,1.0,168.0,,,,,,,,0.2,5,COMPLETE
92,92,4.17216505963366,2025-06-15 01:11:05.320272,2025-06-15 01:11:07.045591,0 days 00:00:01.725319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930.0,0.005,4m,4.0,3.5,1.7000000000000002,444.0,340.0,0.01,3m,1.5,3.5,1.2000000000000002,416.0,788,0.006,4m,1.5,2.5,1.9000000000000001,58,,,,,,,,246.0,0.006,2m,3.5,3.0,0.9,140.0,,,,,,,,0.2,4,COMPLETE
