,number,value,datetime_start,datetime_complete,duration,params_ABNB_KDP_beta_win,params_ABNB_KDP_stop_loss,params_ABNB_KDP_trade_freq,params_ABNB_KDP_z_entry,params_ABNB_KDP_z_exit,params_ABNB_KDP_z_stop_scaler,params_ABNB_KDP_z_win,params_ADSK_KLAC_beta_win,params_ADSK_KLAC_stop_loss,params_ADSK_KLAC_trade_freq,params_ADSK_KLAC_z_entry,params_ADSK_KLAC_z_exit,params_ADSK_KLAC_z_stop_scaler,params_ADSK_KLAC_z_win,params_CTAS_PAYX_beta_win,params_CTAS_PAYX_stop_loss,params_CTAS_PAYX_trade_freq,params_CTAS_PAYX_z_entry,params_CTAS_PAYX_z_exit,params_CTAS_PAYX_z_stop_scaler,params_CTAS_PAYX_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_ILMN_KDP_beta_win,params_ILMN_KDP_stop_loss,params_ILMN_KDP_trade_freq,params_ILMN_KDP_z_entry,params_ILMN_KDP_z_exit,params_ILMN_KDP_z_stop_scaler,params_ILMN_KDP_z_win,params_NTES_EA_beta_win,params_NTES_EA_stop_loss,params_NTES_EA_trade_freq,params_NTES_EA_z_entry,params_NTES_EA_z_exit,params_NTES_EA_z_stop_scaler,params_NTES_EA_z_win,params_TSLA_DXCM_beta_win,params_TSLA_DXCM_stop_loss,params_TSLA_DXCM_trade_freq,params_TSLA_DXCM_z_entry,params_TSLA_DXCM_z_exit,params_TSLA_DXCM_z_stop_scaler,params_TSLA_DXCM_z_win,params_TSLA_VRSK_beta_win,params_TSLA_VRSK_stop_loss,params_TSLA_VRSK_trade_freq,params_TSLA_VRSK_z_entry,params_TSLA_VRSK_z_exit,params_TSLA_VRSK_z_stop_scaler,params_TSLA_VRSK_z_win,params_WDAY_KDP_beta_win,params_WDAY_KDP_stop_loss,params_WDAY_KDP_trade_freq,params_WDAY_KDP_z_entry,params_WDAY_KDP_z_exit,params_WDAY_KDP_z_stop_scaler,params_WDAY_KDP_z_win,params_ZM_BIIB_beta_win,params_ZM_BIIB_stop_loss,params_ZM_BIIB_trade_freq,params_ZM_BIIB_z_entry,params_ZM_BIIB_z_exit,params_ZM_BIIB_z_stop_scaler,params_ZM_BIIB_z_win,params_buffer_capital,params_pairs_to_trade,state
30,30,2.2404645298319954,2025-06-15 00:55:01.765687,2025-06-15 00:55:04.276992,0 days 00:00:02.511305,,,,,,,,100.0,0.007,1m,3.5,3.5,1.6,742.0,,,,,,,,444,0.001,4m,3.0,2.5,1.8,112,,,,,,,,,,,,,,,340.0,0.006,2m,2.0,1.0,2.0,314.0,310.0,0.008,4m,3.5,4.0,1.1,388.0,,,,,,,,512.0,0.004,1m,2.0,3.5,1.1,326.0,0.3,5,COMPLETE
31,31,3.3587249911187467,2025-06-15 00:55:04.379521,2025-06-15 00:55:06.343377,0 days 00:00:01.963856,,,,,,,,,,,,,,,,,,,,,,468,0.001,4m,3.0,2.5,1.9000000000000001,94,,,,,,,,,,,,,,,364.0,0.006,2m,2.0,1.0,2.0,272.0,262.0,0.008,4m,3.5,4.0,1.2000000000000002,398.0,,,,,,,,540.0,0.004,1m,2.0,3.5,1.1,340.0,0.3,4,COMPLETE
32,32,3.050425172998324,2025-06-15 00:55:06.424892,2025-06-15 00:55:07.952703,0 days 00:00:01.527811,,,,,,,,,,,,,,,,,,,,,,356,0.001,4m,3.0,2.0,2.0,186,,,,,,,,,,,,,,,238.0,0.008,2m,1.5,1.0,1.9000000000000001,68.0,194.0,0.009000000000000001,4m,2.5,4.0,0.6,456.0,,,,,,,,,,,,,,,0.25,3,COMPLETE
33,33,4.280376600500561,2025-06-15 00:55:08.045211,2025-06-15 00:55:09.179422,0 days 00:00:01.134211,,,,,,,,,,,,,,,,,,,,,,346,0.002,4m,3.5,2.5,2.0,22,,,,,,,,,,,,,,,476.0,0.008,2m,1.0,1.0,1.9000000000000001,172.0,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
34,34,-1.3917862469104505,2025-06-15 00:55:09.266935,2025-06-15 00:55:10.351003,0 days 00:00:01.084068,,,,,,,,,,,,,,,,,,,,,,338,0.002,4m,3.5,2.0,1.9000000000000001,60,,,,,,,,,,,,,,,608.0,0.008,2m,1.0,1.0,1.9000000000000001,178.0,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
35,35,-1.482756792225258,2025-06-15 00:55:10.447537,2025-06-15 00:55:12.140091,0 days 00:00:01.692554,,,,,,,,,,,,,,,,,,,,,,272,0.003,4m,3.5,2.0,1.9000000000000001,98,,,,,,,,,,,,,,,506.0,0.008,2m,1.0,1.0,1.8,266.0,254.0,0.009000000000000001,4m,3.5,2.5,1.2000000000000002,454.0,,,,,,,,,,,,,,,0.2,3,COMPLETE
36,36,-8.041900460554649,2025-06-15 00:55:12.219117,2025-06-15 00:55:14.330451,0 days 00:00:02.111334,,,,,,,,,,,,,,,,,,,,,,346,0.002,4m,4.0,2.5,1.7000000000000002,22,,,,,,,,,,,,,,,726.0,0.009000000000000001,2m,1.5,1.0,1.9000000000000001,390.0,172.0,0.01,4m,1.5,2.0,1.7000000000000002,634.0,,,,,,,,318.0,0.002,2m,2.0,4.0,0.6,510.0,0.35000000000000003,4,COMPLETE
37,37,-2.8865168826837886,2025-06-15 00:55:14.392966,2025-06-15 00:55:15.554647,0 days 00:00:01.161681,,,,,,,,,,,,,,,,,,,,,,514,0.007,4m,3.0,1.5,2.0,194,,,,,,,,,,,,,,,386.0,0.008,3m,1.0,1.0,1.9000000000000001,174.0,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
38,38,-0.7732683770789873,2025-06-15 00:55:15.624163,2025-06-15 00:55:17.655578,0 days 00:00:02.031415,,,,,,,,,,,,,,,,,,,,,,234,0.004,4m,1.0,2.0,1.9000000000000001,102,,,,,,,,,,,,,,,244.0,0.009000000000000001,2m,2.0,1.5,1.7000000000000002,64.0,38.0,0.007,4m,4.0,3.5,1.3,392.0,,,,,,,,184.0,0.005,4m,1.5,3.5,0.7,396.0,0.25,4,COMPLETE
39,39,2.004754500132475,2025-06-15 00:55:17.732598,2025-06-15 00:55:18.978345,0 days 00:00:01.245747,,,,,,,,,,,,,,,,,,,,,,132,0.003,4m,4.0,2.5,1.8,28,,,,,,,,,,,,,,,1004.0,0.007,2m,1.5,1.0,1.8,230.0,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
40,40,-0.4537000363741517,2025-06-15 00:55:19.046350,2025-06-15 00:55:21.093981,0 days 00:00:02.047631,,,,,,,,,,,,,,,,,,,,,,324,0.001,1m,3.5,1.0,1.6,350,,,,,,,,,,,,,,,484.0,0.007,4m,3.0,1.5,1.3,636.0,230.0,0.009000000000000001,4m,2.5,2.0,2.0,326.0,,,,,,,,16.0,0.003,2m,1.0,4.0,1.1,746.0,0.45,4,COMPLETE
41,41,0.7741968935153254,2025-06-15 00:55:21.170984,2025-06-15 00:55:22.859807,0 days 00:00:01.688823,,,,,,,,,,,,,,,,,,,,,,476,0.001,4m,3.0,2.0,2.0,190,,,,,,,,,,,,,,,350.0,0.008,1m,1.5,1.5,2.0,98.0,120.0,0.006,4m,3.0,4.0,0.9,84.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
42,42,2.5649064322667146,2025-06-15 00:55:22.941318,2025-06-15 00:55:24.118531,0 days 00:00:01.177213,,,,,,,,,,,,,,,,,,,,,,558,0.002,2m,3.0,2.5,2.0,276,,,,,,,,,,,,,,,302.0,0.005,2m,1.5,1.0,2.0,18.0,,,,,,,,,,,,,,,,,,,,,,0.2,2,COMPLETE
43,43,-0.6365667656549068,2025-06-15 00:55:24.204483,2025-06-15 00:55:25.543988,0 days 00:00:01.339505,,,,,,,,,,,,,,,,,,,,,,370,0.01,4m,3.0,1.5,1.9000000000000001,120,,,,,,,,,,,,,,,580.0,0.009000000000000001,3m,1.0,1.5,1.9000000000000001,86.0,298.0,0.005,4m,2.5,4.0,0.7,504.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
44,44,-7.294707437127433,2025-06-15 00:55:25.622493,2025-06-15 00:55:28.286308,0 days 00:00:02.663815,,,,,,,,986.0,0.002,3m,2.0,1.5,0.9,994.0,,,,,,,,298,0.001,3m,2.5,2.5,1.8,220,,,,,,,,,,,,,,,188.0,0.006,2m,2.5,2.0,1.8,150.0,552.0,0.007,3m,3.0,3.5,0.6,190.0,,,,,,,,700.0,0.001,3m,2.5,3.0,1.2000000000000002,274.0,0.35000000000000003,5,COMPLETE
45,45,2.4887359019797053,2025-06-15 00:55:28.344308,2025-06-15 00:55:30.379138,0 days 00:00:02.034830,,,,,,,,,,,,,,,,,,,,,,420,0.001,2m,3.0,2.0,2.0,312,,,,,,,,,,,,,,,422.0,0.008,1m,1.5,1.0,2.0,76.0,448.0,0.008,4m,2.5,3.0,1.2000000000000002,1000.0,,,,,,,,398.0,0.002,3m,1.5,3.5,0.8,218.0,0.25,4,COMPLETE
46,46,-7.736848145037597,2025-06-15 00:55:30.453137,2025-06-15 00:55:32.076540,0 days 00:00:01.623403,,,,,,,,,,,,,,,,,,,,,,602,0.002,4m,3.0,3.0,1.7000000000000002,86,,,,,,,,,,,,,,,328.0,0.007,4m,2.0,1.5,1.7000000000000002,188.0,226.0,0.002,2m,1.0,4.0,1.9000000000000001,262.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
47,47,-0.14273573982425283,2025-06-15 00:55:32.151047,2025-06-15 00:55:32.791678,0 days 00:00:00.640631,,,,,,,,,,,,,,,,,,,,,,468,0.001,2m,2.0,2.0,1.9000000000000001,798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
48,48,-14.5169220477052,2025-06-15 00:55:32.863682,2025-06-15 00:55:35.350130,0 days 00:00:02.486448,,,,,,,,684.0,0.009000000000000001,2m,1.0,1.5,1.2000000000000002,886.0,,,,,,,,234,0.003,1m,3.5,2.5,1.9000000000000001,58,,,,,,,,,,,,,,,410.0,0.003,2m,2.5,1.0,1.9000000000000001,942.0,88.0,0.009000000000000001,3m,3.5,3.5,1.0,426.0,,,,,,,,830.0,0.004,4m,3.0,2.5,1.4,290.0,0.35000000000000003,5,COMPLETE
49,49,-6.91176227525272,2025-06-15 00:55:35.423645,2025-06-15 00:55:39.015177,0 days 00:00:03.591532,,,,,,,,786.0,0.003,4m,4.0,1.0,1.8,644.0,270.0,0.001,1m,4.0,2.5,0.6,678.0,548,0.004,2m,4.0,1.5,1.6,166,,,,,,,,,,,,,,,260.0,0.009000000000000001,2m,1.0,1.5,1.5,806.0,362.0,0.006,4m,3.0,3.0,1.5,728.0,990.0,0.003,2m,4.0,2.5,1.0,768.0,542.0,0.001,1m,2.0,1.5,1.2000000000000002,74.0,0.3,7,COMPLETE
50,50,-2.892362938360006,2025-06-15 00:55:39.108697,2025-06-15 00:55:40.069354,0 days 00:00:00.960657,,,,,,,,,,,,,,,,,,,,,,900,0.002,4m,3.0,3.0,0.5,384,,,,,,,,,,,,,,,96.0,0.005,1m,1.5,2.0,1.0,448.0,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
51,51,1.3527638145848193,2025-06-15 00:55:40.152861,2025-06-15 00:55:41.238902,0 days 00:00:01.086041,,,,,,,,,,,,,,,,,,,,,,526,0.002,2m,2.5,2.5,2.0,288,,,,,,,,,,,,,,,294.0,0.005,2m,1.5,1.0,2.0,16.0,,,,,,,,,,,,,,,,,,,,,,0.2,2,COMPLETE
52,52,2.6105165664996406,2025-06-15 00:55:41.348422,2025-06-15 00:55:42.466620,0 days 00:00:01.118198,,,,,,,,,,,,,,,,,,,,,,482,0.001,2m,3.0,2.5,2.0,226,,,,,,,,,,,,,,,188.0,0.004,2m,2.0,1.0,2.0,56.0,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
53,53,0.7345889221758968,2025-06-15 00:55:42.558130,2025-06-15 00:55:43.230756,0 days 00:00:00.672626,,,,,,,,,,,,,,,,,,,,,,368,0.001,2m,3.5,2.5,2.0,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
54,54,4.54317443532178,2025-06-15 00:55:43.304279,2025-06-15 00:55:44.701054,0 days 00:00:01.396775,,,,,,,,,,,,,,,,,,,,,,484,0.001,2m,2.5,3.0,1.9000000000000001,190,,,,,,,,,,,,,,,200.0,0.004,2m,2.0,1.0,1.9000000000000001,62.0,190.0,0.008,2m,2.5,4.0,0.8,924.0,,,,,,,,,,,,,,,0.25,3,COMPLETE
55,55,-3.9657303081402686,2025-06-15 00:55:44.774064,2025-06-15 00:55:46.937422,0 days 00:00:02.163358,,,,,,,,,,,,,,,,,,,,,,420,0.001,2m,2.0,3.0,1.8,132,,,,,,,,,,,,,,,16.0,0.004,2m,2.0,1.5,1.9000000000000001,248.0,172.0,0.008,2m,2.5,4.0,0.8,912.0,,,,,,,,650.0,0.003,2m,2.5,3.0,0.9,592.0,0.3,4,COMPLETE
56,56,3.7527012736932224,2025-06-15 00:55:47.021930,2025-06-15 00:55:48.691000,0 days 00:00:01.669070,,,,,,,,,,,,,,,,,,,,,,588,0.002,2m,2.5,3.5,1.7000000000000002,640,,,,,,,,,,,,,,,358.0,0.006,2m,2.5,1.0,1.8,132.0,288.0,0.009000000000000001,2m,2.5,4.0,0.7,894.0,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
57,57,-2.839043391517985,2025-06-15 00:55:48.763511,2025-06-15 00:55:50.131346,0 days 00:00:01.367835,,,,,,,,,,,,,,,,,,,,,,658,0.003,3m,2.5,3.5,1.7000000000000002,676,,,,,,,,,,,,,,,376.0,0.006,2m,2.5,1.0,1.8,122.0,288.0,0.009000000000000001,2m,2.0,3.5,0.7,928.0,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
58,58,-7.2724128016238305,2025-06-15 00:55:50.212363,2025-06-15 00:55:52.381137,0 days 00:00:02.168774,,,,,,,,,,,,,,,,,,,,,,712,0.002,2m,2.5,3.0,1.5,746,,,,,,,,,,,,,,,448.0,0.007,2m,3.0,1.0,1.6,214.0,118.0,0.01,2m,2.5,4.0,0.9,854.0,,,,,,,,96.0,0.01,1m,1.5,4.0,1.0,794.0,0.35000000000000003,4,COMPLETE
59,59,2.503964334868956,2025-06-15 00:55:52.472650,2025-06-15 00:55:53.902626,0 days 00:00:01.429976,,,,,,,,,,,,,,,,,,,,,,590,0.002,4m,2.0,3.5,1.6,910,,,,,,,,,,,,,,,136.0,0.007,2m,2.5,1.0,1.9000000000000001,148.0,206.0,0.009000000000000001,2m,2.5,4.0,0.6,850.0,,,,,,,,,,,,,,,0.4,3,COMPLETE
60,60,-1.1436829667580575,2025-06-15 00:55:53.953626,2025-06-15 00:55:55.559356,0 days 00:00:01.605730,,,,,,,,,,,,,,,,,,,,,,536,0.008,2m,2.5,3.0,1.8,630,,,,,,,,,,,,,,,238.0,0.006,2m,2.5,1.0,1.7000000000000002,264.0,342.0,0.008,2m,2.0,1.0,0.8,794.0,,,,,,,,,,,,,,,0.25,3,COMPLETE
61,61,-9.114603538903383,2025-06-15 00:55:55.639869,2025-06-15 00:55:58.640393,0 days 00:00:03.000524,,,,,,,,590.0,0.008,4m,1.0,2.0,0.9,384.0,176.0,0.003,2m,2.0,1.5,1.1,282.0,454,0.001,2m,2.5,4.0,1.9000000000000001,450,,,,,,,,,,,,,,,376.0,0.004,2m,2.0,1.5,2.0,116.0,262.0,0.007,2m,2.5,4.0,0.5,972.0,,,,,,,,914.0,0.005,3m,2.5,3.5,1.7000000000000002,220.0,0.3,6,COMPLETE
62,62,6.238711029766364,2025-06-15 00:55:58.701181,2025-06-15 00:56:00.249278,0 days 00:00:01.548097,,,,,,,,,,,,,,,,,,,,,,416,0.001,2m,3.0,3.5,1.9000000000000001,192,,,,,,,,,,,,,,,334.0,0.003,1m,1.5,1.0,1.9000000000000001,76.0,194.0,0.004,2m,3.0,4.0,0.7,680.0,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
63,63,7.669896230518251,2025-06-15 00:56:00.311793,2025-06-15 00:56:01.933635,0 days 00:00:01.621842,,,,,,,,,,,,,,,,,,,,,,630,0.002,2m,2.5,3.5,1.7000000000000002,182,,,,,,,,,,,,,,,318.0,0.002,3m,1.5,1.0,1.8,64.0,180.0,0.004,2m,3.0,4.0,0.8,670.0,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
64,64,-3.2800010344526593,2025-06-15 00:56:02.003159,2025-06-15 00:56:03.822519,0 days 00:00:01.819360,,,,,,,,,,,,,,,,,,,,,,632,0.003,2m,2.5,3.5,1.7000000000000002,592,,,,,,,,,,,,,,,916.0,0.002,3m,2.0,1.0,1.8,52.0,70.0,0.004,2m,3.0,4.0,1.0,698.0,,,,,,,,246.0,0.004,4m,2.0,1.5,1.4,540.0,0.45,4,COMPLETE
65,65,2.087159195370231,2025-06-15 00:56:03.912031,2025-06-15 00:56:05.070715,0 days 00:00:01.158684,,,,,,,,,,,,,,,,,,,,,,504,0.002,2m,1.5,3.5,1.7000000000000002,72,,,,,,,,,,,,,,,558.0,0.003,3m,3.0,1.0,1.7000000000000002,166.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
66,66,2.6877138979740214,2025-06-15 00:56:05.135234,2025-06-15 00:56:06.732373,0 days 00:00:01.597139,,,,,,,,,,,,,,,,,,,,,,712,0.002,2m,2.5,3.5,1.5,36,,,,,,,,,,,,,,,500.0,0.001,3m,2.0,3.0,1.8,128.0,122.0,0.003,2m,3.5,3.5,0.8,810.0,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
67,67,-7.171704774853104,2025-06-15 00:56:06.807886,2025-06-15 00:56:09.150637,0 days 00:00:02.342751,,,,,,,,802.0,0.001,3m,1.5,1.0,0.5,54.0,,,,,,,,786,0.003,2m,2.5,3.5,1.8,518,,,,,,,,,,,,,,,324.0,0.003,3m,1.0,1.0,0.6,340.0,18.0,0.004,2m,3.0,3.5,1.1,924.0,,,,,,,,378.0,0.008,1m,3.0,3.0,0.5,416.0,0.4,5,COMPLETE
68,68,0.5359824675088574,2025-06-15 00:56:09.229662,2025-06-15 00:56:11.292528,0 days 00:00:02.062866,,,,,,,,,,,,,,,,,,,,,,572,0.004,2m,2.0,3.0,1.8,740,,,,,,,,,,,,,,,430.0,0.002,1m,3.5,1.5,1.6,46.0,376.0,0.003,2m,4.0,4.0,0.7,626.0,,,,,,,,1006.0,0.009000000000000001,2m,1.0,3.5,0.8,1012.0,0.35000000000000003,4,COMPLETE
69,69,1.2174946870309453,2025-06-15 00:56:11.364528,2025-06-15 00:56:12.816789,0 days 00:00:01.452261,,,,,,,,,,,,,,,,,,,,,,402,0.002,2m,2.0,3.5,1.4,168,,,,,,,,,,,,,,,356.0,0.003,4m,4.0,1.0,1.9000000000000001,100.0,328.0,0.002,2m,3.5,1.5,0.9,744.0,,,,,,,,,,,,,,,0.4,3,COMPLETE
70,70,0.16929942560861488,2025-06-15 00:56:12.895303,2025-06-15 00:56:14.081010,0 days 00:00:01.185707,,,,,,,,,,,,,,,,,,,,,,628,0.001,1m,2.5,3.5,1.9000000000000001,318,,,,,,,,,,,,,,,464.0,0.002,3m,2.5,4.0,1.8,206.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
71,71,3.6550688403821083,2025-06-15 00:56:14.168529,2025-06-15 00:56:15.852034,0 days 00:00:01.683505,,,,,,,,,,,,,,,,,,,,,,354,0.001,4m,3.0,3.0,1.9000000000000001,196,,,,,,,,,,,,,,,222.0,0.01,2m,1.5,1.0,1.9000000000000001,68.0,192.0,0.004,2m,2.5,4.0,0.6,560.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
72,72,5.925783924986549,2025-06-15 00:56:15.916544,2025-06-15 00:56:17.343411,0 days 00:00:01.426867,,,,,,,,,,,,,,,,,,,,,,398,0.001,2m,2.5,3.0,1.9000000000000001,134,,,,,,,,,,,,,,,204.0,0.01,2m,1.5,1.0,1.9000000000000001,88.0,162.0,0.004,2m,3.0,4.0,0.7,538.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
73,73,-0.17204412094222057,2025-06-15 00:56:17.408926,2025-06-15 00:56:18.016522,0 days 00:00:00.607596,,,,,,,,,,,,,,,,,,,,,,298,0.001,2m,2.5,3.0,1.6,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
74,74,0.8685460098288431,2025-06-15 00:56:18.097049,2025-06-15 00:56:19.770347,0 days 00:00:01.673298,,,,,,,,,,,,,,,,,,,,,,320,0.002,2m,2.5,3.0,1.7000000000000002,138,,,,,,,,,,,,,,,174.0,0.01,2m,1.5,1.0,1.9000000000000001,42.0,146.0,0.004,2m,3.0,4.0,0.7,534.0,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
75,75,8.108414574603474,2025-06-15 00:56:19.840859,2025-06-15 00:56:21.043074,0 days 00:00:01.202215,,,,,,,,,,,,,,,,,,,,,,430,0.001,2m,2.5,3.0,1.9000000000000001,246,,,,,,,,,,,,,,,222.0,0.01,1m,1.5,1.0,1.8,84.0,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
76,76,-0.789886308451513,2025-06-15 00:56:21.103334,2025-06-15 00:56:22.021666,0 days 00:00:00.918332,,,,,,,,,,,,,,,,,,,,,,406,0.002,2m,2.5,3.5,1.8,166,,,,,,,,,,,,,,,200.0,0.01,1m,1.0,1.0,1.7000000000000002,98.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
77,77,2.729125755763375,2025-06-15 00:56:22.073668,2025-06-15 00:56:23.171313,0 days 00:00:01.097645,,,,,,,,,,,,,,,,,,,,,,676,0.001,2m,2.0,4.0,1.9000000000000001,246,,,,,,,,,,,,,,,154.0,0.009000000000000001,1m,1.5,1.5,1.8,156.0,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
78,78,2.0709800403294003,2025-06-15 00:56:23.243335,2025-06-15 00:56:23.917065,0 days 00:00:00.673730,,,,,,,,,,,,,,,,,,,,,,488,0.003,2m,2.0,3.5,1.2000000000000002,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
79,79,-6.262814079850129,2025-06-15 00:56:23.993577,2025-06-15 00:56:25.197849,0 days 00:00:01.204272,,,,,,,,,,,,,,,,,,,,,,744,0.002,2m,2.5,3.0,1.7000000000000002,356,,,,,,,,,,,,,,,108.0,0.01,1m,1.5,1.0,1.4,132.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
80,80,-0.31118768704054733,2025-06-15 00:56:25.260364,2025-06-15 00:56:26.736931,0 days 00:00:01.476567,,,,,,,,,,,,,,,,,,,,,,432,0.001,2m,2.5,3.5,1.8,302,,,,,,,,,,,,,,,282.0,0.009000000000000001,1m,1.0,1.5,1.8,34.0,90.0,0.005,2m,3.0,3.5,0.8,696.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
81,81,5.686097891577323,2025-06-15 00:56:26.802464,2025-06-15 00:56:28.319572,0 days 00:00:01.517108,,,,,,,,,,,,,,,,,,,,,,378,0.001,2m,2.5,3.0,1.9000000000000001,258,,,,,,,,,,,,,,,212.0,0.01,2m,1.5,1.0,1.9000000000000001,74.0,172.0,0.004,2m,2.5,4.0,0.6,572.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
82,82,-0.46904512076084964,2025-06-15 00:56:28.387576,2025-06-15 00:56:30.132473,0 days 00:00:01.744897,,,,,,,,,,,,,,,,,,,,,,392,0.001,2m,2.5,3.0,1.9000000000000001,244,,,,,,,,,,,,,,,258.0,0.01,2m,1.5,1.0,1.9000000000000001,82.0,160.0,0.003,2m,3.0,4.0,0.7,600.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
83,83,1.9258158991766274,2025-06-15 00:56:30.203975,2025-06-15 00:56:32.084012,0 days 00:00:01.880037,,,,,,,,,,,,,,,,,,,,,,454,0.002,2m,2.5,3.0,2.0,266,,,,,,,,,,,,,,,310.0,0.01,1m,1.5,1.0,2.0,108.0,214.0,0.003,2m,2.5,4.0,0.7,662.0,,,,,,,,98.0,0.008,4m,3.0,1.0,1.6,934.0,0.25,4,COMPLETE
84,84,-0.4571979989452068,2025-06-15 00:56:32.139043,2025-06-15 00:56:33.764361,0 days 00:00:01.625318,,,,,,,,,,,,,,,,,,,,,,270,0.001,2m,2.5,3.5,1.9000000000000001,400,,,,,,,,,,,,,,,160.0,0.009000000000000001,2m,1.5,1.0,1.8,76.0,980.0,0.001,2m,3.0,3.5,0.6,890.0,,,,,,,,,,,,,,,0.4,3,COMPLETE
85,85,-1.5020404373828486,2025-06-15 00:56:33.825873,2025-06-15 00:56:34.940570,0 days 00:00:01.114697,,,,,,,,,,,,,,,,,,,,,,376,0.002,2m,2.5,3.0,1.8,464,,,,,,,,,,,,,,,224.0,0.01,2m,1.0,1.0,1.9000000000000001,186.0,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
86,86,-4.548838526440994,2025-06-15 00:56:35.001099,2025-06-15 00:56:39.643302,0 days 00:00:04.642203,984.0,0.003,3m,4.0,2.5,1.0,128.0,486.0,0.003,2m,1.5,1.5,1.0,392.0,492.0,0.002,3m,1.5,2.0,1.3,498.0,514,0.001,3m,2.5,3.5,2.0,118,726.0,0.004,3m,3.5,3.5,0.9,664.0,1022.0,0.001,2m,4.0,1.0,0.5,24.0,208.0,0.004,4m,1.5,1.0,2.0,142.0,140.0,0.005,2m,2.0,4.0,0.5,502.0,824.0,0.001,1m,2.5,3.0,1.4,324.0,936.0,0.01,2m,3.5,1.5,1.9000000000000001,816.0,0.35000000000000003,10,COMPLETE
87,87,0.7887588473911783,2025-06-15 00:56:39.707811,2025-06-15 00:56:43.993007,0 days 00:00:04.285196,198.0,0.003,2m,3.5,3.0,1.5,342.0,1008.0,0.002,3m,2.5,4.0,0.6,114.0,404.0,0.005,3m,1.0,2.5,1.5,22.0,318,0.005,2m,3.0,3.0,1.6,336,306.0,0.008,1m,1.5,1.5,1.7000000000000002,230.0,,,,,,,,408.0,0.003,1m,1.5,1.5,1.7000000000000002,42.0,252.0,0.004,2m,2.5,4.0,0.8,962.0,498.0,0.002,3m,3.5,4.0,0.8,34.0,782.0,0.009000000000000001,4m,2.5,1.0,1.5,492.0,0.25,9,COMPLETE
88,88,0.9156687587260771,2025-06-15 00:56:44.065490,2025-06-15 00:56:45.102193,0 days 00:00:01.036703,,,,,,,,,,,,,,,,,,,,,,430,0.001,2m,2.0,4.0,2.0,174,,,,,,,,,,,,,,,270.0,0.001,2m,2.0,1.0,1.8,18.0,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
89,89,-0.02384423978998878,2025-06-15 00:56:45.164193,2025-06-15 00:56:45.825836,0 days 00:00:00.661643,,,,,,,,,,,,,,,,,,,,,,566,0.006,1m,2.5,3.5,0.9,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
90,90,3.416612818997737,2025-06-15 00:56:45.892842,2025-06-15 00:56:47.443590,0 days 00:00:01.550748,,,,,,,,,,,,,,,,,,,,,,348,0.001,2m,2.5,2.5,1.8,152,,,,,,,,,,,,,,,320.0,0.01,3m,1.0,1.0,1.9000000000000001,104.0,98.0,0.004,2m,3.0,4.0,0.9,798.0,,,,,,,,,,,,,,,0.05,3,COMPLETE
