,number,value,datetime_start,datetime_complete,duration,params_ABNB_KDP_beta_win,params_ABNB_KDP_stop_loss,params_ABNB_KDP_trade_freq,params_ABNB_KDP_z_entry,params_ABNB_KDP_z_exit,params_ABNB_KDP_z_stop_scaler,params_ABNB_KDP_z_win,params_ADSK_KLAC_beta_win,params_ADSK_KLAC_stop_loss,params_ADSK_KLAC_trade_freq,params_ADSK_KLAC_z_entry,params_ADSK_KLAC_z_exit,params_ADSK_KLAC_z_stop_scaler,params_ADSK_KLAC_z_win,params_CTAS_PAYX_beta_win,params_CTAS_PAYX_stop_loss,params_CTAS_PAYX_trade_freq,params_CTAS_PAYX_z_entry,params_CTAS_PAYX_z_exit,params_CTAS_PAYX_z_stop_scaler,params_CTAS_PAYX_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_ILMN_KDP_beta_win,params_ILMN_KDP_stop_loss,params_ILMN_KDP_trade_freq,params_ILMN_KDP_z_entry,params_ILMN_KDP_z_exit,params_ILMN_KDP_z_stop_scaler,params_ILMN_KDP_z_win,params_NTES_EA_beta_win,params_NTES_EA_stop_loss,params_NTES_EA_trade_freq,params_NTES_EA_z_entry,params_NTES_EA_z_exit,params_NTES_EA_z_stop_scaler,params_NTES_EA_z_win,params_TSLA_DXCM_beta_win,params_TSLA_DXCM_stop_loss,params_TSLA_DXCM_trade_freq,params_TSLA_DXCM_z_entry,params_TSLA_DXCM_z_exit,params_TSLA_DXCM_z_stop_scaler,params_TSLA_DXCM_z_win,params_TSLA_VRSK_beta_win,params_TSLA_VRSK_stop_loss,params_TSLA_VRSK_trade_freq,params_TSLA_VRSK_z_entry,params_TSLA_VRSK_z_exit,params_TSLA_VRSK_z_stop_scaler,params_TSLA_VRSK_z_win,params_WDAY_KDP_beta_win,params_WDAY_KDP_stop_loss,params_WDAY_KDP_trade_freq,params_WDAY_KDP_z_entry,params_WDAY_KDP_z_exit,params_WDAY_KDP_z_stop_scaler,params_WDAY_KDP_z_win,params_ZM_BIIB_beta_win,params_ZM_BIIB_stop_loss,params_ZM_BIIB_trade_freq,params_ZM_BIIB_z_entry,params_ZM_BIIB_z_exit,params_ZM_BIIB_z_stop_scaler,params_ZM_BIIB_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,0.31125569762931365,2025-06-15 00:53:46.648680,2025-06-15 00:53:47.267812,0 days 00:00:00.619132,,,,,,,,,,,,,,,,,,,,,,640,0.001,4m,2.5,4.0,1.6,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
11,11,2.8335160096968655,2025-06-15 00:53:47.337816,2025-06-15 00:53:50.532647,0 days 00:00:03.194831,,,,,,,,334.0,0.01,1m,4.0,3.0,1.6,768.0,1006.0,0.01,4m,4.0,4.0,0.5,988.0,436,0.001,2m,3.0,4.0,2.0,280,,,,,,,,,,,,,,,336.0,0.004,1m,1.5,1.5,2.0,90.0,752.0,0.005,3m,3.0,4.0,0.5,32.0,90.0,0.01,4m,4.0,1.0,2.0,926.0,600.0,0.001,3m,4.0,2.5,2.0,22.0,0.3,7,COMPLETE
12,12,-0.9272344167959093,2025-06-15 00:53:50.617161,2025-06-15 00:53:53.976079,0 days 00:00:03.358918,,,,,,,,318.0,0.01,1m,4.0,3.0,1.6,804.0,972.0,0.01,4m,4.0,4.0,0.5,968.0,710,0.001,2m,3.0,4.0,1.0,220,,,,,,,,,,,,,,,374.0,0.004,1m,1.5,1.0,1.5,50.0,706.0,0.004,1m,3.0,4.0,0.5,86.0,18.0,0.01,4m,4.0,1.0,2.0,964.0,586.0,0.001,3m,4.0,2.5,1.9000000000000001,22.0,0.2,7,COMPLETE
13,13,5.224325794513031,2025-06-15 00:53:54.047604,2025-06-15 00:53:57.751010,0 days 00:00:03.703406,50.0,0.009000000000000001,3m,1.0,1.0,1.8,30.0,266.0,0.001,1m,4.0,2.5,1.6,734.0,726.0,0.01,4m,4.0,4.0,0.5,966.0,438,0.003,2m,2.5,3.5,1.6,454,,,,,,,,,,,,,,,412.0,0.004,2m,1.5,1.5,2.0,72.0,772.0,0.004,4m,3.0,4.0,0.7,156.0,154.0,0.01,4m,4.0,1.0,2.0,1010.0,616.0,0.001,3m,4.0,2.5,2.0,36.0,0.35000000000000003,8,COMPLETE
14,14,0.6624150544474888,2025-06-15 00:53:57.828014,2025-06-15 00:54:01.188929,0 days 00:00:03.360915,,,,,,,,302.0,0.001,1m,4.0,2.0,2.0,700.0,678.0,0.01,1m,4.0,2.0,0.5,24.0,776,0.003,2m,3.0,3.0,1.6,1018,,,,,,,,,,,,,,,404.0,0.002,1m,1.0,1.5,2.0,246.0,508.0,0.004,4m,3.5,4.0,0.8,70.0,36.0,0.01,1m,4.0,2.0,2.0,1024.0,412.0,0.001,3m,3.5,2.5,1.3,468.0,0.35000000000000003,7,COMPLETE
15,15,-2.1533232125477966,2025-06-15 00:54:01.256444,2025-06-15 00:54:06.183398,0 days 00:00:04.926954,66.0,0.01,3m,1.0,2.5,1.9000000000000001,28.0,660.0,0.001,1m,4.0,2.5,1.4,662.0,684.0,0.008,4m,3.5,2.5,0.8,744.0,500,0.003,2m,2.0,3.5,1.7000000000000002,486,954.0,0.005,1m,1.0,1.0,1.5,1008.0,1000.0,0.001,3m,1.0,4.0,1.9000000000000001,1012.0,430.0,0.005,1m,2.0,1.5,1.1,202.0,576.0,0.005,4m,3.0,4.0,0.8,218.0,956.0,0.001,4m,3.0,4.0,1.5,840.0,728.0,0.003,3m,3.5,4.0,1.6,438.0,0.35000000000000003,10,COMPLETE
16,16,-0.6490832165317587,2025-06-15 00:54:06.306922,2025-06-15 00:54:11.751040,0 days 00:00:05.444118,,,,,,,,272.0,0.008,1m,3.5,3.0,1.8,936.0,64.0,0.001,4m,2.5,4.0,0.9,1016.0,572,0.006,2m,3.5,3.5,2.0,166,,,,,,,,,,,,,,,538.0,0.005,2m,2.0,1.5,1.2000000000000002,372.0,814.0,0.001,4m,3.0,1.0,0.5,36.0,,,,,,,,762.0,0.002,3m,1.0,2.5,2.0,18.0,0.4,6,COMPLETE
17,17,0.7618702479025002,2025-06-15 00:54:11.854554,2025-06-15 00:54:17.497859,0 days 00:00:05.643305,20.0,0.01,3m,4.0,2.0,2.0,18.0,728.0,0.004,2m,1.5,2.0,0.9,608.0,700.0,0.008,1m,3.5,3.0,0.9,730.0,442,0.002,2m,2.0,3.0,1.7000000000000002,426,,,,,,,,,,,,,,,340.0,0.003,1m,2.0,2.0,0.5,122.0,392.0,0.004,3m,2.0,2.5,0.9,196.0,166.0,0.009000000000000001,4m,3.0,1.0,1.2000000000000002,226.0,438.0,0.003,3m,3.5,1.0,0.9,172.0,0.25,8,COMPLETE
18,18,-1.1865466757158594,2025-06-15 00:54:17.568368,2025-06-15 00:54:21.842738,0 days 00:00:04.274370,904.0,0.007,2m,1.0,4.0,1.4,1004.0,438.0,0.004,1m,3.5,3.0,1.7000000000000002,824.0,804.0,0.01,2m,4.0,3.5,0.7,810.0,804,0.006,2m,3.5,3.5,1.5,412,192.0,0.01,2m,1.0,1.0,0.5,58.0,,,,,,,,666.0,0.006,2m,1.0,1.0,2.0,404.0,672.0,0.003,3m,3.5,4.0,0.7,162.0,274.0,0.008,3m,3.5,2.0,0.5,792.0,776.0,0.001,3m,3.0,3.0,1.5,634.0,0.35000000000000003,9,COMPLETE
19,19,-4.313917476512144,2025-06-15 00:54:21.900244,2025-06-15 00:54:24.834430,0 days 00:00:02.934186,,,,,,,,208.0,0.01,1m,3.0,2.0,1.3,496.0,496.0,0.006,3m,3.0,2.0,1.0,562.0,20,0.005,1m,2.5,4.0,2.0,596,,,,,,,,,,,,,,,284.0,0.001,2m,4.0,2.0,1.7000000000000002,26.0,860.0,0.005,4m,3.5,3.5,1.8,346.0,,,,,,,,316.0,0.003,3m,2.5,2.0,1.0,368.0,0.25,6,COMPLETE
20,20,-5.506141496647673,2025-06-15 00:54:24.907946,2025-06-15 00:54:28.502748,0 days 00:00:03.594802,286.0,0.005,3m,2.5,1.0,1.7000000000000002,240.0,440.0,0.008,1m,2.5,4.0,1.1,820.0,830.0,0.008,4m,2.0,3.5,0.5,176.0,400,0.002,2m,3.0,2.5,1.8,146,,,,,,,,,,,,,,,76.0,0.003,1m,1.5,2.0,1.4,292.0,640.0,0.006,3m,2.0,2.5,0.5,308.0,404.0,0.004,1m,4.0,1.5,1.7000000000000002,368.0,604.0,0.007,3m,4.0,3.0,1.8,684.0,0.4,8,COMPLETE
21,21,-6.265074563400257,2025-06-15 00:54:28.584931,2025-06-15 00:54:32.483839,0 days 00:00:03.898908,328.0,0.007,1m,1.5,1.0,1.3,630.0,150.0,0.006,1m,3.0,3.5,1.5,62.0,970.0,0.009000000000000001,4m,3.5,4.0,1.9000000000000001,902.0,446,0.001,4m,2.5,4.0,1.4,274,,,,,,,,,,,,,,,228.0,0.004,2m,1.5,1.0,1.7000000000000002,132.0,858.0,0.01,1m,3.0,3.5,0.7,588.0,196.0,0.008,4m,1.0,1.0,2.0,828.0,636.0,0.006,1m,4.0,2.0,2.0,120.0,0.15000000000000002,8,COMPLETE
22,22,-0.612596453837766,2025-06-15 00:54:32.553844,2025-06-15 00:54:36.868262,0 days 00:00:04.314418,258.0,0.008,1m,2.0,1.0,1.6,638.0,20.0,0.005,1m,4.0,3.5,1.5,346.0,1024.0,0.009000000000000001,4m,3.0,4.0,1.6,886.0,604,0.002,4m,2.5,4.0,1.1,442,478.0,0.001,2m,4.0,4.0,1.2000000000000002,1024.0,,,,,,,,464.0,0.004,2m,2.0,1.5,1.6,124.0,774.0,0.003,1m,2.0,4.0,0.6,560.0,142.0,0.008,4m,2.0,1.5,1.8,618.0,514.0,0.005,1m,3.5,2.0,2.0,98.0,0.15000000000000002,9,COMPLETE
23,23,-0.8880473030004816,2025-06-15 00:54:36.932262,2025-06-15 00:54:40.448995,0 days 00:00:03.516733,,,,,,,,210.0,0.002,1m,3.5,3.0,1.8,592.0,838.0,0.007,4m,3.0,3.5,2.0,1010.0,168,0.003,4m,2.0,3.5,0.8,234,,,,,,,,,,,,,,,140.0,0.006,2m,1.5,2.0,2.0,18.0,900.0,0.007,1m,3.0,3.5,1.0,158.0,324.0,0.01,4m,3.5,1.0,1.8,930.0,680.0,0.007,1m,4.0,2.0,1.8,328.0,0.3,7,COMPLETE
24,24,0.2619023498200915,2025-06-15 00:54:40.541503,2025-06-15 00:54:44.381452,0 days 00:00:03.839949,404.0,0.008,2m,3.0,2.0,1.0,322.0,320.0,0.007,2m,2.5,2.5,1.4,744.0,584.0,0.009000000000000001,4m,4.0,4.0,1.1,852.0,390,0.001,2m,3.0,4.0,0.7,566,,,,,,,,,,,,,,,298.0,0.002,2m,1.0,3.5,1.8,156.0,746.0,0.005,4m,3.5,4.0,0.7,666.0,490.0,0.007,2m,1.5,1.5,1.5,462.0,868.0,0.002,2m,3.5,2.5,1.8,88.0,0.25,8,COMPLETE
25,25,0.11312916515985633,2025-06-15 00:54:44.485993,2025-06-15 00:54:47.339108,0 days 00:00:02.853115,,,,,,,,160.0,0.005,4m,3.5,3.5,1.7000000000000002,894.0,870.0,0.01,4m,3.5,3.0,0.7,606.0,506,0.002,4m,2.5,3.0,1.5,376,,,,,,,,,,,,,,,532.0,0.005,2m,2.0,2.5,1.8,326.0,424.0,0.006,1m,2.5,3.5,0.6,24.0,,,,,,,,532.0,0.004,4m,4.0,2.5,1.5,174.0,0.15000000000000002,6,COMPLETE
26,26,1.6414093404860781,2025-06-15 00:54:47.403644,2025-06-15 00:54:51.886474,0 days 00:00:04.482830,780.0,0.005,4m,1.5,1.5,1.6,192.0,374.0,0.009000000000000001,3m,2.0,2.5,0.5,194.0,762.0,0.007,2m,3.0,3.5,1.5,934.0,300,0.004,1m,1.5,3.5,1.1,150,1004.0,0.006,4m,2.5,2.5,1.2000000000000002,738.0,,,,,,,,130.0,0.004,1m,1.5,3.5,1.1,96.0,648.0,0.003,4m,2.0,4.0,0.9,480.0,162.0,0.009000000000000001,4m,3.0,1.0,1.8,718.0,448.0,0.008,1m,3.5,1.0,1.7000000000000002,22.0,0.4,9,COMPLETE
27,27,-0.2051512699602613,2025-06-15 00:54:51.984009,2025-06-15 00:54:57.002202,0 days 00:00:05.018193,116.0,0.009000000000000001,1m,1.5,3.0,1.1,492.0,534.0,0.002,1m,4.0,3.0,1.4,464.0,1022.0,0.009000000000000001,3m,2.0,1.0,1.2000000000000002,644.0,668,0.003,3m,3.5,4.0,1.8,264,402.0,0.006,1m,2.0,2.0,2.0,22.0,46.0,0.01,1m,2.5,3.5,2.0,822.0,274.0,0.002,4m,1.0,2.5,1.6,466.0,484.0,0.01,3m,3.0,3.5,0.5,252.0,246.0,0.004,4m,3.5,2.0,2.0,920.0,842.0,0.002,3m,3.0,2.0,2.0,1022.0,0.1,10,COMPLETE
28,28,-6.189165920254223,2025-06-15 00:54:57.069720,2025-06-15 00:55:00.995022,0 days 00:00:03.925302,466.0,0.006,3m,2.5,1.5,1.8,772.0,218.0,0.004,1m,3.0,4.0,2.0,560.0,586.0,0.004,1m,3.5,4.0,0.7,400.0,206,0.002,2m,2.5,3.5,1.4,544,,,,,,,,,,,,,,,458.0,0.003,3m,3.0,1.5,1.9000000000000001,202.0,898.0,0.004,2m,1.5,3.0,1.5,122.0,80.0,0.009000000000000001,4m,2.5,3.5,1.8,1020.0,324.0,0.006,3m,4.0,3.0,1.4,156.0,0.35000000000000003,8,COMPLETE
29,29,-1.1238937966283726,2025-06-15 00:55:01.079543,2025-06-15 00:55:01.714673,0 days 00:00:00.635130,,,,,,,,,,,,,,,,,,,,,,382,0.005,3m,3.5,3.0,1.3,492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
