,number,value,datetime_start,datetime_complete,duration,params_ADP_FOX_beta_win,params_ADP_FOX_stop_loss,params_ADP_FOX_trade_freq,params_ADP_FOX_z_entry,params_ADP_FOX_z_exit,params_ADP_FOX_z_stop_scaler,params_ADP_FOX_z_win,params_AMD_PCAR_beta_win,params_AMD_PCAR_stop_loss,params_AMD_PCAR_trade_freq,params_AMD_PCAR_z_entry,params_AMD_PCAR_z_exit,params_AMD_PCAR_z_stop_scaler,params_AMD_PCAR_z_win,params_CHKP_FOXA_beta_win,params_CHKP_FOXA_stop_loss,params_CHKP_FOXA_trade_freq,params_CHKP_FOXA_z_entry,params_CHKP_FOXA_z_exit,params_CHKP_FOXA_z_stop_scaler,params_CHKP_FOXA_z_win,params_CMCSA_FOX_beta_win,params_CMCSA_FOX_stop_loss,params_CMCSA_FOX_trade_freq,params_CMCSA_FOX_z_entry,params_CMCSA_FOX_z_exit,params_CMCSA_FOX_z_stop_scaler,params_CMCSA_FOX_z_win,params_CMCSA_MAR_beta_win,params_CMCSA_MAR_stop_loss,params_CMCSA_MAR_trade_freq,params_CMCSA_MAR_z_entry,params_CMCSA_MAR_z_exit,params_CMCSA_MAR_z_stop_scaler,params_CMCSA_MAR_z_win,params_EA_FOXA_beta_win,params_EA_FOXA_stop_loss,params_EA_FOXA_trade_freq,params_EA_FOXA_z_entry,params_EA_FOXA_z_exit,params_EA_FOXA_z_stop_scaler,params_EA_FOXA_z_win,params_PTON_FOXA_beta_win,params_PTON_FOXA_stop_loss,params_PTON_FOXA_trade_freq,params_PTON_FOXA_z_entry,params_PTON_FOXA_z_exit,params_PTON_FOXA_z_stop_scaler,params_PTON_FOXA_z_win,params_QCOM_FOXA_beta_win,params_QCOM_FOXA_stop_loss,params_QCOM_FOXA_trade_freq,params_QCOM_FOXA_z_entry,params_QCOM_FOXA_z_exit,params_QCOM_FOXA_z_stop_scaler,params_QCOM_FOXA_z_win,params_QCOM_FOX_beta_win,params_QCOM_FOX_stop_loss,params_QCOM_FOX_trade_freq,params_QCOM_FOX_z_entry,params_QCOM_FOX_z_exit,params_QCOM_FOX_z_stop_scaler,params_QCOM_FOX_z_win,params_SBUX_FOXA_beta_win,params_SBUX_FOXA_stop_loss,params_SBUX_FOXA_trade_freq,params_SBUX_FOXA_z_entry,params_SBUX_FOXA_z_exit,params_SBUX_FOXA_z_stop_scaler,params_SBUX_FOXA_z_win,params_buffer_capital,params_pairs_to_trade,state
85,85,7.377631014768863,2025-06-15 00:30:25.481738,2025-06-15 00:30:28.049742,0 days 00:00:02.568004,,,,,,,,,,,,,,,,,,,,,,1024.0,0.002,3m,1.5,3.5,1.4,984.0,,,,,,,,,,,,,,,,,,,,,,412.0,0.009000000000000001,2m,2.0,2.0,2.0,906.0,142.0,0.005,1m,3.5,2.5,0.7,824.0,40,0.001,3m,4.0,2.5,2.0,826,0.35000000000000003,4,COMPLETE
86,86,10.049417748363716,2025-06-15 00:30:28.136266,2025-06-15 00:30:29.763910,0 days 00:00:01.627644,,,,,,,,,,,,,,,,,,,,,,956.0,0.003,3m,1.5,3.5,1.7000000000000002,988.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,0.005,1m,3.0,2.5,0.5,940.0,78,0.001,3m,4.0,2.0,1.8,874,0.3,3,COMPLETE
87,87,9.02611390750365,2025-06-15 00:30:29.835425,2025-06-15 00:30:31.411701,0 days 00:00:01.576276,,,,,,,,,,,,,,,,,,,,,,954.0,0.003,3m,2.0,3.5,1.6,926.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,0.005,1m,3.0,2.0,0.5,742.0,76,0.001,3m,4.0,2.5,1.7000000000000002,986,0.35000000000000003,3,COMPLETE
88,88,-100.0,2025-06-15 00:30:31.487803,2025-06-15 00:30:32.722063,0 days 00:00:01.234260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,0.006,4m,3.5,2.0,0.9,932.0,148,0.001,3m,3.5,2.0,1.8,906,0.3,2,COMPLETE
89,89,10.284362501522756,2025-06-15 00:30:32.774063,2025-06-15 00:30:34.279981,0 days 00:00:01.505918,,,,,,,,,,,,,,,,,,,,,,908.0,0.004,3m,1.5,4.0,1.4,976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.0,0.005,1m,3.0,2.5,0.5,788.0,42,0.002,3m,4.0,2.0,1.8,884,0.3,3,COMPLETE
90,90,-100.0,2025-06-15 00:30:34.348497,2025-06-15 00:30:35.438578,0 days 00:00:01.090081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.0,0.005,2m,3.0,2.5,1.0,790.0,46,0.002,3m,4.0,2.5,1.6,912,0.3,2,COMPLETE
91,91,10.307192111173062,2025-06-15 00:30:35.501109,2025-06-15 00:30:37.334467,0 days 00:00:01.833358,,,,,,,,,,,,,,,,,,,,,,914.0,0.004,3m,1.5,4.0,1.4,982.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.0,0.006,1m,3.0,2.5,0.5,860.0,16,0.002,3m,4.0,2.0,1.8,822,0.3,3,COMPLETE
92,92,8.417990656179864,2025-06-15 00:30:37.408470,2025-06-15 00:30:38.824229,0 days 00:00:01.415759,,,,,,,,,,,,,,,,,,,,,,912.0,0.004,3m,1.5,4.0,1.4,892.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.0,0.006,1m,3.0,2.5,0.7,876.0,16,0.002,3m,4.0,2.0,1.7000000000000002,814,0.3,3,COMPLETE
93,93,9.224175764552395,2025-06-15 00:30:38.875233,2025-06-15 00:30:40.554811,0 days 00:00:01.679578,,,,,,,,,,,,,,,,,,,,,,966.0,0.004,3m,2.0,4.0,1.5,946.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,0.006,1m,3.0,2.5,0.6,968.0,114,0.001,3m,4.0,2.0,1.8,882,0.3,3,COMPLETE
94,94,-3.7967849023246667,2025-06-15 00:30:40.635336,2025-06-15 00:30:42.205165,0 days 00:00:01.569829,,,,,,,,,,,,,,,,,,,,,,1006.0,0.004,1m,1.5,4.0,1.5,996.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,0.005,1m,3.0,2.5,0.5,850.0,88,0.002,3m,4.0,3.0,1.8,858,0.35000000000000003,3,COMPLETE
95,95,-100.0,2025-06-15 00:30:42.259674,2025-06-15 00:30:43.310980,0 days 00:00:01.051306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.0,0.005,1m,2.5,2.0,0.6,826.0,58,0.001,3m,3.5,2.0,1.7000000000000002,948,0.35000000000000003,2,COMPLETE
96,96,4.266096319897278,2025-06-15 00:30:43.394505,2025-06-15 00:30:45.560497,0 days 00:00:02.165992,,,,,,,,,,,,,,,,,,,,,,942.0,0.003,3m,2.0,4.0,1.4,864.0,,,,,,,,,,,,,,,,,,,,,,848.0,0.009000000000000001,1m,1.5,1.5,1.2000000000000002,974.0,100.0,0.006,1m,3.0,2.5,0.7,898.0,90,0.003,3m,4.0,2.0,1.9000000000000001,802,0.3,4,COMPLETE
97,97,10.311195334558558,2025-06-15 00:30:45.621017,2025-06-15 00:30:47.132279,0 days 00:00:01.511262,,,,,,,,,,,,,,,,,,,,,,916.0,0.003,3m,1.5,4.0,1.3,978.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,0.005,1m,3.5,2.5,0.5,950.0,172,0.002,3m,4.0,1.5,1.8,788,0.3,3,COMPLETE
98,98,-100.0,2025-06-15 00:30:47.200278,2025-06-15 00:30:48.378300,0 days 00:00:01.178022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,0.005,1m,3.5,1.0,0.5,958.0,166,0.002,3m,3.5,1.5,1.6,786,0.3,2,COMPLETE
99,99,5.614966054917841,2025-06-15 00:30:48.485443,2025-06-15 00:30:52.927387,0 days 00:00:04.441944,1010.0,0.009000000000000001,2m,3.5,1.5,1.7000000000000002,382.0,,,,,,,,950.0,0.01,4m,4.0,2.5,1.2000000000000002,36.0,910.0,0.004,2m,1.5,4.0,1.3,978.0,532.0,0.003,3m,2.0,1.5,0.8,790.0,776.0,0.003,3m,1.0,3.0,0.9,336.0,22.0,0.01,2m,4.0,1.0,0.7,56.0,764.0,0.008,3m,2.5,1.5,1.4,234.0,138.0,0.006,1m,4.0,2.5,0.5,946.0,34,0.001,3m,4.0,1.5,1.8,746,0.35000000000000003,9,COMPLETE
100,100,7.901348459032668,2025-06-15 00:30:52.986898,2025-06-15 00:30:54.619098,0 days 00:00:01.632200,,,,,,,,,,,,,,,,,,,,,,876.0,0.003,3m,1.5,4.0,1.2000000000000002,938.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,0.007,1m,4.0,2.0,0.8,998.0,136,0.002,3m,4.0,1.5,1.8,938,0.25,3,COMPLETE
101,101,6.384697267285557,2025-06-15 00:30:54.692101,2025-06-15 00:30:56.227528,0 days 00:00:01.535427,,,,,,,,,,,,,,,,,,,,,,992.0,0.003,3m,1.5,4.0,1.4,904.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,0.005,1m,3.5,2.5,0.6,870.0,230,0.003,3m,4.0,1.5,0.7,838,0.3,3,COMPLETE
102,102,9.189483129395079,2025-06-15 00:30:56.304525,2025-06-15 00:30:58.087855,0 days 00:00:01.783330,,,,,,,,,,,,,,,,,,,,,,940.0,0.002,3m,2.0,3.5,1.7000000000000002,994.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,0.005,1m,3.0,2.5,0.5,916.0,186,0.002,3m,4.0,2.5,1.9000000000000001,1024,0.3,3,COMPLETE
103,103,7.994839031270844,2025-06-15 00:30:58.169370,2025-06-15 00:30:59.647124,0 days 00:00:01.477754,,,,,,,,,,,,,,,,,,,,,,970.0,0.001,3m,2.5,3.5,1.3,954.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,0.004,1m,3.0,2.5,0.6,902.0,102,0.003,3m,4.0,2.0,1.7000000000000002,798,0.3,3,COMPLETE
104,104,3.1846706606649144,2025-06-15 00:30:59.732634,2025-06-15 00:31:01.973608,0 days 00:00:02.240974,,,,,,,,,,,,,,,,,,,,,,904.0,0.003,3m,1.5,4.0,1.5,990.0,,,,,,,,,,,,,,,,,,,,,,646.0,0.007,2m,1.5,2.5,1.6,706.0,46.0,0.005,1m,3.0,2.5,0.5,1008.0,74,0.002,3m,2.5,1.5,1.8,882,0.35000000000000003,4,COMPLETE
105,105,6.589543635108053,2025-06-15 00:31:02.052121,2025-06-15 00:31:03.557406,0 days 00:00:01.505285,,,,,,,,,,,,,,,,,,,,,,1014.0,0.004,3m,1.5,3.5,1.6,916.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.0,0.006,1m,2.5,2.5,1.2000000000000002,28.0,260,0.001,3m,4.0,2.0,1.9000000000000001,870,0.3,3,COMPLETE
106,106,-100.0,2025-06-15 00:31:03.630923,2025-06-15 00:31:04.932714,0 days 00:00:01.301791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,0.002,1m,3.5,2.5,0.7,756.0,130,0.002,3m,4.0,1.5,1.8,766,0.25,2,COMPLETE
107,107,3.8009100830027225,2025-06-15 00:31:04.995225,2025-06-15 00:31:06.790082,0 days 00:00:01.794857,,,,,,,,,,,,,,,,,,,,,,832.0,0.002,3m,2.0,4.0,1.8,778.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,0.005,4m,3.0,3.0,0.6,966.0,50,0.003,3m,3.5,1.5,1.7000000000000002,722,0.4,3,COMPLETE
108,108,0.9032095768089817,2025-06-15 00:31:06.856600,2025-06-15 00:31:08.903597,0 days 00:00:02.046997,,,,,,,,,,,,,,,,,,,,,,932.0,0.005,4m,2.5,4.0,1.7000000000000002,1022.0,,,,,,,,,,,,,,,,,,,,,,934.0,0.01,1m,1.5,1.5,1.1,814.0,206.0,0.001,1m,3.0,2.5,0.5,790.0,22,0.003,4m,4.0,2.0,1.9000000000000001,824,0.3,4,COMPLETE
109,109,7.8610931766612095,2025-06-15 00:31:08.983635,2025-06-15 00:31:11.198151,0 days 00:00:02.214516,,,,,,,,,,,,,,,,,,,,,,966.0,0.001,3m,1.5,3.5,1.4,962.0,,,,,,,,,,,,,,,,,,,,,,552.0,0.008,3m,1.0,2.0,1.0,294.0,148.0,0.004,1m,2.5,1.5,0.7,978.0,214,0.005,3m,4.0,3.0,2.0,890,0.35000000000000003,4,COMPLETE
110,110,-2.256378128612559,2025-06-15 00:31:11.263662,2025-06-15 00:31:12.931560,0 days 00:00:01.667898,,,,,,,,,,,,,,,,,,,,,,860.0,0.002,1m,1.0,3.5,1.3,876.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638.0,0.006,2m,3.0,2.5,0.8,936.0,162,0.002,3m,3.5,2.5,1.7000000000000002,578,0.25,3,COMPLETE
111,111,0.3464272866777029,2025-06-15 00:31:13.018090,2025-06-15 00:31:14.644379,0 days 00:00:01.626289,,,,,,,,,,,,,,,,,,,,,,856.0,0.003,3m,1.5,3.5,1.6,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,0.003,1m,3.0,3.0,0.5,922.0,304,0.004,3m,4.0,2.0,1.9000000000000001,560,0.05,3,COMPLETE
112,112,10.284362501522756,2025-06-15 00:31:14.714384,2025-06-15 00:31:16.356095,0 days 00:00:01.641711,,,,,,,,,,,,,,,,,,,,,,908.0,0.003,3m,1.5,3.5,1.4,976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.0,0.002,1m,3.0,3.0,0.6,868.0,120,0.005,2m,4.0,2.0,1.1,488,0.3,3,COMPLETE
113,113,9.904535286538575,2025-06-15 00:31:16.435634,2025-06-15 00:31:18.193617,0 days 00:00:01.757983,,,,,,,,,,,,,,,,,,,,,,1002.0,0.004,3m,1.5,3.5,1.5,998.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,0.002,1m,3.0,2.5,0.6,854.0,116,0.005,3m,4.0,2.0,1.2000000000000002,762,0.3,3,COMPLETE
114,114,10.252604313869623,2025-06-15 00:31:18.278128,2025-06-15 00:31:19.900499,0 days 00:00:01.622371,,,,,,,,,,,,,,,,,,,,,,926.0,0.004,3m,1.5,4.0,1.4,998.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,0.002,1m,3.5,3.0,0.6,864.0,118,0.005,3m,4.0,2.0,1.1,762,0.3,3,COMPLETE
115,115,9.867886657091129,2025-06-15 00:31:19.965012,2025-06-15 00:31:22.247511,0 days 00:00:02.282499,,,,,,,,,,,,,,,,,,,,,,904.0,0.004,3m,1.5,4.0,1.4,990.0,,,,,,,,,,,,,,,,,,,,,,906.0,0.001,2m,4.0,2.5,1.3,204.0,224.0,0.002,1m,3.5,3.0,0.5,830.0,120,0.005,3m,4.0,2.0,1.1,758,0.3,4,COMPLETE
116,116,-100.0,2025-06-15 00:31:22.326514,2025-06-15 00:31:23.482857,0 days 00:00:01.156343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,0.001,1m,3.5,3.0,1.4,862.0,84,0.005,3m,4.0,2.0,1.1,834,0.3,2,COMPLETE
117,117,-5.870568474622961,2025-06-15 00:31:23.545367,2025-06-15 00:31:25.150285,0 days 00:00:01.604918,,,,,,,,,,,,,,,,,,,,,,116.0,0.004,3m,1.5,4.0,1.3,972.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.0,0.002,1m,3.5,3.0,0.6,892.0,150,0.005,3m,4.0,1.5,1.0,716,0.25,3,COMPLETE
118,118,10.22016878892901,2025-06-15 00:31:25.220291,2025-06-15 00:31:27.055874,0 days 00:00:01.835583,,,,,,,,,,,,,,,,,,,,,,932.0,0.005,3m,1.5,4.0,1.4,1006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.0,0.002,1m,4.0,2.5,0.7,806.0,174,0.006,3m,4.0,2.0,1.2000000000000002,802,0.35000000000000003,3,COMPLETE
119,119,8.302443588733071,2025-06-15 00:31:27.117881,2025-06-15 00:31:29.144810,0 days 00:00:02.026929,,,,,,,,,,,,,,,,,,,,,,876.0,0.003,3m,1.5,4.0,1.2000000000000002,940.0,,,,,,,,,,,,,,,,,,,,,,758.0,0.007,2m,2.0,2.0,1.4,412.0,186.0,0.001,1m,4.0,2.5,0.7,802.0,182,0.006,4m,4.0,2.0,1.3,810,0.45,4,COMPLETE
120,120,-100.0,2025-06-15 00:31:29.212811,2025-06-15 00:31:30.530108,0 days 00:00:01.317297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.0,0.002,1m,4.0,2.5,0.7,676.0,64,0.006,1m,3.5,1.0,1.2000000000000002,518,0.35000000000000003,2,COMPLETE
121,121,10.142634382980853,2025-06-15 00:31:30.615619,2025-06-15 00:31:32.262929,0 days 00:00:01.647310,,,,,,,,,,,,,,,,,,,,,,944.0,0.005,3m,1.5,4.0,1.4,1002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.0,0.002,1m,4.0,2.5,0.6,728.0,104,0.005,3m,4.0,2.0,1.2000000000000002,860,0.35000000000000003,3,COMPLETE
122,122,10.251561428571703,2025-06-15 00:31:32.313930,2025-06-15 00:31:33.941305,0 days 00:00:01.627375,,,,,,,,,,,,,,,,,,,,,,926.0,0.005,3m,1.5,4.0,1.4,1008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.0,0.002,1m,4.0,2.5,0.8,750.0,96,0.005,3m,4.0,2.0,1.2000000000000002,850,0.4,3,COMPLETE
123,123,10.241507540402019,2025-06-15 00:31:34.029857,2025-06-15 00:31:35.876202,0 days 00:00:01.846345,,,,,,,,,,,,,,,,,,,,,,928.0,0.005,3m,1.5,4.0,1.4,1024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.0,0.002,1m,4.0,2.5,0.8,720.0,50,0.005,3m,4.0,2.0,1.2000000000000002,870,0.4,3,COMPLETE
124,124,10.251561428571703,2025-06-15 00:31:35.951725,2025-06-15 00:31:37.473081,0 days 00:00:01.521356,,,,,,,,,,,,,,,,,,,,,,926.0,0.005,3m,1.5,4.0,1.4,1024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.0,0.002,1m,4.0,2.5,0.9,720.0,52,0.005,3m,4.0,2.0,1.2000000000000002,852,0.4,3,COMPLETE
125,125,10.263542839617397,2025-06-15 00:31:37.527597,2025-06-15 00:31:39.208617,0 days 00:00:01.681020,,,,,,,,,,,,,,,,,,,,,,924.0,0.005,3m,1.5,4.0,1.4,1024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.0,0.002,3m,4.0,3.0,0.9,624.0,244,0.005,3m,4.0,2.0,1.2000000000000002,926,0.4,3,COMPLETE
126,126,3.2650806655365905,2025-06-15 00:31:39.276128,2025-06-15 00:31:40.837800,0 days 00:00:01.561672,,,,,,,,,,,,,,,,,,,,,,920.0,0.005,2m,1.5,4.0,1.3,1024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,0.002,3m,4.0,3.0,0.9,650.0,176,0.006,3m,3.0,1.5,1.1,920,0.4,3,COMPLETE
127,127,8.92905348803315,2025-06-15 00:31:40.891802,2025-06-15 00:31:43.098006,0 days 00:00:02.206204,,,,,,,,,,,,,,,,,,,,,,810.0,0.005,3m,1.5,4.0,1.4,1024.0,,,,,,,,,,,,,,,,,,,,,,600.0,0.006,3m,4.0,1.5,1.2000000000000002,884.0,270.0,0.002,3m,4.0,3.0,1.0,712.0,234,0.005,3m,4.0,2.0,1.0,936,0.45,4,COMPLETE
128,128,3.2222470514921207,2025-06-15 00:31:43.170518,2025-06-15 00:31:45.748609,0 days 00:00:02.578091,894.0,0.008,1m,4.0,2.0,1.4,52.0,,,,,,,,,,,,,,,894.0,0.005,3m,1.0,4.0,1.2000000000000002,1006.0,,,,,,,,,,,,,,,,,,,,,,710.0,0.009000000000000001,1m,2.5,2.5,1.6,194.0,310.0,0.002,3m,4.0,3.5,1.0,770.0,196,0.005,3m,4.0,2.0,1.3,970,0.4,5,COMPLETE
129,129,-100.0,2025-06-15 00:31:45.803609,2025-06-15 00:31:47.071849,0 days 00:00:01.268240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.0,0.001,3m,4.0,3.0,0.9,594.0,272,0.005,3m,4.0,2.0,1.1,488,0.4,2,COMPLETE
130,130,8.096432855183556,2025-06-15 00:31:47.135356,2025-06-15 00:31:48.724641,0 days 00:00:01.589285,,,,,,,,,,,,,,,,,,,,,,844.0,0.006,3m,1.5,4.0,1.4,958.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.0,0.002,3m,4.0,3.5,0.8,622.0,48,0.006,3m,4.0,1.5,1.2000000000000002,848,0.4,3,COMPLETE
131,131,10.241507540402019,2025-06-15 00:31:48.793156,2025-06-15 00:31:50.461530,0 days 00:00:01.668374,,,,,,,,,,,,,,,,,,,,,,928.0,0.005,3m,1.5,4.0,1.4,1002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0,0.002,1m,4.0,2.5,0.8,734.0,154,0.005,3m,4.0,2.0,1.2000000000000002,854,0.4,3,COMPLETE
132,132,10.051408971172396,2025-06-15 00:31:50.542571,2025-06-15 00:31:52.132885,0 days 00:00:01.590314,,,,,,,,,,,,,,,,,,,,,,878.0,0.005,3m,1.5,4.0,1.3,1010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,0.001,1m,4.0,2.5,0.8,748.0,152,0.005,3m,4.0,2.0,1.3,898,0.4,3,COMPLETE
133,133,9.961275149329566,2025-06-15 00:31:52.201393,2025-06-15 00:31:53.994310,0 days 00:00:01.792917,,,,,,,,,,,,,,,,,,,,,,870.0,0.005,3m,1.5,4.0,1.4,970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,0.002,1m,4.0,2.5,0.8,712.0,246,0.005,3m,4.0,2.0,1.2000000000000002,454,0.4,3,COMPLETE
134,134,10.263024218304057,2025-06-15 00:31:54.069823,2025-06-15 00:31:55.663467,0 days 00:00:01.593644,,,,,,,,,,,,,,,,,,,,,,924.0,0.005,3m,1.5,4.0,1.4,1004.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,0.002,1m,4.0,3.0,0.9,686.0,130,0.005,3m,4.0,2.0,1.2000000000000002,920,0.45,3,COMPLETE
135,135,10.250513618096734,2025-06-15 00:31:55.733472,2025-06-15 00:31:57.499355,0 days 00:00:01.765883,,,,,,,,,,,,,,,,,,,,,,926.0,0.005,3m,1.5,4.0,1.3,1006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.0,0.002,4m,4.0,3.0,1.0,682.0,118,0.005,3m,4.0,2.0,1.2000000000000002,970,0.5,3,COMPLETE
136,136,8.124389690209318,2025-06-15 00:31:57.574882,2025-06-15 00:31:59.159067,0 days 00:00:01.584185,,,,,,,,,,,,,,,,,,,,,,920.0,0.006,3m,1.5,4.0,1.3,946.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.0,0.002,4m,4.0,3.0,1.0,666.0,128,0.005,3m,4.0,2.0,1.1,1000,0.45,3,COMPLETE
137,137,1.245427948332254,2025-06-15 00:31:59.229072,2025-06-15 00:32:01.580004,0 days 00:00:02.350932,,,,,,,,,,,,,,,,,,,,,,896.0,0.005,4m,1.5,4.0,1.3,972.0,,,,,,,,,,,,,,,,,,,,,,990.0,0.004,2m,3.0,3.0,0.9,32.0,258.0,0.001,4m,4.0,3.0,1.1,690.0,82,0.005,3m,4.0,2.0,1.4,960,0.5,4,COMPLETE
138,138,5.2905031447636075,2025-06-15 00:32:01.657515,2025-06-15 00:32:03.185861,0 days 00:00:01.528346,,,,,,,,,,,,,,,,,,,,,,766.0,0.005,3m,1.0,4.0,1.4,1008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.0,0.002,4m,4.0,3.0,0.9,698.0,58,0.005,3m,4.0,2.0,1.0,920,0.45,3,COMPLETE
139,139,-100.0,2025-06-15 00:32:03.269374,2025-06-15 00:32:04.575672,0 days 00:00:01.306298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.0,0.002,4m,4.0,3.0,0.9,640.0,136,0.004,3m,4.0,2.0,1.1,934,0.5,2,COMPLETE
140,140,9.354918260947816,2025-06-15 00:32:04.635676,2025-06-15 00:32:06.663508,0 days 00:00:02.027832,,,,,,,,,,,,,,,,,,,,,,832.0,0.004,3m,1.5,4.0,1.1,1002.0,,,,,,,,,,,,,,,,,,,,,,510.0,0.006,2m,4.0,1.0,0.6,276.0,224.0,0.003,2m,4.0,3.5,1.0,736.0,112,0.005,3m,4.0,2.0,1.2000000000000002,878,0.45,4,COMPLETE
141,141,10.219631772741147,2025-06-15 00:32:06.723509,2025-06-15 00:32:08.445273,0 days 00:00:01.721764,,,,,,,,,,,,,,,,,,,,,,932.0,0.005,3m,1.5,4.0,1.4,1024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.0,0.002,1m,4.0,3.0,0.9,776.0,168,0.006,3m,4.0,2.0,1.2000000000000002,984,0.4,3,COMPLETE
142,142,10.263024218304057,2025-06-15 00:32:08.499781,2025-06-15 00:32:09.990330,0 days 00:00:01.490549,,,,,,,,,,,,,,,,,,,,,,924.0,0.005,3m,1.5,4.0,1.4,1002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.0,0.002,1m,4.0,3.5,0.8,756.0,200,0.006,3m,4.0,2.0,1.3,848,0.45,3,COMPLETE
143,143,10.30970779851414,2025-06-15 00:32:10.097356,2025-06-15 00:32:11.805745,0 days 00:00:01.708389,,,,,,,,,,,,,,,,,,,,,,916.0,0.005,3m,1.5,4.0,1.3,976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,0.002,1m,4.0,3.5,0.9,700.0,202,0.005,3m,4.0,2.0,1.3,844,0.45,3,COMPLETE
144,144,7.950280866661366,2025-06-15 00:32:11.867254,2025-06-15 00:32:13.342123,0 days 00:00:01.474869,,,,,,,,,,,,,,,,,,,,,,906.0,0.006,3m,1.5,4.0,1.3,934.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.0,0.002,4m,4.0,3.5,0.9,712.0,196,0.005,3m,4.0,2.0,1.3,894,0.45,3,COMPLETE
145,145,7.676278908652848,2025-06-15 00:32:13.417128,2025-06-15 00:32:16.348349,0 days 00:00:02.931221,800.0,0.009000000000000001,3m,3.0,1.0,1.1,138.0,,,,,,,,,,,,,,,954.0,0.005,3m,1.5,4.0,1.2000000000000002,978.0,174.0,0.009000000000000001,2m,3.5,3.5,1.2000000000000002,406.0,,,,,,,,,,,,,,,806.0,0.007,3m,1.0,2.0,1.8,932.0,270.0,0.001,1m,4.0,3.5,1.1,630.0,212,0.006,3m,4.0,2.0,1.3,830,0.5,6,COMPLETE
146,146,8.377079231367546,2025-06-15 00:32:16.414346,2025-06-15 00:32:18.163665,0 days 00:00:01.749319,,,,,,,,,,,,,,,,,,,,,,970.0,0.005,3m,1.5,4.0,1.3,956.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.0,0.002,1m,4.0,3.5,1.0,684.0,42,0.004,3m,4.0,2.0,1.1,918,0.45,3,COMPLETE
