,number,value,datetime_start,datetime_complete,duration,params_ADSK_BIIB_beta_win,params_ADSK_BIIB_stop_loss,params_ADSK_BIIB_trade_freq,params_ADSK_BIIB_z_entry,params_ADSK_BIIB_z_exit,params_ADSK_BIIB_z_stop_scaler,params_ADSK_BIIB_z_win,params_ASML_CPRT_beta_win,params_ASML_CPRT_stop_loss,params_ASML_CPRT_trade_freq,params_ASML_CPRT_z_entry,params_ASML_CPRT_z_exit,params_ASML_CPRT_z_stop_scaler,params_ASML_CPRT_z_win,params_ASML_NFLX_beta_win,params_ASML_NFLX_stop_loss,params_ASML_NFLX_trade_freq,params_ASML_NFLX_z_entry,params_ASML_NFLX_z_exit,params_ASML_NFLX_z_stop_scaler,params_ASML_NFLX_z_win,params_BIIB_EBAY_beta_win,params_BIIB_EBAY_stop_loss,params_BIIB_EBAY_trade_freq,params_BIIB_EBAY_z_entry,params_BIIB_EBAY_z_exit,params_BIIB_EBAY_z_stop_scaler,params_BIIB_EBAY_z_win,params_BIIB_ZM_beta_win,params_BIIB_ZM_stop_loss,params_BIIB_ZM_trade_freq,params_BIIB_ZM_z_entry,params_BIIB_ZM_z_exit,params_BIIB_ZM_z_stop_scaler,params_BIIB_ZM_z_win,params_CPRT_PYPL_beta_win,params_CPRT_PYPL_stop_loss,params_CPRT_PYPL_trade_freq,params_CPRT_PYPL_z_entry,params_CPRT_PYPL_z_exit,params_CPRT_PYPL_z_stop_scaler,params_CPRT_PYPL_z_win,params_EBAY_ZM_beta_win,params_EBAY_ZM_stop_loss,params_EBAY_ZM_trade_freq,params_EBAY_ZM_z_entry,params_EBAY_ZM_z_exit,params_EBAY_ZM_z_stop_scaler,params_EBAY_ZM_z_win,params_INTU_PYPL_beta_win,params_INTU_PYPL_stop_loss,params_INTU_PYPL_trade_freq,params_INTU_PYPL_z_entry,params_INTU_PYPL_z_exit,params_INTU_PYPL_z_stop_scaler,params_INTU_PYPL_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_KLAC_PYPL_beta_win,params_KLAC_PYPL_stop_loss,params_KLAC_PYPL_trade_freq,params_KLAC_PYPL_z_entry,params_KLAC_PYPL_z_exit,params_KLAC_PYPL_z_stop_scaler,params_KLAC_PYPL_z_win,params_buffer_capital,params_pairs_to_trade,state
38,38,7.16547066205245,2025-06-15 00:50:28.432570,2025-06-15 00:50:29.538219,0 days 00:00:01.105649,,,,,,,,602,0.002,4m,1.5,2.0,2.0,224,,,,,,,,,,,,,,,1024.0,0.005,3m,3.0,3.5,1.7000000000000002,940.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
39,39,-0.7424381443186254,2025-06-15 00:50:29.613223,2025-06-15 00:50:30.271330,0 days 00:00:00.658107,,,,,,,,208,0.002,4m,1.0,2.0,2.0,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
40,40,-3.6258584646984975,2025-06-15 00:50:30.365373,2025-06-15 00:50:31.507938,0 days 00:00:01.142565,,,,,,,,484,0.005,4m,1.5,1.0,1.8,242,,,,,,,,,,,,,,,820.0,0.004,1m,3.5,3.5,1.7000000000000002,940.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,2,COMPLETE
41,41,2.4106138452957904,2025-06-15 00:50:31.585452,2025-06-15 00:50:33.030865,0 days 00:00:01.445413,,,,,,,,598,0.001,4m,2.0,2.0,1.9000000000000001,16,,,,,,,,262.0,0.003,1m,1.0,1.0,1.4,1022.0,1020.0,0.005,3m,3.0,4.0,1.7000000000000002,848.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,3,COMPLETE
42,42,7.440862721651119,2025-06-15 00:50:33.095868,2025-06-15 00:50:34.260249,0 days 00:00:01.164381,,,,,,,,388,0.003,4m,1.5,1.5,2.0,328,,,,,,,,,,,,,,,914.0,0.007,3m,3.0,4.0,1.8,948.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
43,43,9.276527800597126,2025-06-15 00:50:34.347279,2025-06-15 00:50:35.436759,0 days 00:00:01.089480,,,,,,,,376,0.004,4m,1.5,1.5,2.0,298,,,,,,,,,,,,,,,900.0,0.007,3m,3.5,3.0,1.9000000000000001,952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
44,44,7.6712324665546365,2025-06-15 00:50:35.503760,2025-06-15 00:50:36.131663,0 days 00:00:00.627903,,,,,,,,300,0.004,4m,1.5,1.5,2.0,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
45,45,4.933509403377193,2025-06-15 00:50:36.205664,2025-06-15 00:50:36.824590,0 days 00:00:00.618926,,,,,,,,128,0.004,4m,1.5,1.0,2.0,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
46,46,6.52913498854625,2025-06-15 00:50:36.888105,2025-06-15 00:50:37.470718,0 days 00:00:00.582613,,,,,,,,294,0.004,4m,1.0,1.5,0.5,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
47,47,5.19584374024124,2025-06-15 00:50:37.526240,2025-06-15 00:50:38.598011,0 days 00:00:01.071771,,,,,,,,378,0.005,4m,1.5,2.5,2.0,146,,,,,,,,,,,,,,,318.0,0.006,2m,3.5,3.0,2.0,944.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
48,48,9.008634207770704,2025-06-15 00:50:38.673523,2025-06-15 00:50:39.331410,0 days 00:00:00.657887,,,,,,,,230,0.004,4m,1.0,1.5,2.0,694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
49,49,8.989933649221534,2025-06-15 00:50:39.411924,2025-06-15 00:50:40.088062,0 days 00:00:00.676138,,,,,,,,246,0.004,4m,1.0,1.0,1.9000000000000001,718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
50,50,8.565150949893738,2025-06-15 00:50:40.182580,2025-06-15 00:50:40.838357,0 days 00:00:00.655777,,,,,,,,236,0.006,4m,1.0,1.0,1.6,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
51,51,8.565150949893738,2025-06-15 00:50:40.909868,2025-06-15 00:50:41.523488,0 days 00:00:00.613620,,,,,,,,236,0.006,4m,1.0,1.0,1.6,706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
52,52,8.682510129378635,2025-06-15 00:50:41.575005,2025-06-15 00:50:42.132633,0 days 00:00:00.557628,,,,,,,,238,0.006,4m,1.0,1.0,1.6,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
53,53,8.530472117424386,2025-06-15 00:50:42.190631,2025-06-15 00:50:42.778117,0 days 00:00:00.587486,,,,,,,,234,0.006,4m,1.0,1.0,1.6,718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
54,54,1.1955136663322394,2025-06-15 00:50:42.853156,2025-06-15 00:50:43.470734,0 days 00:00:00.617578,,,,,,,,142,0.007,4m,1.0,1.0,1.4,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
55,55,6.063527734539213,2025-06-15 00:50:43.540264,2025-06-15 00:50:44.139434,0 days 00:00:00.599170,,,,,,,,54,0.006,4m,1.0,1.0,1.5,752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
56,56,2.15486356339711,2025-06-15 00:50:44.194433,2025-06-15 00:50:44.849125,0 days 00:00:00.654692,,,,,,,,156,0.007,4m,1.0,1.0,1.6,876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
57,57,7.145733834651481,2025-06-15 00:50:44.939641,2025-06-15 00:50:49.903077,0 days 00:00:04.963436,272.0,0.01,4m,3.5,2.0,1.4,468.0,234,0.008,4m,1.0,1.0,1.7000000000000002,596,20.0,0.01,3m,4.0,4.0,2.0,28.0,204.0,0.01,3m,3.5,4.0,1.9000000000000001,62.0,50.0,0.002,4m,4.0,1.0,1.8,122.0,1018.0,0.005,1m,1.0,1.0,1.7000000000000002,922.0,782.0,0.001,2m,3.5,3.5,2.0,1006.0,962.0,0.001,2m,1.0,4.0,2.0,946.0,140.0,0.01,1m,3.5,4.0,2.0,16.0,626.0,0.001,1m,1.5,1.0,2.0,324.0,0.35000000000000003,10,COMPLETE
58,58,6.713119965981214,2025-06-15 00:50:49.990148,2025-06-15 00:50:50.615782,0 days 00:00:00.625634,,,,,,,,118,0.006,4m,1.0,1.0,1.5,686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
59,59,6.8459137346620365,2025-06-15 00:50:50.673296,2025-06-15 00:50:51.706523,0 days 00:00:01.033227,,,,,,,,76,0.005,4m,1.0,1.0,1.3,738,,,,,,,,,,,,,,,132.0,0.01,2m,3.5,1.5,1.9000000000000001,282.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
60,60,-3.954895307698772,2025-06-15 00:50:51.771035,2025-06-15 00:50:55.800660,0 days 00:00:04.029625,704.0,0.008,2m,1.5,3.0,1.8,808.0,182,0.006,4m,1.0,1.0,0.7,862,1008.0,0.006,2m,1.0,2.5,2.0,962.0,40.0,0.006,4m,3.5,3.5,1.8,138.0,508.0,0.002,4m,4.0,1.5,2.0,840.0,,,,,,,,42.0,0.003,2m,3.5,1.0,1.7000000000000002,854.0,,,,,,,,18.0,0.001,3m,3.0,2.5,1.2000000000000002,338.0,244.0,0.005,1m,3.0,4.0,0.9,714.0,0.5,8,COMPLETE
61,61,8.720086359558918,2025-06-15 00:50:55.876688,2025-06-15 00:50:56.494298,0 days 00:00:00.617610,,,,,,,,242,0.006,4m,1.0,1.0,1.6,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
62,62,8.18992414939025,2025-06-15 00:50:56.566786,2025-06-15 00:50:57.215431,0 days 00:00:00.648645,,,,,,,,268,0.007,4m,1.0,1.0,1.5,810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
63,63,2.566654629307637,2025-06-15 00:50:57.304946,2025-06-15 00:50:58.430193,0 days 00:00:01.125247,,,,,,,,216,0.006,1m,1.0,1.0,1.7000000000000002,774,,,,,,,,,,,,,,,556.0,0.009000000000000001,1m,2.5,1.0,1.6,752.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
64,64,3.955905730327916,2025-06-15 00:50:58.492705,2025-06-15 00:50:59.174828,0 days 00:00:00.682123,,,,,,,,272,0.005,4m,1.5,1.0,1.6,908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
65,65,7.339377384031495,2025-06-15 00:50:59.248355,2025-06-15 00:50:59.918488,0 days 00:00:00.670133,,,,,,,,366,0.008,4m,1.0,1.0,1.8,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
66,66,8.695882228190221,2025-06-15 00:51:00.005995,2025-06-15 00:51:01.086236,0 days 00:00:01.080241,,,,,,,,168,0.006,4m,1.5,1.0,1.4,822,,,,,,,,,,,,,,,308.0,0.009000000000000001,2m,2.5,2.5,1.1,632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
67,67,-0.3732697442458555,2025-06-15 00:51:01.152756,2025-06-15 00:51:02.242497,0 days 00:00:01.089741,,,,,,,,170,0.005,4m,2.0,1.0,1.4,824,,,,,,,,,,,,,,,292.0,0.009000000000000001,2m,2.5,2.5,1.1,618.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
68,68,5.702074025839146,2025-06-15 00:51:02.301499,2025-06-15 00:51:03.496283,0 days 00:00:01.194784,,,,,,,,302,0.007,4m,1.5,1.5,1.2000000000000002,776,,,,,,,,,,,,,,,418.0,0.01,2m,2.5,3.0,0.9,644.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
69,69,-2.631779914923067,2025-06-15 00:51:03.574796,2025-06-15 00:51:04.828037,0 days 00:00:01.253241,,,,,,,,108,0.004,1m,1.5,1.5,1.3,954,,,,,,,,,,,,,,,126.0,0.007,2m,3.5,2.0,1.1,890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
70,70,1.8395407694459345,2025-06-15 00:51:04.892055,2025-06-15 00:51:05.455674,0 days 00:00:00.563619,,,,,,,,36,0.007,4m,1.5,4.0,1.7000000000000002,592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
71,71,8.723369940405165,2025-06-15 00:51:05.513675,2025-06-15 00:51:06.105219,0 days 00:00:00.591544,,,,,,,,216,0.006,4m,1.0,1.0,1.5,708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
72,72,4.45381191632546,2025-06-15 00:51:06.156729,2025-06-15 00:51:06.816337,0 days 00:00:00.659608,,,,,,,,208,0.006,4m,1.0,1.0,1.5,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
73,73,4.741674319413236,2025-06-15 00:51:06.902366,2025-06-15 00:51:08.098635,0 days 00:00:01.196269,,,,,,,,88,0.005,4m,1.0,1.0,1.4,536,,,,,,,,,,,,,,,290.0,0.009000000000000001,2m,2.0,3.0,0.9,742.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
74,74,1.098006920887647,2025-06-15 00:51:08.175157,2025-06-15 00:51:08.811367,0 days 00:00:00.636210,,,,,,,,192,0.006,3m,1.0,1.0,1.4,752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
75,75,6.524841738666098,2025-06-15 00:51:08.886404,2025-06-15 00:51:13.159982,0 days 00:00:04.273578,662.0,0.005,1m,2.0,3.0,1.0,564.0,328,0.005,4m,1.0,1.5,1.9000000000000001,610,1010.0,0.01,4m,4.0,2.5,1.1,18.0,102.0,0.01,3m,3.5,4.0,1.9000000000000001,156.0,216.0,0.007,4m,4.0,2.5,1.2000000000000002,286.0,62.0,0.01,2m,1.0,4.0,0.5,26.0,572.0,0.005,1m,4.0,1.5,1.4,606.0,,,,,,,,946.0,0.01,2m,3.0,1.5,0.9,932.0,724.0,0.007,2m,3.5,2.5,1.0,232.0,0.4,9,COMPLETE
76,76,9.011401621283426,2025-06-15 00:51:13.249494,2025-06-15 00:51:14.395713,0 days 00:00:01.146219,,,,,,,,258,0.006,4m,1.5,3.0,1.5,810,,,,,,,,,,,,,,,378.0,0.008,2m,3.5,2.0,1.0,388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
77,77,5.3891567908496825,2025-06-15 00:51:14.458237,2025-06-15 00:51:15.592796,0 days 00:00:01.134559,,,,,,,,274,0.007,4m,1.5,3.0,1.5,844,,,,,,,,,,,,,,,474.0,0.008,2m,3.5,2.0,0.8,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
78,78,9.297501992964698,2025-06-15 00:51:15.666041,2025-06-15 00:51:18.618651,0 days 00:00:02.952610,984.0,0.002,4m,3.0,2.0,1.3,826.0,162,0.004,4m,2.0,3.0,1.1,888,,,,,,,,770.0,0.007,4m,3.0,3.5,2.0,338.0,362.0,0.008,2m,2.5,2.5,1.0,370.0,,,,,,,,864.0,0.003,4m,3.5,3.0,0.5,20.0,,,,,,,,,,,,,,,508.0,0.003,3m,2.0,3.0,1.5,612.0,0.45,6,COMPLETE
79,79,4.693179237315338,2025-06-15 00:51:18.720164,2025-06-15 00:51:21.750024,0 days 00:00:03.029860,950.0,0.002,4m,3.0,2.0,1.3,818.0,352,0.004,4m,2.0,3.0,1.0,1014,,,,,,,,926.0,0.007,4m,3.0,3.5,2.0,330.0,322.0,0.008,2m,2.5,2.5,1.0,392.0,,,,,,,,882.0,0.003,4m,3.5,3.0,0.5,154.0,,,,,,,,,,,,,,,516.0,0.003,3m,2.0,3.0,1.6,654.0,0.5,6,COMPLETE
80,80,1.6485567163982733,2025-06-15 00:51:21.827037,2025-06-15 00:51:25.226938,0 days 00:00:03.399901,792.0,0.002,4m,3.5,1.5,1.7000000000000002,812.0,162,0.004,1m,2.0,3.5,0.9,912,,,,,,,,768.0,0.009000000000000001,4m,3.5,3.0,1.6,596.0,372.0,0.007,2m,2.5,2.0,1.0,308.0,,,,,,,,706.0,0.002,4m,3.0,3.5,0.7,24.0,,,,,,,,752.0,0.003,2m,1.0,3.0,1.5,302.0,198.0,0.003,3m,1.0,2.0,1.5,536.0,0.45,7,COMPLETE
81,81,2.9714556598781168,2025-06-15 00:51:25.328451,2025-06-15 00:51:28.197932,0 days 00:00:02.869481,398.0,0.005,4m,3.0,2.0,2.0,1018.0,256,0.005,4m,2.0,3.0,1.2000000000000002,890,,,,,,,,732.0,0.006,4m,2.5,4.0,1.8,212.0,240.0,0.008,2m,3.0,3.0,1.1,236.0,,,,,,,,864.0,0.003,4m,4.0,2.5,0.6,164.0,,,,,,,,,,,,,,,786.0,0.002,3m,2.0,3.5,1.2000000000000002,828.0,0.4,6,COMPLETE
82,82,3.442595775916623,2025-06-15 00:51:28.277446,2025-06-15 00:51:29.411467,0 days 00:00:01.134021,,,,,,,,142,0.005,4m,1.5,3.5,1.1,798,,,,,,,,,,,,,,,372.0,0.01,2m,2.0,2.5,0.9,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2,COMPLETE
83,83,-1.3171275716521968,2025-06-15 00:51:29.489992,2025-06-15 00:51:32.866601,0 days 00:00:03.376609,592.0,0.003,4m,2.5,1.0,0.7,564.0,296,0.006,4m,1.5,3.0,1.3,838,,,,,,,,830.0,0.008,4m,4.0,3.5,1.7000000000000002,96.0,452.0,0.009000000000000001,2m,3.5,2.0,0.8,480.0,,,,,,,,736.0,0.001,4m,2.5,2.0,1.1,300.0,,,,,,,,390.0,0.008,4m,4.0,3.5,0.5,840.0,540.0,0.004,4m,2.0,3.0,2.0,548.0,0.45,7,COMPLETE
84,84,4.590061852499308,2025-06-15 00:51:32.944114,2025-06-15 00:51:35.740820,0 days 00:00:02.796706,928.0,0.002,4m,4.0,2.5,1.3,408.0,204,0.004,4m,1.5,2.5,1.0,960,,,,,,,,936.0,0.007,3m,2.5,3.0,2.0,246.0,260.0,0.008,2m,2.5,3.0,1.2000000000000002,344.0,,,,,,,,936.0,0.005,4m,3.5,3.5,0.7,466.0,,,,,,,,,,,,,,,,,,,,,,0.4,5,COMPLETE
85,85,0.7836586493446124,2025-06-15 00:51:35.821333,2025-06-15 00:51:37.804723,0 days 00:00:01.983390,,,,,,,,224,0.006,3m,1.5,2.5,1.5,738,,,,,,,,,,,,,,,552.0,0.007,2m,2.5,2.5,1.3,390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
86,86,-2.6296331018554255,2025-06-15 00:51:37.903751,2025-06-15 00:51:43.489380,0 days 00:00:05.585629,780.0,0.004,4m,3.5,3.5,0.7,878.0,252,0.004,4m,2.0,3.0,1.2000000000000002,794,,,,,,,,988.0,0.008,2m,3.0,3.0,1.9000000000000001,394.0,644.0,0.01,2m,2.0,1.5,1.0,488.0,,,,,,,,564.0,0.005,2m,3.0,3.0,0.8,792.0,,,,,,,,,,,,,,,852.0,0.008,3m,3.0,2.0,1.1,438.0,0.45,6,COMPLETE
87,87,3.80118340893646,2025-06-15 00:51:43.596892,2025-06-15 00:51:44.590051,0 days 00:00:00.993159,,,,,,,,178,0.005,4m,1.0,3.0,1.9000000000000001,634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
88,88,7.920245470559407,2025-06-15 00:51:44.689568,2025-06-15 00:51:46.954980,0 days 00:00:02.265412,,,,,,,,316,0.003,4m,1.5,3.5,1.1,930,,,,,,,,396.0,0.009000000000000001,4m,2.5,4.0,1.5,338.0,18.0,0.008,1m,4.0,2.0,1.1,206.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
89,89,1.3993267555314548,2025-06-15 00:51:47.050490,2025-06-15 00:51:47.710149,0 days 00:00:00.659659,,,,,,,,146,0.006,4m,1.0,3.5,1.9000000000000001,986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
90,90,4.30086405062812,2025-06-15 00:51:47.792670,2025-06-15 00:51:48.869699,0 days 00:00:01.077029,,,,,,,,106,0.007,4m,1.5,1.5,1.8,854,,,,,,,,,,,,,,,188.0,0.009000000000000001,2m,3.0,2.5,0.7,254.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
91,91,8.940517557704327,2025-06-15 00:51:48.935705,2025-06-15 00:51:49.495320,0 days 00:00:00.559615,,,,,,,,232,0.006,4m,1.0,1.0,1.6,696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
92,92,4.954307372546234,2025-06-15 00:51:49.566836,2025-06-15 00:51:50.243271,0 days 00:00:00.676435,,,,,,,,282,0.006,4m,1.0,1.0,1.6,664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
93,93,8.77618554822635,2025-06-15 00:51:50.318780,2025-06-15 00:51:50.973460,0 days 00:00:00.654680,,,,,,,,244,0.006,4m,1.0,1.0,1.7000000000000002,762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
94,94,0.21518384383753436,2025-06-15 00:51:51.072984,2025-06-15 00:51:51.689459,0 days 00:00:00.616475,,,,,,,,196,0.005,4m,1.0,2.5,1.7000000000000002,766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
95,95,5.484267102844139,2025-06-15 00:51:51.765982,2025-06-15 00:51:54.746433,0 days 00:00:02.980451,1016.0,0.001,2m,1.5,1.5,1.4,736.0,312,0.007,4m,1.0,1.0,1.5,828,,,,,,,,904.0,0.006,2m,3.5,3.5,1.7000000000000002,752.0,606.0,0.008,4m,3.0,3.0,1.3,96.0,,,,,,,,908.0,0.007,4m,2.5,4.0,1.3,204.0,,,,,,,,,,,,,,,432.0,0.004,3m,1.5,3.5,0.7,636.0,0.5,6,COMPLETE
96,96,8.864784273096276,2025-06-15 00:51:54.817947,2025-06-15 00:51:55.384802,0 days 00:00:00.566855,,,,,,,,248,0.004,4m,1.0,1.0,1.7000000000000002,876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
97,97,3.9054679753564456,2025-06-15 00:51:55.449322,2025-06-15 00:51:56.121265,0 days 00:00:00.671943,,,,,,,,352,0.004,4m,1.0,1.0,1.8,726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
98,98,8.774027645005024,2025-06-15 00:51:56.210784,2025-06-15 00:51:56.872674,0 days 00:00:00.661890,,,,,,,,244,0.003,4m,1.0,1.0,1.7000000000000002,882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
99,99,3.704562517937508,2025-06-15 00:51:56.941676,2025-06-15 00:51:57.531300,0 days 00:00:00.589624,,,,,,,,278,0.003,3m,1.0,1.5,1.7000000000000002,860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
100,100,-0.3653721704630003,2025-06-15 00:51:57.587817,2025-06-15 00:51:58.179471,0 days 00:00:00.591654,,,,,,,,442,0.003,4m,1.0,1.0,1.8,708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
101,101,4.222423438403364,2025-06-15 00:51:58.256681,2025-06-15 00:51:58.937421,0 days 00:00:00.680740,,,,,,,,212,0.004,4m,1.0,1.0,1.7000000000000002,884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
102,102,8.9566090587255,2025-06-15 00:51:59.014932,2025-06-15 00:51:59.687572,0 days 00:00:00.672640,,,,,,,,254,0.004,4m,1.0,1.0,1.6,796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
103,103,7.907678870875392,2025-06-15 00:51:59.777090,2025-06-15 00:52:01.637656,0 days 00:00:01.860566,,,,,,,,404,0.004,4m,1.0,1.0,1.7000000000000002,692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
104,104,8.433240997394542,2025-06-15 00:52:01.707170,2025-06-15 00:52:02.337775,0 days 00:00:00.630605,,,,,,,,260,0.004,4m,1.0,1.0,1.9000000000000001,906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
105,105,6.338697666331538,2025-06-15 00:52:02.403285,2025-06-15 00:52:03.011870,0 days 00:00:00.608585,,,,,,,,330,0.003,4m,1.0,1.5,1.6,758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
