,number,value,datetime_start,datetime_complete,duration,params_ADSK_BIIB_beta_win,params_ADSK_BIIB_stop_loss,params_ADSK_BIIB_trade_freq,params_ADSK_BIIB_z_entry,params_ADSK_BIIB_z_exit,params_ADSK_BIIB_z_stop_scaler,params_ADSK_BIIB_z_win,params_ASML_CPRT_beta_win,params_ASML_CPRT_stop_loss,params_ASML_CPRT_trade_freq,params_ASML_CPRT_z_entry,params_ASML_CPRT_z_exit,params_ASML_CPRT_z_stop_scaler,params_ASML_CPRT_z_win,params_ASML_NFLX_beta_win,params_ASML_NFLX_stop_loss,params_ASML_NFLX_trade_freq,params_ASML_NFLX_z_entry,params_ASML_NFLX_z_exit,params_ASML_NFLX_z_stop_scaler,params_ASML_NFLX_z_win,params_BIIB_EBAY_beta_win,params_BIIB_EBAY_stop_loss,params_BIIB_EBAY_trade_freq,params_BIIB_EBAY_z_entry,params_BIIB_EBAY_z_exit,params_BIIB_EBAY_z_stop_scaler,params_BIIB_EBAY_z_win,params_BIIB_ZM_beta_win,params_BIIB_ZM_stop_loss,params_BIIB_ZM_trade_freq,params_BIIB_ZM_z_entry,params_BIIB_ZM_z_exit,params_BIIB_ZM_z_stop_scaler,params_BIIB_ZM_z_win,params_CPRT_PYPL_beta_win,params_CPRT_PYPL_stop_loss,params_CPRT_PYPL_trade_freq,params_CPRT_PYPL_z_entry,params_CPRT_PYPL_z_exit,params_CPRT_PYPL_z_stop_scaler,params_CPRT_PYPL_z_win,params_EBAY_ZM_beta_win,params_EBAY_ZM_stop_loss,params_EBAY_ZM_trade_freq,params_EBAY_ZM_z_entry,params_EBAY_ZM_z_exit,params_EBAY_ZM_z_stop_scaler,params_EBAY_ZM_z_win,params_INTU_PYPL_beta_win,params_INTU_PYPL_stop_loss,params_INTU_PYPL_trade_freq,params_INTU_PYPL_z_entry,params_INTU_PYPL_z_exit,params_INTU_PYPL_z_stop_scaler,params_INTU_PYPL_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_KLAC_PYPL_beta_win,params_KLAC_PYPL_stop_loss,params_KLAC_PYPL_trade_freq,params_KLAC_PYPL_z_entry,params_KLAC_PYPL_z_exit,params_KLAC_PYPL_z_stop_scaler,params_KLAC_PYPL_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-100.0,2025-06-15 00:49:32.293222,2025-06-15 00:49:32.866112,0 days 00:00:00.572890,,,,,,,,660,0.006,3m,3.0,2.5,1.5,998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
11,11,3.2992304107902357,2025-06-15 00:49:32.914624,2025-06-15 00:49:36.017218,0 days 00:00:03.102594,534.0,0.01,3m,2.0,3.0,0.5,918.0,636,0.01,1m,1.0,3.5,1.4,424,,,,,,,,336.0,0.003,1m,1.5,2.0,0.5,32.0,964.0,0.003,3m,1.0,1.0,1.1,358.0,,,,,,,,684.0,0.002,3m,1.0,1.0,1.2000000000000002,520.0,,,,,,,,,,,,,,,48.0,0.01,1m,4.0,1.5,0.5,76.0,0.5,6,COMPLETE
12,12,-100.0,2025-06-15 00:49:36.073220,2025-06-15 00:49:36.623810,0 days 00:00:00.550590,,,,,,,,526,0.006,1m,3.0,4.0,1.2000000000000002,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
13,13,3.6129269183407695,2025-06-15 00:49:36.680810,2025-06-15 00:49:38.160689,0 days 00:00:01.479879,,,,,,,,754,0.007,1m,2.0,3.0,1.5,236,,,,,,,,386.0,0.004,2m,1.0,4.0,1.5,972.0,746.0,0.003,4m,4.0,1.5,1.2000000000000002,440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,3,COMPLETE
14,14,-1.4928212851017122,2025-06-15 00:49:38.249226,2025-06-15 00:49:40.849736,0 days 00:00:02.600510,364.0,0.004,3m,4.0,2.5,0.5,956.0,398,0.01,3m,3.5,3.0,1.7000000000000002,576,,,,,,,,532.0,0.001,4m,1.0,1.0,1.8,714.0,504.0,0.001,1m,2.0,2.0,2.0,328.0,,,,,,,,784.0,0.008,4m,2.5,2.5,1.2000000000000002,476.0,,,,,,,,,,,,,,,,,,,,,,0.05,5,COMPLETE
15,15,-4.5932843182671625,2025-06-15 00:49:40.896742,2025-06-15 00:49:41.868244,0 days 00:00:00.971502,,,,,,,,20,0.004,1m,2.0,2.0,1.0,428,,,,,,,,,,,,,,,434.0,0.005,3m,4.0,3.5,1.4,620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
16,16,4.95031592231645,2025-06-15 00:49:41.945756,2025-06-15 00:49:45.039882,0 days 00:00:03.094126,832.0,0.001,1m,1.0,4.0,0.9,678.0,544,0.007,3m,1.5,3.5,1.1,188,,,,,,,,306.0,0.005,2m,3.0,2.0,0.8,188.0,846.0,0.003,4m,1.0,3.5,1.0,184.0,,,,,,,,302.0,0.002,4m,3.0,1.0,1.4,62.0,,,,,,,,,,,,,,,714.0,0.001,3m,4.0,2.0,0.6,36.0,0.5,6,COMPLETE
17,17,6.267499726015909,2025-06-15 00:49:45.074881,2025-06-15 00:49:47.097903,0 days 00:00:02.023022,,,,,,,,760,0.001,2m,2.5,2.0,1.4,376,,,,,,,,680.0,0.005,1m,1.5,2.5,1.3,872.0,1016.0,0.008,3m,3.0,4.0,0.5,470.0,,,,,,,,432.0,0.01,3m,2.0,2.5,1.0,382.0,,,,,,,,,,,,,,,,,,,,,,0.25,4,COMPLETE
18,18,5.505553725808282,2025-06-15 00:49:47.170414,2025-06-15 00:49:49.273348,0 days 00:00:02.102934,,,,,,,,804,0.001,2m,3.5,2.0,1.7000000000000002,552,,,,,,,,702.0,0.004,1m,2.0,2.0,0.8,622.0,1004.0,0.008,3m,2.0,2.0,0.5,430.0,,,,,,,,480.0,0.004,3m,1.0,4.0,0.8,710.0,,,,,,,,,,,,,,,,,,,,,,0.3,4,COMPLETE
19,19,3.109763893022514,2025-06-15 00:49:49.336380,2025-06-15 00:49:50.333558,0 days 00:00:00.997178,,,,,,,,840,0.002,2m,2.5,1.0,1.6,812,,,,,,,,,,,,,,,398.0,0.005,3m,3.0,3.5,1.3,230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
20,20,-2.225922986455741,2025-06-15 00:49:50.392554,2025-06-15 00:49:52.507434,0 days 00:00:02.114880,,,,,,,,682,0.003,2m,3.5,2.0,1.3,414,,,,,,,,866.0,0.001,1m,3.0,2.5,1.6,418.0,652.0,0.006,3m,3.0,3.0,1.0,34.0,,,,,,,,378.0,0.008,3m,2.0,2.5,0.9,390.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
21,21,2.9436797553910736,2025-06-15 00:49:52.586939,2025-06-15 00:49:54.656388,0 days 00:00:02.069449,,,,,,,,852,0.001,2m,3.5,2.0,1.7000000000000002,564,,,,,,,,666.0,0.004,1m,2.0,2.0,0.7,664.0,986.0,0.008,3m,1.5,2.0,0.5,432.0,,,,,,,,474.0,0.004,3m,1.0,4.0,0.9,716.0,,,,,,,,,,,,,,,,,,,,,,0.3,4,COMPLETE
22,22,4.903583786199779,2025-06-15 00:49:54.714905,2025-06-15 00:49:55.723630,0 days 00:00:01.008725,,,,,,,,786,0.002,2m,3.0,2.5,1.7000000000000002,512,,,,,,,,,,,,,,,1022.0,0.008,3m,2.0,2.0,0.5,356.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,2,COMPLETE
23,23,5.940278219261722,2025-06-15 00:49:55.800632,2025-06-15 00:49:57.986781,0 days 00:00:02.186149,,,,,,,,874,0.002,2m,2.5,1.5,2.0,624,,,,,,,,662.0,0.003,1m,2.0,2.5,0.9,846.0,878.0,0.008,3m,2.0,2.5,0.7,466.0,,,,,,,,478.0,0.001,3m,1.5,4.0,0.6,672.0,,,,,,,,,,,,,,,,,,,,,,0.4,4,COMPLETE
24,24,7.717573816993825,2025-06-15 00:49:58.059294,2025-06-15 00:49:59.684987,0 days 00:00:01.625693,,,,,,,,1022,0.003,2m,2.5,1.5,2.0,640,,,,,,,,640.0,0.003,1m,2.0,2.5,1.0,882.0,796.0,0.006,3m,1.0,2.5,0.7,712.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,3,COMPLETE
25,25,4.775491825934006,2025-06-15 00:49:59.751499,2025-06-15 00:50:02.415089,0 days 00:00:02.663590,,,,,,,,1018,0.003,3m,2.5,1.0,1.4,782,,,,,,,,852.0,0.002,1m,1.5,2.5,1.2000000000000002,928.0,768.0,0.006,1m,1.0,2.5,0.9,804.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,3,COMPLETE
