,number,value,datetime_start,datetime_complete,duration,params_ADI_AMZN_beta_win,params_ADI_AMZN_stop_loss,params_ADI_AMZN_trade_freq,params_ADI_AMZN_z_entry,params_ADI_AMZN_z_exit,params_ADI_AMZN_z_stop_scaler,params_ADI_AMZN_z_win,params_ANSS_GOOGL_beta_win,params_ANSS_GOOGL_stop_loss,params_ANSS_GOOGL_trade_freq,params_ANSS_GOOGL_z_entry,params_ANSS_GOOGL_z_exit,params_ANSS_GOOGL_z_stop_scaler,params_ANSS_GOOGL_z_win,params_ASML_ROST_beta_win,params_ASML_ROST_stop_loss,params_ASML_ROST_trade_freq,params_ASML_ROST_z_entry,params_ASML_ROST_z_exit,params_ASML_ROST_z_stop_scaler,params_ASML_ROST_z_win,params_BIIB_CMCSA_beta_win,params_BIIB_CMCSA_stop_loss,params_BIIB_CMCSA_trade_freq,params_BIIB_CMCSA_z_entry,params_BIIB_CMCSA_z_exit,params_BIIB_CMCSA_z_stop_scaler,params_BIIB_CMCSA_z_win,params_BIIB_MTCH_beta_win,params_BIIB_MTCH_stop_loss,params_BIIB_MTCH_trade_freq,params_BIIB_MTCH_z_entry,params_BIIB_MTCH_z_exit,params_BIIB_MTCH_z_stop_scaler,params_BIIB_MTCH_z_win,params_FISV_INTC_beta_win,params_FISV_INTC_stop_loss,params_FISV_INTC_trade_freq,params_FISV_INTC_z_entry,params_FISV_INTC_z_exit,params_FISV_INTC_z_stop_scaler,params_FISV_INTC_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_MTCH_OKTA_beta_win,params_MTCH_OKTA_stop_loss,params_MTCH_OKTA_trade_freq,params_MTCH_OKTA_z_entry,params_MTCH_OKTA_z_exit,params_MTCH_OKTA_z_stop_scaler,params_MTCH_OKTA_z_win,params_MTCH_SWKS_beta_win,params_MTCH_SWKS_stop_loss,params_MTCH_SWKS_trade_freq,params_MTCH_SWKS_z_entry,params_MTCH_SWKS_z_exit,params_MTCH_SWKS_z_stop_scaler,params_MTCH_SWKS_z_win,params_MTCH_ZM_beta_win,params_MTCH_ZM_stop_loss,params_MTCH_ZM_trade_freq,params_MTCH_ZM_z_entry,params_MTCH_ZM_z_exit,params_MTCH_ZM_z_stop_scaler,params_MTCH_ZM_z_win,params_buffer_capital,params_pairs_to_trade,state
37,37,-2.479417123055443,2025-06-15 00:43:24.074077,2025-06-15 00:43:28.465719,0 days 00:00:04.391642,840.0,0.004,3m,1.0,1.0,0.6,788.0,330.0,0.002,3m,2.0,1.0,1.4,624.0,,,,,,,,268.0,0.004,4m,2.5,3.0,0.9,750.0,974.0,0.002,2m,1.0,1.0,1.6,586.0,,,,,,,,116.0,0.007,1m,3.5,2.5,1.5,76.0,786.0,0.007,1m,3.5,1.0,1.1,592.0,486.0,0.003,1m,3.5,3.5,0.7,378.0,324,0.009000000000000001,1m,2.0,4.0,1.0,340,0.4,8,COMPLETE
38,38,5.945910864309627,2025-06-15 00:43:28.580738,2025-06-15 00:43:33.610687,0 days 00:00:05.029949,576.0,0.002,3m,1.5,4.0,0.6,516.0,602.0,0.004,3m,1.5,1.5,0.5,638.0,528.0,0.001,1m,1.0,1.0,1.3,924.0,774.0,0.001,3m,1.5,1.0,1.7000000000000002,232.0,268.0,0.003,2m,1.0,1.5,1.2000000000000002,466.0,996.0,0.001,3m,1.0,4.0,1.9000000000000001,1004.0,86.0,0.006,1m,3.5,2.0,1.2000000000000002,468.0,590.0,0.004,1m,3.5,1.0,0.7,326.0,276.0,0.004,1m,3.5,3.5,0.7,290.0,152,0.009000000000000001,4m,2.5,4.0,1.2000000000000002,254,0.3,10,COMPLETE
39,39,-4.036468516172712,2025-06-15 00:43:33.695201,2025-06-15 00:43:38.424443,0 days 00:00:04.729242,472.0,0.006,2m,2.5,3.5,0.7,350.0,504.0,0.002,2m,2.5,1.5,0.7,468.0,820.0,0.005,3m,2.5,2.5,2.0,18.0,236.0,0.008,4m,3.0,2.0,1.1,618.0,104.0,0.002,4m,1.5,1.0,1.4,662.0,,,,,,,,18.0,0.01,1m,2.0,2.0,1.4,644.0,880.0,0.004,4m,3.0,1.0,0.6,480.0,166.0,0.002,1m,3.5,3.5,0.9,514.0,280,0.008,2m,1.5,4.0,1.2000000000000002,296,0.35000000000000003,9,COMPLETE
40,40,1.9479956629543307,2025-06-15 00:43:38.513953,2025-06-15 00:43:42.246918,0 days 00:00:03.732965,696.0,0.003,1m,3.5,3.5,0.9,658.0,360.0,0.002,3m,2.5,1.0,0.9,16.0,,,,,,,,,,,,,,,354.0,0.002,3m,1.0,1.5,1.3,380.0,,,,,,,,202.0,0.002,2m,3.0,1.5,1.5,68.0,684.0,0.005,3m,4.0,1.0,0.6,260.0,534.0,0.004,1m,2.5,4.0,0.5,476.0,208,0.009000000000000001,3m,2.0,3.5,1.0,444,0.4,7,COMPLETE
41,41,7.915586346699961,2025-06-15 00:43:42.334426,2025-06-15 00:43:46.819303,0 days 00:00:04.484877,658.0,0.004,3m,1.0,1.0,0.6,496.0,600.0,0.004,3m,2.0,1.5,0.6,428.0,26.0,0.01,1m,4.0,4.0,0.5,50.0,20.0,0.003,4m,1.0,2.0,1.6,734.0,288.0,0.001,2m,1.0,1.5,1.3,444.0,,,,,,,,22.0,0.007,1m,4.0,2.0,1.5,20.0,778.0,0.005,1m,3.5,1.0,0.6,438.0,422.0,0.003,1m,3.5,3.5,0.7,226.0,222,0.008,4m,2.5,4.0,1.1,332,0.3,9,COMPLETE
42,42,4.999687063447905,2025-06-15 00:43:46.896813,2025-06-15 00:43:51.087137,0 days 00:00:04.190324,640.0,0.005,3m,1.0,1.0,0.7,530.0,626.0,0.005,3m,1.5,1.5,0.6,392.0,,,,,,,,160.0,0.004,4m,1.0,2.0,1.6,892.0,246.0,0.001,2m,1.0,1.5,1.6,544.0,,,,,,,,122.0,0.008,1m,4.0,2.5,1.3,60.0,834.0,0.007,1m,3.5,1.0,0.7,588.0,460.0,0.002,1m,4.0,3.5,0.7,214.0,64,0.008,4m,2.5,4.0,1.3,376,0.3,8,COMPLETE
43,43,4.057786668145428,2025-06-15 00:43:51.152138,2025-06-15 00:43:56.370179,0 days 00:00:05.218041,450.0,0.004,4m,1.0,1.5,0.5,626.0,528.0,0.003,3m,1.5,1.5,0.5,946.0,332.0,0.008,1m,3.5,3.5,0.8,660.0,398.0,0.002,4m,1.5,1.5,1.7000000000000002,572.0,156.0,0.003,2m,1.5,1.0,1.3,372.0,90.0,0.01,1m,2.5,3.5,1.8,814.0,108.0,0.007,1m,4.0,2.0,1.6,136.0,708.0,0.004,1m,3.5,1.5,0.6,446.0,222.0,0.002,1m,3.5,3.0,0.6,194.0,272,0.009000000000000001,4m,2.0,4.0,0.8,112,0.35000000000000003,10,COMPLETE
44,44,4.2762615222294444,2025-06-15 00:43:56.441689,2025-06-15 00:44:01.088173,0 days 00:00:04.646484,536.0,0.005,3m,1.5,1.0,1.2000000000000002,356.0,728.0,0.002,4m,2.0,2.0,1.8,650.0,310.0,0.007,2m,3.0,3.0,0.9,236.0,28.0,0.005,4m,1.5,3.0,1.5,444.0,644.0,0.002,2m,1.0,1.5,1.0,214.0,,,,,,,,74.0,0.009000000000000001,1m,3.5,1.0,1.2000000000000002,228.0,612.0,0.006,1m,3.0,1.0,0.9,318.0,408.0,0.005,1m,3.0,4.0,0.9,430.0,122,0.009000000000000001,4m,2.5,4.0,1.0,266,0.5,9,COMPLETE
45,45,3.9397533029337892,2025-06-15 00:44:01.158172,2025-06-15 00:44:05.030074,0 days 00:00:03.871902,762.0,0.002,2m,1.0,1.5,0.7,754.0,410.0,0.005,4m,2.5,1.5,0.7,552.0,,,,,,,,,,,,,,,556.0,0.001,2m,1.5,2.5,1.7000000000000002,408.0,,,,,,,,184.0,0.006,1m,4.0,1.5,1.4,404.0,326.0,0.005,2m,4.0,1.5,0.5,572.0,590.0,0.003,1m,4.0,2.5,1.0,272.0,334,0.005,4m,3.0,3.5,0.9,336,0.25,7,COMPLETE
46,46,4.06272474160409,2025-06-15 00:44:05.118599,2025-06-15 00:44:09.452933,0 days 00:00:04.334334,566.0,0.003,1m,1.5,1.5,1.4,558.0,644.0,0.003,3m,2.0,4.0,0.6,390.0,,,,,,,,190.0,0.003,4m,2.0,1.5,1.8,668.0,22.0,0.001,4m,1.0,1.5,1.2000000000000002,536.0,,,,,,,,50.0,0.008,3m,2.5,2.5,0.5,1000.0,486.0,0.004,1m,3.5,1.0,0.7,124.0,700.0,0.005,4m,3.5,3.5,0.6,40.0,172,0.007,2m,2.5,3.5,1.3,154,0.2,8,COMPLETE
47,47,7.696738296185934,2025-06-15 00:44:09.528996,2025-06-15 00:44:13.287915,0 days 00:00:03.758919,22.0,0.007,3m,2.5,2.0,2.0,168.0,204.0,0.003,3m,2.5,2.5,0.8,504.0,,,,,,,,,,,,,,,300.0,0.003,2m,1.5,1.0,1.5,322.0,,,,,,,,218.0,0.007,2m,4.0,2.0,1.9000000000000001,566.0,928.0,0.002,3m,2.5,1.0,1.3,328.0,446.0,0.002,3m,3.0,3.0,1.4,866.0,66,0.008,2m,3.0,4.0,1.2000000000000002,298,0.3,7,COMPLETE
48,48,2.8103788778462064,2025-06-15 00:44:13.373423,2025-06-15 00:44:18.365952,0 days 00:00:04.992529,308.0,0.005,3m,2.0,1.0,0.6,480.0,542.0,0.007,3m,1.0,1.0,1.2000000000000002,802.0,286.0,0.008,4m,2.0,2.0,1.0,658.0,370.0,0.005,3m,1.0,3.0,1.0,936.0,198.0,0.002,3m,1.5,2.0,1.4,664.0,,,,,,,,16.0,0.008,1m,3.5,4.0,1.6,318.0,114.0,0.007,1m,3.0,2.0,1.5,416.0,342.0,0.004,2m,2.5,4.0,0.8,392.0,196,0.006,1m,1.0,3.5,0.6,454,0.05,9,COMPLETE
49,49,2.220212536101305,2025-06-15 00:44:18.433155,2025-06-15 00:44:22.723361,0 days 00:00:04.290206,648.0,0.009000000000000001,4m,1.0,3.0,0.9,298.0,820.0,0.004,4m,3.0,1.5,1.0,956.0,,,,,,,,136.0,0.002,1m,1.5,2.0,1.3,798.0,390.0,0.004,2m,4.0,1.5,0.9,482.0,,,,,,,,154.0,0.009000000000000001,3m,4.0,3.0,1.4,38.0,754.0,0.005,4m,4.0,1.5,2.0,694.0,526.0,0.001,1m,4.0,3.5,0.6,254.0,268,0.002,2m,2.0,2.5,1.1,384,0.35000000000000003,8,COMPLETE
50,50,-2.12595258387014,2025-06-15 00:44:22.793368,2025-06-15 00:44:25.503743,0 days 00:00:02.710375,830.0,0.001,1m,3.0,4.0,1.6,576.0,740.0,0.002,2m,2.0,2.0,0.6,376.0,,,,,,,,,,,,,,,896.0,0.004,4m,1.0,2.5,1.7000000000000002,352.0,,,,,,,,414.0,0.006,1m,3.5,1.0,1.1,122.0,,,,,,,,,,,,,,,302,0.01,4m,2.5,4.0,0.9,234,0.3,5,COMPLETE
51,51,7.674974245722395,2025-06-15 00:44:25.567744,2025-06-15 00:44:30.691154,0 days 00:00:05.123410,678.0,0.003,3m,1.0,1.0,0.6,478.0,582.0,0.004,3m,2.0,1.5,0.6,446.0,20.0,0.01,1m,4.0,4.0,0.5,144.0,22.0,0.003,4m,1.0,2.0,1.4,702.0,130.0,0.001,2m,1.0,1.5,1.3,440.0,898.0,0.001,2m,1.0,1.0,0.5,172.0,56.0,0.007,1m,4.0,2.0,1.5,18.0,826.0,0.005,1m,3.5,1.0,0.6,374.0,412.0,0.003,1m,3.5,3.5,0.8,360.0,214,0.008,4m,2.5,4.0,1.1,316,0.3,10,COMPLETE
52,52,5.575298358614087,2025-06-15 00:44:30.770174,2025-06-15 00:44:35.384457,0 days 00:00:04.614283,568.0,0.004,3m,1.0,1.0,0.5,466.0,646.0,0.005,3m,1.5,1.0,0.5,294.0,162.0,0.01,1m,3.5,3.5,0.5,22.0,112.0,0.004,4m,1.0,2.5,1.5,716.0,270.0,0.001,2m,1.0,1.5,1.2000000000000002,290.0,,,,,,,,22.0,0.007,1m,4.0,2.5,1.5,68.0,1002.0,0.006,1m,3.5,1.0,0.6,300.0,244.0,0.003,1m,3.5,3.5,0.9,314.0,232,0.009000000000000001,4m,2.5,4.0,1.2000000000000002,352,0.35000000000000003,9,COMPLETE
53,53,4.95841899428561,2025-06-15 00:44:35.467968,2025-06-15 00:44:40.038658,0 days 00:00:04.570690,628.0,0.002,3m,1.0,1.5,0.6,548.0,470.0,0.006,3m,2.0,1.5,0.7,234.0,188.0,0.008,1m,4.0,4.0,0.8,242.0,282.0,0.002,4m,1.5,1.5,1.3,560.0,220.0,0.001,2m,1.0,2.0,1.1,408.0,,,,,,,,144.0,0.007,1m,4.0,1.5,1.6,40.0,878.0,0.005,1m,3.0,1.0,0.6,530.0,370.0,0.002,1m,3.5,4.0,0.7,584.0,120,0.008,4m,3.0,4.0,1.0,72,0.3,9,COMPLETE
54,54,-1.625460268556336,2025-06-15 00:44:40.113184,2025-06-15 00:44:44.283334,0 days 00:00:04.170150,668.0,0.003,3m,1.5,1.0,0.7,394.0,568.0,0.001,3m,2.5,1.5,0.6,510.0,,,,,,,,22.0,0.003,2m,1.0,2.0,1.6,848.0,440.0,0.002,2m,1.5,1.5,1.3,460.0,,,,,,,,96.0,0.008,1m,2.5,2.0,1.7000000000000002,640.0,794.0,0.004,2m,2.0,1.0,0.5,368.0,122.0,0.004,1m,4.0,3.0,1.0,470.0,360,0.007,4m,2.5,3.0,1.2000000000000002,514,0.25,8,COMPLETE
55,55,5.6898787777808275,2025-06-15 00:44:44.338859,2025-06-15 00:44:48.189004,0 days 00:00:03.850145,154.0,0.001,3m,1.0,2.0,0.8,16.0,598.0,0.007,1m,3.0,3.0,0.7,452.0,,,,,,,,,,,,,,,372.0,0.001,2m,1.0,1.0,1.5,564.0,,,,,,,,252.0,0.006,2m,3.5,3.5,1.9000000000000001,928.0,652.0,0.003,1m,4.0,3.5,0.8,972.0,324.0,0.007,4m,3.0,3.5,0.8,164.0,42,0.009000000000000001,2m,3.0,3.5,1.1,402,0.35000000000000003,7,COMPLETE
56,56,5.764704148861534,2025-06-15 00:44:48.303545,2025-06-15 00:44:52.732256,0 days 00:00:04.428711,510.0,0.004,3m,1.5,1.0,0.5,648.0,954.0,0.004,3m,2.0,2.0,0.5,610.0,468.0,0.003,1m,3.5,3.5,1.2000000000000002,152.0,130.0,0.006,4m,2.5,2.5,1.2000000000000002,650.0,306.0,0.003,2m,3.0,3.5,1.3,518.0,,,,,,,,942.0,0.008,1m,3.5,1.5,1.5,18.0,296.0,0.006,1m,3.5,1.5,0.5,452.0,576.0,0.005,1m,3.5,2.0,0.6,416.0,144,0.01,2m,1.5,4.0,0.9,718,0.25,9,COMPLETE
57,57,-2.0656369777048464,2025-06-15 00:44:52.831779,2025-06-15 00:44:56.389024,0 days 00:00:03.557245,750.0,0.002,3m,1.0,1.5,0.9,858.0,690.0,0.003,1m,1.5,1.0,1.4,666.0,,,,,,,,,,,,,,,450.0,0.007,1m,2.5,2.0,1.4,398.0,,,,,,,,574.0,0.007,3m,1.0,1.0,1.3,124.0,922.0,0.01,4m,4.0,2.5,0.7,162.0,676.0,0.003,4m,4.0,4.0,1.2000000000000002,592.0,92,0.008,3m,2.0,3.5,1.1,472,0.2,7,COMPLETE
58,58,-4.541481890533476,2025-06-15 00:44:56.466541,2025-06-15 00:45:00.422868,0 days 00:00:03.956327,720.0,0.003,3m,1.0,2.5,0.6,516.0,498.0,0.001,1m,3.0,1.5,0.8,348.0,,,,,,,,304.0,0.004,4m,2.0,1.5,1.8,398.0,580.0,0.002,3m,1.5,1.5,1.2000000000000002,760.0,,,,,,,,74.0,0.009000000000000001,4m,3.0,1.0,1.6,158.0,728.0,0.005,1m,3.0,4.0,0.9,522.0,898.0,0.002,1m,3.5,3.0,0.9,102.0,248,0.006,2m,2.5,4.0,1.3,160,0.4,8,COMPLETE
59,59,0.6488500949245981,2025-06-15 00:45:00.513384,2025-06-15 00:45:05.440373,0 days 00:00:04.926989,426.0,0.001,2m,1.5,4.0,1.4,436.0,826.0,0.001,3m,2.5,2.0,0.6,734.0,26.0,0.009000000000000001,1m,3.0,3.0,1.6,344.0,472.0,0.001,4m,1.5,2.0,1.4,776.0,720.0,0.01,1m,1.0,1.0,1.6,204.0,24.0,0.005,2m,4.0,2.5,1.3,560.0,788.0,0.004,4m,4.0,3.0,1.4,226.0,552.0,0.008,1m,1.0,3.0,1.5,68.0,426.0,0.006,3m,1.0,1.0,0.7,238.0,184,0.008,4m,2.5,3.5,1.9000000000000001,286,0.3,10,COMPLETE
60,60,8.629035767091914,2025-06-15 00:45:05.536399,2025-06-15 00:45:08.959935,0 days 00:00:03.423536,594.0,0.002,3m,1.0,3.0,1.0,710.0,752.0,0.003,1m,2.5,2.0,0.5,756.0,,,,,,,,,,,,,,,660.0,0.001,1m,1.5,2.0,0.9,302.0,,,,,,,,156.0,0.003,1m,3.5,2.0,1.7000000000000002,90.0,80.0,0.004,1m,3.5,1.5,0.5,262.0,296.0,0.007,2m,2.5,3.5,0.5,716.0,506,0.01,2m,3.0,3.0,0.8,582,0.25,7,COMPLETE
61,61,6.1465597563983625,2025-06-15 00:45:09.031446,2025-06-15 00:45:12.635434,0 days 00:00:03.603988,568.0,0.002,3m,1.0,3.0,1.3,710.0,658.0,0.003,1m,2.5,2.0,0.5,754.0,,,,,,,,,,,,,,,664.0,0.001,1m,1.5,2.0,0.8,298.0,,,,,,,,154.0,0.003,1m,3.5,2.0,1.7000000000000002,90.0,58.0,0.004,1m,3.5,2.0,0.5,284.0,300.0,0.007,2m,2.0,3.5,0.5,910.0,858,0.01,2m,3.0,3.0,0.7,648,0.25,7,COMPLETE
62,62,7.5099305785054264,2025-06-15 00:45:12.712952,2025-06-15 00:45:15.655245,0 days 00:00:02.942293,596.0,0.002,3m,1.0,2.5,0.8,606.0,958.0,0.002,1m,2.5,2.5,0.5,850.0,,,,,,,,,,,,,,,654.0,0.001,1m,1.0,1.5,1.0,364.0,,,,,,,,48.0,0.002,1m,3.5,2.5,1.8,56.0,114.0,0.005,1m,4.0,1.5,0.6,226.0,,,,,,,,512,0.01,2m,3.0,2.5,0.6,560,0.3,6,COMPLETE
63,63,1.2647282439110792,2025-06-15 00:45:15.750318,2025-06-15 00:45:19.230537,0 days 00:00:03.480219,502.0,0.001,3m,1.0,3.5,1.0,750.0,782.0,0.004,1m,2.0,2.0,0.7,906.0,,,,,,,,,,,,,,,310.0,0.002,1m,1.5,2.0,0.9,254.0,,,,,,,,122.0,0.004,1m,3.0,2.0,1.6,94.0,22.0,0.002,1m,3.5,1.0,0.5,408.0,392.0,0.008,2m,2.5,3.5,0.6,680.0,298,0.009000000000000001,2m,3.0,3.0,1.5,602,0.2,7,COMPLETE
64,64,5.2563769443960515,2025-06-15 00:45:19.319253,2025-06-15 00:45:23.589049,0 days 00:00:04.269796,532.0,0.001,3m,3.5,3.0,1.2000000000000002,688.0,554.0,0.003,1m,2.0,2.5,1.1,678.0,,,,,,,,842.0,0.002,4m,1.0,2.5,0.9,962.0,796.0,0.001,1m,2.0,1.5,1.1,448.0,,,,,,,,50.0,0.003,4m,3.5,1.5,1.7000000000000002,170.0,258.0,0.003,1m,3.5,1.5,0.6,350.0,206.0,0.007,2m,2.0,4.0,0.5,898.0,684,0.01,2m,2.5,4.0,0.7,414,0.25,8,COMPLETE
65,65,8.130383861609966,2025-06-15 00:45:23.667559,2025-06-15 00:45:26.778778,0 days 00:00:03.111219,612.0,0.003,3m,1.5,4.0,1.0,562.0,718.0,0.002,1m,2.5,1.5,0.6,596.0,,,,,,,,,,,,,,,618.0,0.001,1m,1.0,2.5,1.4,316.0,,,,,,,,614.0,0.002,1m,4.0,2.5,0.8,16.0,154.0,0.004,1m,3.0,1.0,0.8,176.0,,,,,,,,224,0.009000000000000001,2m,2.0,3.0,1.4,810,0.3,6,COMPLETE
66,66,4.619493361982124,2025-06-15 00:45:26.866293,2025-06-15 00:45:29.993762,0 days 00:00:03.127469,726.0,0.002,4m,2.0,4.0,1.0,576.0,852.0,0.002,1m,3.0,2.0,0.8,820.0,,,,,,,,,,,,,,,552.0,0.002,1m,1.5,3.0,1.4,188.0,,,,,,,,638.0,0.002,4m,3.0,2.5,0.9,122.0,148.0,0.004,3m,2.0,1.5,0.8,154.0,,,,,,,,1024,0.01,2m,2.0,2.5,1.4,800,0.25,6,COMPLETE
67,67,7.151709766341559,2025-06-15 00:45:30.088271,2025-06-15 00:45:32.714251,0 days 00:00:02.625980,598.0,0.001,3m,1.5,4.0,1.2000000000000002,622.0,748.0,0.001,1m,3.0,1.5,0.6,604.0,,,,,,,,,,,,,,,616.0,0.001,1m,1.0,2.5,0.7,244.0,,,,,,,,556.0,0.001,4m,3.5,3.0,0.7,54.0,,,,,,,,,,,,,,,162,0.009000000000000001,2m,3.5,3.0,1.6,756,0.2,5,COMPLETE
68,68,2.831039501874705,2025-06-15 00:45:32.785272,2025-06-15 00:45:35.834042,0 days 00:00:03.048770,794.0,0.002,3m,1.5,3.5,1.3,840.0,692.0,0.002,1m,4.0,3.0,0.5,692.0,,,,,,,,,,,,,,,688.0,0.005,1m,2.5,2.5,1.2000000000000002,316.0,,,,,,,,742.0,0.003,1m,4.0,1.0,1.8,502.0,74.0,0.003,1m,2.5,2.0,1.1,66.0,,,,,,,,400,0.01,2m,1.5,3.0,1.4,924,0.3,6,COMPLETE
69,69,9.268571538698549,2025-06-15 00:45:35.919051,2025-06-15 00:45:39.491533,0 days 00:00:03.572482,482.0,0.004,3m,1.0,3.5,1.1,674.0,928.0,0.001,1m,2.5,2.0,0.8,770.0,,,,,,,,,,,,,,,632.0,0.008,1m,2.0,3.0,1.5,142.0,,,,,,,,604.0,0.002,2m,3.5,3.5,0.9,198.0,404.0,0.004,2m,3.0,1.0,0.8,194.0,506.0,0.008,2m,1.5,2.5,1.1,714.0,44,0.009000000000000001,2m,2.0,2.5,1.7000000000000002,670,0.35000000000000003,7,COMPLETE
70,70,6.902608147355772,2025-06-15 00:45:39.572058,2025-06-15 00:45:43.353215,0 days 00:00:03.781157,488.0,0.003,1m,2.0,3.5,1.1,928.0,888.0,0.001,1m,2.5,2.0,0.9,774.0,,,,,,,,,,,,,,,734.0,0.009000000000000001,1m,2.0,3.5,1.5,262.0,,,,,,,,500.0,0.002,2m,3.0,3.5,0.8,200.0,386.0,0.002,2m,3.0,1.5,0.9,200.0,636.0,0.008,2m,1.5,2.5,1.2000000000000002,708.0,18,0.009000000000000001,2m,2.0,2.0,1.7000000000000002,648,0.4,7,COMPLETE
71,71,5.459247447945501,2025-06-15 00:45:43.442730,2025-06-15 00:45:46.460322,0 days 00:00:03.017592,536.0,0.004,3m,1.0,4.0,1.1,742.0,934.0,0.002,1m,2.5,2.0,0.7,1006.0,,,,,,,,,,,,,,,596.0,0.008,1m,2.0,3.0,1.4,82.0,,,,,,,,606.0,0.001,2m,3.5,4.0,0.8,144.0,166.0,0.004,2m,3.0,1.0,0.8,256.0,,,,,,,,106,0.009000000000000001,2m,1.5,2.5,1.5,912,0.35000000000000003,6,COMPLETE
72,72,11.283259638259803,2025-06-15 00:45:46.545842,2025-06-15 00:45:50.247527,0 days 00:00:03.701685,448.0,0.004,3m,1.5,3.5,1.0,656.0,760.0,0.001,1m,2.5,1.5,0.8,846.0,,,,,,,,,,,,,,,476.0,0.007,1m,2.5,3.0,1.5,116.0,,,,,,,,684.0,0.002,2m,3.5,2.5,0.6,94.0,76.0,0.004,2m,3.0,1.0,0.7,186.0,490.0,0.009000000000000001,2m,1.5,2.0,1.4,776.0,50,0.009000000000000001,2m,2.0,2.5,1.6,564,0.35000000000000003,7,COMPLETE
73,73,9.559607691634408,2025-06-15 00:45:50.324047,2025-06-15 00:45:54.185632,0 days 00:00:03.861585,422.0,0.003,3m,1.5,3.5,1.1,668.0,816.0,0.001,1m,2.5,2.0,0.8,830.0,,,,,,,,,,,,,,,476.0,0.007,1m,2.5,3.0,1.6,50.0,,,,,,,,674.0,0.002,2m,3.5,3.0,0.6,94.0,84.0,0.003,2m,2.5,1.0,0.8,174.0,490.0,0.009000000000000001,2m,2.0,2.0,1.4,778.0,42,0.01,2m,2.0,2.5,1.7000000000000002,686,0.35000000000000003,7,COMPLETE
74,74,5.370966155020062,2025-06-15 00:45:54.271678,2025-06-15 00:45:57.751718,0 days 00:00:03.480040,344.0,0.001,3m,1.5,3.5,1.1,668.0,816.0,0.001,1m,2.5,2.5,0.8,862.0,,,,,,,,,,,,,,,462.0,0.007,1m,2.5,3.0,1.8,138.0,,,,,,,,700.0,0.002,2m,3.5,3.5,0.6,248.0,78.0,0.003,2m,2.5,1.0,0.7,100.0,528.0,0.009000000000000001,2m,1.5,2.0,1.4,814.0,48,0.01,2m,2.0,2.5,1.8,700,0.4,7,COMPLETE
75,75,10.67611964708107,2025-06-15 00:45:57.830739,2025-06-15 00:46:01.743018,0 days 00:00:03.912279,428.0,0.006,3m,2.0,3.5,1.0,684.0,860.0,0.001,1m,3.0,2.0,0.9,900.0,,,,,,,,,,,,,,,482.0,0.006,1m,2.5,3.0,1.6,118.0,,,,,,,,672.0,0.003,2m,3.5,3.0,0.6,286.0,224.0,0.004,2m,2.5,1.0,1.0,20.0,482.0,0.009000000000000001,2m,1.5,1.5,1.6,732.0,80,0.01,2m,4.0,2.0,1.6,576,0.35000000000000003,7,COMPLETE
76,76,8.212612982214646,2025-06-15 00:46:01.810110,2025-06-15 00:46:08.001269,0 days 00:00:06.191159,390.0,0.006,3m,2.0,3.0,1.2000000000000002,824.0,860.0,0.001,1m,3.0,2.0,0.9,890.0,,,,,,,,,,,,,,,534.0,0.006,1m,3.0,3.0,1.6,116.0,,,,,,,,648.0,0.003,2m,3.5,3.0,0.5,368.0,214.0,0.004,2m,2.5,1.0,1.0,212.0,472.0,0.009000000000000001,2m,1.5,1.5,1.6,750.0,48,0.01,2m,1.5,2.0,1.6,680,0.45,7,COMPLETE
77,77,6.440852921244589,2025-06-15 00:46:08.115786,2025-06-15 00:46:14.555285,0 days 00:00:06.439499,460.0,0.005,3m,2.0,3.5,1.1,792.0,766.0,0.001,1m,3.5,2.0,1.0,828.0,,,,,,,,532.0,0.008,1m,3.5,4.0,0.5,298.0,562.0,0.006,1m,2.5,3.5,1.7000000000000002,44.0,,,,,,,,542.0,0.003,2m,3.0,3.0,0.7,290.0,414.0,0.003,2m,2.5,1.0,1.1,256.0,494.0,0.01,2m,1.0,1.5,1.4,636.0,84,0.009000000000000001,2m,2.0,2.0,1.7000000000000002,560,0.35000000000000003,8,COMPLETE
78,78,5.297262219338133,2025-06-15 00:46:14.667805,2025-06-15 00:46:17.976687,0 days 00:00:03.308882,432.0,0.006,3m,1.5,3.0,0.9,728.0,804.0,0.001,2m,3.0,2.5,0.9,914.0,,,,,,,,,,,,,,,520.0,0.007,1m,2.5,3.0,1.6,108.0,,,,,,,,774.0,0.003,2m,2.0,3.0,0.7,184.0,256.0,0.004,2m,2.0,1.0,0.9,30.0,564.0,0.008,2m,2.0,2.0,1.7000000000000002,732.0,134,0.01,2m,3.5,2.0,1.9000000000000001,630,0.35000000000000003,7,COMPLETE
