,number,value,datetime_start,datetime_complete,duration,params_ADI_AMZN_beta_win,params_ADI_AMZN_stop_loss,params_ADI_AMZN_trade_freq,params_ADI_AMZN_z_entry,params_ADI_AMZN_z_exit,params_ADI_AMZN_z_stop_scaler,params_ADI_AMZN_z_win,params_ANSS_GOOGL_beta_win,params_ANSS_GOOGL_stop_loss,params_ANSS_GOOGL_trade_freq,params_ANSS_GOOGL_z_entry,params_ANSS_GOOGL_z_exit,params_ANSS_GOOGL_z_stop_scaler,params_ANSS_GOOGL_z_win,params_ASML_ROST_beta_win,params_ASML_ROST_stop_loss,params_ASML_ROST_trade_freq,params_ASML_ROST_z_entry,params_ASML_ROST_z_exit,params_ASML_ROST_z_stop_scaler,params_ASML_ROST_z_win,params_BIIB_CMCSA_beta_win,params_BIIB_CMCSA_stop_loss,params_BIIB_CMCSA_trade_freq,params_BIIB_CMCSA_z_entry,params_BIIB_CMCSA_z_exit,params_BIIB_CMCSA_z_stop_scaler,params_BIIB_CMCSA_z_win,params_BIIB_MTCH_beta_win,params_BIIB_MTCH_stop_loss,params_BIIB_MTCH_trade_freq,params_BIIB_MTCH_z_entry,params_BIIB_MTCH_z_exit,params_BIIB_MTCH_z_stop_scaler,params_BIIB_MTCH_z_win,params_FISV_INTC_beta_win,params_FISV_INTC_stop_loss,params_FISV_INTC_trade_freq,params_FISV_INTC_z_entry,params_FISV_INTC_z_exit,params_FISV_INTC_z_stop_scaler,params_FISV_INTC_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_MTCH_OKTA_beta_win,params_MTCH_OKTA_stop_loss,params_MTCH_OKTA_trade_freq,params_MTCH_OKTA_z_entry,params_MTCH_OKTA_z_exit,params_MTCH_OKTA_z_stop_scaler,params_MTCH_OKTA_z_win,params_MTCH_SWKS_beta_win,params_MTCH_SWKS_stop_loss,params_MTCH_SWKS_trade_freq,params_MTCH_SWKS_z_entry,params_MTCH_SWKS_z_exit,params_MTCH_SWKS_z_stop_scaler,params_MTCH_SWKS_z_win,params_MTCH_ZM_beta_win,params_MTCH_ZM_stop_loss,params_MTCH_ZM_trade_freq,params_MTCH_ZM_z_entry,params_MTCH_ZM_z_exit,params_MTCH_ZM_z_stop_scaler,params_MTCH_ZM_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,3.3544405331664118,2025-06-15 00:42:06.021830,2025-06-15 00:42:06.672969,0 days 00:00:00.651139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,0.006,2m,3.0,1.0,2.0,966,0.35000000000000003,1,COMPLETE
11,11,3.2291813308423793,2025-06-15 00:42:06.746989,2025-06-15 00:42:07.410605,0 days 00:00:00.663616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636,0.006,2m,3.0,1.0,1.9000000000000001,978,0.35000000000000003,1,COMPLETE
12,12,1.965379916927529,2025-06-15 00:42:07.472117,2025-06-15 00:42:08.050705,0 days 00:00:00.578588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712,0.006,2m,3.5,1.0,1.7000000000000002,392,0.3,1,COMPLETE
13,13,-3.2380809458266,2025-06-15 00:42:08.110705,2025-06-15 00:42:09.181360,0 days 00:00:01.070655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.0,0.008,1m,4.0,1.0,2.0,918.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754,0.004,2m,3.0,1.5,1.6,992,0.35000000000000003,2,COMPLETE
14,14,-1.9588837171136215,2025-06-15 00:42:09.255385,2025-06-15 00:42:10.944145,0 days 00:00:01.688760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.0,0.005,1m,3.0,1.5,1.2000000000000002,978.0,,,,,,,,462.0,0.004,3m,1.5,4.0,0.9,20.0,,,,,,,,,,,,,,,482,0.007,2m,3.5,2.0,2.0,184,0.3,3,COMPLETE
15,15,-5.912770927031253,2025-06-15 00:42:11.009651,2025-06-15 00:42:11.635254,0 days 00:00:00.625603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792,0.002,2m,2.5,2.5,1.6,540,0.4,1,COMPLETE
16,16,6.557119359768254,2025-06-15 00:42:11.700274,2025-06-15 00:42:14.720841,0 days 00:00:03.020567,526.0,0.001,3m,1.0,4.0,1.0,578.0,1006.0,0.001,1m,4.0,2.0,0.6,856.0,,,,,,,,,,,,,,,498.0,0.008,1m,2.0,2.0,1.1,370.0,,,,,,,,674.0,0.005,4m,3.5,1.0,1.7000000000000002,162.0,70.0,0.001,1m,4.0,1.5,0.5,98.0,,,,,,,,590,0.01,2m,4.0,1.5,1.8,490,0.25,6,COMPLETE
17,17,8.207170197489365,2025-06-15 00:42:14.824367,2025-06-15 00:42:18.333039,0 days 00:00:03.508672,552.0,0.001,3m,1.0,4.0,1.0,582.0,908.0,0.001,1m,4.0,2.0,0.5,864.0,,,,,,,,,,,,,,,452.0,0.008,1m,2.0,2.0,1.1,360.0,,,,,,,,698.0,0.005,4m,3.5,1.0,1.7000000000000002,94.0,80.0,0.001,1m,4.0,1.5,0.5,18.0,996.0,0.001,1m,4.0,4.0,0.5,1012.0,84,0.01,2m,4.0,3.0,1.7000000000000002,480,0.25,7,COMPLETE
18,18,4.704011777677641,2025-06-15 00:42:18.422188,2025-06-15 00:42:21.910449,0 days 00:00:03.488261,544.0,0.001,3m,1.0,4.0,1.0,534.0,1016.0,0.001,1m,4.0,2.5,0.5,872.0,,,,,,,,,,,,,,,500.0,0.008,1m,2.0,2.0,1.1,324.0,,,,,,,,692.0,0.004,4m,3.5,1.0,1.8,24.0,24.0,0.001,1m,4.0,1.5,0.5,56.0,1024.0,0.001,1m,4.0,4.0,0.5,1014.0,24,0.01,1m,4.0,3.0,1.7000000000000002,480,0.2,7,COMPLETE
19,19,-3.4251473486667536,2025-06-15 00:42:21.977973,2025-06-15 00:42:25.141940,0 days 00:00:03.163967,714.0,0.002,3m,1.0,4.0,1.1,702.0,772.0,0.001,1m,4.0,2.0,0.8,722.0,,,,,,,,,,,,,,,594.0,0.006,1m,2.0,1.5,0.5,146.0,,,,,,,,576.0,0.004,4m,3.5,1.0,1.6,208.0,30.0,0.002,1m,4.0,2.0,0.5,22.0,,,,,,,,880,0.01,2m,3.5,4.0,1.5,592,0.25,6,COMPLETE
20,20,5.622976576138951,2025-06-15 00:42:25.222957,2025-06-15 00:42:28.903603,0 days 00:00:03.680646,376.0,0.003,3m,1.5,2.5,0.8,442.0,998.0,0.003,1m,4.0,1.5,0.5,704.0,,,,,,,,,,,,,,,424.0,0.008,1m,1.5,2.0,1.0,432.0,,,,,,,,352.0,0.005,4m,3.5,2.0,2.0,194.0,226.0,0.001,1m,3.5,2.0,0.8,234.0,998.0,0.001,1m,4.0,4.0,1.1,1014.0,588,0.007,2m,4.0,3.0,1.1,424,0.25,7,COMPLETE
21,21,-1.059493913969689,2025-06-15 00:42:28.982121,2025-06-15 00:42:32.602884,0 days 00:00:03.620763,364.0,0.002,3m,1.0,2.5,0.8,430.0,994.0,0.003,1m,4.0,1.5,0.5,710.0,,,,,,,,,,,,,,,424.0,0.008,1m,1.5,2.0,1.0,414.0,,,,,,,,434.0,0.005,4m,3.5,2.0,2.0,164.0,182.0,0.001,1m,4.0,2.0,0.8,212.0,1024.0,0.001,1m,4.0,4.0,1.0,1022.0,556,0.01,2m,4.0,3.0,1.1,426,0.25,7,COMPLETE
22,22,6.532015212421084,2025-06-15 00:42:32.708923,2025-06-15 00:42:35.873927,0 days 00:00:03.165004,384.0,0.001,3m,1.5,2.5,0.8,432.0,786.0,0.001,1m,3.5,2.0,0.8,724.0,,,,,,,,,,,,,,,510.0,0.009000000000000001,1m,2.0,2.0,1.4,272.0,,,,,,,,318.0,0.005,4m,3.0,1.5,1.7000000000000002,180.0,214.0,0.003,1m,3.0,1.5,0.8,200.0,,,,,,,,426,0.007,2m,3.5,3.5,1.4,200,0.15000000000000002,6,COMPLETE
23,23,10.027641703121553,2025-06-15 00:42:35.947944,2025-06-15 00:42:39.070641,0 days 00:00:03.122697,676.0,0.001,3m,1.5,3.0,1.3,688.0,742.0,0.001,1m,3.5,2.0,0.9,854.0,,,,,,,,,,,,,,,686.0,0.009000000000000001,1m,2.0,1.5,1.4,266.0,,,,,,,,246.0,0.003,4m,3.0,1.0,1.7000000000000002,324.0,632.0,0.004,1m,3.0,1.0,0.8,170.0,,,,,,,,92,0.008,2m,3.5,3.5,1.4,192,0.15000000000000002,6,COMPLETE
24,24,-3.024124069227488,2025-06-15 00:42:39.144657,2025-06-15 00:42:43.360441,0 days 00:00:04.215784,758.0,0.001,3m,1.0,3.5,1.3,714.0,676.0,0.002,1m,3.5,2.0,1.0,1010.0,,,,,,,,76.0,0.01,3m,4.0,4.0,2.0,36.0,662.0,0.009000000000000001,1m,2.0,1.0,1.3,150.0,,,,,,,,662.0,0.001,4m,3.0,1.0,1.5,334.0,662.0,0.004,1m,3.0,1.0,0.5,20.0,42.0,0.009000000000000001,2m,3.0,3.0,0.5,152.0,170,0.008,2m,3.5,3.5,1.7000000000000002,200,0.15000000000000002,8,COMPLETE
25,25,5.971711986647706,2025-06-15 00:42:43.431444,2025-06-15 00:42:45.783773,0 days 00:00:02.352329,692.0,0.003,3m,2.0,4.0,1.1,696.0,856.0,0.004,2m,3.5,3.0,0.8,828.0,,,,,,,,,,,,,,,704.0,0.006,1m,1.0,1.5,1.1,336.0,,,,,,,,838.0,0.003,4m,3.0,1.0,1.8,108.0,,,,,,,,,,,,,,,16,0.01,2m,4.0,3.5,1.5,844,0.1,5,COMPLETE
26,26,3.718224778939635,2025-06-15 00:42:45.873301,2025-06-15 00:42:48.956573,0 days 00:00:03.083272,498.0,0.002,3m,1.5,3.0,1.5,1018.0,682.0,0.001,1m,3.0,2.0,0.7,882.0,,,,,,,,,,,,,,,612.0,0.009000000000000001,1m,2.0,1.5,1.5,230.0,,,,,,,,180.0,0.003,4m,3.0,1.5,1.8,296.0,586.0,0.006,1m,3.5,1.0,1.0,188.0,,,,,,,,138,0.008,3m,3.5,2.5,1.8,602,0.2,6,COMPLETE
27,27,4.576858969506297,2025-06-15 00:42:49.036078,2025-06-15 00:42:53.231114,0 days 00:00:04.195036,780.0,0.003,3m,2.0,3.0,1.4,602.0,890.0,0.002,1m,4.0,2.5,1.0,566.0,,,,,,,,1016.0,0.006,2m,1.0,2.5,2.0,1012.0,748.0,0.005,1m,3.0,2.5,0.9,492.0,,,,,,,,628.0,0.006,4m,3.5,1.0,1.4,100.0,740.0,0.01,3m,2.0,1.5,0.7,398.0,794.0,0.003,3m,3.0,2.0,1.5,334.0,240,0.01,1m,3.0,4.0,1.5,116,0.1,8,COMPLETE
28,28,0.8126663013135745,2025-06-15 00:42:53.305627,2025-06-15 00:42:55.339040,0 days 00:00:02.033413,612.0,0.001,3m,1.0,3.5,1.0,794.0,,,,,,,,,,,,,,,,,,,,,,330.0,0.007,1m,2.5,1.0,1.2000000000000002,82.0,,,,,,,,868.0,0.003,4m,2.0,1.5,1.6,260.0,,,,,,,,,,,,,,,102,0.009000000000000001,4m,4.0,3.0,1.8,258,0.25,4,COMPLETE
29,29,2.479696839592035,2025-06-15 00:42:55.419561,2025-06-15 00:42:59.992030,0 days 00:00:04.572469,468.0,0.004,2m,1.5,4.0,0.5,594.0,466.0,0.01,1m,3.5,1.0,0.6,570.0,1008.0,0.005,2m,1.0,1.0,1.5,982.0,1016.0,0.01,2m,4.0,2.5,1.2000000000000002,60.0,542.0,0.009000000000000001,1m,1.5,2.0,1.4,326.0,,,,,,,,506.0,0.004,4m,3.0,2.5,1.8,94.0,478.0,0.002,2m,3.5,2.5,1.0,106.0,816.0,0.01,1m,3.0,3.0,2.0,778.0,412,0.008,3m,3.5,2.0,1.4,540,0.15000000000000002,9,COMPLETE
30,30,0.8917819434268233,2025-06-15 00:43:00.087542,2025-06-15 00:43:02.289001,0 days 00:00:02.201459,870.0,0.002,4m,1.0,3.5,1.1,498.0,,,,,,,,,,,,,,,,,,,,,,772.0,0.006,3m,2.5,1.5,0.6,170.0,,,,,,,,720.0,0.001,4m,4.0,1.0,1.3,374.0,,,,,,,,,,,,,,,342,0.005,2m,2.0,3.5,1.3,370,0.2,4,COMPLETE
31,31,6.431333127573135,2025-06-15 00:43:02.380513,2025-06-15 00:43:05.451183,0 days 00:00:03.070670,410.0,0.001,3m,1.5,2.0,0.7,400.0,788.0,0.001,1m,3.5,2.0,0.9,786.0,,,,,,,,,,,,,,,498.0,0.009000000000000001,1m,2.0,2.0,1.5,252.0,,,,,,,,242.0,0.005,4m,3.0,1.5,1.7000000000000002,184.0,192.0,0.003,1m,3.0,1.5,0.7,266.0,,,,,,,,456,0.007,2m,3.5,3.5,1.4,216,0.15000000000000002,6,COMPLETE
32,32,-2.588407587751929,2025-06-15 00:43:05.528699,2025-06-15 00:43:08.691735,0 days 00:00:03.163036,272.0,0.001,3m,1.5,2.0,0.9,346.0,714.0,0.002,1m,4.0,2.0,0.7,912.0,,,,,,,,,,,,,,,504.0,0.01,1m,2.0,2.5,1.4,288.0,,,,,,,,322.0,0.006,4m,3.5,1.5,1.7000000000000002,138.0,132.0,0.003,1m,2.5,1.5,0.9,140.0,,,,,,,,382,0.007,2m,3.5,3.5,1.6,144,0.1,6,COMPLETE
33,33,0.25051511076992894,2025-06-15 00:43:08.763251,2025-06-15 00:43:11.461062,0 days 00:00:02.697811,612.0,0.002,3m,2.0,3.0,1.2000000000000002,652.0,902.0,0.001,1m,3.5,2.5,0.9,778.0,,,,,,,,,,,,,,,456.0,0.008,1m,2.0,2.0,1.1,18.0,,,,,,,,278.0,0.005,4m,3.0,1.0,1.9000000000000001,250.0,,,,,,,,,,,,,,,74,0.009000000000000001,2m,4.0,3.0,1.4,20,0.15000000000000002,5,COMPLETE
34,34,8.306883099537119,2025-06-15 00:43:11.559589,2025-06-15 00:43:15.004905,0 days 00:00:03.445316,540.0,0.001,3m,1.0,1.0,0.7,510.0,602.0,0.002,1m,2.5,1.5,0.6,634.0,,,,,,,,,,,,,,,568.0,0.002,1m,1.0,1.5,1.3,386.0,,,,,,,,66.0,0.007,4m,3.5,1.0,1.5,46.0,96.0,0.004,1m,3.5,1.0,0.6,336.0,380.0,0.003,1m,3.5,3.5,0.8,344.0,226,0.008,2m,2.5,4.0,1.2000000000000002,316,0.3,7,COMPLETE
35,35,13.983485894240305,2025-06-15 00:43:15.093423,2025-06-15 00:43:19.237409,0 days 00:00:04.143986,546.0,0.003,3m,1.0,4.0,0.6,528.0,596.0,0.002,3m,2.0,1.5,0.6,644.0,,,,,,,,84.0,0.003,4m,1.0,2.0,1.4,704.0,310.0,0.001,2m,1.0,1.5,1.3,372.0,,,,,,,,32.0,0.007,1m,3.5,2.0,1.5,58.0,778.0,0.005,1m,3.5,1.0,0.6,340.0,432.0,0.003,1m,3.5,3.5,0.8,370.0,214,0.009000000000000001,2m,2.5,4.0,1.2000000000000002,326,0.3,8,COMPLETE
36,36,7.853724936340238,2025-06-15 00:43:19.308919,2025-06-15 00:43:23.993070,0 days 00:00:04.684151,652.0,0.003,3m,1.0,1.0,0.6,502.0,586.0,0.004,3m,2.0,1.5,0.6,452.0,66.0,0.01,1m,4.0,4.0,0.5,50.0,20.0,0.003,4m,1.0,2.0,1.4,714.0,284.0,0.001,2m,1.0,1.5,1.3,450.0,,,,,,,,36.0,0.007,1m,4.0,2.0,1.5,16.0,798.0,0.005,1m,3.5,1.0,0.6,390.0,378.0,0.003,1m,3.5,3.5,0.8,348.0,224,0.008,4m,2.5,4.0,1.1,326,0.3,9,COMPLETE
