,number,value,datetime_start,datetime_complete,duration,params_ABNB_INTU_beta_win,params_ABNB_INTU_stop_loss,params_ABNB_INTU_trade_freq,params_ABNB_INTU_z_entry,params_ABNB_INTU_z_exit,params_ABNB_INTU_z_stop_scaler,params_ABNB_INTU_z_win,params_ADBE_ASML_beta_win,params_ADBE_ASML_stop_loss,params_ADBE_ASML_trade_freq,params_ADBE_ASML_z_entry,params_ADBE_ASML_z_exit,params_ADBE_ASML_z_stop_scaler,params_ADBE_ASML_z_win,params_ADBE_NFLX_beta_win,params_ADBE_NFLX_stop_loss,params_ADBE_NFLX_trade_freq,params_ADBE_NFLX_z_entry,params_ADBE_NFLX_z_exit,params_ADBE_NFLX_z_stop_scaler,params_ADBE_NFLX_z_win,params_ADP_INTU_beta_win,params_ADP_INTU_stop_loss,params_ADP_INTU_trade_freq,params_ADP_INTU_z_entry,params_ADP_INTU_z_exit,params_ADP_INTU_z_stop_scaler,params_ADP_INTU_z_win,params_ALGN_INTU_beta_win,params_ALGN_INTU_stop_loss,params_ALGN_INTU_trade_freq,params_ALGN_INTU_z_entry,params_ALGN_INTU_z_exit,params_ALGN_INTU_z_stop_scaler,params_ALGN_INTU_z_win,params_AMGN_INTU_beta_win,params_AMGN_INTU_stop_loss,params_AMGN_INTU_trade_freq,params_AMGN_INTU_z_entry,params_AMGN_INTU_z_exit,params_AMGN_INTU_z_stop_scaler,params_AMGN_INTU_z_win,params_CTAS_GILD_beta_win,params_CTAS_GILD_stop_loss,params_CTAS_GILD_trade_freq,params_CTAS_GILD_z_entry,params_CTAS_GILD_z_exit,params_CTAS_GILD_z_stop_scaler,params_CTAS_GILD_z_win,params_CTAS_TEAM_beta_win,params_CTAS_TEAM_stop_loss,params_CTAS_TEAM_trade_freq,params_CTAS_TEAM_z_entry,params_CTAS_TEAM_z_exit,params_CTAS_TEAM_z_stop_scaler,params_CTAS_TEAM_z_win,params_EA_INTU_beta_win,params_EA_INTU_stop_loss,params_EA_INTU_trade_freq,params_EA_INTU_z_entry,params_EA_INTU_z_exit,params_EA_INTU_z_stop_scaler,params_EA_INTU_z_win,params_FTNT_INTU_beta_win,params_FTNT_INTU_stop_loss,params_FTNT_INTU_trade_freq,params_FTNT_INTU_z_entry,params_FTNT_INTU_z_exit,params_FTNT_INTU_z_stop_scaler,params_FTNT_INTU_z_win,params_buffer_capital,params_pairs_to_trade,state
131,131,8.852312871282962,2025-06-15 01:22:31.172892,2025-06-15 01:22:34.053424,0 days 00:00:02.880532,982.0,0.007,1m,1.5,3.0,0.8,274.0,,,,,,,,762.0,0.001,4m,4.0,2.0,1.9000000000000001,872.0,514.0,0.003,4m,3.5,2.5,1.4,172.0,,,,,,,,978.0,0.003,1m,1.0,2.0,0.6,920.0,992,0.004,1m,3.5,3.5,1.4,360,226.0,0.003,3m,3.5,1.0,1.7000000000000002,434.0,,,,,,,,,,,,,,,0.2,6,COMPLETE
132,132,8.535867428890606,2025-06-15 01:22:34.121187,2025-06-15 01:22:37.086660,0 days 00:00:02.965473,954.0,0.007,1m,1.5,3.0,0.8,262.0,,,,,,,,784.0,0.001,4m,4.0,2.0,1.8,904.0,352.0,0.003,4m,3.5,2.5,1.5,172.0,,,,,,,,998.0,0.003,1m,1.0,2.0,0.6,920.0,988,0.005,1m,3.5,3.5,1.5,304,232.0,0.003,3m,3.5,1.0,1.7000000000000002,430.0,,,,,,,,,,,,,,,0.2,6,COMPLETE
133,133,3.9263225473055408,2025-06-15 01:22:37.139414,2025-06-15 01:22:40.128704,0 days 00:00:02.989290,948.0,0.007,1m,1.5,3.0,0.6,182.0,,,,,,,,780.0,0.001,4m,4.0,2.0,1.9000000000000001,916.0,378.0,0.003,4m,3.5,2.5,1.4,216.0,,,,,,,,986.0,0.003,1m,1.0,2.0,0.5,992.0,984,0.004,1m,3.5,3.5,1.5,242,724.0,0.004,3m,3.5,1.0,1.7000000000000002,392.0,,,,,,,,,,,,,,,0.2,6,COMPLETE
134,134,7.392285288715608,2025-06-15 01:22:40.174098,2025-06-15 01:22:42.054007,0 days 00:00:01.879909,910.0,0.007,1m,1.5,3.0,0.7,230.0,,,,,,,,792.0,0.001,4m,4.0,2.0,1.9000000000000001,850.0,408.0,0.003,4m,3.5,2.5,1.4,298.0,,,,,,,,,,,,,,,926,0.005,1m,3.5,3.5,1.5,306,,,,,,,,,,,,,,,,,,,,,,0.2,4,COMPLETE
135,135,8.204114673837996,2025-06-15 01:22:42.123705,2025-06-15 01:22:44.138887,0 days 00:00:02.015182,898.0,0.007,1m,1.5,3.0,0.7,262.0,,,,,,,,790.0,0.001,4m,3.0,2.0,1.9000000000000001,848.0,408.0,0.003,4m,3.5,2.5,1.4,300.0,,,,,,,,,,,,,,,908,0.005,1m,3.5,3.5,1.5,318,,,,,,,,,,,,,,,,,,,,,,0.2,4,COMPLETE
136,136,7.185174736993041,2025-06-15 01:22:44.211502,2025-06-15 01:22:46.309227,0 days 00:00:02.097725,886.0,0.007,1m,1.5,3.0,0.7,262.0,,,,,,,,760.0,0.001,4m,3.0,2.0,1.9000000000000001,846.0,338.0,0.003,4m,3.5,2.5,1.4,338.0,,,,,,,,,,,,,,,904,0.004,1m,4.0,3.5,1.5,292,,,,,,,,,,,,,,,,,,,,,,0.2,4,COMPLETE
137,137,8.311945666121524,2025-06-15 01:22:46.381143,2025-06-15 01:22:48.051252,0 days 00:00:01.670109,898.0,0.007,1m,1.5,3.0,0.6,226.0,,,,,,,,792.0,0.001,4m,2.5,2.0,1.9000000000000001,848.0,,,,,,,,,,,,,,,,,,,,,,906,0.005,1m,4.0,3.5,1.5,294,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
138,138,7.054969960149682,2025-06-15 01:22:48.123737,2025-06-15 01:22:49.489274,0 days 00:00:01.365537,888.0,0.006,1m,1.5,3.0,0.5,198.0,,,,,,,,790.0,0.001,4m,2.5,2.0,1.9000000000000001,852.0,,,,,,,,,,,,,,,,,,,,,,922,0.005,1m,4.0,3.5,1.5,308,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
139,139,6.872765792614877,2025-06-15 01:22:49.581710,2025-06-15 01:22:51.904769,0 days 00:00:02.323059,886.0,0.007,1m,1.5,3.0,0.6,228.0,,,,,,,,676.0,0.001,4m,2.5,2.0,1.8,838.0,364.0,0.006,4m,3.5,2.5,1.4,300.0,,,,,,,,,,,,,,,912,0.005,1m,4.0,3.5,1.5,280,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
140,140,7.360655522989593,2025-06-15 01:22:51.960024,2025-06-15 01:22:53.617817,0 days 00:00:01.657793,912.0,0.007,1m,1.5,3.0,0.7,144.0,,,,,,,,846.0,0.001,4m,2.5,2.0,1.9000000000000001,820.0,,,,,,,,,,,,,,,,,,,,,,884,0.005,1m,4.0,3.5,1.4,216,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
141,141,5.421464636622212,2025-06-15 01:22:53.690637,2025-06-15 01:22:55.242475,0 days 00:00:01.551838,898.0,0.007,1m,1.5,3.0,0.7,40.0,,,,,,,,836.0,0.001,4m,2.5,2.0,1.9000000000000001,814.0,,,,,,,,,,,,,,,,,,,,,,898,0.005,1m,4.0,3.5,1.4,200,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
142,142,2.9482310442877737,2025-06-15 01:22:55.316482,2025-06-15 01:22:56.382971,0 days 00:00:01.066489,,,,,,,,,,,,,,,908.0,0.001,4m,2.5,2.0,1.8,866.0,,,,,,,,,,,,,,,,,,,,,,938,0.005,1m,4.0,3.5,1.4,238,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
143,143,7.311902772677779,2025-06-15 01:22:56.451420,2025-06-15 01:22:58.640524,0 days 00:00:02.189104,912.0,0.007,1m,1.5,3.0,0.7,132.0,,,,,,,,858.0,0.001,4m,2.0,2.0,1.9000000000000001,850.0,326.0,0.004,4m,4.0,2.5,1.4,266.0,,,,,,,,,,,,,,,892,0.005,1m,4.0,3.5,1.6,352,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
144,144,5.518682711368246,2025-06-15 01:22:58.713390,2025-06-15 01:23:00.904296,0 days 00:00:02.190906,916.0,0.007,1m,1.5,3.0,0.6,106.0,,,,,,,,862.0,0.001,4m,2.5,2.0,1.9000000000000001,822.0,332.0,0.003,4m,4.0,2.0,1.4,328.0,,,,,,,,,,,,,,,874,0.005,1m,4.0,3.5,1.6,342,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
145,145,-7.787061260505881,2025-06-15 01:23:00.983434,2025-06-15 01:23:03.296916,0 days 00:00:02.313482,908.0,0.006,4m,1.5,3.0,0.8,106.0,,,,,,,,770.0,0.001,4m,2.0,2.0,1.9000000000000001,864.0,284.0,0.003,4m,4.0,2.0,1.4,296.0,,,,,,,,,,,,,,,892,0.005,1m,4.0,3.5,1.5,316,,,,,,,,,,,,,,,,,,,,,,0.1,4,COMPLETE
146,146,2.4746217658896277,2025-06-15 01:23:03.365519,2025-06-15 01:23:04.399111,0 days 00:00:01.033592,,,,,,,,,,,,,,,856.0,0.001,4m,2.0,2.0,1.9000000000000001,918.0,,,,,,,,,,,,,,,,,,,,,,934,0.005,1m,4.0,3.5,1.6,292,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
147,147,2.3420522923149716,2025-06-15 01:23:04.439258,2025-06-15 01:23:05.969078,0 days 00:00:01.529820,850.0,0.007,1m,1.5,3.0,0.7,266.0,,,,,,,,708.0,0.001,4m,2.0,2.0,2.0,102.0,,,,,,,,,,,,,,,,,,,,,,906,0.005,1m,4.0,3.5,1.5,264,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
148,148,6.713324222659992,2025-06-15 01:23:06.041251,2025-06-15 01:23:08.625260,0 days 00:00:02.584009,868.0,0.007,1m,1.5,3.0,0.8,242.0,,,,,,,,790.0,0.007,4m,3.0,2.0,1.8,904.0,408.0,0.003,1m,4.0,2.5,1.4,346.0,,,,,,,,,,,,,,,942,0.006,1m,4.0,3.5,1.3,350,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
149,149,5.741030166554922,2025-06-15 01:23:08.686328,2025-06-15 01:23:11.523645,0 days 00:00:02.837317,926.0,0.007,1m,1.5,3.0,0.7,156.0,,,,,,,,830.0,0.01,4m,2.5,2.5,1.7000000000000002,798.0,,,,,,,,,,,,,,,,,,,,,,862,0.004,1m,4.0,3.5,1.5,324,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
