,number,value,datetime_start,datetime_complete,duration,params_BIDU_PEP_beta_win,params_BIDU_PEP_stop_loss,params_BIDU_PEP_trade_freq,params_BIDU_PEP_z_entry,params_BIDU_PEP_z_exit,params_BIDU_PEP_z_stop_scaler,params_BIDU_PEP_z_win,params_CDW_VRSK_beta_win,params_CDW_VRSK_stop_loss,params_CDW_VRSK_trade_freq,params_CDW_VRSK_z_entry,params_CDW_VRSK_z_exit,params_CDW_VRSK_z_stop_scaler,params_CDW_VRSK_z_win,params_COST_MAR_beta_win,params_COST_MAR_stop_loss,params_COST_MAR_trade_freq,params_COST_MAR_z_entry,params_COST_MAR_z_exit,params_COST_MAR_z_stop_scaler,params_COST_MAR_z_win,params_CSCO_EXC_beta_win,params_CSCO_EXC_stop_loss,params_CSCO_EXC_trade_freq,params_CSCO_EXC_z_entry,params_CSCO_EXC_z_exit,params_CSCO_EXC_z_stop_scaler,params_CSCO_EXC_z_win,params_DXCM_XLNX_beta_win,params_DXCM_XLNX_stop_loss,params_DXCM_XLNX_trade_freq,params_DXCM_XLNX_z_entry,params_DXCM_XLNX_z_exit,params_DXCM_XLNX_z_stop_scaler,params_DXCM_XLNX_z_win,params_GILD_MAR_beta_win,params_GILD_MAR_stop_loss,params_GILD_MAR_trade_freq,params_GILD_MAR_z_entry,params_GILD_MAR_z_exit,params_GILD_MAR_z_stop_scaler,params_GILD_MAR_z_win,params_GILD_MU_beta_win,params_GILD_MU_stop_loss,params_GILD_MU_trade_freq,params_GILD_MU_z_entry,params_GILD_MU_z_exit,params_GILD_MU_z_stop_scaler,params_GILD_MU_z_win,params_GOOG_MAR_beta_win,params_GOOG_MAR_stop_loss,params_GOOG_MAR_trade_freq,params_GOOG_MAR_z_entry,params_GOOG_MAR_z_exit,params_GOOG_MAR_z_stop_scaler,params_GOOG_MAR_z_win,params_MAR_MU_beta_win,params_MAR_MU_stop_loss,params_MAR_MU_trade_freq,params_MAR_MU_z_entry,params_MAR_MU_z_exit,params_MAR_MU_z_stop_scaler,params_MAR_MU_z_win,params_PDD_ADP_beta_win,params_PDD_ADP_stop_loss,params_PDD_ADP_trade_freq,params_PDD_ADP_z_entry,params_PDD_ADP_z_exit,params_PDD_ADP_z_stop_scaler,params_PDD_ADP_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,6.11091921945615,2025-06-15 00:25:09.511708,2025-06-15 00:25:14.381444,0 days 00:00:04.869736,852.0,0.001,2m,4.0,1.0,2.0,64.0,642.0,0.003,3m,4.0,1.0,0.5,468.0,98.0,0.01,4m,1.0,4.0,0.7,918.0,998.0,0.002,2m,1.0,4.0,0.6,58.0,430.0,0.007,4m,4.0,1.5,0.9,172.0,26,0.004,2m,3.0,1.0,1.1,1016,348.0,0.01,2m,4.0,1.0,2.0,808.0,910.0,0.01,4m,4.0,4.0,2.0,884.0,550.0,0.004,3m,3.5,1.0,0.7,60.0,526.0,0.005,4m,2.0,1.0,1.0,802.0,0.35000000000000003,10,COMPLETE
11,11,4.915037147934185,2025-06-15 00:25:14.459960,2025-06-15 00:25:19.409736,0 days 00:00:04.949776,974.0,0.001,2m,4.0,1.0,2.0,42.0,698.0,0.001,3m,4.0,1.0,0.5,504.0,18.0,0.01,4m,1.0,4.0,0.5,926.0,954.0,0.002,2m,1.0,4.0,0.5,54.0,438.0,0.007,4m,4.0,1.5,0.8,192.0,56,0.004,2m,3.0,1.0,1.0,1008,294.0,0.01,2m,4.0,1.0,2.0,856.0,948.0,0.01,4m,4.0,4.0,2.0,1002.0,466.0,0.004,3m,3.5,1.0,0.8,26.0,514.0,0.005,4m,2.0,1.0,1.0,796.0,0.35000000000000003,10,COMPLETE
12,12,0.4919908355356364,2025-06-15 00:25:19.511824,2025-06-15 00:25:24.538752,0 days 00:00:05.026928,732.0,0.001,2m,4.0,1.5,1.6,80.0,398.0,0.003,4m,4.0,1.0,0.5,476.0,286.0,0.007,4m,1.0,3.0,0.5,740.0,1024.0,0.004,1m,1.0,4.0,0.9,28.0,422.0,0.007,4m,4.0,1.5,1.0,198.0,44,0.005,2m,3.5,1.0,1.6,1022,266.0,0.009000000000000001,2m,4.0,1.5,2.0,690.0,852.0,0.01,4m,4.0,4.0,2.0,748.0,664.0,0.004,3m,3.5,1.0,0.5,42.0,572.0,0.002,4m,2.0,1.0,0.5,1014.0,0.4,10,COMPLETE
13,13,3.1429365766731205,2025-06-15 00:25:24.622277,2025-06-15 00:25:25.309398,0 days 00:00:00.687121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618,0.002,2m,3.0,1.5,1.0,866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
14,14,5.866362635688481,2025-06-15 00:25:25.409455,2025-06-15 00:25:28.827263,0 days 00:00:03.417808,920.0,0.003,2m,3.0,2.0,1.4,266.0,804.0,0.003,3m,3.5,2.0,0.9,358.0,32.0,0.001,1m,2.0,4.0,2.0,696.0,,,,,,,,,,,,,,,734,0.006,2m,3.5,2.0,1.5,866,632.0,0.007,2m,3.0,1.0,1.7000000000000002,560.0,,,,,,,,308.0,0.004,3m,3.5,2.0,0.8,716.0,430.0,0.006,4m,2.0,1.5,1.1,820.0,0.5,7,COMPLETE
15,15,-1.972608834239494,2025-06-15 00:25:28.902792,2025-06-15 00:25:32.866913,0 days 00:00:03.964121,26.0,0.003,1m,1.0,1.5,2.0,1008.0,460.0,0.004,4m,1.0,2.5,0.9,22.0,602.0,0.01,4m,4.0,3.0,0.9,136.0,42.0,0.004,2m,2.0,3.0,1.9000000000000001,408.0,,,,,,,,112,0.003,2m,2.5,2.5,1.0,870,234.0,0.008,2m,2.0,2.0,2.0,714.0,,,,,,,,810.0,0.005,4m,4.0,1.5,0.9,254.0,702.0,0.008,1m,3.0,2.0,0.8,748.0,0.3,8,COMPLETE
16,16,0.5005468228985351,2025-06-15 00:25:32.935437,2025-06-15 00:25:37.788190,0 days 00:00:04.852753,656.0,0.009000000000000001,2m,3.0,4.0,1.5,288.0,798.0,0.001,3m,3.5,1.0,0.7,646.0,354.0,0.005,4m,1.0,2.0,1.6,1020.0,658.0,0.003,3m,4.0,3.0,1.0,302.0,782.0,0.008,2m,1.5,2.0,1.0,158.0,172,0.006,2m,4.0,1.5,0.8,554,404.0,0.001,2m,3.5,1.0,1.7000000000000002,380.0,584.0,0.008,4m,4.0,4.0,1.6,222.0,486.0,0.006,3m,3.0,1.5,0.7,1002.0,366.0,0.005,4m,4.0,3.5,1.2000000000000002,440.0,0.4,10,COMPLETE
17,17,3.9234400415184387,2025-06-15 00:25:37.886225,2025-06-15 00:25:41.783006,0 days 00:00:03.896781,814.0,0.003,2m,3.0,1.0,1.1,274.0,986.0,0.003,4m,3.5,1.5,1.2000000000000002,720.0,620.0,0.008,3m,2.0,3.5,0.9,728.0,392.0,0.01,1m,1.5,3.5,0.8,826.0,,,,,,,,30,0.003,2m,3.5,1.0,1.6,926,744.0,0.01,1m,3.5,2.0,0.9,24.0,,,,,,,,268.0,0.01,3m,3.0,2.0,1.6,184.0,706.0,0.004,4m,1.0,2.0,0.5,660.0,0.25,8,COMPLETE
18,18,5.0991241953212825,2025-06-15 00:25:41.877057,2025-06-15 00:25:46.432066,0 days 00:00:04.555009,536.0,0.004,1m,1.0,2.0,1.7000000000000002,22.0,594.0,0.007,3m,3.0,2.0,1.1,348.0,194.0,0.003,1m,1.5,2.0,1.0,806.0,800.0,0.006,2m,3.0,2.5,1.3,230.0,,,,,,,,458,0.005,1m,2.0,2.5,1.1,808,140.0,0.004,2m,2.5,1.5,1.4,632.0,668.0,0.006,2m,3.0,1.0,1.4,596.0,668.0,0.001,3m,3.0,1.0,0.5,682.0,676.0,0.008,4m,1.5,1.5,1.0,874.0,0.35000000000000003,9,COMPLETE
19,19,-0.02687856167419981,2025-06-15 00:25:46.513587,2025-06-15 00:25:49.493808,0 days 00:00:02.980221,,,,,,,,838.0,0.002,4m,2.5,4.0,0.6,406.0,756.0,0.007,2m,3.5,3.5,1.6,498.0,,,,,,,,,,,,,,,736,0.007,2m,3.0,1.5,0.7,776,406.0,0.008,2m,4.0,2.5,1.8,824.0,,,,,,,,908.0,0.005,4m,3.5,1.5,0.9,860.0,366.0,0.006,1m,3.0,3.5,1.4,1022.0,0.45,6,COMPLETE
