,number,value,datetime_start,datetime_complete,duration,params_BIDU_PEP_beta_win,params_BIDU_PEP_stop_loss,params_BIDU_PEP_trade_freq,params_BIDU_PEP_z_entry,params_BIDU_PEP_z_exit,params_BIDU_PEP_z_stop_scaler,params_BIDU_PEP_z_win,params_CDW_VRSK_beta_win,params_CDW_VRSK_stop_loss,params_CDW_VRSK_trade_freq,params_CDW_VRSK_z_entry,params_CDW_VRSK_z_exit,params_CDW_VRSK_z_stop_scaler,params_CDW_VRSK_z_win,params_COST_MAR_beta_win,params_COST_MAR_stop_loss,params_COST_MAR_trade_freq,params_COST_MAR_z_entry,params_COST_MAR_z_exit,params_COST_MAR_z_stop_scaler,params_COST_MAR_z_win,params_CSCO_EXC_beta_win,params_CSCO_EXC_stop_loss,params_CSCO_EXC_trade_freq,params_CSCO_EXC_z_entry,params_CSCO_EXC_z_exit,params_CSCO_EXC_z_stop_scaler,params_CSCO_EXC_z_win,params_DXCM_XLNX_beta_win,params_DXCM_XLNX_stop_loss,params_DXCM_XLNX_trade_freq,params_DXCM_XLNX_z_entry,params_DXCM_XLNX_z_exit,params_DXCM_XLNX_z_stop_scaler,params_DXCM_XLNX_z_win,params_GILD_MAR_beta_win,params_GILD_MAR_stop_loss,params_GILD_MAR_trade_freq,params_GILD_MAR_z_entry,params_GILD_MAR_z_exit,params_GILD_MAR_z_stop_scaler,params_GILD_MAR_z_win,params_GILD_MU_beta_win,params_GILD_MU_stop_loss,params_GILD_MU_trade_freq,params_GILD_MU_z_entry,params_GILD_MU_z_exit,params_GILD_MU_z_stop_scaler,params_GILD_MU_z_win,params_GOOG_MAR_beta_win,params_GOOG_MAR_stop_loss,params_GOOG_MAR_trade_freq,params_GOOG_MAR_z_entry,params_GOOG_MAR_z_exit,params_GOOG_MAR_z_stop_scaler,params_GOOG_MAR_z_win,params_MAR_MU_beta_win,params_MAR_MU_stop_loss,params_MAR_MU_trade_freq,params_MAR_MU_z_entry,params_MAR_MU_z_exit,params_MAR_MU_z_stop_scaler,params_MAR_MU_z_win,params_PDD_ADP_beta_win,params_PDD_ADP_stop_loss,params_PDD_ADP_trade_freq,params_PDD_ADP_z_entry,params_PDD_ADP_z_exit,params_PDD_ADP_z_stop_scaler,params_PDD_ADP_z_win,params_buffer_capital,params_pairs_to_trade,state
30,30,-3.4865848707680738,2025-06-15 00:26:29.445102,2025-06-15 00:26:30.056344,0 days 00:00:00.611242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,0.005,2m,2.5,2.0,1.7000000000000002,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
31,31,2.9828277490635027,2025-06-15 00:26:30.126860,2025-06-15 00:26:33.047543,0 days 00:00:02.920683,,,,,,,,758.0,0.003,3m,3.5,2.0,0.9,384.0,76.0,0.001,1m,2.5,4.0,2.0,672.0,,,,,,,,,,,,,,,812,0.006,2m,3.5,2.0,1.5,876,632.0,0.007,2m,3.0,1.0,1.7000000000000002,498.0,,,,,,,,302.0,0.004,3m,3.5,2.0,0.7,666.0,448.0,0.006,4m,2.0,1.5,1.1,808.0,0.5,6,COMPLETE
32,32,1.407055420266649,2025-06-15 00:26:33.113552,2025-06-15 00:26:36.344551,0 days 00:00:03.230999,892.0,0.004,2m,3.5,2.0,1.5,234.0,584.0,0.004,3m,3.5,1.5,0.8,560.0,212.0,0.002,1m,2.0,4.0,1.9000000000000001,744.0,,,,,,,,,,,,,,,666,0.007,2m,3.5,1.5,1.3,738,668.0,0.007,2m,3.0,1.0,1.9000000000000001,572.0,,,,,,,,204.0,0.003,3m,4.0,2.5,0.8,714.0,610.0,0.005,4m,1.0,1.5,0.9,754.0,0.5,7,COMPLETE
33,33,-1.584768626185795,2025-06-15 00:26:36.421069,2025-06-15 00:26:38.551936,0 days 00:00:02.130867,,,,,,,,530.0,0.002,3m,4.0,2.0,1.0,442.0,,,,,,,,,,,,,,,,,,,,,,720,0.007,2m,4.0,2.0,1.5,960,,,,,,,,,,,,,,,1018.0,0.005,3m,3.5,2.0,0.6,576.0,746.0,0.003,4m,2.0,2.5,1.1,850.0,0.5,4,COMPLETE
34,34,-3.33550269999445,2025-06-15 00:26:38.650450,2025-06-15 00:26:45.690825,0 days 00:00:07.040375,754.0,0.002,2m,4.0,2.0,1.3,124.0,868.0,0.003,3m,3.5,2.5,0.6,344.0,252.0,0.001,1m,2.0,3.5,1.9000000000000001,892.0,438.0,0.002,4m,2.5,3.5,0.7,670.0,,,,,,,,312,0.004,2m,3.5,2.5,1.8,860,834.0,0.005,2m,3.0,1.0,1.7000000000000002,388.0,,,,,,,,26.0,0.007,3m,3.0,2.0,0.8,624.0,802.0,0.008,4m,2.5,2.0,1.4,654.0,0.4,8,COMPLETE
35,35,-3.9458272528049,2025-06-15 00:26:45.797345,2025-06-15 00:26:51.557478,0 days 00:00:05.760133,914.0,0.002,2m,3.0,1.5,1.1,344.0,666.0,0.005,2m,3.0,1.5,0.7,1014.0,90.0,0.002,4m,1.5,4.0,1.7000000000000002,632.0,894.0,0.005,3m,3.0,4.0,1.2000000000000002,140.0,,,,,,,,890,0.005,2m,4.0,1.5,1.5,636,988.0,0.007,2m,4.0,1.5,1.9000000000000001,590.0,474.0,0.01,1m,3.5,2.0,1.2000000000000002,760.0,444.0,0.004,3m,3.5,1.5,0.9,460.0,898.0,0.007,3m,1.5,1.0,0.7,986.0,0.45,9,COMPLETE
36,36,-5.424229818351339,2025-06-15 00:26:51.638013,2025-06-15 00:26:54.082271,0 days 00:00:02.444258,,,,,,,,786.0,0.005,3m,3.0,2.5,0.9,224.0,,,,,,,,,,,,,,,,,,,,,,510,0.006,4m,3.0,1.5,1.3,910,696.0,0.009000000000000001,2m,3.5,1.0,2.0,468.0,,,,,,,,338.0,0.002,1m,2.0,2.5,1.9000000000000001,822.0,302.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,494.0,0.5,5,COMPLETE
37,37,-1.3207433252932772,2025-06-15 00:26:54.162783,2025-06-15 00:26:57.627132,0 days 00:00:03.464349,1016.0,0.004,2m,3.5,2.5,1.6,202.0,18.0,0.004,1m,2.5,1.5,0.5,294.0,74.0,0.004,1m,3.0,3.5,0.7,394.0,,,,,,,,,,,,,,,362,0.008,1m,4.0,2.0,2.0,972,550.0,0.001,4m,2.5,4.0,1.6,916.0,,,,,,,,592.0,0.003,3m,1.0,2.0,1.1,918.0,464.0,0.01,1m,2.5,1.0,1.0,728.0,0.45,7,COMPLETE
38,38,-1.4055557542207007,2025-06-15 00:26:57.709646,2025-06-15 00:26:58.862083,0 days 00:00:01.152437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596,0.004,4m,3.5,1.0,0.9,212,,,,,,,,,,,,,,,,,,,,,,914.0,0.006,4m,3.0,2.5,2.0,928.0,0.4,2,COMPLETE
39,39,-6.269816006864958,2025-06-15 00:26:58.941119,2025-06-15 00:27:00.984409,0 days 00:00:02.043290,,,,,,,,900.0,0.003,4m,4.0,1.0,1.3,536.0,,,,,,,,,,,,,,,,,,,,,,92,0.003,2m,2.0,4.0,0.6,742,,,,,,,,,,,,,,,530.0,0.007,4m,4.0,1.0,1.0,732.0,532.0,0.004,3m,1.5,3.0,0.6,610.0,0.2,4,COMPLETE
40,40,-2.679824156983247,2025-06-15 00:27:01.066922,2025-06-15 00:27:03.931502,0 days 00:00:02.864580,,,,,,,,970.0,0.006,1m,3.5,2.0,0.8,230.0,554.0,0.002,1m,1.0,4.0,2.0,778.0,,,,,,,,,,,,,,,736,0.01,3m,1.0,2.5,1.7000000000000002,682,92.0,0.004,1m,3.0,1.5,1.5,160.0,,,,,,,,164.0,0.006,1m,3.0,1.5,0.6,526.0,658.0,0.007,2m,1.0,4.0,0.8,330.0,0.35000000000000003,6,COMPLETE
41,41,0.059514321266359055,2025-06-15 00:27:04.016011,2025-06-15 00:27:08.817874,0 days 00:00:04.801863,832.0,0.005,2m,2.5,2.5,0.7,122.0,644.0,0.004,3m,4.0,1.5,0.5,468.0,166.0,0.003,1m,1.0,3.5,1.8,872.0,244.0,0.003,4m,1.0,3.0,0.9,642.0,62.0,0.002,4m,4.0,4.0,2.0,932.0,910,0.004,2m,3.0,3.0,1.9000000000000001,980,938.0,0.008,2m,2.0,1.0,2.0,404.0,296.0,0.003,4m,1.0,3.5,0.8,982.0,618.0,0.003,3m,3.0,1.0,0.7,878.0,610.0,0.009000000000000001,4m,2.0,1.0,0.9,672.0,0.45,10,COMPLETE
42,42,-0.7572824453638317,2025-06-15 00:27:08.956491,2025-06-15 00:27:17.459125,0 days 00:00:08.502634,748.0,0.005,2m,2.5,3.0,0.8,120.0,632.0,0.004,3m,4.0,1.5,0.6,630.0,222.0,0.001,1m,1.0,3.5,1.9000000000000001,958.0,240.0,0.004,4m,1.0,3.0,0.7,734.0,36.0,0.004,3m,3.0,3.0,1.6,730.0,834,0.004,2m,3.0,3.5,1.8,840,854.0,0.008,2m,1.5,1.5,1.9000000000000001,316.0,308.0,0.004,4m,1.0,3.5,0.9,906.0,528.0,0.003,3m,3.5,1.0,0.7,906.0,744.0,0.009000000000000001,4m,2.0,1.0,0.9,780.0,0.45,10,COMPLETE
43,43,5.259997385180518,2025-06-15 00:27:17.584640,2025-06-15 00:27:22.516261,0 days 00:00:04.931621,878.0,0.003,2m,2.0,2.0,1.1,242.0,720.0,0.002,3m,4.0,1.5,0.5,506.0,800.0,0.003,3m,1.5,4.0,1.4,832.0,506.0,0.003,4m,1.5,3.5,1.0,476.0,,,,,,,,838,0.005,2m,3.0,3.5,1.2000000000000002,906,1014.0,0.006,3m,2.0,1.0,2.0,436.0,290.0,0.002,4m,1.5,3.0,1.0,844.0,740.0,0.004,3m,2.5,1.5,0.8,814.0,574.0,0.01,4m,2.0,1.5,1.1,842.0,0.5,9,COMPLETE
44,44,3.1782040651753913,2025-06-15 00:27:22.592778,2025-06-15 00:27:26.464766,0 days 00:00:03.871988,928.0,0.005,2m,2.5,2.5,0.6,16.0,562.0,0.003,2m,4.0,2.0,0.7,386.0,20.0,0.002,1m,1.0,3.5,1.7000000000000002,846.0,692.0,0.006,2m,1.5,2.0,0.6,572.0,,,,,,,,922,0.003,2m,3.5,3.0,1.8,970,466.0,0.006,2m,1.5,1.5,1.8,224.0,,,,,,,,506.0,0.002,2m,3.0,1.0,0.6,956.0,488.0,0.008,4m,2.5,1.0,1.0,708.0,0.4,8,COMPLETE
45,45,1.5368205973897529,2025-06-15 00:27:26.549289,2025-06-15 00:27:31.660479,0 days 00:00:05.111190,792.0,0.004,4m,3.0,2.0,0.8,110.0,482.0,0.005,3m,3.5,3.0,0.6,308.0,124.0,0.003,4m,2.0,4.0,1.9000000000000001,696.0,140.0,0.001,1m,1.0,3.0,0.9,382.0,712.0,0.005,4m,3.5,3.0,1.3,476.0,786,0.002,2m,3.0,2.5,2.0,1008,590.0,0.007,3m,2.5,1.0,1.9000000000000001,330.0,630.0,0.005,4m,2.0,4.0,0.5,630.0,110.0,0.005,3m,3.5,1.0,1.3,404.0,44.0,0.01,4m,1.5,1.5,0.9,106.0,0.3,10,COMPLETE
46,46,-3.2801591943936454,2025-06-15 00:27:31.758009,2025-06-15 00:27:36.231316,0 days 00:00:04.473307,700.0,0.006,2m,2.5,1.0,0.9,334.0,840.0,0.007,3m,4.0,1.0,1.5,66.0,360.0,0.001,2m,1.5,3.0,1.8,984.0,282.0,0.002,4m,2.0,4.0,1.5,704.0,,,,,,,,988,0.004,2m,2.5,3.0,1.7000000000000002,898,926.0,0.009000000000000001,4m,2.5,1.0,1.7000000000000002,552.0,58.0,0.008,4m,3.5,2.5,1.8,420.0,696.0,0.004,3m,2.5,1.5,0.5,754.0,406.0,0.009000000000000001,4m,2.0,1.0,0.8,642.0,0.45,9,COMPLETE
47,47,1.5985466536288224,2025-06-15 00:27:36.323525,2025-06-15 00:27:41.264073,0 days 00:00:04.940548,842.0,0.002,4m,2.0,2.5,1.4,172.0,750.0,0.001,1m,3.0,1.5,0.5,190.0,150.0,0.005,1m,2.5,2.5,1.3,898.0,518.0,0.004,4m,3.5,3.5,1.2000000000000002,784.0,234.0,0.001,4m,3.0,4.0,0.7,64.0,858,0.005,1m,4.0,2.5,1.0,760,832.0,0.008,2m,2.0,1.5,2.0,248.0,408.0,0.006,4m,2.0,3.5,1.4,882.0,426.0,0.008,3m,4.0,2.0,0.7,832.0,624.0,0.005,2m,2.5,3.0,0.6,824.0,0.4,10,COMPLETE
48,48,0.5581041824321435,2025-06-15 00:27:41.330074,2025-06-15 00:27:45.376279,0 days 00:00:04.046205,600.0,0.007,2m,1.5,2.5,1.0,80.0,660.0,0.003,4m,2.0,1.0,0.8,470.0,264.0,0.008,4m,1.0,4.0,1.6,780.0,332.0,0.003,2m,1.5,2.5,0.8,948.0,,,,,,,,218,0.006,2m,3.0,1.5,0.9,826,360.0,0.006,2m,3.5,2.0,1.0,138.0,,,,,,,,624.0,0.003,2m,3.5,2.5,0.9,624.0,118.0,0.001,4m,2.5,2.0,1.3,534.0,0.5,8,COMPLETE
49,49,1.7028608249446668,2025-06-15 00:27:45.451306,2025-06-15 00:27:50.394436,0 days 00:00:04.943130,390.0,0.003,4m,3.5,1.5,1.7000000000000002,592.0,416.0,0.004,3m,1.0,2.0,2.0,686.0,54.0,0.007,4m,1.5,3.5,1.8,930.0,438.0,0.005,1m,1.0,3.5,1.1,438.0,572.0,0.008,4m,3.5,1.0,1.3,652.0,142,0.004,4m,3.5,1.0,0.5,952,716.0,0.009000000000000001,2m,3.0,3.0,2.0,718.0,768.0,0.009000000000000001,2m,4.0,3.0,1.8,246.0,968.0,0.009000000000000001,3m,4.0,1.5,1.5,1022.0,678.0,0.007,4m,1.5,2.5,1.1,762.0,0.45,10,COMPLETE
50,50,-1.7045227874523283,2025-06-15 00:27:50.491463,2025-06-15 00:27:53.189015,0 days 00:00:02.697552,,,,,,,,82.0,0.009000000000000001,2m,3.5,1.5,1.1,532.0,,,,,,,,,,,,,,,,,,,,,,706,0.007,2m,3.5,2.0,1.4,160,798.0,0.01,1m,2.0,1.5,1.6,350.0,,,,,,,,786.0,0.001,3m,3.0,1.0,0.6,784.0,316.0,0.002,3m,3.0,3.5,0.7,874.0,0.35000000000000003,5,COMPLETE
51,51,2.8445222959781784,2025-06-15 00:27:53.271529,2025-06-15 00:27:58.013478,0 days 00:00:04.741949,896.0,0.003,2m,2.0,2.0,1.2000000000000002,244.0,730.0,0.002,3m,4.0,1.5,0.5,508.0,1014.0,0.003,3m,1.0,4.0,1.4,868.0,506.0,0.003,4m,1.5,3.5,1.0,498.0,,,,,,,,794,0.005,2m,3.0,3.5,1.2000000000000002,904,976.0,0.006,3m,2.0,1.0,2.0,428.0,180.0,0.002,4m,1.5,3.0,1.0,866.0,744.0,0.004,3m,2.0,1.5,0.8,722.0,556.0,0.01,4m,2.0,1.5,1.1,832.0,0.5,9,COMPLETE
52,52,6.024078662236217,2025-06-15 00:27:58.081005,2025-06-15 00:28:02.658055,0 days 00:00:04.577050,950.0,0.004,2m,2.0,2.0,1.1,212.0,708.0,0.002,3m,4.0,1.5,0.5,434.0,830.0,0.004,3m,1.5,4.0,1.4,796.0,584.0,0.002,4m,2.0,4.0,1.0,604.0,,,,,,,,938,0.005,2m,2.5,3.5,1.1,876,904.0,0.006,3m,2.0,1.0,1.9000000000000001,448.0,332.0,0.001,4m,1.5,2.0,1.0,1014.0,558.0,0.004,3m,2.5,1.5,0.8,854.0,602.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,886.0,0.5,9,COMPLETE
53,53,2.590002887015765,2025-06-15 00:28:02.737054,2025-06-15 00:28:07.702944,0 days 00:00:04.965890,930.0,0.006,2m,2.5,3.0,0.9,190.0,620.0,0.001,3m,4.0,1.0,0.6,370.0,818.0,0.004,3m,1.5,3.0,1.5,758.0,578.0,0.002,4m,2.0,4.0,0.8,596.0,972.0,0.005,4m,3.5,2.5,2.0,338.0,960,0.003,2m,2.5,4.0,1.1,1024,898.0,0.007,3m,1.5,1.0,1.9000000000000001,466.0,372.0,0.001,4m,1.5,2.0,0.7,1024.0,574.0,0.005,3m,2.5,1.0,1.1,868.0,714.0,0.009000000000000001,4m,2.0,2.0,1.4,902.0,0.1,10,COMPLETE
54,54,5.972913203765994,2025-06-15 00:28:07.772460,2025-06-15 00:28:12.385733,0 days 00:00:04.613273,1024.0,0.004,2m,1.0,1.0,1.2000000000000002,730.0,556.0,0.003,3m,1.5,2.0,1.7000000000000002,436.0,718.0,0.005,3m,1.0,4.0,1.9000000000000001,696.0,724.0,0.001,4m,2.5,4.0,0.6,908.0,,,,,,,,18,0.006,2m,2.0,3.5,1.0,868,886.0,0.008,3m,3.5,1.0,1.2000000000000002,526.0,530.0,0.002,4m,1.0,2.0,1.0,912.0,478.0,0.002,3m,2.0,1.5,0.7,972.0,810.0,0.008,4m,2.0,1.0,1.2000000000000002,682.0,0.45,9,COMPLETE
55,55,-6.166038295496906,2025-06-15 00:28:12.444025,2025-06-15 00:28:16.147577,0 days 00:00:03.703552,1016.0,0.004,3m,1.0,1.0,1.2000000000000002,786.0,562.0,0.002,4m,1.5,3.0,1.8,430.0,706.0,0.005,3m,2.0,4.0,2.0,572.0,,,,,,,,,,,,,,,56,0.006,2m,1.5,3.5,0.8,784,190.0,0.007,3m,4.0,1.0,1.1,632.0,,,,,,,,366.0,0.002,3m,1.5,2.0,1.0,944.0,834.0,0.008,1m,4.0,1.5,1.2000000000000002,982.0,0.4,7,COMPLETE
56,56,0.9856910135352542,2025-06-15 00:28:16.215086,2025-06-15 00:28:20.864856,0 days 00:00:04.649770,180.0,0.001,2m,1.0,1.0,1.3,860.0,836.0,0.003,3m,2.5,2.0,1.6,328.0,880.0,0.006,3m,1.5,4.0,0.7,648.0,712.0,0.001,4m,2.5,4.0,0.6,950.0,,,,,,,,24,0.006,2m,2.0,4.0,1.0,842,602.0,0.002,3m,4.0,1.0,1.3,508.0,542.0,0.001,3m,1.5,2.0,1.1,644.0,472.0,0.004,4m,2.0,1.5,0.9,668.0,784.0,0.008,4m,2.5,4.0,1.6,790.0,0.5,9,COMPLETE
57,57,-4.7446687046064016,2025-06-15 00:28:20.956373,2025-06-15 00:28:25.221419,0 days 00:00:04.265046,938.0,0.004,2m,1.5,1.5,1.4,522.0,266.0,0.003,3m,1.5,2.0,1.2000000000000002,442.0,900.0,0.01,3m,1.0,4.0,1.2000000000000002,716.0,580.0,0.001,3m,2.5,4.0,0.5,872.0,,,,,,,,106,0.008,3m,2.0,3.5,1.0,696,890.0,0.005,3m,3.5,1.0,1.2000000000000002,694.0,,,,,,,,530.0,0.006,1m,1.5,2.0,1.2000000000000002,976.0,870.0,0.007,4m,1.5,1.0,1.3,740.0,0.45,8,COMPLETE
58,58,-2.882487244654834,2025-06-15 00:28:25.303930,2025-06-15 00:28:30.029050,0 days 00:00:04.725120,980.0,0.003,1m,1.0,1.0,2.0,696.0,698.0,0.002,4m,1.5,2.5,1.8,578.0,668.0,0.008,3m,2.0,2.0,1.9000000000000001,402.0,756.0,0.001,1m,2.5,4.0,0.6,112.0,,,,,,,,16,0.007,2m,1.5,1.0,0.9,360,796.0,0.006,3m,3.0,1.5,1.3,610.0,692.0,0.002,1m,1.0,1.5,1.4,932.0,316.0,0.002,3m,2.0,3.0,0.8,76.0,944.0,0.005,4m,2.0,1.5,1.2000000000000002,880.0,0.5,9,COMPLETE
59,59,1.0887288719452566,2025-06-15 00:28:30.119569,2025-06-15 00:28:34.210336,0 days 00:00:04.090767,948.0,0.002,2m,1.5,1.5,1.0,438.0,430.0,0.001,3m,1.0,1.0,0.7,248.0,844.0,0.005,4m,4.0,4.0,1.0,580.0,920.0,0.002,2m,3.0,1.5,0.5,292.0,,,,,,,,74,0.005,1m,2.5,1.5,1.1,866,94.0,0.004,3m,3.5,3.0,0.8,544.0,,,,,,,,400.0,0.01,3m,1.5,1.5,0.5,896.0,406.0,0.004,4m,2.0,1.0,1.0,696.0,0.45,8,COMPLETE
60,60,-1.9169967015552063,2025-06-15 00:28:34.288876,2025-06-15 00:28:38.892231,0 days 00:00:04.603355,442.0,0.004,2m,4.0,1.5,1.5,992.0,936.0,0.003,1m,2.0,2.0,1.4,404.0,694.0,0.009000000000000001,3m,1.0,1.0,0.6,230.0,628.0,0.001,4m,3.5,1.0,0.6,84.0,,,,,,,,128,0.005,2m,2.5,1.5,0.8,798,730.0,0.01,4m,4.0,1.0,1.1,756.0,914.0,0.009000000000000001,4m,2.5,1.5,1.9000000000000001,800.0,250.0,0.001,2m,2.5,1.5,0.7,240.0,714.0,0.006,2m,3.5,2.0,1.5,954.0,0.4,9,COMPLETE
61,61,7.8261335671794505,2025-06-15 00:28:38.971255,2025-06-15 00:28:43.994122,0 days 00:00:05.022867,852.0,0.005,2m,2.0,3.5,1.2000000000000002,80.0,672.0,0.004,3m,4.0,1.5,0.5,484.0,946.0,0.004,4m,1.0,3.5,1.8,796.0,1002.0,0.002,4m,2.0,4.0,0.8,888.0,244.0,0.003,2m,4.0,2.0,1.6,768.0,1020,0.004,2m,2.0,3.0,1.2000000000000002,934,954.0,0.008,2m,2.5,1.5,1.8,358.0,180.0,0.003,4m,1.0,2.0,0.9,958.0,650.0,0.003,3m,3.0,1.0,0.7,844.0,590.0,0.009000000000000001,4m,2.0,1.0,0.9,690.0,0.45,10,COMPLETE
62,62,5.739176144943099,2025-06-15 00:28:44.081652,2025-06-15 00:28:49.187122,0 days 00:00:05.105470,770.0,0.005,2m,2.0,4.0,1.2000000000000002,72.0,526.0,0.004,3m,4.0,1.5,0.6,358.0,954.0,0.004,4m,1.0,3.5,1.7000000000000002,804.0,1018.0,0.002,4m,2.0,4.0,0.8,852.0,314.0,0.006,2m,1.0,2.0,1.6,966.0,1022,0.004,2m,2.0,3.5,1.3,934,866.0,0.008,2m,2.5,1.0,1.8,354.0,182.0,0.003,4m,1.0,2.0,0.8,936.0,620.0,0.003,3m,3.5,1.0,0.6,766.0,596.0,0.009000000000000001,4m,2.0,1.0,1.0,808.0,0.45,10,COMPLETE
63,63,3.8409893131735386,2025-06-15 00:28:49.279637,2025-06-15 00:28:54.436161,0 days 00:00:05.156524,690.0,0.003,2m,2.0,1.0,1.1,80.0,598.0,0.003,3m,3.5,1.5,0.5,636.0,954.0,0.006,4m,1.5,4.0,1.9000000000000001,718.0,968.0,0.002,4m,2.0,4.0,2.0,898.0,584.0,0.009000000000000001,2m,4.0,1.5,1.0,364.0,994,0.003,2m,2.0,3.0,1.2000000000000002,996,966.0,0.007,2m,3.0,1.5,1.8,474.0,162.0,0.002,4m,1.5,2.0,1.0,486.0,694.0,0.004,3m,3.0,1.5,0.8,834.0,538.0,0.01,4m,2.5,1.5,1.1,556.0,0.5,10,COMPLETE
64,64,3.4515208691078607,2025-06-15 00:28:54.525677,2025-06-15 00:28:59.336631,0 days 00:00:04.810954,854.0,0.005,2m,1.0,3.5,1.2000000000000002,270.0,778.0,0.004,3m,4.0,1.0,0.7,454.0,758.0,0.005,4m,1.0,3.5,1.6,764.0,862.0,0.001,1m,2.0,4.0,0.9,1016.0,,,,,,,,60,0.006,2m,1.5,3.5,1.1,870,670.0,0.008,2m,3.5,1.0,1.7000000000000002,296.0,506.0,0.001,4m,1.0,2.5,1.1,820.0,460.0,0.002,3m,2.5,2.0,0.8,706.0,662.0,0.008,4m,1.5,1.0,1.0,610.0,0.4,9,COMPLETE
65,65,2.675565694404758,2025-06-15 00:28:59.409143,2025-06-15 00:29:04.580521,0 days 00:00:05.171378,286.0,0.004,3m,1.0,3.5,1.8,62.0,692.0,0.002,3m,3.5,4.0,0.6,410.0,858.0,0.007,2m,1.5,3.0,2.0,800.0,956.0,0.002,4m,2.5,4.0,0.7,778.0,194.0,0.004,3m,2.5,2.0,1.6,20.0,934,0.005,2m,2.0,3.0,1.3,932,18.0,0.009000000000000001,3m,2.5,1.0,1.9000000000000001,528.0,116.0,0.001,3m,3.5,1.5,0.7,946.0,552.0,0.003,3m,4.0,4.0,0.7,982.0,1024.0,0.01,4m,2.0,1.0,1.3,764.0,0.45,10,COMPLETE
66,66,6.298562199589272,2025-06-15 00:29:04.668525,2025-06-15 00:29:08.691322,0 days 00:00:04.022797,984.0,0.006,2m,3.0,3.5,1.6,722.0,1010.0,0.005,3m,4.0,2.0,1.0,320.0,926.0,0.004,4m,1.0,4.0,1.5,682.0,744.0,0.008,2m,2.0,3.5,0.8,16.0,,,,,,,,956,0.004,2m,1.5,2.5,0.9,612,306.0,0.007,2m,3.5,1.5,1.4,670.0,,,,,,,,492.0,0.005,3m,3.5,1.5,0.9,576.0,506.0,0.009000000000000001,4m,2.0,3.0,1.2000000000000002,904.0,0.5,8,COMPLETE
67,67,5.0388823701695244,2025-06-15 00:29:08.769327,2025-06-15 00:29:12.618497,0 days 00:00:03.849170,974.0,0.007,2m,2.0,3.5,1.9000000000000001,718.0,1002.0,0.005,3m,4.0,1.5,0.5,168.0,1008.0,0.004,4m,1.0,4.0,1.5,968.0,722.0,0.008,2m,2.0,3.5,0.8,24.0,,,,,,,,962,0.004,2m,1.0,2.5,0.8,420,276.0,0.007,2m,3.5,2.0,1.4,652.0,,,,,,,,482.0,0.005,3m,3.5,1.0,0.9,556.0,492.0,0.009000000000000001,4m,2.5,3.0,1.2000000000000002,912.0,0.5,8,COMPLETE
68,68,3.6420522387577683,2025-06-15 00:29:12.672502,2025-06-15 00:29:17.281579,0 days 00:00:04.609077,1022.0,0.006,1m,1.5,3.5,1.6,600.0,472.0,0.004,4m,4.0,2.0,0.6,552.0,920.0,0.005,4m,1.0,3.5,1.5,514.0,648.0,0.008,2m,2.0,3.5,0.6,54.0,,,,,,,,880,0.003,2m,1.5,4.0,0.7,608,332.0,0.006,1m,3.5,2.5,1.0,946.0,590.0,0.003,4m,2.5,2.0,0.9,324.0,500.0,0.005,3m,2.0,1.5,0.5,360.0,574.0,0.009000000000000001,1m,2.0,3.5,0.9,872.0,0.25,9,COMPLETE
69,69,0.8025599908535185,2025-06-15 00:29:17.358583,2025-06-15 00:29:21.943774,0 days 00:00:04.585191,966.0,0.007,2m,3.0,4.0,1.0,778.0,950.0,0.006,3m,4.0,2.5,1.0,266.0,776.0,0.004,4m,1.0,4.0,1.3,672.0,852.0,0.009000000000000001,2m,2.5,4.0,0.8,214.0,,,,,,,,992,0.004,3m,1.5,3.0,1.0,518,236.0,0.008,2m,4.0,1.5,1.5,752.0,246.0,0.004,4m,4.0,2.5,1.3,710.0,658.0,0.008,4m,2.5,1.5,0.6,606.0,520.0,0.008,4m,2.0,3.0,1.4,470.0,0.45,9,COMPLETE
70,70,1.4664874964101418,2025-06-15 00:29:22.011289,2025-06-15 00:29:26.108686,0 days 00:00:04.097397,880.0,0.006,2m,4.0,1.0,1.3,882.0,354.0,0.005,3m,4.0,1.5,0.7,308.0,396.0,0.005,4m,1.5,4.0,1.6,740.0,766.0,0.007,2m,2.0,3.5,0.9,806.0,,,,,,,,182,0.004,4m,2.0,3.5,0.9,728,144.0,0.005,2m,3.0,2.0,1.3,678.0,,,,,,,,438.0,0.006,3m,3.5,1.0,0.7,788.0,690.0,0.009000000000000001,3m,1.5,3.5,0.8,630.0,0.4,8,COMPLETE
