,number,value,datetime_start,datetime_complete,duration,params_AAPL_FAST_beta_win,params_AAPL_FAST_stop_loss,params_AAPL_FAST_trade_freq,params_AAPL_FAST_z_entry,params_AAPL_FAST_z_exit,params_AAPL_FAST_z_stop_scaler,params_AAPL_FAST_z_win,params_ABNB_PCAR_beta_win,params_ABNB_PCAR_stop_loss,params_ABNB_PCAR_trade_freq,params_ABNB_PCAR_z_entry,params_ABNB_PCAR_z_exit,params_ABNB_PCAR_z_stop_scaler,params_ABNB_PCAR_z_win,params_ADI_HON_beta_win,params_ADI_HON_stop_loss,params_ADI_HON_trade_freq,params_ADI_HON_z_entry,params_ADI_HON_z_exit,params_ADI_HON_z_stop_scaler,params_ADI_HON_z_win,params_ADP_INTU_beta_win,params_ADP_INTU_stop_loss,params_ADP_INTU_trade_freq,params_ADP_INTU_z_entry,params_ADP_INTU_z_exit,params_ADP_INTU_z_stop_scaler,params_ADP_INTU_z_win,params_AMZN_LRCX_beta_win,params_AMZN_LRCX_stop_loss,params_AMZN_LRCX_trade_freq,params_AMZN_LRCX_z_entry,params_AMZN_LRCX_z_exit,params_AMZN_LRCX_z_stop_scaler,params_AMZN_LRCX_z_win,params_AMZN_MU_beta_win,params_AMZN_MU_stop_loss,params_AMZN_MU_trade_freq,params_AMZN_MU_z_entry,params_AMZN_MU_z_exit,params_AMZN_MU_z_stop_scaler,params_AMZN_MU_z_win,params_BKNG_INTU_beta_win,params_BKNG_INTU_stop_loss,params_BKNG_INTU_trade_freq,params_BKNG_INTU_z_entry,params_BKNG_INTU_z_exit,params_BKNG_INTU_z_stop_scaler,params_BKNG_INTU_z_win,params_GFS_ILMN_beta_win,params_GFS_ILMN_stop_loss,params_GFS_ILMN_trade_freq,params_GFS_ILMN_z_entry,params_GFS_ILMN_z_exit,params_GFS_ILMN_z_stop_scaler,params_GFS_ILMN_z_win,params_HON_INTU_beta_win,params_HON_INTU_stop_loss,params_HON_INTU_trade_freq,params_HON_INTU_z_entry,params_HON_INTU_z_exit,params_HON_INTU_z_stop_scaler,params_HON_INTU_z_win,params_META_ROST_beta_win,params_META_ROST_stop_loss,params_META_ROST_trade_freq,params_META_ROST_z_entry,params_META_ROST_z_exit,params_META_ROST_z_stop_scaler,params_META_ROST_z_win,params_NVDA_ROST_beta_win,params_NVDA_ROST_stop_loss,params_NVDA_ROST_trade_freq,params_NVDA_ROST_z_entry,params_NVDA_ROST_z_exit,params_NVDA_ROST_z_stop_scaler,params_NVDA_ROST_z_win,params_PAYX_SIRI_beta_win,params_PAYX_SIRI_stop_loss,params_PAYX_SIRI_trade_freq,params_PAYX_SIRI_z_entry,params_PAYX_SIRI_z_exit,params_PAYX_SIRI_z_stop_scaler,params_PAYX_SIRI_z_win,params_ROST_SGEN_beta_win,params_ROST_SGEN_stop_loss,params_ROST_SGEN_trade_freq,params_ROST_SGEN_z_entry,params_ROST_SGEN_z_exit,params_ROST_SGEN_z_stop_scaler,params_ROST_SGEN_z_win,params_buffer_capital,params_pairs_to_trade,state
30,30,0.3808856263470575,2025-06-15 01:22:48.439763,2025-06-15 01:22:52.742461,0 days 00:00:04.302698,,,,,,,,396.0,0.002,1m,1.5,3.5,0.9,408.0,212.0,0.005,3m,2.0,3.0,0.8,622.0,410.0,0.004,2m,3.5,4.0,1.4,232.0,862.0,0.007,3m,1.5,2.0,1.1,356.0,,,,,,,,252,0.008,4m,2.0,1.0,1.7000000000000002,946,,,,,,,,536.0,0.004,2m,3.5,3.5,1.0,730.0,256,0.007,3m,1.5,4.0,1.8,218,492.0,0.002,4m,3.5,3.5,1.8,374.0,,,,,,,,410.0,0.009000000000000001,1m,3.5,3.5,0.7,328.0,0.1,6,COMPLETE
31,31,8.983706033069094,2025-06-15 01:22:52.828410,2025-06-15 01:22:58.028961,0 days 00:00:05.200551,,,,,,,,576.0,0.002,1m,1.5,4.0,0.7,172.0,350.0,0.001,3m,2.0,3.0,1.3,382.0,602.0,0.006,2m,2.5,2.0,1.7000000000000002,30.0,1022.0,0.004,3m,2.0,2.5,1.0,18.0,698.0,0.004,2m,4.0,1.5,0.8,382.0,364,0.009000000000000001,4m,2.0,1.5,1.9000000000000001,508,,,,,,,,798.0,0.004,2m,3.5,3.0,0.7,572.0,370,0.006,3m,2.5,2.5,2.0,322,378.0,0.003,4m,4.0,4.0,1.5,376.0,1008.0,0.01,2m,4.0,4.0,2.0,156.0,666.0,0.01,1m,3.5,3.5,0.8,420.0,0.1,8,COMPLETE
32,32,8.084209525180857,2025-06-15 01:22:58.121728,2025-06-15 01:23:03.691020,0 days 00:00:05.569292,,,,,,,,454.0,0.003,1m,2.0,4.0,0.5,204.0,398.0,0.001,3m,2.0,3.5,1.2000000000000002,316.0,820.0,0.007,2m,3.0,1.5,1.8,102.0,1010.0,0.004,3m,2.0,2.5,1.3,114.0,706.0,0.004,2m,3.5,1.0,0.5,760.0,382,0.009000000000000001,4m,2.0,1.5,2.0,778,,,,,,,,864.0,0.003,2m,3.0,3.5,0.7,546.0,444,0.007,3m,2.5,2.5,1.9000000000000001,428,312.0,0.004,4m,3.5,4.0,1.4,142.0,1004.0,0.007,2m,4.0,2.5,1.1,340.0,660.0,0.01,1m,4.0,3.5,0.9,472.0,0.05,8,COMPLETE
33,33,6.91263293309229,2025-06-15 01:23:03.793361,2025-06-15 01:23:09.234367,0 days 00:00:05.441006,,,,,,,,436.0,0.003,1m,2.0,4.0,0.5,180.0,382.0,0.001,3m,2.0,3.5,1.2000000000000002,308.0,822.0,0.007,2m,3.0,1.5,1.8,124.0,982.0,0.004,3m,2.0,2.5,1.3,114.0,716.0,0.004,2m,3.5,1.0,0.6,714.0,442,0.009000000000000001,4m,2.0,1.5,2.0,834,,,,,,,,882.0,0.003,2m,3.0,3.5,0.7,566.0,420,0.007,3m,3.0,2.0,1.9000000000000001,422,342.0,0.004,4m,4.0,4.0,1.4,136.0,990.0,0.007,2m,4.0,2.0,1.1,342.0,710.0,0.01,1m,4.0,3.5,0.9,436.0,0.1,8,COMPLETE
34,34,6.483322839522818,2025-06-15 01:23:09.349552,2025-06-15 01:23:17.909626,0 days 00:00:08.560074,96.0,0.001,4m,4.0,1.5,1.9000000000000001,988.0,228.0,0.001,1m,1.5,4.0,0.7,214.0,620.0,0.001,3m,1.5,3.5,1.3,306.0,966.0,0.006,2m,3.5,2.0,1.9000000000000001,66.0,870.0,0.003,3m,2.0,3.0,1.0,134.0,726.0,0.004,2m,3.5,1.5,0.9,388.0,562,0.007,4m,2.0,1.0,1.9000000000000001,214,,,,,,,,676.0,0.003,2m,3.5,3.0,0.5,472.0,454,0.008,3m,2.5,2.5,2.0,456,224.0,0.003,4m,3.5,4.0,1.5,320.0,754.0,0.008,2m,3.5,2.5,1.2000000000000002,398.0,840.0,0.01,1m,3.5,3.0,0.7,494.0,0.15000000000000002,9,COMPLETE
35,35,-3.9250054153491343,2025-06-15 01:23:17.976590,2025-06-15 01:23:22.677354,0 days 00:00:04.700764,,,,,,,,610.0,0.002,1m,2.0,3.5,0.7,32.0,150.0,0.002,3m,2.0,3.5,1.0,154.0,698.0,0.009000000000000001,2m,2.5,2.0,1.8,250.0,968.0,0.004,3m,2.5,2.5,1.4,20.0,592.0,0.007,2m,4.0,1.5,0.5,714.0,760,0.009000000000000001,4m,2.5,1.5,1.8,794,,,,,,,,856.0,0.005,2m,3.0,3.5,0.8,362.0,556,0.006,3m,2.5,3.0,1.8,148,504.0,0.002,4m,4.0,3.5,1.7000000000000002,132.0,,,,,,,,590.0,0.009000000000000001,1m,4.0,3.5,0.9,590.0,0.2,7,COMPLETE
36,36,3.8926176865077093,2025-06-15 01:23:22.739564,2025-06-15 01:23:26.665127,0 days 00:00:03.925563,,,,,,,,476.0,0.004,1m,2.0,4.0,0.5,292.0,,,,,,,,824.0,0.005,2m,2.5,1.5,2.0,102.0,1008.0,0.006,3m,2.5,3.5,1.6,134.0,,,,,,,,168,0.008,4m,1.5,1.0,1.9000000000000001,40,,,,,,,,770.0,0.004,2m,4.0,2.5,0.7,662.0,422,0.009000000000000001,3m,3.5,1.5,1.9000000000000001,394,344.0,0.004,4m,3.5,4.0,1.2000000000000002,464.0,,,,,,,,672.0,0.008,1m,3.5,4.0,0.8,522.0,0.05,5,COMPLETE
37,37,-3.40246162162299,2025-06-15 01:23:26.745450,2025-06-15 01:23:31.626580,0 days 00:00:04.881130,,,,,,,,286.0,0.003,1m,1.0,4.0,0.9,154.0,388.0,0.002,3m,1.5,2.5,1.8,392.0,910.0,0.007,2m,3.0,3.0,1.6,190.0,814.0,0.003,3m,1.5,2.0,1.1,328.0,846.0,0.003,4m,3.0,1.0,1.2000000000000002,224.0,468,0.009000000000000001,4m,1.0,1.5,1.7000000000000002,440,,,,,,,,928.0,0.002,2m,3.5,3.0,0.8,552.0,606,0.005,3m,3.0,2.5,1.7000000000000002,458,220.0,0.001,4m,4.0,3.5,1.3,600.0,794.0,0.008,2m,4.0,2.5,1.0,1016.0,468.0,0.01,1m,3.0,3.0,1.0,640.0,0.15000000000000002,8,COMPLETE
38,38,2.7849829622431157,2025-06-15 01:23:31.725288,2025-06-15 01:23:37.682458,0 days 00:00:05.957170,16.0,0.01,4m,2.5,2.5,0.5,914.0,778.0,0.001,1m,1.5,3.5,0.7,388.0,286.0,0.007,3m,2.5,3.0,1.4,238.0,654.0,0.008,2m,3.5,1.0,1.9000000000000001,28.0,900.0,0.005,3m,3.0,3.0,1.3,142.0,442.0,0.005,3m,3.0,2.0,0.7,700.0,622,0.005,4m,1.5,2.0,1.9000000000000001,158,1024.0,0.001,4m,4.0,1.0,2.0,966.0,724.0,0.006,2m,3.0,2.5,0.6,740.0,464,0.007,3m,2.0,1.0,1.7000000000000002,532,574.0,0.003,4m,3.5,4.0,1.5,212.0,1012.0,0.005,2m,1.5,4.0,1.5,256.0,558.0,0.009000000000000001,1m,4.0,3.5,0.6,416.0,0.1,10,COMPLETE
39,39,0.15224652073675118,2025-06-15 01:23:38.302565,2025-06-15 01:23:42.515360,0 days 00:00:04.212795,,,,,,,,660.0,0.002,1m,2.0,4.0,1.1,112.0,594.0,0.004,3m,3.0,3.5,1.2000000000000002,390.0,550.0,0.006,2m,2.0,2.0,1.7000000000000002,422.0,1022.0,0.004,2m,1.0,2.5,0.7,80.0,,,,,,,,394,0.01,4m,2.0,1.0,1.7000000000000002,908,,,,,,,,590.0,0.003,2m,3.5,3.5,0.9,864.0,288,0.008,3m,2.5,2.0,2.0,262,438.0,0.005,4m,4.0,4.0,1.7000000000000002,82.0,,,,,,,,448.0,0.01,1m,3.5,4.0,1.2000000000000002,542.0,0.15000000000000002,6,COMPLETE
40,40,-2.6700522221276377,2025-06-15 01:23:42.574248,2025-06-15 01:23:47.943831,0 days 00:00:05.369583,1018.0,0.006,2m,1.0,4.0,2.0,116.0,22.0,0.005,1m,3.0,3.0,0.6,258.0,454.0,0.001,3m,2.0,2.5,0.8,578.0,604.0,0.009000000000000001,2m,4.0,1.5,1.4,278.0,754.0,0.002,4m,2.0,3.5,1.0,200.0,594.0,0.007,2m,3.5,1.5,1.2000000000000002,842.0,300,0.002,4m,1.5,1.5,1.6,666,,,,,,,,444.0,0.007,2m,2.5,4.0,1.2000000000000002,452.0,194,0.006,1m,3.0,3.0,1.6,750,276.0,0.002,4m,3.0,3.0,1.8,324.0,622.0,0.009000000000000001,1m,3.0,3.0,2.0,26.0,284.0,0.009000000000000001,1m,4.0,3.5,1.1,354.0,0.25,9,COMPLETE
41,41,3.646700647656905,2025-06-15 01:23:48.041766,2025-06-15 01:23:53.418104,0 days 00:00:05.376338,,,,,,,,448.0,0.003,1m,2.0,4.0,0.5,126.0,334.0,0.001,3m,2.0,3.5,1.2000000000000002,366.0,818.0,0.007,2m,3.0,1.5,1.8,116.0,936.0,0.004,3m,2.0,2.5,1.3,18.0,758.0,0.004,2m,3.5,1.0,0.5,736.0,546,0.009000000000000001,4m,2.0,1.5,2.0,792,,,,,,,,880.0,0.003,2m,3.0,3.5,0.7,538.0,406,0.007,3m,3.0,2.0,1.9000000000000001,426,350.0,0.004,4m,4.0,4.0,1.4,174.0,948.0,0.007,2m,4.0,2.0,1.0,360.0,768.0,0.01,1m,4.0,3.5,0.9,452.0,0.1,8,COMPLETE
42,42,7.0113065290829955,2025-06-15 01:23:53.503810,2025-06-15 01:23:58.073437,0 days 00:00:04.569627,,,,,,,,438.0,0.003,1m,1.5,4.0,0.6,202.0,400.0,0.002,3m,2.5,3.5,1.3,198.0,888.0,0.007,2m,3.0,1.5,1.9000000000000001,102.0,1010.0,0.004,3m,2.0,2.5,1.4,116.0,684.0,0.003,2m,4.0,1.0,0.7,516.0,456,0.009000000000000001,4m,2.0,2.0,2.0,852,,,,,,,,846.0,0.002,2m,3.0,3.0,0.5,580.0,402,0.007,3m,3.0,1.5,1.9000000000000001,370,342.0,0.004,4m,4.0,4.0,1.5,138.0,,,,,,,,696.0,0.01,1m,3.5,4.0,0.8,476.0,0.1,7,COMPLETE
43,43,2.3087739246545285,2025-06-15 01:23:58.149139,2025-06-15 01:24:03.202487,0 days 00:00:05.053348,,,,,,,,566.0,0.002,1m,1.5,3.5,0.8,244.0,240.0,0.002,3m,2.5,3.0,1.4,192.0,882.0,0.004,2m,3.0,1.0,1.9000000000000001,18.0,918.0,0.003,3m,1.5,2.5,1.4,302.0,624.0,0.003,2m,4.0,1.0,0.8,480.0,476,0.008,4m,2.5,2.0,0.5,1006,,,,,,,,812.0,0.002,2m,2.5,3.0,0.5,632.0,554,0.009000000000000001,3m,2.5,1.0,2.0,354,458.0,0.003,4m,3.5,3.5,1.5,84.0,,,,,,,,598.0,0.01,1m,3.0,4.0,0.8,494.0,0.05,7,COMPLETE
44,44,8.479711370053932,2025-06-15 01:24:03.278339,2025-06-15 01:24:07.547517,0 days 00:00:04.269178,,,,,,,,460.0,0.004,4m,1.0,4.0,0.6,344.0,410.0,0.003,3m,2.5,4.0,1.0,66.0,952.0,0.006,2m,2.5,1.5,1.6,186.0,1020.0,0.005,3m,2.5,2.0,1.6,174.0,,,,,,,,398,0.007,1m,2.0,2.0,1.9000000000000001,872,,,,,,,,952.0,0.002,2m,3.0,3.0,0.6,664.0,136,0.008,2m,3.5,1.5,1.8,588,384.0,0.006,4m,4.0,4.0,1.7000000000000002,254.0,,,,,,,,828.0,0.01,1m,3.5,4.0,0.7,282.0,0.15000000000000002,6,COMPLETE
45,45,0.25315936230681446,2025-06-15 01:24:07.648764,2025-06-15 01:24:11.582300,0 days 00:00:03.933536,,,,,,,,514.0,0.005,4m,1.0,3.5,0.8,348.0,,,,,,,,952.0,0.006,1m,2.5,2.0,1.6,178.0,812.0,0.006,3m,3.0,1.5,1.6,192.0,,,,,,,,374,0.007,1m,1.5,1.0,1.9000000000000001,572,,,,,,,,940.0,0.004,4m,3.5,2.5,0.6,690.0,16,0.009000000000000001,2m,4.0,1.0,1.8,592,398.0,0.006,2m,3.5,3.5,1.7000000000000002,272.0,,,,,,,,878.0,0.009000000000000001,1m,3.5,4.0,0.6,270.0,0.15000000000000002,5,COMPLETE
46,46,1.2269859325264254,2025-06-15 01:24:11.654696,2025-06-15 01:24:15.795496,0 days 00:00:04.140800,,,,,,,,310.0,0.004,4m,1.0,4.0,0.6,458.0,582.0,0.003,3m,1.5,4.0,0.9,48.0,982.0,0.004,2m,2.0,1.0,1.5,192.0,922.0,0.005,1m,2.5,2.0,1.7000000000000002,98.0,,,,,,,,264,0.004,1m,2.5,1.5,1.8,762,,,,,,,,974.0,0.001,2m,3.0,3.0,0.9,296.0,118,0.008,2m,3.5,1.5,1.6,640,170.0,0.007,4m,3.0,4.0,2.0,430.0,,,,,,,,520.0,0.008,2m,3.0,3.0,1.0,202.0,0.2,6,COMPLETE
47,47,-2.13862479259181,2025-06-15 01:24:15.881631,2025-06-15 01:24:21.160478,0 days 00:00:05.278847,,,,,,,,500.0,0.004,4m,2.5,3.5,1.0,448.0,112.0,0.005,2m,3.5,4.0,1.1,824.0,720.0,0.005,2m,2.5,2.5,1.2000000000000002,772.0,488.0,0.007,4m,3.0,1.5,1.1,256.0,134.0,0.008,3m,2.5,2.5,1.0,310.0,544,0.006,1m,1.0,1.5,1.6,682,,,,,,,,1022.0,0.003,2m,4.0,2.5,1.6,1024.0,106,0.005,2m,2.0,1.0,2.0,568,286.0,0.007,2m,4.0,4.0,1.7000000000000002,326.0,836.0,0.003,3m,3.5,3.0,0.5,476.0,998.0,0.01,4m,2.5,4.0,0.7,324.0,0.15000000000000002,8,COMPLETE
48,48,-4.9595094756874305,2025-06-15 01:24:21.243986,2025-06-15 01:24:26.285597,0 days 00:00:05.041611,,,,,,,,616.0,0.003,4m,1.0,3.5,1.5,580.0,478.0,0.004,4m,2.5,2.5,1.8,644.0,792.0,0.006,4m,2.0,1.5,1.3,78.0,394.0,0.002,3m,2.5,2.0,0.8,188.0,,,,,,,,1022,0.01,1m,1.5,2.0,1.8,886,,,,,,,,786.0,0.005,1m,3.5,3.5,1.4,500.0,664,0.006,2m,2.5,1.5,1.8,722,50.0,0.002,4m,3.5,3.0,1.9000000000000001,236.0,,,,,,,,940.0,0.008,1m,3.5,3.5,0.6,128.0,0.05,6,COMPLETE
49,49,5.869560750144855,2025-06-15 01:24:26.401843,2025-06-15 01:24:34.999166,0 days 00:00:08.597323,688.0,0.001,3m,3.0,2.5,0.9,774.0,840.0,0.002,4m,2.5,4.0,0.8,318.0,306.0,0.001,1m,2.0,3.0,1.0,32.0,608.0,0.003,1m,2.5,4.0,1.5,150.0,614.0,0.005,1m,1.5,3.0,0.9,72.0,846.0,0.005,4m,2.5,1.5,1.4,620.0,326,0.01,1m,2.0,1.0,1.5,962,,,,,,,,924.0,0.004,4m,3.0,3.0,0.8,434.0,1004,0.01,2m,2.0,2.5,1.7000000000000002,482,568.0,0.001,1m,3.0,2.5,1.6,594.0,514.0,0.001,2m,2.0,3.5,1.4,194.0,348.0,0.009000000000000001,1m,4.0,3.0,1.0,374.0,0.15000000000000002,9,COMPLETE
50,50,3.2823474914128794,2025-06-15 01:24:35.086381,2025-06-15 01:24:40.015181,0 days 00:00:04.928800,,,,,,,,704.0,0.005,4m,1.0,3.5,0.6,256.0,20.0,0.003,3m,3.0,4.0,1.5,444.0,1020.0,0.008,2m,2.0,2.0,1.7000000000000002,394.0,330.0,0.006,3m,3.0,2.0,1.5,398.0,170.0,0.002,1m,3.0,2.0,0.9,436.0,414,0.008,1m,2.5,1.5,1.9000000000000001,132,,,,,,,,642.0,0.001,2m,2.5,1.5,1.1,636.0,238,0.008,1m,2.5,3.0,1.9000000000000001,830,366.0,0.006,3m,4.0,3.5,1.8,284.0,,,,,,,,806.0,0.01,1m,3.0,2.0,0.8,246.0,0.05,7,COMPLETE
51,51,7.680882439417685,2025-06-15 01:24:40.125432,2025-06-15 01:24:44.627870,0 days 00:00:04.502438,,,,,,,,404.0,0.003,1m,1.5,4.0,0.6,106.0,394.0,0.002,3m,2.5,3.5,1.3,142.0,926.0,0.007,2m,3.0,1.5,2.0,76.0,1004.0,0.004,3m,2.0,2.5,1.5,148.0,642.0,0.003,2m,4.0,1.0,0.7,528.0,456,0.009000000000000001,4m,2.0,2.0,2.0,860,,,,,,,,820.0,0.002,2m,3.0,3.0,0.6,926.0,352,0.007,3m,3.5,1.5,1.9000000000000001,320,322.0,0.004,4m,4.0,4.0,1.5,164.0,,,,,,,,706.0,0.01,1m,3.5,4.0,0.7,570.0,0.1,7,COMPLETE
52,52,1.9607740469836494,2025-06-15 01:24:44.721063,2025-06-15 01:24:49.601787,0 days 00:00:04.880724,,,,,,,,228.0,0.003,1m,1.5,4.0,0.5,88.0,418.0,0.002,3m,2.5,3.5,1.1,116.0,926.0,0.006,2m,3.0,1.5,2.0,64.0,1020.0,0.005,3m,2.0,2.5,1.5,254.0,498.0,0.002,2m,4.0,1.5,0.6,248.0,588,0.007,4m,2.0,2.0,2.0,862,,,,,,,,820.0,0.002,2m,3.0,3.0,0.6,910.0,316,0.006,3m,3.5,1.5,2.0,306,458.0,0.005,4m,4.0,4.0,1.2000000000000002,186.0,,,,,,,,722.0,0.01,1m,3.5,4.0,0.7,576.0,0.1,7,COMPLETE
53,53,1.9106268675889484,2025-06-15 01:24:49.671470,2025-06-15 01:24:53.922243,0 days 00:00:04.250773,,,,,,,,382.0,0.002,1m,1.5,4.0,0.7,22.0,270.0,0.001,3m,2.0,2.0,1.3,536.0,280.0,0.007,2m,2.5,1.0,1.8,156.0,936.0,0.003,3m,2.5,2.5,1.8,68.0,,,,,,,,392,0.009000000000000001,4m,2.0,2.5,1.9000000000000001,294,,,,,,,,904.0,0.003,2m,2.0,2.5,0.6,980.0,368,0.007,3m,4.0,1.0,1.9000000000000001,256,384.0,0.003,4m,4.0,4.0,1.5,90.0,,,,,,,,828.0,0.009000000000000001,1m,3.5,4.0,0.6,664.0,0.5,6,COMPLETE
54,54,-0.06894886229081253,2025-06-15 01:24:54.022328,2025-06-15 01:24:57.928974,0 days 00:00:03.906646,,,,,,,,928.0,0.001,3m,1.0,3.5,1.8,130.0,,,,,,,,860.0,0.005,4m,3.5,1.5,1.0,498.0,958.0,0.004,4m,1.5,3.0,1.7000000000000002,186.0,,,,,,,,316,0.01,4m,2.5,2.0,2.0,746,,,,,,,,730.0,0.002,3m,3.5,3.5,0.7,944.0,486,0.005,3m,3.5,2.0,1.8,404,304.0,0.004,2m,3.5,4.0,1.6,348.0,,,,,,,,624.0,0.01,2m,3.0,3.5,0.9,548.0,0.2,5,COMPLETE
55,55,1.2355650262180011,2025-06-15 01:24:58.009563,2025-06-15 01:25:03.249713,0 days 00:00:05.240150,,,,,,,,536.0,0.004,2m,2.0,4.0,0.6,234.0,346.0,0.003,3m,3.0,1.5,0.7,96.0,130.0,0.008,2m,2.5,2.5,1.9000000000000001,216.0,844.0,0.005,3m,2.0,2.0,1.2000000000000002,164.0,834.0,0.005,2m,3.5,1.0,0.8,828.0,526,0.009000000000000001,4m,1.5,1.5,0.6,820,,,,,,,,372.0,0.009000000000000001,2m,3.5,2.0,0.8,880.0,458,0.007,3m,4.0,1.5,1.9000000000000001,526,228.0,0.005,4m,2.0,3.5,1.3,32.0,98.0,0.009000000000000001,2m,3.5,2.0,1.7000000000000002,148.0,520.0,0.009000000000000001,1m,4.0,4.0,0.5,294.0,0.15000000000000002,8,COMPLETE
56,56,-2.747455966784303,2025-06-15 01:25:03.339108,2025-06-15 01:25:08.098888,0 days 00:00:04.759780,,,,,,,,354.0,0.003,1m,2.5,4.0,1.0,334.0,432.0,0.002,3m,4.0,4.0,1.5,902.0,476.0,0.006,4m,3.0,2.0,2.0,304.0,898.0,0.006,2m,1.0,1.5,0.9,64.0,400.0,0.003,3m,4.0,1.5,0.6,96.0,232,0.01,4m,2.0,1.5,1.8,968,,,,,,,,534.0,0.002,3m,3.0,3.0,0.6,780.0,156,0.008,2m,3.0,2.5,2.0,154,110.0,0.004,1m,4.0,4.0,1.4,220.0,,,,,,,,672.0,0.008,4m,3.0,1.5,0.7,388.0,0.05,7,COMPLETE
57,57,-2.3017661163268244,2025-06-15 01:25:08.180134,2025-06-15 01:25:14.161485,0 days 00:00:05.981351,342.0,0.008,1m,2.0,1.5,0.9,346.0,1010.0,0.002,1m,1.5,2.0,0.5,170.0,168.0,0.001,1m,1.0,3.0,1.1,246.0,938.0,0.007,2m,4.0,4.0,0.9,86.0,960.0,0.008,1m,2.0,3.0,2.0,242.0,624.0,0.001,2m,3.5,1.0,0.9,544.0,438,0.008,1m,2.5,2.0,1.7000000000000002,274,,,,,,,,974.0,0.004,1m,2.0,2.5,1.0,952.0,754,0.006,3m,2.0,2.0,1.7000000000000002,326,178.0,0.002,3m,2.0,2.5,1.6,442.0,870.0,0.006,4m,3.0,3.5,1.8,564.0,886.0,0.01,3m,4.0,4.0,1.1,622.0,0.1,9,COMPLETE
58,58,4.1676922256718685,2025-06-15 01:25:14.229287,2025-06-15 01:25:17.828609,0 days 00:00:03.599322,,,,,,,,416.0,0.006,4m,2.5,1.0,1.3,730.0,,,,,,,,846.0,0.008,4m,1.0,1.0,1.6,870.0,,,,,,,,,,,,,,,24,0.01,3m,1.5,2.5,1.4,702,,,,,,,,746.0,0.003,4m,4.0,1.5,0.9,840.0,600,0.004,1m,3.5,1.0,1.9000000000000001,236,310.0,0.003,4m,1.5,3.5,1.9000000000000001,274.0,,,,,,,,736.0,0.006,1m,1.5,3.5,0.8,512.0,0.15000000000000002,4,COMPLETE
59,59,-2.0598421738373522,2025-06-15 01:25:17.910986,2025-06-15 01:25:22.705943,0 days 00:00:04.794957,,,,,,,,484.0,0.001,3m,2.0,2.5,0.8,284.0,530.0,0.002,4m,1.5,3.5,1.6,480.0,984.0,0.005,2m,2.5,1.5,1.7000000000000002,706.0,558.0,0.003,3m,2.5,3.5,1.5,16.0,242.0,0.004,2m,1.5,4.0,0.7,360.0,966,0.009000000000000001,4m,2.0,1.0,1.9000000000000001,384,,,,,,,,838.0,0.008,3m,1.0,4.0,1.9000000000000001,700.0,290,0.009000000000000001,3m,2.5,2.0,1.5,286,258.0,0.001,2m,3.5,4.0,1.7000000000000002,18.0,,,,,,,,570.0,0.003,3m,3.5,2.5,1.0,692.0,0.1,7,COMPLETE
60,60,-5.062516965213956,2025-06-15 01:25:22.785205,2025-06-15 01:25:27.528079,0 days 00:00:04.742874,,,,,,,,600.0,0.004,2m,1.0,3.5,1.6,70.0,248.0,0.003,3m,3.5,4.0,1.4,346.0,896.0,0.006,1m,3.0,2.5,1.1,818.0,212.0,0.004,1m,1.5,2.5,1.6,288.0,,,,,,,,496,0.004,3m,2.5,2.0,2.0,78,,,,,,,,632.0,0.001,2m,2.5,3.5,1.6,380.0,330,0.005,2m,1.5,1.5,1.6,466,708.0,0.008,4m,2.5,1.5,1.5,164.0,,,,,,,,328.0,0.009000000000000001,1m,2.5,3.0,0.9,458.0,0.25,6,COMPLETE
61,61,6.282986638633492,2025-06-15 01:25:27.594721,2025-06-15 01:25:32.692687,0 days 00:00:05.097966,,,,,,,,460.0,0.003,1m,1.5,4.0,0.6,212.0,394.0,0.002,3m,2.5,3.5,1.3,180.0,784.0,0.007,2m,3.0,1.5,1.9000000000000001,124.0,1018.0,0.004,3m,2.0,2.5,1.4,114.0,672.0,0.003,2m,4.0,1.0,0.7,516.0,452,0.009000000000000001,4m,2.0,2.0,2.0,872,,,,,,,,852.0,0.002,2m,3.0,3.0,0.5,598.0,384,0.007,3m,3.0,1.5,1.9000000000000001,352,402.0,0.004,4m,4.0,4.0,1.5,1010.0,,,,,,,,682.0,0.01,1m,3.5,4.0,0.8,468.0,0.1,7,COMPLETE
62,62,7.715782380285265,2025-06-15 01:25:32.764552,2025-06-15 01:25:38.205032,0 days 00:00:05.440480,,,,,,,,418.0,0.003,1m,1.5,4.0,0.7,130.0,538.0,0.006,3m,2.5,3.5,1.3,222.0,898.0,0.007,2m,3.0,1.5,1.8,20.0,1022.0,0.005,3m,2.0,2.5,1.3,106.0,800.0,0.003,2m,4.0,1.0,0.6,420.0,352,0.008,4m,2.0,2.5,2.0,918,,,,,,,,818.0,0.002,2m,3.0,3.0,0.5,512.0,502,0.007,3m,3.0,1.0,1.8,378,348.0,0.005,4m,4.0,4.0,1.6,100.0,618.0,0.008,1m,3.5,1.0,1.3,266.0,774.0,0.01,1m,3.5,4.0,0.8,410.0,0.05,8,COMPLETE
