,number,value,datetime_start,datetime_complete,duration,params_AAPL_FAST_beta_win,params_AAPL_FAST_stop_loss,params_AAPL_FAST_trade_freq,params_AAPL_FAST_z_entry,params_AAPL_FAST_z_exit,params_AAPL_FAST_z_stop_scaler,params_AAPL_FAST_z_win,params_ABNB_PCAR_beta_win,params_ABNB_PCAR_stop_loss,params_ABNB_PCAR_trade_freq,params_ABNB_PCAR_z_entry,params_ABNB_PCAR_z_exit,params_ABNB_PCAR_z_stop_scaler,params_ABNB_PCAR_z_win,params_ADI_HON_beta_win,params_ADI_HON_stop_loss,params_ADI_HON_trade_freq,params_ADI_HON_z_entry,params_ADI_HON_z_exit,params_ADI_HON_z_stop_scaler,params_ADI_HON_z_win,params_ADP_INTU_beta_win,params_ADP_INTU_stop_loss,params_ADP_INTU_trade_freq,params_ADP_INTU_z_entry,params_ADP_INTU_z_exit,params_ADP_INTU_z_stop_scaler,params_ADP_INTU_z_win,params_AMZN_LRCX_beta_win,params_AMZN_LRCX_stop_loss,params_AMZN_LRCX_trade_freq,params_AMZN_LRCX_z_entry,params_AMZN_LRCX_z_exit,params_AMZN_LRCX_z_stop_scaler,params_AMZN_LRCX_z_win,params_AMZN_MU_beta_win,params_AMZN_MU_stop_loss,params_AMZN_MU_trade_freq,params_AMZN_MU_z_entry,params_AMZN_MU_z_exit,params_AMZN_MU_z_stop_scaler,params_AMZN_MU_z_win,params_BKNG_INTU_beta_win,params_BKNG_INTU_stop_loss,params_BKNG_INTU_trade_freq,params_BKNG_INTU_z_entry,params_BKNG_INTU_z_exit,params_BKNG_INTU_z_stop_scaler,params_BKNG_INTU_z_win,params_GFS_ILMN_beta_win,params_GFS_ILMN_stop_loss,params_GFS_ILMN_trade_freq,params_GFS_ILMN_z_entry,params_GFS_ILMN_z_exit,params_GFS_ILMN_z_stop_scaler,params_GFS_ILMN_z_win,params_HON_INTU_beta_win,params_HON_INTU_stop_loss,params_HON_INTU_trade_freq,params_HON_INTU_z_entry,params_HON_INTU_z_exit,params_HON_INTU_z_stop_scaler,params_HON_INTU_z_win,params_META_ROST_beta_win,params_META_ROST_stop_loss,params_META_ROST_trade_freq,params_META_ROST_z_entry,params_META_ROST_z_exit,params_META_ROST_z_stop_scaler,params_META_ROST_z_win,params_NVDA_ROST_beta_win,params_NVDA_ROST_stop_loss,params_NVDA_ROST_trade_freq,params_NVDA_ROST_z_entry,params_NVDA_ROST_z_exit,params_NVDA_ROST_z_stop_scaler,params_NVDA_ROST_z_win,params_PAYX_SIRI_beta_win,params_PAYX_SIRI_stop_loss,params_PAYX_SIRI_trade_freq,params_PAYX_SIRI_z_entry,params_PAYX_SIRI_z_exit,params_PAYX_SIRI_z_stop_scaler,params_PAYX_SIRI_z_win,params_ROST_SGEN_beta_win,params_ROST_SGEN_stop_loss,params_ROST_SGEN_trade_freq,params_ROST_SGEN_z_entry,params_ROST_SGEN_z_exit,params_ROST_SGEN_z_stop_scaler,params_ROST_SGEN_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,3.5331084023240926,2025-06-15 01:21:43.448011,2025-06-15 01:21:48.088303,0 days 00:00:04.640292,,,,,,,,662.0,0.004,3m,4.0,2.5,0.9,64.0,800.0,0.01,2m,4.0,1.0,2.0,1024.0,372.0,0.008,4m,3.0,4.0,1.9000000000000001,474.0,856.0,0.01,1m,1.0,3.0,1.4,612.0,40.0,0.006,3m,4.0,1.0,0.5,468.0,290,0.001,3m,3.0,2.5,0.9,302,,,,,,,,472.0,0.007,3m,1.0,4.0,0.9,378.0,706,0.01,4m,4.0,2.0,2.0,102,434.0,0.004,1m,1.0,4.0,1.4,40.0,,,,,,,,212.0,0.008,3m,1.5,1.0,2.0,920.0,0.3,7,COMPLETE
11,11,0.2538303078357969,2025-06-15 01:21:48.190939,2025-06-15 01:21:51.648500,0 days 00:00:03.457561,,,,,,,,688.0,0.001,2m,1.5,4.0,1.0,312.0,,,,,,,,1006.0,0.007,3m,1.0,2.5,0.6,424.0,,,,,,,,,,,,,,,306,0.01,3m,3.5,1.5,1.0,838,,,,,,,,590.0,0.006,1m,4.0,1.0,1.5,410.0,634,0.001,4m,1.0,4.0,1.9000000000000001,598,656.0,0.008,2m,2.0,1.0,1.9000000000000001,514.0,,,,,,,,20.0,0.008,3m,2.0,3.0,1.5,776.0,0.35000000000000003,4,COMPLETE
12,12,6.610869742382084,2025-06-15 01:21:51.721404,2025-06-15 01:21:52.851067,0 days 00:00:01.129663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,0.01,2m,3.0,2.5,1.2000000000000002,722,,,,,,,,,,,,,,,348,0.002,4m,2.0,4.0,1.0,316,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
13,13,3.765730372697974,2025-06-15 01:21:52.950006,2025-06-15 01:21:54.019051,0 days 00:00:01.069045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406,0.01,2m,2.5,4.0,1.1,734,,,,,,,,,,,,,,,314,0.005,4m,2.5,3.0,1.7000000000000002,298,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
14,14,0.915667267886889,2025-06-15 01:21:54.082014,2025-06-15 01:21:59.960819,0 days 00:00:05.878805,998.0,0.01,2m,1.0,1.0,0.5,132.0,374.0,0.01,3m,3.5,1.0,1.1,64.0,772.0,0.006,3m,2.5,1.0,1.1,700.0,332.0,0.01,4m,3.0,3.5,1.8,610.0,24.0,0.001,1m,2.0,3.0,1.2000000000000002,484.0,16.0,0.01,3m,2.5,2.0,1.0,48.0,114,0.006,2m,3.0,3.0,1.1,1012,182.0,0.009000000000000001,1m,2.0,4.0,1.1,152.0,418.0,0.008,3m,1.5,3.5,0.6,16.0,280,0.002,3m,2.0,2.5,1.1,32,298.0,0.003,1m,1.5,3.5,1.1,40.0,26.0,0.01,1m,1.0,1.0,0.7,48.0,650.0,0.004,1m,1.0,1.0,1.7000000000000002,22.0,0.05,10,COMPLETE
15,15,-1.1035455396043914,2025-06-15 01:22:00.052859,2025-06-15 01:22:04.107619,0 days 00:00:04.054760,,,,,,,,758.0,0.001,2m,2.0,2.5,0.6,378.0,32.0,0.006,1m,3.0,2.0,1.0,842.0,16.0,0.008,4m,2.0,2.0,1.1,864.0,754.0,0.008,2m,1.0,1.0,1.8,582.0,,,,,,,,712,0.005,2m,4.0,2.5,2.0,230,,,,,,,,668.0,0.005,3m,2.0,1.0,2.0,248.0,794,0.006,4m,2.5,3.5,1.8,278,284.0,0.005,4m,1.5,3.5,1.6,240.0,,,,,,,,774.0,0.001,4m,2.0,3.0,0.5,744.0,0.25,6,COMPLETE
16,16,2.545845855598826,2025-06-15 01:22:04.199943,2025-06-15 01:22:10.639589,0 days 00:00:06.439646,,,,,,,,336.0,0.006,1m,3.0,4.0,0.8,166.0,506.0,0.008,4m,2.5,3.0,2.0,280.0,226.0,0.006,4m,3.0,3.5,1.0,584.0,708.0,0.003,3m,2.5,3.0,1.2000000000000002,918.0,350.0,0.006,3m,3.0,2.0,2.0,602.0,446,0.01,2m,3.0,1.5,1.5,700,,,,,,,,320.0,0.007,3m,1.5,2.5,1.7000000000000002,1024.0,324,0.003,4m,3.5,2.0,1.2000000000000002,188,30.0,0.01,2m,4.0,1.0,1.6,278.0,,,,,,,,292.0,0.009000000000000001,2m,1.5,1.5,1.7000000000000002,964.0,0.2,7,COMPLETE
17,17,3.731382459641241,2025-06-15 01:22:10.748020,2025-06-15 01:22:12.611268,0 days 00:00:01.863248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,0.008,3m,2.5,3.0,1.2000000000000002,336,,,,,,,,,,,,,,,604,0.005,4m,1.5,3.5,0.5,382,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
18,18,-1.2911340630194204,2025-06-15 01:22:12.727931,2025-06-15 01:22:17.276374,0 days 00:00:04.548443,,,,,,,,796.0,0.003,1m,2.0,3.0,1.2000000000000002,516.0,,,,,,,,738.0,0.008,2m,1.5,3.0,1.7000000000000002,302.0,148.0,0.01,1m,1.5,3.5,0.5,452.0,,,,,,,,686,0.008,3m,3.5,2.5,0.9,194,,,,,,,,710.0,0.01,4m,3.0,3.0,0.5,610.0,402,0.002,3m,2.5,2.5,0.9,658,622.0,0.003,1m,2.0,3.0,1.3,710.0,,,,,,,,362.0,0.008,3m,4.0,3.0,1.1,716.0,0.1,5,COMPLETE
19,19,1.3971634002701574,2025-06-15 01:22:17.355525,2025-06-15 01:22:21.934803,0 days 00:00:04.579278,,,,,,,,536.0,0.004,2m,3.0,2.0,1.3,628.0,982.0,0.004,2m,3.5,1.5,0.5,752.0,504.0,0.009000000000000001,4m,3.5,4.0,1.0,1008.0,632.0,0.007,1m,4.0,2.0,1.5,734.0,292.0,0.001,1m,2.0,3.0,1.0,580.0,220,0.006,2m,3.0,1.0,0.7,918,,,,,,,,338.0,0.005,2m,1.0,2.0,1.0,820.0,194,0.004,4m,1.5,3.5,1.3,814,234.0,0.008,4m,1.5,3.5,0.8,188.0,,,,,,,,198.0,0.004,3m,2.0,1.5,2.0,428.0,0.25,7,COMPLETE
