,number,value,datetime_start,datetime_complete,duration,params_AAPL_KDP_beta_win,params_AAPL_KDP_stop_loss,params_AAPL_KDP_trade_freq,params_AAPL_KDP_z_entry,params_AAPL_KDP_z_exit,params_AAPL_KDP_z_stop_scaler,params_AAPL_KDP_z_win,params_ADSK_PCAR_beta_win,params_ADSK_PCAR_stop_loss,params_ADSK_PCAR_trade_freq,params_ADSK_PCAR_z_entry,params_ADSK_PCAR_z_exit,params_ADSK_PCAR_z_stop_scaler,params_ADSK_PCAR_z_win,params_ANSS_KDP_beta_win,params_ANSS_KDP_stop_loss,params_ANSS_KDP_trade_freq,params_ANSS_KDP_z_entry,params_ANSS_KDP_z_exit,params_ANSS_KDP_z_stop_scaler,params_ANSS_KDP_z_win,params_CSCO_WDAY_beta_win,params_CSCO_WDAY_stop_loss,params_CSCO_WDAY_trade_freq,params_CSCO_WDAY_z_entry,params_CSCO_WDAY_z_exit,params_CSCO_WDAY_z_stop_scaler,params_CSCO_WDAY_z_win,params_EA_NTES_beta_win,params_EA_NTES_stop_loss,params_EA_NTES_trade_freq,params_EA_NTES_z_entry,params_EA_NTES_z_exit,params_EA_NTES_z_stop_scaler,params_EA_NTES_z_win,params_EBAY_KDP_beta_win,params_EBAY_KDP_stop_loss,params_EBAY_KDP_trade_freq,params_EBAY_KDP_z_entry,params_EBAY_KDP_z_exit,params_EBAY_KDP_z_stop_scaler,params_EBAY_KDP_z_win,params_IDXX_ISRG_beta_win,params_IDXX_ISRG_stop_loss,params_IDXX_ISRG_trade_freq,params_IDXX_ISRG_z_entry,params_IDXX_ISRG_z_exit,params_IDXX_ISRG_z_stop_scaler,params_IDXX_ISRG_z_win,params_OKTA_KDP_beta_win,params_OKTA_KDP_stop_loss,params_OKTA_KDP_trade_freq,params_OKTA_KDP_z_entry,params_OKTA_KDP_z_exit,params_OKTA_KDP_z_stop_scaler,params_OKTA_KDP_z_win,params_SWKS_ANSS_beta_win,params_SWKS_ANSS_stop_loss,params_SWKS_ANSS_trade_freq,params_SWKS_ANSS_z_entry,params_SWKS_ANSS_z_exit,params_SWKS_ANSS_z_stop_scaler,params_SWKS_ANSS_z_win,params_ZS_KDP_beta_win,params_ZS_KDP_stop_loss,params_ZS_KDP_trade_freq,params_ZS_KDP_z_entry,params_ZS_KDP_z_exit,params_ZS_KDP_z_stop_scaler,params_ZS_KDP_z_win,params_buffer_capital,params_pairs_to_trade,state
40,40,-0.11939470476594082,2025-06-15 00:56:14.964409,2025-06-15 00:56:16.952309,0 days 00:00:01.987900,606.0,0.002,3m,3.0,3.5,1.9000000000000001,612.0,762.0,0.006,1m,1.5,2.5,0.9,508.0,,,,,,,,,,,,,,,398,0.006,4m,1.0,2.5,1.2000000000000002,658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720.0,0.005,2m,2.5,3.0,1.4,500.0,0.2,4,COMPLETE
41,41,9.492349495605444,2025-06-15 00:56:17.010349,2025-06-15 00:56:17.521443,0 days 00:00:00.511094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,852,0.008,4m,1.0,1.0,0.9,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
42,42,9.698618897551963,2025-06-15 00:56:17.564445,2025-06-15 00:56:18.171048,0 days 00:00:00.606603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818,0.007,4m,1.0,1.0,0.9,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
43,43,5.109031899551382,2025-06-15 00:56:18.236070,2025-06-15 00:56:18.868663,0 days 00:00:00.632593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910,0.007,4m,1.0,1.5,0.7,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
44,44,4.059729439918775,2025-06-15 00:56:18.935176,2025-06-15 00:56:19.611307,0 days 00:00:00.676131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808,0.006,4m,1.5,1.0,0.8,622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
45,45,8.189756128732181,2025-06-15 00:56:19.690318,2025-06-15 00:56:20.851048,0 days 00:00:01.160730,768.0,0.008,2m,3.5,3.0,1.8,354.0,,,,,,,,,,,,,,,,,,,,,,760,0.008,4m,1.0,1.5,0.9,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
46,46,-3.629636989355748,2025-06-15 00:56:20.922558,2025-06-15 00:56:25.185314,0 days 00:00:04.262756,770.0,0.009000000000000001,2m,3.5,2.5,1.7000000000000002,256.0,560.0,0.001,3m,3.5,3.5,1.4,936.0,868.0,0.002,2m,2.5,4.0,0.5,702.0,82.0,0.01,2m,4.0,1.0,0.5,68.0,758,0.008,4m,3.0,1.0,0.6,334,756.0,0.003,2m,1.0,4.0,0.5,322.0,1024.0,0.01,3m,4.0,2.5,2.0,22.0,,,,,,,,564.0,0.003,3m,2.0,2.0,1.5,252.0,1024.0,0.009000000000000001,3m,1.5,2.5,1.8,336.0,0.1,9,COMPLETE
47,47,1.9810061818259468,2025-06-15 00:56:25.253363,2025-06-15 00:56:26.687911,0 days 00:00:01.434548,848.0,0.006,2m,2.5,3.0,1.4,348.0,636.0,0.003,1m,2.5,1.5,0.5,430.0,,,,,,,,,,,,,,,1022,0.008,1m,1.0,1.5,0.9,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,3,COMPLETE
48,48,-0.3927573407382561,2025-06-15 00:56:26.739931,2025-06-15 00:56:27.301563,0 days 00:00:00.561632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588,0.009000000000000001,2m,2.0,1.5,0.8,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
49,49,4.403413980869898,2025-06-15 00:56:27.355565,2025-06-15 00:56:30.368002,0 days 00:00:03.012437,94.0,0.004,2m,3.5,2.0,1.6,692.0,434.0,0.008,2m,2.0,2.5,0.7,154.0,674.0,0.005,3m,4.0,3.0,1.7000000000000002,16.0,,,,,,,,678,0.007,4m,1.5,4.0,0.6,354,,,,,,,,,,,,,,,,,,,,,,204.0,0.003,2m,1.0,3.0,1.1,468.0,208.0,0.002,1m,3.5,4.0,0.8,634.0,0.5,6,COMPLETE
50,50,-2.4033466204559737,2025-06-15 00:56:30.437516,2025-06-15 00:56:31.002104,0 days 00:00:00.564588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,0.008,4m,1.0,1.0,0.9,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
51,51,9.743254999531661,2025-06-15 00:56:31.057108,2025-06-15 00:56:32.074007,0 days 00:00:01.016899,632.0,0.008,2m,3.0,2.5,1.9000000000000001,492.0,,,,,,,,,,,,,,,,,,,,,,832,0.006,4m,1.0,2.0,1.2000000000000002,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
52,52,9.268904550526003,2025-06-15 00:56:32.139043,2025-06-15 00:56:33.181244,0 days 00:00:01.042201,804.0,0.008,2m,3.5,2.5,1.8,476.0,,,,,,,,,,,,,,,,,,,,,,820,0.006,4m,1.0,1.5,1.2000000000000002,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
53,53,9.266588129055842,2025-06-15 00:56:33.248267,2025-06-15 00:56:33.888888,0 days 00:00:00.640621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820,0.006,4m,1.0,2.0,1.2000000000000002,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
54,54,9.693693786563939,2025-06-15 00:56:33.942386,2025-06-15 00:56:34.557007,0 days 00:00:00.614621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,822,0.006,4m,1.0,2.0,1.2000000000000002,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
55,55,9.394262929762872,2025-06-15 00:56:34.624519,2025-06-15 00:56:35.217002,0 days 00:00:00.592483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812,0.006,4m,1.0,2.5,1.3,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
56,56,-1.9846262296130743,2025-06-15 00:56:35.280004,2025-06-15 00:56:35.795124,0 days 00:00:00.515120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,0.005,4m,1.5,3.0,1.5,436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
57,57,-4.681194706589076,2025-06-15 00:56:35.849635,2025-06-15 00:56:36.854320,0 days 00:00:01.004685,934.0,0.01,2m,1.5,1.5,0.9,948.0,,,,,,,,,,,,,,,,,,,,,,780,0.004,3m,1.0,2.5,1.3,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,2,COMPLETE
58,58,7.203013653528095,2025-06-15 00:56:36.918834,2025-06-15 00:56:37.508442,0 days 00:00:00.589608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736,0.006,4m,1.0,2.5,1.3,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
59,59,-100.0,2025-06-15 00:56:37.576442,2025-06-15 00:56:38.218020,0 days 00:00:00.641578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,0.005,4m,3.5,3.5,1.5,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
60,60,3.8216041884626746,2025-06-15 00:56:38.286032,2025-06-15 00:56:39.814845,0 days 00:00:01.528813,420.0,0.01,2m,1.0,1.5,0.5,790.0,176.0,0.002,4m,1.0,1.0,1.9000000000000001,42.0,,,,,,,,,,,,,,,814,0.006,4m,1.5,2.5,1.2000000000000002,422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,3,COMPLETE
61,61,9.246822834370423,2025-06-15 00:56:39.871846,2025-06-15 00:56:40.385941,0 days 00:00:00.514095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820,0.006,4m,1.0,2.0,1.2000000000000002,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
62,62,9.950550116911499,2025-06-15 00:56:40.450448,2025-06-15 00:56:41.044059,0 days 00:00:00.593611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842,0.006,4m,1.0,2.0,1.4,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
63,63,8.431392705562336,2025-06-15 00:56:41.099567,2025-06-15 00:56:42.152473,0 days 00:00:01.052906,666.0,0.003,2m,2.5,2.0,1.0,646.0,,,,,,,,,,,,,,,,,,,,,,864,0.004,4m,1.0,2.0,1.4,492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
64,64,8.80115908570122,2025-06-15 00:56:42.205600,2025-06-15 00:56:42.821713,0 days 00:00:00.616113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782,0.005,4m,1.0,2.5,1.6,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
65,65,0.8521475687467942,2025-06-15 00:56:42.887717,2025-06-15 00:56:44.001491,0 days 00:00:01.113774,818.0,0.009000000000000001,2m,2.0,2.5,1.9000000000000001,738.0,,,,,,,,,,,,,,,,,,,,,,926,0.003,1m,1.0,2.0,1.3,584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
66,66,-4.117056182800042,2025-06-15 00:56:44.057490,2025-06-15 00:56:45.093680,0 days 00:00:01.036190,626.0,0.01,2m,2.5,1.5,0.6,860.0,,,,,,,,,,,,,,,,,,,,,,846,0.006,2m,1.5,3.0,1.4,394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,2,COMPLETE
67,67,4.047263937194979,2025-06-15 00:56:45.150193,2025-06-15 00:56:45.796328,0 days 00:00:00.646135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702,0.007,4m,1.0,2.5,1.5,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
68,68,5.216731502661774,2025-06-15 00:56:45.838836,2025-06-15 00:56:46.421359,0 days 00:00:00.582523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,892,0.005,4m,1.5,1.0,1.0,558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
69,69,5.534515289106862,2025-06-15 00:56:46.480358,2025-06-15 00:56:47.534106,0 days 00:00:01.053748,726.0,0.002,1m,1.5,2.0,1.2000000000000002,1004.0,,,,,,,,,,,,,,,,,,,,,,672,0.006,4m,1.0,2.0,1.7000000000000002,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
70,70,0.1294019670241655,2025-06-15 00:56:47.606625,2025-06-15 00:56:48.727407,0 days 00:00:01.120782,530.0,0.005,3m,3.0,1.0,0.7,572.0,,,,,,,,,,,,,,,,,,,,,,750,0.007,4m,4.0,2.0,1.3,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,2,COMPLETE
71,71,9.445058443344843,2025-06-15 00:56:48.811924,2025-06-15 00:56:49.376023,0 days 00:00:00.564099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828,0.006,4m,1.0,2.0,1.2000000000000002,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
72,72,8.767784047875699,2025-06-15 00:56:49.444538,2025-06-15 00:56:50.021773,0 days 00:00:00.577235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870,0.006,4m,1.0,2.0,1.1,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
73,73,7.847655842815737,2025-06-15 00:56:50.096781,2025-06-15 00:56:50.774400,0 days 00:00:00.677619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,0.007,4m,1.0,2.5,1.4,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
74,74,8.258543378609655,2025-06-15 00:56:50.842485,2025-06-15 00:56:51.420617,0 days 00:00:00.578132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846,0.006,4m,1.0,1.5,1.2000000000000002,598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
75,75,-6.522949958730349,2025-06-15 00:56:51.493623,2025-06-15 00:56:52.691374,0 days 00:00:01.197751,1010.0,0.007,2m,1.5,1.5,1.9000000000000001,482.0,,,,,,,,,,,,,,,,,,,,,,718,0.005,3m,1.5,2.0,1.0,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,2,COMPLETE
76,76,5.872531058302577,2025-06-15 00:56:52.812917,2025-06-15 00:56:53.926448,0 days 00:00:01.113531,346.0,0.008,2m,2.5,2.5,1.8,552.0,,,,,,,,,,,,,,,,,,,,,,972,0.007,4m,1.0,1.5,1.3,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
77,77,6.157153280647038,2025-06-15 00:56:54.009959,2025-06-15 00:56:54.999644,0 days 00:00:00.989685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902,0.006,4m,1.0,2.0,1.1,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
78,78,-0.8228961196212625,2025-06-15 00:56:55.103669,2025-06-15 00:56:57.003537,0 days 00:00:01.899868,234.0,0.01,1m,2.0,2.0,1.0,458.0,,,,,,,,,,,,,,,,,,,,,,340,0.007,4m,1.5,1.0,1.2000000000000002,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
79,79,6.560100550673276,2025-06-15 00:56:57.096548,2025-06-15 00:56:59.777626,0 days 00:00:02.681078,654.0,0.008,2m,3.0,2.5,1.6,618.0,110.0,0.003,3m,4.0,1.0,1.7000000000000002,362.0,,,,,,,,,,,,,,,926,0.005,4m,1.0,2.5,1.4,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,3,COMPLETE
80,80,-1.2084422081191646,2025-06-15 00:56:59.876144,2025-06-15 00:57:00.880321,0 days 00:00:01.004177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788,0.006,1m,1.0,3.0,1.0,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
81,81,9.506620096681655,2025-06-15 00:57:00.969835,2025-06-15 00:57:01.968015,0 days 00:00:00.998180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824,0.006,4m,1.0,2.0,1.2000000000000002,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
82,82,9.944492723325775,2025-06-15 00:57:02.074529,2025-06-15 00:57:02.988193,0 days 00:00:00.913664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832,0.006,4m,1.0,2.0,1.1,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
83,83,8.899995871426427,2025-06-15 00:57:03.079732,2025-06-15 00:57:03.693314,0 days 00:00:00.613582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876,0.006,4m,1.0,2.0,1.1,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
84,84,9.969390339063423,2025-06-15 00:57:03.760330,2025-06-15 00:57:04.407260,0 days 00:00:00.646930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,0.007,4m,1.0,2.0,1.3,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
85,85,-5.21900429377751,2025-06-15 00:57:04.473263,2025-06-15 00:57:05.125219,0 days 00:00:00.651956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764,0.007,2m,1.0,2.0,1.1,622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
86,86,5.92742808158507,2025-06-15 00:57:05.188219,2025-06-15 00:57:05.789321,0 days 00:00:00.601102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854,0.007,4m,1.5,2.0,1.2000000000000002,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
87,87,-5.70529962439384,2025-06-15 00:57:05.854835,2025-06-15 00:57:06.435432,0 days 00:00:00.580597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,0.007,4m,2.5,2.0,1.3,652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
88,88,5.821455414789028,2025-06-15 00:57:06.519956,2025-06-15 00:57:07.083052,0 days 00:00:00.563096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,944,0.008,4m,1.0,2.0,1.0,566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
89,89,-4.251258294176059,2025-06-15 00:57:07.151587,2025-06-15 00:57:08.084177,0 days 00:00:00.932590,190.0,0.001,3m,1.0,1.0,0.8,46.0,,,,,,,,,,,,,,,,,,,,,,990,0.005,4m,1.0,2.0,1.1,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
90,90,3.0059750821334115,2025-06-15 00:57:08.142540,2025-06-15 00:57:08.792269,0 days 00:00:00.649729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,836,0.007,3m,1.0,1.5,1.2000000000000002,682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
91,91,2.6068561548237614,2025-06-15 00:57:08.866780,2025-06-15 00:57:09.489359,0 days 00:00:00.622579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798,0.006,4m,1.0,2.5,1.3,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
92,92,7.389491185908842,2025-06-15 00:57:09.561876,2025-06-15 00:57:10.226053,0 days 00:00:00.664177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886,0.006,4m,1.0,2.0,1.4,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
93,93,9.483767723000119,2025-06-15 00:57:10.310568,2025-06-15 00:57:10.899845,0 days 00:00:00.589277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830,0.006,4m,1.0,2.0,1.3,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
94,94,8.836257413118773,2025-06-15 00:57:10.964358,2025-06-15 00:57:13.227560,0 days 00:00:02.263202,242.0,0.002,1m,1.5,4.0,0.6,732.0,286.0,0.001,4m,1.5,4.0,2.0,564.0,252.0,0.008,2m,1.0,1.5,1.8,984.0,,,,,,,,742,0.005,4m,1.0,2.0,1.2000000000000002,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,0.004,2m,3.5,3.5,0.6,174.0,0.05,5,COMPLETE
95,95,7.781625804453043,2025-06-15 00:57:13.308566,2025-06-15 00:57:13.958752,0 days 00:00:00.650186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828,0.006,4m,1.0,2.0,1.3,598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
96,96,0.05110656944384639,2025-06-15 00:57:14.029268,2025-06-15 00:57:15.151947,0 days 00:00:01.122679,384.0,0.003,3m,2.0,1.0,0.9,936.0,,,,,,,,,,,,,,,,,,,,,,472,0.006,4m,1.5,1.5,0.8,508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,2,COMPLETE
97,97,-1.4544888138887913,2025-06-15 00:57:15.234974,2025-06-15 00:57:15.805084,0 days 00:00:00.570110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0.007,4m,1.0,2.0,1.4,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
98,98,6.082447882303244,2025-06-15 00:57:15.854608,2025-06-15 00:57:16.430241,0 days 00:00:00.575633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,918,0.005,4m,1.0,2.0,1.5,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
99,99,2.3511827574446835,2025-06-15 00:57:16.496245,2025-06-15 00:57:17.483444,0 days 00:00:00.987199,536.0,0.004,1m,1.5,1.5,1.3,998.0,,,,,,,,,,,,,,,,,,,,,,774,0.008,4m,1.5,2.0,1.1,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,2,COMPLETE
100,100,-7.617723950176414,2025-06-15 00:57:17.553973,2025-06-15 00:57:18.153487,0 days 00:00:00.599514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,866,0.006,2m,1.0,1.0,0.9,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
101,101,9.421990574842143,2025-06-15 00:57:18.215003,2025-06-15 00:57:18.823125,0 days 00:00:00.608122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828,0.006,4m,1.0,2.5,1.3,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
102,102,9.30369702877481,2025-06-15 00:57:18.899130,2025-06-15 00:57:19.513301,0 days 00:00:00.614171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,838,0.006,4m,1.0,2.5,1.3,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
103,103,10.377550988655841,2025-06-15 00:57:19.577300,2025-06-15 00:57:20.238962,0 days 00:00:00.661662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796,0.006,4m,1.0,3.0,1.2000000000000002,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
104,104,8.906047685681973,2025-06-15 00:57:20.318482,2025-06-15 00:57:20.953704,0 days 00:00:00.635222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794,0.007,4m,1.0,3.5,1.2000000000000002,518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
105,105,4.847335303920394,2025-06-15 00:57:21.021216,2025-06-15 00:57:22.022379,0 days 00:00:01.001163,284.0,0.009000000000000001,3m,1.0,2.0,1.2000000000000002,134.0,,,,,,,,,,,,,,,,,,,,,,890,0.006,4m,1.0,3.0,1.2000000000000002,582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
106,106,8.270067946123085,2025-06-15 00:57:22.065378,2025-06-15 00:57:22.717482,0 days 00:00:00.652104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766,0.005,4m,1.0,2.0,1.2000000000000002,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
107,107,8.433396998777273,2025-06-15 00:57:22.786000,2025-06-15 00:57:23.812210,0 days 00:00:01.026210,450.0,0.005,1m,2.5,1.0,1.0,804.0,,,,,,,,,,,,,,,,,,,,,,858,0.007,4m,1.0,3.0,1.1,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,2,COMPLETE
108,108,5.421378744744651,2025-06-15 00:57:23.883719,2025-06-15 00:57:24.577496,0 days 00:00:00.693777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,908,0.006,4m,1.0,2.0,1.0,484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
109,109,-2.095197861871633,2025-06-15 00:57:24.643011,2025-06-15 00:57:28.847928,0 days 00:00:04.204917,148.0,0.004,3m,4.0,1.5,1.4,856.0,334.0,0.005,2m,2.5,3.5,0.6,284.0,510.0,0.01,4m,1.5,1.5,1.4,844.0,484.0,0.001,2m,1.0,4.0,1.2000000000000002,958.0,602,0.005,1m,1.0,3.5,1.4,422,406.0,0.008,4m,4.0,2.5,1.5,852.0,38.0,0.003,2m,1.0,2.0,0.9,706.0,,,,,,,,440.0,0.009000000000000001,3m,2.0,3.5,0.7,828.0,344.0,0.002,3m,4.0,4.0,1.1,892.0,0.05,9,COMPLETE
110,110,2.521426834348445,2025-06-15 00:57:28.914935,2025-06-15 00:57:30.087114,0 days 00:00:01.172179,348.0,0.007,1m,2.0,3.0,0.7,280.0,,,,,,,,,,,,,,,,,,,,,,806,0.001,4m,1.5,1.5,1.3,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
111,111,9.328619369264766,2025-06-15 00:57:30.154629,2025-06-15 00:57:30.815746,0 days 00:00:00.661117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834,0.006,4m,1.0,2.5,1.3,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
112,112,5.169560534587918,2025-06-15 00:57:30.881259,2025-06-15 00:57:31.443875,0 days 00:00:00.562616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722,0.006,4m,1.0,2.0,1.2000000000000002,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
