,number,value,datetime_start,datetime_complete,duration,params_AAPL_KDP_beta_win,params_AAPL_KDP_stop_loss,params_AAPL_KDP_trade_freq,params_AAPL_KDP_z_entry,params_AAPL_KDP_z_exit,params_AAPL_KDP_z_stop_scaler,params_AAPL_KDP_z_win,params_ADSK_PCAR_beta_win,params_ADSK_PCAR_stop_loss,params_ADSK_PCAR_trade_freq,params_ADSK_PCAR_z_entry,params_ADSK_PCAR_z_exit,params_ADSK_PCAR_z_stop_scaler,params_ADSK_PCAR_z_win,params_ANSS_KDP_beta_win,params_ANSS_KDP_stop_loss,params_ANSS_KDP_trade_freq,params_ANSS_KDP_z_entry,params_ANSS_KDP_z_exit,params_ANSS_KDP_z_stop_scaler,params_ANSS_KDP_z_win,params_CSCO_WDAY_beta_win,params_CSCO_WDAY_stop_loss,params_CSCO_WDAY_trade_freq,params_CSCO_WDAY_z_entry,params_CSCO_WDAY_z_exit,params_CSCO_WDAY_z_stop_scaler,params_CSCO_WDAY_z_win,params_EA_NTES_beta_win,params_EA_NTES_stop_loss,params_EA_NTES_trade_freq,params_EA_NTES_z_entry,params_EA_NTES_z_exit,params_EA_NTES_z_stop_scaler,params_EA_NTES_z_win,params_EBAY_KDP_beta_win,params_EBAY_KDP_stop_loss,params_EBAY_KDP_trade_freq,params_EBAY_KDP_z_entry,params_EBAY_KDP_z_exit,params_EBAY_KDP_z_stop_scaler,params_EBAY_KDP_z_win,params_IDXX_ISRG_beta_win,params_IDXX_ISRG_stop_loss,params_IDXX_ISRG_trade_freq,params_IDXX_ISRG_z_entry,params_IDXX_ISRG_z_exit,params_IDXX_ISRG_z_stop_scaler,params_IDXX_ISRG_z_win,params_OKTA_KDP_beta_win,params_OKTA_KDP_stop_loss,params_OKTA_KDP_trade_freq,params_OKTA_KDP_z_entry,params_OKTA_KDP_z_exit,params_OKTA_KDP_z_stop_scaler,params_OKTA_KDP_z_win,params_SWKS_ANSS_beta_win,params_SWKS_ANSS_stop_loss,params_SWKS_ANSS_trade_freq,params_SWKS_ANSS_z_entry,params_SWKS_ANSS_z_exit,params_SWKS_ANSS_z_stop_scaler,params_SWKS_ANSS_z_win,params_ZS_KDP_beta_win,params_ZS_KDP_stop_loss,params_ZS_KDP_trade_freq,params_ZS_KDP_z_entry,params_ZS_KDP_z_exit,params_ZS_KDP_z_stop_scaler,params_ZS_KDP_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,7.067659959252069,2025-06-15 00:55:21.892143,2025-06-15 00:55:22.557758,0 days 00:00:00.665615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988,0.006,4m,1.0,2.5,2.0,1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
11,11,6.234792906892869,2025-06-15 00:55:22.649271,2025-06-15 00:55:23.282884,0 days 00:00:00.633613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020,0.006,4m,1.0,2.5,1.9000000000000001,984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
12,12,5.824420159221363,2025-06-15 00:55:23.353888,2025-06-15 00:55:24.025013,0 days 00:00:00.671125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766,0.006,4m,1.5,3.0,1.7000000000000002,936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
13,13,-6.843502525917907,2025-06-15 00:55:24.078528,2025-06-15 00:55:26.865237,0 days 00:00:02.786709,404.0,0.006,4m,4.0,1.0,1.1,160.0,670.0,0.01,1m,1.5,4.0,1.7000000000000002,76.0,998.0,0.001,3m,4.0,2.5,0.8,702.0,,,,,,,,800,0.004,4m,2.0,2.0,1.6,772,,,,,,,,,,,,,,,,,,,,,,48.0,0.01,1m,4.0,1.5,0.5,42.0,698.0,0.001,3m,1.0,2.5,2.0,612.0,0.35000000000000003,6,COMPLETE
14,14,3.5686942564040836,2025-06-15 00:55:26.956769,2025-06-15 00:55:27.608879,0 days 00:00:00.652110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802,0.007,4m,1.5,2.0,2.0,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
15,15,4.609108686775511,2025-06-15 00:55:27.696893,2025-06-15 00:55:30.010584,0 days 00:00:02.313691,16.0,0.004,1m,4.0,1.5,1.1,278.0,382.0,0.004,4m,3.5,1.0,0.9,1024.0,968.0,0.003,3m,4.0,2.5,1.1,586.0,,,,,,,,638,0.001,4m,1.0,3.0,1.6,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800.0,0.008,1m,1.0,1.0,1.2000000000000002,558.0,0.35000000000000003,5,COMPLETE
16,16,6.394037985676336,2025-06-15 00:55:30.094093,2025-06-15 00:55:33.527811,0 days 00:00:03.433718,420.0,0.008,4m,3.0,2.0,1.6,306.0,742.0,0.004,1m,3.0,2.5,2.0,996.0,718.0,0.003,2m,3.5,2.0,0.5,850.0,,,,,,,,892,0.01,4m,2.0,1.0,1.8,852,1002.0,0.001,1m,4.0,4.0,0.5,1024.0,,,,,,,,,,,,,,,722.0,0.001,3m,4.0,2.0,0.6,118.0,406.0,0.003,3m,1.5,1.0,1.3,686.0,0.2,7,COMPLETE
17,17,1.3593435651622776,2025-06-15 00:55:33.599328,2025-06-15 00:55:35.497158,0 days 00:00:01.897830,48.0,0.001,4m,2.0,2.0,0.5,34.0,430.0,0.005,1m,2.0,2.5,1.5,214.0,,,,,,,,,,,,,,,694,0.005,1m,2.5,2.5,1.5,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452.0,0.01,1m,2.0,2.5,1.6,1024.0,0.35000000000000003,4,COMPLETE
18,18,-4.966604580456333,2025-06-15 00:55:35.555161,2025-06-15 00:55:36.562752,0 days 00:00:01.007591,350.0,0.005,1m,3.5,1.0,1.3,198.0,,,,,,,,,,,,,,,,,,,,,,1016,0.002,2m,1.5,3.5,2.0,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
19,19,8.059869196530704,2025-06-15 00:55:36.641264,2025-06-15 00:55:37.852993,0 days 00:00:01.211729,580.0,0.008,4m,3.0,3.5,2.0,384.0,,,,,,,,,,,,,,,,,,,,,,872,0.007,4m,1.0,2.0,1.1,626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
20,20,1.2446265575586581,2025-06-15 00:55:37.929508,2025-06-15 00:55:40.669979,0 days 00:00:02.740471,568.0,0.008,4m,3.0,3.5,2.0,418.0,572.0,0.01,4m,3.0,4.0,1.1,688.0,802.0,0.001,1m,1.5,3.0,1.0,480.0,,,,,,,,880,0.007,4m,2.5,2.0,1.1,628,,,,,,,,,,,,,,,,,,,,,,30.0,0.01,1m,2.5,2.5,0.9,714.0,808.0,0.008,1m,1.5,4.0,0.9,430.0,0.15000000000000002,6,COMPLETE
21,21,7.090549260842352,2025-06-15 00:55:40.755992,2025-06-15 00:55:41.872037,0 days 00:00:01.116045,642.0,0.006,4m,3.5,3.5,1.7000000000000002,444.0,,,,,,,,,,,,,,,,,,,,,,922,0.007,4m,1.0,2.0,1.0,444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
22,22,7.32313080188808,2025-06-15 00:55:41.950548,2025-06-15 00:55:43.048217,0 days 00:00:01.097669,684.0,0.006,4m,3.5,3.5,1.7000000000000002,418.0,,,,,,,,,,,,,,,,,,,,,,890,0.007,4m,1.0,1.5,1.0,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
