,number,value,datetime_start,datetime_complete,duration,params_AMGN_TXN_beta_win,params_AMGN_TXN_stop_loss,params_AMGN_TXN_trade_freq,params_AMGN_TXN_z_entry,params_AMGN_TXN_z_exit,params_AMGN_TXN_z_stop_scaler,params_AMGN_TXN_z_win,params_CDW_MELI_beta_win,params_CDW_MELI_stop_loss,params_CDW_MELI_trade_freq,params_CDW_MELI_z_entry,params_CDW_MELI_z_exit,params_CDW_MELI_z_stop_scaler,params_CDW_MELI_z_win,params_DXCM_KHC_beta_win,params_DXCM_KHC_stop_loss,params_DXCM_KHC_trade_freq,params_DXCM_KHC_z_entry,params_DXCM_KHC_z_exit,params_DXCM_KHC_z_stop_scaler,params_DXCM_KHC_z_win,params_DXCM_TXN_beta_win,params_DXCM_TXN_stop_loss,params_DXCM_TXN_trade_freq,params_DXCM_TXN_z_entry,params_DXCM_TXN_z_exit,params_DXCM_TXN_z_stop_scaler,params_DXCM_TXN_z_win,params_ISRG_PCAR_beta_win,params_ISRG_PCAR_stop_loss,params_ISRG_PCAR_trade_freq,params_ISRG_PCAR_z_entry,params_ISRG_PCAR_z_exit,params_ISRG_PCAR_z_stop_scaler,params_ISRG_PCAR_z_win,params_KHC_MSFT_beta_win,params_KHC_MSFT_stop_loss,params_KHC_MSFT_trade_freq,params_KHC_MSFT_z_entry,params_KHC_MSFT_z_exit,params_KHC_MSFT_z_stop_scaler,params_KHC_MSFT_z_win,params_LULU_PCAR_beta_win,params_LULU_PCAR_stop_loss,params_LULU_PCAR_trade_freq,params_LULU_PCAR_z_entry,params_LULU_PCAR_z_exit,params_LULU_PCAR_z_stop_scaler,params_LULU_PCAR_z_win,params_NFLX_TXN_beta_win,params_NFLX_TXN_stop_loss,params_NFLX_TXN_trade_freq,params_NFLX_TXN_z_entry,params_NFLX_TXN_z_exit,params_NFLX_TXN_z_stop_scaler,params_NFLX_TXN_z_win,params_ROST_TXN_beta_win,params_ROST_TXN_stop_loss,params_ROST_TXN_trade_freq,params_ROST_TXN_z_entry,params_ROST_TXN_z_exit,params_ROST_TXN_z_stop_scaler,params_ROST_TXN_z_win,params_TEAM_TXN_beta_win,params_TEAM_TXN_stop_loss,params_TEAM_TXN_trade_freq,params_TEAM_TXN_z_entry,params_TEAM_TXN_z_exit,params_TEAM_TXN_z_stop_scaler,params_TEAM_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,3.1146003893341643,2025-06-15 00:28:24.637786,2025-06-15 00:28:29.565486,0 days 00:00:04.927700,910.0,0.01,4m,4.0,4.0,2.0,884.0,550.0,0.004,3m,3.5,1.0,0.7,60.0,348.0,0.01,2m,4.0,1.0,2.0,808.0,430.0,0.007,4m,4.0,1.5,0.9,172.0,642.0,0.003,3m,4.0,1.0,0.5,468.0,26,0.004,2m,3.0,1.0,1.1,1016,852.0,0.001,2m,4.0,1.0,2.0,64.0,98.0,0.01,4m,1.0,4.0,0.7,918.0,526.0,0.005,4m,2.0,1.0,1.0,802.0,998.0,0.002,2m,1.0,4.0,0.6,58.0,0.35000000000000003,10,COMPLETE
11,11,-100.0,2025-06-15 00:28:29.665997,2025-06-15 00:28:30.268598,0 days 00:00:00.602601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,0.006,2m,4.0,1.5,2.0,1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
12,12,-2.0222558897828256,2025-06-15 00:28:30.336598,2025-06-15 00:28:30.869205,0 days 00:00:00.532607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,0.006,2m,4.0,2.0,1.7000000000000002,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
13,13,-1.7653327142761173,2025-06-15 00:28:30.935358,2025-06-15 00:28:34.418405,0 days 00:00:03.483047,,,,,,,,802.0,0.005,3m,3.5,2.0,0.9,690.0,780.0,0.008,2m,1.5,2.0,2.0,580.0,,,,,,,,780.0,0.001,4m,1.0,2.5,0.9,484.0,698,0.002,2m,3.5,1.5,1.6,858,102.0,0.002,1m,1.0,2.0,1.5,60.0,558.0,0.001,1m,4.0,2.5,1.8,698.0,366.0,0.009000000000000001,1m,3.0,1.5,0.5,964.0,,,,,,,,0.45,7,COMPLETE
14,14,-0.2638598117899098,2025-06-15 00:28:34.497450,2025-06-15 00:28:36.000753,0 days 00:00:01.503303,,,,,,,,1018.0,0.006,3m,1.5,2.0,0.9,620.0,,,,,,,,,,,,,,,,,,,,,,142,0.003,2m,3.5,2.5,1.0,202,,,,,,,,,,,,,,,672.0,0.008,1m,4.0,3.5,1.1,1004.0,,,,,,,,0.3,3,COMPLETE
15,15,-3.3222900274443345,2025-06-15 00:28:36.088269,2025-06-15 00:28:40.760548,0 days 00:00:04.672279,660.0,0.01,4m,4.0,4.0,2.0,138.0,726.0,0.005,3m,3.0,1.0,0.9,900.0,250.0,0.001,2m,3.0,1.0,0.5,22.0,882.0,0.008,4m,3.0,2.5,0.8,652.0,390.0,0.003,4m,3.5,1.0,0.5,32.0,414,0.005,2m,3.0,1.0,1.5,490,1006.0,0.01,2m,3.5,4.0,0.5,1014.0,558.0,0.006,4m,2.0,2.5,2.0,30.0,414.0,0.009000000000000001,1m,3.0,2.0,2.0,810.0,46.0,0.01,1m,4.0,3.5,2.0,310.0,0.25,10,COMPLETE
16,16,9.501018421563948,2025-06-15 00:28:40.834054,2025-06-15 00:28:43.782578,0 days 00:00:02.948524,,,,,,,,894.0,0.01,4m,2.0,4.0,1.6,768.0,620.0,0.007,1m,4.0,2.0,1.7000000000000002,536.0,,,,,,,,792.0,0.004,3m,3.5,2.5,1.0,652.0,142,0.007,2m,4.0,1.5,0.9,868,,,,,,,,258.0,0.006,2m,1.0,3.0,0.7,702.0,688.0,0.01,1m,2.0,3.5,1.3,750.0,,,,,,,,0.4,6,COMPLETE
17,17,6.805123482355735,2025-06-15 00:28:43.869088,2025-06-15 00:28:47.268173,0 days 00:00:03.399085,,,,,,,,344.0,0.01,4m,1.5,4.0,1.7000000000000002,776.0,696.0,0.007,1m,4.0,2.0,1.7000000000000002,540.0,,,,,,,,834.0,0.004,3m,3.5,2.5,0.9,658.0,134,0.007,2m,2.5,3.0,0.9,868,614.0,0.004,2m,3.0,2.0,1.3,254.0,260.0,0.006,2m,1.0,3.0,0.5,726.0,706.0,0.01,4m,2.0,3.5,1.3,752.0,,,,,,,,0.45,7,COMPLETE
18,18,5.857277885694156,2025-06-15 00:28:47.344689,2025-06-15 00:28:50.790543,0 days 00:00:03.445854,,,,,,,,322.0,0.01,4m,1.5,4.0,1.8,906.0,642.0,0.004,1m,4.0,2.5,1.6,632.0,,,,,,,,774.0,0.001,3m,3.0,2.5,1.1,678.0,698,0.007,1m,2.5,3.0,0.8,864,436.0,0.003,3m,3.0,3.5,1.1,322.0,118.0,0.008,2m,1.0,2.0,0.5,620.0,708.0,0.006,4m,2.0,3.5,1.4,358.0,,,,,,,,0.4,7,COMPLETE
19,19,1.165821551799297,2025-06-15 00:28:50.885063,2025-06-15 00:28:53.959121,0 days 00:00:03.074058,,,,,,,,374.0,0.01,4m,2.0,4.0,1.6,1016.0,724.0,0.008,1m,4.0,2.0,1.7000000000000002,772.0,,,,,,,,790.0,0.007,3m,3.5,4.0,1.2000000000000002,712.0,188,0.007,2m,2.0,4.0,0.6,626,,,,,,,,298.0,0.004,2m,2.0,3.0,0.9,382.0,462.0,0.008,1m,2.0,2.0,1.1,656.0,,,,,,,,0.5,6,COMPLETE
20,20,8.57202211652796,2025-06-15 00:28:54.053576,2025-06-15 00:28:56.904810,0 days 00:00:02.851234,,,,,,,,444.0,0.01,4m,1.0,4.0,1.6,710.0,960.0,0.005,1m,3.5,2.0,1.4,462.0,,,,,,,,450.0,0.003,3m,3.5,3.0,0.9,1004.0,800,0.007,2m,2.0,3.0,1.0,776,,,,,,,,238.0,0.008,2m,1.5,1.5,0.9,796.0,1014.0,0.002,1m,1.0,3.5,1.3,432.0,,,,,,,,0.4,6,COMPLETE
21,21,7.439727750882985,2025-06-15 00:28:56.973326,2025-06-15 00:29:00.076097,0 days 00:00:03.102771,,,,,,,,470.0,0.01,4m,1.0,4.0,1.6,756.0,1020.0,0.005,1m,3.5,2.0,1.4,452.0,,,,,,,,404.0,0.003,3m,3.5,3.0,0.9,984.0,856,0.007,2m,2.5,3.0,1.0,784,,,,,,,,216.0,0.008,2m,1.5,1.5,0.9,798.0,988.0,0.001,1m,1.0,3.5,1.3,424.0,,,,,,,,0.4,6,COMPLETE
22,22,9.2729823262139,2025-06-15 00:29:00.139096,2025-06-15 00:29:03.209185,0 days 00:00:03.070089,,,,,,,,446.0,0.009000000000000001,4m,1.0,4.0,1.4,690.0,1014.0,0.005,1m,3.5,2.0,1.4,396.0,,,,,,,,420.0,0.002,3m,3.5,3.0,0.8,1014.0,874,0.006,2m,2.0,3.5,1.1,756,,,,,,,,164.0,0.008,2m,1.5,1.5,1.0,1020.0,968.0,0.001,1m,1.0,3.5,1.2000000000000002,486.0,,,,,,,,0.4,6,COMPLETE
