,number,value,datetime_start,datetime_complete,duration,params_AMGN_TXN_beta_win,params_AMGN_TXN_stop_loss,params_AMGN_TXN_trade_freq,params_AMGN_TXN_z_entry,params_AMGN_TXN_z_exit,params_AMGN_TXN_z_stop_scaler,params_AMGN_TXN_z_win,params_CDW_MELI_beta_win,params_CDW_MELI_stop_loss,params_CDW_MELI_trade_freq,params_CDW_MELI_z_entry,params_CDW_MELI_z_exit,params_CDW_MELI_z_stop_scaler,params_CDW_MELI_z_win,params_DXCM_KHC_beta_win,params_DXCM_KHC_stop_loss,params_DXCM_KHC_trade_freq,params_DXCM_KHC_z_entry,params_DXCM_KHC_z_exit,params_DXCM_KHC_z_stop_scaler,params_DXCM_KHC_z_win,params_DXCM_TXN_beta_win,params_DXCM_TXN_stop_loss,params_DXCM_TXN_trade_freq,params_DXCM_TXN_z_entry,params_DXCM_TXN_z_exit,params_DXCM_TXN_z_stop_scaler,params_DXCM_TXN_z_win,params_ISRG_PCAR_beta_win,params_ISRG_PCAR_stop_loss,params_ISRG_PCAR_trade_freq,params_ISRG_PCAR_z_entry,params_ISRG_PCAR_z_exit,params_ISRG_PCAR_z_stop_scaler,params_ISRG_PCAR_z_win,params_KHC_MSFT_beta_win,params_KHC_MSFT_stop_loss,params_KHC_MSFT_trade_freq,params_KHC_MSFT_z_entry,params_KHC_MSFT_z_exit,params_KHC_MSFT_z_stop_scaler,params_KHC_MSFT_z_win,params_LULU_PCAR_beta_win,params_LULU_PCAR_stop_loss,params_LULU_PCAR_trade_freq,params_LULU_PCAR_z_entry,params_LULU_PCAR_z_exit,params_LULU_PCAR_z_stop_scaler,params_LULU_PCAR_z_win,params_NFLX_TXN_beta_win,params_NFLX_TXN_stop_loss,params_NFLX_TXN_trade_freq,params_NFLX_TXN_z_entry,params_NFLX_TXN_z_exit,params_NFLX_TXN_z_stop_scaler,params_NFLX_TXN_z_win,params_ROST_TXN_beta_win,params_ROST_TXN_stop_loss,params_ROST_TXN_trade_freq,params_ROST_TXN_z_entry,params_ROST_TXN_z_exit,params_ROST_TXN_z_stop_scaler,params_ROST_TXN_z_win,params_TEAM_TXN_beta_win,params_TEAM_TXN_stop_loss,params_TEAM_TXN_trade_freq,params_TEAM_TXN_z_entry,params_TEAM_TXN_z_exit,params_TEAM_TXN_z_stop_scaler,params_TEAM_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
33,33,7.072871129918512,2025-06-15 00:29:32.169061,2025-06-15 00:29:35.360132,0 days 00:00:03.191071,,,,,,,,162.0,0.01,4m,1.5,3.5,1.2000000000000002,652.0,930.0,0.002,1m,2.5,2.5,1.7000000000000002,374.0,,,,,,,,380.0,0.004,3m,3.5,3.5,0.7,802.0,640,0.006,2m,1.5,3.0,1.2000000000000002,792,1014.0,0.008,3m,2.5,2.5,0.9,358.0,402.0,0.007,2m,1.5,2.0,1.5,864.0,860.0,0.004,1m,1.0,4.0,1.2000000000000002,386.0,,,,,,,,0.35000000000000003,7,COMPLETE
34,34,11.232685179722397,2025-06-15 00:29:35.448900,2025-06-15 00:29:38.029521,0 days 00:00:02.580621,,,,,,,,416.0,0.003,4m,1.0,4.0,1.7000000000000002,578.0,842.0,0.007,1m,3.0,2.0,1.8,670.0,,,,,,,,470.0,0.006,3m,3.0,2.5,1.3,1022.0,764,0.005,2m,2.0,2.5,1.1,910,,,,,,,,,,,,,,,958.0,0.001,1m,1.5,3.0,1.4,208.0,,,,,,,,0.4,5,COMPLETE
35,35,3.023141224583592,2025-06-15 00:29:38.118037,2025-06-15 00:29:40.431398,0 days 00:00:02.313361,,,,,,,,616.0,0.003,4m,1.5,3.0,1.8,400.0,644.0,0.007,4m,2.0,1.5,1.8,718.0,,,,,,,,192.0,0.008,3m,3.0,2.0,1.4,1022.0,898,0.005,2m,1.5,2.5,1.4,908,,,,,,,,,,,,,,,608.0,0.001,3m,1.5,3.0,1.6,200.0,,,,,,,,0.35000000000000003,5,COMPLETE
36,36,4.782699660250677,2025-06-15 00:29:40.502423,2025-06-15 00:29:42.551774,0 days 00:00:02.049351,,,,,,,,292.0,0.003,2m,1.0,3.5,2.0,578.0,,,,,,,,,,,,,,,26.0,0.006,2m,3.0,2.5,1.3,934.0,548,0.004,4m,2.5,4.0,1.1,984,,,,,,,,,,,,,,,824.0,0.003,1m,2.0,3.0,1.0,92.0,,,,,,,,0.3,4,COMPLETE
37,37,8.026524603751813,2025-06-15 00:29:42.623288,2025-06-15 00:29:43.661509,0 days 00:00:01.038221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730,0.005,1m,1.0,2.0,1.3,728,,,,,,,,,,,,,,,950.0,0.001,1m,1.5,3.0,1.2000000000000002,652.0,,,,,,,,0.25,2,COMPLETE
38,38,9.609398524389293,2025-06-15 00:29:43.734051,2025-06-15 00:29:46.155050,0 days 00:00:02.420999,,,,,,,,516.0,0.001,4m,2.0,3.5,1.7000000000000002,826.0,838.0,0.009000000000000001,1m,3.5,2.5,1.8,602.0,,,,,,,,570.0,0.005,3m,2.5,2.0,1.5,828.0,340,0.006,4m,3.5,2.5,0.7,626,,,,,,,,,,,,,,,874.0,0.006,2m,1.5,2.5,1.5,856.0,,,,,,,,0.45,5,COMPLETE
39,39,5.520015228462625,2025-06-15 00:29:46.225563,2025-06-15 00:29:48.149950,0 days 00:00:01.924387,,,,,,,,522.0,0.001,1m,2.0,3.5,1.7000000000000002,474.0,,,,,,,,,,,,,,,674.0,0.005,1m,2.5,1.5,1.5,816.0,358,0.003,4m,3.5,2.5,0.5,620,,,,,,,,,,,,,,,756.0,0.006,2m,2.0,2.5,1.7000000000000002,866.0,,,,,,,,0.5,4,COMPLETE
40,40,9.750685001786028,2025-06-15 00:29:48.218460,2025-06-15 00:29:50.703372,0 days 00:00:02.484912,,,,,,,,692.0,0.002,4m,3.0,3.0,1.9000000000000001,832.0,744.0,0.01,1m,3.0,3.0,1.9000000000000001,840.0,,,,,,,,570.0,0.005,2m,2.5,2.0,1.8,734.0,278,0.008,4m,3.5,2.0,0.7,668,,,,,,,,,,,,,,,868.0,0.008,2m,1.5,2.5,1.5,892.0,,,,,,,,0.45,5,COMPLETE
41,41,8.893911716801865,2025-06-15 00:29:50.801891,2025-06-15 00:29:53.291279,0 days 00:00:02.489388,,,,,,,,708.0,0.002,4m,3.0,3.0,1.7000000000000002,816.0,762.0,0.01,1m,3.0,3.0,1.9000000000000001,892.0,,,,,,,,718.0,0.005,2m,2.5,2.0,2.0,560.0,274,0.008,4m,3.5,2.0,0.7,670,,,,,,,,,,,,,,,864.0,0.008,2m,1.5,2.5,1.5,904.0,,,,,,,,0.45,5,COMPLETE
42,42,7.800937319432639,2025-06-15 00:29:53.352787,2025-06-15 00:29:55.805870,0 days 00:00:02.453083,,,,,,,,906.0,0.003,4m,3.0,3.0,1.9000000000000001,950.0,830.0,0.009000000000000001,1m,2.5,3.0,1.8,640.0,,,,,,,,586.0,0.006,2m,2.0,1.5,1.8,726.0,238,0.009000000000000001,4m,4.0,2.5,0.6,558,,,,,,,,,,,,,,,812.0,0.007,2m,1.5,2.0,1.6,828.0,,,,,,,,0.45,5,COMPLETE
43,43,10.373000945935885,2025-06-15 00:29:55.872871,2025-06-15 00:29:57.933155,0 days 00:00:02.060284,,,,,,,,838.0,0.001,4m,2.5,3.5,1.9000000000000001,886.0,,,,,,,,,,,,,,,896.0,0.005,2m,2.5,2.0,1.3,622.0,332,0.008,4m,3.5,1.5,0.7,844,,,,,,,,,,,,,,,880.0,0.009000000000000001,2m,1.5,2.5,1.7000000000000002,710.0,,,,,,,,0.45,4,COMPLETE
44,44,5.696034566992068,2025-06-15 00:29:58.016192,2025-06-15 00:29:59.411025,0 days 00:00:01.394833,,,,,,,,684.0,0.001,2m,2.5,3.5,1.9000000000000001,958.0,,,,,,,,,,,,,,,,,,,,,,326,0.01,4m,3.0,2.0,0.7,434,,,,,,,,,,,,,,,884.0,0.008,2m,1.5,2.5,1.8,942.0,,,,,,,,0.5,3,COMPLETE
45,45,6.047148787767298,2025-06-15 00:29:59.476536,2025-06-15 00:30:01.029342,0 days 00:00:01.552806,,,,,,,,810.0,0.002,1m,3.5,3.0,2.0,892.0,,,,,,,,,,,,,,,,,,,,,,388,0.008,4m,3.5,2.0,0.5,820,,,,,,,,,,,,,,,924.0,0.009000000000000001,2m,2.5,2.5,1.7000000000000002,870.0,,,,,,,,0.45,3,COMPLETE
46,46,5.437872336914587,2025-06-15 00:30:01.102854,2025-06-15 00:30:03.604597,0 days 00:00:02.501743,,,,,,,,762.0,0.001,4m,2.5,3.5,1.8,832.0,704.0,0.009000000000000001,4m,1.0,3.5,1.9000000000000001,860.0,,,,,,,,898.0,0.006,2m,2.5,2.0,1.6,860.0,458,0.009000000000000001,4m,3.5,2.5,0.8,720,,,,,,,,,,,,,,,830.0,0.007,2m,1.5,2.0,1.8,698.0,,,,,,,,0.45,5,COMPLETE
47,47,8.014101863468676,2025-06-15 00:30:03.676597,2025-06-15 00:30:04.728718,0 days 00:00:01.052121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,0.008,4m,3.0,1.5,0.7,636,,,,,,,,,,,,,,,758.0,0.006,2m,1.5,2.5,1.5,1000.0,,,,,,,,0.15000000000000002,2,COMPLETE
48,48,6.987989177804801,2025-06-15 00:30:04.814245,2025-06-15 00:30:06.954637,0 days 00:00:02.140392,,,,,,,,568.0,0.004,4m,2.5,2.5,2.0,56.0,,,,,,,,,,,,,,,594.0,0.005,2m,2.5,1.5,1.3,736.0,208,0.004,4m,3.0,1.5,0.6,596,,,,,,,,,,,,,,,872.0,0.005,2m,2.0,1.5,1.6,590.0,,,,,,,,0.5,4,COMPLETE
49,49,0.8715560186965421,2025-06-15 00:30:07.035150,2025-06-15 00:30:09.324610,0 days 00:00:02.289460,,,,,,,,80.0,0.002,2m,3.0,3.0,1.9000000000000001,290.0,498.0,0.01,3m,3.0,4.0,0.5,912.0,,,,,,,,332.0,0.007,2m,2.0,2.0,1.7000000000000002,632.0,530,0.01,4m,3.5,1.0,0.5,540,,,,,,,,,,,,,,,540.0,0.009000000000000001,2m,2.5,3.0,1.9000000000000001,698.0,,,,,,,,0.45,5,COMPLETE
50,50,-0.9690044515163329,2025-06-15 00:30:09.420147,2025-06-15 00:30:11.357099,0 days 00:00:01.936952,,,,,,,,400.0,0.003,4m,3.5,3.5,1.7000000000000002,156.0,,,,,,,,,,,,,,,90.0,0.008,2m,2.5,2.0,1.5,408.0,372,0.005,4m,3.5,2.5,0.8,834,,,,,,,,,,,,,,,656.0,0.008,2m,2.0,2.5,1.4,946.0,,,,,,,,0.35000000000000003,4,COMPLETE
51,51,11.510176397194494,2025-06-15 00:30:11.447626,2025-06-15 00:30:14.702618,0 days 00:00:03.254992,,,,,,,,860.0,0.001,4m,2.5,3.5,1.7000000000000002,742.0,846.0,0.008,1m,4.0,2.5,1.6,582.0,,,,,,,,904.0,0.005,1m,3.0,2.5,1.2000000000000002,622.0,76,0.007,3m,4.0,1.5,0.9,900,800.0,0.001,4m,1.5,3.5,2.0,840.0,746.0,0.003,1m,3.0,3.5,0.7,586.0,722.0,0.01,2m,1.5,3.0,1.5,778.0,,,,,,,,0.4,7,COMPLETE
52,52,11.388429806901769,2025-06-15 00:30:14.787636,2025-06-15 00:30:20.364779,0 days 00:00:05.577143,,,,,,,,862.0,0.001,4m,2.5,3.5,1.9000000000000001,888.0,868.0,0.009000000000000001,1m,3.5,2.5,1.6,728.0,,,,,,,,916.0,0.005,1m,3.0,1.5,1.2000000000000002,550.0,310,0.006,3m,4.0,1.5,0.8,890,768.0,0.001,4m,1.5,3.5,2.0,844.0,774.0,0.002,1m,3.5,4.0,0.7,176.0,730.0,0.01,2m,1.5,3.0,1.7000000000000002,782.0,,,,,,,,0.4,7,COMPLETE
53,53,7.014055510630963,2025-06-15 00:30:20.481809,2025-06-15 00:30:25.980813,0 days 00:00:05.499004,,,,,,,,854.0,0.002,4m,2.5,3.0,1.9000000000000001,732.0,858.0,0.008,1m,2.5,3.0,1.5,730.0,,,,,,,,942.0,0.006,1m,3.0,1.5,1.2000000000000002,532.0,106,0.008,3m,4.0,1.0,0.8,888,796.0,0.001,4m,1.5,3.5,2.0,838.0,762.0,0.002,1m,3.5,3.5,0.7,82.0,734.0,0.01,2m,1.5,3.0,1.7000000000000002,760.0,,,,,,,,0.4,7,COMPLETE
54,54,2.2973924570516524,2025-06-15 00:30:26.088325,2025-06-15 00:30:30.521716,0 days 00:00:04.433391,68.0,0.004,2m,1.0,1.0,1.1,952.0,834.0,0.001,4m,2.5,3.5,1.8,892.0,750.0,0.009000000000000001,3m,3.0,2.5,1.6,956.0,,,,,,,,1022.0,0.005,1m,3.0,1.0,1.2000000000000002,478.0,60,0.007,3m,4.0,1.5,0.9,974,812.0,0.003,4m,1.5,3.5,1.7000000000000002,832.0,790.0,0.003,1m,3.0,3.5,0.6,194.0,326.0,0.009000000000000001,2m,1.0,3.0,2.0,806.0,260.0,0.004,2m,3.0,3.0,1.6,30.0,0.4,9,COMPLETE
55,55,3.369484940344458,2025-06-15 00:30:30.620236,2025-06-15 00:30:34.429006,0 days 00:00:03.808770,,,,,,,,928.0,0.002,4m,3.0,3.0,2.0,1000.0,884.0,0.008,4m,3.5,3.0,1.6,820.0,,,,,,,,904.0,0.006,1m,3.0,1.5,1.3,610.0,436,0.006,3m,4.0,1.5,1.0,910,728.0,0.001,4m,2.0,3.0,1.9000000000000001,736.0,640.0,0.001,1m,3.5,4.0,0.8,232.0,654.0,0.01,3m,2.0,3.0,1.8,650.0,762.0,0.008,4m,2.0,1.0,0.9,724.0,0.3,8,COMPLETE
56,56,8.450305159483692,2025-06-15 00:30:34.499221,2025-06-15 00:30:38.034865,0 days 00:00:03.535644,,,,,,,,966.0,0.004,3m,2.5,3.5,1.8,906.0,968.0,0.01,1m,4.0,2.5,0.7,1008.0,,,,,,,,844.0,0.004,1m,3.0,2.5,1.4,432.0,234,0.007,3m,4.0,1.5,0.9,824,910.0,0.003,4m,1.0,4.0,1.5,510.0,826.0,0.004,1m,3.0,3.5,0.5,552.0,120.0,0.01,2m,1.5,3.0,1.6,244.0,,,,,,,,0.35000000000000003,7,COMPLETE
57,57,2.4093208994900213,2025-06-15 00:30:38.106873,2025-06-15 00:30:41.824605,0 days 00:00:03.717732,,,,,,,,766.0,0.001,4m,3.0,3.5,0.5,592.0,902.0,0.006,1m,3.0,3.5,1.1,722.0,,,,,,,,968.0,0.005,1m,2.0,2.5,1.2000000000000002,340.0,306,0.001,3m,4.0,1.5,0.6,988,512.0,0.002,4m,1.5,3.5,1.8,904.0,674.0,0.002,1m,3.5,4.0,1.3,422.0,576.0,0.009000000000000001,4m,3.0,3.0,1.7000000000000002,720.0,804.0,0.005,2m,3.0,2.0,1.0,1006.0,0.4,8,COMPLETE
58,58,4.435305679743842,2025-06-15 00:30:41.901612,2025-06-15 00:30:46.085601,0 days 00:00:04.183989,352.0,0.006,1m,1.0,1.0,0.5,648.0,838.0,0.002,1m,3.5,3.0,1.9000000000000001,972.0,806.0,0.009000000000000001,2m,2.0,2.5,2.0,786.0,,,,,,,,854.0,0.006,4m,2.5,1.0,1.3,522.0,612,0.006,3m,4.0,2.0,0.8,894,912.0,0.005,4m,2.5,3.0,1.4,554.0,872.0,0.002,1m,4.0,2.5,1.5,276.0,726.0,0.009000000000000001,2m,1.5,2.5,1.9000000000000001,552.0,260.0,0.008,4m,3.5,4.0,1.7000000000000002,182.0,0.45,9,COMPLETE
59,59,2.809268967891156,2025-06-15 00:30:46.158112,2025-06-15 00:30:49.430672,0 days 00:00:03.272560,,,,,,,,986.0,0.003,4m,2.5,4.0,1.0,800.0,212.0,0.008,1m,3.5,3.0,1.5,662.0,,,,,,,,724.0,0.004,1m,2.5,1.5,1.9000000000000001,180.0,176,0.009000000000000001,3m,2.5,1.0,1.8,1016,578.0,0.002,4m,2.0,4.0,1.7000000000000002,932.0,1022.0,0.003,3m,3.0,3.5,1.2000000000000002,148.0,792.0,0.01,2m,4.0,2.0,0.8,130.0,,,,,,,,0.35000000000000003,7,COMPLETE
60,60,3.7126658778811086,2025-06-15 00:30:49.505084,2025-06-15 00:30:52.574309,0 days 00:00:03.069225,,,,,,,,862.0,0.006,4m,3.0,1.5,1.7000000000000002,734.0,466.0,0.006,3m,3.0,1.0,1.9000000000000001,576.0,,,,,,,,966.0,0.007,1m,1.5,2.5,1.1,694.0,20,0.007,1m,3.5,2.0,1.2000000000000002,742,,,,,,,,730.0,0.004,3m,2.5,4.0,0.8,612.0,470.0,0.009000000000000001,2m,1.0,2.5,1.4,904.0,,,,,,,,0.2,6,COMPLETE
61,61,8.137379364200413,2025-06-15 00:30:52.666838,2025-06-15 00:30:55.074344,0 days 00:00:02.407506,,,,,,,,612.0,0.001,4m,2.0,3.5,1.7000000000000002,872.0,862.0,0.009000000000000001,1m,3.5,2.5,1.8,588.0,,,,,,,,906.0,0.005,4m,2.5,2.0,1.5,566.0,328,0.006,4m,3.5,1.5,0.7,694,,,,,,,,,,,,,,,990.0,0.008,2m,1.5,2.5,1.5,836.0,,,,,,,,0.45,5,COMPLETE
62,62,8.690608710372778,2025-06-15 00:30:55.166681,2025-06-15 00:30:58.298888,0 days 00:00:03.132207,,,,,,,,520.0,0.001,4m,2.5,3.5,1.6,816.0,834.0,0.01,1m,4.0,2.5,1.8,608.0,,,,,,,,472.0,0.005,2m,3.0,2.0,1.4,640.0,468,0.006,3m,3.5,2.0,0.8,846,,,,,,,,912.0,0.005,1m,3.5,4.0,1.1,308.0,844.0,0.01,2m,1.5,3.0,1.5,784.0,,,,,,,,0.4,6,COMPLETE
63,63,2.8578755373741314,2025-06-15 00:30:58.372293,2025-06-15 00:31:00.236724,0 days 00:00:01.864431,,,,,,,,784.0,0.002,4m,1.5,2.5,1.5,934.0,,,,,,,,,,,,,,,622.0,0.005,1m,2.5,2.0,1.5,834.0,392,0.005,4m,4.0,1.5,0.6,658,,,,,,,,,,,,,,,944.0,0.007,2m,3.5,2.5,1.6,854.0,,,,,,,,0.45,4,COMPLETE
64,64,6.043587471980179,2025-06-15 00:31:00.308727,2025-06-15 00:31:02.938440,0 days 00:00:02.629713,,,,,,,,688.0,0.001,4m,2.0,3.5,1.8,850.0,688.0,0.009000000000000001,1m,3.5,2.5,1.9000000000000001,680.0,,,,,,,,232.0,0.006,2m,2.5,2.5,1.7000000000000002,768.0,246,0.008,3m,3.0,1.0,0.7,810,,,,,,,,,,,,,,,800.0,0.01,4m,2.0,2.0,1.3,738.0,,,,,,,,0.5,5,COMPLETE
65,65,9.121410257411794,2025-06-15 00:31:03.008961,2025-06-15 00:31:06.659572,0 days 00:00:03.650611,,,,,,,,734.0,0.002,3m,2.5,3.5,2.0,776.0,762.0,0.007,2m,4.0,2.0,1.7000000000000002,766.0,,,,,,,,568.0,0.004,1m,3.0,1.5,1.2000000000000002,602.0,500,0.007,4m,3.5,2.5,0.9,864,720.0,0.004,4m,1.0,2.0,2.0,742.0,484.0,0.001,1m,2.5,3.0,0.6,442.0,896.0,0.009000000000000001,2m,1.5,2.5,1.5,626.0,,,,,,,,0.4,7,COMPLETE
66,66,6.707434606074534,2025-06-15 00:31:06.739082,2025-06-15 00:31:09.579229,0 days 00:00:02.840147,,,,,,,,92.0,0.001,4m,2.0,4.0,1.3,640.0,408.0,0.008,1m,3.0,3.0,2.0,832.0,,,,,,,,500.0,0.005,4m,2.0,2.0,1.8,948.0,174,0.004,1m,3.0,2.0,1.0,958,,,,,,,,598.0,0.003,3m,3.0,3.5,0.8,532.0,846.0,0.005,3m,1.0,3.0,1.4,194.0,,,,,,,,0.4,6,COMPLETE
67,67,12.285143312765623,2025-06-15 00:31:09.672743,2025-06-15 00:31:11.692259,0 days 00:00:02.019516,,,,,,,,504.0,0.005,4m,1.5,3.0,1.9000000000000001,736.0,,,,,,,,,,,,,,,726.0,0.003,3m,3.0,2.0,1.3,682.0,414,0.006,3m,4.0,2.5,1.1,146,,,,,,,,,,,,,,,694.0,0.006,2m,1.5,3.5,1.7000000000000002,782.0,,,,,,,,0.45,4,COMPLETE
68,68,5.350755319988447,2025-06-15 00:31:11.744770,2025-06-15 00:31:13.828231,0 days 00:00:02.083461,,,,,,,,928.0,0.005,4m,1.5,3.0,1.9000000000000001,550.0,,,,,,,,,,,,,,,736.0,0.003,2m,3.0,2.5,1.1,668.0,414,0.007,3m,4.0,2.0,1.1,96,,,,,,,,,,,,,,,688.0,0.004,2m,2.0,3.5,1.7000000000000002,780.0,,,,,,,,0.4,4,COMPLETE
69,69,7.613244421548223,2025-06-15 00:31:13.914240,2025-06-15 00:31:15.462811,0 days 00:00:01.548571,,,,,,,,314.0,0.007,2m,1.0,3.0,1.9000000000000001,734.0,,,,,,,,,,,,,,,,,,,,,,714,0.005,3m,4.0,3.0,1.2000000000000002,764,,,,,,,,,,,,,,,720.0,0.002,2m,1.5,4.0,1.6,722.0,,,,,,,,0.5,3,COMPLETE
70,70,3.9565959884527735,2025-06-15 00:31:15.530839,2025-06-15 00:31:16.653176,0 days 00:00:01.122337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,0.006,3m,4.0,1.5,1.1,152,,,,,,,,,,,,,,,634.0,0.008,2m,1.0,3.5,1.8,920.0,,,,,,,,0.35000000000000003,2,COMPLETE
71,71,11.314848609777233,2025-06-15 00:31:16.723179,2025-06-15 00:31:18.820253,0 days 00:00:02.097074,,,,,,,,498.0,0.005,4m,1.5,3.5,1.8,922.0,,,,,,,,,,,,,,,814.0,0.01,3m,3.0,2.0,1.3,698.0,356,0.006,3m,4.0,2.5,1.0,244,,,,,,,,,,,,,,,780.0,0.006,2m,1.5,3.5,1.5,822.0,,,,,,,,0.45,4,COMPLETE
72,72,13.897793092248426,2025-06-15 00:31:18.878766,2025-06-15 00:31:20.898227,0 days 00:00:02.019461,,,,,,,,478.0,0.005,4m,1.5,2.5,1.8,914.0,,,,,,,,,,,,,,,816.0,0.009000000000000001,3m,3.0,2.0,1.3,742.0,568,0.007,3m,4.0,2.5,1.0,306,,,,,,,,,,,,,,,744.0,0.006,2m,1.5,3.5,1.6,820.0,,,,,,,,0.45,4,COMPLETE
73,73,13.867263849362834,2025-06-15 00:31:20.984791,2025-06-15 00:31:23.157800,0 days 00:00:02.173009,,,,,,,,490.0,0.005,4m,1.5,2.0,1.8,1020.0,,,,,,,,,,,,,,,816.0,0.01,3m,3.0,2.0,1.3,748.0,420,0.007,3m,4.0,2.5,1.0,276,,,,,,,,,,,,,,,742.0,0.006,2m,1.5,3.5,1.7000000000000002,812.0,,,,,,,,0.45,4,COMPLETE
74,74,15.508291056777466,2025-06-15 00:31:23.231309,2025-06-15 00:31:24.755671,0 days 00:00:01.524362,,,,,,,,400.0,0.005,4m,1.5,2.0,1.8,1012.0,,,,,,,,,,,,,,,,,,,,,,548,0.007,3m,4.0,2.5,1.0,274,,,,,,,,,,,,,,,690.0,0.006,2m,1.5,3.5,1.7000000000000002,802.0,,,,,,,,0.45,3,COMPLETE
75,75,12.560642308039075,2025-06-15 00:31:24.828191,2025-06-15 00:31:26.610087,0 days 00:00:01.781896,,,,,,,,390.0,0.005,4m,1.5,2.0,1.8,1022.0,,,,,,,,,,,,,,,,,,,,,,560,0.007,3m,4.0,2.5,1.0,276,,,,,,,,,,,,,,,678.0,0.006,2m,1.5,3.5,1.9000000000000001,812.0,,,,,,,,0.5,3,COMPLETE
76,76,9.78895736195726,2025-06-15 00:31:26.690280,2025-06-15 00:31:28.101057,0 days 00:00:01.410777,,,,,,,,482.0,0.005,4m,1.5,2.0,1.8,1004.0,,,,,,,,,,,,,,,,,,,,,,574,0.007,3m,4.0,2.5,1.0,294,,,,,,,,,,,,,,,682.0,0.006,2m,1.0,3.5,1.9000000000000001,816.0,,,,,,,,0.5,3,COMPLETE
77,77,3.712556365490541,2025-06-15 00:31:28.160580,2025-06-15 00:31:29.359834,0 days 00:00:01.199254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508,0.007,3m,4.0,2.5,1.0,230,,,,,,,,,,,,,,,580.0,0.005,2m,2.0,4.0,2.0,792.0,,,,,,,,0.5,2,COMPLETE
78,78,10.658404506002482,2025-06-15 00:31:29.424842,2025-06-15 00:31:31.161203,0 days 00:00:01.736361,,,,,,,,366.0,0.006,4m,1.5,2.0,1.8,1020.0,,,,,,,,,,,,,,,,,,,,,,468,0.007,3m,4.0,3.0,0.9,372,,,,,,,,,,,,,,,644.0,0.006,2m,1.5,3.5,1.8,672.0,,,,,,,,0.5,3,COMPLETE
79,79,5.7901393730922495,2025-06-15 00:31:31.222209,2025-06-15 00:31:32.635530,0 days 00:00:01.413321,,,,,,,,388.0,0.005,3m,1.5,1.5,1.8,928.0,,,,,,,,,,,,,,,,,,,,,,568,0.006,3m,4.0,2.5,1.0,242,,,,,,,,,,,,,,,740.0,0.007,2m,2.5,3.5,1.6,762.0,,,,,,,,0.45,3,COMPLETE
80,80,13.990705909846268,2025-06-15 00:31:32.697528,2025-06-15 00:31:34.407906,0 days 00:00:01.710378,,,,,,,,500.0,0.006,4m,1.5,2.0,2.0,986.0,,,,,,,,,,,,,,,,,,,,,,640,0.007,3m,4.0,2.5,1.1,162,,,,,,,,,,,,,,,702.0,0.006,2m,1.5,4.0,1.8,980.0,,,,,,,,0.5,3,COMPLETE
81,81,14.360304433357701,2025-06-15 00:31:34.476428,2025-06-15 00:31:36.173315,0 days 00:00:01.696887,,,,,,,,490.0,0.006,4m,1.5,2.0,2.0,972.0,,,,,,,,,,,,,,,,,,,,,,636,0.007,3m,4.0,2.5,1.1,174,,,,,,,,,,,,,,,704.0,0.006,2m,1.5,4.0,1.8,1004.0,,,,,,,,0.5,3,COMPLETE
82,82,6.119985682268975,2025-06-15 00:31:36.216317,2025-06-15 00:31:37.215528,0 days 00:00:00.999211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660,0.007,3m,4.0,2.5,1.1,170,,,,,,,,,,,,,,,604.0,0.005,2m,1.5,4.0,1.8,978.0,,,,,,,,0.5,2,COMPLETE
83,83,13.134957262399555,2025-06-15 00:31:37.295046,2025-06-15 00:31:38.870875,0 days 00:00:01.575829,,,,,,,,552.0,0.006,4m,1.5,2.0,2.0,978.0,,,,,,,,,,,,,,,,,,,,,,614,0.007,3m,4.0,3.0,0.9,334,,,,,,,,,,,,,,,676.0,0.006,2m,1.5,4.0,1.9000000000000001,972.0,,,,,,,,0.5,3,COMPLETE
84,84,10.284823081299528,2025-06-15 00:31:38.938387,2025-06-15 00:31:40.505711,0 days 00:00:01.567324,,,,,,,,552.0,0.006,4m,1.5,2.0,2.0,980.0,,,,,,,,,,,,,,,,,,,,,,628,0.007,3m,4.0,3.0,0.9,18,,,,,,,,,,,,,,,706.0,0.006,2m,2.0,4.0,1.9000000000000001,1012.0,,,,,,,,0.5,3,COMPLETE
85,85,7.795363092097719,2025-06-15 00:31:40.573236,2025-06-15 00:31:41.604419,0 days 00:00:01.031183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,0.007,3m,4.0,2.5,1.1,332,,,,,,,,,,,,,,,672.0,0.006,2m,1.0,4.0,1.9000000000000001,978.0,,,,,,,,0.5,2,COMPLETE
86,86,-100.0,2025-06-15 00:31:41.669927,2025-06-15 00:31:42.320118,0 days 00:00:00.650191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588,0.008,3m,4.0,3.0,1.0,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
