,number,value,datetime_start,datetime_complete,duration,params_AEP_FB_beta_win,params_AEP_FB_stop_loss,params_AEP_FB_trade_freq,params_AEP_FB_z_entry,params_AEP_FB_z_exit,params_AEP_FB_z_stop_scaler,params_AEP_FB_z_win,params_ALXN_BIIB_beta_win,params_ALXN_BIIB_stop_loss,params_ALXN_BIIB_trade_freq,params_ALXN_BIIB_z_entry,params_ALXN_BIIB_z_exit,params_ALXN_BIIB_z_stop_scaler,params_ALXN_BIIB_z_win,params_ANSS_DOCU_beta_win,params_ANSS_DOCU_stop_loss,params_ANSS_DOCU_trade_freq,params_ANSS_DOCU_z_entry,params_ANSS_DOCU_z_exit,params_ANSS_DOCU_z_stop_scaler,params_ANSS_DOCU_z_win,params_ASML_AVGO_beta_win,params_ASML_AVGO_stop_loss,params_ASML_AVGO_trade_freq,params_ASML_AVGO_z_entry,params_ASML_AVGO_z_exit,params_ASML_AVGO_z_stop_scaler,params_ASML_AVGO_z_win,params_BKNG_ZM_beta_win,params_BKNG_ZM_stop_loss,params_BKNG_ZM_trade_freq,params_BKNG_ZM_z_entry,params_BKNG_ZM_z_exit,params_BKNG_ZM_z_stop_scaler,params_BKNG_ZM_z_win,params_CTSH_FAST_beta_win,params_CTSH_FAST_stop_loss,params_CTSH_FAST_trade_freq,params_CTSH_FAST_z_entry,params_CTSH_FAST_z_exit,params_CTSH_FAST_z_stop_scaler,params_CTSH_FAST_z_win,params_FAST_TMUS_beta_win,params_FAST_TMUS_stop_loss,params_FAST_TMUS_trade_freq,params_FAST_TMUS_z_entry,params_FAST_TMUS_z_exit,params_FAST_TMUS_z_stop_scaler,params_FAST_TMUS_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_MSFT_PCAR_beta_win,params_MSFT_PCAR_stop_loss,params_MSFT_PCAR_trade_freq,params_MSFT_PCAR_z_entry,params_MSFT_PCAR_z_exit,params_MSFT_PCAR_z_stop_scaler,params_MSFT_PCAR_z_win,params_REGN_ZM_beta_win,params_REGN_ZM_stop_loss,params_REGN_ZM_trade_freq,params_REGN_ZM_z_entry,params_REGN_ZM_z_exit,params_REGN_ZM_z_stop_scaler,params_REGN_ZM_z_win,params_SBUX_ZM_beta_win,params_SBUX_ZM_stop_loss,params_SBUX_ZM_trade_freq,params_SBUX_ZM_z_entry,params_SBUX_ZM_z_exit,params_SBUX_ZM_z_stop_scaler,params_SBUX_ZM_z_win,params_buffer_capital,params_pairs_to_trade,state
30,30,1.1107918564858177,2025-06-15 00:11:32.286409,2025-06-15 00:11:36.936224,0 days 00:00:04.649815,,,,,,,,32,0.009000000000000001,4m,3.5,2.5,1.2000000000000002,778,266,0.004,1m,1.5,1.0,1.4,330,936.0,0.002,2m,1.0,3.0,0.8,584.0,120.0,0.004,2m,1.0,3.5,0.5,888.0,232.0,0.007,3m,3.0,3.5,1.7000000000000002,680.0,,,,,,,,438.0,0.003,4m,1.5,2.0,1.1,160.0,426.0,0.009000000000000001,2m,3.5,3.0,1.8,134.0,790.0,0.005,2m,3.0,2.5,1.0,420.0,,,,,,,,0.05,7,COMPLETE
31,31,-1.6304757966765058,2025-06-15 00:11:37.003000,2025-06-15 00:11:42.336219,0 days 00:00:05.333219,,,,,,,,734,0.004,4m,3.5,1.0,2.0,170,94,0.001,4m,2.5,3.0,1.4,490,768.0,0.003,2m,1.5,3.5,0.6,752.0,340.0,0.007,2m,2.0,3.0,0.7,508.0,102.0,0.005,3m,3.5,2.5,1.4,294.0,670.0,0.007,3m,1.5,3.0,0.8,776.0,320.0,0.005,3m,3.5,3.0,0.6,330.0,174.0,0.008,4m,2.0,2.0,1.5,626.0,474.0,0.002,1m,1.0,1.5,1.2000000000000002,918.0,,,,,,,,0.25,8,COMPLETE
32,32,1.0423733094554146,2025-06-15 00:11:42.428883,2025-06-15 00:11:47.241098,0 days 00:00:04.812215,,,,,,,,850,0.006,4m,3.5,1.0,1.8,90,300,0.001,4m,2.0,3.0,1.5,638,574.0,0.007,2m,3.0,2.5,1.0,362.0,106.0,0.002,3m,1.5,3.5,2.0,772.0,334.0,0.008,1m,2.5,4.0,0.7,940.0,,,,,,,,664.0,0.006,1m,2.0,3.5,0.9,260.0,50.0,0.003,1m,3.5,1.5,2.0,342.0,726.0,0.001,1m,2.0,2.5,1.8,796.0,,,,,,,,0.3,7,COMPLETE
33,33,0.24456343100552339,2025-06-15 00:11:47.339010,2025-06-15 00:11:51.137105,0 days 00:00:03.798095,,,,,,,,700,0.007,4m,3.0,1.5,2.0,408,642,0.002,4m,2.5,1.5,1.7000000000000002,516,838.0,0.004,3m,1.0,4.0,0.6,862.0,,,,,,,,442.0,0.003,4m,2.0,3.0,1.1,752.0,,,,,,,,534.0,0.003,3m,3.0,3.0,1.3,412.0,,,,,,,,598.0,0.003,1m,1.5,2.5,0.5,650.0,,,,,,,,0.2,5,COMPLETE
34,34,1.8878407111534314,2025-06-15 00:11:51.206598,2025-06-15 00:11:55.442566,0 days 00:00:04.235968,,,,,,,,596,0.006,4m,2.5,1.0,1.9000000000000001,16,166,0.003,4m,2.5,2.0,1.5,476,716.0,0.002,4m,1.5,1.5,0.8,638.0,696.0,0.002,1m,3.5,2.0,0.9,604.0,762.0,0.006,3m,1.5,3.5,1.3,956.0,,,,,,,,236.0,0.007,2m,1.0,4.0,1.2000000000000002,70.0,,,,,,,,354.0,0.005,1m,1.0,2.0,0.9,1006.0,,,,,,,,0.15000000000000002,6,COMPLETE
35,35,0.19937721012302495,2025-06-15 00:11:55.526150,2025-06-15 00:11:58.775352,0 days 00:00:03.249202,,,,,,,,844,0.004,1m,4.0,2.0,1.8,232,540,0.001,2m,2.0,1.0,1.8,260,418.0,0.006,1m,2.0,2.5,0.6,528.0,,,,,,,,,,,,,,,,,,,,,,704.0,0.008,1m,2.5,2.5,1.4,168.0,,,,,,,,948.0,0.002,3m,3.5,3.0,1.4,926.0,,,,,,,,0.25,4,COMPLETE
36,36,-3.3733479828330957,2025-06-15 00:11:58.854740,2025-06-15 00:12:04.580415,0 days 00:00:05.725675,448.0,0.006,3m,3.0,2.5,1.4,452.0,952,0.01,4m,3.5,1.5,1.9000000000000001,574,778,0.002,4m,3.0,1.5,0.8,804,962.0,0.003,1m,3.0,3.5,1.3,938.0,118.0,0.004,4m,1.0,2.5,0.6,942.0,88.0,0.004,3m,3.0,4.0,1.5,46.0,218.0,0.004,4m,3.0,3.0,0.8,386.0,394.0,0.002,2m,3.0,3.0,0.5,484.0,642.0,0.009000000000000001,1m,3.0,1.0,1.1,120.0,780.0,0.001,4m,1.5,1.0,0.7,822.0,,,,,,,,0.15000000000000002,9,COMPLETE
37,37,-1.5350771290630665,2025-06-15 00:12:04.671707,2025-06-15 00:12:11.075746,0 days 00:00:06.404039,712.0,0.001,1m,1.0,3.0,0.5,622.0,892,0.009000000000000001,4m,2.5,1.0,1.5,460,82,0.007,2m,3.0,1.0,1.0,656,270.0,0.005,2m,1.0,4.0,1.2000000000000002,776.0,268.0,0.007,2m,3.0,1.5,1.2000000000000002,826.0,188.0,0.005,3m,2.5,3.5,1.1,832.0,664.0,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,790.0,562.0,0.001,4m,1.5,3.5,2.0,268.0,244.0,0.01,1m,4.0,2.5,1.8,856.0,602.0,0.004,2m,2.0,4.0,1.6,692.0,56.0,0.001,2m,1.0,3.5,2.0,1008.0,0.4,10,COMPLETE
38,38,-3.4831686648848446,2025-06-15 00:12:11.177466,2025-06-15 00:12:16.505708,0 days 00:00:05.328242,,,,,,,,714,0.005,2m,3.0,1.5,1.4,954,454,0.003,4m,2.0,2.0,1.6,554,646.0,0.002,1m,2.5,3.0,0.9,680.0,458.0,0.001,2m,1.5,3.0,0.6,372.0,32.0,0.008,3m,3.5,2.0,1.7000000000000002,440.0,202.0,0.007,3m,3.0,3.5,1.4,448.0,450.0,0.004,4m,2.0,2.5,1.0,574.0,122.0,0.006,2m,3.5,1.5,0.8,324.0,194.0,0.009000000000000001,3m,1.0,1.5,1.0,1024.0,,,,,,,,0.2,8,COMPLETE
39,39,-5.045549525015524,2025-06-15 00:12:16.581232,2025-06-15 00:12:19.107374,0 days 00:00:02.526142,,,,,,,,798,0.008,3m,3.5,2.0,1.6,376,214,0.005,4m,2.5,3.0,1.2000000000000002,308,882.0,0.001,2m,3.0,3.5,1.6,472.0,,,,,,,,,,,,,,,,,,,,,,340.0,0.006,3m,3.5,3.5,1.1,370.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
40,40,2.687893287867639,2025-06-15 00:12:19.202153,2025-06-15 00:12:23.597644,0 days 00:00:04.395491,,,,,,,,264,0.003,1m,4.0,1.5,1.9000000000000001,868,306,0.001,2m,3.5,1.5,0.8,362,536.0,0.007,3m,1.0,1.5,1.1,692.0,104.0,0.004,2m,2.0,2.5,0.8,690.0,290.0,0.002,1m,1.5,3.0,1.0,664.0,,,,,,,,846.0,0.008,1m,2.5,1.5,1.8,226.0,,,,,,,,642.0,0.003,1m,1.5,2.0,1.2000000000000002,44.0,,,,,,,,0.5,6,COMPLETE
41,41,-3.6155869971319192,2025-06-15 00:12:23.689085,2025-06-15 00:12:25.569308,0 days 00:00:01.880223,,,,,,,,906,0.007,4m,2.0,3.0,1.8,112,918,0.009000000000000001,4m,3.0,4.0,1.6,674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598.0,0.009000000000000001,2m,3.0,2.0,1.0,552.0,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
42,42,3.1542850183164886,2025-06-15 00:12:25.666857,2025-06-15 00:12:26.978734,0 days 00:00:01.311877,,,,,,,,1016,0.01,4m,2.5,3.5,2.0,206,958,0.006,4m,3.0,3.5,1.9000000000000001,824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
43,43,0.48309601642921896,2025-06-15 00:12:27.060165,2025-06-15 00:12:29.035623,0 days 00:00:01.975458,,,,,,,,766,0.009000000000000001,4m,1.5,3.5,1.9000000000000001,326,790,0.007,4m,4.0,4.0,1.3,562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.0,0.005,2m,3.0,2.5,0.8,634.0,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
44,44,0.048965278328411,2025-06-15 00:12:29.120091,2025-06-15 00:12:32.657074,0 days 00:00:03.536983,,,,,,,,962,0.008,2m,3.0,4.0,1.7000000000000002,512,702,0.009000000000000001,3m,3.5,3.5,1.7000000000000002,472,326.0,0.008,1m,1.5,3.0,0.5,598.0,,,,,,,,206.0,0.006,4m,2.5,4.0,1.3,192.0,,,,,,,,574.0,0.007,2m,2.5,2.5,0.9,496.0,,,,,,,,830.0,0.002,3m,3.0,3.5,0.8,448.0,,,,,,,,0.3,5,COMPLETE
45,45,3.8216121009638813,2025-06-15 00:12:32.741169,2025-06-15 00:12:34.198779,0 days 00:00:01.457610,,,,,,,,624,0.001,3m,2.5,1.0,2.0,260,1006,0.002,4m,2.5,4.0,1.6,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
46,46,-0.4459426929022832,2025-06-15 00:12:34.261701,2025-06-15 00:12:36.796978,0 days 00:00:02.535277,,,,,,,,832,0.005,4m,2.0,2.5,1.6,440,586,0.008,4m,2.5,3.5,1.5,616,982.0,0.004,2m,2.0,4.0,2.0,348.0,,,,,,,,,,,,,,,,,,,,,,500.0,0.004,2m,2.0,3.0,0.7,828.0,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
47,47,0.8148651604799403,2025-06-15 00:12:36.870857,2025-06-15 00:12:41.714052,0 days 00:00:04.843195,,,,,,,,400,0.006,4m,3.0,4.0,1.0,146,916,0.01,1m,3.0,2.5,0.7,124,788.0,0.001,4m,1.5,2.5,1.7000000000000002,1016.0,24.0,0.002,2m,1.0,3.5,1.5,948.0,390.0,0.007,2m,3.0,4.0,1.5,958.0,,,,,,,,748.0,0.009000000000000001,2m,3.5,4.0,1.0,442.0,364.0,0.009000000000000001,3m,2.5,4.0,1.5,118.0,384.0,0.005,1m,2.5,2.5,1.4,172.0,,,,,,,,0.45,7,COMPLETE
48,48,4.726195453444517,2025-06-15 00:12:41.802698,2025-06-15 00:12:44.214185,0 days 00:00:02.411487,,,,,,,,508,0.01,4m,3.5,2.0,0.5,122,1024,0.004,4m,2.0,4.0,0.5,274,592.0,0.006,3m,2.5,2.0,0.9,220.0,,,,,,,,,,,,,,,,,,,,,,664.0,0.005,4m,2.5,1.5,0.6,638.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
49,49,6.57187410671603,2025-06-15 00:12:44.315211,2025-06-15 00:12:47.551425,0 days 00:00:03.236214,,,,,,,,692,0.007,4m,3.0,3.5,1.3,18,836,0.003,2m,1.5,1.0,1.4,916,142.0,0.004,2m,4.0,3.5,0.8,50.0,,,,,,,,,,,,,,,,,,,,,,134.0,0.006,2m,1.5,3.0,0.8,714.0,,,,,,,,536.0,0.001,1m,2.0,3.0,1.1,610.0,,,,,,,,0.4,4,COMPLETE
50,50,1.9228304204692748,2025-06-15 00:12:47.623741,2025-06-15 00:12:50.781819,0 days 00:00:03.158078,,,,,,,,678,0.003,4m,3.5,3.0,1.3,50,832,0.003,2m,1.0,1.0,1.4,1020,134.0,0.004,2m,4.0,3.5,0.6,66.0,,,,,,,,,,,,,,,,,,,,,,56.0,0.006,2m,1.5,3.0,0.8,760.0,,,,,,,,534.0,0.001,1m,2.0,3.0,1.1,330.0,,,,,,,,0.25,4,COMPLETE
51,51,5.106960143660547,2025-06-15 00:12:50.874474,2025-06-15 00:12:52.942625,0 days 00:00:02.068151,,,,,,,,750,0.007,4m,3.0,4.0,1.2000000000000002,302,934,0.001,2m,1.5,1.0,1.3,726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.0,0.005,2m,1.0,3.0,0.9,698.0,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
52,52,-1.5573837658248548,2025-06-15 00:12:53.037345,2025-06-15 00:12:54.279547,0 days 00:00:01.242202,,,,,,,,582,0.008,4m,3.0,3.5,1.4,210,56,0.002,2m,1.5,1.0,1.5,914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
53,53,3.385946955075571,2025-06-15 00:12:54.354563,2025-06-15 00:13:00.046320,0 days 00:00:05.691757,,,,,,,,698,0.005,4m,2.5,3.5,1.5,20,124,0.003,2m,1.0,1.5,1.4,888,212.0,0.003,2m,3.5,4.0,0.8,284.0,948.0,0.01,1m,1.5,1.5,1.1,408.0,98.0,0.009000000000000001,3m,2.0,3.5,2.0,864.0,856.0,0.003,1m,1.5,3.5,1.0,870.0,134.0,0.01,2m,1.5,2.5,0.7,1002.0,212.0,0.007,4m,3.0,1.0,1.8,102.0,414.0,0.002,1m,2.5,3.5,1.3,940.0,,,,,,,,0.4,8,COMPLETE
54,54,6.5220734726441245,2025-06-15 00:13:00.121248,2025-06-15 00:13:03.421557,0 days 00:00:03.300309,,,,,,,,790,0.006,4m,3.5,3.5,1.1,76,822,0.002,1m,1.5,1.0,1.1,772,354.0,0.005,2m,4.0,3.5,0.7,814.0,,,,,,,,,,,,,,,,,,,,,,238.0,0.008,2m,2.0,3.0,0.8,60.0,,,,,,,,32.0,0.007,2m,1.5,2.5,1.0,790.0,,,,,,,,0.2,4,COMPLETE
55,55,2.383370206779614,2025-06-15 00:13:03.503455,2025-06-15 00:13:06.426354,0 days 00:00:02.922899,,,,,,,,786,0.006,4m,3.5,3.5,1.1,82,732,0.002,1m,1.5,1.0,1.1,802,152.0,0.005,2m,4.0,3.5,0.7,950.0,,,,,,,,,,,,,,,,,,,,,,234.0,0.006,2m,2.0,3.5,0.6,70.0,,,,,,,,152.0,0.007,2m,1.5,2.5,1.0,786.0,,,,,,,,0.2,4,COMPLETE
56,56,3.1818856583102972,2025-06-15 00:13:06.510003,2025-06-15 00:13:10.274509,0 days 00:00:03.764506,,,,,,,,648,0.006,4m,4.0,1.5,0.8,124,882,0.003,1m,1.0,1.0,1.2000000000000002,848,344.0,0.004,2m,3.5,4.0,0.5,802.0,,,,,,,,546.0,0.005,2m,4.0,2.5,1.7000000000000002,782.0,,,,,,,,276.0,0.008,1m,1.5,3.0,0.8,940.0,,,,,,,,294.0,0.007,2m,2.0,3.0,0.8,604.0,,,,,,,,0.2,5,COMPLETE
57,57,1.0372523724526561,2025-06-15 00:13:10.357988,2025-06-15 00:13:13.475179,0 days 00:00:03.117191,,,,,,,,538,0.009000000000000001,1m,3.5,2.0,1.0,54,606,0.001,1m,1.5,1.5,1.0,966,260.0,0.005,2m,4.0,4.0,0.6,870.0,,,,,,,,,,,,,,,,,,,,,,190.0,0.009000000000000001,2m,2.0,3.0,0.7,128.0,,,,,,,,672.0,0.01,2m,1.0,2.5,1.1,498.0,,,,,,,,0.15000000000000002,4,COMPLETE
58,58,1.3569519162261607,2025-06-15 00:13:13.557203,2025-06-15 00:13:18.201630,0 days 00:00:04.644427,,,,,,,,726,0.007,2m,3.5,2.5,0.9,966,972,0.002,1m,2.0,1.0,1.3,768,162.0,0.004,2m,4.0,3.5,0.8,722.0,294.0,0.006,3m,2.0,3.0,0.6,28.0,270.0,0.004,3m,1.0,4.0,0.9,616.0,,,,,,,,334.0,0.007,1m,2.0,3.5,0.5,50.0,,,,,,,,32.0,0.007,2m,1.5,3.0,0.9,962.0,,,,,,,,0.3,6,COMPLETE
59,59,3.9277283928271873,2025-06-15 00:13:18.287174,2025-06-15 00:13:23.439159,0 days 00:00:05.151985,,,,,,,,870,0.01,3m,4.0,3.0,1.3,164,68,0.002,1m,1.5,1.5,1.1,356,54.0,0.003,2m,3.5,4.0,0.7,24.0,194.0,0.002,4m,3.0,2.0,0.9,822.0,996.0,0.002,2m,2.5,2.0,1.8,508.0,,,,,,,,78.0,0.005,2m,2.5,3.5,0.9,18.0,996.0,0.01,1m,4.0,2.5,1.6,318.0,742.0,0.008,1m,1.0,2.5,1.2000000000000002,726.0,,,,,,,,0.25,7,COMPLETE
60,60,3.172215655668844,2025-06-15 00:13:23.554209,2025-06-15 00:13:29.121724,0 days 00:00:05.567515,,,,,,,,610,0.009000000000000001,4m,3.0,1.5,1.2000000000000002,700,824,0.001,3m,1.0,1.0,0.9,518,102.0,0.004,2m,3.5,3.0,1.0,800.0,560.0,0.009000000000000001,3m,1.0,1.0,0.7,574.0,840.0,0.001,1m,3.5,1.0,0.6,970.0,350.0,0.001,2m,3.5,2.5,1.7000000000000002,644.0,384.0,0.004,1m,1.5,3.0,1.1,182.0,112.0,0.008,1m,2.5,1.5,1.3,532.0,532.0,0.001,4m,2.5,3.5,1.0,882.0,,,,,,,,0.15000000000000002,8,COMPLETE
61,61,2.8220141778543764,2025-06-15 00:13:29.223853,2025-06-15 00:13:31.289548,0 days 00:00:02.065695,,,,,,,,824,0.007,4m,3.0,3.5,1.4,1006,888,0.002,4m,2.0,1.0,1.6,676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458.0,0.009000000000000001,2m,3.0,2.5,1.0,108.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
62,62,3.192159608306151,2025-06-15 00:13:31.394101,2025-06-15 00:13:32.742255,0 days 00:00:01.348154,,,,,,,,672,0.004,4m,3.5,3.5,1.3,616,826,0.004,1m,2.0,1.0,0.8,932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
63,63,-1.6461799298564028,2025-06-15 00:13:32.810771,2025-06-15 00:13:35.378175,0 days 00:00:02.567404,,,,,,,,778,0.006,4m,2.5,3.0,1.1,104,132,0.003,4m,1.5,3.5,1.0,870,20.0,0.005,2m,1.0,3.5,0.5,656.0,,,,,,,,,,,,,,,,,,,,,,272.0,0.01,2m,2.5,3.0,0.8,796.0,,,,,,,,,,,,,,,,,,,,,,0.25,3,COMPLETE
64,64,2.6432614097597225,2025-06-15 00:13:35.490140,2025-06-15 00:13:40.482088,0 days 00:00:04.991948,,,,,,,,198,0.008,4m,3.5,4.0,1.6,44,18,0.001,2m,1.0,2.5,1.5,752,712.0,0.002,2m,4.0,4.0,0.7,138.0,444.0,0.003,2m,2.5,2.5,0.6,670.0,730.0,0.003,3m,3.0,3.0,1.2000000000000002,890.0,,,,,,,,134.0,0.008,2m,2.0,2.5,0.9,136.0,294.0,0.006,1m,3.5,2.0,1.9000000000000001,806.0,54.0,0.001,2m,1.5,2.0,1.1,956.0,,,,,,,,0.2,7,COMPLETE
65,65,1.9167127893026417,2025-06-15 00:13:40.573441,2025-06-15 00:13:45.280877,0 days 00:00:04.707436,,,,,,,,932,0.005,4m,3.0,3.5,0.6,254,946,0.007,4m,2.5,1.5,1.7000000000000002,1020,402.0,0.006,4m,1.0,3.5,0.5,906.0,654.0,0.001,1m,2.0,4.0,1.6,228.0,288.0,0.007,2m,2.5,1.5,1.4,618.0,,,,,,,,212.0,0.006,2m,2.5,2.0,0.7,58.0,,,,,,,,306.0,0.003,1m,1.0,3.0,0.9,826.0,,,,,,,,0.3,6,COMPLETE
66,66,6.77321538847473,2025-06-15 00:13:45.374751,2025-06-15 00:13:51.907166,0 days 00:00:06.532415,272.0,0.008,4m,2.5,1.5,1.6,326.0,876,0.01,4m,2.0,1.0,1.9000000000000001,198,982,0.002,1m,2.0,1.0,1.2000000000000002,228,630.0,0.003,2m,3.0,4.0,0.6,836.0,158.0,0.006,2m,2.5,2.5,0.9,774.0,68.0,0.006,3m,2.0,3.0,1.0,986.0,550.0,0.006,4m,2.0,4.0,0.7,16.0,306.0,0.003,1m,3.0,3.0,0.6,880.0,464.0,0.009000000000000001,1m,2.0,3.5,1.9000000000000001,178.0,932.0,0.002,1m,4.0,2.5,1.3,668.0,,,,,,,,0.15000000000000002,9,COMPLETE
67,67,7.394939186040157,2025-06-15 00:13:52.038125,2025-06-15 00:13:59.143937,0 days 00:00:07.105812,298.0,0.008,4m,2.5,1.5,1.6,368.0,130,0.01,4m,2.0,1.0,1.8,202,988,0.003,1m,2.0,1.0,1.2000000000000002,154,622.0,0.003,2m,4.0,4.0,0.6,808.0,94.0,0.006,2m,3.0,2.5,0.5,750.0,82.0,0.006,3m,2.0,3.0,1.0,988.0,552.0,0.006,4m,2.0,4.0,0.7,40.0,20.0,0.002,1m,2.0,3.0,0.6,920.0,478.0,0.009000000000000001,1m,2.0,3.5,1.9000000000000001,136.0,896.0,0.002,1m,4.0,2.5,1.3,630.0,916.0,0.01,3m,4.0,1.0,0.5,54.0,0.1,10,COMPLETE
68,68,5.690957495866794,2025-06-15 00:13:59.252426,2025-06-15 00:14:06.142308,0 days 00:00:06.889882,274.0,0.008,4m,2.5,1.5,1.7000000000000002,320.0,118,0.01,4m,1.5,1.0,1.8,300,738,0.003,1m,2.0,1.0,1.2000000000000002,172,536.0,0.003,2m,4.0,4.0,0.6,832.0,82.0,0.006,2m,3.0,2.5,0.5,762.0,76.0,0.006,3m,2.0,3.0,0.9,1020.0,512.0,0.006,4m,2.0,4.0,0.7,26.0,316.0,0.002,1m,2.0,3.0,0.6,906.0,512.0,0.009000000000000001,1m,2.0,3.5,1.9000000000000001,160.0,1022.0,0.002,1m,4.0,2.5,1.3,698.0,1012.0,0.01,3m,4.0,1.0,0.5,100.0,0.1,10,COMPLETE
69,69,3.712712618849865,2025-06-15 00:14:06.249296,2025-06-15 00:14:13.038398,0 days 00:00:06.789102,252.0,0.008,4m,2.5,1.5,1.6,316.0,134,0.01,4m,1.5,1.0,1.8,288,756,0.004,1m,1.5,1.0,1.2000000000000002,162,630.0,0.003,2m,4.0,4.0,0.6,824.0,160.0,0.006,2m,3.0,2.5,0.6,754.0,76.0,0.006,3m,1.5,3.0,0.9,1002.0,554.0,0.007,4m,2.0,4.0,0.6,44.0,34.0,0.002,1m,2.0,3.0,0.6,892.0,552.0,0.009000000000000001,1m,2.0,3.5,1.9000000000000001,172.0,1020.0,0.002,1m,4.0,2.5,1.3,630.0,1004.0,0.01,3m,4.0,1.0,0.5,50.0,0.1,10,COMPLETE
70,70,-0.3383899180872005,2025-06-15 00:14:13.140923,2025-06-15 00:14:19.283198,0 days 00:00:06.142275,304.0,0.008,4m,2.5,1.5,1.7000000000000002,288.0,104,0.009000000000000001,4m,1.0,1.0,1.7000000000000002,200,682,0.003,1m,2.0,1.0,1.3,220,514.0,0.003,2m,4.0,4.0,0.7,768.0,80.0,0.008,2m,3.5,2.5,0.5,610.0,148.0,0.006,3m,2.0,2.5,0.8,1020.0,570.0,0.006,4m,2.5,4.0,0.9,148.0,300.0,0.002,1m,2.0,3.0,0.5,888.0,628.0,0.009000000000000001,1m,2.0,3.5,1.8,266.0,958.0,0.002,1m,4.0,2.5,1.4,674.0,,,,,,,,0.1,9,COMPLETE
71,71,3.3625492130404426,2025-06-15 00:14:19.372712,2025-06-15 00:14:26.461112,0 days 00:00:07.088400,314.0,0.008,4m,2.0,2.0,1.7000000000000002,280.0,46,0.01,4m,1.5,1.0,1.9000000000000001,230,850,0.003,1m,2.0,1.0,1.1,116,452.0,0.004,2m,4.0,4.0,0.6,840.0,70.0,0.006,2m,3.0,2.5,0.5,800.0,54.0,0.005,3m,2.0,3.0,1.0,968.0,450.0,0.005,4m,2.0,3.5,0.7,234.0,344.0,0.001,1m,2.0,3.0,0.6,958.0,468.0,0.01,1m,1.5,3.5,2.0,74.0,926.0,0.001,1m,4.0,2.5,1.3,596.0,728.0,0.008,3m,3.5,2.0,0.9,314.0,0.05,10,COMPLETE
72,72,2.1128384935787303,2025-06-15 00:14:26.573399,2025-06-15 00:14:32.819471,0 days 00:00:06.246072,204.0,0.008,4m,3.0,1.0,1.5,426.0,160,0.01,4m,2.0,1.0,1.8,150,902,0.002,1m,2.0,1.0,1.2000000000000002,246,550.0,0.003,2m,4.0,4.0,0.5,732.0,144.0,0.005,2m,2.5,3.0,0.7,876.0,28.0,0.005,3m,2.0,2.5,0.8,916.0,776.0,0.006,4m,1.5,4.0,0.7,26.0,404.0,0.003,1m,1.5,3.5,0.7,868.0,588.0,0.009000000000000001,1m,2.0,3.5,1.9000000000000001,146.0,990.0,0.002,1m,3.5,2.5,1.2000000000000002,704.0,,,,,,,,0.1,9,COMPLETE
73,73,2.752001886658535,2025-06-15 00:14:32.924370,2025-06-15 00:14:39.706656,0 days 00:00:06.782286,394.0,0.007,4m,2.0,2.0,1.0,214.0,238,0.01,4m,2.0,1.0,1.7000000000000002,184,802,0.003,1m,2.0,1.0,1.1,196,696.0,0.004,2m,3.5,4.0,0.6,864.0,72.0,0.006,2m,4.0,2.5,0.5,732.0,136.0,0.006,3m,2.5,3.5,1.1,986.0,572.0,0.004,4m,2.5,3.5,0.6,124.0,160.0,0.001,1m,2.5,3.0,0.6,940.0,444.0,0.001,1m,1.5,3.0,2.0,78.0,858.0,0.003,1m,3.5,2.5,1.1,518.0,760.0,0.007,3m,3.0,1.0,0.9,318.0,0.15000000000000002,10,COMPLETE
