,number,value,datetime_start,datetime_complete,duration,params_AEP_FB_beta_win,params_AEP_FB_stop_loss,params_AEP_FB_trade_freq,params_AEP_FB_z_entry,params_AEP_FB_z_exit,params_AEP_FB_z_stop_scaler,params_AEP_FB_z_win,params_ALXN_BIIB_beta_win,params_ALXN_BIIB_stop_loss,params_ALXN_BIIB_trade_freq,params_ALXN_BIIB_z_entry,params_ALXN_BIIB_z_exit,params_ALXN_BIIB_z_stop_scaler,params_ALXN_BIIB_z_win,params_ANSS_DOCU_beta_win,params_ANSS_DOCU_stop_loss,params_ANSS_DOCU_trade_freq,params_ANSS_DOCU_z_entry,params_ANSS_DOCU_z_exit,params_ANSS_DOCU_z_stop_scaler,params_ANSS_DOCU_z_win,params_ASML_AVGO_beta_win,params_ASML_AVGO_stop_loss,params_ASML_AVGO_trade_freq,params_ASML_AVGO_z_entry,params_ASML_AVGO_z_exit,params_ASML_AVGO_z_stop_scaler,params_ASML_AVGO_z_win,params_BKNG_ZM_beta_win,params_BKNG_ZM_stop_loss,params_BKNG_ZM_trade_freq,params_BKNG_ZM_z_entry,params_BKNG_ZM_z_exit,params_BKNG_ZM_z_stop_scaler,params_BKNG_ZM_z_win,params_CTSH_FAST_beta_win,params_CTSH_FAST_stop_loss,params_CTSH_FAST_trade_freq,params_CTSH_FAST_z_entry,params_CTSH_FAST_z_exit,params_CTSH_FAST_z_stop_scaler,params_CTSH_FAST_z_win,params_FAST_TMUS_beta_win,params_FAST_TMUS_stop_loss,params_FAST_TMUS_trade_freq,params_FAST_TMUS_z_entry,params_FAST_TMUS_z_exit,params_FAST_TMUS_z_stop_scaler,params_FAST_TMUS_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_MSFT_PCAR_beta_win,params_MSFT_PCAR_stop_loss,params_MSFT_PCAR_trade_freq,params_MSFT_PCAR_z_entry,params_MSFT_PCAR_z_exit,params_MSFT_PCAR_z_stop_scaler,params_MSFT_PCAR_z_win,params_REGN_ZM_beta_win,params_REGN_ZM_stop_loss,params_REGN_ZM_trade_freq,params_REGN_ZM_z_entry,params_REGN_ZM_z_exit,params_REGN_ZM_z_stop_scaler,params_REGN_ZM_z_win,params_SBUX_ZM_beta_win,params_SBUX_ZM_stop_loss,params_SBUX_ZM_trade_freq,params_SBUX_ZM_z_entry,params_SBUX_ZM_z_exit,params_SBUX_ZM_z_stop_scaler,params_SBUX_ZM_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,5.113229820037439,2025-06-15 00:10:03.718585,2025-06-15 00:10:04.975871,0 days 00:00:01.257286,,,,,,,,746,0.005,4m,3.5,1.0,2.0,70,988,0.001,4m,2.5,4.0,1.5,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
11,11,5.253624828066,2025-06-15 00:10:05.039627,2025-06-15 00:10:06.299932,0 days 00:00:01.260305,,,,,,,,746,0.005,4m,3.5,1.0,2.0,122,992,0.001,4m,2.5,4.0,1.5,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
12,12,2.3868724121737985,2025-06-15 00:10:06.396028,2025-06-15 00:10:07.629260,0 days 00:00:01.233232,,,,,,,,776,0.005,4m,3.0,2.0,1.6,272,998,0.001,4m,1.0,3.5,1.7000000000000002,722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
13,13,0.10681928454370952,2025-06-15 00:10:07.689943,2025-06-15 00:10:10.100690,0 days 00:00:02.410747,,,,,,,,994,0.007,4m,3.0,1.0,1.6,266,876,0.008,4m,2.0,3.5,1.1,416,72.0,0.01,2m,4.0,1.0,0.5,982.0,,,,,,,,,,,,,,,,,,,,,,280.0,0.01,2m,4.0,2.0,0.6,1002.0,,,,,,,,,,,,,,,,,,,,,,0.3,3,COMPLETE
14,14,-3.4623897102169425,2025-06-15 00:10:10.161202,2025-06-15 00:10:15.119769,0 days 00:00:04.958567,970.0,0.01,4m,4.0,1.0,2.0,60.0,450,0.006,4m,4.0,2.0,1.7000000000000002,64,560,0.003,4m,3.0,3.5,1.2000000000000002,716,38.0,0.008,4m,2.5,1.0,2.0,940.0,974.0,0.001,2m,4.0,4.0,1.8,1014.0,994.0,0.001,1m,4.0,1.0,0.5,102.0,1004.0,0.01,1m,4.0,4.0,2.0,82.0,40.0,0.008,1m,3.0,2.5,0.5,324.0,130.0,0.005,4m,4.0,4.0,1.9000000000000001,972.0,1022.0,0.001,4m,1.0,2.0,2.0,964.0,,,,,,,,0.2,9,COMPLETE
15,15,2.726638423559773,2025-06-15 00:10:15.214278,2025-06-15 00:10:16.982048,0 days 00:00:01.767770,,,,,,,,378,0.004,4m,2.0,3.0,1.4,346,856,0.01,1m,3.0,4.0,1.8,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012.0,0.01,2m,4.0,2.5,0.9,712.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
16,16,6.786831828736487,2025-06-15 00:10:17.076569,2025-06-15 00:10:21.728028,0 days 00:00:04.651459,,,,,,,,738,0.01,4m,3.0,2.0,1.8,190,24,0.002,4m,2.0,1.0,1.4,418,806.0,0.004,2m,1.0,4.0,0.5,766.0,42.0,0.001,2m,1.0,2.5,0.5,822.0,26.0,0.005,3m,2.5,4.0,1.3,1016.0,,,,,,,,388.0,0.005,2m,2.5,3.0,0.8,176.0,40.0,0.01,1m,3.5,1.0,2.0,66.0,716.0,0.002,1m,1.0,2.5,1.1,898.0,,,,,,,,0.3,7,COMPLETE
17,17,5.304002059762609,2025-06-15 00:10:21.817428,2025-06-15 00:10:27.643597,0 days 00:00:05.826169,,,,,,,,662,0.01,4m,3.5,1.5,1.4,1024,24,0.002,4m,2.0,1.0,1.0,400,796.0,0.004,2m,1.0,4.0,0.5,830.0,74.0,0.001,2m,1.0,2.5,0.5,844.0,32.0,0.005,3m,2.5,4.0,1.3,956.0,40.0,0.005,4m,1.0,3.5,0.7,1000.0,372.0,0.005,1m,2.5,3.5,0.7,20.0,118.0,0.01,1m,3.5,1.0,2.0,90.0,714.0,0.001,1m,1.0,2.5,1.1,1018.0,,,,,,,,0.2,8,COMPLETE
18,18,2.7828482454675716,2025-06-15 00:10:27.739666,2025-06-15 00:10:33.285942,0 days 00:00:05.546276,,,,,,,,630,0.01,1m,3.0,2.0,1.4,998,44,0.003,4m,1.5,1.0,1.0,366,818.0,0.004,2m,1.0,4.0,0.5,806.0,46.0,0.001,2m,1.0,2.5,0.5,868.0,24.0,0.005,3m,2.5,4.0,1.3,1006.0,36.0,0.005,4m,1.0,3.5,0.5,1004.0,362.0,0.005,1m,2.5,3.5,0.7,36.0,48.0,0.01,1m,3.5,1.0,2.0,24.0,696.0,0.001,1m,1.0,2.5,1.1,968.0,,,,,,,,0.05,8,COMPLETE
19,19,6.217056892058589,2025-06-15 00:10:33.372573,2025-06-15 00:10:38.176146,0 days 00:00:04.803573,,,,,,,,352,0.009000000000000001,4m,3.5,1.5,1.4,1010,42,0.002,1m,1.0,1.0,0.9,218,766.0,0.003,2m,1.5,4.0,0.6,786.0,60.0,0.003,2m,1.0,3.0,0.5,730.0,18.0,0.005,3m,3.0,3.5,1.4,998.0,,,,,,,,426.0,0.005,1m,2.0,3.0,0.8,162.0,332.0,0.008,1m,3.0,1.0,1.6,18.0,748.0,0.003,1m,1.5,2.5,1.1,1018.0,,,,,,,,0.2,7,COMPLETE
