,number,value,datetime_start,datetime_complete,duration,params_ADSK_AMD_beta_win,params_ADSK_AMD_stop_loss,params_ADSK_AMD_trade_freq,params_ADSK_AMD_z_entry,params_ADSK_AMD_z_exit,params_ADSK_AMD_z_stop_scaler,params_ADSK_AMD_z_win,params_ALXN_BIIB_beta_win,params_ALXN_BIIB_stop_loss,params_ALXN_BIIB_trade_freq,params_ALXN_BIIB_z_entry,params_ALXN_BIIB_z_exit,params_ALXN_BIIB_z_stop_scaler,params_ALXN_BIIB_z_win,params_ALXN_PTON_beta_win,params_ALXN_PTON_stop_loss,params_ALXN_PTON_trade_freq,params_ALXN_PTON_z_entry,params_ALXN_PTON_z_exit,params_ALXN_PTON_z_stop_scaler,params_ALXN_PTON_z_win,params_ANSS_DOCU_beta_win,params_ANSS_DOCU_stop_loss,params_ANSS_DOCU_trade_freq,params_ANSS_DOCU_z_entry,params_ANSS_DOCU_z_exit,params_ANSS_DOCU_z_stop_scaler,params_ANSS_DOCU_z_win,params_ASML_CERN_beta_win,params_ASML_CERN_stop_loss,params_ASML_CERN_trade_freq,params_ASML_CERN_z_entry,params_ASML_CERN_z_exit,params_ASML_CERN_z_stop_scaler,params_ASML_CERN_z_win,params_BIDU_CERN_beta_win,params_BIDU_CERN_stop_loss,params_BIDU_CERN_trade_freq,params_BIDU_CERN_z_entry,params_BIDU_CERN_z_exit,params_BIDU_CERN_z_stop_scaler,params_BIDU_CERN_z_win,params_CDNS_CERN_beta_win,params_CDNS_CERN_stop_loss,params_CDNS_CERN_trade_freq,params_CDNS_CERN_z_entry,params_CDNS_CERN_z_exit,params_CDNS_CERN_z_stop_scaler,params_CDNS_CERN_z_win,params_CMCSA_REGN_beta_win,params_CMCSA_REGN_stop_loss,params_CMCSA_REGN_trade_freq,params_CMCSA_REGN_z_entry,params_CMCSA_REGN_z_exit,params_CMCSA_REGN_z_stop_scaler,params_CMCSA_REGN_z_win,params_CTAS_INCY_beta_win,params_CTAS_INCY_stop_loss,params_CTAS_INCY_trade_freq,params_CTAS_INCY_z_entry,params_CTAS_INCY_z_exit,params_CTAS_INCY_z_stop_scaler,params_CTAS_INCY_z_win,params_MAR_TMUS_beta_win,params_MAR_TMUS_stop_loss,params_MAR_TMUS_trade_freq,params_MAR_TMUS_z_entry,params_MAR_TMUS_z_exit,params_MAR_TMUS_z_stop_scaler,params_MAR_TMUS_z_win,params_QCOM_TXN_beta_win,params_QCOM_TXN_stop_loss,params_QCOM_TXN_trade_freq,params_QCOM_TXN_z_entry,params_QCOM_TXN_z_exit,params_QCOM_TXN_z_stop_scaler,params_QCOM_TXN_z_win,params_ROST_TMUS_beta_win,params_ROST_TMUS_stop_loss,params_ROST_TMUS_trade_freq,params_ROST_TMUS_z_entry,params_ROST_TMUS_z_exit,params_ROST_TMUS_z_stop_scaler,params_ROST_TMUS_z_win,params_buffer_capital,params_pairs_to_trade,state
30,30,4.018304988817187,2025-06-15 00:11:13.024465,2025-06-15 00:11:14.483122,0 days 00:00:01.458657,,,,,,,,744,0.001,1m,1.0,4.0,1.4,814,,,,,,,,,,,,,,,138,0.003,2m,1.0,2.5,1.6,760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
31,31,4.875479577083912,2025-06-15 00:11:14.556897,2025-06-15 00:11:17.139988,0 days 00:00:02.583091,954.0,0.004,2m,2.5,3.5,0.6,646.0,682,0.003,1m,1.5,3.5,1.6,722,460.0,0.004,2m,1.5,1.0,1.2000000000000002,318.0,,,,,,,,358,0.002,3m,2.0,3.5,2.0,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,2,COMPLETE
32,32,4.30812736094941,2025-06-15 00:11:17.253313,2025-06-15 00:11:19.620818,0 days 00:00:02.367505,814.0,0.005,2m,2.5,3.0,0.8,700.0,832,0.002,1m,1.5,3.5,1.7000000000000002,592,332.0,0.004,3m,3.0,1.0,1.0,204.0,,,,,,,,482,0.002,3m,2.0,4.0,1.8,690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
33,33,5.40750202127879,2025-06-15 00:11:19.715285,2025-06-15 00:11:23.443754,0 days 00:00:03.728469,1020.0,0.006,2m,2.5,2.5,0.6,598.0,478,0.003,1m,2.0,3.0,1.5,502,234.0,0.006,3m,1.0,1.5,1.4,452.0,,,,,,,,584,0.004,3m,1.5,3.5,1.9000000000000001,520,22.0,0.003,2m,4.0,1.0,2.0,924.0,,,,,,,,430.0,0.006,2m,1.5,1.5,1.4,1018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,4,COMPLETE
34,34,2.8166867355748932,2025-06-15 00:11:23.516025,2025-06-15 00:11:25.937366,0 days 00:00:02.421341,952.0,0.008,2m,2.0,3.5,0.8,790.0,578,0.004,1m,2.0,4.0,1.8,454,586.0,0.005,2m,2.5,1.0,1.1,62.0,,,,,,,,432,0.001,3m,2.5,3.0,2.0,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,2,COMPLETE
35,35,3.9384189812956176,2025-06-15 00:11:26.007782,2025-06-15 00:11:29.157844,0 days 00:00:03.150062,804.0,0.003,2m,3.0,3.0,1.2000000000000002,536.0,432,0.003,1m,1.5,3.5,1.7000000000000002,396,462.0,0.004,3m,2.0,2.0,1.3,300.0,,,,,,,,546,0.003,4m,2.0,3.0,1.7000000000000002,26,,,,,,,,,,,,,,,690.0,0.002,2m,1.5,2.5,1.9000000000000001,696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
36,36,-3.4690295589655906,2025-06-15 00:11:29.218019,2025-06-15 00:11:30.523552,0 days 00:00:01.305533,,,,,,,,530,0.005,2m,1.0,3.0,1.3,242,,,,,,,,,,,,,,,306,0.006,3m,1.5,3.5,1.9000000000000001,690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
37,37,2.2185487406468707,2025-06-15 00:11:30.613819,2025-06-15 00:11:33.063260,0 days 00:00:02.449441,950.0,0.004,2m,2.5,3.0,0.5,906.0,296,0.003,1m,2.0,4.0,1.9000000000000001,654,50.0,0.008,4m,3.0,1.5,1.4,182.0,,,,,,,,390,0.008,4m,1.0,3.0,1.8,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
38,38,-0.21192375091907653,2025-06-15 00:11:33.129880,2025-06-15 00:11:36.212146,0 days 00:00:03.082266,836.0,0.005,1m,4.0,2.0,0.6,744.0,610,0.004,1m,1.5,1.0,1.0,90,204.0,0.002,2m,1.5,1.0,0.9,468.0,,,,,,,,178,0.003,2m,1.5,4.0,1.2000000000000002,782,,,,,,,,,,,,,,,460.0,0.01,4m,2.5,1.5,1.5,912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,3,COMPLETE
39,39,2.844748390024109,2025-06-15 00:11:36.265686,2025-06-15 00:11:39.615752,0 days 00:00:03.350066,700.0,0.007,3m,2.0,2.5,0.9,472.0,372,0.001,3m,2.5,3.0,1.1,174,340.0,0.006,3m,4.0,2.5,1.2000000000000002,594.0,,,,,,,,470,0.005,3m,1.0,2.0,1.5,326,266.0,0.01,4m,3.5,4.0,1.7000000000000002,252.0,,,,,,,,1010.0,0.004,3m,2.5,3.0,0.8,564.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,4,COMPLETE
40,40,2.91435358546813,2025-06-15 00:11:39.681641,2025-06-15 00:11:44.385323,0 days 00:00:04.703682,910.0,0.009000000000000001,1m,3.0,1.5,1.3,980.0,844,0.002,1m,2.5,3.5,1.5,762,276.0,0.003,2m,2.5,1.5,1.5,348.0,,,,,,,,20,0.002,3m,2.5,3.5,0.6,566,38.0,0.004,4m,2.5,1.5,1.7000000000000002,66.0,,,,,,,,226.0,0.008,2m,3.0,2.5,1.8,432.0,,,,,,,,736.0,0.006,3m,3.0,3.0,0.5,30.0,1010.0,0.01,1m,1.0,1.5,2.0,748.0,,,,,,,,0.15000000000000002,6,COMPLETE
41,41,3.9178239317942705,2025-06-15 00:11:44.473689,2025-06-15 00:11:48.092100,0 days 00:00:03.618411,1004.0,0.006,2m,2.5,2.5,0.6,598.0,478,0.003,1m,2.0,3.0,1.5,466,398.0,0.006,3m,1.0,1.5,1.4,468.0,,,,,,,,572,0.004,3m,1.5,3.5,1.9000000000000001,498,44.0,0.002,2m,4.0,1.0,2.0,1022.0,,,,,,,,474.0,0.006,2m,1.5,1.5,1.4,972.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,4,COMPLETE
42,42,4.88576417993098,2025-06-15 00:11:48.160111,2025-06-15 00:11:51.307273,0 days 00:00:03.147162,1012.0,0.006,2m,2.5,2.5,0.7,642.0,470,0.003,1m,2.0,3.0,1.4,496,238.0,0.005,3m,1.0,1.0,1.1,456.0,,,,,,,,522,0.004,3m,2.0,3.5,1.9000000000000001,642,,,,,,,,,,,,,,,432.0,0.007,2m,1.5,1.0,1.2000000000000002,866.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,3,COMPLETE
43,43,3.573536503916628,2025-06-15 00:11:51.365655,2025-06-15 00:11:55.651213,0 days 00:00:04.285558,848.0,0.006,2m,3.0,2.5,0.5,846.0,542,0.003,1m,1.5,2.5,1.6,318,208.0,0.006,3m,1.0,1.5,1.5,220.0,,,,,,,,628,0.003,3m,1.5,4.0,2.0,530,282.0,0.003,2m,3.5,1.5,1.9000000000000001,900.0,,,,,,,,614.0,0.005,2m,2.0,2.0,1.4,722.0,,,,,,,,,,,,,,,762.0,0.007,1m,2.5,4.0,0.5,318.0,,,,,,,,0.5,5,COMPLETE
44,44,3.9953795702933093,2025-06-15 00:11:55.725408,2025-06-15 00:11:58.323811,0 days 00:00:02.598403,938.0,0.005,2m,2.5,1.5,0.6,716.0,712,0.005,3m,2.0,3.5,1.2000000000000002,388,92.0,0.008,3m,1.5,2.0,1.7000000000000002,400.0,,,,,,,,356,0.005,3m,1.0,3.0,1.7000000000000002,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
45,45,4.042795832120315,2025-06-15 00:11:58.404245,2025-06-15 00:12:01.891131,0 days 00:00:03.486886,558.0,0.004,3m,2.0,2.0,1.8,546.0,420,0.004,1m,2.0,3.0,1.5,618,362.0,0.007,3m,2.0,2.5,1.4,542.0,,,,,,,,574,0.003,1m,1.5,3.5,1.8,710,154.0,0.004,2m,4.0,2.0,1.5,514.0,,,,,,,,566.0,0.008,2m,1.5,1.5,1.1,1006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
46,46,0.9854655196364476,2025-06-15 00:12:01.958371,2025-06-15 00:12:03.336040,0 days 00:00:01.377669,,,,,,,,248,0.007,1m,2.5,3.5,1.8,560,,,,,,,,,,,,,,,998,0.004,3m,2.0,4.0,2.0,554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
47,47,1.9884724260960875,2025-06-15 00:12:03.391549,2025-06-15 00:12:07.451166,0 days 00:00:04.059617,976.0,0.007,2m,1.5,3.0,0.8,462.0,782,0.002,4m,1.5,2.5,1.3,714,492.0,0.006,1m,3.5,1.0,1.2000000000000002,112.0,,,,,,,,686,0.001,4m,1.0,3.0,1.6,488,1022.0,0.002,2m,3.5,1.0,1.4,906.0,,,,,,,,924.0,0.006,2m,2.5,2.0,1.3,866.0,,,,,,,,,,,,,,,818.0,0.008,4m,1.0,3.0,1.0,800.0,,,,,,,,0.25,5,COMPLETE
48,48,2.9323180261845847,2025-06-15 00:12:07.523318,2025-06-15 00:12:11.223060,0 days 00:00:03.699742,892.0,0.003,2m,3.5,1.0,0.7,604.0,650,0.005,2m,2.5,3.5,0.9,172,134.0,0.005,3m,1.5,1.5,0.9,312.0,,,,,,,,400,0.004,3m,1.5,3.5,1.9000000000000001,626,346.0,0.006,2m,3.0,1.5,1.8,866.0,,,,,,,,760.0,0.009000000000000001,2m,1.0,2.5,1.7000000000000002,478.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,4,COMPLETE
49,49,-1.321421601449594,2025-06-15 00:12:11.300372,2025-06-15 00:12:14.456981,0 days 00:00:03.156609,848.0,0.009000000000000001,1m,2.5,3.5,0.6,840.0,346,0.001,3m,3.0,4.0,1.7000000000000002,500,562.0,0.004,1m,4.0,3.0,1.0,672.0,,,,,,,,648,0.002,2m,1.5,3.0,0.9,756,,,,,,,,,,,,,,,292.0,0.007,4m,3.5,1.5,1.4,942.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
50,50,3.465002561849858,2025-06-15 00:12:14.537639,2025-06-15 00:12:19.929826,0 days 00:00:05.392187,1014.0,0.008,3m,3.5,2.0,1.0,678.0,900,0.009000000000000001,1m,2.0,3.0,1.4,274,416.0,0.007,2m,1.0,2.0,1.3,498.0,,,,,,,,262,0.005,1m,3.5,4.0,1.8,670,142.0,0.004,2m,4.0,2.0,1.6,566.0,538.0,0.005,4m,1.0,1.0,2.0,998.0,400.0,0.004,3m,2.5,3.0,1.1,128.0,,,,,,,,126.0,0.003,4m,2.5,3.0,1.6,334.0,830.0,0.002,1m,3.0,1.5,0.5,462.0,,,,,,,,0.15000000000000002,7,COMPLETE
51,51,3.726813923601003,2025-06-15 00:12:19.999764,2025-06-15 00:12:23.204968,0 days 00:00:03.205204,1022.0,0.006,2m,2.5,2.5,0.7,638.0,472,0.003,1m,2.0,3.0,1.4,502,252.0,0.005,3m,1.0,1.0,1.1,440.0,,,,,,,,522,0.004,3m,2.0,3.5,1.9000000000000001,638,,,,,,,,,,,,,,,462.0,0.007,2m,1.5,1.0,1.2000000000000002,912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,3,COMPLETE
52,52,6.005238233035335,2025-06-15 00:12:23.305184,2025-06-15 00:12:30.077911,0 days 00:00:06.772727,932.0,0.006,2m,2.5,2.5,0.5,754.0,488,0.003,1m,2.0,3.5,1.5,354,178.0,0.005,3m,1.0,1.0,1.1,356.0,110.0,0.01,3m,4.0,1.0,2.0,930.0,442,0.003,3m,2.5,3.5,2.0,564,92.0,0.002,2m,2.5,1.0,1.3,278.0,116.0,0.007,3m,2.5,2.5,1.2000000000000002,442.0,422.0,0.006,2m,2.0,1.0,1.5,864.0,1020.0,0.001,1m,1.0,1.0,0.5,1002.0,302.0,0.008,3m,1.0,2.0,1.0,736.0,34.0,0.01,4m,2.0,2.5,0.8,644.0,22.0,0.001,3m,1.0,1.0,1.9000000000000001,34.0,0.25,10,COMPLETE
53,53,5.4562230970049335,2025-06-15 00:12:30.162280,2025-06-15 00:12:37.162190,0 days 00:00:06.999910,942.0,0.005,2m,3.0,2.5,0.5,768.0,576,0.004,1m,1.5,3.5,1.6,424,180.0,0.004,3m,1.5,3.5,0.9,344.0,26.0,0.01,3m,4.0,1.0,1.9000000000000001,1022.0,466,0.003,3m,3.0,3.5,2.0,554,22.0,0.002,2m,2.5,1.0,1.3,218.0,18.0,0.007,3m,2.5,2.5,1.2000000000000002,430.0,272.0,0.006,2m,2.0,1.0,1.5,764.0,978.0,0.001,1m,1.0,1.0,0.5,938.0,320.0,0.008,3m,1.0,2.0,1.0,772.0,30.0,0.01,4m,2.0,2.5,0.8,624.0,28.0,0.001,3m,1.0,1.0,2.0,32.0,0.3,10,COMPLETE
54,54,5.537946763902916,2025-06-15 00:12:37.229987,2025-06-15 00:12:44.090961,0 days 00:00:06.860974,922.0,0.003,2m,3.0,3.0,0.5,774.0,622,0.004,1m,1.0,1.5,1.6,406,174.0,0.003,1m,1.5,3.5,0.6,154.0,28.0,0.01,3m,4.0,1.0,2.0,990.0,448,0.003,3m,3.0,3.5,2.0,594,112.0,0.002,2m,2.5,1.5,1.3,254.0,40.0,0.007,3m,2.5,2.5,1.2000000000000002,408.0,210.0,0.005,4m,2.0,1.0,1.6,632.0,948.0,0.001,1m,1.0,1.0,0.5,960.0,336.0,0.008,3m,1.0,2.0,1.0,792.0,26.0,0.01,4m,2.0,2.5,0.8,674.0,50.0,0.001,3m,1.0,1.0,2.0,22.0,0.35000000000000003,10,COMPLETE
55,55,1.6031924544851321,2025-06-15 00:12:44.166561,2025-06-15 00:12:50.653930,0 days 00:00:06.487369,776.0,0.002,2m,3.0,3.5,0.5,836.0,622,0.006,4m,1.0,1.5,1.6,344,90.0,0.003,1m,1.5,4.0,0.5,148.0,44.0,0.01,3m,4.0,1.0,2.0,1006.0,424,0.002,3m,2.5,2.5,2.0,728,208.0,0.001,2m,2.5,1.5,1.1,300.0,258.0,0.007,3m,2.0,2.0,1.2000000000000002,424.0,38.0,0.009000000000000001,4m,2.0,1.0,1.6,642.0,,,,,,,,322.0,0.008,3m,1.5,2.0,1.0,756.0,158.0,0.008,4m,2.0,3.0,1.1,812.0,270.0,0.001,3m,1.5,2.0,1.6,270.0,0.35000000000000003,9,COMPLETE
56,56,5.0098727744388825,2025-06-15 00:12:50.761052,2025-06-15 00:12:57.313120,0 days 00:00:06.552068,192.0,0.002,4m,2.0,3.0,0.5,730.0,710,0.005,1m,1.0,1.5,1.8,366,142.0,0.002,1m,2.0,3.5,0.7,68.0,306.0,0.008,3m,3.5,1.5,2.0,720.0,334,0.003,3m,3.0,1.5,1.1,586,126.0,0.002,2m,1.5,1.5,1.3,120.0,188.0,0.006,3m,3.0,3.0,1.4,618.0,608.0,0.003,4m,2.5,2.0,1.8,574.0,,,,,,,,658.0,0.007,3m,1.0,1.5,1.1,1014.0,164.0,0.01,4m,1.5,2.5,0.7,620.0,342.0,0.004,3m,2.0,1.0,1.5,352.0,0.4,9,COMPLETE
57,57,1.4553373910430643,2025-06-15 00:12:57.389120,2025-06-15 00:13:04.615655,0 days 00:00:07.226535,722.0,0.003,2m,3.0,4.0,0.6,804.0,774,0.004,1m,1.5,1.0,1.3,278,294.0,0.003,1m,2.5,3.5,0.6,220.0,364.0,0.006,2m,3.0,2.5,0.6,620.0,380,0.002,3m,3.5,3.0,2.0,606,360.0,0.001,2m,2.0,2.0,1.1,446.0,646.0,0.008,3m,3.0,2.0,0.9,248.0,234.0,0.005,4m,2.0,2.5,1.7000000000000002,744.0,1016.0,0.001,1m,1.0,1.0,0.6,1010.0,418.0,0.01,3m,2.0,2.5,0.7,644.0,102.0,0.008,4m,1.5,2.5,1.1,714.0,232.0,0.003,3m,1.0,2.5,2.0,16.0,0.45,10,COMPLETE
58,58,-0.06916089874933404,2025-06-15 00:13:04.669893,2025-06-15 00:13:11.048741,0 days 00:00:06.378848,912.0,0.004,2m,2.5,3.0,0.8,918.0,548,0.004,1m,1.0,2.0,1.9000000000000001,210,174.0,0.003,1m,1.5,1.0,0.7,280.0,18.0,0.007,4m,1.0,2.0,1.5,836.0,280,0.001,3m,3.0,4.0,1.8,816,90.0,0.005,3m,3.0,2.5,1.5,290.0,270.0,0.005,2m,2.0,3.0,1.5,312.0,102.0,0.002,4m,3.0,1.5,1.3,636.0,,,,,,,,208.0,0.004,3m,1.5,1.5,1.5,386.0,438.0,0.009000000000000001,4m,2.5,1.5,0.7,898.0,506.0,0.006,3m,3.5,1.0,1.6,288.0,0.4,9,COMPLETE
59,59,3.592844653672737,2025-06-15 00:13:11.124004,2025-06-15 00:13:17.516153,0 days 00:00:06.392149,804.0,0.004,2m,2.0,3.5,1.4,676.0,648,0.002,1m,1.5,1.5,1.7000000000000002,96,898.0,0.001,4m,4.0,4.0,0.8,254.0,,,,,,,,458,0.003,1m,2.5,3.5,1.4,472,210.0,0.004,4m,2.0,1.0,0.8,18.0,146.0,0.004,1m,2.0,3.0,0.9,654.0,192.0,0.008,4m,2.0,4.0,1.9000000000000001,828.0,,,,,,,,628.0,0.008,3m,2.0,3.0,1.2000000000000002,856.0,234.0,0.007,4m,3.0,3.5,0.6,348.0,38.0,0.001,1m,2.0,2.0,1.0,496.0,0.2,8,COMPLETE
60,60,4.655807098120724,2025-06-15 00:13:17.606203,2025-06-15 00:13:24.817755,0 days 00:00:07.211552,854.0,0.003,3m,3.0,3.0,0.7,20.0,502,0.002,2m,3.0,2.5,1.5,998,384.0,0.004,1m,2.0,3.0,1.0,78.0,290.0,0.01,3m,2.5,1.0,1.5,412.0,494,0.002,3m,4.0,3.5,1.7000000000000002,668,460.0,0.002,3m,2.5,2.5,1.4,168.0,382.0,0.008,3m,3.0,2.0,1.7000000000000002,796.0,360.0,0.004,3m,3.0,2.0,1.6,372.0,736.0,0.003,1m,1.5,2.0,2.0,736.0,396.0,0.007,1m,1.0,1.5,0.8,694.0,574.0,0.007,4m,2.0,2.0,0.9,548.0,462.0,0.005,2m,1.5,1.5,1.7000000000000002,204.0,0.3,10,COMPLETE
61,61,3.709705126501257,2025-06-15 00:13:24.898592,2025-06-15 00:13:32.250351,0 days 00:00:07.351759,970.0,0.005,2m,3.5,2.5,0.5,756.0,594,0.004,1m,1.0,3.5,1.6,452,182.0,0.004,3m,1.5,3.5,0.9,346.0,52.0,0.01,3m,4.0,1.0,2.0,1018.0,452,0.003,3m,3.0,3.5,2.0,552,80.0,0.002,2m,2.5,1.0,1.3,218.0,16.0,0.007,3m,2.5,2.5,1.1,426.0,274.0,0.006,2m,2.0,1.0,1.5,798.0,1002.0,0.001,1m,1.0,1.0,0.5,1012.0,320.0,0.008,3m,1.0,2.0,1.0,830.0,66.0,0.01,4m,2.0,3.0,0.8,616.0,44.0,0.001,3m,1.0,1.0,2.0,32.0,0.3,10,COMPLETE
62,62,7.211805434393684,2025-06-15 00:13:32.330529,2025-06-15 00:13:38.854515,0 days 00:00:06.523986,918.0,0.005,2m,3.0,2.5,0.5,770.0,406,0.004,1m,1.5,3.5,1.6,398,106.0,0.004,1m,1.5,3.5,0.6,374.0,184.0,0.009000000000000001,3m,4.0,1.5,1.8,896.0,414,0.003,3m,3.0,3.5,2.0,610,204.0,0.003,2m,2.5,1.0,1.5,318.0,16.0,0.007,3m,2.5,2.5,1.0,390.0,322.0,0.005,1m,2.5,1.0,1.5,730.0,,,,,,,,154.0,0.009000000000000001,3m,1.5,2.0,1.2000000000000002,446.0,42.0,0.01,4m,1.5,2.5,0.8,690.0,176.0,0.002,3m,1.5,1.5,1.8,146.0,0.35000000000000003,9,COMPLETE
63,63,4.020029515448511,2025-06-15 00:13:38.947239,2025-06-15 00:13:45.906078,0 days 00:00:06.958839,900.0,0.005,2m,2.5,2.0,0.6,880.0,392,0.003,1m,1.5,4.0,1.4,422,110.0,0.005,1m,2.0,2.5,0.6,374.0,234.0,0.008,3m,3.5,2.0,1.7000000000000002,822.0,414,0.002,3m,3.5,4.0,1.9000000000000001,614,194.0,0.003,2m,2.0,1.5,1.5,408.0,152.0,0.006,3m,1.5,3.5,1.0,230.0,328.0,0.005,1m,2.5,1.0,1.6,704.0,,,,,,,,124.0,0.009000000000000001,3m,1.5,2.5,1.2000000000000002,444.0,204.0,0.009000000000000001,4m,1.5,2.5,1.1,708.0,226.0,0.003,3m,1.5,1.5,1.8,186.0,0.35000000000000003,9,COMPLETE
64,64,-4.917780213912801,2025-06-15 00:13:46.002983,2025-06-15 00:13:51.831881,0 days 00:00:05.828898,370.0,0.007,2m,3.0,2.0,0.5,818.0,330,0.006,1m,2.5,3.5,1.5,286,60.0,0.002,1m,1.0,3.0,0.5,162.0,,,,,,,,330,0.003,3m,2.5,3.0,2.0,718,324.0,0.003,2m,2.5,1.0,1.6,296.0,118.0,0.008,3m,3.5,1.5,0.7,530.0,172.0,0.003,1m,2.5,1.5,1.7000000000000002,548.0,,,,,,,,184.0,0.009000000000000001,2m,1.5,1.5,1.7000000000000002,196.0,28.0,0.01,4m,1.0,2.0,0.9,850.0,,,,,,,,0.35000000000000003,7,COMPLETE
65,65,1.2638039840365927,2025-06-15 00:13:51.915164,2025-06-15 00:13:59.530044,0 days 00:00:07.614880,978.0,0.004,2m,3.5,3.0,0.9,720.0,438,0.005,1m,2.0,3.5,1.7000000000000002,856,656.0,0.003,1m,1.5,3.5,0.7,1004.0,764.0,0.008,3m,3.5,1.5,1.7000000000000002,850.0,550,0.004,3m,3.0,3.5,1.9000000000000001,652,234.0,0.001,4m,3.0,1.5,1.1,454.0,308.0,0.01,3m,3.0,2.0,1.6,342.0,390.0,0.005,1m,3.0,3.5,1.3,606.0,610.0,0.005,3m,4.0,2.0,1.0,690.0,40.0,0.007,4m,1.0,2.0,0.5,478.0,112.0,0.009000000000000001,4m,1.5,3.0,0.6,532.0,158.0,0.002,3m,2.0,2.0,1.8,162.0,0.4,10,COMPLETE
66,66,4.161925631796418,2025-06-15 00:13:59.597909,2025-06-15 00:14:06.282013,0 days 00:00:06.684104,922.0,0.002,4m,2.5,1.5,0.6,668.0,174,0.004,4m,1.0,4.0,1.6,942,274.0,0.004,1m,4.0,4.0,1.1,290.0,562.0,0.003,4m,4.0,1.5,1.7000000000000002,840.0,376,0.003,3m,2.5,3.0,1.8,588,100.0,0.005,2m,1.5,1.0,1.2000000000000002,346.0,756.0,0.006,2m,2.5,2.5,0.8,516.0,486.0,0.003,1m,2.0,1.0,1.5,490.0,,,,,,,,226.0,0.01,3m,2.0,2.5,1.3,920.0,320.0,0.008,3m,2.5,2.5,1.2000000000000002,700.0,148.0,0.002,4m,1.5,1.5,1.4,418.0,0.2,9,COMPLETE
67,67,2.286330985155909,2025-06-15 00:14:06.353503,2025-06-15 00:14:07.586299,0 days 00:00:01.232796,,,,,,,,506,0.003,1m,1.5,3.5,1.1,354,,,,,,,,,,,,,,,498,0.002,2m,3.0,3.5,1.9000000000000001,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
68,68,-2.818425874655383,2025-06-15 00:14:07.659652,2025-06-15 00:14:13.749681,0 days 00:00:06.090029,870.0,0.006,2m,3.0,2.5,0.7,560.0,676,0.003,1m,2.0,3.5,1.2000000000000002,790,330.0,0.005,1m,3.5,1.0,0.6,390.0,,,,,,,,414,0.001,3m,3.5,4.0,2.0,682,300.0,0.003,2m,2.0,2.0,1.4,566.0,112.0,0.009000000000000001,4m,2.0,3.0,1.1,196.0,690.0,0.004,1m,2.5,1.0,1.9000000000000001,858.0,,,,,,,,122.0,0.009000000000000001,3m,1.5,3.5,0.8,572.0,160.0,0.009000000000000001,3m,3.0,2.5,0.8,474.0,384.0,0.002,3m,3.0,1.0,1.8,692.0,0.15000000000000002,8,COMPLETE
69,69,-4.963981214003261,2025-06-15 00:14:13.825730,2025-06-15 00:14:16.458848,0 days 00:00:02.633118,580.0,0.007,2m,2.5,3.5,1.1,776.0,374,0.004,3m,1.5,4.0,1.7000000000000002,690,18.0,0.003,2m,2.0,1.0,0.8,242.0,,,,,,,,446,0.009000000000000001,3m,2.0,3.5,2.0,912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
