,number,value,datetime_start,datetime_complete,duration,params_ADSK_AMD_beta_win,params_ADSK_AMD_stop_loss,params_ADSK_AMD_trade_freq,params_ADSK_AMD_z_entry,params_ADSK_AMD_z_exit,params_ADSK_AMD_z_stop_scaler,params_ADSK_AMD_z_win,params_ALXN_BIIB_beta_win,params_ALXN_BIIB_stop_loss,params_ALXN_BIIB_trade_freq,params_ALXN_BIIB_z_entry,params_ALXN_BIIB_z_exit,params_ALXN_BIIB_z_stop_scaler,params_ALXN_BIIB_z_win,params_ALXN_PTON_beta_win,params_ALXN_PTON_stop_loss,params_ALXN_PTON_trade_freq,params_ALXN_PTON_z_entry,params_ALXN_PTON_z_exit,params_ALXN_PTON_z_stop_scaler,params_ALXN_PTON_z_win,params_ANSS_DOCU_beta_win,params_ANSS_DOCU_stop_loss,params_ANSS_DOCU_trade_freq,params_ANSS_DOCU_z_entry,params_ANSS_DOCU_z_exit,params_ANSS_DOCU_z_stop_scaler,params_ANSS_DOCU_z_win,params_ASML_CERN_beta_win,params_ASML_CERN_stop_loss,params_ASML_CERN_trade_freq,params_ASML_CERN_z_entry,params_ASML_CERN_z_exit,params_ASML_CERN_z_stop_scaler,params_ASML_CERN_z_win,params_BIDU_CERN_beta_win,params_BIDU_CERN_stop_loss,params_BIDU_CERN_trade_freq,params_BIDU_CERN_z_entry,params_BIDU_CERN_z_exit,params_BIDU_CERN_z_stop_scaler,params_BIDU_CERN_z_win,params_CDNS_CERN_beta_win,params_CDNS_CERN_stop_loss,params_CDNS_CERN_trade_freq,params_CDNS_CERN_z_entry,params_CDNS_CERN_z_exit,params_CDNS_CERN_z_stop_scaler,params_CDNS_CERN_z_win,params_CMCSA_REGN_beta_win,params_CMCSA_REGN_stop_loss,params_CMCSA_REGN_trade_freq,params_CMCSA_REGN_z_entry,params_CMCSA_REGN_z_exit,params_CMCSA_REGN_z_stop_scaler,params_CMCSA_REGN_z_win,params_CTAS_INCY_beta_win,params_CTAS_INCY_stop_loss,params_CTAS_INCY_trade_freq,params_CTAS_INCY_z_entry,params_CTAS_INCY_z_exit,params_CTAS_INCY_z_stop_scaler,params_CTAS_INCY_z_win,params_MAR_TMUS_beta_win,params_MAR_TMUS_stop_loss,params_MAR_TMUS_trade_freq,params_MAR_TMUS_z_entry,params_MAR_TMUS_z_exit,params_MAR_TMUS_z_stop_scaler,params_MAR_TMUS_z_win,params_QCOM_TXN_beta_win,params_QCOM_TXN_stop_loss,params_QCOM_TXN_trade_freq,params_QCOM_TXN_z_entry,params_QCOM_TXN_z_exit,params_QCOM_TXN_z_stop_scaler,params_QCOM_TXN_z_win,params_ROST_TMUS_beta_win,params_ROST_TMUS_stop_loss,params_ROST_TMUS_trade_freq,params_ROST_TMUS_z_entry,params_ROST_TMUS_z_exit,params_ROST_TMUS_z_stop_scaler,params_ROST_TMUS_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,1.1614752651170952,2025-06-15 00:10:11.104414,2025-06-15 00:10:16.897308,0 days 00:00:05.792894,746.0,0.005,2m,2.0,2.5,0.5,806.0,774,0.005,2m,4.0,2.0,1.3,990,720.0,0.001,4m,4.0,1.0,1.9000000000000001,360.0,848.0,0.001,1m,2.0,3.5,1.2000000000000002,194.0,640,0.001,3m,2.0,4.0,2.0,394,398.0,0.01,1m,4.0,1.0,2.0,174.0,50.0,0.001,3m,1.0,1.0,0.6,100.0,374.0,0.001,2m,3.0,1.0,1.8,272.0,222.0,0.008,4m,3.0,4.0,1.3,264.0,950.0,0.01,1m,4.0,4.0,2.0,836.0,996.0,0.006,1m,1.5,2.0,0.7,410.0,76.0,0.01,4m,1.0,4.0,0.5,54.0,0.4,10,COMPLETE
11,11,-6.506914414366992,2025-06-15 00:10:16.973049,2025-06-15 00:10:17.989874,0 days 00:00:01.016825,,,,,,,,106,0.008,4m,3.5,2.5,0.6,894,,,,,,,,,,,,,,,744,0.004,1m,1.5,3.5,1.3,1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
12,12,2.785422687749585,2025-06-15 00:10:18.057075,2025-06-15 00:10:24.182066,0 days 00:00:06.124991,292.0,0.001,4m,2.0,3.5,0.7,130.0,18,0.007,4m,3.0,2.5,1.1,790,764.0,0.01,1m,3.5,2.0,0.6,764.0,,,,,,,,788,0.001,1m,1.5,1.0,0.5,708,702.0,0.007,3m,3.5,2.0,0.5,984.0,412.0,0.003,1m,4.0,2.5,2.0,920.0,230.0,0.004,1m,3.0,4.0,1.0,344.0,,,,,,,,18.0,0.009000000000000001,1m,1.0,2.5,1.9000000000000001,582.0,330.0,0.004,2m,4.0,3.5,0.9,990.0,900.0,0.008,1m,2.5,3.5,2.0,1012.0,0.2,8,COMPLETE
13,13,1.866203828053513,2025-06-15 00:10:24.294989,2025-06-15 00:10:30.005057,0 days 00:00:05.710068,36.0,0.004,4m,2.0,4.0,0.9,202.0,734,0.01,4m,4.0,2.0,0.5,336,776.0,0.001,4m,3.5,1.5,0.8,422.0,,,,,,,,536,0.004,1m,2.0,4.0,1.5,836,882.0,0.009000000000000001,3m,3.0,2.5,0.7,76.0,924.0,0.01,4m,4.0,4.0,0.5,26.0,76.0,0.005,1m,1.0,3.5,2.0,268.0,,,,,,,,822.0,0.006,2m,3.0,1.0,1.3,582.0,38.0,0.004,2m,4.0,2.5,1.0,1016.0,,,,,,,,0.35000000000000003,7,COMPLETE
14,14,3.513735529559904,2025-06-15 00:10:30.083654,2025-06-15 00:10:33.752728,0 days 00:00:03.669074,662.0,0.001,4m,1.5,3.0,1.0,586.0,220,0.008,1m,2.0,3.5,1.3,38,594.0,0.003,1m,3.5,2.0,0.8,790.0,,,,,,,,700,0.005,3m,1.5,2.5,1.2000000000000002,582,578.0,0.006,1m,1.0,2.0,0.9,646.0,,,,,,,,316.0,0.004,2m,2.0,3.5,0.5,416.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,4,COMPLETE
15,15,4.229298313165498,2025-06-15 00:10:33.844239,2025-06-15 00:10:37.508652,0 days 00:00:03.664413,754.0,0.001,2m,1.5,3.0,0.5,644.0,276,0.006,1m,2.0,3.5,1.4,32,520.0,0.003,1m,4.0,2.0,1.0,272.0,,,,,,,,682,0.005,3m,1.0,2.5,1.4,588,414.0,0.005,1m,1.0,1.5,1.0,636.0,,,,,,,,344.0,0.003,2m,2.0,3.0,1.5,520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,4,COMPLETE
16,16,6.3719308560389125,2025-06-15 00:10:37.588739,2025-06-15 00:10:40.961715,0 days 00:00:03.372976,1016.0,0.004,2m,2.5,2.0,0.5,716.0,718,0.004,1m,2.0,3.5,1.6,758,326.0,0.003,1m,4.0,1.0,1.1,282.0,,,,,,,,426,0.002,3m,1.0,3.5,1.9000000000000001,602,,,,,,,,,,,,,,,488.0,0.001,2m,2.5,3.0,1.5,644.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
17,17,6.194965479265916,2025-06-15 00:10:41.049319,2025-06-15 00:10:43.311896,0 days 00:00:02.262577,1002.0,0.005,2m,2.5,3.0,0.8,712.0,644,0.003,1m,1.5,3.5,1.6,386,308.0,0.004,3m,2.0,1.0,1.2000000000000002,260.0,,,,,,,,388,0.002,3m,2.0,3.5,2.0,602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,2,COMPLETE
18,18,3.544912401340524,2025-06-15 00:10:43.380121,2025-06-15 00:10:44.829653,0 days 00:00:01.449532,,,,,,,,678,0.004,1m,1.5,3.5,1.6,402,,,,,,,,,,,,,,,436,0.002,3m,2.5,3.5,2.0,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
19,19,3.3006833959055144,2025-06-15 00:10:44.912476,2025-06-15 00:10:47.775486,0 days 00:00:02.863010,1022.0,0.005,2m,3.0,2.0,0.8,740.0,828,0.001,1m,1.5,3.5,1.6,600,292.0,0.004,3m,2.0,1.0,1.5,18.0,,,,,,,,222,0.002,3m,2.0,3.5,1.8,612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
